zts1e	新物品
zts4976e	球王夢古EX晶球
zts4978e	WC2010夢古組合
zts4979e	打開此組合後將會獲得以下所有道具[n][Item list][n]球王夢古EX晶球 1個[n]球王夢古晶球 1個[n]
zts4982e	球王夢古晶球
zts4989e	使用後可回到村莊。 [n] 你可以選擇是否要記憶現時的地點。 [n] 記憶地點後，隨時可以使用復歸的符咒回到此地。 [n][n]
zts4990e	使用後可回到村莊。 [n] 你可以選擇是否要記憶現時的位置。 [n] 記憶地點後，隨時可以使用復歸的符咒回到此地。 [n] [使用限制] [n] 只能在沙漠地區使用。 [n] 回到沙漠中你選定的復活位置。 [n][n]
zts4992e	貝納奧斯的水晶法袍
zts4993e	在法袍中鑲嵌了充滿光屬性氣息的水晶[n]
zts4994e	貝納奧斯的水晶緊身衣
zts4995e	在皮甲中鑲嵌了充滿光屬性氣息的水晶[n]
zts4996e	貝納奧斯的水晶重鎧甲
zts4997e	在鎧甲中鑲嵌了充滿光屬性氣息的水晶[n]
zts4998e	貝納奧斯的水晶冠角
zts4999e	一個閃耀著光輝的角狀頭冠，裡面充滿了貝納奧斯的力量[n]
zts5000e	貝納奧斯的水晶髮箍
zts5001e	這個髮箍充滿了貝納奧斯的光之力量[n]
zts5002e	貝納奧斯的藏寶箱
zts5003e	貝納奧斯的藏寶箱[n]打開後你獎獲得一件貝納奧斯秘藏的寶物。
zts5023e	布雷諾晶球
zts5024e	魔法開篷車
zts5025e	使用物品時變身成為魔法開篷車使用者。[n]移動速度較快，但需要5秒時間起動引擎。[n]變身中使用物品，則變身解除。[n]無使用級別限制
zts5026e	魔法開篷車寶箱
zts5027e	裝有魔法開篷車的寶箱[n][注意事項]若將魔法開篷車從寶箱裡取出，便不能再進行交易。[n]
zts5068e	激運寶箱E
zts5069e	打開此寶箱後將有機會得到魔法開篷車或各種隨機道具。[n]打開寶箱後將可隨機獲得以下其中一種道具。[n][物品清單][n]開篷車寶箱1個[n]大福神的守護1個[n]防爆護符2個[n]高等卡片防爆護符2個[n]低等卡片防爆護符3個[n]SP補充劑(大)1個[n]SP補充劑(小)2個[n]一副塔羅卡2個[n]靈魂復活石1個[n]創世女神的祝福3個[n]夢古晶球1個[n]水著夢古晶球1個[n]S卡重置藥水1個[n]冒險家登山背包10日1個[n]天使翅膀30個[n]
zts5076e	美味的粗麥麵包
zts5077e	活動物品[n]慢慢恢復HP及MP。[n]此物品將於活動結束時刪除。[n][n]
zts5078e	月光粉末
zts5079e	活動物品[n]帶著 月光粉末 10個、肥沃的泥土 10個 及 雪樂粉末 10個，交給 拉迪 安魯爾，就能製成 魔法肥料。[n]此物品將於活動結束時刪除。[n][n]
zts5080e	肥沃的泥土
zts5081e	魔法肥料
zts5082e	活動物品[n]使用後能召喚出 薯梗王。[n]無法在 冰封雪堡 或其他指定地圖使用。[n]此物品將於活動結束時刪除。[n][n]
zts5083e	怪薯種子
zts5084e	活動物品[n]狩獵 怪薯 或 怪薯王 均有機會獲得此物品。[n]帶給 拉迪 安魯爾，他會送你 感恩節禮物箱。[n]此物品將於活動結束時刪除。[n][n]
zts5085e	有點髒的福袋
zts5086e	活動物品[n]打開後可隨機獲得一種禮物。[n]此物品將於活動結束時刪除。[n][n]
zts5087e	感恩節禮物箱
zts5088e	活動物品[n]打開後可隨機獲得一種禮物。[n]此物品將於活動結束時刪除。[n][n]
zts5095e	水漾夢古帽子(永久)
zts5096e	使用後，你會戴著可愛的水漾夢古帽子。[n]裝備後開始計算時間並綁定。[n][效果][n]提高水屬性抵抗 2%。[n][防禦時][n]以 2%機率發動[冰凍]效果。[n]
zts5097e	水漾夢古衣服(永久)
zts5098e	使用後，你會穿著可愛的水漾夢古衣服。[n]裝備後開始計算時間並綁定。[n][效果][n]提高水屬性抵抗 2%。[n][防禦時][n]以 5%機率降低受到的所有傷害 80%。[n]
zts5131e	城鎮居民送給冒險者的哈囉喂餅乾袋，跟大家說 Trick or Treat 吧！[n]擊敗怪物時有機會獲得哈囉喂餅乾袋。[n]把哈囉喂餅乾袋帶給河馬管家，就能獲得哈囉喂禮物箱子。[n][活動道具][n]此道具在活動結束時會消失。[n][n]
zts5132e	南瓜夢古EX晶球
zts5146e	嘩鬼寶箱 2010
zts5147e	打開寶箱獲得南瓜夢古EX或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]南瓜夢古EX晶球[n]南瓜夢古晶球[n]哈囉喂變身護符[n]特殊卡片盒[n]靈魂復活石[n]S卡重置藥水[n]大福神的守護[n]創世女神的祝福[n]SP補充劑(大)[n]SP補充劑(小)[n]防爆護符[n]一副塔羅卡[n]神韻香水[n]高等卡片防爆護符[n]低等卡片防爆護符[n]天使翅膀[n][n]
zts5156e	便利屋超級通行證(30天)
zts5157e	使用後，30天內可享用以下所有功能。[n][登錄強化效果][n]1. 登錄手續費優惠。[n]2. 同時登錄道具上限提升至100件。[n]3. 託售金額限制提升至最大 1億。[n]4. 登錄時限延長至30天。[n][其他功能][n]1. 道具及金幣保存期延長至 30天。[n]2. 免付託售手續費。[n][注意事項][n]同時登錄件數，除了販賣中的道具之外，賣出後未領回金幣，及到期未回收的物品均包含在內。[n]
zts5158e	便利屋超級通行證(7天)
zts5159e	使用後，7天內可享用以下所有功能。[n][登錄強化效果][n]1. 登錄手續費優惠。[n]2. 同時登錄道具上限提升至100件。[n]3. 託售金額限制提升至最大 1億。[n]4. 登錄時限延長至30天。[n][其他功能][n]1. 道具及金幣保存期延長至 30天。[n]2. 免付託售手續費。[n][注意事項][n]同時登錄件數，除了販賣中的道具之外，賣出後未領回金幣，及到期未回收的物品均包含在內。[n]
zts5168e	便利屋超級通行證(1天)(活動)
zts5169e	使用後，1天內可享用以下所有功能。[n][登錄強化效果][n]1. 登錄手續費優惠。[n]2. 同時登錄道具上限提升至100件。[n]3. 託售金額限制提升至最大 1億。[n]4. 登錄時限延長至30天。[n][其他功能][n]1. 道具及金幣保存期延長至 30天。[n]2. 免付託售手續費。[n][注意事項][n]同時登錄件數，除了販賣中的道具之外，賣出後未領回金幣，及到期未回收的物品均包含在內。[n]
zts5172e	機械人寶箱
zts5173e	打開寶箱獲得布雷諾B型或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]布雷諾晶球*1[n]魔法毯子寶箱*1[n]魔法輕型車寶箱*1[n]靈魂復活石*1[n]S卡重置藥水*1[n]特殊卡片盒*1[n]大福神的守護*1[n]創世女神的祝福*5[n]守護天使之祝福*10[n]SP補充劑(大)*1[n]防爆護符*2[n]希魯安的泉水*99[n]神韻香水*6[n]高等卡片防爆護符*2[n]低等卡片防爆護符*3[n]寵物保管彈珠*1[n][n]
zts5174e	打開寶箱獲得布雷諾B型或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]布雷諾B型晶球*1[n]魔法毯子寶箱*1[n]魔法輕型車寶箱*1[n]靈魂復活石*1[n]S卡重置藥水*1[n]特殊卡片盒*1[n]大福神的守護*1[n]創世女神的祝福*5[n]守護天使之祝福*10[n]SP補充劑(大)*1[n]防爆護符*2[n]希魯安的泉水*99[n]神韻香水*6[n]高等卡片防爆護符*2[n]低等卡片防爆護符*3[n]寵物保管彈珠*2[n][n]
zts5176e	使用後，你可以捕捉來自「聖誕封印圓壺」中的「被封印的 怪物」，成功率 100%。[n]注意：此道具將會在活動結束後消失[n][n]
zts5177e	使用後，你可以捕捉來自「聖誕封印圓壺」中的「被封印的 怪物」，成功率 30%。[n]注意：此道具將會在活動結束後消失[n][n]
zts5178e	使用後，你可以捕捉來自「聖誕封印圓壺」中的「被封印的 怪物」，成功率 10%。[n]注意：此道具將會在活動結束後消失[n][n]
zts5179e	聖誕老人正在找尋的東西。[n]把「星星裝飾品」及「佳音叮噹」各帶10個給聖誕老人，[n]即可獲得「聖誕老人的贈禮」[n]注意：此道具將會在活動結束後消失[n][n]
zts5180e	金色字樣[n]集齊 H, A, P, P, Y 五個金色字樣，找艾美專櫃，[n]即可獲得「新年快樂黃金箱」1個。[n]注意：此道具將會在活動結束後消失[n][n]
zts5181e	聖誕夢古套裝(1日)
zts5182e	使用後，你會穿著一件聖誕夢古變裝衣服。[n]裝備後開始計算時間並綁定。[n] [效果][n] 提高光屬性 2%。[n] [防禦時][n]以 3%機率降低受到的所有傷害 90%。[n]
zts5183e	聖誕夢古的帽子(1日)
zts5184e	使用後，你會戴著聖誕夢古的帽子。[n]裝備後開始計算時間並綁定。[n] [效果][n] 提高光屬性 2%。[n] [防禦時][n]有 3%機率發動[休克]效果。[n]
zts5185e	聖誕夢古扮裝(7日)
zts5186e	聖誕夢古的帽子(7日)
zts5187e	聖誕夢古扮裝(30日)
zts5188e	聖誕夢古的帽子(30日)
zts5189e	聖誕夢古扮裝(永久)
zts5190e	使用後，你會穿著一件聖誕夢古變裝衣服。[n][效果][n] 提高光屬性 2%。[n] [防禦時][n]以 3%機率降低受到的所有傷害 90%。[n]
zts5191e	聖誕夢古的帽子(永久)
zts5192e	使用後，你會戴著聖誕夢古的帽子。[n][效果][n] 提高光屬性 2%。[n] [防禦時][n]有 3%機率發動[休克]效果。[n]
zts5193e	聖誕服裝(永久)
zts5194e	聖誕服裝！[n][效果][n]全部攻擊力 +5%[n]Max HP +200[n][n]
zts5195e	聖誕帽(永久)
zts5196e	聖誕服裝！[n][效果][n]全部防禦力 +5%[n]Max HP +200[n][n]
zts5197e	打開寶箱獲得布雷諾B型或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]布雷諾晶球*1[n]魔法毯子寶箱*1[n]魔法輕型車寶箱*1[n]靈魂復活石*1[n]S卡重置藥水*1[n]特殊卡片盒*1[n]大福神的守護*1[n]創世女神的祝福*5[n]守護天使之祝福*10[n]SP補充劑(大)*1[n]防爆護符*2[n]希魯安的泉水*99[n]神韻香水*6[n][n]
zts5198e	聖誕封印圓壺(活動)
zts5199e	聖誕老人制作的特殊封印圓壺。[n] 包括「被封印的 聖誕夢古EX」在內，不少怪物都被封印在壺中。[n][如何使用][n]可在村莊、一般地區或自己的迷你屋使用，使用後即可召喚已被封印的怪物。[n][注意事項][n]在迷你屋所召喚的怪物，當迷你屋裡沒有任何人時，若迷你屋的主人解除連線，所召喚的怪物就會消失。[n]此道具在活動結束後將會被回收。[n][n]
zts5200e	聖誕老人的贈禮
zts5201e	一份來自聖誕老人的贈禮。
zts5202e	一次坐騎召喚卷
zts5203e	可隨機騎上一種坐騎。(包括：魔法絨緞、飄逸之雪、魔法輕型車、魔法開篷車)[n]使用後隨機變成為4種坐騎變身之一。[n][如何解除坐騎][n]再次使用 一次坐騎召喚卷 即可解除騎乘狀態，這個動作不會消耗任何物品。[n]角色死亡時、登出遊戲時，騎乘狀態自動解除。[n]注意：此道具將會在活動結束後消失。[n][n]
zts5204e	Happy New Year 能量結晶
zts5205e	Happy New Year 能量結晶 的碎片。[n]可以把碎片帶給調查員穆罕默特進行鑑定。[n]注意：此道具將會在活動結束後消失。[n][n]
zts5206e	使用後，你會穿著一件聖誕夢古變裝衣服。[n]裝備後開始計算時間並綁定。[n] [效果][n] 提高光屬性 2%。[n] [防禦時][n]以 3%機率降低受到的所有傷害 90%。[n]
zts5207e	使用後，你會戴著聖誕夢古的帽子。[n]裝備後開始計算時間並綁定。[n] [效果][n] 提高光屬性 2%。[n] [防禦時][n]有 3%機率發動[休克]效果。[n]
zts5208e	使用後，你會穿著一件聖誕夢古變裝衣服。[n][效果][n] 提高光屬性 2%。[n] [防禦時][n]以 3%機率降低受到的所有傷害 90%。[n]
zts5209e	使用後，你會戴著聖誕夢古的帽子。[n][效果][n] 提高光屬性 2%。[n] [防禦時][n]有 3%機率發動[休克]效果。[n]
zts5210e	可隨機騎上一種坐騎。(包括：魔法絨緞、飄逸之雪、魔法輕型車、魔法開篷車)[n]使用後隨機變成為4種坐騎變身之一。[n][如何解除坐騎][n]再次使用 一次坐騎召喚卷 即可解除騎乘狀態，這個動作不會消耗任何物品。[n]角色死亡時、登出遊戲時，騎乘狀態自動解除。[n]注意：此道具將會在活動結束後消失。[n][n]
zts5211e	使用後，你可以有高機率，成功捕捉來自「聖誕封印圓壺」中的「被封印的 怪物」。[n]注意：此道具將會在活動結束後消失[n][n]
zts5212e	使用後，你可以有一定機率，成功捕捉來自「聖誕封印圓壺」中的「被封印的 怪物」。[n]注意：此道具將會在活動結束後消失[n][n]
zts5213e	聖誕老人正在找尋的星星裝飾品[n]把「星星裝飾品」及「佳音叮噹」各帶10個給聖誕老人，即可獲得「聖誕老人的贈禮」[n]你也可以各帶20個給比茲柏修斯，他會幫你制作一個聖誕鈴鐺[n]注意：此道具將會在活動結束後消失[n][n]
zts5214e	聖誕老人正在找尋的佳音叮噹[n]把「星星裝飾品」及「佳音叮噹」各帶10個給聖誕老人，即可獲得「聖誕老人的贈禮」[n]你也可以各帶20個給比茲柏修斯，他會幫你制作一個聖誕鈴鐺[n]注意：此道具將會在活動結束後消失[n][n]
zts5215e	聖誕禮物
zts5216e	只有聖誕封印圓壺中，被封印的怪物才會掉落的禮物[n]打開時有機會出現出種物品。[n]注意：此道具將會在活動結束後消失[n][n]
zts5217e	聖誕大禮物
zts5218e	擊敗聖誕封印圓壺中跑出來的粗暴的聖誕鹿後獲得的禮物。[n]打開時有機會出現出種物品。[n]注意：此道具將會在活動結束後消失[n][n]
zts5219e	聖誕特大禮物
zts5220e	擊敗聖誕封印圓壺中跑出來的墮落的聖誕鹿後獲得的禮物。[n]打開時有機會出現出種物品。[n]注意：此道具將會在活動結束後消失[n][n]
zts5258e	聖誕福音箱
zts5259e	聖誕節限定寶箱，或許會出現 聖誕夢古EX晶球、聖誕夢古的帽子(永久) 及 聖誕夢古扮裝(永久)！[n]打開寶箱，可隨機獲得以下一項物品[n][獎品清單][n]聖誕夢古EX晶球 x1[n]聖誕夢古晶球 x1[n]聖誕夢古的帽子(永久) x1[n]聖誕夢古扮裝(永久) x1[n]聖誕夢古的帽子(30日) x1[n]聖誕夢古扮裝(30日) x1[n]創世女神的祝福 x5[n]守護天使之祝福 x10[n]天使翅膀 x30[n]大福神的守護 x1[n]一副塔羅卡 x2[n]SP補充劑(大) x1[n]SP補充劑(小) x2[n]防爆護符 x3[n]高等卡片防爆護符 x2[n]低等卡片防爆護符 x3[n]
zts5319e	新年的黃金蘿蔔(活動)
zts5320e	新年紀念活動道具。[n]用黃金所製作而成的蘿蔔，[n]賣給商店可以獲得 10,000 黃金。[n][注意事項][n]此物品在活動結束時會消失。[n]
zts5321e	新鮮蘿蔔汁(活動)
zts5322e	新鮮的紅蘿蔔汁，最適合當作賀年飲品。[n]HP與MP會慢慢的恢復，[n]自組隊伍也會一起恢復。[n]可在休息時使用。[n][注意事項][n]此物品在活動結束時會消失。[n]
zts5323e	美味蘿蔔小吃(活動)
zts5324e	很好味的蘿蔔小食，邊吃邊紀念兔年。[n]HP與MP會慢慢的恢復，[n]自組隊伍也會一起恢復。[n][注意事項][n]此物品在活動結束時會消失。[n]
zts5325e	新年快樂禮盒(活動)
zts5326e	幫助艾美專櫃所獲得的禮盒。[n]打開盒子可以獲得各式各樣的道具。[n][注意事項][n]此物品在活動結束時會消失。[n]
zts5327e	夢古變身護符 (活動)
zts5328e	若使用護符，可以變身成為月兔寶寶或是[n]遊戲中各式各樣的夢古中的一種。[n]若是變身為月兔寶寶就會附加強力的新年祝福效果，[n]若是變身為其它夢古就會附加新年祝福效果。[n][可變身的夢古][n]月兔寶寶[n]夢古夢古[n]劍鬥士夢古[n]火焰夢古[n]感冒夢古[n]水著夢古[n]夢古小次郎[n]泰拳夢古 [n][解除變身方法][n]在變身狀態中再次使用變身道具，[n]不必消耗道具即可解除變身。
zts5329e	被偷走的福袋(活動)
zts5330e	艾美正在尋找的福袋。[n]被偷走的福袋和壓歲錢各收集5個，[n]交給艾美就可以交換到新年快樂禮盒。[n][注意事項][n]此物品在活動結束時會消失。[n]
zts5331e	被偷走的壓歲錢(活動)
zts5332e	艾美在尋找的壓歲錢。[n]被偷走的福袋和壓歲錢各收集5個，[n]交給艾美就可以交換到新年快樂禮盒。[n][注意事項][n]此物品在活動結束時會消失。[n]
zts5336e	打開寶箱獲得魔法開篷車或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]魔法開篷車寶箱*1[n]魔法毯子寶箱*1[n]夢古小次郎晶球*1[n]靈魂復活石*1[n]S卡重置藥水*1[n]創世女神的祝福*3[n]守護天使之祝福*10[n]天使翅膀*30[n]大福神的守護*1[n]一副塔羅卡*2[n]SP補充劑(大)*1[n]SP補充劑(小)*2[n]防爆護符*2[n]高等卡片防爆護符*2[n]低等卡片防爆護符*3[n][n]
zts5337e	火焰之翼
zts5338e	將特殊人物的翅膀改變成火焰之翼。[n] [使用方法] [n]1. 變身成特殊人物。 [n]2. 使用這件物品來改變你的翅膀。 [n] [注意] [n] 只能使用於+1或以上的S卡，[n] 使用過火焰翅膀的S卡，放進卡盒時火焰翅膀效果將會消失。[n][n]
zts5355e	魔法神燈
zts5356e	可以實現一個願望的魔法神燈，使用後，可以改變角色性別. [n][使用方法][n]在沒有穿著任何裝備時可以使用. [n]使用後，性別改變. [n]消耗品，無法重覆使用. [n][n]
zts5372e	遠征團助手證
zts8411e	使用後可恢復角色與自組隊伍的能量。[n][注意事項][n]此道具在活動結束時會消失。[n]
zts8413e	使用時，15天內將會賦予以下功能。[n][主要效果][n]經驗值獲得量增加10%[n][n][附加效果][n]寵物與夥伴的經驗值獲得量上升10%[n]攻擊力與防禦力增加10%[n][n][注意事項][n]無法放入倉庫的道具[n]
zts8440e	火焰之翼寶箱
zts8441e	打開寶箱獲得火焰之翼或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]火焰之翼*1[n]天使之翼*1[n]惡魔之翼*1[n]飄逸之雪箱子*1[n]魔法輕型車寶箱*1[n]特殊卡片盒*1[n]靈魂復活石*1[n]S卡重置藥水*1[n]創世女神的祝福*3[n]守護天使之祝福*10[n]天使翅膀*30[n]大福神的守護*1[n]神韻香水*6[n]防爆護符*2[n]高等卡片防爆護符*2[n]低等卡片防爆護符*3[n][n]
zts8467e	進化果實 (活動)
zts8468e	[如何使用][n] 在迷你屋中選擇大菲菲或小菲菲，並用果實讓牠進化吧。[n] 進化失敗的機會是很高的。[n] 進化失敗時，寵物會變得不高興。[n] [進化成功 - 大菲菲][n] 從大菲菲進化為小菲菲。[n] 進化後，攻擊等級及防禦等級將被初始化。[n] [進化成功 - 小菲菲][n] 從小菲菲進化為超級吱喳雞Jr.。[n] 進化後，基本等級、攻擊等級及防禦等級將被初始化。[n] [進化失敗][n] 大菲菲進化失敗時，會變得不高興，持續30分鐘；[n] 小菲菲進化失敗時，會變得非常不高興，持續50分鐘。[n] 在寵物不高興時，他們的忠誠度會下降，並且無法同行，也不會吃任何食物或進化果實。[n] [注意事項][n] 只可以在迷你屋中使用。[n] 無法對同行中的寵物使用。[n] 注意：此道具將會在活動結束後消失[n][n]
zts8469e	兔子朱古力 (活動)
zts8470e	看似一隻可愛小兔子的復活節朱古力。[n]使用後，HP/MP 會慢慢恢復。[n]與你距離3以內的同伴也會獲得恢復效果。[n][注意事項][n]此道具將會在活動結束後消失[n][n]
zts8471e	女王蛋 (活動/任務報酬)
zts8472e	大菲菲的蛋[n]在你第一次完成 吱喳雞女王 遠征團時，即可獲得此物品。(每個遊戲帳號只能擁有一個)[n][如何使用][n]在迷你屋中使用，會生出大菲菲加入你的自組隊伍。[n][注意事項][n]此道具將會在活動結束後消失[n][n]
zts8473e	女王蛋 (活動)
zts8474e	大菲菲的蛋[n][如何使用][n]在迷你屋中使用，會生出大菲菲加入你的自組隊伍。[n][注意事項][n]此道具將會在活動結束後消失[n][n]
zts8475e	吱喳雞卡升級卷軸 (活動)
zts8476e	使用時會跳出可強化 吱喳雞舞步卡片 的視窗。[n]在此視窗進行卡片強化時，不用消耗任何材料。[n] [使用方法][n]用滑鼠雙擊後，就會跳出卡片強化視窗。[n]你可以在這裡強化 吱喳雞舞步卡片，每次消耗一個 升級卷軸。[n][注意事項][n]此道具將會在活動結束後消失[n][n]
zts8477e	復活節標牌
zts8478e	讓其他人在30分鐘內可進入迷你屋所設的標牌。[n]標牌造型看起來充滿復活節的感覺。[n][n]
zts8479e	吱喳雞女王狩獵印章
zts8480e	依蘭特村莊中，通往 吱喳雞女王之巢 的通道。[n] 你可以在此參與「吱喳雞女王遠征團」。[n]建議等級: 20~99[n][使用方法][n]使用時會變成遠征隊的隊長[n]成為隊長後可點擊其他人，按下邀請加入按鈕[n]即可讓對方加入遠征隊。[n]與遠征隊員一起進入狩獵地圖的入口，由隊長領先進入，[n]其他所有隊員也都會自動進入。[n][注意事項][n]此道具將會在活動結束後消失[n][n]
zts8481e	出奇蛋 (活動)
zts8482e	當有冒險者在 吱喳雞女王遠征團 中被擊敗時，[n] 消耗物品 1個 [n] 保護遠征團愛心不會消失。[n][注意事項][n]此道具將會在活動結束後消失[n][n]
zts8491e	遠征團寶箱 (活動)
zts8492e	有什麼在寶箱裡呢?[n]雙擊寶箱就能打開並獲得道具。[n][注意事項][n]此道具將會在活動結束後消失[n][n]
zts8493e	閃耀的女王蛋 (活動)
zts8494e	大菲菲的蛋[n]帶著大菲菲當寵物，每個小時都會產出額外物品。[n]只有在第一次完成 吱喳雞女王 遠征團可以獲得。(每個遊戲帳號 1次)[n][如何使用][n]在迷你屋中使用，會生出大菲菲加入你的自組隊伍。[n]
zts8495e	大菲菲的蛋[n]帶著大菲菲當寵物，每個小時都會產出額外物品。[n][如何使用][n]在迷你屋中使用，會生出大菲菲加入你的自組隊伍。[n]
zts8496e	超級吱喳雞蛋
zts8497e	超級吱喳雞蛋[n][如何使用][n]在迷你屋使用時會孵出 超級吱喳雞Jr. 並且會成為自組隊伍成員。[n]
zts8500e	在依蘭特村莊吱喳雞女王之巢 近郊可以挑戰吱喳雞女王遠征團。[n]建議等級：20-99[n]建議參與人數：10名以上[n][如何使用][n]使用時會變成遠征隊的隊長。[n]成為隊長後可點擊其他人後，按下邀請加入按鈕[n]即可讓對方加入遠征隊。[n]與遠征隊員一起進入狩獵地圖的入口後，由隊長領先進入時，[n]其他所有隊員也都會自動進入。[n][n][注意事項][n]此道具將會在活動結束後消失[n][n]
zts8501e	在晨曦平原的軟綿綿廣場裡[n]可以進行水漾晶狩獵。[n]建議等級 : 30-45[n]30級以上可使用[n][使用方法][n]使用時會變成遠征隊的隊長。[n]成為隊長後可點擊其他人後，按下邀請加入按鈕[n]即可讓對方加入遠征隊。[n]與遠征隊員一起進入狩獵地圖的入口後，由隊長領先進入時，[n]其他所有隊員也都會自動進入。[n][注意事項][n]建議等級以上的玩家雖然也可以參加遠征隊，[n]但是會有懲罰。[n](愛心數不增加、遠征成功時無法獲得寶箱)[n][n]
zts8502e	在佩拉諾神殿入口的詛咒的人蔘田裡[n]可以進行修羅王的狩獵。[n]建議等級 : 40-55[n]40級以上可使用[n][使用方法][n]使用時會變成遠征隊的隊長。[n]成員隊長後可點擊其他人後，按下邀請加入按鈕[n]即可讓對方加入遠征隊。[n]與遠征隊員一起進入狩獵地圖的入口後，由隊長領先進入時，[n]其他所有隊員也都會自動進入。[n][注意事項][n]建議等級以上的玩家雖然也可以參加遠征隊，[n]但是會有懲罰。[n](愛心數不增加、遠征成功時無法獲得寶箱)[n][n]
zts8503e	在佩拉諾神殿地下2樓的悲歡的宴會裡[n]可以進行暗黑卡斯特拉的狩獵。[n]建議等級 : 50-65[n]50級以上可使用[n][使用方法][n]使用時會變成遠征隊的隊長。[n]成員隊長後可點擊其他人後，按下邀請加入按鈕[n]即可讓對方加入遠征隊。[n]與遠征隊員一起進入狩獵地圖的入口後，由隊長領先進入時，[n]其他所有隊員也都會自動進入。[n][注意事項][n]建議等級以上的玩家雖然也可以參加遠征隊，[n]但是會有懲罰。[n](愛心數不增加、遠征成功時無法獲得寶箱)[n][n]
zts8504e	在岩山洞窟5的魔神棲息地裡[n]可以進行傑克蜘蛛的狩獵。[n]建議等級 : 60-75[n]60級以上可使用[n][使用方法][n]使用時會變成遠征隊的隊長。[n]成員隊長後可點擊其他人後，按下邀請加入按鈕[n]即可讓對方加入遠征隊。[n]與遠征隊員一起進入狩獵地圖的入口後，由隊長領先進入時，[n]其他所有隊員也都會自動進入。[n][注意事項][n]建議等級以上的玩家雖然也可以參加遠征隊，[n]但是會有懲罰。[n](愛心數不增加、遠征成功時無法獲得寶箱)[n][n]
zts8505e	在克林山地山峰的痛苦的祭壇裡[n]可以進行史拉德哈因的狩獵。[n]建議等級 : 70-85[n]70級以上可使用[n][使用方法][n]使用時會變成遠征隊的隊長。[n]成員隊長後可點擊其他人後，按下邀請加入按鈕[n]即可讓對方加入遠征隊。[n]與遠征隊員一起進入狩獵地圖的入口後，由隊長領先進入時，[n]其他所有隊員也都會自動進入。[n][注意事項][n]建議等級以上的玩家雖然也可以參加遠征隊，[n]但是會有懲罰。[n](愛心數不增加、遠征成功時無法獲得寶箱)[n][n]
zts8506e	通過舊亞斯特聖殿禮拜堂的舊亞斯特聖殿秘密通路，可以進行盜賊團的狩獵。[n]建議等級: 80-95[n]80級以上可使用[n][使用方法][n]使用時會變成遠征隊的隊長。[n]成員隊長後可點擊其他人後，按下邀請加入按鈕[n]即可讓對方加入遠征隊。[n]與遠征隊員一起進入狩獵地圖的入口後，由隊長領先進入時，[n]其他所有隊員也都會自動進入。[n][注意事項][n]建議等級以上的玩家雖然也可以參加遠征隊，[n]但是會有懲罰。[n][n]
zts8507e	獲得遠征團助手證後可以賣給商店。[n][如何獲得][n]與最少3名建議等級範圍內的冒險者組隊並完成時空裂縫/團隊遠征時即可獲得。[n]※每天從每個遠征團副本只能獲得一次[n][適用地圖][n]水漾晶[n]修羅王[n]暗黑卡斯特拉[n]傑克蜘蛛[n]史拉德哈因[n][n]
zts8520e	復活節寶箱 2011
zts8521e	打開寶箱獲得超級吱喳雞Jr.的蛋、魔法神燈或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]超級吱喳雞蛋*1[n]復活節標牌*3[n]魔法神燈*1[n]特殊卡片盒*1[n]靈魂復活石*1[n]S卡重置藥水*1[n]大福神的守護*1[n]創世女神的祝福*5[n]守護天使之祝福*10[n]一副塔羅卡*2[n]神韻香水*6[n]天使翅膀*30[n]防爆護符*2[n]高等卡片防爆護符*2[n]低等卡片防爆護符*3[n]SP補充劑(大)*1[n]SP補充劑(小)*2[n][n]
zts8558e	使用S卡變身時，[n]獲得的職業經驗提升50%。[n](1小時內有效)[n]
zts8572e	使用物品時變身成為「魔法輕型車」騎乘者。[n]騎乘「魔法輕型車」時提升移動速度。[n]變身中使用物品，則變身解除。[n]無使用級別限制。[n][特性說明][n]基本移速+1[n]全區域 額外移速+1[n][充電效果][n]額外移速+2[n]有效時間+3[n][n]
zts8575e	SWAT晶球
zts8576e	黑曜石晶球
zts8577e	天青石晶球
zts8578e	孔雀石晶球
zts8579e	紅寶石晶球
zts8580e	粉紅鑽晶球
zts8581e	藍瑪瑙晶球
zts8582e	石榴石晶球
zts8584e	魔法筋斗雲
zts8585e	使用物品時變身成為「魔法筋斗雲」駕馭者。[n]駕馭「魔法筋斗雲」時提升移動速度。[n]變身中使用物品，則變身解除。[n]無使用級別限制。[n][特性說明][n]基本移速+2[n]全區域 額外移速+1[n][充電效果][n]額外移速+5[n]有效時間+3[n][n]
zts8586e	魔法筋斗雲寶箱
zts8587e	裝有魔法筋斗雲的寶箱[n][注意事項][n]若將魔法筋斗雲從寶箱裡取出，便不能再進行交易。[n][n]
zts8588e	魔法充電器
zts8590e	家族經驗值獎勵
zts8591e	完成時將獲得家族經驗值。
