zts1e	休息(C)
zts1691e	勝利宣言
zts1692e	召喚懲戒之雷降臨在敵人身上，預告阻擋聖炎騎士的愚者即將敗北。
zts1693e	決勝一擊
zts1694e	對一直線上的敵人造成巨大傷害。當用此技能成功擊殺敵人時，可獲得勝利鼓舞效果。
zts1695e	加農炮擊
zts1696e	灼魂追擊手的基本攻擊。使用強力火藥時，威力顯著提升。
zts1697e	阿波羅炮
zts1698e	分別以高、中、低3種不同角度進行時間差轟炸。讓傷害更集中的特殊炮擊技巧。
zts1699e	加農壓路機
zts1700e	把巨大的炮管當作打擊武器使用的攻擊技巧。
zts1701e	加農衝鋒
zts1702e	衝入敵陣，使用加農炮造成強力的衝擊。
zts1703e	追蹤導彈
zts1704e	射程非常遠的導彈攻擊。使用強力火藥時，威力顯著提升。
zts1705e	土制炸彈
zts1706e	丟出土制炸彈，對一直線上的敵人造成巨大傷害。
zts1707e	地獄火箭
zts1708e	發射對空火箭並在敵人上空引爆，在攻擊範圍內引燃一片火海。火箭碎片與高溫火焰會對範圍內所有敵人造成極高傷害。使用強力火藥時，威力顯著提升。
zts1709e	榴彈火箭
zts1710e	發射對空火箭並在敵人上空引爆，在攻擊範圍內撒下小型榴彈雨。榴彈雨會炸飛範圍內所有敵人，只留下一片灰燼。使用強力火藥時，威力顯著提升。
zts1711e	突擊火箭
zts1712e	發射地對地火箭，對著彈地點附近所有敵人造成傷害。灼魂追擊手會在突擊火箭發射時，乘著火箭一起飛向目標地點。使用強力火藥時，威力顯著提升。
zts1713e	加農改造
zts1714e	即興改裝你的加農炮，使能力強化。
zts1715e	鬼哭神號
zts1716e	灼魂追擊手使出所有火力盲目地進行對空轟炸，是誰看到都說怕。使用強力火藥時，威力顯著提升。
zts1717e	岩漿球
zts1718e	赤熾燄法使的基本攻擊。
zts1719e	地動天搖
zts1720e	赤熾燄法使操作地層，讓地殼隆起把敵人吹飛。在爆燄之力狀態下，威力更強。
zts1721e	爆燄毒雲
zts1722e	對敵人附近噴發爆燄毒氣形成毒雲。在爆燄之力狀態下，威力更強。
zts1723e	岩漿之鎧
zts1724e	在護甲上覆蓋一層岩漿，減輕赤熾燄法使受到的致命傷害。
zts1725e	岩漿爆發
zts1726e	對敵人爆發岩漿火柱，沾在裝備上的岩漿一旦冷卻，就會令人無法動彈變成石像。
zts1727e	爆燄之力
zts1728e	熟練的赤熾燄法使在掌握所有火炎魔法的特性後，獲得了全新的力量。
zts1729e	爆燄地裂術
zts1730e	赤熾燄法使用手上的魔爪打向地殼，在一定範圍內引發可怕的地震攻擊。在爆燄之力狀態下，威力更強。
zts1731e	爆燄魔爪
zts1732e	瞬間移動到敵人面前，並用爆燄魔爪劈向敵人造成強大傷害。在爆燄之力狀態下，威力更強。
zts1733e	岩漿湧泉
zts1734e	召喚一個岩漿湧泉，被困的敵人攻擊速度和移動速度都會下降。
zts1735e	岩漿劍制
zts1736e	召喚一把岩漿之劍，在斬傷敵人的同時，會把岩漿沾在敵人的裝備上。
zts1737e	毀天滅地
zts1738e	召喚毀天滅地的爆燄風暴，高溫改變了附近的氣壓導致雷擊和塵暴也同時出現。在爆燄之力狀態下，威力更強。
zts1748e	衝向敵軍，並使出強大的一擊令對手完全臣服。
zts1749e	灼魂追擊手的基本攻擊。
zts1750e	瘋狂斧擊
zts1751e	超級終極維京射擊
zts1752e	精鋼重擊
zts1753e	黑漆漆之箭
zts1754e	不滅鬥志
zts1755e	小男孩的大勇氣
zts1756e	奧麗加的壓力
zts1757e	奧麗加的嘮叨
zts1758e	奧麗加的力量
zts1762e	坑龍初嗚
zts1763e	武之神基本攻擊，基礎槍術的一種。
zts1764e	蛟龍斷海
zts1765e	斷海分洋的一槍。
zts1766e	龍躍天門
zts1767e	一瞬間進行突進的暴風一擊。
zts1768e	旋龍破陣
zts1769e	旋轉起來引發旋風。
zts1770e	七龍一閃
zts1771e	一瞬間進行七回突刺的高階槍術。
zts1772e	捲龍殺陣
zts1773e	連同長槍一起高速旋轉，把捲進暴風中的一切分斷。
zts1774e	護法心得
zts1775e	以金剛、明王護法，保護選定的同伴及自己。假如護法對象距離武之神太遠，護法效果會自動解除。
zts1776e	收心入道
zts1777e	靜心冥想以求悟道。冥想中會解除自身的負面狀態。維持冥想一定時間後，武之神將獲得[悟道]狀態。假如冥想期間遇上阻礙，將受[誤入魔道]狀態影響。
zts1778e	狂龍猛襲
zts1779e	以迴旋的勁槍貫穿遠方的敵人。
zts1780e	昄依我佛
zts1781e	以符咒把神佛的守護加諸於同伴身上。使用時立即解除對象身上的負面狀態，然後每5秒一次以25%的機率消除同伴的負面狀態。[昄依我佛]生效期間，MP會持續減少。
zts1782e	天道正法
zts1783e	求諸天之道，以破混沌之世。
zts1784e	龍吼九天
zts1785e	七龍一閃第貳式-龍吼九天，需接在七龍一閃後使用。
zts1786e	昇龍翔天
zts1787e	發放出直達天庭的昇龍鬥氣。
zts1788e	三叉雷戟
zts1789e	海之神的基本攻擊，發射出雷之戟。
zts1790e	百慕達風暴
zts1791e	來自三個不同方位的小旋風在中心點匯合，型成驚人的巨型風暴。
zts1792e	神之戟
zts1793e	召喚一把充滿雷霆力量的神之戟。
zts1794e	海之氣息
zts1795e	透過[海之氣息]，對海之神的同伴給予神聖的祝福。
zts1796e	呼風喚雷
zts1797e	召喚雷電，把敵人燃燒殆盡。
zts1798e	魔鯊突擊
zts1799e	召喚魔鯊魚，魔鯊魚會游向並撕咬敵人。射程很遠。
zts1800e	暗潮漩渦
zts1801e	以神代魔術，在指定地點引發巨型漩渦，把附近的一切吸進旋渦中，並使敵人行動變得遲緩。
zts1802e	海妖之歌
zts1803e	就算是最凶猛的魔獸，面對海妖的甜美歌聲時，都會不知不覺間墜入夢鄉。
zts1804e	滅世海嘯
zts1805e	以神代魔術，召喚出吞天的海嘯。把前進路徑上的所有敵人推走。
zts1806e	深邃之淵
zts1807e	產生一個強大的水之力牆，從敵人的攻擊中保護海之神。
zts1808e	藍鯨壓頂
zts1809e	召喚最古老的海之神僕役-藍鯨，讓牠壓向敵人。
zts1810e	雙雷轟天
zts1811e	召喚多重雷電，把敵人燒成灰燼。
zts1812e	隼之狙擊者基本攻擊，運用機械式弩炮進行攻擊。
zts1813e	猛禽突襲
zts1814e	命令猛禽襲擊敵人，一定機率觸發連擊技。
zts1815e	簡易陷阱
zts1816e	在隼之狙擊者的附近設下陷阱。
zts1817e	追跡
zts1818e	命令猛禽追蹤指定的目標。
zts1819e	騰躍
zts1820e	在攻擊的同時，向後進行迴避機動。
zts1821e	森羅萬象
zts1822e	透過與森林之靈的交流，讓身體能力獲得提升。
zts1823e	煙幕弩彈
zts1824e	使用[煙幕弩彈]防礙敵人的視野。
zts1825e	猛禽感應
zts1826e	命令猛禽感應敵人體力值。攻擊最虛弱的敵人，並對該敵人刻下印記。
zts1827e	快速裝填
zts1828e	使用[快速裝填]後，上彈速度加快，並提升連擊技發動率。最多可維持5次連擊技。
zts1829e	伏擊
zts1830e	潛伏起來，並且可於伏擊狀態下襲擊敵人。
zts1831e	狙擊
zts1832e	從遠距離狙擊。從[伏擊態勢]轉換成[狙擊態勢]時，[狙擊]可對敵人造成額外的致命傷害。
zts1833e	螺旋一擊彈
zts1834e	發射具有良好貫通性能的螺旋弩彈，對一直線上的所有敵人造成貫通傷害。
zts1835e	螺旋連擊彈
zts1836e	再次發射具有良好貫通性能的螺旋弩彈，對一直線上的所有敵人造成貫通傷害。使用後，進入[伏擊態勢]準備狀態。
zts1837e	死亡弩擊彈
zts1838e	發射威力強大的死亡弩彈。高機率對敵人造成致命傷害。
zts1840e	猛禽索敵
zts1841e	於[追跡]狀態下，可用此技能追蹤敵人。
zts1842e	猛禽天襲
zts1843e	於[追跡]狀態下，命令猛禽突擊敵人。
zts1853e	就算是最凶猛的魔獸，面對海妖的甜美歌聲時，都會不知不覺間墜入夢鄉。PvP時只有50%效果。
zts1854e	狩獵小綿羊
zts1855e	召喚第2隊員
zts1856e	召喚2號隊員跟你並肩作戰！有效時間30秒。
zts1857e	召喚第3隊員
zts1858e	召喚3號隊員跟你並肩作戰！有效時間30秒。
zts1859e	切換視點
zts1860e	切換到其他作戰中的隊友的視點，再次視用是恢復為一般視點。
zts1861e	召喚第1隊員
zts1862e	召喚1號隊員跟你並肩作戰！有效時間30秒。
zts1866e	丟橡果
zts1867e	妨礙
zts1868e	驚鳥
zts1869e	遠雷
zts1870e	射影
zts1871e	焰舞
zts1872e	雷鳴
zts1873e	影族
zts1874e	死亡標記
zts1875e	著魔
zts1876e	暗言術
zts1877e	魔力球
zts1878e	發射充滿黑暗物質的魔力球。
zts1879e	混亂
zts1880e	擾亂敵人的心智。一定時間內使目標不斷減少HP與MP。
zts1881e	暗夜之影
zts1882e	把敵人擊飛進充滿黑暗物質的球體內。令敵人感到恐懼並無法動作。當球體被破壞時，會造成傷害。
zts1883e	閃爍
zts1884e	快速地往前方進行瞬間移動。會獲得短時間的增益效果。
zts1885e	邪咒之手
zts1886e	邪咒之手會從地下冒出來。令敵人的移動速度下降並受到詛咒。
zts1887e	幻視
zts1888e	令敵人的回復效果反轉，變成減益效果。反轉對象包括了恢復藥水。對角色的操控方向也會反轉。對怪物造成恐懼效果。
zts1889e	引爆魔力
zts1890e	造成傷害，並有一定機率偷取敵人的MP。
zts1891e	心靈操控
zts1892e	技能效果期間，一定機率吸收受到的傷害並回復HP，回復量與受到的攻擊傷害等量。10秒後，技能生效期間吸收的HP會一次過扣除。
zts1893e	暗影飛刃
zts1894e	把魔力球中的黑暗物質變化成刃狀且不斷發射。
zts1895e	瞬間無限
zts1896e	延長敵人的技能冷卻時間，假如成功發動，也降低自己的技能冷卻時間。
zts1897e	超載施法
zts1898e	最強力的禁術，能喚起任何魔法。
zts1907e	快速地往前方進行瞬間移動。一定機率能連續施放此技能。
zts1912e	惡魔槍彈
zts1913e	使用惡魔獵手的基本武器進行攻擊。
zts1914e	速射
zts1915e	瞄準目標，使用左輪手槍快速連射。
zts1916e	槍劍刃
zts1917e	可以在射擊後使出一記快速的突進攻擊。
zts1918e	復仇靈雨
zts1919e	把復仇怨靈射向空中，使怨靈如雨般落下到目標區域。對目標區域造成範圍傷害。
zts1920e	復仇靈擊 一之劍
zts1921e	向前突進並同時攻擊，最多可連續發動3次。
zts1922e	靈魂解放
zts1923e	把復仇怨靈放進彈藥中並射向敵人，擊退目標並造成傷害。
zts1924e	靈魂狂暴
zts1925e	愈是受到傷害，就會變得愈強。
zts1926e	靈魂召喚
zts1927e	進行直線射擊，並召喚鬼靈攻擊敵人。
zts1928e	靈魂爆發
zts1929e	釋放靈魂，使敵人暫時「僵硬」並竊取HP。
zts1930e	靈魂侵蝕
zts1931e	侵蝕敵人的靈魂，一定時間內造成傷害。一段時間後，效果會轉移到附近的敵人上。
zts1932e	靈魂大劍
zts1933e	召喚靈魂大劍，提高攻擊範圍，並竊取敵人HP。讓敵人產生[絕望]效果。
zts1934e	復仇靈擊 二之劍
zts1935e	復仇靈擊 三之劍
zts1936e	靈月殺法
zts1937e	[連續技] 影子會攻擊行經的敵人。
zts1938e	斷魂者之鐮
zts1939e	使用巨大的鐮刀收割敵人的靈魂。
zts1940e	銳鋒斬擊
zts1941e	使用鐮刀上的尖銳刀鋒剁碎敵人。
zts1942e	吸血魔鐮
zts1943e	斬擊斬旁的任何存在，並且從敵人身上吸取HP。
zts1944e	死之宣告
zts1945e	移向敵人，並作出威力強大的必殺一擊。
zts1946e	心靈爆破
zts1947e	把正前方、正後方的敵人擊退並降低他們的移動速度。
zts1948e	無限之鎧
zts1949e	提升所有隊友的防禦力和對位移技能的抵抗力。
zts1950e	收割靈魂
zts1951e	把附近的敵人拖曳到你面前，一定機率獲得 [靈魂吸收] 狀態。
zts1952e	死神之鐮
zts1953e	向敵人投擲死神之鐮，並造成 [死神標記]。
zts1954e	死亡之影
zts1955e	一定機率對廣範圍內的敵人附加 [死亡之影] 效果。對於有 [死神標記] 的敵人造成額外傷害。對怪物有恐懼效果。
zts1956e	惡魔時間
zts1957e	發動中，降低一個技能的冷卻時間20%。假如處於 [靈魂吸收] 狀態，增益效果提升至降低80%技能冷卻時間，然後會消耗掉收割到的靈魂。
zts1958e	斷魂亂斬
zts1959e	躍往空中，然後對敵人的位置進行亂斬。只會對1個敵人造成傷害。對於有 [死神標記] 的敵人造成額外傷害。使用後，敵人的 [死神標記] 及你的 [惡魔時間] 效果都會消失。
zts1970e	使用巨型鐵架進行攻擊。當鐵架破壞時，敵人將受到傷害。
zts1971e	向敵人投擲咀咒之手，並造成傷害。
zts1972e	使目標成為宿主，並把靈魂擴散至附近的敵人。
zts1973e	發動中，降低一個技能的冷卻時間10%。假如處於 [靈魂吸收] 狀態，增益效果提升至降低80%技能冷卻時間，然後會消耗掉收割到的靈魂。
zts1979e	我的動作哪有這麼可愛
zts1980e	我有九條小尾巴
zts1981e	可愛九尾的尖叫聲
zts1986e	海雅
zts1987e	旋風
zts1988e	虎之力
zts1989e	馭劍
zts1990e	利用能量軀使飛劍進行攻擊
zts1991e	單次射擊
zts1992e	發射一玫飛劍攻擊敵人
zts1993e	爆破
zts1994e	發射飛劍並產生爆炸
zts1995e	聖光斬
zts1996e	用發光的劍氣攻擊敵人，並造成負面狀態的額外傷害
zts1997e	影子劍
zts1998e	發射飛劍攻擊敵方影子妨礙移動
zts1999e	劍陣
zts2000e	地上面出現持續不斷的飛劍
zts2001e	截擊劍
zts2002e	向目標的腿進行射擊導致緩速
zts2003e	天劍
zts2004e	發射數玫飛劍攻擊敵人
zts2005e	破刃
zts2006e	發射飛劍產生巨大衝擊導致傷害
zts2007e	驚天動地劍
zts2008e	召喚一把巨大的劍從地面攻擊
zts2009e	九劍訣
zts2010e	召喚九把劍向目標進行攻擊
zts2024e	妖魔之舞
zts2025e	妖的化身
zts2026e	隱身帽子
zts2027e	審判之光
zts2028e	鋒利之羽
zts2029e	神之名義
zts2030e	劍之繪畫
zts2031e	以浮遊劍繪畫傷害。
zts2032e	馭劍飛舞
zts2033e	拋出劍刃並造成多次傷害。
zts2034e	劍刃爆破
zts2035e	拋出劍刃並產生爆炸。
zts2036e	瞬影劍
zts2037e	利用劍刃射出光芒並傷害敵人。
zts2038e	影子束縛
zts2039e	透過影子束縛敵人。
zts2040e	閃耀之劍
zts2041e	以劍刃插向地面，並對附近敵人造成傷害。
zts2042e	靈活之劍
zts2043e	使敵人下半身受到傷害，並緩減移動速度。
zts2044e	法術約束
zts2045e	以劍刃吸收屬性之力。
zts2046e	流星劍
zts2047e	向敵人拋出劍刃並發出光芒。
zts2048e	劍刃大師
zts2049e	召喚出巨大之劍並插向地面，對附近敵人造成傷害。
zts2050e	心靈之劍
zts2051e	召喚九把劍刃飛向目標，並造成多次傷害。
zts2052e	火焰
zts2053e	火之元素
zts2054e	寒冰
zts2055e	水之元素
zts2056e	神聖
zts2057e	光之元素
zts2058e	暗黑
zts2059e	暗黑元素
zts2060e	虛無
zts2061e	光之法術
zts2062e	以記憶法術攻擊敵人。
zts2063e	光之粉塵
zts2064e	散播光之粉塵並使之爆破。受影響的目標會被標記。
zts2065e	抑制之光
zts2066e	覆蓋敵人的身體使之受到傷害並緩速。
zts2067e	神聖棱柱
zts2068e	發射強烈光芒並造成傷害。
zts2069e	神聖爆破
zts2070e	以神聖的光芒傷害敵人，並讓染有光之粉塵的敵人造成額外傷害。
zts2071e	魔力躍動
zts2072e	能力極限化
zts2073e	法術昇華
zts2074e	能夠更有效地使用法術。
zts2075e	神聖之霧
zts2076e	神聖十字在迷霧中引領前路。
zts2077e	聖神傳送術
zts2078e	與成員傳送到記錄的位置。
zts2079e	流星隕落術
zts2080e	投下多顆流星以攻擊敵人。
zts2081e	聖夜之光
zts2082e	給予所有成員祝福。
zts2083e	閃耀之光
zts2084e	荊棘之地
zts2085e	詛咒的氣息
zts2088e	光與影
zts2089e	以神聖的劍與暗黑的力量進行攻擊。
zts2090e	快速刺出神聖之劍兩次。
zts2091e	黑暗審判
zts2092e	以暗黑能量發射波動。
zts2093e	神聖定律
zts2094e	召喚巨大的神聖之劍。
zts2095e	雙重斬
zts2096e	向前移動並揮劍攻擊。
zts2097e	神聖之域
zts2098e	以閃耀的屏障來攻擊敵人。
zts2099e	點燃鬥志
zts2100e	以極限化的神聖與暗黑力量來攻擊敵人。
zts2101e	聖十字斬
zts2102e	快速揮舞神聖之劍進行攻擊。
zts2103e	重燃希望
zts2104e	以極限化的神聖與暗黑力量來進行防禦。
zts2105e	克爾之斷
zts2106e	以暗黑力量使敵人產生恐懼。
zts2107e	神聖交易
zts2108e	由神所創造的武器，以神聖之劍攻擊所有敵人。
zts2112e	燃燒吧！豬腿～
zts2113e	震動尾擊
zts2114e	傲慢挑釁
zts2124e	斬斬
zts2125e	刺刺
zts2126e	跳跳
zts2129e	砰砰
zts2130e	一槍送你到天堂
zts2131e	PRI
zts2132e	安雪路安的奉獻
zts2133e	奉獻的力量使獲得強大的身體和意志
zts2134e	安雪路安平原
zts2135e	使用奉獻的力量衝擊敵人
zts2136e	安雪路安的降臨
zts2137e	安雪路安的力量使你獲得強大的身體和意志，使用1個安雪路安的精華。
zts2138e	安雪路安的憤怒
zts2139e	以安雪路安的力量衝擊敵人。對怪物沒有效果。
zts2143e	絕對零度
zts2144e	泡泡射擊
zts2145e	急速冷凍
zts2146e	冰之束縛
zts2147e	冰霜之雨
zts2148e	霜涷琉璃
zts2149e	風之刀刃
zts2150e	幽靈船
zts2151e	船錨
zts2152e	[初級] PvP 傷害增加
zts2153e	增加 1% PvP傷害
zts2154e	[中級] PvP 傷害增加
zts2155e	增加 2% PvP傷害
zts2156e	[上級] PvP 傷害增加
zts2157e	增加 3% PvP傷害
zts2158e	[大師級] PvP 傷害增加
zts2159e	增加 5% PvP傷害
zts2160e	[初級] PvP 防禦增加
zts2161e	增加 5% PvP防禦
zts2162e	[中級] PvP 防禦增加
zts2163e	增加 2% PvP防禦
zts2164e	[上級] PvP 防禦增加
zts2165e	增加 3% PvP防禦
zts2166e	[大師級] PvP 防禦增加
zts2167e	被遺忘的英雄 D 日誌 No.1
zts2168e	增加 80 體質
zts2169e	被遺忘的英雄 S 日誌 No.1
zts2170e	增加 80 敏捷
zts2171e	被遺忘的英雄 J 日誌 No.1
zts2172e	增加 80 智力
zts2173e	被遺忘的英雄 M 日誌 No.1
zts2174e	增加 4000 HP
zts2175e	無名英雄 日誌 No.1
zts2176e	增加 4000 MP
zts2177e	羅佩勒 親衛隊 國防理論 No.1
zts2178e	增加 30 所有防禦力
zts2179e	羅佩勒 親衛隊 犯罪理論 No.1
zts2180e	增加 30 所有攻擊力
zts2181e	妖精的友誼(翻譯本) No.1
zts2182e	增加 10 所有元素抗性
zts2183e	大魔法師佩爾羅的古老故事 No.1
zts2184e	增加 5% EXP
zts2185e	阿卡瑪商團 日誌 No.1
zts2186e	增加 3% 金幣
zts2220e	增加 1% PvP防禦
zts2221e	讓熊熊飛！
zts2222e	我剪！我剪！
zts2223e	變大吧！熊熊！
zts2224e	死亡馬戲團！
zts2225e	馬戲團戲法！
zts2226e	驚喜！
zts2227e	廿萬伏特！！！
zts2228e	召喚多道強大的閃電把敵人燒焦
zts2229e	曼德拉召喚
zts2230e	TreeGun攻勢
zts2231e	時空轉移
zts2232e	雨傘斬
zts2233e	花瓣落
zts2234e	雨傘防禦
zts2235e	被遺忘的英雄 D 日誌 No.2
zts2236e	增加 100 體質。
zts2237e	被遺忘的英雄 S 日誌 No.2
zts2238e	增加 100 敏捷。
zts2239e	被遺忘的英雄 J 日誌 No.2
zts2240e	增加 100 智力。
zts2241e	被遺忘的英雄 M 日誌 No.2
zts2242e	增加 6000 HP。
zts2243e	無名英雄 日誌 No.2
zts2244e	增加 6000 MP。
zts2245e	羅佩勒 親衛隊 國防理論 No.2
zts2246e	增加 50 所有防禦力。
zts2247e	羅佩勒 親衛隊 犯罪理論 No.2
zts2269e	增加 50 所有攻擊力。
zts2270e	戰鬥怒吼
zts2271e	戰場上的意志
zts2272e	瓦爾基裡的祝福
zts2273e	英靈的指引
zts2278e	戰鬥怒吼使敵人降低戰鬥意欲。
zts2279e	拉格納羅洛，維京人的戰士！他的意志可使敵人感受到無形的威脅！
zts2280e	人類，當接受了瓦爾基裡的祝福，等同於受到神的保護。
zts2281e	瓦爾基裡的責任是作為英靈的導引，讓靈魂淨化。
zts2287e	大自然的祝福
zts2288e	她能夠把大自然的祝福傳給身邊的人。
zts2289e	法力燃燒
zts2290e	維京法師能夠掌握法術，自然也能夠消耗敵人的法力。
zts2297e	你可以攻擊敵方的怪物。按A鍵使用。
zts2298e	你可以攻擊敵方的角色。
zts2299e	按S鍵使用。當身體被涷結時，友好玩家必須於10秒內幫忙解涷，否則便會涷死…
zts2300e	封鎖陷阱
zts2301e	強大的哥特騎士珍妮花可以創造出陷阱來壓制敵人。
zts2302e	高級格檔
zts2303e	哥特人對負面狀態獨有的抗性。
zts2305e	幽靈吹息
zts2306e	德斯特拉赫
zts2307e	維京人的驕傲
zts2322e	閃電指揮
zts2323e	他經過研究，掌握了大自然的偉大力量，最終甚至能夠控制閃電。
zts2324e	禁咒術
zts2325e	尤柏蘭希望得到超越自己極限的能力，因而沉迷於不該觸及的咒語。
zts2327e	瘋狂衝擊
zts2328e	復活
zts2329e	領導力
zts2330e	血的渴望
zts2331e	專屬假期
zts2332e	Kuaaaa!
zts2333e	把逃跑中的敵人擊飛。
zts2334e	粉碎衝擊
zts2335e	利用堅硬的肩膀向敵人進行衝撞攻擊。
zts2336e	通往夢想世界的通行証
zts2337e	完全失去抵抗能力的陷入睡眠。
zts2338e	實驗體召喚
zts2339e	於附近召喚實驗體並提升移動速度。
zts2340e	氣喘
zts2341e	超強靜電
zts2342e	直拳
zts2343e	武者的基本套路
zts2344e	連環拳
zts2345e	連續揮拳攻擊敵人
zts2346e	劈手
zts2347e	以強力手刀攻擊敵人
zts2348e	手刀攔截
zts2349e	能夠中斷敵人的攻勢
zts2350e	側踢
zts2351e	武者的基本踢腳
zts2352e	連環踢
zts2353e	連續踢腳攻擊敵人
zts2354e	旋風腿
zts2355e	強力的迴旋踢
zts2356e	腳裸踢擊
zts2357e	出其不意的踢擊敵人下半身，使敵人產生不良狀態。
zts2358e	氣功波
zts2359e	以氣勁震擊敵人
zts2360e	體力恢復
zts2361e	以氣功回復體力
zts2362e	戰鬥體勢
zts2363e	匯聚能量激發攻擊潛能
zts2364e	行雲流水
zts2365e	匯聚能量激發移動潛能
zts2366e	冥想
zts2367e	匯聚能量激發更強力的一擊
zts2368e	靈活步伐
zts2369e	以靈活的步伐瞬間移動到目的地。
zts2370e	開眼
zts2371e	突破界限連續使用技能3次
zts2372e	強化護手 Lv1
zts2373e	提升短距離攻擊威力
zts2374e	初級植物系魔物專精
zts2375e	增加對初級植物系魔物所造成的短距離攻擊傷害
zts2376e	爆炎
zts2377e	以火元素能增猛烈攻擊敵人
zts2378e	強化手臂
zts2379e	提升連環拳命中率和短距離攻擊威力。
zts2380e	高級連環拳
zts2381e	提升連環拳短距離攻擊威力
zts2382e	瞄準弱點
zts2383e	通過發現敵人弱點以提高爆擊機率。
zts2384e	攻擊弱點
zts2385e	通過發現敵人弱點以提高爆擊傷害。
zts2386e	皮膚硬化
zts2387e	能夠抵擋敵人的攻勢
zts2388e	增加對初級怪物所造成的短距離攻擊傷害
zts2389e	幻影踢
zts2390e	以神奇的幻影腳法使敵人混淆繼而陷入[昏厥]
zts2391e	強化護腿 Lv1
zts2392e	提升連環踢命中率和短距離攻擊威力。
zts2393e	高級連環踢
zts2394e	提升連環踢的爆擊機率
zts2395e	提升旋風腿的攻擊範圍
zts2396e	腳裸踢擊增加[昏厥]效果
zts2397e	腳裸踢擊增加[出血]效果
zts2398e	擊退敵人。
zts2399e	看不見的能量
zts2400e	以強而有力的無形能量攻擊敵人
zts2401e	提升氣功波的攻擊範圍
zts2402e	儲存更多的能量。
zts2403e	強化護手 Lv2
zts2404e	強化劈手
zts2405e	提升劈手的攻擊威力
zts2406e	強化護腿 Lv2
zts2407e	連鎖旋風腿
zts2408e	減少技能冷卻時間。
zts2409e	初級動物系魔物專精
zts2410e	初級不死系魔物專精
zts2411e	增加對初級不死系魔物所造成的短距離攻擊傷害
zts2412e	爆擊機率提升 Lv1
zts2413e	增加氣功波的爆擊機率。
zts2414e	爆擊機率提升 Lv2
zts2415e	爆擊機率提升 Lv3
zts2416e	屍新郎附體
zts2417e	屍新娘詛咒
zts2418e	刺拳
zts2419e	帶有殘影的刺拳
zts2420e	野性之拳
zts2421e	以巨大的獬豸之拳攻擊敵人
zts2422e	野性之爪
zts2423e	以巨大的獬豸之爪爪擊敵人
zts2424e	獬豸擒拿手
zts2425e	以巨大的獬豸之爪把敵人牢牢抓往
zts2426e	獬豸解放
zts2427e	獲取獬豸的能量
zts2428e	獬豸之躍
zts2429e	以敏捷的身手向後翻滾
zts2430e	以巨大的獬豸之爪把敵人撲倒
zts2431e	形態切換
zts2432e	轉換成「獬豸」或「赤龍」的形態
zts2433e	火焰球
zts2434e	向敵人發射出像搖搖球一樣的火焰
zts2435e	關節痛擊
zts2436e	瞄準敵人的關節位置進行攻擊
zts2437e	揮舞火焰
zts2438e	火焰沿著揮拳燃燒到敵人身上
zts2439e	火焰衝擊！
zts2440e	用火焰之陣衝擊敵人！
zts2441e	赤龍解放
zts2442e	獲取赤龍的能量
zts2443e	赤龍之躍
zts2444e	以敏捷的身手向前飛撲
zts2445e	十字火焰斬
zts2446e	具有火焰之力的手以十字的方式斬向敵人
zts2447e	火焰暴風衝擊！
zts2448e	無與倫比的火焰暴風把敵人燃燒殆盡
zts2455e	M Gun
zts2456e	增加對初級動物系魔物所造成的短距離攻擊傷害
