zts1e	依蘭特 裝備商店 (使用)
zts14450e	確保交易路線的作戰已告一段落了。
zts14451e	我已經把你過去的作戰成果寫成報告書，你必須把這個交給總行首哈瑪特‧阿卡瑪。你把報告書交給他之後，他會給你合理的獎勵。
zts14452e	我不會忘記你為阿卡穆里商團所做的努力。
zts14453e	什麼事呢？有事找我嗎？
zts14454e	這樣一來，就可以把交易物品先送到沙漠飛鷹城，了卻了我一樁心事。多虧你的努力，我們才能保住阿卡穆里商團的信譽，我會代表阿卡穆里商團給你豐富的獎勵。
zts14455e	ACT5烈焰之刃-和沙漠盜賊團的協商
zts14456e	現在的情況必須採取軟性對策。為了未來的商旅，我希望和沙漠盜賊團稍做協商。也許你會認為我和盜賊們妥協是膽怯的行為，但如果考慮過去與沙漠盜賊團的交情，這方法看來是可行的。
zts14457e	修米海伊茲負責大部分的作戰，所以你去和他討論詳細的作戰內容吧，我來準備其他協商相關的代價。
zts14458e	請問你有什麼話想說嗎？
zts14459e	[修米海伊茲看完協商文件之後將它撕碎]
zts14460e	請你對這份文件內容保密。其實我的想法不同，他們不過是常見的盜賊，我無法容忍和他們協商，但既然是總行首哈瑪特‧阿卡瑪的意思，我只能遵從。
zts14461e	為了和沙漠盜賊團進行協商，得先有和他們接觸的機會，
zts14462e	根據最近我方情報員的消息，看來像是沙漠盜賊團的代理人去了凱路斯野營地，
zts14463e	請你帶著這份我準備的新協商文件前往凱路斯野營地，然後請你交給那個代理人。
zts14464e	[修米海伊茲露出神秘的笑容]
zts14465e	如果說不想協商的話，我會允許危害你的動作。
zts14466e	什麼事？你是阿卡穆里商團的爪牙嗎？
zts14467e	[拿出協商文件給代理人姆路沙，看完協商文件的代理人姆路沙充滿憤怒、大聲斥喝。]
zts14468e	想用這個來玩弄我們嗎？
zts14469e	警衛兵！警衛兵！把這些阿卡穆里商團的走狗們活捉起來吧。
zts14470e	[代理人姆路沙用粗魯的聲音向四處大喊著。]
zts14471e	警衛兵到底在幹什麼？
zts14472e	[代理人姆路沙摘下沙漠盜賊團的頭巾丟到地上，用駭人的表情張望著。]
zts14473e	[代理人姆路沙故作鎮靜，再次向周圍大喊]
zts14474e	警衛兵！你們都在幹些什麼？還不趕快除掉這傢伙？
zts14475e	你們那樣也算是沙漠盜賊團的一員嗎？
zts14476e	就憑那點功夫我是不會屈服的。
zts14477e	[代理人姆路沙卸下沙漠盜賊團的徽章，畏縮不前]
zts14478e	哼哼，真是個混蛋冒險家，部隊凱路斯在哪裡？趕快給我除掉這傢伙，只有你一個而已嘛！
zts14479e	部隊凱路斯是個厲害的人，你這種程度是贏不了他的。
zts14480e	[部隊凱路斯的印章掉到地上，代理人姆路沙在原地跪了下來。]
zts14481e	該死，難道沒有辦法了嗎？我輸了，我投降。
zts14482e	這是我們沙漠盜賊團大頭目依普拉罕穆給你的密信，轉交給阿卡穆里商團的負責人吧。那樣一來我們就不得不投降了吧。
zts14483e	[封印的信紙上印有沙漠盜賊團的圖章，我很傷腦筋這要交給誰才好，後來想到只要交給修米海伊茲就好了。]
zts14484e	對沙漠盜賊團代理人的作戰怎麼樣了？請問有打聽到什麼消息嗎？
zts14485e	這是沙漠盜賊團大頭目依普拉罕穆送來的密信是吧？是個大收穫。
zts14486e	[修米海伊茲讀完信之後勃然大怒，將信撕毀。]
zts14487e	內容真是幼稚的挑釁。那內容讓我難以啟齒，該說是心情很差嗎？
zts14488e	這密書的內容和我之前的猜測吻合，請你把我準備好的東西交給總行首哈瑪特‧阿卡瑪就可以了。
zts14489e	和沙漠盜賊團的交涉結果如何了？ 他們願意接受我的交涉提議嗎？
zts14490e	原來如此，真是無可救藥。雖然這提議打從一開始我就不抱期待，卻真出現了確實的結果，我還真有點失望。以後可能要加強沙漠盜賊團的應對守衛了。
zts14491e	首先要謝謝你幫我進行這次作戰。阿卡穆里商團不會忘記你的幫忙，不必擔心。我會給你合理的獎勵。
zts14492e	ACT5烈焰之刃-商團俘虜救援作戰
zts14493e	[第2階段行動通知書]
zts14494e	遵照沙漠盜賊團大頭目依普拉罕穆的命令，希望對阿卡穆里商團繼續進行大規模的敵對行為。
zts14495e	綁架重要人物、奪取交易物品，一直到沙漠飛鷹城的隔絕作戰為止，連大頭目都很滿意各位的辛勞。
zts14496e	而且聽說在麥爾奇的野營地抓到了阿卡穆里商團的重要人物，可說是一大功勞。我等著你們盡快把阿卡穆里商團的重要人物護送到沙漠盜賊團的巢穴來。代理人姆路沙。
zts14497e	我現在為了應付沙漠盜賊團的橫行而十分忙碌。
zts14498e	原來不是什麼好消息。
zts14499e	[表情看來毫無變化]
zts14500e	請問我看起來很沉著冷靜嗎？不是那樣。因為我思考著很多事情，雖然看起來好像是那樣，但實際上並非如此。
zts14501e	老實告訴你，我想要默默地解決這次的事情。這番話不要傳到總行首哈瑪特‧阿卡瑪的耳裡。
zts14502e	那麼來說說救出我們商人的方法吧。雖然很難確定誰成了俘虜，但都被拘禁在麥爾奇的野營地。為了更加易於展開救援行動，必須把看來像是沙漠盜賊團成員的所有盜賊全部一網打盡。
zts14503e	請你趕快前往麥爾奇的野營地吧，救援商團俘虜一事就全權交給你負責了。
zts14504e	請問你是誰？開始執行死刑了嗎？請饒我活命吧，我還有很多事情沒能完成。
zts14505e	請問是你嗎？你是前來救我的阿卡穆里商團救援隊嗎？
zts14506e	你既然來到了我這裡，表示你已經消滅了周圍沙漠盜賊團的盜賊對吧？請快點幫我解開。
zts14507e	啊，必須要有鑰匙。這麥爾奇的野營地某處有沙漠盜賊團的看守人，他身上有鑰匙，請你快點把它拿來幫我解開。
zts14508e	看守人的鑰匙！請問你帶來了嗎？其他鑰匙無法解開這腳銬，請你快一點，快點！
zts14509e	很好，這樣我就可以脫身了。
zts14510e	我不懂得戰鬥，我是個普通的商人。
zts14511e	所以啊，請你幫我開啟逃亡的路，讓我逃回阿卡穆里商團的野營地去吧。你消滅在麥爾奇的野營地的盜賊，我就能神不知鬼不覺地脫逃了。
zts14512e	還有請你告訴副行首修米海伊茲，我已經逃脫了。
zts14513e	怎麼樣了？俘虜逃脫了嗎？
zts14514e	我已經取得聯絡了，辛苦你了。
zts14515e	幸好在總行首阿卡穆里結束重要會議之後接獲了救援的消息。
zts14516e	幸好會議毫無差池順利進行。我認為你是最大功臣。
zts14517e	阿卡穆里商團的總行首哈瑪特‧阿卡瑪希望在取得這次救援俘虜相關報告書的同時也見你一面。請趕快帶著這份報告書去見他吧。
zts14518e	不是有東西要交給我嗎？
zts14519e	原來是你，救援我方俘虜的英雄，真是辛苦你了。我們阿卡穆里商團現在所處情況並不樂觀，
zts14520e	但透過這次事件的契機可以鼓舞士氣。沙漠盜賊團的挑撥和攻擊日益猛烈，但是我們不能向他們屈服。
zts14521e	你為了阿卡穆里商團所進行的活動，我會以商團之名給你滿意的獎勵。
zts14522e	ACT5烈焰之刃-前往麥爾奇的野營地
zts14523e	這次作戰的目的是要讓麥爾奇的野營地失去能力。雖然我方的戰力十分不足，但若阻絕它和其他地區戰力連結，我們會有勝算。
zts14524e	請看地圖。往阿卡瑪商團野營地和麥爾奇的野營地移動的路徑來看，最近的商團野營地是在東部。現在怪物組成封鎖阿卡瑪商團野營地的陣營。為了執行麥爾奇的野營地的作戰，必須成為順暢的要道，因此得消滅商團野營地東部的怪物。
zts14525e	消滅怪物順利嗎？
zts14526e	很好，可以進行下回作戰了。
zts14527e	作戰目標是麥爾奇的野營地周邊。這是前往麥爾奇的野營地必經的關口。
zts14528e	這次沙漠盜賊團的抵抗應該不小，作戰內容是這樣的，必須同時消滅麥爾奇的野營地周邊的怪物和沙漠盜賊團的盜賊。
zts14529e	無論如何我對你的力量深具期待。
zts14530e	請問任務執行過程中沒有問題嗎？現在還沒取得進攻路線嗎？
zts14531e	藉此攻擊麥爾奇的野營地應該沒有問題。
zts14532e	現在已取得攻擊麥爾奇的野營地的進攻路線。
zts14533e	這次作戰只憑你一人可能會很辛苦，請你和可靠的朋友一起進行這次作戰吧。你必須做的事情是請以阿卡穆里商團之名，將麥爾奇的野營地化為一片焦土。
zts14534e	請問你把麥爾奇的野營地化為焦土了嗎？部隊長麥爾奇怎麼樣了？
zts14535e	這樣一來，我們阿卡穆里商團在和沙漠盜賊團的戰鬥中取得了偉大的勝利。以這勝利為基礎，延續確實的抗爭吧。
zts14536e	這次作戰完全仰賴你的幫助。
zts14537e	阿卡穆里商團總部派來的支援到達之後，再加上更多冒險家的幫助，我們就會取得更多勝利，脫離沙漠盜賊團的影響。
zts14538e	我完成了這次作戰的報告書，請你交給總行首哈瑪特‧阿卡瑪，他應該最為期待這次的勝利。
zts14539e	怎麼樣了？確實圍剿了麥爾奇的野營地嗎？
zts14540e	這樣一來，我們阿卡穆里商團可以鬆一口氣了。這次作戰你的功勞真大啊。
zts14541e	ACT5烈焰之刃-前往凱路斯野營地
zts14542e	我正考慮發動假攻擊，其中之一是突襲凱路斯野營地。我不是說現在立刻進行突襲，是指作戰的目標。開始進行第一階段吧。
zts14543e	為了前進凱路斯野營地，必須取得從商團野營地西部往下到南方的要道，為此請你現在立刻前往商團野營地西部去消滅怪物。
zts14544e	請你趕快消滅它們，不能那樣慢吞吞地進行作戰。
zts14545e	這樣一來，就開啟了把交易物品送往沙漠飛鷹城之路。當然這次作戰之所以稱為聲東擊西，原因就在於一次達成兩種目標。
zts14546e	根據我所獲得的情報，怪物的襲擊是沙漠盜賊團的盜賊們所發動的。
zts14547e	那麼為了攻奪凱路斯野營地，必須討伐凱路斯野營地周邊的怪物和沙漠盜賊團的盜賊們。
zts14548e	從商團野營地西部往南走下去，就可以到凱路斯野營地周邊了。
zts14549e	我很擔心沙漠盜賊團那些傢伙們的反擊。請問你還沒出發嗎？
zts14550e	我很期待這次作戰能取得多少成果，因為殲滅沙漠盜賊團和阿卡瑪商團野營地的安全有直接關係。
zts14551e	現在正式執行作戰。
zts14552e	這次執行的作戰是突襲凱路斯野營地。請你消滅在凱路斯野營地的沙漠盜賊團。
zts14553e	所以請你和可靠的夥伴一起去。
zts14554e	請不要透露我方情報，盡快進行。
zts14555e	凱路斯野營地相關的作戰很成功。老實說我之前感到很不安，但你幫我全部一掃而空了。
zts14556e	來吧，請你把凱路斯野營地的相關報告書交給總行首哈瑪特‧阿卡瑪。
zts14557e	他很殷切地等著你，這次展開和沙漠盜賊團的全面作戰之後，他常常都沒用餐呢。
zts14558e	凱路斯野營地怎麼樣了？你殲滅他們了嗎？快點說啊？
zts14559e	真是太好了，現在我們也能在沙漠飛鷹城順利運送補給交易物品了。
zts14560e	心事少了不少，多虧你了。我們阿卡穆里商團最重視信義，我會給你滿意的獎勵。
zts14561e	ACT5烈焰之刃-沙漠盜賊團虎視眈眈的是？
zts14562e	近來沙漠盜賊團的掠奪行徑愈來愈嚴重了。
zts14563e	真是糟糕。雖然這種情況很可怕，但我身為阿卡穆里商團的總團長，不打起精神是不行的。
zts14564e	我希望你能為我們阿卡穆里商團盡一份力。請兄台你先去找我的輔佐代理人塞米亞‧貝爾頓並和她討論吧。
zts14565e	請你不必急著講也沒關係，我已經收到總行首哈瑪特˙阿卡穆里的信，是有關這次沙漠盜賊團的處置方法，我會去打聽其他的情報。
zts14566e	我一直在思考目前阿卡穆里商團對付沙漠盜賊團的方法，我們阿卡穆里商團必須在這沙漠飛鷹城和阿卡瑪商團野營地發動假攻擊。
zts14567e	其中之一是凱路斯野營地。你應該知道凱路斯野營地吧？那是沙漠盜賊團的野營地之一，在沙漠飛鷹城的東南方。你要做的事情是從那地方的部隊凱路斯帶回來有用的情報。
zts14568e	怎麼樣了？你得到有用的情報了嗎？
zts14569e	很好，果然凱路斯野營地正在策劃著什麼。
zts14570e	由你所帶來的情報看來，他們正展開作戰以孤立沙漠飛鷹城。正確地說，情報顯示卡頓的野營地正進行準備加以執行，所以我先派遣我們阿卡穆里商團的警衛兵。警衛兵叫做普特蘭，他是很有能力的人。
zts14571e	現在請你前往卡頓的野營地周邊，和他一起討論下次作戰事宜吧。我已經下達幾項指令給他了。
zts14572e	請問你就是那個傳說中的冒險家嗎？我一眼就認出來了。
zts14573e	[警衛兵普特蘭手指向卡頓的野營地]
zts14574e	這是現在沙漠盜賊團突襲沙漠飛鷹城的作戰基地。為了沙漠飛鷹城的安全，必須先從這卡頓的野營地開始剷除敵人。這次作戰的一環是注意周圍沙漠盜賊團的動向。
zts14575e	請問你要怎麼對付沙漠盜賊團那些傢伙？
zts14576e	我不認為會獲得太多的情報，因為現在才剛開始而已。
zts14577e	現在去突襲卡頓的野營地吧。請你記得，我們必須進行的作戰是為了時時刻刻觀察他們的動向，有時也要克制自己沸騰湧現的血氣。請你消滅一部份卡頓的野營地的沙漠盜賊團，並仔細觀察他們的反應。
zts14578e	請問怎麼樣了？他們沒有出現特別的舉動嗎？
zts14579e	[警衛兵普特蘭聽到報告說沒有發現他們特別的舉動，露出失望的表情。]
zts14580e	那也沒辦法。我認為繼續調查下去，總會發現些什麼的。
zts14581e	至今調查卡頓的野營地什麼都沒有發現。
zts14582e	[警衛兵普特蘭似乎想到了什麼好點子，露出微笑。]
zts14583e	那麼我想如果是部隊長卡頓的話，應該會有特別的情報。請你去確認部隊長卡頓是否有值得一用的情報。
zts14584e	情報怎麼樣了？有可用的情報嗎？
zts14585e	就是這個。由這個可以知道沙漠盜賊團到底覬覦的是什麼東西。現在來思考對付沙漠盜賊團的方法吧。當然基本的方針是排除他們，也就是說戰鬥是無可避免的。
zts14586e	雖然我已看過你取得的文件，但沒辦法知道命令是什麼。真是為難，我本以為是非常有用的情報呢。
zts14587e	總之這裡的情況必須向阿卡穆里商團總部報告。請你現在立刻前往在沙漠飛鷹城的阿卡穆里商團總部吧，請你把這個交給代理人塞米亞‧貝爾頓。
zts14588e	請問你有什麼事嗎？
zts14589e	這是沙漠盜賊團內部的秘密文件，這和你之前取得的是一樣的。為了得知沙漠盜賊團的陰謀，必須知道這文件裡所記載的情報。
zts14590e	聽說已經搜尋到近來與沙漠盜賊團密切聯絡的人物。
zts14591e	他是住在沙漠飛鷹城旁邊無法地帶的居民。不知道沙漠盜賊團在策劃些什麼，所以情報是愈多愈好吧。
zts14592e	請你現在立刻前往無法地帶，尋找名叫卡瑪歸‧莫皮的男子。
zts14593e	[喝醉酒的卡瑪歸‧莫皮用迷茫的眼睛望著。]
zts14594e	你帶來了煩人的事情啊。儘管如此，既然你帶來了酒錢，我也不能不幫你。
zts14595e	沙漠盜賊團傢伙們正策劃著無用的舉動，我就告訴你他們所策劃的事情吧。他們現在正在找尋阿卡穆里商團帶來的某樣東西，那到底是什麼東西並沒有表示出來。雖然我不知道這樣的情報對你和阿卡穆里商團會有什麼幫助...詳細的內容我就說到這裡，你趕快去傳達給阿卡穆里商團吧。
zts14596e	怎麼樣了？那份文件相關的情報呢？請你快點說吧！
zts14597e	我來看看，請你等我一下。
zts14598e	卡瑪歸‧莫皮是胡說八道啊，他說是沒有用的情報？並非如此。我們藉此可以得知幾項重要的事實。他們虎視眈眈的東西並非阿卡穆里商團本身，而是某樣東西。再進一步調查應該就可以知道他們所覬覦的東西是什麼了。
zts14599e	很好，這次調查出這樣的程度已經夠了。
zts14600e	我已經完成了這次作戰相關的報告書，請你交給總團長尼比阿卡瑪。我得將這次作戰和連貫的作戰進行比較分析。
zts14601e	怎麼樣了？請問你順利執行了負責的任務嗎？
zts14602e	對我來說，這份報告書並不是那麼簡單，但我可以知道你出色地完成了這次的任務。我會慢慢地看報告書，並根據我們阿卡穆里商團訂定的基準來給予你獎勵。
zts14603e	真是非常辛苦你了。
zts14604e	ACT5烈焰之刃-與沙漠盜賊團最後的交涉
zts14605e	你取得了很好的情報。聽說有人和沙漠盜賊團有特別的關係，他是在無法地帶名叫貝爾門的劍客。他從前是怎樣的人並不重要，只要能透過他和沙漠盜賊團交涉就夠了。我已經準備好交涉相關的委託費，請你交給劍客貝爾門。
zts14606e	呃呃，有點困難啊，我現在率領著這無法地帶的警衛隊，我和阿卡穆里商團的關係也不是那麼好，很難幫你...
zts14607e	[劍客貝爾門露出苦惱的樣子。]
zts14608e	真是沒辦法，我會接受阿卡穆里商團的請求。我把你所帶來的交涉費作為維持我們無法地帶治安之用。
zts14609e	當我還是沙漠盜賊團部隊長時曾有過朋友，我要介紹給你的是從那時起和我保持交情的人。你不要用那種眼神看我，我現在不是沙漠盜賊團了，我和頭目一起離開了那個地方。你不需要在乎我的過去不是嗎？
zts14610e	來，這裡記載了你的要求，拿給他看吧。
zts14611e	你是誰？如果你不是沙漠盜賊團的一份子，就趕快離開這裡吧。
zts14612e	你是獲得劍客貝爾門認可的冒險家嗎？你必須有他的保證，我才能誠摯地和你交談。
zts14613e	[周圍聽得到有什麼在移動的聲音。]
zts14614e	你剛剛也聽到什麼聲音了吧？大事不好了，你和我的對話被誰聽見了。沒有選擇的餘地了，快點幫我消滅周圍的沙漠盜賊團。我和你見面的事被人知道的話，不僅是你，連我身邊也會出現問題。
zts14615e	怎麼樣了？你消滅竊聽的傢伙了嗎？
zts14616e	繼續說吧。
zts14617e	沙漠盜賊團的巢穴和為了讓沙漠盜賊團在摩里塔茲沙漠活動的基地是一樣的，但近來沙漠盜賊團的團員們變得很怪異。為了和沙漠盜賊團交涉，你必須幫我幾件事。那樣才能讓我更相信你不是嗎？你要做的事情是幫我找來分散在沙漠盜賊團 巢穴的奇怪藥瓶。我想可以得知沙漠盜賊團內部的奇怪現象。
zts14618e	怎麼樣？收集了很多嗎？
zts14619e	過去所調查的果真是事實。
zts14620e	雖然對你很抱歉，但與沙漠盜賊團的交涉絕裂了。我也得從這裡脫逃出去啊。來，我給你選擇，聽從我的請求，我會給你非常有用的情報。
zts14621e	我已經決心要離開沙漠盜賊團。為此周圍的其他團員就成了阻礙。雖然我長久以來以此處為重鎮，但現在沙漠盜賊團已非過去的樣子了。
zts14622e	你幫我消滅周圍的沙漠盜賊團團員，讓我能脫逃吧。你回來之後，我再告訴你後續故事。
zts14623e	順利消滅了嗎？
zts14624e	辛苦你了，你比我想像中做得更好，該說是有點驚訝嗎？
zts14625e	與其我直接告訴你，不如你把這密令交給派你來這地方的人物。你離開之後去見無法地帶的劍客貝爾門。
zts14626e	交涉怎麼樣了？成立了嗎？
zts14627e	真是可惜，成功的機率很低，結果真的失敗了。我會把這密令當作是你的能力，未來我們應該可以更快對付沙漠盜賊團。
zts14628e	這是關於這次交涉整理而成的報告書，請你交給總團長尼比阿卡瑪。關於獎勵的部份，尼比阿卡瑪會負責的。
zts14629e	怎麼樣了？是好消息嗎？請給我稍微喘息的時間。
zts14630e	我本來有點期待呢，但是沒辦法，就算是哈瑪特大人也會束手無策的。辛苦你了，請你像現在這樣繼續幫我們阿卡穆里商團做事吧，未來要做的事很多。
zts14631e	ACT5烈焰之刃-知己知彼
zts14632e	在阿卡瑪商團野營地的哈瑪特大人…不，是總行首哈瑪特‧阿卡瑪寄來了信。與其說是寄給我們，應該是寄給代理人塞米亞‧貝爾頓，請你把這個交給塞米亞‧貝爾頓。也許記載了囑咐之類的話吧。
zts14633e	是連信封都沒拆的信。你說是哈瑪特‧阿卡瑪寄的嗎？請你稍等一下。
zts14634e	進行商旅半年之後回來的總行首哈瑪特‧阿卡瑪因為沙漠盜賊團而被困住，也沒辦法休息。我沒辦法原諒那樣的沙漠盜賊團。
zts14635e	這封信寫著阿卡穆里商團必須對沙漠盜賊團強硬應對，我也對這意見沒有異議。但是有效率的因應是很重要的，我這幾天構思了幾種作戰。
zts14636e	請你先帶著這封信前往無法地帶，那裡有位面相凶惡的男子，他叫做劍客貝爾門，請你從他那裡收集沙漠盜賊團相關的情報。
zts14637e	什麼事？你是無法地帶的警衛隊志願者嗎？
zts14638e	你是阿卡穆里商團派來的人嗎？最近從那裡派來的人可真多啊。
zts14639e	阿卡穆里商團要的是沙漠盜賊團的相關情報嗎？
zts14640e	沙漠盜賊團的各個部隊長都帶著記載自身部隊結構的組織圖，雖然不是放在人人可見之處，但應該是在野營地某處。你應該可以找到這種程度的情報。
zts14641e	不消滅部隊凱路斯和他的沙漠盜賊團，他會把組織圖移往其他地方，所以你在找尋組織圖之前，先去消滅他們。
zts14642e	這是好像裝了什麼東西的箱子。
zts14643e	箱子裡放了部份的沙漠盜賊團組織圖，你找對了。
zts14644e	寫有在凱路斯野營地的沙漠盜賊團結構，詳盡記下了盜賊們的名字，請你把這個交給在無法地帶的劍客貝爾門，必須獲得其他組織圖的情報。
zts14645e	你找到了什麼？
zts14646e	從記載著部隊凱路斯的名字來看，你帶來的沒錯。
zts14647e	看來阿卡穆里商團要對沙漠盜賊團採取強硬應對。我們無法地帶目前也正好因沙漠盜賊團受到各種刁難，這次你前往卡頓的野營地，可以更加獲得阿卡穆里商團所需的情報。請你優先消滅部隊長卡頓和他的沙漠盜賊團。並且找來在卡頓的野營地某處的沙漠盜賊團組織圖。
zts14648e	好像裝了正在找尋的東西。
zts14649e	發現了寫有卡頓名字的組織圖。
zts14650e	記載著沙漠盜賊團中隸屬卡頓的野營地的沙漠盜賊團相關的重要情報。請你必須把這個交給在無法地帶的劍客貝爾門。雖然有幾個破碎的字，但似乎無關緊要。
zts14651e	你有卡頓的野營地的有用情報嗎？
zts14652e	從寫有卡頓的名字來看，你帶來的沒錯。我確認一下有沒有你需要的情報再告訴你。
zts14653e	破碎的字？那也有可能是暗號之類的。幾個字裡也許會有有用的情報，你先帶著組織圖碎片交給卡瑪歸‧莫皮。也許會從組織圖獲得更多的情報。
zts14654e	[酒醉的卡瑪歸‧莫皮用迷茫的眼睛望著。]
zts14655e	要說廢話就滾蛋，不是就交出你手裡的東西。
zts14656e	[看著沙漠盜賊團組織圖到處拼湊。]
zts14657e	最近傢伙們似乎很討厭麻煩的事。
zts14658e	在這裡。雖然有類似暗號文的東西，但編得不是很難。似乎不是那麼重要的東西...
zts14659e	我在這裡記下幾項事情來取代說明，請你交給指示你進行這次任務的人。是代理人塞米亞‧貝爾頓嗎？請你轉告她，下次委託時要加上酒錢。
zts14660e	獲得了有用的情報嗎？
zts14661e	這是在凱路斯野營地和卡頓的野營地的沙漠盜賊團人員事項啊。很好，我會思考對付這些人的方法。可是這是什麼？
zts14662e	[塞米亞‧貝爾頓指著暗號文解開之處。]
zts14663e	找出遺物？這是什麼意思？這個下次再打聽吧。
zts14664e	辛苦你了，我已經準備好獎勵了。
zts14665e	ACT5烈焰之刃-與沙漠盜賊團的全面戰
zts14666e	我們阿卡穆里商團想要宣佈對沙漠盜賊團的全面戰。隸屬阿卡穆里商團所有的商人會積極因應他們的暴力。
zts14667e	請你轉交這份命令書給代理人塞米亞‧貝爾頓，將沙漠盜賊團相關的所有作戰權轉讓給她。
zts14668e	我正等著你，帶來命令書了嗎？
zts14669e	應該會藉此以沙漠飛鷹城為重心，開始展開對沙漠盜賊團的強硬應對。要記得的是，對我們來說重要的不是殲滅沙漠盜賊團，重點是必須守護阿卡穆里商團的商業活動。
zts14670e	我告訴你我們對於沙漠盜賊團 巢穴所展開的全面戰。我們確認了沙漠盜賊團的巢穴就在阿卡瑪商團野營地的東北方。請你現在立刻率領夥伴，前往沙漠盜賊團的巢穴掃蕩沙漠盜賊團，消滅了沙漠盜賊團之後，請消滅他們大本營深處的部隊長嘯嵐和部隊長塞伊。
zts14671e	沙漠盜賊團的巢穴怎麼樣了？你掃蕩了他們，讓他們不能再東山再起了嗎？
zts14672e	真的嗎？你掃蕩了沙漠盜賊團 巢穴的沙漠盜賊團們了嗎？你說的沒錯的話，我們在與他們的戰鬥中就占據了優勢。
zts14673e	這次沙漠盜賊團相關的作戰權在轉讓給我之後的第一次戰鬥需有正確的報告書，我照你所說的各種事項寫成了報告書，請你帶著這個交給總團長尼比阿卡瑪，她會直接給你這次勝利相關的獎勵。
zts14674e	怎麼樣了？你沒有在與沙漠盜賊團的戰鬥中受傷吧？
zts14675e	真是幸好，沙漠盜賊團的戰鬥將會變得更加激烈。請為那時作準備，不要太勉強了，請你稍等一下。
zts14676e	[尼比阿卡瑪正向你採取鄭重的態度。]
zts14677e	我身為阿卡穆里商團的總團長，對閣下的功勞給予高度評價。據此，我會以阿卡穆里商團的名義給你獎勵以視報答。
zts14678e	我練習了好幾次，但到了真正關頭卻很緊張。請你給予諒解，真是非常辛苦你了。
zts14679e	ACT5烈焰之刃-追蹤重要的商團交易物品
zts14680e	我們最近因為沙漠盜賊團而遭遇商團信譽危機。為了恢復信譽，必須找回如同生命一般的交易物品。請你將阿卡瑪商團野營地送來的情報交給代理人塞米亞‧貝爾頓，她會告訴你詳細的任務。
zts14681e	請問你不是有話要告訴我嗎？我會等著你，請你慢慢說吧。
zts14682e	我追蹤了阿卡瑪商團野營地重要的商團交易物品，那位置寫在這裡了呢，不是能不能找回這個的問題，而是一定要找回來才行。
zts14683e	我想你應該已經準備好了，我向你說明這次的作戰。你必須要找回的商團交易物品在凱路斯野營地，那是亞斯特聖殿的東西，我不太清楚它長什麼樣子，它是裝在刻有阿卡穆里商團花紋的箱子，應該在野營地的某處，請你務必一定要帶回來，萬一有沙漠盜賊團出面阻止，請你消滅他們。
zts14684e	請問你帶來了交易物品嗎？
zts14685e	真是太好了，這遺物是非常重要的東西。請你稍等一下，我打聽一下遺物相關的情報。
zts14686e	[代理人塞米亞‧貝爾頓翻著捲軸在找些什麼，看來大概是遺物相關的情報。]
zts14687e	這遺物是亞斯特聖殿的失物。遺失之後分散在世界各地，亞斯特聖殿說要找回這遺物，向阿卡穆里商團提出要求，過了很久之後才找了回來。阿卡穆里商團反省了那段時間亞斯特聖殿的祝福，為了彼此良好的新友誼關係盡了最大的努力。這遺物按照預定到達之後，必須傳達給亞斯特聖殿，但就這樣被沙漠盜賊團奪走了，必須找回分散的其他遺物。亞斯特聖殿應該正焦急地等待著這遺物。
zts14688e	根據我得來的情報，其他遺物碎片在卡頓的野營地。請你前往卡頓的野營地找尋阿卡穆里商團的交易物品箱子。請你務必一定要找回來，務必！
zts14689e	找到了嗎？怎麼樣了？
zts14690e	幸虧遺物平安無事，請你稍等一下，因為我得分析追蹤下件遺物位置的情報員資料。
zts14691e	現在到了找尋最後的遺物碎片的時候了。我獲得了情報，裝有最後遺物碎片的箱子正運往沙漠盜賊團的巢穴。沙漠盜賊團的巢穴是比過去其他沙漠盜賊團的野營地和其他警備更森嚴之地，這次作戰的危險負擔很大，你最好和其他夥伴們一起去。沙漠盜賊團的巢穴在阿卡瑪商團野營地的東北方，請你充分進行準備。
zts14692e	你找到了最後的遺物碎片嗎？
zts14693e	幸好你奪回遺物了，真是辛苦你了。
zts14694e	請你把亞斯特聖殿的遺物交給在亞斯特聖殿的大祭司 艾爾拉第安，他會等著遺物送過去。阿卡穆里商團向成功執行這次作戰的冒險家表達感謝，獎勵方面，亞斯特聖殿會支付給你。
zts14695e	我聽說有人帶來了亞斯特聖殿遺物的消息…負責運送遺物的冒險家是你嗎？
zts14696e	遺物平安無事地回來真是太好了，我們亞斯特聖殿的祭司們向你和阿卡穆里商團表達感謝。亞斯特聖殿會給你獎勵，時間允許的話，請你在這裡停留並同時幫助我們。
zts14697e	ACT5烈焰之刃-沙漠盜賊團 巢穴內的商團俘虜救援作戰
zts14698e	給讀此紙條的人...
zts14699e	我是隸屬於阿卡穆里商團的商人龍梅爾，我相信讀到這紙條的人是和阿卡穆里商團相關的人，或是非常親切且充滿正義感的冒險家。拜託請大發慈悲，救救被關在沙漠盜賊團 巢穴中的我吧。
zts14700e	請問你是誰？難道是沙漠盜賊團新的盜賊嗎？你該不是發現了我所寫的紙條吧？請饒我一命，我錯了，拜託只要活命...
zts14701e	原來是幫助阿卡穆里商團的冒險家啊，真是幸好，幸虧你發現了紙條，向太陽神深深致上感謝...
