zts1e	最棒的服務
zts1544e	只有萬聖節才會出現的寶箱[n]打開寶箱的話，就可從各種的道具當中取得一樣.[n][可以取得的道具][n]大福神的守護[n]大福神的祝福[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]哈路喂變身護符[n]南瓜水晶球[n]能量提升藥水[n]天使翅膀[n]創世女神的祝福[n]泰拳夢古晶球[n]神韻香水[n]靈魂復活石[n]特殊卡片盒[n]守護天使之祝福[n]SP補充劑(大)[n]SP補充劑(小)[n]S卡重置藥水[n]冒險家登山背包10日[n]非常大的全體恢復劑[n]
zts1545e	哈囉喂寶箱(TH)
zts1547e	哈囉喂寶箱(JP)
zts1548e	哈囉喂寶箱(TW)
zts1549e	哈囉喂寶箱(MT)
zts1550e	哈囉喂寶箱(GSP)
zts1554e	5張塔羅牌套組!
zts1555e	裝備塔羅牌的話，頭上就會顯示卡片的模樣，取得卡片的效果。[n]塔羅牌套組內含5張封印之塔羅卡。[n]在封印的狀態下可以交易。[n][使用方法][n]使用塔羅牌套組，就可取得可轉讓予他人的5張封印之塔羅卡。[n]使用封印之塔羅卡的話，就可取得塔羅卡(裝備)。[n]塔羅卡由裝備時開始，計算使用時間，超越使用時間的塔羅卡就會消失。[n][使用時間][n]每張卡 3小時[n][使用等級][n]使用等級沒有限制。[n]
zts2555e	新年寵物以及魔法絨緞
zts2556e	聖誕節日寶箱
zts2557e	只有聖誕節才會出現的寶箱，打開後將隨機得到[n]魔法毯子寶箱1個[n]大福神的守護1個[n]防爆護符2個[n]高等卡片防爆護符2個[n]低等卡片防爆護符3個[n]封印圓壺20個[n]寒冰變身護符15個[n]能量提升藥水10個[n]天使翅膀50個[n]創世女神的祝福3個[n]飛天獨角馬晶球1個[n]聖誕夢古晶球1個[n]S卡重置藥水1個[n]冒險家登山背包10日1個[n]非常大的全體恢復劑99個[n][n]
zts2568e	飄逸之雪寶箱(HK)
zts2569e	有機會得到飄逸之雪
zts2570e	飄逸之雪寶箱[n]打開箱子的話，可從多樣的道具當中取得一個。[n][可以取得的道具][n]飄逸之雪箱子1個[n]大福神的守護1個[n]防爆護符2個[n]高等卡片防爆護符2個[n]低等卡片防爆護符3個[n]SP補充劑(大)1個[n]SP補充劑(小)2個[n]能量提升藥水10個[n]天使的羽毛50個[n]創世女神的祝福3個[n]夢古晶球1個[n]泰拳夢古晶球1個[n]S卡重置藥水1個[n]冒險家登山背包10日1個[n]非常大的全體恢復劑99個[n][n]
zts2597e	有機會得到飄逸之雪
zts2661e	結婚禮服(7日)
zts2662e	結婚禮服(30日)
zts2663e	結婚禮服(永久)
zts2665e	結婚禮服頭部(7日)
zts2666e	結婚禮服頭部(30日)
zts2667e	結婚禮服頭部(永久)
zts2668e	有了最後一封情書，你便可以與伴侶脫離夫妻關係。
zts2669e	最後一封情書
zts2680e	有機會成為夫妻！
zts2681e	婚禮喜慶禮包
zts2682e	打開此禮包後將會得到婚禮所需的道具！[n][Item list]邱比特之箭1個[n]結婚禮服(7日) 2個[n]結婚禮服頭部(7日) 2個[n]連發鞭炮10個[n]噴水狀鞭炮(黃) 10個[n]愛心鞭炮(紅) 10個[n][Reference][n]結婚禮服、結婚禮服頭部按照裝備的角色性別套用n][n]
zts2683e	結婚的必需品
zts2684e	紀念成為夫妻的服飾[n][使用方法][n]使用時會套用婚紗服飾。[n][註][n]根據裝備的角色性別，男性角色會穿上晚禮服，女性角色會穿上婚紗，而且由裝備起開始計算使用時間。[n]
zts2685e	紀念成為夫妻的服飾[n][使用方法][n]使用時會套用結婚帽子。[n][註][n]根據裝備的角色性別，男性角色會換上端裝髮型，女性角色會披上面紗，而且由裝備起開始計算使用時間。[n]
zts2686e	跟伴侶離婚的道具
zts2687e	用來跟伴侶離婚的信[n][使用方法][n]使用時會解除夫妻關係[n][註][n]只需夫妻當中的其中一方使用就行了。[n]
zts2692e	有機會獲得球王夢古晶球
zts2693e	球王夢古寶箱
zts2694e	打開此寶箱後將有機會得到球王夢古！[n]打開寶箱後將可隨機得到一種道具[n][item list][n]球王夢古晶球1個[n]魔法毯子寶箱1個[n]魔法輕型車寶箱1個[n]靈魂復活石1個[n]S卡重置藥水1個[n]大福神的守護1個[n]創世女神的祝福5個[n]SP補充劑(大) 1個[n]防爆護符2個[n]一副塔羅卡2個[n]神韻香水6個[n]高等卡片防爆護符2個[n] SP補充劑(小) 2個[n]天使翅膀30個[n]低等卡片防爆護符3個[n][n]
zts2750e	有型有款的新車！
zts2751e	激運寶箱E
zts2752e	打開此寶箱後將有機會得到魔法開篷車或各種隨機道具。[n]打開寶箱後將可隨機獲得以下其中一種道具。[n][物品清單][n]開篷車寶箱1個[n]大福神的守護1個[n]防爆護符2個[n]高等卡片防爆護符2個[n]低等卡片防爆護符3個[n]SP補充劑(大)1個[n]SP補充劑(小)2個[n]一副塔羅卡2個[n]靈魂復活石1個[n]創世女神的祝福3個[n]夢古晶球1個[n]水著夢古晶球1個[n]S卡重置藥水1個[n]冒險家登山背包10日1個[n]天使翅膀30個[n]
zts2777e	有機會獲得南瓜夢古EX
zts2778e	嘩鬼寶箱 2010
zts2779e	打開寶箱獲得南瓜夢古EX或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]南瓜夢古EX晶球[n]南瓜夢古晶球[n]哈囉喂變身護符[n]特殊卡片盒[n]靈魂復活石[n]S卡重置藥水[n]大福神的守護[n]創世女神的祝福[n]SP補充劑(大)[n]SP補充劑(小)[n]防爆護符[n]一副塔羅卡[n]神韻香水[n]高等卡片防爆護符[n]低等卡片防爆護符[n]天使翅膀[n][n]
zts2785e	從今天起，一切將變得更便利！
zts2787e	使用後，30天內可享用以下所有功能。[n][登錄強化效果][n]1. 登錄手續費優惠。[n]2. 同時登錄道具上限提升至100件。[n]3. 託售金額限制提升至最大 1億。[n]4. 登錄時限延長至30天。[n][其他功能][n]1. 道具及金幣保存期延長至 30天。[n]2. 免付託售手續費。[n][注意事項][n]同時登錄件數，除了販賣中的道具之外，賣出後未領回金幣，及到期未回收的物品均包含在內。[n]
zts2789e	使用後，7天內可享用以下所有功能。[n][登錄強化效果][n]1. 登錄手續費優惠。[n]2. 同時登錄道具上限提升至100件。[n]3. 託售金額限制提升至最大 1億。[n]4. 登錄時限延長至30天。[n][其他功能][n]1. 道具及金幣保存期延長至 30天。[n]2. 免付託售手續費。[n][注意事項][n]同時登錄件數，除了販賣中的道具之外，賣出後未領回金幣，及到期未回收的物品均包含在內。[n]
zts2790e	便利屋超級通行證(1天)(活動)
zts2796e	有機會獲得布雷諾B型！
zts2797e	機械人寶箱
zts2798e	打開寶箱獲得布雷諾B型或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]布雷諾晶球*1[n]魔法毯子寶箱*1[n]魔法輕型車寶箱*1[n]靈魂復活石*1[n]S卡重置藥水*1[n]特殊卡片盒*1[n]大福神的守護*1[n]創世女神的祝福*5[n]守護天使之祝福*10[n]SP補充劑(大)*1[n]防爆護符*2[n]希魯安的泉水*99[n]神韻香水*6[n]高等卡片防爆護符*2[n]低等卡片防爆護符*3[n]寵物保管彈珠*1[n][n]
zts2799e	打開寶箱獲得布雷諾B型或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]布雷諾B型晶球*1[n]魔法毯子寶箱*1[n]魔法輕型車寶箱*1[n]靈魂復活石*1[n]S卡重置藥水*1[n]特殊卡片盒*1[n]大福神的守護*1[n]創世女神的祝福*5[n]守護天使之祝福*10[n]SP補充劑(大)*1[n]防爆護符*2[n]希魯安的泉水*99[n]神韻香水*6[n]高等卡片防爆護符*2[n]低等卡片防爆護符*3[n]寵物保管彈珠*2[n][n]
zts2800e	便利屋超級通行證(30天)
zts2801e	便利屋超級通行證(7天)
zts2802e	打開寶箱獲得布雷諾B型或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]布雷諾晶球*1[n]魔法毯子寶箱*1[n]魔法輕型車寶箱*1[n]靈魂復活石*1[n]S卡重置藥水*1[n]特殊卡片盒*1[n]大福神的守護*1[n]創世女神的祝福*5[n]守護天使之祝福*10[n]SP補充劑(大)*1[n]防爆護符*2[n]希魯安的泉水*99[n]神韻香水*6[n]高等卡片防爆護符*2[n]低等卡片防爆護符*3[n]寵物保管彈珠*1[n][n]
zts2879e	聖誕節限定寶箱
zts2880e	聖誕福音箱
zts2881e	聖誕節限定寶箱，或許會出現 聖誕夢古EX晶球、聖誕夢古的帽子(永久) 及 聖誕夢古扮裝(永久)！[n]打開寶箱，可隨機獲得以下一項物品[n][獎品清單][n]聖誕夢古EX晶球 x1[n]聖誕夢古晶球 x1[n]聖誕夢古的帽子(永久) x1[n]聖誕夢古扮裝(永久) x1[n]聖誕夢古的帽子(30日) x1[n]聖誕夢古扮裝(30日) x1[n]創世女神的祝福 x5[n]守護天使之祝福 x10[n]天使翅膀 x30[n]大福神的守護 x1[n]一副塔羅卡 x2[n]SP補充劑(大) x1[n]SP補充劑(小) x2[n]防爆護符 x3[n]高等卡片防爆護符 x2[n]低等卡片防爆護符 x3[n]
zts2895e	打開寶箱獲得魔法開篷車或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]魔法開篷車寶箱*1[n]魔法毯子寶箱*1[n]夢古小次郎晶球*1[n]靈魂復活石*1[n]S卡重置藥水*1[n]創世女神的祝福*3[n]守護天使之祝福*10[n]天使翅膀*30[n]大福神的守護*1[n]一副塔羅卡*2[n]SP補充劑(大)*1[n]SP補充劑(小)*2[n]防爆護符*2[n]高等卡片防爆護符*2[n]低等卡片防爆護符*3[n][n]
zts2955e	充滿火焰力量的翅膀！
zts2956e	火焰之翼寶箱
zts2957e	打開寶箱獲得火焰之翼或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]火焰之翼*1[n]天使之翼*1[n]惡魔之翼*1[n]飄逸之雪箱子*1[n]魔法輕型車寶箱*1[n]特殊卡片盒*1[n]靈魂復活石*1[n]S卡重置藥水*1[n]創世女神的祝福*3[n]守護天使之祝福*10[n]天使翅膀*30[n]大福神的守護*1[n]神韻香水*6[n]防爆護符*2[n]高等卡片防爆護符*2[n]低等卡片防爆護符*3[n][n]
zts3011e	超級吱喳雞Jr.成為你的左膀右臂
zts3012e	復活節寶箱 2011
zts3013e	打開寶箱獲得超級吱喳雞Jr.的蛋、魔法神燈或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]超級吱喳雞蛋*1[n]復活節標牌*3[n]魔法神燈*1[n]特殊卡片盒*1[n]靈魂復活石*1[n]S卡重置藥水*1[n]大福神的守護*1[n]創世女神的祝福*5[n]守護天使之祝福*10[n]一副塔羅卡*2[n]神韻香水*6[n]天使翅膀*30[n]防爆護符*2[n]高等卡片防爆護符*2[n]低等卡片防爆護符*3[n]SP補充劑(大)*1[n]SP補充劑(小)*2[n][n]
zts8559e	由頭到腳改頭換面一次吧！
zts8560e	改頭換面套餐A
zts8561e	打開此套餐後將會得到魔法神燈、髮臘及染髮劑！[n][Item list][n]魔法神燈 1個[n]流行髮型髮臘A 1個[n]紅色染髮劑 1個[n]白色染髮劑 1個[n]黑色染髮劑 1個[n][Reference][n]由頭到腳改頭換面一次吧！[n][n]
zts8562e	改頭換面套餐B
zts8563e	打開此套餐後將會得到魔法神燈、髮臘及染髮劑！[n][Item list][n]魔法神燈 1個[n]流行髮型髮臘B 1個[n]綠色染髮劑 1個[n]藍色染髮劑 1個[n]紅色染髮劑 1個[n][Reference][n]由頭到腳改頭換面一次吧！[n][n]
zts8564e	改頭換面套餐C
zts8565e	打開此套餐後將會得到魔法神燈、髮臘及染髮劑！[n][Item list][n]魔法神燈 1個[n]流行髮型髮臘A 1個[n]白色染髮劑 1個[n]黑色染髮劑 1個[n]綠色染髮劑 1個[n][Reference][n]由頭到腳改頭換面一次吧！[n][n]
zts8566e	改頭換面套餐D
zts8567e	打開此套餐後將會得到魔法神燈、髮臘及染髮劑！[n][Item list][n]魔法神燈 1個[n]流行髮型髮臘B 1個[n]藍色染髮劑 1個[n]紅色染髮劑 1個[n]白色染髮劑 1個[n][Reference][n]由頭到腳改頭換面一次吧！[n][n]
zts8574e	寵物存放欄擴充球
zts8597e	穿上可愛夢古套裝
zts8598e	夢古變裝寶箱
zts8599e	打開寶箱獲得可愛夢古服裝或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]可愛夢古帽子(永久)*1[n]可愛夢古衣服(永久)*1[n]可愛夢古帽子(7天)*1[n]可愛夢古衣服(7天)*1[n]魔法神燈*1[n]特殊卡片盒*1[n]靈魂復活石*1[n]S卡重置藥水*1[n]創世女神的祝福*4[n]守護天使之祝福*9[n]天使翅膀*30[n]大福神的守護*1[n]一副塔羅卡*2[n]神韻香水*5[n]防爆護符*2[n]高等卡片防爆護符*2[n]低等卡片防爆護符*3[n][n]
zts8603e	特殊物品，可永久擴充寵物存放欄10格。[n][功能說明][n]使用後，寵物存放欄永久性地增加10格。最多可增加至30格。[n][注意事項][n]寵物存放欄只可擴充兩次。[n]
zts8622e	突擊夢古，出擊！
zts8623e	突擊寶箱
zts8624e	打開寶箱獲得突擊夢古或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]突擊夢古晶球*1[n]魔法輕型車寶箱*1[n]魔法毯子寶箱*1[n]魔法神燈*1[n]特殊卡片盒*1[n]靈魂復活石*1[n]S卡重置藥水*1[n]創世女神的祝福*3[n]守護天使之祝福*8[n]天使翅膀*99[n]大福神的守護*1[n]一副塔羅卡*2[n]神韻香水*5[n]防爆護符*2[n] SP補充劑(大) *1[n]高等卡片防爆護符*2[n]低等卡片防爆護符*2[n][n]
zts8628e	機率獲得魔盜王夢古晶球！
zts8648e	魔盜王秘寶
zts8649e	打開寶箱獲得魔盜王夢古或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]魔盜王夢古晶球(水)*1[n]魔盜王夢古晶球(火)*1[n]魔盜王夢古晶球(光)*1[n]魔盜王夢古晶球(黑暗)*1[n]特殊卡片盒*1[n]靈魂復活石*1[n]S卡重置藥水*1[n]創世女神的祝福*3[n]守護天使之祝福*5[n]天使翅膀*99[n]大福神的守護*1[n]一副塔羅卡*2[n]神韻香水*5[n]防爆護符*2[n]高等卡片防爆護符*1[n]低等卡片防爆護符*2[n][n]
zts8659e	機率獲得魔法筋斗雲！
zts8660e	筋斗雲寶盒
zts8661e	打開寶箱獲得魔法筋斗雲或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]魔法筋斗雲寶箱*1[n]魔法毯子寶箱*1[n]魔法輕型車寶箱*1[n]靈魂復活石*1[n]S卡重置藥水*1[n]創世女神的祝福*3[n]守護天使之祝福*10[n]天使翅膀*99[n]大福神的守護*1[n]一副塔羅卡*2[n]神韻香水*5[n]SP補充劑(大)*1[n]SP補充劑(小)*2[n]防爆護符*2[n]高等卡片防爆護符*2[n]低等卡片防爆護符*3[n][n]
zts8666e	獲得更多寵物！
zts8667e	使用後，寵物存放欄永久性地增加10格，最多可增加增30格。
zts8690e	寵物比主人高等級也沒有問題了！
zts8691e	奇怪的寵物食糧
zts8692e	奇怪的寵物食糧。[n]讓寵物使用奇怪的寵物食糧，寵物等級會下降1級。[n]假如你獲得了一個等級比自己高的寵物時可以使用。[n][注意事項][n]等級1的寵物無法使用。[n]
zts8702e	讓南瓜夢古EX成為我的寵物！
zts8703e	嘩鬼寶箱2011
zts8704e	哈囉喂2011節日寶箱。[n]打開箱子可以獲得魔法飛天掃把、南瓜夢古EX或其他物品。[n][道具目錄][n]南瓜夢古EX*1[n]南瓜夢古*1[n]魔法掃把寶箱*1[n]哈囉喂積高帽子(永久)*1[n]哈囉喂積高帽子(30日)*1[n]特殊卡片盒*1[n]S卡重置藥水*1[n]大福神的守護*1[n]守護天使之祝福*5[n]創世女神的祝福*5[n]防爆護符*3[n]一副塔羅卡*2[n]神韻香水*5[n]天使翅膀*99[n]高等卡片防爆護符*2[n]低等卡片防爆護符*3[n][n]
zts8708e	奇怪的寵物食糧
zts8727e	使紅鼻子夢古成為的我寵物！
zts8728e	聖誕福音箱2011
zts8729e	2011 聖誕節日寶箱。[n]打開箱子可以獲得紅鼻子夢古、聖誕夢古EX、飄逸之雪箱子或其他珍貴物品。[n][道具目錄][n]紅鼻子夢古晶球*1[n]聖誕夢古EX晶球*1[n]聖誕夢古晶球*1[n]飄逸之雪箱子*1[n]聖誕夢古的帽子(永久)*1[n]聖誕夢古扮裝(永久)*1[n]一副塔羅卡*1[n]一副塔羅卡*2[n]創世女神的祝福*4[n]守護天使之祝福*9[n]大福神的守護*1[n]SP補充劑(大) *1[n] SP補充劑(小) *2[n]防爆護符*3[n] 高等卡片防爆護符*2[n]低等卡片防爆護符*3[n]天使翅膀*30[n]
zts8736e	使用後，30天內可享用以下所有功能。[n][登錄強化效果][n]1. 登錄手續費優惠。[n]2. 同時登錄道具上限提升至100件。[n]3. 託售金額限制提升至最大 10億。[n]4. 登錄時限延長至30天。[n][其他功能][n]1. 道具及金幣保存期延長至 30天。[n]2. 免付託售手續費。[n][注意事項][n]同時登錄件數，除了販賣中的道具之外，賣出後未領回金幣，及到期未回收的物品均包含在內。[n]
zts8737e	使用後，7天內可享用以下所有功能。[n][登錄強化效果][n]1. 登錄手續費優惠。[n]2. 同時登錄道具上限提升至100件。[n]3. 託售金額限制提升至最大 10億。[n]4. 登錄時限延長至30天。[n][其他功能][n]1. 道具及金幣保存期延長至 30天。[n]2. 免付託售手續費。[n][注意事項][n]同時登錄件數，除了販賣中的道具之外，賣出後未領回金幣，及到期未回收的物品均包含在內。[n]
zts8757e	騎上魔法飛龍！
zts8758e	龍年行運箱
zts8759e	打開寶箱獲得魔法飛龍或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]魔法飛龍箱子*1[n]魔法筋斗雲寶箱*1[n]福鼠娘娘晶球*1[n]新年利是*1[n]高階火精靈*1[n]高階水精靈*1[n]高階光精靈*1[n]高階黑暗精靈*1[n]靈魂復活石*1[n]S卡重置藥水*1[n]大福神的守護*1[n]特殊卡片盒*1[n]防爆護符*3[n]高等卡片防爆護符*3[n]低等卡片防爆護符*3[n]一副塔羅卡*2[n]希魯安的泉水*60[n]創世女神的祝福*3[n]守護天使之祝福*8[n]天使翅膀*99[n][n]
zts8790e	穿上滑雪裝吧！
zts8791e	春雪滑板箱
zts8792e	打開寶箱獲得滑雪板禮盒、弧形滑板禮盒，或其他禮物！[n]打開此箱子時，你將隨機獲得以下任何一項物品。[n][獎品清單][n]滑雪板禮盒*1[n]弧形滑板禮盒*1[n]魔法神燈*1[n]S卡重置藥水*1[n]大福神的守護*1[n]火焰之翼*1[n]冰霜之翼*1[n]SP補充劑(大)*1[n]SP補充劑(小)*1[n]防爆護符*3[n]等級固定解除護符*3[n]高等卡片防爆護符*3[n]低等卡片防爆護符*3[n]創世女神的祝福*8[n]守護天使之祝福*8[n]天使翅膀*99[n][n]
zts8821e	讓神聖天使萊吉姆加入吧！
zts8822e	2012 復活節幸福寶箱
zts8823e	打開復活節幸福寶箱，有機會獲得神聖天使蛋、蹦蹦復活兔帽子、蹦蹦復活兔服裝、跳跳復活兔帽子、跳跳復活兔服裝，或其他豐富禮物！[n]打開此箱子時，你將隨機獲得以下任何一項物品。[n][獎品清單][n]神聖天使蛋*1[n]超級吱喳雞蛋*1[n]蹦蹦復活兔帽子(永久)*1[n]蹦蹦復活兔服裝(永久)*1[n]跳跳復活兔帽子(永久)*1[n]跳跳復活兔服裝(永久)*1[n]復活節標牌*10[n]特殊卡片盒*1[n]靈魂復活石*1[n]S卡重置藥水*1[n]大福神的守護*1[n]創世女神的祝福*5[n]守護天使之祝福*10[n]一副塔羅卡*2[n]神韻香水*10[n]防爆護符*3[n]高等卡片防爆護符*2[n]低等卡片防爆護符*3[n]天使翅膀*90[n][n]
zts8840e	無雙！戰國夢古，參上！
zts8841e	夢古無雙寶盒
zts8843e	戰狼夢古，這就是斯巴達！
zts8844e	夢古300！寶盒
zts8845e	打開寶箱獲得戰狼夢古或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]SPARTA 晶球*1[n]魔法筋斗雲寶箱*1[n]魔法輕型車寶箱*1[n]特殊卡片盒*1[n]魔法神燈*1[n]S卡重置藥水*1[n]大福神的守護*1[n]一副塔羅卡*3[n]神韻香水*5[n]防爆護符*3[n]高等卡片防爆護符*3[n]低等卡片防爆護符*3[n]創世女神的祝福*8[n]守護天使之祝福*8[n]天使翅膀*99[n][n]
zts8846e	打開寶箱獲得戰國夢古或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]BASARA 晶球*1[n]魔法掃把寶箱*1[n]魔法毯子寶箱*1[n]特殊卡片盒*1[n]魔法神燈*1[n]靈魂復活石*1[n]大福神的守護*1[n]一副塔羅卡*3[n]神韻香水*10[n]等級固定解除護符*4[n]高等卡片防爆護符*2[n]低等卡片防爆護符*3[n]創世女神的祝福*6[n]守護天使之祝福*10[n]天使翅膀*99[n][n]
zts8851e	寄宿了艾卡凱姆的火炎力量
zts8852e	夢精靈寶箱F
zts8853e	寶箱內寄宿著火炎力量，有機會獲得火精靈艾卡凱姆，或其他珍貴物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]艾卡凱姆*1[n]魔法輕型車寶箱*1[n]魔法毯子寶箱*1[n]特殊卡片盒*1[n]靈魂復活石*1[n]高階火精靈*1[n]高階黑暗精靈*1[n]大福神的守護*1[n]希魯安的泉水*80[n]神韻香水*9[n]防爆護符*3[n]等級固定解除護符*5[n]創世女神的祝福*8[n]守護女神的祝福*13[n][n]
zts8854e	寄宿了勒特爾的水流力量
zts8855e	夢精靈寶箱W
zts8856e	寶箱內寄宿著水流力量，有機會獲得水精靈勒特爾，或其他珍貴物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]勒特爾*1[n]魔法輕型車寶箱*1[n]魔法毯子寶箱*1[n]特殊卡片盒*1[n]S卡重置藥水*1[n]高階水精靈*1[n]高階光精靈*1[n]大福神的守護*1[n]希魯安的泉水*80[n]神韻香水*9[n]高等卡片防爆護符*2[n]低等卡片防爆護符*5[n]創世女神的祝福*8[n]守護女神的祝福*13[n][n]
zts8857e	寄宿了帝蒙爾的黑暗力量
zts8858e	夢精靈寶箱D
zts8859e	寶箱內寄宿著黑暗力量，有機會獲得暗精靈帝蒙爾，或其他珍貴物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]帝蒙爾*1[n]魔法輕型車寶箱*1[n]魔法毯子寶箱*1[n]特殊卡片盒*1[n]靈魂復活石*1[n]高階黑暗精靈*1[n]高階水精靈*1[n]大福神的守護*1[n]希魯安的泉水*80[n]神韻香水*9[n]防爆護符*3[n]等級固定解除護符*5[n]創世女神的祝福*8[n]守護女神的祝福*13[n][n]
zts8860e	寄宿了尤米妮克的光之力量
zts8861e	夢精靈寶箱L
zts8862e	寶箱內寄宿著光之力量，有機會獲得光精靈尤米妮克，或其他珍貴物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]尤米妮克*1[n]魔法輕型車寶箱*1[n]魔法毯子寶箱*1[n]特殊卡片盒*1[n]S卡重置藥水*1[n]高階光精靈*1[n]高階火精靈*1[n]大福神的守護*1[n]希魯安的泉水*80[n]神韻香水*9[n]高等卡片防爆護符*2[n]低等卡片防爆護符*5[n]創世女神的祝福*8[n]守護女神的祝福*13[n][n]
zts8873e	海賊少女 凱瑟琳 登場！
zts8874e	魔盜王秘寶 2012
zts8875e	打開寶箱獲得海賊少女 凱瑟琳、魔盜王 夢古、海賊王 草帽或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]美少女海賊寶珠[n]海賊王 草帽(永久)[n]魔盜王 夢古(水) 晶球[n]魔盜王 夢古(火) 晶球[n]魔盜王 夢古(光) 晶球[n]魔盜王 夢古(黑暗) 晶球[n]特殊卡片盒[n]大福神的守護[n]一副塔羅卡[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts8885e	慶祝英雄卡登場，限期發售！
zts8886e	英雄紀念禮盒
zts8887e	打開禮盒，隨機獲得夢古寶石箱、大精靈之蛋、魔法毯子寶箱、魔法輕型車寶箱，或其他豐富虛寶！[n]打開英雄紀念禮盒時，將隨機獲得以下任何一款禮物。[n][獎品清單][n]夢古寶石箱[n]大精靈之蛋[n]魔法毯子寶箱[n]魔法輕型車寶箱[n]大福神的守護[n]特殊卡片盒[n]防爆護符[n]等級固定解除護符[n]希魯安的泉水[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts8901e	一起當飛輪小子吧！
zts8902e	飛輪小子寶箱
zts8903e	打開寶箱獲得魔法飛輪或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]魔法飛輪箱子[n]魔法毯子寶箱[n]魔法神燈[n]特殊卡片盒[n]靈魂復活石[n]S卡重置藥水[n]大福神的守護[n]防爆護符[n]等級固定解除護符[n]希魯安的泉水[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts8911e	騎著越野腳踏車出發！
zts8921e	威風凜凜的「炎赤丸」！
zts8922e	炎赤丸封印箱
zts8923e	打開封印箱，隨機獲得赤丸晶球、魔法掃把寶箱、南瓜夢古EX、迷幻南瓜帽子(永久)、哈囉喂積高帽子(永久)，或其他豐富虛寶！[n]打開炎赤丸封印箱時，將隨機獲得以下任何一款禮物。[n][獎品清單][n]魔法掃把寶箱[n]赤丸晶球[n]南瓜夢古EX[n]南瓜夢古[n]哈囉喂積高帽子(永久)[n]哈囉喂帽子 2012(永久)[n]哈囉喂變身護符[n]魔法神燈[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts8957e	越野單車禮盒
zts8958e	打開寶箱獲得魔法越野腳踏車或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]越野腳踏車寶箱[n]魔法輕型車寶箱[n]夢古寶石箱[n]靈魂復活石[n]S卡重置藥水[n]大福神的守護[n]防爆護符[n]等級固定解除護符[n]希魯安的泉水[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts8972e	交換同伴卡片！
zts8973e	同伴卡片盒
zts8974e	可以把一張同伴特殊變身卡片放進卡盒[n]卡盒可以跟其他冒險者交換。[n][如何使用][n]把想要放進卡盒的同伴特殊變身卡片裝備在隨行的同伴上。[n]然後雙擊卡盒即可收藏卡片。[n]需要取出卡片時，請再次雙擊卡盒。[n][注意事項][n]無法把同伴不能使用的卡片放進卡盒。[n]
zts8977e	同伴S卡重置卷II
zts8978e	同伴S卡重置卷I
zts8979e	世界級球王夢古！
zts8980e	2012冬季紀念禮盒
