zts1e	一般效果
zts1623e	粉碎衝擊(A)
zts1624e	粉碎衝擊(S)
zts1625e	驚人活力(F)
zts1626e	擺脫死亡所帶來的恐懼
zts1627e	驚人活力(E)
zts1628e	驚人活力(D)
zts1629e	驚人活力(C)
zts1630e	驚人活力(B)
zts1631e	驚人活力(A)
zts1632e	驚人活力(S)
zts1633e	超強靜電(F)
zts1634e	受到強力的靜電所影響而無法移動
zts1635e	超強靜電(E)
zts1636e	超強靜電(D)
zts1637e	超強靜電(C)
zts1638e	超強靜電(B)
zts1639e	超強靜電(A)
zts1640e	超強靜電(S)
zts1641e	科幻機械之翼
zts1642e	機械轉化
zts1643e	科幻機械之翼的特殊能力
zts1644e	科幻機械推進器。如果你的S卡為+15，可以使用科幻機械推進器來進行轉化。
zts1645e	特大新年祝福
zts1646e	提高30%狩獵經驗值，持續30分鐘。
zts1647e	新年祝福
zts1648e	提高10%狩獵經驗值，持續30分鐘。
zts1649e	秘密隱行
zts1650e	可以更迅速的秘密行動，但解除變身時效果會馬上消失。
zts1651e	手刀攔截
zts1652e	能夠中斷敵人的攻勢
zts1653e	皮膚硬化
zts1654e	能夠抵擋敵人的攻勢
zts1655e	戰鬥體勢
zts1656e	匯聚能量激發攻擊潛能
zts1657e	行雲流水
zts1658e	匯聚能量激發移動潛能
zts1659e	開眼
zts1660e	突破界限連續使用技能3次
zts1661e	天使之歌
zts1662e	彷彿聽到天使歌唱的聲音
zts1663e	天堂之門
zts1664e	產生強烈幻覺，彷彿天堂之門就在眼前
zts1665e	皇者風範
zts1666e	突顯出皇者才會擁有的氣勢
zts1667e	屍新郎附體
zts1668e	用不盡的無限精力…
zts1669e	屍新娘詛咒
zts1670e	美好的夢想破滅…
zts1671e	形態切換
zts1672e	改變角色姿態與戰鬥方式
zts1673e	獬豸解放
zts1674e	物理能力提升。
zts1675e	赤龍解放
zts1676e	火焰能力提升。
zts1677e	野獸突進
zts1678e	能夠非常快速地移動。
zts1679e	熱浪
zts1680e	身上散發著熱力，妨礙敵人攻擊。
zts1681e	火焰暴風衝擊！
zts1682e	突破能力界限連續爆發出華麗熾熱的火焰衝擊敵人。
zts1683e	巴頓鎮的訓練指南
zts1684e	M Gun
zts1685e	非常強力的Machine Gun！簡稱M Gun！發射！！
zts1686e	凜冽的寒風之翼
zts1687e	亞克惡魔的能量
zts1688e	對封印圓壺怪物傷害提升10%，對死亡之地怪物傷害提升5%。
zts1689e	十一週年記念加持
zts1690e	視覺破壞(F)
zts1691e	破壞視覺使對方視野變得狹窄且脆弱。
zts1692e	視覺破壞(E)
zts1693e	視覺破壞(D)
zts1694e	視覺破壞(C)
zts1695e	視覺破壞(B)
zts1696e	視覺破壞(A)
zts1697e	視覺破壞(S)
zts1698e	傷口抓抓抓～(F)
zts1699e	貓咪張牙舞爪的抓抓抓～
zts1700e	傷口抓抓抓～(E)
zts1701e	傷口抓抓抓～(D)
zts1702e	傷口抓抓抓～(C)
zts1703e	傷口抓抓抓～(B)
zts1704e	傷口抓抓抓～(A)
zts1705e	傷口抓抓抓～(S)
zts1706e	心臟砰砰跳(F)
zts1707e	心臟不知覺地砰砰砰砰跳！好興奮呀！
zts1708e	心臟砰砰跳(E)
zts1709e	心臟砰砰跳(D)
zts1710e	心臟砰砰跳(C)
zts1711e	心臟砰砰跳(B)
zts1712e	心臟砰砰跳(A)
zts1713e	心臟砰砰跳(S)
zts1714e	魔法少女優娜的魔力～(F)
zts1715e	魔法少女優娜的魔力～(E)
zts1716e	魔法少女優娜的魔力～(D)
zts1717e	魔法少女優娜的魔力～(C)
zts1718e	魔法少女優娜的魔力～(B)
zts1719e	魔法少女優娜的魔力～(A)
zts1720e	魔法少女優娜的魔力～(S)
zts19951e	迴避
zts19952e	迴避對手的攻擊，並能夠啟發出更多的武術。
zts19953e	覺悟
zts19954e	覺悟時使用技能，會產生額外效果。
zts19955e	匯聚月光能量
zts19956e	切換到滿月狀態
zts19957e	月亮印記
zts19958e	身上存在月亮印記時，請多加小心。
zts19959e	新月印記
zts19960e	攻擊態勢時使用技能，100%機率提升[月亮印記]效果至[新月印記]。
zts19961e	紅蓮陷阱
zts19962e	被困在蓮花中的敵人無法彈動。
zts19963e	經絡運轉
zts19964e	運轉經絡後，能夠使用更有效的攻擊。
zts19965e	內臟損傷
zts19966e	內傷使技能施展變得困難。
zts19967e	輕躍
zts19968e	施展輕功使身體變輕了。
zts19969e	收集花瓣
zts19970e	能夠使用紅蓮類型的技能。
zts19971e	新月潛藏
zts19972e	潛藏在幽暗的月光底下。
zts19973e	被弦月的陰暗所束縛
zts19974e	受弦月的影響，不能移動。
zts19975e	被新月的陰暗所束縛
zts19976e	受新月的影響，不能移動。
zts19977e	花之地獄
zts19978e	無法移動，並同時減少HP和MP。
zts19979e	紅蓮之煉獄
zts19980e	無法移動，並同時大幅減少HP和MP。
zts19981e	攻擊態勢
zts19982e	處於攻擊態勢時，使用技能時會有更好的技能效果。
zts19983e	月光的覺悟
zts19984e	覺悟的狀態下匯聚月光能量，會有額外的效果。
zts19985e	紅蓮的覺悟
zts19986e	覺悟的狀態下收集花瓣，會有額外的效果。
zts19987e	耀眼
zts19988e	紅鼻子突然閃耀。
zts19989e	紅鼻子魔力
zts19990e	通過紅鼻子的魔力來恢復HP。
