zts1e	General Effect
zts1619e	Shoulder Charge (E)
zts1620e	Shoulder Charge (D)
zts1621e	Shoulder Charge (C)
zts1622e	Shoulder Charge (B)
zts1623e	Shoulder Charge (A)
zts1624e	Shoulder Charge (S)
zts1625e	Tenacity (F)
zts1626e	You have absolutely no need to fear death.
zts1627e	Tenacity (E)
zts1628e	Tenacity (D)
zts1629e	Tenacity (C)
zts1630e	Tenacity (B)
zts1631e	Tenacity (A)
zts1632e	Tenacity (S)
zts1633e	Static Shock (F)
zts1634e	Stun opponents with a powerful electrostatic shock.
zts1635e	Static Shock (E)
zts1636e	Static Shock (D)
zts1637e	Static Shock (C)
zts1638e	Static Shock (B)
zts1639e	Static Shock (A)
zts1640e	Static Shock (S)
zts1641e	Mega Titan Wings
zts1642e	Titan Transformation
zts1643e	Special Abilities of Mega Titan Wings
zts1644e	Mega Titan Booster.  If the SP card has been upgraded to +15, there is a chance of the Titan Transformation being activated.
zts1645e	Greater New Year's Blessing
zts1646e	Increases experience points by 30% for 30 minutes.
zts1647e	New Year's Blessing
zts1648e	Increases experience points by 10% for 30 minutes.
zts1649e	Shadow Prowler
zts1650e	You can move about quickly in secret, but the effect ends when you dismount.
zts1651e	Karate Block
zts1652e	Blocks enemy attacks.
zts1653e	Iron Skin
zts1654e	Completely reflects enemy's attack.
zts1655e	Durable Body
zts1656e	Uses energy to increase attack power.
zts1657e	Nimble Body
zts1658e	Uses energy to move more quickly.
zts1659e	Combat Readiness
zts1660e	Skill can be used 3 times without cooldown.
zts1661e	Choir of Angels
zts1662e	Calls on the divine voices of angels.
zts1663e	Heaven's Gate
zts1664e	The mind is confused and the gates of heaven come into view.
zts1665e	I'm a Champion
zts1666e	Show the pride of a champion.
zts1667e	Ghost
zts1668e	You have boundless energy.
zts1669e	Curse of the Bride
zts1670e	You only rarely receive buff effects.
zts1683e	Tart Hapendam's Martial Arts
zts1684e	Machine Gun
zts1685e	A powerful machine gun.
e	Llamado del cañón de Shares
zts1492e	Energía del valeroso Shares.
zts1493e	Eco de Glacernon
zts1494e	Eco del alma plateada de Glacernon
zts1495e	Defensa mágica de Mukraju
zts1496e	El gran saber del mago Mukraju.
zts1497e	Ancelloan, la creadora
zts1498e	Ancelloan, origen de cuanto hay
zts1499e	Fernon, la Destructora
zts1500e	Fernon, de todo perdición.
zts1501e	La voluntad de los dioses
zts1502e	Aumenta considerablemente la probabilidad de causar daño crítico.
zts1503e	La autoridad de los dioses
zts1504e	Refleja todos los ataques.
zts1505e	Energía clara de Krem
zts1506e	Puedes sentir la energía de Krem.
zts1507e	Castigo
zts1508e	La magia que utilizó el Ángel de la muerte para sanar el alma. Ahora Fernon puede utilizarla extrayendo la energía.
zts1509e	Elemento tinieblas de Krem
zts1510e	Poderoso golpe aturdidor de Krem
zts1511e	Sonrisa de la diosa
zts1512e	Restaura HP rápidamente.
zts1513e	Ira de la diosa
zts1514e	Reduce HP rápidamente.
zts1515e	Maldición de la diosa
zts1516e	Lanza diversas maldiciones.
zts1517e	Envidia de la diosa
zts1518e	Refleja daños.
zts1519e	Creadora de Ancelloan
zts1520e	Aumenta considerablemente la defensa en el PvP.
zts1521e	Fernon, la Destructora
zts1522e	Aumenta considerablemente el daño en el PvP.
zts1523e	Helada de Glacernon
zts1524e	Reduce considerablemente la velocidad de movimiento.
zts1525e	Maldición de Glacernon
zts1526e	No se pueden ejecutar ataques durante poco tiempo .
zts1527e	Bendición de Leo
zts1528e	Aura playera fresca
zts1529e	Alas de hada
zts1531e	Maldición de Fafnir
zts1532e	¡Tiembla ante el poder del avaricioso dragón!
zts1533e	Bendición de Odín
zts1534e	¡Siente el poder de Odín!
zts1535e	Reputación del vikingo
zts1536e	Haz que flaquee la voluntad de tus enemigos.
zts1537e	Voluntad del guerrero
zts1538e	¡Levántate, guerrero!
zts1539e	Bendición del ángel vengador
zts1540e	Recibe la Bendición del ángel vengador.
zts1541e	Guardiana de las almas
zts1542e	El Ángel vengador lleva las almas de los caídos a Valhalla.
zts1543e	Bendición de la madre naturaleza
zts1544e	Que la bendición de la naturaleza te refresque.
zts1545e	Presión de aire
zts1546e	No cualquiera puede con un fuerte viento.
zts1547e	Baba pegajosa
zts1548e	Esta baba es peor que el pegamento instantáneo.
zts1549e	Trampas
zts1550e	Reduce la velocidad del movimiento. Dificulta impactar al objetivo con un ataque físico.
zts1551e	Bloqueo avanzado
zts1552e	Bloquea efectos negativos a lo largo de la duración de uso.
zts1553e	Bendición pirata
zts1554e	Puedes recibir un objeto desconocido mientras te acompañen.
zts1555e	Bendición del almirante
zts1556e	Recibes más experiencia de héroe y fama.
zts1557e	Magia del Liche
zts1558e	Aumenta el poder oscuro mediante la magia del Liche.
zts1559e	Magia del Lich fuerte
zts1560e	Aumenta bastante el poder oscuro mediante la magia del Liche.
zts1561e	Fuerza vital del dragón
zts1562e	Regenera el cuerpo con la Fuerza vital del dragón.
zts1563e	Fuerza vital del dragón fuerte
zts1564e	Regenera rápidamente el cuerpo con la Fuerza vital del dragón.
zts1565e	Protección total
zts1566e	Evita todos los daños.
zts1567e	Hechizo prohibido
zts1568e	Crea un no muerto cuando se absorbe toda la voluntad.
zts1569e	Golpe del fantasma (F)
zts1570e	Aprendes el Golpe del fantasma.
zts1571e	Golpe del fantasma (E)
zts1572e	Golpe del fantasma (D)
zts1573e	Golpe del fantasma (C)
zts1574e	Golpe del fantasma (B)
zts1575e	Golpe del fantasma (A)
zts1576e	Golpe del fantasma (S)
zts1577e	Reducción de la oscuridad (F)
zts1578e	Causa una explosión mediante potente energía de las tinieblas.
zts1579e	Reducción de la oscuridad (E)
zts1580e	Reducción de la oscuridad (D)
zts1581e	Reducción de la oscuridad (C)
zts1582e	Reducción de la oscuridad (B)
zts1583e	Reducción de la oscuridad (A)
zts1584e	Reducción de la oscuridad (S)
zts1585e	Orgullo del vikingo (F)
zts1586e	Aumenta el Orgullo del vikingo.
zts1587e	Orgullo del vikingo (E)
zts1588e	Orgullo del vikingo (D)
zts1589e	Orgullo del vikingo (C)
zts1590e	Orgullo del vikingo (B)
zts1591e	Orgullo del vikingo (A)
zts1592e	Orgullo del vikingo (S)
zts1593e	Acompañante de Ragnar, guerrero óseo (F)
zts1594e	Acompañante de Ragnar, guerrero óseo (E)
zts1595e	Acompañante de Ragnar, guerrero óseo (D)
zts1596e	Acompañante de Ragnar, guerrero óseo (C)
zts1597e	Acompañante de Ragnar, guerrero óseo (B)
zts1598e	Acompañante de Ragnar, guerrero óseo (A)
zts1599e	Acompañante de Ragnar, guerrero óseo (S)
zts1600e	Hambriento de éxito
zts1601e	La visión del éxito te da alas.
zts1602e	Fuerza vital
zts1603e	Este diablillo es complicado de atrapar.
zts1604e	Inspiración
zts1605e	Puede descubrir cosas invisibles mediante un talento oculto.
zts1606e	Potenciador del 10.º aniversario
zts1607e	Pasaje al País de los Sueños
zts1608e	Un sueño mágico al que nadie se puede resistir.
zts1609e	Cubo mágico (sigilo)
zts1610e	Puedes moverte inadvertidamente aunque te falten los conocimientos mágicos necesarios.
zts1611e	Cubo mágico (resistencia)
zts1612e	Puedes resistir efectos negativos aunque te falten los conocimientos mágicos necesarios.
zts1613e	Cubo mágico (velocidad de movimiento)
zts1614e	Tu velocidad aumenta aunque te falten los conocimientos mágicos necesarios.
zts1615e	Cubo mágico (aturdimiento)
zts1616e	Puedes causar un aturdimiento aunque te falten los conocimientos mágicos necesarios.
zts1617e	Placaje (F)
zts1618e	Golpeas a tus enemigos con el hombro para hacerlos caer al suelo.
zts1619e	Placaje (E)
zts1620e	Placaje (D)
zts1621e	Placaje (C)
zts1622e	Placaje (B)
zts1623e	Placaje (A)
zts1624e	Placaje (S)
zts1625e	Tenacidad (F)
zts1626e	No necesitas tenerle más miedo a la muere.
zts1627e	Tenacidad (E)
zts1628e	Tenacidad (D)
zts1629e	Tenacidad (C)
zts1630e	Tenacidad (B)
zts1631e	Tenacidad (A)
zts1632e	Tenacidad (S)
zts1633e	Descarga electrostática (F)
zts1634e	Paraliza a los enemigos mediante una potente descarga.
zts1635e	Descarga electrostática (E)
zts1636e	Descarga electrostática (D)
zts1637e	Descarga electrostática (C)
zts1638e	Descarga electrostática (B)
zts1639e	Descarga electrostática (A)
zts1640e	Descarga electrostática (S)
zts1641e	Megaalas de titanio
zts1642e	Transformación en titán
zts1643e	Habilidades especiales de las Megaalas de titanio
zts1644e	Megaoptimización de titán.  Si el valor de mejora de la Tarjeta SP es +15, hay una probabilidad de que tenga lugar la transformación en titán.
zts1645e	Bendición de Año Nuevo grande
zts1646e	Aumenta los puntos de experiencia en un 30 % durante 30 minutos.
zts1647e	Bendición de Año Nuevo
zts1648e	Aumenta los puntos de experiencia en un 10 % durante 30 minutos.
zts1649e	Cambiatinieblas
zts1650e	Puedes moverte rápidamente en sercreto El efecto termina cuando desmontas.
