zts1e	Servizio migliore
zts20492e	Costume Rafting (30 giorni)
zts20493e	Costume Rafting (permanente)
zts20494e	Costume Marinaio (30 giorni)
zts20495e	Costume Marinaio (permanente)
zts20496e	Tuta da sub (30 giorni)
zts20497e	Tuta da sub (permanente)
zts20498e	Costume Sommozzatore (30 giorni)
zts20499e	Costume Sommozzatore (permanente)
zts20500e	Visiera Rafting (30 giorni)
zts20501e	Visiera Rafting (permanente)
zts20502e	Cappello Capitano (30 giorni)
zts20503e	Cappello Capitano (permanente)
zts20504e	Erogatore (30 giorni)
zts20505e	Erogatore (permanente)
zts20506e	Set Boccaglio (30 giorni)
zts20507e	Set Boccaglio (permanente)
zts20508e	Set Costume Rafting (30 giorni)
zts20509e	Set Costume Marinaio (30 giorni)
zts20510e	Set Costume Tuta da sub
zts20511e	Set Costume Sommozzatore
zts20518e	Bottiglietta blu
zts20519e	Bottiglietta rossa
zts20520e	Bottiglietta gialla
zts20521e	Baby panda
zts20526e	Titolo del 15° anniversario
zts20527e	Halitus-15
zts20529e	Prototipo Halitus
zts20534e	Costume Scheletro (30 giorni)
zts20535e	Costume Scheletro (permanente)
zts20536e	Maschera Scheletro (30 giorni)
zts20537e	Maschera Scheletro (permanente)
zts20542e	Set Costume Scheletro
zts20549e	Ali Aquila d'oro
zts20557e	Guerriero Panpepato Par
zts20558e	Arciere Panpepato Pur
zts20559e	Mago Panpepato Pir
zts20569e	Amuleto della benedizione (evento)
zts20571e	Amuleto della protezione (evento)
zts20573e	Amuleto eroico della benedizione (a caso, evento)
zts20575e	Amuleto eroico della benedizione (evento)
zts20577e	Pergamena protettiva per l'equipaggiamento (evento)
zts20579e	Pergamena dorata protettiva dell'equipaggiamento (evento)
zts20581e	Pergamena con rune fortunate (evento)
zts20583e	Pergamena per l'upgrade Rune premium (evento)
zts20584e	Spada Cioccolato dolce (30 giorni)
zts20585e	Spada Cioccolato dolce (permanente)
zts20586e	Guanti Cioccolato dolce (30 giorni)
zts20587e	Guanti Cioccolato dolce (permanente)
zts20588e	Arco Cioccolato dolce (30 giorni)
zts20589e	Arco Cioccolato dolce (permanente)
zts20590e	Bastone magico Cioccolato dolce (30 giorni)
zts20591e	Bastone magico Cioccolato dolce (permanente)
zts20592e	Scrigno Skin arma "Sogno di cioccolato"
zts20611e	Costume Dinosauro (30 giorni)
zts20612e	Costume Dinosauro (permanente)
zts20613e	Testa Dino-peluche (30 giorni)
zts20614e	Testa Dino-peluche (permanente)
zts20615e	Ali Dinosauro (30 giorni)
zts20616e	Ali Dinosauro (permanente)
zts20617e	Set costume Dinosauro
zts20624e	Eterno
zts20631e	Perla Allenatore di pet
zts20633e	Skin premium Allenatore di pet
zts20635e	Altalena arborea
zts20640e	Scrigno dell'evento antico
zts20641e	Scrigno dell'evento leggendario
zts20642e	Scrigno Pettinature esplosive (limitato)
zts20643e	Forga Tiratrice elfa boschiva
zts20648e	Opossum marinaio
zts20652e	Mini pet "Grifone" (permanente)
zts20653e	Mini pet "Drago nero" (permanente)
zts20654e	Mini pet "Grifone" (30 giorni)
zts20655e	Mini pet "Drago nero" (30 giorni)
zts20656e	Mini pet "Grifone" (7 giorni)
zts20657e	Mini pet "Drago nero" (7 giorni)
zts20667e	Spada Laser (30 giorni)
zts20668e	Spada Laser (permanente)
zts20669e	Guanti Laser (30 giorni)
zts20670e	Guanti Laser (permanente)
zts20671e	Arco Laser (30 giorni)
zts20672e	Skin Arco sportivo (permanente)
zts20673e	Bastone magico Laser (30 giorni)
zts20674e	Bacchetta magica Laser (permanente)
zts20683e	Scrigno Skin Arma Laser
zts20702e	Tortina al cioccolato per il 16º anniversario
zts20703e	Tortina arcobaleno per il 16º anniversario
zts20717e	Costume Prete sinistro (30 giorni)
zts20718e	Costume Prete sinistro (permanente)
zts20719e	Copricapo Prete sinistro (30 giorni)
zts20720e	Copricapo Prete sinistro (permanente)
zts20721e	Set costume Prete sinistro
zts20732e	Set Ripristino delle fate
zts20733e	Attrezzo dorato
zts20734e	Trasformafate
zts20735e	Ali Steampunk
