zts1e	Negozio degli attrezzi di Teo
zts16698e	A quanto pare il Cappello Zucca (1 giorno) va davvero di mo... moda, considerando tutte le per... persone che lo indossano. Parla con Mimi per ricevere un Ca... Cappello Zucca. In cambio ti darò una Borsa con dolci e una Carta dei tarocchi.
zts16699e	Certo, le strapperò un gran bel sorriso!
zts16700e	Non è possibile! Halloween è ormai alle porte e io non ho ancora cucinato i nuovi piatti a base di zucca!
zts16701e	Ho sentito dire che nel Raid di Jack O'Lantern si può ottenere lo Sciroppo di zucca. Non è che potresti portarmene un po'? Come ricompensa ti darò una Borsa con dolci e 50 Caramelle gialle alla zucca.
zts16702e	Eric
zts16703e	Quest "Dolcetto o scherzetto"
zts16704e	Scambia dolci
zts16705e	Scambia Borsa con dolci
zts16706e	Oh... abbiamo un gran bel problema!
zts16707e	Jack O'Lantern ha portato il caos nel nostro mondo e ora semina il panico a NosVille. Non sappiamo cosa sia successo ai nostri genitori e ai nostri amici. E la cosa mi rende davvero triste!
zts16708e	Vorrei combattere Jack O'Lantern per... vendicarmi! Ma sono troppo debole. Non è che ti andrebbe di frantumare la zucca a Jack O'Lantern al posto mio?
zts16709e	Jack O'Lantern è davvero molto potente. Riuscirai a sconfiggerlo solo unendo le forze con degli altri avventurieri!
zts16710e	Ok, combatterò contro Jack O'Lantern senza risparmiarmi!
zts16711e	Se mi porti dei dolci, ti do in cambio una Pergamena Costume di Halloween o un Sigillo di Jack O'Lantern!
zts16712e	Scambia 10 Caramelle gialle alla zucca per una Pergamena Costume di Halloween
zts16713e	Scambia 10 Caramelle nere alla zucca per una Pergamena Costume di Halloween
zts16714e	Scambia 30 Caramelle gialle alla zucca per un Sigillo di Jack O'Lantern
zts16715e	Scambia 30 Caramelle nere alla zucca per un Sigillo di Jack O'Lantern
zts16716e	Se mi porterai cinque Borse con dolci, ti darò in cambio uno Scrigno Terrore di Halloween.
zts16717e	Come si ottiene una Borsa con dolci?
zts16718e	Scambia con uno Scrigno Terrore di Halloween
zts16719e	Come si ottiene una Borsa con dolci?
zts16720e	Al completamento delle quest "Dolcetto o scherzetto", la ricevi dagli NPC che ti aspettano a NosVille durante l'evento.
zts16721e	Puoi farti assegnare le quest "Dolcetto o scherzetto" da me, Mary, Eva Energy, Teoman Topp o Malcolm Mix. In questo modo, puoi raccogliere un massimo di 5 Borse con dolci al giorno.
zts16722e	Forza, raccogli subito delle Borse con dolci!
zts16723e	Mary
zts16724e	*singhiozza* Jack O'Lantern mi ha separato con la forza da mia mamma, mio papà e i miei amici. Le poche forze rimaste mi hanno permesso di arrivare da Eric e di rimanere qui.
zts16725e	Potresti combattere al nostro fianco contro Jack O'Lantern? In cambio ti daremo una Borsa con dolci e 3 Pozioni per l'incremento dell'esperienza.
zts16726e	Sì, combatterò contro di lui!
zts16727e	Quest "Dolcetto o scherzetto"
zts16728e	Forza... sconfiggi Jack O'Lantern!
zts16729e	Grazie per il tuo aiuto, avventuriero!
zts16730e	Io credo in te!
zts16731e	Ora posso finalmente preparare i miei nuovi piatti a base di zucca.
zts16732e	Grazie mille! Te ne farò provare un po' quando avrò finito di preparare tutto.
zts16733e	Serve urgentemente per la ricerca.
zts16734e	Gr... gr... grazie! Ora possiamo spezzare la ma... ma... maledizione di Jack O'Lantern!
zts16735e	Portami subito delle Teste di zucca! Dai, in fretta!
zts16736e	Ottimo lavoro. Ti fabbricherò un Cappello Zucca nuovo di zecca.
zts16737e	(Mimi ha una faccia piuttosto triste. Cercherò di tirarle un po' su il morale. Me lo ha chiesto anche Malcolm.)
zts16738e	Mimi, guarda il mio nuovo Cappello Zucca! Non è semplicemente... splendido?
zts16739e	Wow, che cappello elegante. È davvero bellissimo! Sei pronto ora per Halloween?
zts16740e	Ahah! Sì, sono pronto per Halloween. E... mi fa piacere che ti piaccia il mio cappello.
zts16741e	(A Mimi è tornato il sorriso... sta di nuovo bene! Ora torno da Malcolm.)
zts16744e	Ovviamente non ferisci gli altri giocatori combattendoci. Semplicemente annulli il loro potere della protezione trasformandoli in sigilli. Ma non preoccuparti perchè l'altare della cittadella del cuore gelido può rompere la maledizione e restituirgli il potere della protezione.
zts16745e	Ehi, tu! Potresti donare un po' d'oro ai poveri per aiutarli ad affrontare il freddo dell'inverno?
zts16746e	Mimi Mentor sta raccogliendo le offerte per i poveri. Se le darai 10.000 unità d'oro, in cambio ti darò un regalo.
zts16747e	Sì, vado da Mimi.
zts16748e	Buon anno! Quali sono i tuoi progetti per il 2012?
zts16749e	Puoi recuperare le lettere dell'alfabeto, sia quelle dorate che quelle bianche, dai mostri del tuo stesso livello.
zts16750e	Con la Pergamena dell'avanzamento potrai viaggiare con lo Scooter magico, cavalcare la Tigre bianca magica, volare con il Tappeto magico o volteggiare nell'aria con Fluffy McFly. Sarà il caso a scegliere il tuo mezzo.
zts16751e	C... ciao avventuriero! Per Na... Natale, vorrei coltivare un Fi... Fior di ghiaccio che non appassisce mai. Però mi serve un Cri... Cristallo Fiore di ghiaccio.
zts16752e	Puoi recuperare i Cristalli Fiore di ghiaccio a Gla... Glacernon. Se me li porti, ti darò in cambio delle Cal... Calze colorate e una Pergamena dell'avanzamento.
zts16753e	Va bene, li recupererò.
zts16754e	Per festeggiare il Natale secondo la tradizione, volevo preparare dei deliziosi biscotti per i bambini del villaggio. Purtroppo, però, non appena ho finito di raccogliere tutti gli ingredienti, il Pupazzo di neve grande mi ha rotto il forno.
zts16755e	Per favore, elimina il malefico Pupazzo di neve grande. In cambio ti darò delle Calze colorate e un magnifico Segnavia di Natale.
zts16756e	Va bene! Tornerò da te, dopo aver sistemato il Pupazzo di neve!
zts16757e	Per Natale vorrei dichiarare i miei sentimenti a Calvin Coach regalandogli qualcosa di speciale. Ho deciso di sferruzzare una bella sciarpa. Ma non una sciarpa qualunque... sarà una sciarpa magica che lo proteggerà dal freddo.
zts16758e	Per realizzare la sciarpa mi servono la Lana magica e il Ferro da calza magico. Trovi questi item dando la caccia ai mostri.
zts16759e	Potresti darmi un mano con la sciarpa? E... potresti consegnarla per me a Calvin Coach quando sarà pronta? In cambio ti darò delle Calze colorate e una deliziosa Torta alla panna o una Torta al cioccolato.
zts16760e	Aiuta a decorare l'albero
zts16761e	Ho l'albero più bello del mondo, ma manca ancora qualcosa. Ah, mi serve la decorazione per la cima.
zts16762e	Portami una Campanella di Natale del Pupazzo di neve grande. In cambio ti darò delle Calze colorate e una Pergamena per l'upgrade Pijama.
zts16763e	Vaso sigillato di Natale
zts16764e	Borsa misteriosa con campanelle
zts16765e	Scambia con una torta
zts16766e	Scambia con Calze colorate
zts16767e	Quelle maledette renne mi sono sfuggite. Diamine, le avevo quasi sigillate. Che fastidio, sono un concentrato di nervosismo.
zts16768e	Mi daresti una mano ad acchiappare quell'atroce, detestabile Rudolf?
zts16769e	Sì, certo, ti aiuto volentieri.
zts16770e	Con il Vaso sigillato di Natale puoi evocare dei mostri.
zts16771e	Puoi richiamare il Giovane Opossum Rudolf, il Super Babbo Opossum, e altri mostri che potrai catturare con una Campanella. Se compaiono Rudolf ripugnante e Rudolf brutto, devi fare attenzione perché non puoi catturarli.
zts16772e	Questa è una borsa speciale che ti darò a lavoro terminato. Qui dentro puoi trovare una delle tre campanelle: la Campanella d'oro, la Campanella d'argento o la Campanella di bronzo. Con la campanella potrai catturare i mostri contenuti nel Vaso Sigillato di Natale.
zts16773e	Se mi porti una bella torta deliziosa, ti do in cambio un Vaso sigillato di Natale o il Sigillo del raid Pupazzo di neve.
zts16774e	Voglio scambiare 30 Torte alla panna con un Vaso sigillato di Natale.
zts16775e	Voglio scambiare 30 Torte al cioccolato con un Vaso sigillato di Natale.
zts16776e	Voglio scambiare 30 Torte alla panna con un Sigillo del raid Pupazzo di neve.
zts16777e	Voglio scambiare 30 Torte al cioccolato con un Sigillo del raid Pupazzo di neve.
zts16778e	Ti dò una Scatola regalo di Natale tanti utilissimi item, se mi porterai 5 delle elegantissime Calze Colorate.
zts16779e	Dove trovo le Calze colorate?
zts16780e	Voglio scambiare le Calze colorate con una Scatola regalo di Natale.
zts16781e	Puoi raccogliere le Calze colorate completando le quest giornaliere degli NPC di NosVille durante l'evento invernale.
zts16782e	Puoi farti assegnare le quest giornaliere da questi NPC: Schluri, Eva Energy, Malcolm Mix, Teodor Topp, Soraya Style e da me.
zts16783e	Puoi beccarti al massimo 6 Calze colorate al giorno. Se me ne porti 5, ti do un regalo.
zts16784e	Quest giornaliere dell'evento invernale
zts16785e	Sii prudente!
zts16786e	Ahahah, grazie mille.
zts16787e	Ti ringrazio di cuore, davvero.
zts16788e	Dai una bella lezione a quel grosso, malvatgio pupazzo di neve!
zts16789e	Rac... raccogli dei Cri... Cristalli Fiore di ghiaccio!
zts16790e	Gra... grazie mille! Mi aspetto che Mi... Mimi faccia almeno un sorriso.
zts16791e	Grazie per il supporto!
zts16792e	Hai fatto un ottimo lavoro! Sei un avventuriero davvero straordinario che sa cos'è la gioia della condivisione!
zts16793e	Per realizzare la sciarpa mi servono dei materiali speciali. Procurameli per favore!
zts16794e	Per Calvin Coach... Per favore, portagli questa sciarpa e raccomandagli da parte mia di indossarla per ripararsi dal freddo.
zts16795e	(È la prima volta che vedo Soraya così in imbarazzo.)
zts16796e	Oho... l'ha fatta davvero per me? Con questa sciarpa potrò imbacuccarmi a dovere e ripararmi dal freddo invernale. Ringraziala di cuore da parte mia. E grazie anche a te per avermela portata.
zts16797e	(Calvin è davvero contento. Devo riferirlo subito a Soraya.)
zts16798e	Grazie. Era contento Calvin?
zts16799e	(Arrossisce. Credo proprio che i due siano fatti l'uno per l'altra...)
zts16800e	Con il Vaso sigillato di Natale puoi evocare dei mostri.
zts16801e	(Quando potrà portargliela Malcolm?)
zts16802e	Ottimo lavoro! Sei un bravo avventuriero e sai che la condivisione rende felici.
zts16803e	A... aspetta, avventuriero.
zts16804e	Scusa, potresti dire a Calvin Coach che dovrebbe usarla per ripararsi dal freddo e dai malanni? Prego!?
zts16805e	Ho capito. Non ti preoccupare.
zts16806e	Grazie mille, avventuriero!
zts16807e	Aspettami, Calvin! Ho un regalo per te. Soraya mi ha incaricato di consegnarti questa sciarpa. Ti raccomanda di usarla per ripararti dal freddo!
zts16808e	(Calvin è davvero contento. Devo riferirlo subito a Soraya.)
zts16809e	Certo, era davvero contento. Credo che abbia smesso di pensare all'allenamento non appena ha ricevuto la sciarpa.
zts16810e	(Arrossisce. Credo proprio che i due siano fatti l'uno per l'altra...)
zts16811e	Ehi, Mimi?
zts16812e	Oh, ciao avventuriero. C'è qualcosa che posso fare per te?
zts16813e	Ho saputo che compi delle buone azioni per i poveri. Prendi questa piccola offerta... non è molto, ma vorrei contribuire anch'io.
zts16814e	Grazie di cuore. Hai davvero un cuore d'oro. Me ne servirò per fare qualcosa di utile. Ti auguro tutto il meglio.
zts16815e	(Mimi ha davvero un gran cuore e aiuta volentieri i più bisognosi. È davvero molto disponibile. Vedrò di darle una mano un po' più spesso.)
zts16816e	(Torno da Teodor.)
zts16817e	Soraya, ora ho tutto quello serve. Spero che sia soddisfatta.
zts16818e	Ah, sei già di ritorno. Grazie di cuore!
zts16830e	Accetta la quest giornaliera di Mimi Mentor
zts16831e	Scambia il Sigillo della Gallina regina
zts16832e	Scambia 5 Uova di Pasqua dorate con un Cesto di Pasqua
zts16833e	Cosa è l'Uovo misterioso?
zts16834e	Se mi porterai 30 Conigli di cioccolato, in cambio ti darò il Sigillo della Gallina regina.
zts16835e	Scambia 30 Conigli di cioccolato con il Sigillo della Gallina regina
zts16836e	Lo puoi ottenere nel Raid della Gallina regina. Usandolo nella Miniland, vi è la probabilità che nasca un Jelly.
zts16837e	Il Jelly nato diventerà il tuo nuovo NosMate.
zts16838e	Con il Frutto dell'evoluzione, il tuo Jelly potrà evolversi in un Seraphim.
zts16839e	Piano con l'impeto, giovane avventuriero! Posso chiederti un altro favore?
zts16840e	Accetta la quest giornaliera di Calvin Coach
zts16841e	Per poter analizzare più da vicino la Gallina regina, che continua a covare dei Pulcini mutanti, mi servono le sue piume. Puoi portarmene alcune?
zts16842e	Accetta la quest giornaliera di Malcom Mix
zts16843e	Come faccio a recuperare le Piume della Gallina regina?
zts16844e	Sussiste una certa probabilità di trovarle nello Scrigno del raid dopo avere completato con successo il Raid della Gallina regina.
zts16845e	Abbiamo un grosso problema! Sto preparando i Regali di Pasqua per NosVille e mi servono altre Uova di Pasqua. Aiutami! Recupera delle Uova di Pasqua rosse!
zts16846e	Accetta la quest giornaliera di Eva Energy
zts16847e	Dove posso trovare le Uova di Pasqua rosse?
zts16848e	Le Uova rosse sono piuttosto rare. Le puoi ottenere dando la caccia ai mostri.
zts16849e	Ehi, tu! Durante il periodo di Pasqua organizzeremo una grande caccia alle uova! Conosci qualcuno che vuole partecipare?
zts16850e	Ho già nascosto delle uova ovunque, qui nel villaggio. Se mi porti le Uova di Pasqua gialle, in cambio ti do un bellissimo Regalo di Pasqua!
zts16851e	Accetta la quest giornaliera di Schluri
zts16852e	Dove posso trovare le Uova di Pasqua gialle?
zts16853e	Se te lo dico, finisce tutto il divertimento!
zts16854e	Però, ti do un consiglio.
zts16855e	Avrai modo di vedere delle cose strane a NosVille. Precisamente in Piazza Porto Alveus e al Mercato di Porto Alveus!
zts16857e	Ti credo, avventuriero!
zts16859e	Grazie... grazie mille.
zts16861e	Dai una bella lezione alla Gallina regina!
zts16864e	Uff... Non è proprio facile da trovare, eh!
zts16866e	Grandioso! Ecco quello che ti avevo promesso.
zts16868e	Ho un regalino per Soraya. Potresti portarglielo?
zts16870e	Le è piaciuto?
zts16871e	Certo che le è piaciuto. A dir la verità, è diventata tutta rossa...
zts16872e	Oh... grazie mille, avventuriero!
zts16874e	Ti aspetterò qui.
zts16876e	Ecco: questo è l'incarico che ho deciso di affidarti.
zts16878e	Oh, di cosa si tratta? È davvero per me?
zts16879e	Calvin mi ha chiesto di portarti questo pensierino per ringraziarti del tuo ultimo regalo di Natale.
zts16880e	Oh, davvero?
zts16881e	(Le sue guance arrossiscono... Deve piacerle davvero tanto.)
zts16882e	Meglio che torni ora...
zts16883e	Ehi, avventuriero, aspetta! Ringrazia di cuore Calvin da parte mia. E grazie anche a te per essere venuto fin qui.
zts16886e	Aumento delle forze di attacco e di difesa
zts16887e	Effetto migliorato di cibo e spuntini
zts16888e	Sconto su teletrasporto e viaggi in nave
zts16889e	Effetto migliorato delle pozioni
zts16890e	Questo effetto incrementa le forze di attacco e di difesa dei membri della famiglia e dei suoi NosMate. Acquistando abilità di livello superiore, quelle di livello inferiore non verranno più usate.
zts16891e	Questo effetto incrementa l'efficacia di cibo e spuntini sui membri della famiglia. L'effetto non viene sortito in caso di HP e MP temporanei.
zts16892e	Questo effetto potenzia l'efficacia delle Pozioni ricostituenti e può essere acquistato da famiglie di alto livello. L'effetto non viene sortito in caso di pozioni divine.
zts16893e	Quando la tua famiglia raggiunge un livello elevato, ti consiglio di acquistare l'effetto che consente di ridurre i prezzi di teletrasporto e viaggi in nave.
zts16896e	Crea il Sigillo del raid di Lord Draco
zts16897e	Hai delle domande?
zts16898e	Raccontami qualcosa sugli eroi del fuoco.
zts16899e	Cosa sai su Lord Draco?
zts16900e	Come posso creare il Sigillo del raid di Lord Draco?
zts16901e	Sono dei grandi eroi che sfruttano la forza del fuoco in modo straordinario.  Il Gladiatore è uno spadaccino, il Cannoniere di fuoco è un arciere e Vulcano è un mago.
zts16902e	Lord Draco è un drago della lava malvagio.
zts16903e	Alcuni secoli fa mandò il nostro mondo in rovina e scoppiò il caos. Se il sigillo si dovesse rompere, proverà ancora una volta a distruggere tutto.
zts16904e	Perché Dio ha creato uomini e draghi?
zts16907e	Ho paura che l'Apocalisse ormai sia imminente.
zts16908e	Di cosa stai parlando?
zts16909e	Il Sigillo di Lord Draco è in procinto di spezzarsi. Lord Draco, non bisogna dimenticarlo, distrusse il nostro mondo molto tempo fa.
zts16910e	È possibile rafforzare il sigillo?
zts16911e	No, purtroppo è troppo tardi. Potrei al massimo provare a rallentare la distruzione del Sigillo. Però, ormai non rimane molto tempo.
zts16912e	Quindi, come vogliamo procedere?
zts16913e	Dobbiamo annientare Lord Draco. Altrimenti non ci resterà altro che assistere inermi alla distruzione del nostro mondo.
zts16914e	Non credo di essere abbastanza forte da annientare Lord Draco.
zts16915e	Non mi aspetto che tu accetti questa sfida. Almeno non subito. Se però riesci a convincere gli Eroi del fuoco ad aiutarti, potresti farcela.
zts16916e	Dove si trovano gli Eroi del fuoco? Non potrebbero semplicemente occuparsi loro di Lord Draco?
zts16917e	Si sono sacrificati già in passato per porre un sigillo su Lord Draco. Ora tocca a te assumerti questo grosso incarico.
zts16918e	Ti darò una mano io a incontrarli. Basta che mi porti i loro oggetti personali. In questo modo potrai sfruttare i loro poteri per accrescere la tua fama.
zts16919e	Innanzitutto trova l'Elmo di Roberto. Ecco questo è uno schizzo dell'oggetto in questione. Portalo con te al Campo Cercatori Tesoro.
zts16920e	Eroi del fuoco 2
zts16921e	(Mostri lo schizzo a Riana)
zts16922e	Ma questo è l'Elmo di Roberto!
zts16923e	Ce l'hai tu?
zts16924e	No. Qui abbiamo un'enorme quantità di tesori, ma non tutto purtroppo!
zts16925e	Riana, che ti prende? Il nostro Campo Cercatori Tesoro possiede l'Elmo di Roberto.
zts16926e	Ah si, è vero! Però il Corno è rotto.
zts16927e	E allora, cosa dovremmo fare?
zts16928e	Dobbiamo utilizzare un nuovo corno. Per questo abbiamo bisogno del Corno del basilisco. È molto difficile da trovare, ma per quest'elmo ci occorre il materiale migliore.
zts16929e	Dove posso trovare il Corno del basilisco? Ti prego dimmelo!
zts16930e	Sembra, quindi, che tu voglia andare a caccia di basilischi?!
zts16932e	Eroi del fuoco 3
zts16933e	Hai fatto un buon lavoro. Ora, come promesso, riparerò il tuo elmo. Ci vorrà solo un minuto.
zts16934e	(Riana torna con l'Elmo di Roberto)
zts16935e	Ecco, prendilo.
zts16936e	È venuto bene, vero? Avrei dovuto fare il fabbro piuttosto che il cacciatore di tesori!
zts16937e	Eroi del fuoco 4
zts16938e	Mi ricordo bene di Roberto. Era un tipo coraggioso.
zts16939e	Era forte?
zts16940e	Forse, era addirittura il più forte tra gli spadaccini.
zts16941e	Ma ciò che in assoluto lo rese più conosciuto fu il suo coraggio. Non aveva paura di nessuno.
zts16942e	Il prossimo oggetto di cui ho bisogno sono gli Occhiali di Irene.
zts16943e	Per quanto ne so, gli occhiali sono nelle mani dei Mercanti Akamur.
zts16944e	Eroi del fuoco 5
zts16945e	Ehi fagiolino, sai per caso dove si trova il capo dei Mercanti Akamur?
zts16946e	Fagiolino?! Io sono Nephi e sono io che dirigo le cose qui.
zts16947e	Ops! Mi potresti dire qualcosa sugli Occhiali di Irene?
zts16948e	Aspetta un attimo, do uno sguardo ai libri.
zts16949e	Nephi, non ce n'è bisogno.
zts16950e	Gli Occhiali di Irene sono l'oggetto più prezioso posseduto dei Mercanti di Akamur.
zts16951e	Mi servono urgentemente. Me li potresti dare o... vendere?
zts16952e	Noi siamo mercanti! Non possiamo darti gli occhiali senza avere qualcosa in cambio.
zts16953e	Poco fa ho visto un prodotto che davvero vorrei avere. Se me lo porti, ti cederò volentieri gli Occhiali di Irene.
zts16954e	Cosa vuoi?
zts16956e	(Accidenti, ormai Nephi è diventata adulta.)
zts16957e	Eroi del fuoco 6
zts16958e	Hai la Sabbia misteriosa?
zts16959e	(Consegni la sabbia a Nephi)
zts16960e	Evviva!
zts16961e	Semia, prendi gli Occhiali di Irene e faremo lo scambio, come promesso.
zts16962e	Si, un momento.
zts16963e	(Dopo un po' Semia porta gli occhiali)
zts16964e	Eccoli.
zts16965e	Se dovessi avere delle altre richieste, torna pure da noi.
zts16966e	Eroi del fuoco 7
zts16967e	L'allegra Irene è stata sempre attenta ai suoi occhiali.
zts16968e	Questi occhiali hanno qualcosa di particolare?
zts16969e	Credo siano un ricordo di suo padre. Hanno un significato particolare.
zts16970e	I ricordi del padre sono stati trasmessi negli occhiali.
zts16971e	Oh come è commovente! Non è che stia diventando sentimentale?
zts16972e	Beh... Incontrerai gli Eroi del fuoco, se mi porterai il Guanto di Harald.
zts16973e	Il guanto ce l'ha il Presidente Noah. Lo trovi nel Campo Akamur.
zts16974e	Eroi del fuoco 8
zts16975e	Dai prova del tuo talento, se ti vuoi unire a noi.
zts16976e	No. Sto solo cercando il Guanto di Harald.
zts16977e	Ce l'ho io.
zts16978e	Ehm. Sei l'avventuriero che con mia sorella Nephi ha fatto lo scambio degli Occhiali di Irene con la Sabbia misteriosa?
zts16979e	Il messaggero di mia sorella ha detto che hai una personalità forte.
zts16980e	Se mi aiuti a risolvere un problema, ti darò il Guanto di Harald. Ci stai?
zts16981e	Credo di non avere altra scelta.
zts16982e	Ahah, giusto!
zts16983e	Ho ricevuto delle informazioni dalle quali sono venuto a sapere che i perfidi Bandito del deserto intendono attaccare noi Mercante Akamur. Probabilmente hanno come obiettivo la mia carovana.
zts16984e	Se riuscirai a sconfiggere il leader dei Banditi del deserto, ti darò come ricompensa il Guanto di Harald.
zts16985e	Dovrò sconfiggerlo senza l'aiuto di nessuno?
zts16986e	Noi siamo mercanti! Non facciamo di certo affari che possano andare a nostro discapito!
zts16987e	Eroi del fuoco 9
zts16988e	Sei di nuovo qui. Molto bene. I popoli del deserto parlano già delle tue gesta eroiche. Io credo che abbia già dato prova del tuo valore di combattente. Che ne dici di collaborare?
zts16989e	Devo sbrigare ancora delle cose importanti. *ansima*
zts16990e	Oh... Okay. Come da accordi, ecco il Guanto di Harald.
zts16991e	(Il Preseidente Noah ti consegna il Guanto di Harald)
zts16992e	Se dovessi cambiare idea e decidessi di unirti a noi, potrai tornare qui quando ti va.
zts16993e	Eroi del fuoco 10
zts16994e	(Il Grande mago Kan sembra molto stanco.)
zts16995e	Eccomi di nuovo qua, finalmente. *ansima*
zts16996e	Come mai tutta questa stanchezza?
zts16997e	Ho provato per tutto il tempo a proteggere con un magia il Sigillo di Lord Draco. Ma ormai credo di aver raggiunto il limite.
zts16998e	Userò le mie ultime forze, affinché tu possa incontrare gli Eroi del fuoco. Dammi per favore il Guanto di Harald.
zts16999e	Ora forse è meglio che tu faccia un passo indietro.
zts17000e	(Il Grande mago Kan incanta gli oggetti che gli hai portato e poi compare la Pietra spazio-temporale)
zts17001e	Bene. Prendi questa pietra. Se la usi, potrai incontrare gli Eroi del fuoco. Vai, non rimane più molto tempo.
zts17002e	Eroi del fuoco 11
zts17003e	Come hanno fatto Roberto, Irene e Harald a diventare come sono?
zts17004e	Tu li hai visti. Hanno salvato il nostro mondo sacrificandosi per porre un sigillo su Lord Draco.
zts17005e	Quei tre si sono dimostrati dei veri eroi.
zts17006e	Ah, mi hanno dato questo per te.
zts17007e	(Consegni la Catenina di Roberto, il Bracciale di Irene e l'Anello di Harald al Grande mago Kan)
zts17008e	Apprezzano molto i tuoi sforzi. Riesco a percepire un po' della loro forza in questi oggetti.
zts17009e	Non riesco a percepire niente, purtroppo.
zts17010e	Ma che cosa stai dicendo? Il mondo è in grave pericolo e tu lo devi salvare usando il potere di questi tre eroi.
zts17011e	Ma io...
zts17012e	(Ti travolge un'enorme onda di energia pura)
zts17013e	Alla fine il sigillo si è spezzato... Sei la nostra ultima speranza!
zts17014e	(Il Grande mago Kan realizza l'Amuleto degli Eroi del fuoco utilizzando il potere dei gioielli)
zts17015e	Ora, prendi questo amuleto e portalo sempre con te. Ti proteggerà dalla Paura del drago.
zts17016e	Ti supplico, salva il nostro mondo!
zts17017e	Spazio-tempo degli Eroi del fuoco 1
zts17018e	Ehi? Dove posso trovarli?
zts17019e	Spazio-tempo degli Eroi del fuoco 2
zts17020e	Argh!
zts17021e	(Senti un grido spaventoso)
zts17022e	Spazio-tempo degli Eroi del fuoco 3
zts17023e	Credo che la persona circondata sia Irene. Devo assolutamente aiutarla.
zts17024e	Spazio-tempo degli Eroi del fuoco 4
zts17025e	Perché hai urlato così forte? Sembrava che tu non avessi alcun bisogno di aiuto.
zts17026e	Ihih... ma ho paura dei mostri. In ogni caso, ti ringrazio tanto.
zts17027e	Di niente, figurati.
zts17028e	Ma di fatto... tu chi sei?
zts17029e	Sono solo un avventuriero.
zts17030e	Irene, cosa ci fai qui tutta sola?
zts17031e	Sto cercando i miei due amici.
zts17032e	Oh, ma come fai a sapere che sono Irene?
zts17033e	Me lo ha detto un amico.
zts17034e	Mmmh, strano. Ma sembri essere una persona di cui ci si può fidare, quindi ti racconterò la mia storia.
zts17035e	Io e i miei amici abbiamo giurato che avremmo lottato contro il male. Ma mi hanno lasciata indietro da sola e ora li sto cercando.
zts17036e	Okay. Quando si è da soli ogni situazione difficile sembra più pericolosa. Cerchiamoli insieme.
zts17037e	Davvero? Ok, allora andiamo.
zts17038e	Spazio-tempo degli Eroi del fuoco 5
zts17039e	Ehi Irene, ma... i tuoi occhiali sono particolarmente... preziosi?
zts17040e	Durante la battaglia hai sempre fatto attenzione che non si rompessero, no?
zts17041e	(Irene impallidisce e poi, poco dopo, il suo volto riacquista un'espressione serena.)
zts17042e	Già, è vero! Questo è sicuramente l'oggetto più prezioso che possiedo.
zts17043e	Gli occhiali li ho avuti in eredità da mio padre.
zts17044e	(La situazione si fa un po' imbarazzante: Irene ora mi tiene la mano.)
zts17045e	Dai, meglio che continuiamo.
zts17046e	Spazio-tempo degli Eroi del fuoco 6
zts17047e	Harald! Roberto!
zts17048e	Irene?
zts17049e	Come sei arrivata fin qui?
zts17050e	Accidenti! Mi avete lasciato da sola!
zts17051e	Mi dispiace, ma non era troppo pericoloso.
zts17052e	(Ehi, non c'è tempo per concedersi una chiacchierata tranquilla!)
zts17053e	Spazio-tempo degli Eroi del fuoco 7
zts17054e	Uff, abbiamo sconfitto tutti i mostri?
zts17055e	Irene, perché ci stai seguendo?
zts17056e	Per aiutarvi, chiaramente. Io padroneggio la forza del fuoco esattamente come voi!
zts17057e	Se noi dovessimo fallire, dovresti occuparti tu della gente.
zts17058e	Se non dovessimo riuscire a sconfiggere Lord Draco, l'umanità rischierebbe di estinguersi o di subire delle grosse perdite.
zts17059e	Ah, nessuno può fermare Irene. E tu? Chi sei?
zts17060e	Sono...
zts17061e	Questo è l'avventuriero che mi ha salvato la vita. È forte almeno quanto voi due.
zts17062e	(Roberto e Harald mostrano diffidenza.)
zts17063e	Grazie per aver protetto Irene.
zts17064e	Ah di niente. A dir la verità, non ho fatto niente di che.
zts17065e	La tua modestia è davvero encomiabile.
zts17066e	Ora ci metteremo in cammino: bisogna fermare l'Ardente Achille.
zts17067e	L'Ardente Achille?
zts17068e	È il leader di un esercito micidiale.
zts17069e	Per raggiungere Lord Draco è necessario togliere di mezzo l'Ardente Achille.
zts17070e	Ok dai, seguici.
zts17071e	(Sono diventato accompagnatore proprio nel momento peggiore.)
zts17072e	Spazio-tempo degli Eroi del fuoco 8
zts17073e	Ehi, Roberto. Sapevi che un corno del tuo elmo fosse rotto?
zts17074e	Roberto tocca, sorpreso, il corno del suo elmo.
zts17075e	Oh, era davvero rotto. Brutto segno... non ci voleva prima di una battaglia così importante.
zts17076e	Perché un brutto segno? Riparerò il corno, non appena rientreremo a casa.
zts17077e	Ah, che invidia! Dovrei forse rovinare il mio guanto?
zts17078e	Harald! Il guanto è l'oggetto più prezioso che possiedi!
zts17079e	Sì, sì... stavo scherzando. Questo guanto rappresenta per me l'oggetto più prezioso al mondo.
zts17080e	(Pare che ci siano diversi racconti collegati al Guanto di Harald.)
zts17081e	Spazio-tempo degli Eroi del fuoco 9
zts17082e	Ahah, non mi aspettavo che riusciste ad arrivare così lontano.
zts17083e	Ti sconfiggeremo e poi raggiungeremo il tuo leader!
zts17084e	Ahahah. Non riuscirete a incontrarlo.
zts17085e	Per chiarirci: non vogliamo incontrarlo: lo vogliamo annientare!
