zts1e	Neuer Gegenstand
zts17498e	Schwarzes Einhorn
zts17499e	Mit dem schwarzen Einhorn reitest du dem Regenbogen entgegen.[n]Deine Bewegungsgeschwindigkeit erhöht sich.[n]Wenn du das Item erneut benutzt, steigst du ab.[n]Es gibt kein Levellimit.[n][Eigenschaften][n]Bewegungsgeschwindigkeit: 22[n]Bewegungsgeschwindigkeit in der Wüste und der Region des brennenden Schwertes +2[n][Mit Speedbooster][n]Teleportiert dich zu einem zufälligen Punkt auf der Karte.[n]
zts17500e	Schwarzes Einhorn
zts17501e	In dieser Truhe steckt das schwarze Einhorn. [n][Achtung][n]Sobald du das schwarze Einhorn aus der Truhe freigelassen hast, ist die Truhe nicht mehr handelbar.[n]
zts17502e	Zauberhafte Einhorn-Zufallstruhe
zts17503e	In der zauberhaften Zufallstruhe verstecken sich das weiße, rosarote oder schwarze Einhorn und andere Items.[n]Du kannst eines der folgenden Dinge erhalten: [n]1x Truhe des weißen Einhorns[n]1x Truhe des rosaroten Einhorns[n]1x Truhe des schwarzen Einhorns[n]1x Haustierkorb (30 Tage)[n]40x Flügel der Freundschaft[n]1x Mittlerer Spezialtrank[n]1x Amulett der Verstärkung[n]16x Segen des Schutzengels[n]1x Tarotkartenspiel[n]10x Feenverstärker[n]14x Versiegeltes Gefäß[n]
zts17514e	Die Drachenhaut ist ein wichtiges Material für das Verbessern der hochrangigen Spezialistenkarten.[n]Dieses Item wird für das Upgrade von Level 0-4 verwendet.[n][n]
zts17515e	Das Drachenblut ist ein wichtiges Material für das Verbessern der hochrangigen Spezialistenkarten.[n]Dieses Item wird für das Upgrade von Level 5-9 verwendet.[n][n]
zts17516e	Das Drachenherz ist ein wichtiges Material für das Verbessern der hochrangigen Spezialistenkarten.[n]Dieses Item wird für das Upgrade von Level 10-14 verwendet.[n][n]
zts17517e	Kampfmönch-Spezialistenkarte (Timespace)
zts17518e	Der Kampfmönch ist ein Meister im Umgang mit dem Speer.[n]"Mit der Kraft meines Speers werde ich diese Welt reinigen."[n]Du erhältst eine Resistenz von 10% gegen [Schüttelfrost] und schwächere Frostzustände.[n]
zts17519e	Späher-Spezialistenkarte (Timespace)
zts17520e	Der Späher ist ein Ass mit der Armbrust und Experte im Auskundschaften.[n]"Wenn du dich selbst und deinen Feind noch besser kennst, kannst du jede Schlacht gewinnen."[n]Du erhältst eine Resistenz von 10% gegen [Schüttelfrost]und schwächere Frostzustände.[n]
zts17521e	Gezeitenbändiger-Spezialistenkarte (Timespace)
zts17522e	Der Gezeitenbändiger herrscht über die Kraft des Ozeans.[n]"Sieh meine Macht aus den Abgründen des Meeres".[n]Du erhältst eine Resistenz von 10% gegen [Schüttelfrost] und schwächere Frostzustände.[n]
zts17523e	Kampfmönch-Spezialistenkarte
zts17524e	Späher-Spezialistenkarte
zts17525e	Gezeitenbändiger-Spezialistenkarte
zts17526e	Mystischer Gletscherstein
zts17528e	Ticket der elementaren Zeitreise
zts17529e	Dieses Ticket der elementaren Zeitreise ermöglicht dir, das Tageslimit der Element-Raids zurückzusetzen.[n]Benutze es durch einen Doppelklick.[n]
zts17530e	Raidsiegel des Glacerus
zts17531e	Player can performs this raid through Teleport of blue magician Meter[n]Recommended Lv: 75 ~ 99[n][How to use][n]With it, you are able to be a lead of the raid team.[n]After becoming the leader, you can make the others as your team members by clicking them.[n]When leader enters the raid, all team members will enter the raid automatically.[n][Caution][n]It will be deleted when the event ends.[n]
zts17532e	Timespace: Zerstöre Glacerus' Eissiegel!
zts17533e	Questitem.[n]Wenn du den Stein in deinem Inventar anklickst, landest du sofort im Timespace.[n][n]
zts17534e	Zangpos buddhistische Gebetskette
zts17535e	Falkons Trainingshandschuhe
zts17536e	Elisias Haarschmuck
zts17537e	Angriffsbefehl für Zone des Chaos
zts17538e	Schriftrolle der Eiseskälte
zts17539e	Power of ancient spirit indwells in this item[n]When equips it, get energy of ancient hero[n]and resistance from chill storm is increased.[n]Required level: 75[n][Effect][n]Can join to raid team of Hislant of bitter cold and wake up froze player.[n]
zts17540e	Zauberhafte Einhorn-Truhe
zts17541e	In dieser zauberhaften Truhe verstecken sich das weiße, rosarote oder schwarze Einhorn.[n]Du kannst eines der folgenden Dinge erhalten:[n]1x Truhe des weißen Einhorns[n]1x Truhe des rosaroten Einhorns[n]1x Truhe des schwarzen Einhorns[n]
zts17544e	Mysteriöses Ei
zts17545e	Inferno
zts17546e	Osterbox
zts17547e	Sonderbares UFO
zts17548e	Mit dem sonderbaren UFO fliegst du dem Weltall entgegen.[n]Deine Geschwindigkeit erhöht sich.[n]Wenn du das Item erneut benutzt, steigst du ab.[n]Es gibt kein Levellimit.[n][Eigenschaften][n]Tempo: 22[n]Tempo auf Glacernon +1[n][Mit Speedbooster][n]Teleportiert dich zu einem zufälligen Punkt auf der Map.[n]
zts17549e	Sonderbares UFO
zts17550e	In der Truhe verbirgt sich das sonderbare UFO.[n][Achtung][n]Holst du die fliegende Untertasse aus der Truhe heraus, so kannst du nicht mehr damit handeln.[n]
zts17551e	Marco Pollo
zts17564e	Das ist ein spanischer Reitgockel namens Marco Pollo.[n]Deine Bewegungsgeschwindigkeit erhöht sich.[n]Wenn du das Item erneut benutzt, steigst du ab.[n]Es gibt kein Levellimit.[n][Eigenschaften][n]Bewegungsgeschwindigkeit: 14[n]Bewegungsgeschwindigkeit in der Akt1-Region +6[n][Mit Speedbooster][n]Bewegungsgeschwindigkeit +2[n]Dauer +3[n]
zts17565e	Dies ist ein mysteriöses Ei.[n][Anleitung]:[n]Doppelklicke auf das Item in deinem Miniland.[n]Um es auszubrüten, muss das Ei hundertprozentige HP haben - es schlüpft dann automatisch.[n]Wenn das Ei dich begleitet, bekommt es jede Sekunde 1 HP.[n]Wenn du mit ihm Monster jagst, bekommt es 20 HP pro Monster.[n]Fütterst du es mit einer Wachstumsfrucht, bekommt es 20.000 HP.[n]
zts17567e	Du kannst den Raid gegen Glacerus, den Eiskalten, über den Teleport bei Felix Frost betreten.[n]Empfohlenes Level: 80-99[n]Alle Spieler über Level 80 können das Raidsiegel verwenden.[n][Anleitung][n]Der Spieler wird Teamleiter.[n]Nachdem du Teamleiter geworden bist, kannst du andere Spieler einladen, indem du sie anklickst.[n]Gehe zum Raideingang. Wenn der Leiter eintritt, folgen alle anderen Mitglieder automatisch.[n][Achtung][n]Charaktere mit einem höheren Level als dem empfohlenen können zwar am Raid teilnehmen, erhalten jedoch eine Strafe.[n](Keine zusätzlichen Herzen, keine Raidbox, auch nicht bei Erfolg.)
zts17568e	Die Kraft der altehrwürdigen Seelen wohnt in diesem mystischen Gletscherstein.[n]Wenn du ihn benutzt, überträgt sich seine Energie auf dich.[n]Die Resistenz gegen Glacerus' Eissturm wird erhöht.[n]Benötigtes Level: 80[n][Effekt][n]Mit diesem Item kannst du am Raid gegen Glacerus teilnehmen und eingefrorene Spieler auftauen.[n]
zts17582e	Zauberhut des Lichtes (30 Tage)
zts17584e	Zauberhut des Lichtes (unbegrenzt)
zts17586e	Zauberhut des Schattens (30 Tage)
zts17588e	Zaubergewand des Lichtes (30 Tage)
zts17590e	Zaubergewand des Lichtes (unbegrenzt)
zts17591e	Zauberrobe des Schattens (30 Tage)
zts17593e	Zauberrobe des Schattens (unbegrenzt)
zts17596e	Das ist der Zauberhut des Lichtes.[n]Die Anwendungszeit beginnt, sobald du ihn aufgesetzt hast.[n][Verteidigungseffekt][n]Die gesamte Angriffskraft erhöht sich um 5%.[n]Erhöht die Schattenresistenz um 3.[n]
zts17597e	Das ist der Zauberhut des Lichtes.[n][Verteidigungseffekt][n]Die gesamte Angriffskraft erhöht sich um 5%.[n]Erhöht die Schattenresistenz um 3.[n]
zts17600e	Das ist das Zaubergewand des Lichtes.[n]Die Anwendungszeit beginnt, sobald du das Gewand angezogen hast.[n][Effekt][n]Die gesamte Verteidigungskraft erhöht sich um 5%.[n]Das Maximum der HP und MP wird jeweils um 300 erhöht.[n]
zts17601e	Das ist das Zaubergewand des Lichtes.[n][Effekt][n]Die gesamte Verteidigungskraft erhöht sich um 5%.[n]Das Maximum der HP und MP wird jeweils um 300 erhöht.[n]
zts17602e	Das ist die Zauberrobe des Schattens.[n]Die Anwendungszeit beginnt, sobald du die Robe angezogen hast.[n][Effekt][n]Die gesamte Verteidigungskraft erhöht sich um 5%.[n]Erhöht die Resistenz gegen alle Elemente um 1.[n]
zts17603e	Das ist die Zauberrobe des Schattens.[n][Effekt][n]Die gesamte Verteidigungskraft erhöht sich um 5%.[n]Erhöht die Resistenz gegen alle Elemente um 1.[n]
zts17604e	Zauberhut des Schattens (unbegrenzt)
zts17605e	Das ist der Zauberhut des Schattens.[n]Die Anwendungszeit beginnt, sobald du ihn aufgesetzt hast.[n][Verteidigungseffekt][n]Erzeugt mit 3% Wahrscheinlichkeit [Dunkelheit von DOOM] beim Gegner.[n]Erhöht die Lichtresistenz um 2.[n]
zts17606e	Das ist der Zauberhut des Schattens.[n][Verteidigungseffekt][n]Erzeugt mit 3% Wahrscheinlichkeit [Dunkelheit von DOOM] beim Gegner.[n]Erhöht die Lichtresistenz um 2.[n]
zts17607e	Kleiner Rubin der Vollendung
zts17608e	Dieses kostbare Juwel verbessert deine Spezialistenkarte.[n]Damit kannst du den Krieger, Zerstörer, Feuermagier und Jajamaru der Perfektion näher bringen.[n]
zts17609e	Kleiner Saphir der Vollendung
zts17610e	Dieses kostbare Juwel verbessert deine Spezialistenkarte.[n]Damit kannst du den Ninja, Jäger und Eismagier der Perfektion näher bringen.[n]
zts17611e	Kleiner Obsidian der Vollendung
zts17612e	Dieses kostbare Juwel verbessert deine Spezialistenkarte.[n]Damit kannst du den Berserker, Schurke und Schattenmagier der Perfektion näher bringen.[n]
zts17613e	Kleiner Topas der Vollendung
zts17614e	Dieses kostbare Juwel verbessert deine Spezialistenkarte.[n]Damit kannst du den Kreuzritter, Wildhüter und Heiligen Magier der Perfektion näher bringen.[n]
zts17615e	Rubin der Vollendung
zts17616e	Dieses kostbare Juwel verbessert deine Spezialistenkarte.[n]Damit kannst du den Gladiator, Feuerkanonier und Vulkano der Perfektion näher bringen.[n]
zts17617e	Saphir der Vollendung
zts17618e	Dieses kostbare Juwel verbessert deine Spezialistenkarte.[n]Damit kannst du den Kampfmönch, Späher und Gezeitenbändiger der Perfektion näher bringen.[n]
zts17619e	Obsidian der Vollendung
zts17620e	Dieses kostbare Juwel verbessert deine Spezialistenkarte.[n]Damit kannst du den Todesbringer, Dämonenjäger und Seher der Perfektion näher bringen.[n]
zts17621e	Topas der Vollendung
zts17622e	Dieses kostbare Juwel verbessert deine Spezialistenkarte.[n]Damit kannst du den Erzmagier, Abtrünnigen und Racheengel der Perfektion näher bringen.[n]
zts17623e	Dracos Kralle
zts17624e	Die Kralle von Draco jagst du dem Feuerdrachen im Raid ab.[n]Du kannst bei Großmagier Kan 50 von Dracos Krallen gegen eine Gladiator SP/Feuerkanonier SP/Vulkano SP eintauschen.[n]Für 5 Krallen von Draco erhältst du den Rubin der Vollendung.[n]
zts17625e	Glacerus' Mähne
zts17626e	Teile von Glacerus' Mähne jagst du der eiskalten Bestie im Raid ab.[n]Du kannst bei Felix Frost 50 Teile von Glacerus' Mähne gegen eine Kampfmönch SP/Späher SP/Gezeitenbändiger SP eintauschen.[n]Für 5 Mähnenteile erhältst du den Saphir der Vollendung.[n]
zts17637e	Kostümpaket 1 für Frauen
zts17638e	Dieses Paket ist genau das Richtige für modebewusste Frauen.[n]Ergattere per Zufall eines der aufgelisteten Kostüme und verpasse deinem Charakter ein neues Outfit.[n]Alle Kostüme sind unbegrenzt tragbar.[n][Erhältliche Items][n]Hawaii-Kostüm für Frauen[n]Starlight-Schuluniform[n]Blauer Matrosenanzug[n]Kunoichikimono[n]Feenkostüm[n]Gelbe Schuluniform[n]Lila Schuluniform[n]Grüne Schuluniform[n]Hotpink Sportoutfit[n]Bluesky Sportoutfit[n]Coralpink Sportoutfit[n]Noirblack Sportoutfit[n]Feuerrosenkostüm[n]Pfefferminzkostüm[n]Schokoladenkostüm[n]Azaleenhanbok[n]
zts17639e	Kostümpaket 2 für Frauen
zts17640e	Dieses Paket ist genau das Richtige für modebewusste Frauen.[n]Ergattere per Zufall eines der aufgelisteten Kostüme und verpasse deinem Charakter ein neues Outfit.[n]Alle Kostüme sind unbegrenzt tragbar.[n][Erhältliche Items][n]Krokushanbok[n]Rosenhanbok[n]Lavendelchipao[n]Phoenixchipao[n]Schwarzer Chipao[n]Kirschblütenkimono[n]Lilienkimono[n]Dalmatinerkostüm[n]Rottweilerkostüm[n]Katzenkostüm "Siam"[n]Katzenkostüm "Russisch Blau"[n]Verspieltes Häschenkostüm[n]Bezauberndes Häschenkostüm[n]Helles Löwenkostüm[n]Dunkles Löwenkostüm[n]
zts17641e	Kostümpaket 1 für Männer
zts17642e	Dieses Paket ist genau das Richtige für den schicken Mann von heute.[n]Schnapp dir per Zufall eines der aufgelisteten Kostüme und verpasse deinem Charakter einen neuen Look.[n]Alle Kostüme sind unbegrenzt tragbar.[n][Erhältliche Items][n]Hawaii-Kostüm für Männer[n]Schicker Männeranzug[n]Blauer Marineanzug[n]Dämonenkostüm[n]Entdeckeroutfit[n]Heavy Metal-Outfit[n]Feueroutfit[n]Försteroutfit[n]Militäroutfit[n]Jeansoutfit[n]Fashion-Sportoutfit[n]Flammen-Sportoutfit[n]Sunny-Sportoutfit[n]Hiphop-Outfit[n]Frühlingshanbok[n]Regenbogenhanbok[n]
zts17643e	Kostümpaket 2 für Männer
zts17644e	Dieses Paket ist genau das Richtige für den schicken Mann von heute.[n]Schnapp dir per Zufall eines der aufgelisteten Kostüme und verpasse deinem Charakter einen neuen Look.[n]Alle Kostüme sind unbegrenzt tragbar.[n][Erhältliche Items][n]Sommerhanbok[n]Kung-Fu-Chipao[n]Kaiserchipao[n]Drachenchipao[n]Mondlichtkimono[n]Sonnenlichtkimono[n]Tatamikimono[n]Bulldoggenkostüm[n]Katzenkostüm "Birmakater"[n]Katzenkostüm "Koratkater"[n]Märzhasenkostüm[n]Weißes Hasenkostüm[n]Bernhardinerkostüm[n]Goldenes Löwenkostüm[n]Schwarzes Löwenkostüm[n]
zts17645e	Kostümhüte für Frauen
zts17646e	Diese Kostümhutsammlung ist genau das Richtige für modebewusste Frauen.[n]Ergattere per Zufall einen der aufgelisteten Hüte und verpasse deinem Charakter einen neuen Kopfschmuck.[n]Alle Hüte sind unbegrenzt tragbar.[n][Erhältliche Items][n]Hawaii-Kopfschmuck für Frauen[n]Starlight-Haarband[n]Blaue Matrosenmütze[n]Feenhaarreif[n]Ayam[n]Kaiserinnenkrone[n]Blütenhaarnadel[n]Dalmatinerhut[n]Rottweilerhut[n]Katzenhut "Siam"[n]Katzenhut "Russisch Blau"[n]Verspielte Häschenohren[n]Heller Löwenhut[n]Dunkler Löwenhut[n]Bezaubernde Häschenohren[n]
zts17647e	Kostümhüte für Männer
zts17648e	Diese Kostümhutsammlung ist genau das Richtige für den schicken Mann von heute.[n]Schnapp dir per Zufall einen der aufgelisteten Hüte und verpasse deinem Charakter einen neues Tuning.[n]Alle Hüte sind unbegrenzt tragbar.[n][Erhältliche Items][n]Hawaii-Kopfschmuck für Männer[n]Schicker Männerhut[n]Blaue Marinemütze[n]Dämonenhut[n]Hogeon[n]Asiatischer Hut[n]Ebosi[n]Bulldoggenhut[n]Bernhardinerhut[n]Katzenhut "Birmakater"[n]Katzenhut "Koratkater"[n]Märzhasenhut[n]Weißer Hasenhut[n]Schwarzer Löwenhut[n]Goldener Löwenhut[n]
zts17649e	Unisex-Hüte für alle
zts17650e	Diese Hutsammlung verschafft deinem Charakter einen ganz neuen Look[n] rund um die Haarpracht.[n]Schnapp dir per Zufall einen der aufgelisteten Hüte, sie sind alle unbegrenzt tragbar.[n][Erhältliche Items][n]Katzenhut[n]Eselhut[n]Cowboyhut[n]Affenhut[n]Antilopenhut[n]Trichterwindenhut[n]Pinguinhut[n]Alter Zylinder[n]Ohrenhaarband[n]Blumentopfhut[n]
zts17651e	Farbtopf für Haare
zts17652e	Dieser Farbtopf enthält eine Auswahl von Haarfarben.[n]Du erhältst per Zufall einen der Haartöne.[n]Verpasse damit deinem Charakter ein neues Aussehen.[n][Erhältliche Items][n]Schwarze Haarfarbe[n]Hellblaue Haarfarbe[n]Weiße Haarfarbe[n]Hellgrüne Haarfarbe[n]Rosarote Haarfarbe[n]
zts17653e	Kunterbunte Buschi-Box
zts17654e	In dieser Box stecken die kunterbunten Buschis![n]Sie enthält die süßen Buschis in verschiedenen Farben.[n]Nach dem Zufallsprinzip erhältst du eines der Pets:[n]1x Schwarzes Buschi[n]1x Blaues Buschi[n]1x Grünes Buschi[n]1x Rotes Buschi[n]1x Pinkfarbenes Buschi[n]1x Türkisfarbenes Buschi[n]1x Gelbes Buschi[n]1x Braunes Buschi[n]
zts17655e	Kunterbunte Buschi-Kostüm-Box
zts17656e	In dieser Box liegen die kunterbunten Buschi-Kostümsets[n]Ein Kostümset beinhaltet das Buschi-Kostüm und den passenden Hut.[n]Nach dem Zufallsprinzip erhältst du eines der Sets, die unbegrenzt tragbar sind.[n][Erhältliche Items][n]1x Schwarzes Buschi-Kostümset[n]1x Blaues Buschi-Kostümset[n]1x Grünes Buschi-Kostümset[n]1x Rotes Buschi-Kostümset[n]1x Pinkfarbenes Buschi-Kostümset[n]1x Türkisfarbenes Buschi-Kostümset[n]1x Gelbes Buschi-Kostümset[n]1x Klassisches Buschi-Kostümset[n]
zts17657e	Goldmedaille
zts17658e	Diese wertvolle Goldmedaille wird verliehen an denjenigen, [n]der in der Teamarena gewonnen hat.[n]Nur die Tapfersten können an die Goldmedaille gelangen.[n]
zts17659e	Silbermedaille
zts17660e	Diese Silbermedaille wird verliehen an denjenigen,[n]der sich der Herausforderung in der Teamarena gestellt, aber leider nicht gewonnen hat.[n]
zts17661e	Teamarena-Snack
zts17662e	Der Teamarena-Snack füllt HP und MP langsam wieder um je 2.000 auf.[n][Achtung][n]Kann nur in der Teamarena gegessen werden.[n][Mengengrenze][n]5 Snacks[n]
zts17663e	Rune des Blitzes
zts17664e	Diese Rune birgt die Macht der Blitze in sich.[n]Sie erhöht die Hitrate um +200,[n]verstärkt die Konzentration um +100[n]und die gesamte Elementarkraft steigt um +10.[n]Die PvP-Angriffskraft wird um 12% angehoben.[n]Benötigtes Level: 30.[n]Anwendungsdauer: 1 Stunde[n]Die Anwendungszeit beginnt mit der ersten Benutzung.
zts17665e	Rune der Welle
zts17666e	Diese Rune birgt die Macht der Wellen in sich.[n]Sie steigert die Bewegungsgeschwindigkeit um 1 und erhöht die maximalen HP und MP um je 1.500.[n]Die PvP-Verteidigungskraft wird um 12% angehoben.[n]Benötigtes Level: 30.[n]Anwendungszeit: 1 Stunde[n]Die Anwendungszeit beginnt mit der ersten Benutzung.[n][n]
zts17667e	Rune der Wolke
zts17668e	Diese Rune birgt die Macht der Wolken in sich.[n]Sie steigert die Bewegungsgeschwindigkeit um 1 und erhöht die maximalen HP und MP um je 3.000.[n]Die gesamte Elementarkraft wird um 15 angehoben.[n]Benötigtes Level: 30.[n]Anwendungszeit: 1 Stunde[n]Die Anwendungszeit beginnt mit der ersten Benutzung.[n][n]
zts17669e	Rune des Windes
zts17670e	Diese Rune birgt die Macht der Winde in sich.[n]Sie steigert die Bewegungsgeschwindigkeit um 2 und der Erfahrungspunktegewinn ist um 15% erhöht.[n]Zusätzlich ist der Goldgewinn um 15% erhöht.[n]Benötigtes Level: 30.[n]Anwendungszeit: 1 Stunde[n]Die Anwendungszeit beginnt mit der ersten Benutzung.[n][n]
zts17671e	Rune des Feuers
zts17672e	Diese Rune birgt die Macht der Feuer in sich.[n]Sie steigert die gesamte Angriffskraft um 80 und erhöht die Angriffs- und Verteidigungskraft im PvP um je 8%.[n]Benötigtes Level: 30.[n]Anwendungszeit: 1 Stunde[n]Die Anwendungszeit beginnt mit der ersten Benutzung.[n][n]
zts17673e	Arena der Talente-Ticket
zts17674e	Das ist das Ticket für die Arena der Talente.[n]Stelle dich der Herausforderung und werde der Held von NosTale![n][Achtung][n]Das Ticket kann nur 7 Tage aufbewahrt werden.[n]Nach diesem Zeitraum verschwindet es automatisch aus deinem Inventar.[n]
zts17675e	Arena der Meister-Ticket
zts17677e	Erholungstrank (TA)
zts17678e	Der Erholungstrank für die Teamarena[n]füllt sofort HP und MP um je +5000 auf.[n][Achtung][n]Der Trank kann nur in der Teamarena verwendet werden.[n][Mengengrenze][n]3 Tränke[n]
zts17679e	Angriffstrank (TA)
zts17680e	Der Angriffstrank erhöht für eine Minute die Angriffskraft um 15%.[n][Achtung][n]Der Trank kann nur in der Teamarena verwendet werden.[n][Mengengrenze][n]10 Tränke[n]
zts17681e	Verteidigungstrank (TA)
zts17682e	Der Verteidigungstrank erhöht für eine Minute die Verteidigungskraft um 15%.[n][Achtung][n]Der Trank kann nur in der Teamarena verwendet werden.[n][Mengengrenze][n]10 Tränke[n]
zts17683e	Energietrank (TA)
zts17684e	Der Energietrank erhöht für eine Minute die HP und MP um je 15%.[n][Achtung][n]Der Trank kann nur in der Teamarena verwendet werden.[n][Mengengrenze][n]10 Tränke[n]
zts17685e	Tempotrank (TA)
zts17686e	Der Tempotrank erhöht für eine Minute die Bewegungsgeschwindigkeit um 2.[n][Achtung][n]Der Trank kann nur in der Teamarena verwendet werden.[n][Mengengrenze][n]10 Tränke[n]
zts17687e	Entlarvungstrank (TA)
zts17689e	Goldene Arenatruhe
zts17690e	Aus der goldenen Arenatruhe erhältst du einen dieser wertvollen Gegenstände:[n][Erhältliche Items][n]1xKleiner Rubin der Vollendung[n]1x Kleiner Saphir der Vollendung[n]1x Kleiner Obsidian der Vollendung[n]1x Kleiner Topas der Vollendung[n]1x Rubin der Vollendung[n]1x Saphir der Vollendung[n]50x Riesiger Erholungstrank[n]2x Glänzende blaue Seele[n]1x Drachenherz[n]1x Rune des Blitzes[n]1x Rune der Welle[n]1x Rune der Wolke[n]1x Rune des Windes[n]1x Rune des Feuers[n]
zts17697e	Das ist das Ticket für die Arena der Meister.[n]Nur ganz besonders tapfere Helden genießen dieses Privileg![n]Ist deine Anzahl der Eintritte zu niedrig,[n]benutze das Ticket und erhalte 1 Eintritt zusätzlich.[n][Achtung][n]Die Anzahl der Eintritte wird jeden Monat zurückgesetzt.[n]
zts17706e	Der Entlarvungstrank macht Spieler, die sich verstecken wollen, für 10 Sekunden sichtbar.[n][Zusatzeffekt][n]Die Trefferquote aller Angriffe ist leicht erhöht.[n]Bei Magieangriffen ist die Konzentration leicht erhöht.[n][Achtung][n]Der Trank kann nur in der Teamarena verwendet werden.[n][Mengengrenze][n]4 Tränke[n]
zts17709e	Zaubergewand-Set des Lichtes
zts17710e	Dieses zauberhafte Set lässt dich in neuem Glanz erstrahlen.[n]Es besteht aus:[n]1x Zaubergewand des Lichtes (unbegrenzt)[n]1x Zauberhut des Lichtes (unbegrenzt)[n]
zts17711e	Zauberroben-Set des Schattens
zts17712e	Dieses zauberhafte Set verleiht dir eine dunkle Note.[n]Es besteht aus:[n]1x Zauberrobe des Schattens (unbegrenzt)[n]1x Zauberhut des Schattens (unbegrenzt)[n]
zts17715e	Leckere Wassermelone
zts17716e	Die leckere Wassermelone regeneriert HP und MP.[n]Das gilt auch für dein NosMate, wenn es sich im Umkreis von 3 Feldern befindet.[n][Achtung][n]Dieses Item verschwindet zum Eventende.[n][n]
zts17717e	Navy-Mütze (1 Tag)
zts17718e	Das ist eine stilvolle Navy-Mütze.[n]Die Anwendungszeit beginnt, sobald du sie aufgesetzt hast.[n][Effekt][n]Erhöht die Wasserresistenz um 2.[n][Verteidigungseffekt][n]Erzeugt mit 2% Wahrscheinlichkeit [Starker Frost] beim Gegner.[n]
zts17719e	Navy-Mütze (7 Tage)
zts17720e	Navy-Mütze (30 Tage)
zts17721e	Navy-Mütze (unbegrenzt)
zts17722e	Das ist eine stilvolle Navy-Mütze.[n][Effekt][n]Erhöht die Wasserresistenz um 2.[n][Verteidigungseffekt][n]Erzeugt mit 2% Wahrscheinlichkeit [Starker Frost] beim Gegner.[n]
zts17723e	Navy-Kostüm (1 Tag)
zts17724e	Das ist ein elegantes Navy-Kostüm.[n]Die Anwendungszeit beginnt, sobald du es angelegt hast.[n][Effekt][n]Erhöht die Wasserresistenz um 2.[n][Verteidigungseffekt][n]Verringert den Schaden durch sämtliche Angriffe mit einer Wahrscheinlichkeit von 5% um 80%.[n]
zts17725e	Navy-Kostüm (7 Tage)
zts17726e	Navy-Kostüm (30 Tage)
zts17727e	Navy-Kostüm (unbegrenzt)
zts17728e	Das ist ein elegantes Navy-Kostüm.[n][Effekt][n]Erhöht die Wasserresistenz um 2.[n][Verteidigungseffekt][n]Verringert den Schaden durch sämtliche Angriffe mit einer Wahrscheinlichkeit von 5% um 80%.[n]
zts17729e	Aqua Buschi-Hut (7 Tage)
zts17730e	Aqua Buschi-Hut (30 Tage)
zts17731e	Aqua Buschi-Kostüm (7 Tage)
zts17732e	Aqua Buschi-Kostüm (30 Tage)
zts17733e	Aqua Buschi-Kostüm (unbegrenzt)
zts17734e	Navy Buschi
zts17735e	Windsurfer
zts17736e	Mit diesem Board wirst du zum Windsurfer.[n]Deine Bewegungsgeschwindigkeit erhöht sich.[n]Wenn du das Item erneut benutzt, legst du das Board ab.[n]Es gibt kein Levellimit.[n][Eigenschaften][n]Bewegungsgeschwindigkeit: 22[n]Bewegungsgeschwindigkeit in der Wüste und in der Region des brennenden Schwertes +2[n][Mit Speedbooster][n]Entfernt alle schlechten Effekte unter Level 4.[n]Bewegungsgeschwindigkeit +3[n]Dauer +5[n]
zts17737e	Truhe mit Windsurfer
zts17738e	Diese Truhe enthält das Board, das dich zum Windsurfer macht.[n][Achtung][n]Nachdem du das Windsurfer-Board aus der Truhe geholt hast, ist es nicht mehr handelbar.[n]
zts17739e	Piraten SP-Upgraderolle
zts17740e	Sobald du die Rolle benutzt, erscheint ein Upgradefenster, in dem du die Piraten-Spezialistenkarte verbessern kannst.[n]Wenn du das Upgrade vornimmst, werden keine anderen Items zur Verbesserung benötigt.[n]Es wird nur eine Upgraderolle verbraucht.[n][Achtung][n]Dieses Item verschwindet zum Eventende.[n][n]
zts17741e	Aus der goldenen Arenatruhe erhältst du eines der folgenden Dinge:[n][Items][n]1xKleiner Rubin der Vollendung[n]1x Kleiner Saphir der Vollendung[n]1x Kleiner Obsidian der Vollendung[n]1x Kleiner Topas der Vollendung[n]1x Rubin der Vollendung[n]1x Saphir der Vollendung[n]50x Riesiger Erholungstrank[n]2x Glänzende blaue Seele[n]1x Drachenherz[n]1x Rune des Blitzes[n]1x Rune der Welle[n]1x Rune der Wolke[n]1x Rune des Windes[n]1x Rune des Feuers[n]
zts17742e	Der Segen von Erenia entfernt alle schlechten Effekte.[n]Und du bist für 4 Sekunden widerstandsfähig gegen schlechte Effekte[n]mit einer Wahrscheinlichkeit von 50%.[n][Achtung][n]Kann nur in der Teamarena verwendet werden.[n][Mengengrenze][n]1[n]
zts17743e	Mit dem Segen von Zenas kannst du dich zwar kurze Zeit nicht bewegen oder angreifen,[n]blockst aber für 3 Sekunden jeglichen Schaden mit einer Wahrscheinlichkeit von 100% ab.[n][Achtung][n]Kann nur in der Teamarena verwendet werden.[n][Mengengrenze][n]1[n]
zts17744e	Astralenergie
zts17745e	Beim Einsatz der Astralenergie werden deine MP für 10 Sekunden um 5.000 aufgefüllt.[n][Achtung][n]Kann nur in der Teamarena verwendet werden.[n][Mengengrenze][n]1[n]
zts17746e	Tarnkappe
