zts1e	Descansar
zts1297e	Aumenta la fuerza de ataque de la energía de la espada.
zts1298e	Aumenta la fuerza de ataque tuya y de tu grupo por un cierto tiempo, a cambio tus HP se disminuyen.
zts1299e	Aumenta tu fuerza de defensa.
zts1300e	Aumenta el índice de acierto y la probabilidad de impacto crítico para ti y tu grupo.
zts1301e	Aumenta la fuerza de ataque de la bala mágica.
zts1302e	Aumenta la fuerza de ataque y el elemento de fuego de la bala explosiva.
zts1303e	Equipamiento del elemento de fuego Lv. 3
zts1304e	Intensifica el efecto del pacto de sangre.
zts1305e	Equipamiento del elemento de la tinieblas Lv. 3
zts1306e	Aumenta la fuerza de ataque Lv. 5
zts1307e	Maximiza el efecto del ojo de halcón.
zts1308e	Crea un taladro de hielo más frió de lo normal, aumenta el poder de ataque mágico.
zts1309e	Añade a la justicia del cielo el elemento de fuego.
zts1310e	Crea lava más caliente de lo normal, aumenta la fuerza de ataque mágico.
zts1311e	Fila de ataque de los ermitaños de las tinieblas
zts1312e	Esta flecha brillante dotada de un hechizo, sirve para hacer daño al oponente y para dejarlo que sufra un aturdimiento.
zts1313e	Los efectos de animación de la flecha brillante se vuelven más brillantes y su poder se maximiza.
zts1314e	Maximiza la fuerza de ataque a larga distancia de la bala mágica.
zts1315e	Emite el aura de la muerte para desalentar a tus enemigos y para reducir su velocidad de movimiento.
zts1316e	Invoca el aura de la muerte para desmotivar a tus enemigos y reducir su índice de acierto.
zts1317e	Aumenta la fuerza mágica del perno de fuego.
zts1318e	Aumenta la fuerza de ataque mágico del perno de hielo.
zts1319e	Con esto atacaras con tu espada como un torbellino.
zts1320e	Esta técnica reúne toda tu energía para destruir tu entorno con tan sólo un corte pequeño.
zts1321e	Aumenta el índice de acierto y la probabilidad de impacto crítico para ti y tu grupo durante cierto tiempo.
zts1322e	Aumenta la velocidad de movimiento tuya y de tu grupo.
zts1323e	Aumenta el daño por un cierto tiempo si aportas un acierto crítico.
zts1324e	Aumenta tu poder defensa y al mismo tiempo disminuye el daño obtenido en un 30%, a cambio tus Mana serán gastados.
zts1325e	Aumenta el elemento de fuego y las resistencias de fuego tuyos y de tu grupo.
zts1326e	Disminuye la probabilidad de que obtengas un acierto crítico.
zts1327e	Moviendo el aura, esta tendrá influencia en los alrededores.
zts1328e	Fila de ataque de los cazadores Mokan
zts1329e	Conjuro de Lace
zts1330e	Explosión Lv. 2
zts1331e	Hielo Lv2
zts1332e	Aumenta el efecto de la conservación de la naturaleza.
zts1333e	Equipamiento del elemento de agua Lv. 3
zts1334e	Hmms
zts1335e	monster skill
zts1336e	Lista del Raid
zts1337e	monster skill
zts1338e	monster skill
zts1339e	monster skill
zts1340e	monster skill
zts1341e	monster skill
zts1342e	monster skill
zts1343e	monster skill
zts1344e	monster skill
zts1345e	monster skill
zts1346e	monster skill
zts1347e	monster skill
zts1348e	monster skill
zts1349e	monster skill
zts1350e	monster skill
zts1351e	monster skill
zts1352e	monster skill
zts1353e	monster skill
zts1354e	monster skill
zts1355e	monster skill
zts1356e	monster skill
zts1357e	monster skill
zts1358e	monster skill
zts1359e	monster skill
zts1360e	monster skill
zts1361e	monster skill
zts1362e	monster skill
zts1363e	monster skill
zts1364e	monster skill
zts1365e	monster skill
zts1366e	monster skill
zts1367e	monster skill
zts1368e	monster skill
zts1369e	monster skill
zts1370e	monster skill
zts1371e	monster skill
zts1372e	monster skill
zts1373e	monster skill
zts1374e	monster skill
zts1375e	monster skill
zts1376e	monster skill
zts1377e	monster skill
zts1378e	monster skill
zts1379e	monster skill
zts1380e	monster skill
zts1381e	monster skill
zts1382e	monster skill
zts1383e	monster skill
zts1384e	monster skill
zts1385e	monster skill
zts1386e	monster skill
zts1387e	monster skill
zts1388e	monster skill
zts1389e	monster skill
zts1390e	monster skill
zts1391e	monster skill
zts1392e	monster skill
zts1393e	monster skill
zts1394e	monster skill
zts1395e	monster skill
zts1396e	monster skill
zts1397e	monster skill
zts1398e	monster skill
zts1399e	monster skill
zts1400e	monster skill
zts1401e	monster skill
zts1402e	monster skill
zts1403e	monster skill
zts1404e	monster skill
zts1405e	monster skill
zts1406e	monster skill
zts1407e	monster skill
zts1408e	monster skill
zts1409e	monster skill
zts1410e	monster skill
zts1411e	monster skill
zts1412e	monster skill
zts1413e	monster skill
zts1414e	monster skill
zts1415e	monster skill
zts1416e	monster skill
zts1417e	monster skill
zts1418e	monster skill
zts1419e	monster skill
zts1420e	monster skill
zts1421e	monster skill
zts1422e	monster skill
zts1423e	monster skill
zts1424e	monster skill
zts1425e	monster skill
zts1426e	monster skill
zts1427e	monster skill
zts1428e	monster skill
zts1429e	monster skill
zts1430e	monster skill
zts1431e	monster skill
zts1432e	monster skill
zts1433e	monster skill
zts1434e	monster skill
zts1435e	monster skill
zts1436e	monster skill
zts1437e	monster skill
zts1438e	monster skill
zts1439e	monster skill
zts1440e	monster skill
zts1441e	monster skill
zts1442e	monster skill
zts1443e	monster skill
zts1444e	monster skill
zts1445e	monster skill
zts1446e	monster skill
zts1447e	monster skill
zts1448e	monster skill
zts1449e	monster skill
zts1450e	monster skill
zts1451e	monster skill
zts1452e	monster skill
zts1453e	monster skill
zts1454e	monster skill
zts1455e	monster skill
zts1456e	monster skill
zts1457e	monster skill
zts1458e	monster skill
zts1459e	monster skill
zts1460e	monster skill
zts1461e	monster skill
zts1462e	monster skill
zts1463e	monster skill
zts1464e	monster skill
zts1465e	monster skill
zts1466e	monster skill
zts1467e	monster skill
zts1468e	monster skill
zts1469e	monster skill
zts1470e	monster skill
zts1471e	monster skill
zts1472e	monster skill
zts1473e	monster skill
zts1474e	monster skill
zts1475e	monster skill
zts1476e	monster skill
zts1477e	monster skill
zts1478e	monster skill
zts1479e	monster skill
zts1480e	monster skill
zts1481e	monster skill
zts1482e	monster skill
zts1483e	monster skill
zts1484e	monster skill
zts1485e	monster skill
zts1486e	monster skill
zts1487e	monster skill
zts1488e	monster skill
zts1489e	monster skill
zts1490e	monster skill
zts1491e	monster skill
zts1492e	monster skill
zts1493e	monster skill
zts1494e	monster skill
zts1495e	monster skill
zts1496e	monster skill
zts1497e	monster skill
zts1498e	monster skill
zts1499e	monster skill
zts1500e	monster skill
zts1501e	monster skill
zts1502e	monster skill
zts1503e	monster skill
zts1504e	monster skill
zts1505e	monster skill
zts1506e	monster skill
zts1507e	monster skill
zts1508e	monster skill
zts1509e	monster skill
zts1510e	monster skill
zts1511e	monster skill
zts1512e	monster skill
zts1513e	monster skill
zts1514e	monster skill
zts1515e	monster skill
zts1516e	monster skill
zts1517e	monster skill
zts1518e	monster skill
zts1519e	monster skill
zts1520e	monster skill
zts1521e	monster skill
zts1522e	monster skill
zts1523e	monster skill
zts1524e	monster skill
zts1525e	monster skill
zts1526e	monster skill
zts1527e	monster skill
zts1528e	monster skill
zts1529e	monster skill
zts1530e	monster skill
zts1531e	monster skill
zts1532e	monster skill
zts1533e	monster skill
zts1534e	monster skill
zts1535e	monster skill
zts1536e	monster skill
zts1537e	monster skill
zts1538e	monster skill
zts1539e	monster skill
zts1540e	monster skill
zts1541e	monster skill
zts1542e	monster skill
zts1543e	monster skill
zts1544e	monster skill
zts1545e	monster skill
zts1546e	monster skill
zts1547e	monster skill
zts1548e	monster skill
zts1549e	monster skill
zts1550e	monster skill
zts1551e	monster skill
zts1552e	monster skill
zts1553e	monster skill
zts1554e	monster skill
zts1555e	monster skill
zts1556e	monster skill
zts1557e	monster skill
zts1558e	monster skill
zts1559e	monster skill
zts1560e	monster skill
zts1561e	monster skill
zts1562e	monster skill
zts1563e	monster skill
zts1564e	monster skill
zts1565e	monster skill
zts1566e	monster skill
zts1567e	monster skill
zts1568e	monster skill
zts1569e	monster skill
zts1570e	monster skill
zts1571e	monster skill
zts1572e	monster skill
zts1573e	monster skill
zts1574e	Nivel de mejora 2
zts1575e	Especialización PvP Nivel 2
zts1576e	Tu alcance y tu daño critico han sido aumentados para los ataques aéreos.
zts1577e	Expansión del alcance
zts1578e	Aumento Poder de Ataque Nivel 3
zts1579e	El alcance del Juez celestial aumenta.
zts1580e	monster skill
zts1581e	monster skill
zts1582e	monster skill
zts1583e	monster skill
zts1584e	monster skill
zts1585e	monster skill
zts1586e	monster skill
zts1587e	monster skill
zts1588e	Bomba Calabaza
zts1589e	Jack O´Lantern (Salto)
zts1590e	Jack O´Lantern (Medio salto)
zts1591e	Jack O´Lantern (Conjuro)
zts1592e	Jack O´Lantern (Conjuro 2)
zts1610e	Reúne una densa niebla que reduce el índice de acierto y la atención del enemigo.
zts1611e	Utiliza Esconder mientras avanzas. Si un ataque te impacta te volverás de nuevo visible.
zts1615e	La Luz Sagrada reduce las habilidades de todos los adversarios.
zts1620e	El daño recibido se reduce en un 30 %, pero a cambio se consume tu maná.
zts1622e	NosBazar
zts1623e	Salto del Rey Gallo Furioso
zts1624e	Salto grande del Rey Gallo Furioso
zts1635e	Disparar un mosquete
zts1636e	Ataque de tormenta
zts1637e	esconder en barril de ron
zts1638e	Buscar protección escondiéndose en barril de ron
zts1639e	Fuego de cañón
zts1640e	El barco dispara al enemigo para ayudarte.
zts1641e	Baile pirata
zts1643e	¡Bebe ron, bebe!
zts1645e	Bendición de Kertos
zts1646e	Fuente de Lava
zts1647e	Tormenta de la Ira
zts1649e	Ataque de Tormenta
zts1650e	Furia
zts1651e	Poner huevo
zts1652e	Tejer telaraña
zts1653e	Erupción de Lava
zts1654e	Erupción de Lava fuerte
zts1655e	Invocar (Fénix)
zts1656e	Invocar (Huevo)
zts1657e	Expulsión
zts1658e	Teletransportarse hacia adelante
zts1659e	Erupción de Lava gigante (Jefe)
zts1660e	Escudo del calor resplandeciente
zts1673e	Ataque básico
zts1674e	Los ataques llegan de todas direcciones.
zts1675e	Golpe doble
zts1676e	Defiéndete con el escudo y ataca con la espada.
zts1677e	Relámpago
zts1678e	Puñalada repentina
zts1679e	Ataque de escudo
zts1680e	Cuando ataques al enemigo con el escudo habrá un 90% de probabilidad de que reciba el debuff "Derribo".
zts1681e	Cuerno de caza
zts1682e	Asalto al campamento enemigo con un fuerte ataque.
zts1683e	Burla
zts1684e	Si te burlas de un oponente derribado, este entrará en un estado de agitación pronunciada, con lo que recibe un efecto negativo.
zts1685e	Reflexión mágica
zts1686e	Refleja todos los ataques y desvía la fuerza al escudo. Con una defensa efectiva gracias al escudo el atacante recibirá el daño completo en un único golpe.
zts1687e	Rodillo de hierro
zts1688e	Lanza a los oponentes a los lados con el escudo giratorio. Hay una cierta probabilidad de que el objetivo reciba de derribo.
zts1689e	Gangrena
zts1690e	Prepararse para la batalla con gritos de guerra y sed de sangre.
zts1691e	Declaración de guerra
zts1692e	Los ataques finales al oponente irán acompañados de truenos.
zts1693e	Ejecución
zts1694e	Ataque efectivo contra los enemigos que se encuentren en la línea de objetivo. Si el enemigo es ejecutado con éxito, se dará el efecto "Júbilo de la multitud".
zts1695e	Disparo de cañón
zts1696e	La artillería básica ataca con disparos de larga distancia. Si la explosión se ve potenciada, el poder de ataque aumenta ligeramente.
zts1697e	Disparos retardados
zts1698e	Dispara balas de cañón con efecto retardado a ángulos altos, bajos y medios hacia el objetivo. Todas las balas alcanzan el objetivo al mismo tiempo.
zts1699e	Desviamiento de cañón
zts1700e	El cañón se posiciona hacia el enemigo.
zts1701e	Disparo de cañón
zts1702e	Violento ataque de cañón al enemigo
zts1703e	Disparo con objetivo
zts1704e	Puede dispararse desde la distancia. Si la explosión se potencia, la fuerza de ataque aumenta rápidamente.
zts1705e	Granada de mano
zts1706e	Ataca a todos los enemigos que se encuentren en el campo de acción mediante el lanzamiento de granadas de mano.
zts1707e	Fuego infernal
zts1708e	Se lanza un cohete portador y explota sobre la cabeza del enemigo. El radio de acción se convierte en un mar de llamas. Si se potencia una explosión, la fuerza de ataque aumenta rápidamente.
zts1709e	Cohete de señal
zts1710e	El Cohete de señal explota sobre el enemigo y deja caer bombas de fuego, de manera que el radio de acción se convierte en un mar de llamas. Si se potencia una explosión, la fuerza de ataque aumenta rápidamente.
zts1711e	Montar en cohete
zts1712e	El cohete vuela sobre el suelo y causa daño a todos los enemigos que se encuentren cerca. Además te transporta a tu punto de inicio. Si se potencia una explosión, la fuerza de ataque aumenta rápidamente.
zts1713e	Maestro de las armas
zts1714e	Maximiza el rendimiento del arma.
zts1715e	Cañón supremo
zts1716e	Sume al oponente en un estado de terror debido a los disparos indiscriminados al aire. Si se potencia una explosión, la fuerza de ataque aumenta rápidamente.
zts1717e	Bola de magma
zts1718e	Dispara una bola de magma ardiendo.
zts1719e	Erupción volcánica
zts1720e	El rugido del volcán quiebra la superficie de la tierra. Si el mago también se ve influido por el poder del volcán esto resulta muy efectivo.
zts1721e	Gas volcánico
zts1722e	El oponente sufre daños a causa de una nube de gas volcánico venenoso. Si el mago se ve influido por el poder del volcán, esto resulta muy efectivo.
zts1723e	Tanque de magma
zts1724e	El Tanque de magma cubre tu armadura y ofrece un gran poder de defensa.
zts1725e	Ola de lava
zts1726e	La ola de lava alcanza a tu oponente y lo solidifica rápidamente.
zts1727e	Poder del volcán
zts1728e	El Poder del volcán puede derribar al enemigo con una probabilidad que va en aumento rápidamente.
zts1729e	Terremoto
zts1730e	El Rugido del volcán ocasiona un terremoto a tu alrededor. Si el mago se ve influido por el poder del volcán, esto resulta muy efectivo.
zts1731e	Rugido del volcán
zts1732e	El Rugido del volcán te teletransporta por encima de la cabeza de tu enemigo para que puedas realizar un ataque con objetivo. Si el mago se ve influido por el poder del volcán, esto resulta muy efectivo.
zts1733e	Pantano de lava
zts1734e	Se origina un Pantano de lava que reduce el poder de ataque del adversario, así como su velocidad de movimiento.
zts1735e	Espada de magma
zts1736e	Invoca una espada de lava que ataca al enemigo.
zts1737e	Tormenta de cenizas
zts1738e	La Tormenta de cenizas es un ataque especialmente potente cuando hay mucho viento y relámpagos. Si el mago además se encuentra bajo la influencia del volcán, es muy efectivo.
zts1739e	Aliento de dragón
zts1748e	Ataque al campamento enemigo con un potente impacto sobre todos los enemigos que se encuentren en el campo de acción.
zts1749e	Ataque de bombardeo básico a larga distancia.
zts1750e	Ataque despiadado con hacha
zts1751e	Disparo certero vikingo
zts1752e	Vikingo de acero
zts1753e	Flecha sucia
zts1754e	Inmortalidad
zts1755e	Niño malo
zts1756e	Frustración de Freya
zts1757e	Aviso de Freya
zts1758e	Fuego de Freya
zts1762e	Ataque básico de lanza
zts1763e	El ataque básico con la lanza da fuertes golpes al enemigo en ambos lados.
zts1764e	Mar partido
zts1765e	Esta habilidad parte el mer y al enemigo en dos.
zts1766e	Punzada directa
zts1767e	En la lanza se reúne la fuerza acumulada que se dirige directamente al enemigo.
zts1768e	Remolino violento
zts1769e	Este remolino arrasa con el enemigo de un plumazo.
zts1770e	Siete punzadas
zts1771e	El enemigo recibe siete ataques consecutivos.
zts1772e	Ciclón
zts1773e	El Ciclón derriba a tu oponente.
zts1774e	Sacrificio
zts1775e	El círculo mágico del Sacrificio incluye a un jugador escogido. Recibes el daño en su lugar. Si el otro abandona el círculo, el efecto desaparece.
zts1776e	Meditación
zts1777e	Te dedicas en cuerpo y alma a la meditación y te sientas. El efecto negativo desaparece. Si meditas más tiempo, tu espíritu crea fuerza nueva, pero si algo te interrumpe, puede que sufras el Síndrome de Kundalini, que limita enormemente tus energías corporal y mental.
zts1778e	Lanza en espiral
zts1779e	Con la lanza en espiral también puedes alcanzar objetivos más alejados.
zts1780e	Palabras de Buda
zts1781e	Las palabras de Buda se invocan mediante un talismán. Si tú y los miembros de tu grupo oís las palabras por primera vez, desaparecen todos los efectos negativos durante 5 segundos con una probabilidad del 25%. En caso de uso prolongado se consume MP.
zts1782e	Borrón y cuenta nueva
zts1783e	El Borrón y cuenta nueva pone fin al caos del mundo.
zts1784e	Arpón de dragón
zts1785e	Esta habilidad es especialmente útil en combinación con "Siete punzadas".
zts1786e	Lanza de dragón
zts1787e	La lanza de dragón manda al adversario al cielo.
zts1788e	Tridente del trueno
zts1789e	El Tridente del trueno es un ataque básico con el que lanzas un rayo en forma de tridente.
zts1790e	Megatormenta
zts1791e	Tres torbellinos provenientes de tres puntos distintos se unen para formar un tifón.
zts1792e	El gran tridente
zts1793e	El Gran tridente provoca un campo magnético.
zts1794e	Bendición del océano
zts1795e	La Bendición del océano concede a los otros jugadores un aura mágica.
zts1796e	Rayo
zts1797e	El Rayo quema al enemigo y le provoca daños adicionales mediante un trueno.
zts1798e	Hora de comer
zts1799e	Libera a tu tiburón: tiene hambre. Nada directamente hacia tu enemigo, también si se encuentra lejos, y le da un buen mordisco.
zts1800e	Remolino gigante
zts1801e	El Remolino gigante puede originarse en un lugar concreto. Los adversarios quedan atrapados y se vuelven así más lentos.
zts1802e	El canto de las sirenas
zts1803e	El Canto de las sirenas reduce a los enemigos, que caen en un profundo sueño.
zts1804e	Tsunami
zts1805e	Los adversarios son arrasados por una ola monstruosa.
zts1806e	Burbuja de agua
zts1807e	Con esta habilidad puedes crear una Burbuja de agua que protege contra los ataques de los enemigos. El efecto desaparece tras recibir una cantidad de daño determinada.
zts1808e	¡Cuidado, una ballena azul!
zts1809e	Una ballena azul cae del cielo sobre el enemigo.
zts1810e	Rayo doble
zts1811e	El Rayo doble provoca quemaduras al enemigo.
zts1812e	El Ataque elemental es un ataque básico de ballesta.
zts1813e	Vuelo en picado de halcón
zts1814e	Das al halcón la orden de atacar: esta habilidad activa con una probabilidad determinada el nivel más alto de la Flecha rotatoria.
zts1815e	Trampa móvil
zts1816e	Colocas una trampa móvil para tus enemigos.
zts1817e	Espiar
zts1818e	El halcón acecha al objetivo que escojas.
zts1819e	Retroceso
zts1820e	Ataca a tu enemigo y retrocede velozmente.
zts1821e	Fuerza vital
zts1822e	Refuerza tu fuerza vital con la energía del bosque.
zts1823e	Flecha de niebla
zts1824e	La Flecha de niebla convierte a tu enemigo en una nube de vapor y reduce su visibilidad.
zts1825e	Sentidos aguzados del halcón
zts1826e	Gracias a los agudos sentidos del halcón, se identifica y ataca al enemigo más débil. Después queda marcado con un símbolo.
zts1827e	Recarga rápida
zts1828e	Esta habilidad te permite recargar una flecha increíblemente rápido. Así tienes muchas probabilidades de activar una habilidad de combinación. Sin embargo, la recarga rápida solamente se puede combinar cinco veces.
zts1829e	Emboscada
zts1830e	Emboscas a tu enemigo.
zts1831e	Francotirador
zts1832e	Ataca a tu enemigo desde una gran distancia y causa daños críticos haciendo de [Francotirador] desde la [Emboscada].
zts1833e	Flecha rotatoria - nivel 1
zts1834e	Disparas una flecha giratoria con la ballesta que atraviesa a todos tus enemigos en una línea recta.
zts1835e	Flecha rotatoria - nivel 2
zts1836e	Disparas una flecha giratoria con la ballesta que atraviesa a todos tus enemigos en una línea recta. Tras esta habilidad recibes un efecto que te prepara bien para la [Emboscada].
zts1837e	Flecha rotatoria - nivel máximo
zts1838e	En su nivel máximo la flecha rotatoria es prácticamente mortal. Tu enemigo tiene muchas probabilidades de recibir un impacto crítico.
zts1840e	Halcón espía
zts1841e	En combinación con la habilidad [Espiar], el halcón persigue a tu enemigo.
zts1842e	Halcón de caza
zts1843e	En combinación con la habilidad [Espiar], el halcón persigue y ataca desde el aire a tu enemigo.
zts1853e	El Canto de las sirenas reduce a los enemigos, que caen en un profundo sueño. En una situación de PvP, la duración del efecto se reduce a la mitad.
zts1854e	Caza de ovejas
zts1855e	Llamar al participante nº. 2
zts1856e	El segundo participante acude a la arena y podéis pelear juntos durante 30 segundos.
zts1857e	Llamar al participante nº. 3
zts1858e	El tercer participante acude a la arena y podéis pelear juntos durante 30 segundos.
zts1859e	Cambiar vista
zts1860e	Cambia tu vista actual al participante que está combatiendo. Si lo utilizas otra vez, vuelves a la vista anterior.
zts1861e	Llamar al participante nº. 1
zts1862e	El primer participante acude a la arena y podéis pelear juntos durante 30 segundos.
zts1866e	Lanzar bellotas
zts1867e	Molestar
zts1868e	Cuchillada
zts1869e	Fulgurita
zts1870e	Lanzapuñales
zts1871e	Danza del fuego
zts1872e	Tormenta eléctrica
zts1873e	Marcha de la oscuridad
zts1874e	Marcado
zts1875e	Fascinación
zts1876e	Poder de la oscuridad
zts1877e	Bola mágica
zts1878e	Dispara una bola mágica oscura.
zts1879e	Caos
zts1880e	Arruina el juicio de los enemigos, que reciben daños durante un periodo de tiempo determinado en la fase del Caos.
zts1881e	Jaula mortal
zts1882e	Atrapa al enemigo en una oscura cárcel. El enemigo experimenta el miedo y no puede llevar a cabo ninguna acción. Sufre daños una vez se ha roto la jaula.
zts1883e	Parpadeo
zts1884e	Te teletransporta hacia delante con rapidez. Se utiliza buff.
zts1885e	Manos malditas
zts1886e	Inflige daños, mientras las manos malditas estén sobre el enemigo.
zts1887e	Espejismo
zts1888e	Convierte el efecto sanador del enemigo en un efecto negativo. Incluye las pociones medicinales. Cambia el control del personaje. Sume a los monstruos en un estado de terror y pánico.
zts1889e	Extracción de maná
zts1890e	Causa daños y roba MP con una probabilidad concreta.
zts1891e	Absorción mental
zts1892e	Convierte el próximo daño causado al enemigo en HP. El HP regenerado desaparece tras 10 segundos. Una vez consumido por completo, queda 1 HP, por lo que no es mortal.
zts1893e	Cambio de hoja
zts1894e	Transforma las bolas mágicas en hojas, disparadas de forma ininterrumpida.
zts1895e	Pérdida de tiempo
zts1896e	Aumenta el tiempo de regeneración de las técnicas de los enemigos. Una vez finalizada, tu tiempo de regeneración disminuye.
zts1897e	Súperabracadabra
zts1898e	El gigantesco hechizo de la magia prohibida. Libera todos los súperpoderes mágicos.
zts1907e	Te teletransporta hacia delante con rapidez. Esta técnica se puede utilizar de forma ininterrumpida con una probabilidad concreta.
zts1912e	Tiro del diablo
zts1913e	Golpea al enemigo con el ataque básico del Cazademonios.
zts1914e	Lluvia de balas
zts1915e	Apunta al enemigo y dispara el revólver a gran velocidad.
zts1916e	Hoja de tiro
zts1917e	Posibilita el uso de un ataque de choque tras su disparo.
zts1918e	Escalofrío del espíritu de la venganza
zts1919e	Envía el espíritu de la venganza al cielo. Causa daños a todos los que se encuentren en el radio de acción.
zts1920e	Péndulo del espíritu de la venganza 1
zts1921e	Corre con rapidez hacia delante y ataca. Se puede utilizar 3 veces como máximo.
zts1922e	Asalto del espíritu de la venganza
zts1923e	Cambia la munición por espíritus con sed de venganza y los dispara al enemigo. Causa grandes daños y ataca al objetivo con fuerza.
zts1924e	Espíritu de la furia
zts1925e	Se refuerza al sufrir daños.
zts1926e	Conjuro de los espíritus
zts1927e	Dispara la munición en línea recta, conjura a los espíritus y ataca al enemigo.
zts1928e	Explosión de espíritus
zts1929e	Libera a espíritus extremadamente poderosos. Aturde a los enemigos durante un breve periodo de tiempo.
zts1930e	Posesión
zts1931e	El espíritu del enemigo está poseído. Provoca daños durante un tiempo determinado. Se transfiere al enemigo más cercano una vez superado su efecto.
zts1932e	Cuchilla de almas
zts1933e	Invoca la cuchilla de almas y ataca desde una distancia superior. Entumece al enemigo.
zts1934e	Péndulo del espíritu de la venganza 2
zts1935e	Péndulo del espíritu de la venganza 3
zts1936e	Péndulo de la sombra lunar
zts1937e	La sombra ataca al enemigo mientras atraviesa el camino.
zts1938e	Guadaña de la muerte
zts1939e	Ataca al enemigo con una enorme guadaña.
zts1940e	Cuchilla
zts1941e	Corta al enemigo en rodajas con la afilada cuchilla de la guadaña.
zts1942e	Aspirasangre
zts1943e	Raja a todo aquel que se encuentre en las cercanías y le absorbe una cantidad determinada de HP.
zts1944e	La muerte se acerca
zts1945e	Se acerca al enemigo y le ataca a una corta distancia.
zts1946e	Empuje de almas
zts1947e	Empuja a los enemigos que se encuentran delante y detrás, y les ralentiza.
zts1948e	Coraza suprema
zts1949e	La Coraza suprema aumenta la defensa y la probabilidad de resistir el movimiento forzado. El efecto desaparece tras recibir una cantidad de daño determinada.
zts1950e	Captor de espíritus
zts1951e	Atrapa a los enemigos que se encuentren a poca distancia de tu personaje. Se aplica junto con el efecto [Absorción espiritual] con una probabilidad determinada.
zts1952e	Guadaña mortal
zts1953e	Lanza la guadaña al enemigo y deja la [Marca de la muerte].
zts1954e	Tinieblas mortales
zts1955e	Atrapa a los enemigos a larga distancia con las [Tinieblas mortales] con una probabilidad determinada. Causa daños adicionales en los adversarios con el efecto [Marca de la muerte]. Sume a los monstruos en un estado de pánico y terror.
zts1956e	Convertidor temporal
zts1957e	Reduce el tiempo de regeneración de una técnica en un 20%. Cuando se termina la [Absorción espiritual], disminuye este tiempo en 80%. El espíritu desaparece.
zts1958e	División de espíritus
zts1959e	Salta alto y ataca a los enemigos en la posición actual. Sólo causa daños a un enemigo. Provoca daños adicionales con el efecto [Marca de la muerte]. La [Marca de la muerte] del enemigo y tu efecto [Convertidor temporal] desaparecen.
zts1970e	Atrapa a los enemigos en una jaula de acero. Provoca daños al romperla.
zts1971e	Inflige daños, mientras las manos malditas estén sobre el enemigo.
zts1972e	Convierte al objetivo en huésped y transfiere el espíritu a los enemigos cercanos.
zts1973e	Reduce el tiempo de regeneración de la técnica en un 10%. Si se utiliza la [Absorción espiritual], el tiempo de regeneración disminuye en un 80%. El espíritu desaparece.
zts1979e	Dulzura y sensualidad
zts1980e	¡Nueve colas!
zts1981e	Aullido penetrante
zts1986e	Haiya
zts1987e	Dar vueltas
zts1988e	Poder del tigre
zts1989e	Espadakinesis
zts1990e	Aprovecha la energía obtenida gracias a la kinesis para el ataque con la espada.
zts1991e	Tiro único
zts1992e	Ataca al enemigo con un lanzamiento de espada.
zts1993e	Explosivo
zts1994e	La espada vuela hacia el enemigo y explota.
zts1995e	Rayo de espada
zts1996e	Refleja la luz de la cuchilla, deslumbra al enemigo y tiene un efecto negativo con daños adicionales.
zts1997e	Chincheta de las sombras
zts1998e	Clava al objetivo y su sombra para evitar que se muevan.
zts1999e	Superficie de impacto
zts2000e	La espada permanece en el suelo y ataca al enemigo sin parar.
zts2001e	Rompepiernas
zts2002e	Ralentiza al objetivo lanzando una espada contra su pierna.
zts2003e	Lanzaespadas
zts2004e	Se ataca lanzando varias espadas.
zts2005e	Cuchilla destructora
zts2006e	La cuchilla se lanza a toda velocidad en dirección al objetivo y produce una gran explosión y una gran hemorragia al enemigo.
zts2007e	Temblor de espada
zts2008e	Invoca una espada gigante que se coloca sobre el suelo y ataca.
zts2009e	9 cuchillas
zts2010e	Invoca nueve cuchillas que se lanzan contra el objetivo.
zts2024e	Bailoteo de diablillo
zts2025e	Clon de diablillo
zts2026e	Sombrero de diablillo
zts2027e	Juicio de luz
zts2028e	Marca resplandeciente
zts2029e	En nombre de Dios
zts2030e	Arte de la espada
zts2031e	Ataca al enemigo con toda la energía de la espada.
zts2032e	Corte huidizo
zts2033e	Lanza la espada y causa daños reiteradamente.
zts2034e	Explosión aguzada
zts2035e	El camino de la espada también es el de la explosión.
zts2036e	Espada del juicio
zts2037e	La espada utiliza el poder de la luz y le causa daños al enemigo.
zts2038e	Atadura sombría
zts2039e	Sujeta al enemigo mediante las sombras.
zts2040e	Cuchilla relámpago
zts2041e	Clava la espada en el suelo y causa daño a su alrededor.
zts2042e	Carrera y corte
zts2043e	Causa una herida en la parte inferior del enemigo para retrasarlo.
zts2044e	Caldero mágico
zts2045e	Absorbe el poder de la espada.
zts2046e	Punzada meteorito
zts2047e	Lanza al enemigo la espada y la hace explotar con un golpe de luz.
zts2048e	Espada divina
zts2049e	Invoca una espada gigantesca que taladra el suelo y causa daños.
zts2050e	Pincho fantasmal
zts2051e	Invoca nueve filos que dañan repetidas veces al enemigo.
zts2052e	Llama
zts2053e	Energía del fuego
zts2054e	Hielo
zts2055e	Energía del agua
zts2056e	Halo
zts2057e	Energía de la luz
zts2058e	Oscuridad
zts2059e	Energía de las sombras
zts2060e	Sin elemento
zts2061e	Magia de la luz
zts2062e	Recuerda el encantamiento para atacar al enemigo.
zts2063e	Catalizador lumínico
