zts1e	Новый предмет
zts16993e	Бонус к выносливости
zts16994e	Получение всей фракцией эффекта выносливости, работающего на Глацерноне, на один час (навык доступен для использования в течение месяца, использовать можно раз в день).
zts16995e	Заполнение полоски рейдов Глацернона
zts16996e	Заполнение 20% полоски фракции (навык доступен для использования в течение месяца, использовать можно раз в день).[n]
zts16997e	Бонус к атаке и защите (Уровень 1)
zts16998e	Повышение силы атаки и защиты членов семьи и их НосПомощников на 1%.[n]
zts16999e	Бонус к атаке и защите (Уровень 2)
zts17000e	Повышение силы атаки и защиты членов семьи и их НосПомощников на 2%.[n]
zts17001e	Бонус к атаке и защите (Уровень 3)
zts17002e	Повышение силы атаки и защиты членов семьи и их НосПомощников на 4%.[n]
zts17003e	Бонус к атаке и защите (Уровень 4)
zts17004e	Повышение силы атаки и защиты членов семьи и их НосПомощников на 6%.[n]
zts17005e	Бонус к атаке и защите (Уровень 5)
zts17006e	Повышение силы атаки и защиты членов семьи и их НосПомощников на 8%.[n]
zts17007e	Бонус к атаке и защите (Уровень 6)
zts17008e	Повышение силы атаки и защиты членов семьи и их НосПомощников на 10%.[n]
zts17009e	Бонус к еде и закускам (Уровень 1)
zts17010e	Усиление восстанавливающих эффектов еды и закусок на 5%.[n]
zts17011e	Бонус к еде и закускам (Уровень 2)
zts17012e	Усиление восстанавливающих эффектов еды и закусок на 10%.[n]
zts17013e	Бонус к еде и закускам (Уровень 3)
zts17014e	Усиление восстанавливающих эффектов еды и закусок на 15%.[n]
zts17015e	Скидка на платный транспорт (Уровень 1)
zts17016e	Понижение цен на телепортацию и билеты на корабли на 25%.[n]
zts17017e	Скидка на платный транспорт (Уровень 2)
zts17018e	Понижение цен на телепортацию и билеты на корабли на 50%.[n]
zts17019e	Скидка на платный транспорт (Уровень 3)
zts17020e	Понижение цен на телепортацию и билеты на корабли на 75%.[n]
zts17021e	Бонус к зельям (Уровень 1)
zts17022e	Усиление восстанавливающих эффектов зелий на 5%.[n]
zts17023e	Бонус к зельям (Уровень 2)
zts17024e	Усиление восстанавливающих эффектов зелий на 10%.[n]
zts17025e	Бонус к зельям (Уровень 3)
zts17026e	Усиление восстанавливающих эффектов зелий на 15%.[n]
zts17027e	Семейный склад (Уровень 1)
zts17028e	Получение 21 ячейки на семейном складе.[n]
zts17029e	Семейный склад (Уровень 2)
zts17030e	Получение 49 ячеек на семейном складе.[n]
zts17031e	Расширение семьи (Уровень 1)
zts17032e	Повышение максимального количества членов семьи до 70.[n]
zts17033e	Расширение семьи (Уровень 2)
zts17034e	Повышение максимального количества членов семьи до 100.[n]
zts17035e	Бонус к атаке и защите (Уровень 1) – Доступен
zts17036e	Семейные бонусы можно приобретать у Управляющего семьей.[n]
zts17037e	Бонус к атаке и защите (Уровень 2) – Доступен
zts17038e	Бонус к атаке и защите (Уровень 3) – Доступен
zts17039e	Бонус к атаке и защите (Уровень 4) – Доступен
zts17040e	Бонус к атаке и защите (Уровень 5) – Доступен
zts17041e	Бонус к атаке и защите (Уровень 6) – Доступен
zts17042e	Бонус к еде и закускам (Уровень 1) – Доступен
zts17043e	Бонус к еде и закускам (Уровень 2) – Доступен
zts17044e	Бонус к еде и закускам (Уровень 3) – Доступен
zts17045e	Скидка на платный транспорт (Уровень 1) – Доступен
zts17046e	Скидка на платный транспорт (Уровень 2) – Доступен
zts17047e	Скидка на платный транспорт (Уровень 3) – Доступен
zts17048e	Бонус к зельям (Уровень 1) – Доступен
zts17049e	Бонус к зельям (Уровень 2) – Доступен
zts17050e	Бонус к зельям (Уровень 3) – Доступен
zts17051e	Семейный склад (Уровень 1) – Доступен
zts17052e	Семейный склад (Уровень 2) – Доступен
zts17053e	Расширение семьи (Уровень 1) – Доступен
zts17054e	Расширение семьи (Уровень 2) – Доступен
zts17055e	1000 очков сем. опыта
zts17056e	1500 очков сем. опыта
zts17057e	2000 очков сем. опыта
zts17058e	2500 очков сем. опыта
zts17059e	3000 очков сем. опыта
zts17060e	5000 очков сем. опыта
zts17061e	10 000 очков сем. опыта
zts17062e	25 000 очков сем. опыта
zts17063e	30 000 очков сем. опыта
zts17064e	50 000 очков сем. опыта
zts17065e	100 000 очков сем. опыта
zts17066e	150 000 очков сем. опыта
zts17067e	200 000 очков сем. опыта
zts17068e	300 000 очков сем. опыта
zts17069e	500 000 очков сем. опыта
zts17070e	Бонус к сопротивлению огню (Уровень 1)
zts17071e	Повышение сопротивления элементу огня на 1.[n]
zts17072e	Бонус к сопротивлению огню (Уровень 2)
zts17073e	Повышение сопротивления элементу огня на 2.[n]
zts17074e	Бонус к сопротивлению огню (Уровень 3)
zts17075e	Повышение сопротивления элементу огня на 3.[n]
zts17076e	Бонус к сопротивлению огню (Уровень 4)
zts17077e	Повышение сопротивления элементу огня на 4.[n]
zts17078e	Бонус к сопротивлению огню (Уровень 5)
zts17079e	Повышение сопротивления элементу огня на 5.[n]
zts17080e	Бонус к сопротивлению тьме (Уровень 1)
zts17081e	Повышение сопротивления элементу тьмы на 1.[n]
zts17082e	Бонус к сопротивлению тьме (Уровень 2)
zts17083e	Повышение сопротивления элементу тьмы на 2.[n]
zts17084e	Бонус к сопротивлению тьме (Уровень 3)
zts17085e	Повышение сопротивления элементу тьмы на 3.[n]
zts17086e	Бонус к сопротивлению тьме (Уровень 4)
zts17087e	Повышение сопротивления элементу тьмы на 4.[n]
zts17088e	Бонус к сопротивлению тьме (Уровень 5)
zts17089e	Повышение сопротивления элементу тьмы на 5.[n]
zts17090e	Бонус к сопротивлению воде (Уровень 1)
zts17091e	Повышение сопротивления элементу воды на 1.[n]
zts17092e	Бонус к сопротивлению воде (Уровень 2)
zts17093e	Повышение сопротивления элементу воды на 2.[n]
zts17094e	Бонус к сопротивлению воде (Уровень 3)
zts17095e	Повышение сопротивления элементу воды на 3.[n]
zts17096e	Бонус к сопротивлению воде (Уровень 4)
zts17097e	Повышение сопротивления элементу воды на 4.[n]
zts17098e	Бонус к сопротивлению воде (Уровень 5)
zts17099e	Повышение сопротивления элементу воды на 5.[n]
zts17100e	Бонус к сопротивлению свету (Уровень 1)
zts17101e	Повышение сопротивления элементу света на 1.[n]
zts17102e	Бонус к сопротивлению свету (Уровень 2)
zts17103e	Повышение сопротивления элементу света на 2.[n]
zts17104e	Бонус к сопротивлению свету (Уровень 3)
zts17105e	Повышение сопротивления элементу света на 3.[n]
zts17106e	Бонус к сопротивлению свету (Уровень 4)
zts17107e	Повышение сопротивления элементу света на 4.[n]
zts17108e	Бонус к сопротивлению свету (Уровень 5)
zts17109e	Повышение сопротивления элементу света на 5.[n]
zts17110e	Таинственная краска для волос
zts17111e	Это Таинственная краска для волос.[n]Она меняет твой текущий цвет волос на любой случайный.[n]Ты увидишь, на какой, когда попробуешь. Давай, рискни![n]
zts17116e	Фея огня[n][n]Эта фея повелевает огнем.[n]Чем больше эта фея сопровождает тебя в битвах, тем больше становится сила ее элементальной атаки.[n](против монстров с +/- 15 уровнями)[n]Эта сила добавляется к элементальной силе твоего персонажа.[n]Эта фея может повысить свою элементальную силу до 80%.[n]Опыта за победу над монстрами НосВилля не начисляется.[n]
zts17117e	Фея воды[n][n]Эта фея повелевает водой.[n]Чем больше эта фея сопровождает тебя в битвах, тем больше становится сила ее элементальной атаки.[n](против монстров с +/- 15 уровнями)[n]Эта сила добавляется к элементальной силе твоего персонажа.[n]Эта фея может повысить свою элементальную силу до 80%.[n]Опыта за победу над монстрами НосВилля не начисляется.[n]
zts17118e	Фея света[n][n]Эта фея повелевает светом.[n]Чем больше эта фея сопровождает тебя в битвах, тем больше становится сила ее элементальной атаки.[n](против монстров с +/- 15 уровнями)[n]Эта сила добавляется к элементальной силе твоего персонажа.[n]Эта фея может повысить свою элементальную силу до 80%.[n]Опыта за победу над монстрами НосВилля не начисляется.[n]
zts17119e	Фея тьмы[n][n]Эта фея повелевает тьмой.[n]Чем больше эта фея сопровождает тебя в битвах, тем больше становится сила ее элементальной атаки.[n](против монстров с +/- 15 уровнями)[n]Эта сила добавляется к элементальной силе твоего персонажа.[n]Эта фея может повысить свою элементальную силу до 80%.[n]Опыта за победу над монстрами НосВилля не начисляется.[n]
zts17127e	Немецкий Футболист Пышнохвост
zts17128e	Французский Футболист Пышнохвост
zts17129e	Английский Футболист Пышнохвост
zts17130e	Итальянский Футболист Пышнохвост
zts17131e	Испанский Футболист Пышнохвост
zts17132e	Польский Футболист Пышнохвост
zts17133e	Российский Футболист Пышнохвост
zts17134e	Чешский Футболист Пышнохвост
zts17135e	Турецкий Футболист Пышнохвост
zts17136e	Случайная коробка Чемпионата Европы 2012
zts17137e	Это случайная коробка для футбольных фанатов.[n]В ней находятся футболисты пышнохвосты в 9 разных национальных футбольных майках и другие предметы.[n]Ты получишь один из следующих предметов:[n]1х Жемчужину с немецким футболистом пышнохвостом[n]1х Жемчужину с французским футболистом пышнохвостом[n]1х Жемчужину с английским футболистом пышнохвостом[n]1х Жемчужину с итальянским футболистом пышнохвостом[n]1х Жемчужину с испанским футболистом пышнохвостом[n]1х Жемчужину с польским футболистом пышнохвостом[n]1х Жемчужину с российским футболистом пышнохвостом[n]1х Жемчужину с чешским футболистом пышнохвостом[n]1х Жемчужину с турецким футболистом пышнохвостом[n]1х Корзинка домашнего животного (30 дней)[n]40х Крыльев дружбы[n]1х Средний специальный напиток[n]1х Амулет усиления[n]16х Благословений Ангела-Хранителя[n]1х Игра в карты Таро[n]10х Усилителей феи[n]14х Запечатанных сосудов[n]
zts17138e	Завершить рейд Кур. короля 5 раз (1x в день на игрока).[n]
zts17139e	Завершить рейд Мамы Куби 5 раз (1x в день на игрока).[n]
zts17140e	Завершить рейд Женьшеня 5 раз (1x в день на игрока).[n]
zts17141e	Завершить рейд Темного Кастры 5 раз (1x в день на игрока).[n]
zts17142e	Завершить рейд Черного паука 5 раз.[n]
zts17143e	Завершить рейд Слейда 5 раз (1x в день на игрока).[n]
zts17144e	Завершить рейд Ибрагима 5 раз (1x в день на игрока).[n]
zts17145e	Завершить рейд Кертоса 5 раз (1x в день на игрока).[n]
zts17146e	Завершить рейд Валакуса 5 раз (1x в день на игрока).[n]
zts17147e	Завершить рейд Гренигаса 5 раз (1x в день на игрока).[n]
zts17148e	[Ежедневно] Победа над семейным рейдовым боссом за 10 минут
zts17149e	Сразить семейного рейдового босса в первые 10 минут после открытия комнаты с боссом.[n]
zts17150e	[Ежедневно] Победа над семейным рейдовым боссом без потерь
zts17151e	Сразить семейного рейдового босса на Глацерноне, не позволив никому умереть.[n]
zts17152e	[Ежедневно] 10x Помощник в рейде
zts17153e	Пройти 10 рейдов в качестве помощника в рейдах (каждый рейд будет засчитан только один раз в один день).[n]
zts17154e	[Ежедневно] Победа над 10 врагами на Глацерноне
zts17155e	Победить 10 врагов на Глацерноне.[n]
zts17156e	[Ежедневно] Прохождение рейда Намаджу 5 раз
zts17157e	Завершить рейд Намаджу 5 раз (1x в день на игрока).[n]
zts17170e	Кожа Дракона
zts17171e	Кожа дракона - необходимый материал для улучшения карт Гладиатора, Огненного Канонира и Вулкана.[n]Этот предмет используется для 0-4 уровней улучшения.[n]
zts17172e	Кровь Дракона
zts17173e	Кровь дракона - необходимый материал для улучшения карт Гладиатора, Огненного Канонира и Вулкана.[n]Этот предмет используется для 5-9 уровней улучшения.[n]
zts17174e	Сердце Дракона
zts17175e	Сердце Дракона - необходимый материал для улучшения карт Гладиатора, Огненного Канонира и Вулкана.[n]Этот предмет используется для 10-14 уровней улучшения.[n]
zts17176e	Карта Гладиатора
zts17178e	Карта Огненного канонира
zts17180e	Карта Вулкана
zts17182e	Амулет Героя Огня
zts17184e	Печать Рейда Лорда Драко
zts17186e	Герои Огненного Пространственно-Временного Камня
zts17187e	Карта Опыта
zts17188e	Это карта специалиста повышает количество твоих очков опыта до 100%.[n][Инструкция][n]Когда карта специалиста надета, нажми дважды на нее.[n][Внимание][n]Если количество твоих очков опыта достигло 100%, этот предмет нельзя использовать.[n]
zts17189e	Рог Василиска
zts17190e	Шлем Роберто
zts17191e	Таинственный песок
zts17192e	Очки Ирен
zts17193e	Перчатка Гарольда
zts17194e	Ожерелье Роберто
zts17195e	Браслет Ирен
zts17196e	Кольцо Гарольда
zts17197e	Бесплатный билет на рейд Лорда Драко
zts17198e	Бесплатный билет позволит тебе сбросить дневной лимит на рейд Лорда Драко.[n]Кликни дважды для использования.[n]
zts17199e	Карта специалиста элемента огня[n]Гладиаторы – специалисты в ПвП-битвах.[n]"Узрите мою победу, люди!"[n]30% сопротивление следующему эффекту: Страх перед драконом[n]
zts17200e	Карта специалиста элемента огня[n]Огненные канониры умеют управляться с крупнокалиберными пушками.[n]"Мои снаряды сильнее вашей магии."[n]30% сопротивление следующему эффекту: Страх перед драконом[n]
zts17201e	Карта специалиста элемента огня[n]Вулканы – одни из сильнейших магов, покорившие стихии огня и земли.[n]"Моя магия уничтожит любого на моем пути."[n]30% сопротивление следующему эффекту: Страх перед драконом[n]
zts17210e	Соломенная шляпа (1 день)
zts17211e	Эта милая соломенная шляпка защитит тебя от палящего солнца.[n]Отсчет продолжительности использования начинается, как только ты надеваешь ее.[n][Защитный эффект][n]Эта шляпа увеличивает сопротивление элементу воды на 2.[n]
zts17212e	Соломенная шляпа (7 дней)
zts17213e	Соломенная шляпа (30 дней)
zts17214e	Соломенная шляпа (вечная)
zts17215e	Эта милая соломенная шляпка защитит тебя от палящего солнца.[n][Защитный эффект][n]Эта шляпа увеличивает сопротивление элементу воды на 2.[n]
zts17216e	Мини Кангпен
zts17217e	Когда этот питомец сопровождает тебя, он создает по печати пиратского рейда каждый час.[n][Использование][n]Кликни на нее два раза, когда ты находишься у себя в Маленькой стране.[n][Внимание][Получить печать пиратского рейда ты можешь только во время эвента.[n]
zts17218e	Леона
zts17219e	Запускает Пиратский рейд на пиратском корабле в порту Алвойс.[n]Рекомендуемый уровень: 20-99[n]Мин. кол-во игроков: 10[n]У всех игроков должна быть в инвентаре рейдовая печать, чтобы они могли зарегистрироваться на рейд. Этот предмет тратится, когда начинается рейд.[n][Инструкция][n]Используй этот предмет, чтобы стать лидером команды.[n]После этого нажимай на других персонажей,[n]и затем на кнопку "Команда", чтобы пригласить их поучаствовать.[n]Когда вы будете готовы, отправляйся ко входу в рейд.[n]Когда лидер заходит в локацию рейда,[n]остальные члены команды перемещаются в нее автоматически.[n]Этот предмет исчезнет по окончании события.[n]
zts17220e	Эмблема моряка символизирует его честь.[n]Этот предмет исчезнет по окончанию события.[n]
zts17221e	Карты сокровищ О'Пенга (событийный предмет)
zts17222e	Этот предмет указывает путь к тайнику, где спрятан сундук с сокровищами капитана Пита О'Пенга.[n][Внимание][n]Этот предмет исчезнет по окончании события.[n]
zts17223e	Случайная коробка с Божественными Феями
zts17224e	В этой случайной коробке находятся божественные феи и другие предметы.[n][Доступные предметы:][n]1 Элкаим (огонь)[n]1 Ладин (Вода)[n]1 Румиал (Свет)[n]1 Варик (Тьма)[n]1 Корзинка домашнего животного (30 дней)[n] 40 Крыльев дружбы[n]1 Средний специальный напиток[n]1 Амулет усиления[n]16 Благословений Ангела-Хранителя[n]1 Игру в карты Таро[n]10 Усилителей феи[n]14 Запечатанных сосудов[n]
zts17225e	Сундук с Пегасом
zts17226e	В сундуке с Пегасом находятся следующие предметы:[n][Доступные предметы:][n]1 Жемчужина Пегаса[n]1 рюкзак парнера (30 дней)[n]1 рюкзак искателя приключений (30 дней)[n]1 Корзинка домашнего животного (30 дней)[n]1 Огромный склад (30 дней)[n]99 Средних восстанавливающих напитков[n]10 Крыльев дружбы[n]99 Семян Власти[n]
zts17227e	В амулете смешана сила героев огня.[n]При его использовании сопротивление драконьему страху усилено.[n]Необходимый уровень: 75[n][Эффект][n]Ты получаешь 40% сопротивление следующему эффекту: [Драконий страх][n]
zts17228e	Запускает рейд лорда Драко на тропе к Драконьей пещере рядом с Вратами вулкана.[n]Рекомендуемый уровень: 75-99[n]Все персонажи с уровнем выше 75 могут использовать рейдовую печать.[n][Инструкция][n]Используй этот предмет, чтобы стать лидером команды.[n]После этого нажимай на других персонажей,[n]и затем на кнопку "Команда", чтобы пригласить их поучаствовать.[n]Когда вы будете готовы, отправляйся ко входу. Когда лидер заходит в локацию рейда, остальные члены команды перемещаются в нее автоматически.[n][Внимание][n]Персонажи, чей уровень выше рекомендуемого, могут войти в рейд, но они получат штраф.[n](Они не добавят команде дополнительные сердечки здоровья и не получат рейдовую коробку даже в случае победы)
zts17232e	Роковой сундук с сокровищами Леоны
zts17233e	В роковом сундуке с сокровищами Леоны находится новый партнер Леона и другие предметы.[n]Ты получишь один из следующих предметов:[n] 1 Жемчужину Леоны[n]1 Корзинку домашнего животного (30 дней)[n]40 Крыльев дружбы[n]1 Средний специальный напиток[n]1 Амулет усиления[n]16 Благословений Ангела-Хранителя[n]1 Игру в карты Таро[n]10 Усилителей феи[n]14 Запечатанных сосудов[n]
zts17256e	Фрагмент Пиратской карты. Если ты отнесешь фрагмент карты и 1.000 золотых капитану Джеку Пэнону - ты сможешь выиграть полноценную Карту пирата.[n][Внимание]Предмет исчезнет по окончании события.[n]
zts17259e	Отпускает выбранного партнера на свободу.[n]После использования вернуть партнера будет уже невозможно.[n][n]
zts17261e	Адский щенок Дарко
zts17262e	Случайная коробка Адского Дарко
zts17263e	Адский щенок Дарко и другие предметы спрятаны в этой коробке.[n]Когда ты ее откроешь, ты получишь один из следующих предметов:[n][Доступные предметы:][n]1 Жемчужина с Дарко, Адским щенком[n]1 Корзинка домашнего животного (30 дней)[n]40 Крыльев дружбы[n]1 Средний специальный напиток[n]1 Амулет усиления[n]16 Благословений Ангела-Хранителя[n]1 Игра в карты Таро[n]10 Усилителей феи[n]14 Запечатанных сосудов[n]
zts17280e	Жемчужина феи
zts17281e	В этот предмет можно поместить фею.[n]Он нужен для передачи фей другим игрокам.[n][Инструкция][n]Нажми дважды на этот предмет,[n]чтобы открыть окно хранения.[n]Перемести фею в ячейку открывшегося окна,[n]и нажми "Сохранить", чтобы оставить ее в жемчужине.[n]Нажми дважды на жемчужину, чтобы достать фею.
zts17307e	Книга вызова помощников
zts17308e	Эта книга дает тебе возможность призывать к себе своего НосПомощника в любое место из мини-страны.[n][Инструкция][n]Выбери питомца или партнера и используй этот предмет, чтобы рядом с его изображением появилась кнопка для его призыва.[n][Внимание][n]Ты не можешь призывать НосПомощника, который тебя уже сопровождает.[n]
zts17330e	Ты можешь получить Мешок сладостей во время события, посвященного Хэллоуину.[n][Внимание][n]Этот предмет исчезнет по окончании события.[n]
zts17331e	Ледяной^Фиби
zts17332e	Светящаяся шляпа из тыквы (1 день)
zts17333e	Это Светящаяся шляпа из тыквы.[n]Это последний тренд Хеллоуинского эвента.[n][Защитный эффект][n]С 3% вероятностью появится эффект [Темнота Гибели].[n]Также эта шляпа увеличивает сопротивление элементу тьмы на 3%.[n]
zts17334e	Светящаяся шляпа из тыквы (7 дней)
zts17335e	Светящаяся шляпа из тыквы (30 дней)
zts17336e	Светящаяся шляпа из тыквы (постоянная)
zts17337e	Это Светящаяся шляпа из тыквы.[n]Это последний тренд Хеллоуинского эвента.[n][Защитный эффект][n]С 3% вероятностью появится эффект [Темнота Гибели].[n]Также эта шляпа увеличивает сопротивление элементу тьмы на 3%.[n]
zts17338e	Жуткая карта Таро [Призрак]
zts17339e	С помощью жуткой карты Таро Призрак, ты ловче.[n]Скорость передвижения повышается на 1, а уклонение повышается на 100.[n]Необходимый уровень: 1[n]Срок действия: 3 часа[n][Внимание][n]Этот предмет исчезнет по окончании события.[n]
zts17340e	Жуткая карта Таро [Дракула]
zts17341e	Используя жуткую карту Таро Дракула, ты становишься кровопийцей.[n]С вероятностью 3% накладывается эффект [Дракула-кровопийца].[n]Необходимый уровень: 1[n]Время действия предмета: 3 часа[n][Внимание][n]Этот предмет исчезнет по окончании события.[n]
zts17342e	Жуткая карта Таро [Пугало]
zts17343e	Используя жуткую карту Таро Пугало, ты призываешь темные силы.[n]Твой элемент тьмы повышается на 200.[n]Твое сопротивление элементу света повышается на 5%.[n]Необходимый уровень: 1[n]Время действия предмета: 3 часа[n][Внимание][n]Этот предмет исчезнет по окончании события.[n]
zts17344e	Случайная коробка Ледяного Фиби
zts17345e	В случайной коробке Ледяного Фиби находится жемчужина с Ледяным Фиби и другие предметы.[n]Ты получишь один из следующих предметов:[n]1 жемчужина с Ледяным Фиби[n]1 Корзинка домашнего животного (30 дней)[n]40 Крыльев дружбы[n]1 Средний специальный напиток[n]1 Амулет усиления[n]16 Благословений Ангела-Хранителя[n]1 Игра в карты Таро[n]10 Усилителей феи[n]14 Запечатанных сосудов[n]
zts17356e	Случайная коробка с Магическим мотороллером
zts17357e	В коробке находятся Магический мотороллер и другие предметы.[n]Ты получишь один из следующих предметов:[n]1 Сундук с Магическим мотороллером[n]1 Корзинка домашнего животного (30 дней)[n]40 Крыльев дружбы[n]1 Средний специальный напиток[n]1 Амулет усиления[n]16 Благословений Ангела-Хранителя[n]1 Игра в карты Таро[n]10 Усилителей феи[n]14 Запечатанных сосудов[n]
zts17358e	Случайная коробка с Магическим ковром
zts17359e	В коробке находятся Магический ковер и другие предметы.[n]Ты получишь один из следующих предметов:[n]1 Сундук с Магическим ковром[n]1 Корзинка домашнего животного (30 дней)[n]40 Крыльев дружбы[n]1 Средний специальный напиток[n]1 Амулет усиления[n]16 Благословений Ангела-Хранителя[n]1 Игра в карты Таро[n]10 Усилителей феи[n]14 Запечатанных сосудов[n]
zts17365e	Костюм Лисы Ото (30 дней)
zts17366e	Этот стильный костюм сделает тебя похожим на Лису Ото.[n]Отсчет времени начнется сразу после того, как ты наденешь его в первый раз.[n]
zts17367e	Костюм лисы ото (вечный)
zts17368e	Этот стильный костюм сделает тебя похожим на Лису Ото.[n]
zts17369e	Шапка Лисы Ото (30 дней)
zts17370e	Эта стильная шапка сделает тебя похожим на Лису Ото.[n]Отсчет времени начнется сразу после того, как ты наденешь его в первый раз.[n]
zts17371e	Шапка лисы ото (вечная)
zts17372e	Эта стильная шапка сделает тебя похожим на Лису Ото.[n]
zts17373e	Случайная коробка с костюмом Милашки пышнохвоста
zts17374e	В случайной коробке находятся купон на плюшевого пышнохвоста, разноцветные комплекты одежды пышнохвостов (вечные) и другие предметы.[n]Комплект одежды состоит из костюма пышнохвоста (вечного) и подходящей ему шапке (вечной).[n]Ты получишь один из следующих предметов:[n]1x Купон на плюшевого пышнохвоста[n]1x Комплект одежды черного пышнохвоста[n]1x Комплект одежды синего пышнохвоста[n]1x Комплект одежды зеленого пышнохвоста[n]1x Комплект одежды красного пышнохвоста[n]1x Комплект одежды розового пышнохвоста[n]1x Комплект одежды бирюзового пышнохвоста[n]1x Комплект одежды желтого пышнохвоста[n]1x Комплект одежды классического пышнохвоста[n]1x Корзинка питомца (30 дней)[n]40x Крылья дружбы[n]1x Среднее зелье специалиста[n]1x Амулет усиления[n]16x Благословение ангела-хранителя[n]1x Колода карт Таро[n]10x Усилитель феи[n]14x Запечатанный сосуд[n][n]Обрати внимание, что купон останется в твоем инвентаре до 09.01.2013.[n][Внимание][n]Отправка плюшевых пышнохвостов возможна только в страны ЕС.[n]Больше инф
zts17375e	Случайная коробка с Милашкой пышнохвостом
zts17376e	В случайной коробке находятся Талон на милую мягкую игрушку Милашку пышнохвоста, жемчужины с разноцветными пышнохвостами и другие предметы.[n]Тебе выпадет один из следующих предметов:[n]1 Талон на Милашку пышнохвоста[n]1 Жемчужина черного пышнохвоста[n]1 Жемчужина синего пышнохвоста[n]1 Жемчужина зеленого пышнохвоста[n]1 Жемчужина красного пышнохвоста[n]1 Жемчужина ярко-розового пышнохвоста[n]1 Жемчужина бирюзового пышнохвоста[n]1 Жемчужина желтого пышнохвоста[n]1 Жемчужина коричневого пышнохвоста[n]1 Корзинка домашнего животного (30 дней)[n]40 Крыльев дружбы[n]1 Средний специальный напиток[n]1 Амулет усиления[n]16 Благословений Ангела-Хранителя[n]1 Игра в карты Таро[n]10 Усилителей феи[n]20 Ускорителей[n][n]Пожалуйста, проверь, чтобы 9.01.2013 талон был у тебя в инвентаре.[n][Внимание][n]Мягкая игрушка будет поставляться только в страны ЕС.[n]Больше информации ты можешь найти на нашем сайте.[n]
zts17377e	Талон на Милашку Пышнохвоста
zts17378e	С этим талоном ты вскоре сможешь стать гордым обладателем Милашки Пышнохвоста.[n][Внимание]Мягкая игрушка будет поставляться только в страны ЕС.[n]
zts17379e	Комплект одежды Лисы Ото
zts17381e	Случайная коробка с костюмом Лисы Ото
zts17382e	В коробке находятся стильный комплект одежды Лисы Ото и другие предметы.[n]Ты получишь один из следующих предметов:[n]1 Комплект одежды Лисы Ото[n]1 Корзинка домашнего животного (30 дней)[n]40 Крыльев дружбы[n]1 Средний специальный напиток[n]1 Амулет усиления[n]16 Благословений Ангела-Хранителя[n]1 Игра в карты Таро[n]10 Усилителей феи[n]14 Запечатанных сосудов[n]
zts17383e	Случайная коробка комплекта одежды пышнохвоста-аква
zts17384e	В коробке находятся крутой комплект одежды Аква Пышнохвоста и другие предметы.[n]Ты получишь один из следующих предметов:[n]1 Комплект одежды Аква Пышнохвоста[n]1 Корзинка домашнего животного (30 дней)[n]40 Крыльев дружбы[n]1 Средний специальный напиток[n]1 Амулет усиления[n]16 Благословений Ангела-Хранителя[n]1 Игра в карты Таро[n]10 Усилителей феи[n]14 Запечатанных сосудов[n]
zts17387e	Эта крутая шапка сделает тебя похожим на Аква Пышнохвоста.[n][Эффект][n]Шапка увеличивает сопротивление элементу воды на 2%[n]и вызывает [Мороз] у твоего противника с вероятностью 2%.[n]
zts17388e	Этот крутой костюм сделает тебя похожим на Аква Пышнохвоста.[n][Эффект][n]Костюм увеличивает сопротивление воде на 2%.[n]Урон от любых атак уменьшается на 80% с вероятностью 5%.[n]
zts17389e	Этот стильный комплект одежды состоит из:[n]1x Шапка лисы ото (вечная)[n]1x Костюм лисы ото (вечный)[n]
zts17403e	Случайная коробка с Магическим белым тигром
zts17404e	В случайной коробке находятся Магический белый тигр и другие предметы.[n]Когда ты откроешь ее, ты сможешь получить один из следующих предметов:[n]1 Сундук с Магическим белым тигром[n]1 Корзинка домашнего животного (30 дней)[n]40 Крыльев дружбы[n]1 Средний специальный напиток[n]1 Амулет усиления[n]16 Благословений Ангела-Хранителя[n]1 Игра в карты Таро[n]10 Усилителей фей[n]14 Запечатанных сосудов[n]
zts17405e	Случайная коробка с костюмом Санты Пышнохвоста
zts17406e	В этой случайной коробке находятся крутой комплект одежды пышнохвоста Санты и другие предметы.[n]Ты получишь один из следующих предметов:[n]1x Комплект одежды пышнохвоста Санты (вечный)[n]1x Корзинка питомца (30 дней)[n]40x Крылья дружбы[n]1x Среднее зелье специалиста[n]1x Амулет усиления[n]16x Благословение ангела-хранителя[n]1x Колода карт Таро[n]10x Усилитель феи[n]14x Запечатанный сосуд[n][n]
zts17407e	Запускает рейд Снеговика на Заснеженном пути,[n]который находится на западе НосВилля.[n]Рекомендуемый уровень: 20-99[n][Инструкция][n]Используй этот предмет, чтобы стать лидером команды.[n]После этого нажимай на других персонажей,[n]и затем на кнопку "Команда", чтобы пригласить их поучаствовать.[n]Когда вы будете готовы, отправляйся ко входу. Когда лидер заходит в локацию рейда, остальные члены команды перемещаются в нее автоматически.[n][Внимание][n]Этот предмет исчезнет по окончании события.
