zts1e	Volpe piccola
zts5172e	Kirel
zts5173e	Astaroth
zts5174e	Esploratore crociato dello Spazio-tempo
zts5175e	Kerzena
zts5176e	Eldin
zts5177e	Capitano della nave volante
zts5178e	Cacciatore leggendario
zts5179e	Tombarolo
zts5180e	Graham speranzoso
zts5181e	Graham dell'abisso
zts5182e	Graham di Pyro
zts5183e	Graham purificatore
zts5184e	Meteora minore di Fernon
zts5185e	Meteora maggiore di Fernon
zts5186e	Lama grigia di Fernon
zts5187e	Lama nera di Fernon
zts5188e	Lama sinistra del Krem franto
zts5189e	Lama destra del Krem franto
zts5190e	Leo il Codardo
zts5191e	Statua della Dea Zenas
zts5192e	Statua della Dea Erenia
zts5193e	Altare della Piazza Tempio
zts5194e	Frigg
zts5195e	Ragnar
zts5196e	Fafnir vorace
zts5197e	Erdimien
zts5198e	Utegarda
zts5199e	Osservatore
zts5200e	Zanna di Fafnir
zts5201e	Zanna piccola di Fafnir
zts5202e	Zanna rotta di Fafnir
zts5203e	Piccola zanna rotta di Fafnir
zts5206e	Capitano dei Banditi del Deserto
zts5207e	Membro della banda di ladroni
zts5208e	Ladrone d'élite
zts5213e	Yertirand
zts5214e	Jennifer
zts5215e	Ragno del deserto
zts5216e	Gigante di sabbia brutale
zts5217e	Nano di sabbia brutale
zts5218e	Fantasma assetato
zts5219e	Anima malvagia del deserto
zts5220e	Basilisco Sabbiadeserto deserto brutale
zts5221e	Bruco della sabbia del deserto brutale
zts5222e	Fantasma del deserto
zts5223e	Anziano dei Goti
zts5224e	Fanciulla dei Goti
zts5225e	Capitano dei pirati
zts5226e	Nomade alchimista del deserto
zts5227e	Negozio di armi nel deserto
zts5228e	Guardia
zts5229e	Furiere
zts5230e	Re pirata Lucifelin
zts5231e	Ammiraglio Occhio d'Aquila
zts5232e	Yertirand corrotto
zts5233e	Drago di ossa
zts5234e	Morto vivente
zts5235e	I Non morti
zts5236e	Spadaccino Teschio
zts5237e	Morto ambulante
zts5238e	Colpo della luce
zts5239e	Colpo della luce scuro
zts5240e	Yertirand strano
zts5241e	Soldato in vacanza
zts5242e	Mercante
zts5243e	Alchimista del cortile
zts5244e	Alchimista nomade
zts5245e	Guerriero d'ossa Ragnar
zts5246e	Drago di ossa magico (personaggi maschili)
zts5247e	Drago di ossa magico (personaggi femminili)
zts5248e	Sir Purrpurr
zts5249e	Grattino, Aspirante diabolico
zts5250e	Folle Dr. Miaunz
zts5251e	Dr. Miaunz
zts5252e	Laurena, la strega bianca furente
zts5253e	Scrigno enigmatico del folle Dr. Miaunz
zts5254e	Scatola di scorte delle Catacombe
zts5255e	Scatola di scorte delle Catacombe luccicante
zts5256e	Folle Dr. Miaunz
zts5257e	Impiegato della Banca Cuarry
zts5258e	Coniglio furfante svelto
zts5259e	Giaguaro magico (m)
zts5260e	Giaguaro magico (f)
zts5261e	Aiutante equipaggiamento
zts5263e	Sposa-spirito^Buhmiau
zts5264e	Sposo-spirito^Buhmiau
zts5265e	Pugno di drago
zts5266e	Robocat
zts5267e	Diavolo infuocato mini
zts5268e	Folletto nero-alato
zts5269e	Renna Nasorosso
zts5270e	Fiore di loto
zts5271e	Slitta magica (m)
zts5272e	Slitta magica (f)
zts5273e	Slitta con Renna Nasorosso (m)
zts5274e	Slitta con Renna Nasorosso (f)
zts5275e	Mystic Art
zts5276e	Mystic Art (nascosta)
zts5277e	Orso^polare^Marco
zts5278e	Amora
zts5279e	Ufficiale^caduto^Chris
zts5280e	Amora^senza^ali
zts5281e	Spadaccino^degli^spiriti^sospetto
zts5282e	Opossum della fortuna
zts5283e	Opossum della fortuna sfacciata
zts5284e	Agnello^giallo
zts5285e	Pecora^gialla
zts5286e	Nuvola^dorata
zts5287e	Coniglio^pasquale^pazzo
zts5288e	Uovo^esplosivo^pazzo
zts5289e	Bomba Eggy
zts5290e	Uovo^esplosivo^avariato
zts5291e	Giovane^lupo^rosso
zts5292e	Lupo^rosso
zts5293e	Vecchio^lupo^rosso
zts5294e	Maestro^Lupo
zts5295e	Asino-piñata magico (m)
zts5296e	Asino-piñata magico (f)
zts5297e	Pegaso^Arcobaleno
zts5298e	Strega^del^ghiaccio^piccola
zts5299e	Lontra
zts5300e	Fantasma^del^Gueriero^demoniaco
zts5301e	Meteora^(tipo^I)
zts5302e	Meteora^(tipo^II)
zts5303e	Meteora^congelata
zts5304e	Tritone
zts5305e	Sirena
zts5306e	Orsogufo
zts5307e	Pikanya
zts5308e	Goblin-patata
zts5309e	Vermitello^gracchiante
zts5310e	Revenant
zts5311e	Ghoul
zts5312e	Soldato^scheletrico
zts5313e	Goblin^malvagio
zts5314e	Elfa^oscura^malvagia
zts5315e	Guardiano^spettrale
zts5316e	Spirito^silvano
zts5317e	Budino^di^muschio
zts5318e	Fatina^del^muschio
zts5319e	Golem^delle^rocce
zts5320e	Bestia^demoniaca
zts5321e	Satiro
zts5322e	Satiro^alato
zts5323e	Scorpione^con^gli^occhi^rossi
zts5324e	Mummia^ammuffita
zts5325e	Troll^delle^epidemie
zts5326e	Troll^guerriero
zts5327e	Maga^nera
zts5328e	Mago^di^Belial
zts5329e	Strega^di^Belial
zts5330e	Cavaliere^dell'ombra^di^Belial
zts5331e	Re^spettro^malvagio^Kirollas
zts5332e	Re^bestia^malvagio^Carno
zts5333e	Dio^dei^demoni^Belial
zts5334e	Capitano^Toffel
zts5335e	Guardia^orco^reale
zts5336e	Assassino^orco^reale
zts5337e	Arciere^orco^reale
zts5338e	Spadaccino^orco^reale
zts5339e	Maga^orco^reale
zts5340e	Obelisco^di^fuoco
zts5341e	Obelisco^del^terrore
zts5342e	Re^malvagio^Carno^(a riposo)
zts5343e	Avatar^del^Re^bestia^Carno
zts5344e	Avatar^del^Re^spettro^Kirollas
zts5345e	Grande^Tritone
zts5346e	Obelisco^di^luce
zts5347e	Taita
zts5348e	Datius
zts5349e	Cottari
zts5350e	Asgot
zts5351e	Orco^guardia
zts5352e	Donna^Orco^guardia
zts5353e	Lipaga
zts5354e	Tatika
zts5355e	Mela^dolce
zts5356e	Vite^con^Bacche^di^falesia
zts5357e	Altare^primitivo
zts5358e	Pezzo^di^legno
zts5359e	Altare^del^Re^spettro
zts5360e	Scrigno^ittico^del^pescatore
zts5361e	Squalo^di^pezza
zts5362e	Statua^di^pietra^strana
zts5363e	Incensiere^strano
zts5364e	Segno^del^male
zts5365e	Segno^dell'ira
zts5366e	Segno^della^brama
zts5367e	Forziere^del^magazzino^per^armi
zts5368e	Attrezzo^per^la^pesca^rotto
zts5369e	Carro^rotto
zts5370e	Cadavere^di^Logta
zts5371e	Proga
zts5372e	Perkichan
zts5373e	Itura
zts5374e	Taritus
zts5375e	Rigtas
zts5376e	Moglie^di^Logta
zts5377e	Kantrok
zts5378e	Kujantrok
zts5379e	Martas
zts5380e	Churigo
zts5381e	Liatiz
zts5382e	Thrull
zts5383e	Cittadino^Orco
zts5384e	Cittadina^Orco
zts5385e	Contadino^Orco
zts5386e	Contadina^Orco
zts5387e	Logota
zts5388e	Orco^rapito
zts5389e	Donna^Orco^rapita
zts5390e	Apprendista^guardia
zts5391e	Apprendista^guardia
zts5392e	Tulito
zts5393e	Rocha
zts5394e	Orco^guardia^ferito
zts5395e	Donna^Orco^guardia^ferita
zts5396e	Mercante^Ben
zts5397e	Cercatore^di^tesori^Orus
zts5398e	Cercatore^di^tesori^Irus
zts5399e	Lisuka
zts5400e	Guerrafondaio^degli^Elfi^oscuri
zts5401e	Guardia^del^Re^spettro
zts5402e	Bestia^demoniaca^del^drago
zts5403e	Orsogufo^del^Re^bestia
zts5404e	Piccolo^Tritone
zts5405e	Orsogufo^folle
zts5406e	Grande^Scorpione^con^gli^occhi^rossi
zts5407e	Messaggero^del^Re^spettro
zts5408e	Golem^instabile
zts5409e	Pikanya^docile
zts5410e	Capitano^Cavaliere^oscuro
zts5415e	Albero^di^Mele^dolci
zts5416e	Golem^danneggiato
zts5417e	Capo^degli^Orchi^malvagio
zts5418e	Stregone^supremo^Belial
zts5419e	Strega^regina^Belial
zts5420e	Cavaliere^corazzato^Belial
zts5421e	Lanciere^orco^corrotto
zts5422e	Arciere^orco^corrotto
zts5423e	Guerriero^orco^corrotto
zts5424e	Assassino^orco^corrotto
zts5425e	Mago^orco^corrotto
zts5426e	Pikanya^docile
zts5427e	Irukur
zts5428e	Opossum Toro dell'anno nuovo
zts5429e	Micetto^roditore
zts5430e	Allenatore Samurai
zts5431e	Spaventapasseri Opossum
zts5432e	Tartacottero (m)
zts5433e	Tartacottero (f)
zts5434e	Lupo del gelo
zts5435e	Lupo del ghiaccio
zts5436e	Lupo della bufera di neve
zts5437e	Goblin^furioso
zts5439e	Golem^demoniaco
zts5440e	Orsogufo^corrotto
zts5441e	Mantide^furiosa
zts5442e	Albero^zombie^corrotto
zts5446e	Golem^del^Fuoco^infernale
zts5447e	Gigante^di^sabbia^furioso
zts5448e	Distruttore^diavolesco
zts5449e	Gigante^di^fuoco^furioso
zts5452e	Troll^guerriero^corrotto
zts5461e	Cavaliere^di^Paimon
zts5462e	Capitano^dell'avanguardia^di^Paimon
zts5464e	Mummia^puzzolente
zts5467e	Elfa^oscura^furiosa
zts5469e	Arciere^teschio^del^fuoco^infernale
zts5470e	Guardiano^corrotto
zts5471e	Sirena^corrotta
zts5473e	Mago^angelico^corrotto
zts5474e	Maga^dell'ombra^corrotta
zts5475e	Arciere^di^Paimon
zts5476e	Mago^di^Paimon
zts5478e	Strega^regina^di^Paimon
zts5479e	Jelly^oscuro^gigante
zts5480e	Verme^glaciale^corrotto
zts5481e	Re^granchio^dell'abisso
zts5482e	Diavoletto^delle^fiamme
zts5484e	Satiro^delle^fiamme
zts5485e	Sfondafortezze^diavolesco
zts5486e	Cavaliere^dell'ombra^d'élite
zts5487e	Clone^del^Re^Bestia
zts5488e	Lupo^rosso^demoniaco
zts5489e	Yeti^furioso
zts5490e	Yeti^immortale
zts5491e	Lupo^blu^demoniaco
zts5493e	Rozhanik^sigillato
zts5494e	Ester^sigillata
zts5495e	Lazekiel^sigillato
zts5496e	Zelot^sigillato
zts5497e	Satiro^di^Paimon
zts5498e	Berserker^di^Paimon
zts5500e	Ombra^del^Re^Bestia^corrotto
zts5503e	Capo^dei^banditi
zts5504e	Avatar^del^Re^Spettro
zts5505e	Totem^di^luce
zts5506e	Spirito^silvano^della^Torre^del^Cielo
zts5507e	Avatar^del^Re^bestia
zts5508e	Orsogufo^della^Torre^del^Cielo
zts5509e	Budino^di^muschio^della^Torre^del^Cielo
zts5510e	Mantide^infernale
zts5511e	Bandito^meschino
zts5512e	Gigante^di^sabbia^guardiano
zts5513e	Guardiano^dell'ago
zts5514e	Scheletro^debole
zts5515e	Negromante
zts5516e	Evocatore^di^mummie
zts5517e	Apprendista^mago^di^Paimon
zts5518e	Budino^di^muschio^esplosivo
zts5519e	Goblin^cacciatore^di^taglie
zts5520e	Revenant^della^Torre^del^Cielo
zts5521e	Bestia^infernale^brutale
zts5522e	Cavaliere^della^morte
zts5523e	Orco^arciere^furioso
zts5524e	Satiro^migliorato
zts5525e	Ghoul^putrefatto
zts5526e	Gran^mago
zts5527e	Spitito^silvano^furioso
zts5528e	Gran^negromante
zts5529e	Evocatore^di^Verme-bomba
zts5530e	Satiro^diavolesco
zts5531e	Mummia^bomba^piccola
zts5532e	Mummia-bomba^sfondafortezze
zts5533e	Spirito^del^muschio^assassino
zts5534e	Evocatore^di^mostri
zts5535e	Arciere^dell'ombra^sfondafortezze
zts5536e	Golem^di^pietra^diavolesco
zts5537e	Spirito^distruttore
zts5538e	Assassino^di^Paimon
zts5539e	Yeti^migliorato
zts5540e	Spirito^silvano^corrotto
zts5541e	Verme^Harakiri
zts5542e	Spirito^della^sabbia^instabile
zts5543e	Spirito^della^sabbia^gigante^instabile
zts5544e	Arciere^angelico^corrotto
zts5545e	Bestia^demoniaca
zts5546e	Bestia^infernale^di^Paimon
zts5547e	Guardiano^sigillato
zts5548e	Mysticaron^sigillato
zts5549e	Cavaliere^mistico^sigillato
zts5550e	Arcangelo^sigillato
zts5551e	Satiro^alato^di^Paimon
zts5552e	Manadipendente
zts5553e	Capotruppa^di^Paimon
zts5554e	Crociato^folle
zts5555e	Meteora^di^Paimon
zts5556e	Ombra^del^Re^Spettro^corrotto
zts5557e	Ombra^di^Belial
zts5558e	Lanciamorte
zts5559e	Pegaso^furioso
zts5560e	Spinalama^infernale
zts5561e	Illusione^del^Re^Spettro
zts5562e	Illusione^del^Re^Bestia
zts5563e	Soldato^scheletrico^di^Paimon
zts5564e	Basilisco^infernale
zts5565e	Predatore^infernale
zts5566e	Cacciatore^meschino
zts5567e	Guardiano^della^tempesta^di^sabbia
zts5568e	Sovrano^malvagio^Paimon
zts5569e	Elfa^oscura^della^Torre^del^Cielo
zts5570e	Diavolo^di^fuoco^volante^di^Paimon
zts5571e	Glacerus^di^Paimon
zts5572e	Dark^Castra^di^Paimon
zts5573e	Arcangelo^corrotto
zts5574e	Squarcio^nel^cielo
zts5575e	Bomba^artigianale
zts5576e	Cavaliere^dell'ombra^Plus
zts5577e	Capo^dei^Cavalieri^dell'ombra^d'élite
zts5578e	Pasticcio
zts5579e	Pasticcio^dorato
zts5580e	Gechino Paladino
zts5581e	Stregone^Acquarius^Arku
zts5582e	Folletto^maligno
zts5583e	Folletto^maligno^piccolo
zts5584e	Satiro^maligno
zts5585e	Satiro^maligno^alato
zts5586e	Satiro^gigante
zts5587e	Golem^melmoso^di^Arku
zts5588e	Scheletro^di^Arku
zts5589e	Pescatore^Walter
zts5590e	Pescatore^Winni
zts5591e	Ghul^di^Arku
zts5592e	Arciere^teschio^di^Arku
zts5593e	Toro da rodeo (m)
zts5594e	Toro da rodeo (f)
zts5595e	Civetta magica
zts5596e	Criceto ombroso
zts5597e	Criceto notturno
zts5598e	Furia roditrice
zts5599e	Grancuoco^Topinambur
zts5600e	Lattuga^gigante
zts5601e	Pomodoro^gigante
zts5602e	Cipolla^gigante
zts5603e	Mango^gigante
zts5604e	Brividotto
zts5605e	Volpistrello
zts5606e	Ragno^spettrale
zts5607e	Agguatorso
zts5608e	Leopardo^fiammeggiante
zts5609e	Lupo^solare
zts5610e	Spirito^Druido^del^fuoco
zts5611e	Spirito^Sacerdote^voodoo
zts5612e	Spirito^Guerriero^d'ascia^della^cascata
zts5613e	Spirito^Cacciasole
zts5614e	Anima^Druido^del^fuoco
zts5615e	Anima^Sacerdote^voodoo
zts5616e	Anima^Guerriero^d'ascia^della^cascata
zts5617e	Anima^Cacciasole
zts5618e	Placido^Paimon
zts5619e	Spirito^Sacerdote^voodoo
zts5620e	Spirito^Guerriero^d'ascia^della^cascata
zts5621e	Ragno^spettrale
zts5622e	Paimon^risuscitato
zts5623e	Ombra^di^Belial^(debole)
zts5624e	Spirito^Lupo^solare
zts5625e	Anima^Lupo^solare
zts5626e	Anima^Druido^del^fuoco
zts5627e	Anima^Cacciasole
zts5628e	Anima^Lupo^solare
zts5629e	Baby-dinosauro^Velutzi
zts5630e	Ape^regina^docile
zts5631e	Canguro^14°^anniversario^(m)
zts5632e	Canguro^14°^anniversario^(f)
zts5633e	Canguro^Boxer^14°^anniversario^(m)
zts5634e	Canguro^Boxer^14°^anniversario^(f)
zts5635e	Esecutore^del^Drago^di^nebbia
zts5636e	Tombarolo^maledetto
zts5637e	Portale^di^Nido^Celeste
zts5638e	Cristallo^del^drago
zts5639e	Soffio^di^drago
zts5640e	Alzanor,^il^Drago^di^ghiaccio
zts5641e	Draconiano^guardia
zts5642e	Draconiano
zts5643e	Ape-drago^baby
zts5644e	Ain
zts5645e	Sindaco^Cesare
zts5646e	Comandante^Enrico
zts5647e	Furiere^Marto
zts5648e	Presidente^Alex
zts5649e	Emily^del^ranch
zts5650e	Sovrintendente^ai^trasporti^Pavio
zts5651e	Recluta^scomparsa
zts5652e	Draconiano^alchimista
zts5653e	Drakov^soldato
zts5654e	Ape-drago
zts5655e	Ape-drago^maligna
zts5656e	Grifone
zts5657e	Grifone^dell'ombra
zts5658e	Drago^blu^piccolo
zts5659e	Drago^blu
zts5660e	Drago^rosso^piccolo
zts5661e	Drago^rosso
zts5662e	Drago^dalla^coda^a^martello
zts5663e	Drago^dalla^coda^a^martello^gigante
zts5664e	Golem^antico
zts5665e	Pupazzo^di^neve
zts5666e	Pupazzo^di^neve^del^gelo^tenebroso
zts5667e	Cervo^algido
zts5668e	Cervo^algido^antico
zts5669e	Figlio^di^Alzanor
zts5670e	Fungus^arciere
zts5671e	Fungus^spadaccino
zts5672e	Fungus^mago
zts5673e	Fungus^arciere^gigante
zts5674e	Fungus^spadaccino^gigante
zts5675e	Fungus^mago^gigante
zts5676e	Gremlin
zts5677e	Gremlin^maligno
zts5678e	Arpia-drago
zts5679e	Arpia^saccheggiatrice
zts5680e	Libellula^saprofaga
zts5681e	Triceratopo^maligno
zts5682e	Baby^triceratopo
zts5683e	Triceratopo
zts5684e	Orso-squalo
zts5685e	Orso-squalo^gigante
zts5686e	Lanciere^di^Nido^di^Drago
zts5687e	Arciere^di^Nido^di^Drago
zts5688e	Mago^di^Nido^di^Drago
zts5689e	Uovo^di^drago
zts5690e	Drago^di^lava
zts5691e	Drago^di^lava^gigante
zts5692e	Ain^(sulla^Cima^del^Krem)
zts5693e	Grifone^ammaestrato
zts5694e	Drago^di^lava^ammaestrato
zts5695e	Cacciatore^di^draghi^marcio
zts5696e	Cacciatore^di^draghi^zombie
zts5697e	Mano^non^morta
zts5698e	Mano^non^morta^rigonfia
zts5699e	Tombarolo^del^Cimitero^dei^Draghi
zts5700e	Comandante^Drakov
zts5701e	Bemos,^Capo^dei^Drakov
zts5702e	Aros,^Capo^dei^Drakov
zts5703e	Draconiano^strano
zts5704e	Drago^zombie^Valehir
zts5705e	Signore^dei^Draghi^Asgobas
zts5706e	Avatar^di^Alzanor
zts5707e	Avatar^di^Valehir
zts5708e	Cervo^spettrale^ghiacciato
zts5709e	Pupazzo^di^neve^algido
zts5710e	Golem^di^ghiaccio^di^Alzanor
zts5711e	Conduttore^di^gelo
zts5712e	Libellula^saprofaga^gigante
zts5713e	Drago^di^lava^dell'Esercito^dei^Draghi
zts5714e	Drago^blu^dell'Esercito^dei^Draghi
zts5715e	Drago^celeste^dell'esercito^dei^draghi
zts5716e	Uovo^di^Asgobas
zts5717e	Prole^di^Asgobas
zts5718e	Mano^non^morta^gigante
zts5719e	Arpia-drago^dell'Esercito^dei^Draghi
zts5720e	Centauro^guerriero^dell'Esercito^dei^Draghi
zts5721e	Centauro^arciere^dell'Esercito^dei^Draghi
zts5722e	Centauro^mago^dell'Esercito^dei^Draghi
zts5723e	Pallina^di^neve
zts5724e	Drago^sconosciuto
zts5725e	Soffio^di^drago
zts5726e	Draconiano^recluta
zts5727e	Draconiano^soldato
zts5728e	Draconiano^spadaccino
zts5729e	Draconiano^soldato
zts5730e	Draconiana^spadaccina
zts5731e	Draconiana^soldatessa
zts5732e	Draconiano^soldato^ferito
zts5735e	Drago^non^morto^magico
zts5736e	Drago^di^ghiaccio^magico
zts5737e	Drago^celeste^baby
zts5738e	Tigre^bianca^magica^Anno^nuovo
zts5739e	Tigre^Anno^nuovo
zts5740e	Koala^letargico
zts5741e	Pallina^di^neve^docile
zts5742e	Drago^d'oro
zts5743e	Dragone^sacro^non^morto
zts5744e	Asgobas^ferito
zts5745e	Asgobas^guarito
zts5746e	Portale^Terra^dei^Vivi
zts5747e	Fungus^arciere^d'oro^(esperto)
zts5748e	Fungus^spadaccino^d'oro^(esperto)
zts5749e	Fungus^mago^rosso^(esperto)
zts5750e	Fungus^arciere^d'oro^gigante^(esperto)
zts5751e	Fungus^spadaccino^d'oro^gigante^(esperto)
zts5752e	Fungus^mago^rosso^gigante^(esperto)
zts5753e	Grifone^d'oro
zts5754e	Grifone^d'oro^sacro^(esperto)
zts5755e	Arpia-drago^oscura^(esperto)
zts5756e	Cervo^spettrale^Ghiacciaio^(esperto)
zts5757e	Centauro^arciere^dell'Esercito^dei^Draghi^d'Oro^(esperto)
zts5758e	Centauro^guerriero^dell'Esercito^dei^Draghi^Rossi^(esperto)
zts5759e	Drago^d'oro^(esperto)
zts5760e	Dragone^sacro^non^morto^(esperto)
zts5761e	Fungus^arciere^d'oro
zts5762e	Fungus^spadaccino^d'oro
zts5763e	Fungus^mago^rosso
zts5764e	Centauro^arciere^dell'Esercito^dei^Draghi^d'Oro
zts5765e	Centauro^guerriero^dell'Esercito^dei^Draghi^Rossi
zts5766e	Grifone^d'oro
zts5767e	Arpia-drago^oscura
zts5768e	Cervo^spettrale^Ghiacciaio
zts5769e	Fungus^arciere^d'oro^gigante
zts5770e	Fungus^spadaccino^d'oro^gigante
zts5771e	Fungus^mago^rosso^gigante
zts5772e	Grifone^d'oro^sacro
zts5773e	Altare^sacro
zts5774e	Altare^illusorio
zts5776e	Carrozza^Coniglio^nobile^(m)
zts5777e	Carrozza^Coniglio^nobile^(f)
zts5778e	Uccello^lavatore^addomesticato
zts5779e	Guardiano^debole
zts5780e	Guardiano^forte
zts5781e	Baby^panda
zts5782e	Granata gravitazionale
zts5783e	Nebbia^di^Valehir^infinita
zts5784e	Shania
zts5785e	Gail
zts5786e	Aldo
zts5787e	Shania^Cavalcadraghi
zts5788e	Gail^Granatiere
zts5789e	Aldo^Pugno^idrodinamico
zts5790e	Ain^Gravitans
zts5791e	Cavalcadraghi^esausto
zts5792e	Granatiere^esausto
zts5793e	Pugno^idrodinamico^esausto
zts5794e	Colonna^Cristallo^oscuro^sospetta
zts5795e	Asgobas^debole
zts5796e	Drago^Coda^di^martello^potenziato
zts5797e	Figlio^di^Alzanor^(potenziato)
zts5798e	Gremlin^maligno^potenziato
zts5799e	Triceratopo^potenziato
zts5800e	Baby^triceratopo^potenziato
zts5801e	Orso-squalo^potenziato
zts5802e	Orso-squalo^gigante^potenziato
zts5803e	Grifone^dell'ombra^potenziato
zts5804e	Avatar^di^Valehir^(potenziato)
zts5805e	Drago^di^ghiaccio^gigante^potenziato
zts5806e	Fungus^arciere^potenziato
zts5807e	Fungus^spadaccino^potenziato
zts5808e	Fungus^mago^potenziato
zts5809e	Fungus^arciere^gigante^potenziato
zts5810e	Fungus^spadaccino^gigante^potenziato
zts5811e	Fungus^mago^gigante^potenziato
zts5812e	Arpia^saccheggiatrice^potenziata
zts5813e	Guardia^Drago^rosso
zts5814e	Guardia^Drago^celeste
zts5815e	Guardia^Drago^di^lava
zts5816e	Prole^di^Asgobas^(potenziata)
zts5818e	Par
zts5819e	Pur
zts5820e	Pir
zts5821e	Coniglio^Anno^Nuovo
zts5822e	Coniglio^nero
zts5823e	Fungo^d'oro^docile
zts5824e	Totem^sacro
zts5825e	Diavoletto^atroce
zts5826e	Tenebrotto
zts5827e	Fantasmotto
zts5828e	Warepardo^gigante^spietato
zts5829e	Sparring^monster^debole
zts5830e	Sparring^monster
zts5831e	Sparring^monster^forte
zts5832e	Lucy^Allenatrice^di^pet
zts5833e	Lupo^di^Lucy
zts5834e	Lucy's^White^Tiger
zts5835e	Combattente^teschio^stregato
zts5836e	Arciere^teschio^stregato
zts5837e	Guerriero^teschio^stregato
zts5838e	Pesce^inseguitore^domato
zts5839e	Medusa^domata
zts5840e	Gigante^muschioso^Pollutus
zts5841e	Pezzo^di^Pollutus
zts5842e	Giga-Arma
zts5845e	Mullan^prigioniero
zts5846e	Guardia
zts5847e	Modulo^potenza^di^fuoco
zts5848e	Modulo^di^resistenza
zts5849e	Modulo^di^caricamento
zts5850e	Modulo^scudo
zts5851e	Modulo^di^riparazione
zts5852e	Robot^rilevatore^di^movimento
zts5853e	Ingegnere^Mullan
zts5854e	Soldato^Mulan
zts5855e	Soldato^con^il^fucile^Mullan
zts5856e	Portatore^di^scudo^Mullan
zts5857e	Robot^minerario
zts5858e	Robot^da^lavoro
zts5859e	Soldato^meccanico^Fucile
zts5860e	Soldato^meccanico^Fuoco
zts5861e	Soldato^meccanico^Gatling
zts5862e	Soldato^meccanico^Razzi
zts5863e	Comandante^delle^truppe^meccaniche
zts5864e	Ratto^mostruoso
zts5865e	Ratto^mostruoso^gigante
zts5866e	Melma^di^ossa
zts5867e	Melma^di^ossa^gigante
zts5868e	Baby^Melma^di^lucertola
zts5869e	Melma^di^lucertola
zts5870e	Golem^fungo
zts5871e	Ratto^di^cristallo
zts5872e	Baby^gasteracantha
zts5873e	Gasteracantha
zts5874e	Verme^di^roccia
zts5875e	Verme^di^roccia^gigante
zts5876e	Scienziato^pazzo
zts5877e	Ingegnere^pazzo
zts5878e	Ingegnere^reale
zts5879e	Soldato^reale
zts5880e	Soldato^con^il^fucile^reale
zts5881e	Portatore^di^scudo^reale
zts5882e	Soldato^meccanico^Fucile^reale
zts5883e	Soldato^meccanico^Fuoco^reale
zts5884e	Soldato^meccanico^Razzi^reale
zts5885e	Soldato^meccanico^Gatling^reale
zts5886e	Comandante^truppe^meccaniche^reale
zts5887e	Robot^minerario^reale
zts5888e	Robot^da^lavoro^reale
zts5889e	Soldato^meccanico^Fucile^IA
zts5890e	Soldato^meccanico^Fuoco^IA
zts5891e	Soldato^meccanico^Razzi^IA
zts5892e	Soldato^meccanico^Gatling^IA
zts5893e	Comandante^truppe^meccaniche^IA
zts5894e	Robot^minerario^IA
zts5895e	Verme^di^roccia^contaminato
zts5896e	Gasteracantha^contaminato
zts5897e	Golem^fungo^contaminato
zts5898e	Presidente^Biaron^a^cavallo
zts5899e	Soldato^meccanico^Fucile^reale
zts5900e	Soldato^meccanico^Fuoco^reale
zts5901e	Soldato^meccanico^Razzi^reale
zts5902e	Soldato^meccanico^Gatling^reale
zts5903e	Comandante^truppe^meccaniche^reale
zts5904e	Melma^di^ossa^di^caverna
zts5905e	Melma^di^lucertola^di^caverna
zts5906e	Golem^fungo^di^caverna
zts5907e	Ratto^gigante^di^caverna
zts5908e	Gigante^muschioso^Pollutus
zts5909e	Melma^di^ossa^del^Gigante^muschioso
zts5910e	Melma^di^lucertola^del^Gigante^muschioso
zts5911e	Soldato^meccanico^Fucile^IA
zts5912e	Soldato^meccanico^Fuoco^IA
zts5913e	Soldato^meccanico^Razzi^IA
zts5914e	Soldato^meccanico^Gatling^IA
zts5915e	Giga-Arma^piccolo
zts5916e	Presidente^Biaron
zts5917e	Tieclo
zts5918e	Mullang
zts5919e	Assistente^IA^Allos
zts5920e	Istruttore^militare^Mullan
zts5921e	Dir.^Cen.^Elettrica^Città^di^Sotto
zts5922e	Inventore^della^Città^di^Sotto
zts5923e	Ingegnere^della^Città^di^Sotto
zts5924e	Cuoca^della^Città^di^Sotto
zts5925e	Gestore^della^famiglia^della^Città^di^Sotto
zts5926e	Dir.^Ferrovie^della^Città^di^Sotto
zts5927e	Gioielliere^della^Città^di^Sotto
zts5928e	Guardia^con^balestra
zts5929e	Comandante
zts5930e	Guardia^Koaren
zts5931e	Arciere^Koaren
zts5932e	Ufficiale^Koaren
zts5934e	Soldato^ribelle
zts5935e	Soldato^con^il^fucile^ribelle
zts5936e	Portatore^di^scudo^ribelle
zts5937e	Ingegnere^ribelle
zts5938e	Tortina^al^cioccolato^per^il^16º^anniversario
zts5939e	Tortina^arcobaleno^per^il^16º^anniversario
zts5940e	Giga-Arma
zts5941e	Guardia^della^Città^di^Sotto
zts5942e	Guardia^meccanica^della^Città^di^Sotto
zts5943e	Testa^di^pupazzo^di^neve^docile
zts5944e	Ratto^di^cristallo^mansueto
zts5945e	Pezzo^di^Pollutus
zts5946e	Manager^del^NosBazar^della^Città^di^Sotto
zts5947e	Abitante^di^Mullan
zts5948e	Nobile^di^Mullan
zts5949e	Maestro^dell'equipaggiamento^della^Città^di^Sotto
