zts1e	Nowy przedmiot
zts16890e	Zajmij 1. miejsce w miesiêcznym rankingu Bitwy Têczowego Kryszta³u.[n]
zts16891e	[Miesiêcznie] Osi¹gniêcie Rankingowe – 1. miejsce w miesiêcznym rankingu rodzinnym (anio³y)
zts16892e	Zajmij 1. miejsce w miesiêcznym rankingu rodzinnym (anio³y).[n]
zts16893e	[Miesiêcznie] Osi¹gniêcie Rankingowe – 1. miejsce w miesiêcznym rankingu rodzinnym (demony)
zts16894e	Zajmij 1. miejsce w miesiêcznym rankingu rodzinnym (demony).[n]
zts16895e	[Dzienna] Ukoñcz Bitwê Têczowego Kryszta³u 1 raz
zts16896e	Ukoñcz Bitwê Têczowego Kryszta³u 1 raz.
zts16897e	[Dzienna] Wygraj Bitwê Têczowego Kryszta³u 1 raz
zts16898e	Wygraj Bitwê Têczowego Kryszta³u 1 raz. Licz¹ siê tak¿e zwyciêstwa bez walki.[n]
zts16899e	[Dzienna] Pokonaj bossa rajdu rodzinnego 1 raz
zts16900e	Pokonaj 1 raz dowolnego bossa rajdu rodzinnego w Glacernon.[n]
zts16901e	[Dzienna] Ukoñcz rajd Króla Kurczaków 5 razy
zts16902e	Ukoñcz ten rajd 5 razy (1 raz dziennie na gracza).[n]
zts16903e	[Dzienna] Ukoñcz rajd Matki Kostek 5 razy
zts16904e	Ukoñcz ten rajd 5 razy (1 raz dziennie na gracza).[n]
zts16905e	[Dzienna] Ukoñcz rajd ¯eñ-Szenia 5 razy
zts16906e	Ukoñcz ten rajd 5 razy (1 raz dziennie na gracza).[n]
zts16907e	[Dzienna] Ukoñcz rajd Mrocznego Castra 5 razy
zts16908e	Ukoñcz ten rajd 5 razy (1 raz dziennie na gracza).[n]
zts16909e	[Dzienna] Ukoñcz rajd Olbrzymiego Czarnego Paj¹ka 5 razy
zts16910e	Ukoñcz ten rajd 5 razy (1 raz dziennie na gracza).[n]
zts16911e	[Dzienna] Ukoñcz rajd Gigantycznego Slade'a 5 razy
zts16912e	Ukoñcz ten rajd 5 razy (1 raz dziennie na gracza).[n]
zts16913e	[Dzienna] Ukoñcz rajd Bandy Rozbójników 5 razy
zts16914e	Ukoñcz ten rajd 5 razy (1 raz dziennie na gracza).[n]
zts16915e	[Dzienna] Ukoñcz rajd Kertosa 5 razy
zts16916e	Ukoñcz ten rajd 5 razy (1 raz dziennie na gracza).[n]
zts16917e	[Dzienna] Ukoñcz rajd Valakusa 5 razy
zts16918e	Ukoñcz ten rajd 5 razy (1 raz dziennie na gracza).[n]
zts16919e	[Dzienna] Ukoñcz rajd Grenigasa 5 razy
zts16920e	Ukoñcz ten rajd 5 razy (1 raz dziennie na gracza).[n]
zts16921e	[Dzienna] Ukoñcz 10 razy B³yskawiczn¹ Bitwê
zts16922e	Ukoñcz 10 razy B³yskawiczn¹ Bitwê. (1x dziennie/gracz).[n]
zts16923e	Osi¹gnij 2. poziom rodziny
zts16924e	Zwiêksz swój poziom rodziny.[n]
zts16925e	Osi¹gnij 3. poziom rodziny
zts16926e	Osi¹gnij 4. poziom rodziny
zts16927e	Osi¹gnij 5. poziom rodziny
zts16928e	Osi¹gnij 6. poziom rodziny
zts16929e	Osi¹gnij 7. poziom rodziny
zts16930e	Osi¹gnij 8. poziom rodziny
zts16931e	Osi¹gnij 9. poziom rodziny
zts16932e	Osi¹gnij 10. poziom rodziny
zts16933e	Osi¹gnij 11. poziom rodziny
zts16934e	Osi¹gnij 12. poziom rodziny
zts16935e	Osi¹gnij 13. poziom rodziny
zts16936e	Osi¹gnij 14. poziom rodziny
zts16937e	Osi¹gnij 15. poziom rodziny
zts16938e	Osi¹gnij 16. poziom rodziny
zts16939e	Osi¹gnij 17. poziom rodziny
zts16940e	Osi¹gnij 18. poziom rodziny
zts16941e	Osi¹gnij 19. poziom rodziny
zts16942e	Osi¹gnij 20. poziom rodziny
zts16943e	Napisz 20 razy sentencjê dnia
zts16944e	Napisz sentencjê dnia.[n]
zts16945e	Napisz 100 razy sentencjê dnia
zts16946e	Napisz 300 razy sentencjê dnia
zts16947e	Napisz 1000 razy sentencjê dnia
zts16948e	Napisz 3000 razy sentencjê dnia
zts16949e	Ukoñcz Bitwê Têczowego Kryszta³u 1 raz
zts16950e	WeŸ udzia³ w Bitwie Têczowego Kryszta³u i ukoñcz j¹.[n]
zts16951e	Ukoñcz Bitwê Têczowego Kryszta³u 10 razy
zts16952e	Ukoñcz Bitwê Têczowego Kryszta³u 30 razy
zts16953e	Ukoñcz Bitwê Têczowego Kryszta³u 100 razy
zts16954e	Ukoñcz Bitwê Têczowego Kryszta³u 300 razy
zts16955e	Wygraj Bitwê Têczowego Kryszta³u 1 raz
zts16956e	WeŸ udzia³ w Bitwie Têczowego Kryszta³u i wygraj j¹.[n]
zts16957e	Wygraj Bitwê Têczowego Kryszta³u 10 razy
zts16958e	Wygraj Bitwê Têczowego Kryszta³u 30 razy
zts16959e	Wygraj Bitwê Têczowego Kryszta³u 100 razy
zts16960e	Wygraj Bitwê Têczowego Kryszta³u 300 razy
zts16961e	Pokonaj 10 bossów rajdu rodzinnego w Glacernon
zts16962e	Pokonaj bossy rajdu rodzinnego w Glacernon.[n]
zts16963e	Pokonaj 100 bossów rajdu rodzinnego w Glacernon
zts16964e	Pokonaj 1000 bossów rajdu rodzinnego w Glacernon
zts16965e	Pokonaj mistrza Morcosa 1 raz
zts16966e	Pokonaj mistrza Morcosa w Tronie Morcosa.[n]
zts16967e	Pokonaj mistrza Morcosa 10 razy
zts16968e	Pokonaj mistrza Morcosa 30 razy
zts16969e	Pokonaj mistrza Morcosa 100 razy
zts16970e	Pokonaj mistrza Morcosa 300 razy
zts16971e	Pokonaj mistrza Hatusa 1 raz
zts16972e	Pokonaj mistrza Hatusa w Szczelinie Ciemnoœci.[n]
zts16973e	Pokonaj mistrza Hatusa 10 razy
zts16974e	Pokonaj mistrza Hatusa 30 razy
zts16975e	Pokonaj mistrza Hatusa 100 razy
zts16976e	Pokonaj mistrza Hatusa 300 razy
zts16977e	Pokonaj lady Calvinas 1 raz
zts16978e	Pokonaj lady Calvinas w GnieŸdzie Calvinas.[n]
zts16979e	Pokonaj lady Calvinas 10 razy
zts16980e	Pokonaj lady Calvinas 30 razy
zts16981e	Pokonaj lady Calvinas 100 razy
zts16982e	Pokonaj lady Calvinas 300 razy
zts16983e	Pokonaj barona Beriosa 1 raz
zts16984e	Pokonaj barona Beriosa w Kryszta³owym O³tarzu.[n]
zts16985e	Pokonaj barona Beriosa 10 razy
zts16986e	Pokonaj barona Beriosa 30 razy
zts16987e	Pokonaj barona Beriosa 100 razy
zts16988e	Pokonaj barona Beriosa 300 razy
zts16989e	Zwiêkszone pozyskiwanie doœwiadczenia
zts16990e	Na jedn¹ godzinê zwiêksza pozyskiwanie doœwiadczenia (20% dla cz³onków rodziny, 10% dla innych graczy, mo¿liwoœæ u¿ycia raz dziennie przez miesi¹c).[n]
zts16991e	Zwiêkszone pozyskiwanie z³ota
zts16992e	Na jedn¹ godzinê zwiêksza pozyskiwanie z³ota (20% dla cz³onków rodziny, 10% dla innych graczy, mo¿liwoœæ u¿ycia raz dziennie przez miesi¹c).[n]
zts16993e	Efekt "Wielka Wytrzyma³oœæ"
zts16994e	Efekt "Wielka Wytrzyma³oœæ" dzia³a przez godzinê na twoj¹ frakcjê w Glacernon (mo¿liwoœæ u¿ycia raz dziennie przez miesi¹c).
zts16995e	Na³adowanie paska rajdu w Glacernon
zts16996e	£aduje pasek rajdu twojej frakcji o 20% (mo¿liwoœæ u¿ycia raz dziennie przez miesi¹c).[n]
zts16997e	Zwiêkszenie si³y ataku i obrony (poziom 1.)
zts16998e	Zwiêksza si³ê ataku i obrony cz³onków rodziny oraz ich NosKumpli o 1%.[n]
zts16999e	Zwiêkszenie si³y ataku i obrony (poziom 2.)
zts17000e	Zwiêksza si³ê ataku i obrony cz³onków rodziny oraz ich NosKumpli o 2%.[n]
zts17001e	Zwiêkszenie si³y ataku i obrony (poziom 3.)
zts17002e	Zwiêksza si³ê ataku i obrony cz³onków rodziny oraz ich NosKumpli o 4%.[n]
zts17003e	Zwiêkszenie si³y ataku i obrony (poziom 4.)
zts17004e	Zwiêksza si³ê ataku i obrony cz³onków rodziny oraz ich NosKumpli o 6%.[n]
zts17005e	Zwiêkszenie si³y ataku i obrony (poziom 5.)
zts17006e	Zwiêksza si³ê ataku i obrony cz³onków rodziny oraz ich NosKumpli o 8%.[n]
zts17007e	Zwiêkszenie si³y ataku i obrony (poziom 6.)
zts17008e	Zwiêksza si³ê ataku i obrony cz³onków rodziny oraz ich NosKumpli o 10%.[n]
zts17009e	Ulepszone dzia³anie ¿ywnoœci i przek¹sek (poziom 1.)
zts17010e	Zwiêksza efekt regeneracji wywo³ywany przez ¿ywnoœæ i przek¹ski o 5%.[n]
zts17011e	Ulepszone dzia³anie ¿ywnoœci i przek¹sek (poziom 2.)
zts17012e	Zwiêksza efekt regeneracji wywo³ywany przez ¿ywnoœæ i przek¹ski o 10%.[n]
zts17013e	Ulepszone dzia³anie ¿ywnoœci i przek¹sek (poziom 3.)
zts17014e	Zwiêksza efekt regeneracji wywo³ywany przez ¿ywnoœæ i przek¹ski o 15%.[n]
zts17015e	Mniejsze koszty teleportacji i podró¿y statkiem (poziom 1.)
zts17016e	Zmniejsza koszty teleportacji i podró¿y statkiem o 25%.[n]
zts17017e	Mniejsze koszty teleportacji i podró¿y statkiem (poziom 2.)
zts17018e	Zmniejsza koszty teleportacji i podró¿y statkiem o 50%.[n]
zts17019e	Mniejsze koszty teleportacji i podró¿y statkiem (poziom 3.)
zts17020e	Zmniejsza koszty teleportacji i podró¿y statkiem o 75%.[n]
zts17021e	Ulepszone dzia³anie eliksirów (poziom 1.)
zts17022e	Zwiêksza efekt regeneracji wywo³ywany przez eliksiry o 5%.[n]
zts17023e	Ulepszone dzia³anie eliksirów (poziom 2.)
zts17024e	Zwiêksza efekt regeneracji wywo³ywany przez eliksiry o 10%.[n]
zts17025e	Ulepszone dzia³anie eliksirów (poziom 3.)
zts17026e	Zwiêksza efekt regeneracji wywo³ywany przez eliksiry o 15%.[n]
zts17027e	Magazyn rodziny (poziom 1.)
zts17028e	W magazynie rodziny macie do dyspozycji 21 miejsc.[n]
zts17029e	Magazyn rodziny (poziom 2.)
zts17030e	W magazynie rodziny macie do dyspozycji 49 miejsc.[n]
zts17031e	Zwiêkszenie maks. liczby cz³onków rodziny (poziom 1.)
zts17032e	Zwiêksza maksymaln¹ liczbê cz³onków rodziny do 70.[n]
zts17033e	Zwiêkszenie maks. liczby cz³onków rodziny (poziom 2.)
zts17034e	Zwiêksza maksymaln¹ liczbê cz³onków rodziny do 100.[n]
zts17035e	Zwiêkszenie si³y ataku i obrony (poziom 1.) – dostêpne
zts17036e	Mo¿esz nabywaæ bonusy rodziny u Mened¿era Rodziny.[n]
zts17037e	Zwiêkszenie si³y ataku i obrony (poziom 2.) – dostêpne
zts17038e	Zwiêkszenie si³y ataku i obrony (poziom 3.) – dostêpne
zts17039e	Zwiêkszenie si³y ataku i obrony (poziom 4.) – dostêpne
zts17040e	Zwiêkszenie si³y ataku i obrony (poziom 5.) – dostêpne
zts17041e	Zwiêkszenie si³y ataku i obrony (poziom 6.) – dostêpne
zts17042e	Ulepszone dzia³anie ¿ywnoœci i przek¹sek (poziom 1.) – dostêpne
zts17043e	Ulepszone dzia³anie ¿ywnoœci i przek¹sek (poziom 2.) – dostêpne
zts17044e	Ulepszone dzia³anie ¿ywnoœci i przek¹sek (poziom 3.) – dostêpne
zts17045e	Mniejsze koszty teleportacji i podró¿y statkiem (poziom 1.) – dostêpne
zts17046e	Mniejsze koszty teleportacji i podró¿y statkiem (poziom 2.) – dostêpne
zts17047e	Mniejsze koszty teleportacji i podró¿y statkiem (poziom 3.) – dostêpne
zts17048e	Ulepszone dzia³anie eliksirów (poziom 1.) – dostêpne
zts17049e	Ulepszone dzia³anie eliksirów (poziom 2.) – dostêpne
zts17050e	Ulepszone dzia³anie eliksirów (poziom 3.) – dostêpne
zts17051e	Magazyn rodziny (poziom 1.) – dostêpny
zts17052e	Magazyn rodziny (poziom 2.) – dostêpny
zts17053e	Zwiêkszenie maks. liczby cz³onków rodziny (poziom 1.) – dostêpne
zts17054e	Zwiêkszenie maks. liczby cz³onków rodziny (poziom 2.) – dostêpne
zts17055e	1000 PDR
zts17056e	1500 PDR
zts17057e	2000 PDR
zts17058e	2500 PDR
zts17059e	3000 PDR
zts17060e	5000 PDR
zts17061e	10 000 PDR
zts17062e	25 000 PDR
zts17063e	30 000 PDR
zts17064e	50 000 PDR
zts17065e	100 000 PDR
zts17066e	150 000 PDR
zts17067e	200 000 PDR
zts17068e	300 000 PDR
zts17069e	500 000 PDR
zts17070e	Zwiêkszona odpornoœæ na ogieñ (poziom 1.)
zts17071e	Odpornoœæ na ogieñ zostaje zwiêkszona o 1.[n]
zts17072e	Zwiêkszona odpornoœæ na ogieñ (poziom 2.)
zts17073e	Odpornoœæ na ogieñ zostaje zwiêkszona o 2.[n]
zts17074e	Zwiêkszona odpornoœæ na ogieñ (poziom 3.)
zts17075e	Odpornoœæ na ogieñ zostaje zwiêkszona o 3.[n]
zts17076e	Zwiêkszona odpornoœæ na ogieñ (poziom 4.)
zts17077e	Odpornoœæ na ogieñ zostaje zwiêkszona o 4.[n]
zts17078e	Zwiêkszona odpornoœæ na ogieñ (poziom 5.)
zts17079e	Odpornoœæ na ogieñ zostaje zwiêkszona o 5.[n]
zts17080e	Zwiêkszona odpornoœæ na mrok (poziom 1.)
zts17081e	Odpornoœæ na mrok zostaje zwiêkszona o 1.[n]
zts17082e	Zwiêkszona odpornoœæ na mrok (poziom 2.)
zts17083e	Odpornoœæ na mrok zostaje zwiêkszona o 2.[n]
zts17084e	Zwiêkszona odpornoœæ na mrok (poziom 3.)
zts17085e	Odpornoœæ na mrok zostaje zwiêkszona o 3.[n]
zts17086e	Zwiêkszona odpornoœæ na mrok (poziom 4.)
zts17087e	Odpornoœæ na mrok zostaje zwiêkszona o 4.[n]
zts17088e	Zwiêkszona odpornoœæ na mrok (poziom 5.)
zts17089e	Odpornoœæ na mrok zostaje zwiêkszona o 5.[n]
zts17090e	Zwiêkszona odpornoœæ na wodê (poziom 1.)
zts17091e	Odpornoœæ na wodê zostaje zwiêkszona o 1.[n]
zts17092e	Zwiêkszona odpornoœæ na wodê (poziom 2.)
zts17093e	Odpornoœæ na wodê zostaje zwiêkszona o 2.[n]
zts17094e	Zwiêkszona odpornoœæ na wodê (poziom 3.)
zts17095e	Odpornoœæ na wodê zostaje zwiêkszona o 3.[n]
zts17096e	Zwiêkszona odpornoœæ na wodê (poziom 4.)
zts17097e	Odpornoœæ na wodê zostaje zwiêkszona o 4.[n]
zts17098e	Zwiêkszona odpornoœæ na wodê (poziom 5.)
zts17099e	Odpornoœæ na wodê zostaje zwiêkszona o 5.[n]
zts17100e	Zwiêkszona odpornoœæ na œwiat³o (poziom 1.)
zts17101e	Odpornoœæ na œwiat³o zostaje zwiêkszona o 1.[n]
zts17102e	Zwiêkszona odpornoœæ na œwiat³o (poziom 2.)
zts17103e	Odpornoœæ na œwiat³o zostaje zwiêkszona o 2.[n]
zts17104e	Zwiêkszona odpornoœæ na œwiat³o (poziom 3.)
zts17105e	Odpornoœæ na œwiat³o zostaje zwiêkszona o 3.[n]
zts17106e	Zwiêkszona odpornoœæ na œwiat³o (poziom 4.)
zts17107e	Odpornoœæ na œwiat³o zostaje zwiêkszona o 4.[n]
zts17108e	Zwiêkszona odpornoœæ na œwiat³o (poziom 5.)
zts17109e	Odpornoœæ na œwiat³o zostaje zwiêkszona o 5.[n]
zts17110e	Tajemnicza Farba do W³osów
zts17111e	To jest tajemnicza farba do w³osów. [n]Za pomoc¹ tej farby losowo zmienisz obecny kolor w³osów na inny. [n]Warto spróbowaæ! Warto spróbowaæ![n]
zts17116e	Wró¿ka ognia[n][n]Wró¿ka ta nosi w sobie skoncentrowan¹ magiczn¹ moc ognia.[n]Im d³u¿ej masz j¹ przy sobie podczas walki, tym bardziej roœnie jej si³a ¿ywio³u podczas ataku.[n](w walce z potworami +-15 poziom).[n]Si³a ataku zostanie dodana do si³y ¿ywio³u twojej postaci.[n]Wró¿ka mo¿e zwiêkszyæ twoj¹ si³ê ¿ywio³u do 80%.[n]Nie zbiera otrzymuje ona punktów doœwiadczenia za pokonywanie potworów w NosVille.[n]
zts17117e	Wró¿ka Wody[n][n]Wró¿ka ta nosi w sobie skoncentrowan¹ magiczn¹ moc wody.[n]Im d³u¿ej masz j¹ przy sobie podczas walki, tym bardziej roœnie jej si³a ¿ywio³u podczas ataku.[n](w walce z potworami +-15 poziom).[n]Si³a ataku zostanie dodana do si³y ¿ywio³u twojej postaci.[n]Wró¿ka mo¿e zwiêkszyæ twoj¹ si³ê ¿ywio³u do 80%.[n]Nie otrzymuje ona punktów doœwiadczenia za pokonywanie potworów w NosVille.[n]
zts17118e	Wró¿ka œwiat³a[n][n]Wró¿ka ta nosi w sobie skoncentrowan¹ magiczn¹ moc œwiat³a.[n]Im d³u¿ej masz j¹ przy sobie podczas walki, tym bardziej roœnie jej si³a ¿ywio³u podczas ataku.[n](w walce z potworami +-15 poziom).[n]Si³a ataku zostanie dodana do si³y ¿ywio³u twojej postaci.[n]Wró¿ka mo¿e zwiêkszyæ twoj¹ si³ê ¿ywio³u do 80%.[n]Nie otrzymuje ona punktów doœwiadczenia za pokonywanie potworów w NosVille.[n]
zts17119e	Wró¿ka mroku[n][n]Wró¿ka ta nosi w sobie skoncentrowan¹ magiczn¹ moc mroku.[n]Im d³u¿ej masz j¹ przy sobie podczas walki, tym bardziej roœnie jej si³a ¿ywio³u podczas ataku.[n](w walce z potworami +-15 poziom).[n]Si³a ataku zostanie dodana do si³y ¿ywio³u twojej postaci.[n]Wró¿ka mo¿e zwiêkszyæ twoj¹ si³ê ¿ywio³u do 80%.[n]Nie otrzymuje ona punktów doœwiadczenia za pokonywanie potworów w NosVille.[n]
zts17127e	Niemiecki Pi³karz Krzakogon
zts17128e	Francuski Pi³karz Krzakogon
zts17129e	Angielski Pi³karz Krzakogon
zts17130e	W³oski Pi³karz Krzakogon
zts17131e	Hiszpañski Pi³karz Krzakogon
zts17132e	Polski Pi³karz Krzakogon
zts17133e	Rosyjski Pi³karz Krzakogon
zts17134e	Czeski Pi³karz Krzakogon
zts17135e	Turecki Pi³karz Krzakogon
zts17136e	Losowa Skrzynia ME 2012
zts17137e	To ultymatywna losowa skrzynia dla fanów pi³ki no¿nej.[n]Znajdziesz w niej Pi³karzy Krzakogonów w barwach 9 ró¿nych reprezentacji oraz inne przedmioty.[n]Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów:[n]1x Per³a Niemieckiego Pi³karza Krzakogona[n]1x Per³a Francuskiego Pi³karza Krzakogona[n]1x Per³a Angielskiego Pi³karza Krzakogona[n]1x Per³a W³oskiego Pi³karza Krzakogona[n]1x Per³a Hiszpañskiego Pi³karza Krzakogona[n]1x Per³a Polskiego Pi³karza Krzakogona[n]1x Per³a Rosyjskiego Pi³karza Krzakogona[n]1x Per³a Czeskiego Pi³karza Krzakogona[n]1x Per³a Tureckiego Pi³karza Krzakogona[n]1x Koszyk Zwierzaka (30 dni)[n]40x Skrzyd³a PrzyjaŸni[n]1x Œredni Specjalny Eliksir[n]1x Amulet Wzmocnienia[n]16x B³ogos³awieñstwo Anio³a Stró¿a[n]1x Karty Tarota[n]10x Wzmacniacz Wró¿ki[n]14x Zapieczêtowany Pojemnik[n]
zts17138e	Ukoñcz rajd Króla Kurczaków 5 razy (1x dz./gracz).[n]
zts17139e	Ukoñcz rajd Matki Kostek 5 razy (1x dz./gracz).[n]
zts17140e	Ukoñcz rajd ¯eñ-Szenia 5 razy (1x dz./gracz).[n]
zts17141e	Ukoñcz rajd Mrocznego Castra 5 razy (1x dz./gracz).[n]
zts17142e	Ukoñcz rajd Olbrzymiego Czarnego Paj¹ka 5 razy.[n]
zts17143e	Ukoñcz rajd Gigantycznego Slade'a 5 razy (1x dz./gracz).[n]
zts17144e	Ukoñcz rajd Bandy Rozbójników 5 razy (1x dz./gracz).[n]
zts17145e	Ukoñcz rajd Kertosa 5 razy (1x dz./gracz).[n]
zts17146e	Ukoñcz rajd Valakusa 5 razy (1x dz./gracz).[n]
zts17147e	Ukoñcz rajd Grenigasa 5 razy (1x dz./gracz).[n]
zts17148e	[Dzienna] Pokonaj bossa rajdu rodzinnego w 10 minut
zts17149e	Pokonaj bossa na rajdu rodzinnego w ci¹gu 10 minut od otwarcia obszaru bossa.[n]
zts17150e	[Dzienna] Pokonaj bossa rajdu rodzinnego bez strat
zts17151e	Pokonaj bossa rajdu rodzinnego w Glacernon bez ponoszenia strat.[n]
zts17152e	[Dzienna] Zagraj 10 razy jako pomocnik rajdu
zts17153e	Ukoñcz 10 rajdów jako pomocnik rajdu (ka¿dy rajd liczy siê tylko 1 raz na dzieñ).[n]
zts17154e	[Dzienna] Pokonaj 10 przeciwników w Glacernon
zts17155e	Pokonaj 10 przeciwników w Glacernon.[n]
zts17156e	[Dzienna] Ukoñcz rajd Namaju 5 razy
zts17157e	Ukoñcz rajd Namaju 5 razy (1x dz./gracz).[n]
zts17170e	Smocza Skóra
zts17171e	Smocza skóra jest wa¿nym materia³em do ulepszania kart specjalisty Gladiatora, Ognistego Kanoniera i Vulkano.[n]Przedmiot ten u¿ywany jest do ulepszenia od poziomu 0-4. [n][n]
zts17172e	Smocza Krew
zts17173e	Smocza skóra jest wa¿nym materia³em do ulepszania kart specjalisty Gladiatora, Ognistego Kanoniera i Vulkano.[n]Przedmiot ten u¿ywany jest do ulepszenia poziomów 5-9. [n][n]
zts17174e	Smocze Serce
zts17175e	Smocza skóra jest wa¿nym materia³em do ulepszania kart specjalisty Gladiatora, Ognistego Kanoniera i Vulkano.[n]Przedmiot ten u¿ywany jest do ulepszenia poziomów 10-14. [n][n]
zts17176e	Karta Specjalisty Gladiatora
zts17178e	Karta Specjalisty Ognistego Kanoniera
zts17180e	Karta Specjalisty Vulkano
zts17182e	Bohaterski Amulet Ognia
zts17184e	Pieczêæ Rajdu Lorda Draco
zts17186e	Czasoprzestrzeñ: Bohaterowie Ognia
zts17187e	Karta Specjalisty Doœwiadczenia
zts17188e	Ta karta specjalisty podwy¿sza twoje parametry doœwiadczenia do 100%.[n][Instrukcja][n]Kliknij podwójnie na ten przedmiot, maj¹c na sobie kartê specjalisty.[n][Uwaga][n]Jeœli twoje parametry doœwiadczenia osi¹gnê³y ju¿ 100%, nie mo¿esz u¿yæ tego przedmiotu.[n]
zts17189e	Róg Bazyliszka
zts17190e	He³m Roberto
zts17191e	Tajemniczy Piasek
zts17192e	Okulary Ireny
zts17193e	Rêkawica Haralda
zts17194e	Naszyjnik Roberto
zts17195e	Bransoletka Ireny
zts17196e	Pierœcieñ Haralda
zts17197e	Darmowy Bilet na Rajd Lorda Draco
zts17198e	Bilet ten umo¿liwia reset dziennego limitu uczestnictwa w rajdzie Lorda Draco.[n]U¿yj podwójnym klikniêciem myszy.[n]
zts17199e	Karta specjalisty z ¿ywio³em ognia[n]Gladiator jest wyspecjalizowany w starciach z innymi graczami (PvP).[n]"Ludzie, wiwatujcie na moj¹ czeœæ!"[n]Otrzymujesz 30% odpornoœci na nastêpuj¹cy efekt: [Strach przed Smokiem][n]
zts17200e	Karta specjalisty z ¿ywio³em ognia[n]Ognisty Kanonier najlepiej zna siê na rodzajach broni palnej.[n]"Moje dzia³o jest potê¿niejsze ni¿ jakakolwiek magia."[n]Otrzymujesz 30% odpornoœci na nastêpuj¹cy efekt: [Strach przed Smokiem][n]
zts17201e	Karta specjalisty z ¿ywio³em ognia[n]Vulkano jest nadzwyczajnym magiem, który w³ada mocami ognia i ziemi.[n]"Moja magia potrafi zniszczyæ wszystko i ka¿dego!"[n]Otrzymujesz 30% odpornoœci na nastêpuj¹cy efekt: [Strach przed Smokiem][n]
zts17210e	Kapelusz S³omkowy (1 dzieñ)
zts17211e	Ten piêkny kapelusz chroni ciê przed gor¹cymi promieniami s³oñca.[n]Czas u¿ytkowania liczony jest od momentu za³o¿enia.[n][Efekt obrony][n]Kapelusz zwiêksza odpornoœæ na ¿ywio³ wody o 2.[n]
zts17212e	Kapelusz S³omkowy (7 dni)
zts17213e	Kapelusz S³omkowy (30 dni)
zts17214e	Kapelusz S³omkowy (na sta³e)
zts17215e	Ten piêkny kapelusz chroni ciê przed gor¹cymi promieniami s³oñca.[n][Efekt obrony][n]Kapelusz zwiêksza odpornoœæ na ¿ywio³ wody o 2.[n]
zts17216e	Mini Kangpen
zts17217e	Towarzysz¹cy ci zwierzak wytwarza co godzinê jedn¹ pirack¹ pieczêæ.[n][U¿ycie][n]Kliknij podwójnie w swoim mini-landzie.[n][Uwaga][n]Produkcja pieczêci pirata mo¿liwa jest tylko podczas trwania eventu.[n]
zts17218e	Leona
zts17219e	Mo¿esz u¿yæ jej w pirackim rajdzie na statku pirackim w Porcie Alveus.[n]Wymagany poziom: 20-99[n]Minimalna iloœæ graczy: 10[n]Aby zarejestrowaæ rajd, wszyscy uczestnicy musz¹ posiadaæ pirack¹ pieczêæ. Zostanie ona zu¿yta, gdy rozpoczniesz rajd.[n][Instrukcja][n]Musisz byæ liderem grupy rajdowej.[n]Lider rajdu formuje grupê za pomoc¹ przycisku "Dru¿yna".[n]Gdy lider przekroczy portal rajdu, ten zaczyna siê dla wszystkich.[n][Uwaga][n]Przedmiot ten zniknie po zakoñczeniu eventu.[n]
zts17220e	Znak marynarza jest symbolem honoru wszystkich ¿eglarzy.[n]Znika po zakoñczeniu eventu.[n]
zts17221e	Mapa Skarbów O´Penga (event)
zts17222e	Pokazuje drogê do kryjówki, gdzie kapitan Pete O'Penga ukry³ skrzyniê skarbów.[n][Uwaga][n]Przedmiot ten zniknie po zakoñczeniu eventu.[n]
zts17223e	Losowa Skrzynia Boskich Wró¿ek
zts17224e	Losowa skrzynia zawiera boskie wró¿ki oraz inne przedmioty. [n][Dostêpne przedmioty:][n]1x Elkaim (ogieñ)[n]1x Ladine (woda)[n]1x Rumial (œwiat³o)[n]1x Varik (mrok)[n]1x Koszyk Zwierzaka (30 dni)[n]40x Skrzyd³a PrzyjaŸni[n]1x Œredni Specjalny Eliksir[n]1x Amulet Wzmocnienia[n]16x B³ogos³awieñstwo Anio³a Stró¿a[n]1x Karty Tarota[n]10x Wzmacniacz Wró¿ki[n]14x Zapieczêtowany Pojemnik[n]
zts17225e	Skrzynia Pegaza
zts17226e	Skrzynia Pegaza zawiera nastêpuj¹ce przedmioty:[n][Dostêpne przedmioty:][n]1x Pegaz[n]1x Plecak Partnera (30 dni)[n]1x Plecak Poszukiwacza Przygód (30 dni)[n]1x Koszyk Zwierzaka (30 dni)[n]1x Ogromny Magazyn (30 dni)[n]99x Œredni Eliksir Odnowy[n]10x Skrzyd³a PrzyjaŸni[n]99x Ziarno Mocy[n][n]
zts17227e	Amulet ten jest nasi¹kniêty moc¹ bohaterów ognia.[n]U¿ycie jego podwy¿szy twoj¹ odpornoœæ na strach przed smokiem.[n]Wymagany poziom: 75[n][Efekt][n]Otrzymasz 40% odpornoœci na nastêpuj¹cy efekt: [Strach przed Smokiem][n]
