zts1e	Ausruhen
zts1188e	Fernschutz Level 1
zts1189e	Fernschutz Level 2
zts1190e	Fernschutz Level 3
zts1191e	Magieschutz Level 1
zts1192e	Magieschutz Level 2
zts1193e	Magieschutz Level 3
zts1194e	Erhöhte Erholung Level 2
zts1195e	Die Erblindung ist verstärkt, um den Gegner noch schwerer erblinden zu lassen.
zts1196e	Verringert die Bewegungsgeschwindigkeit.
zts1197e	Verringerte Hitrate
zts1198e	Die magische Kraft wird gebündelt, um deinen Gegner einschlafen zu lassen.
zts1199e	Füge dem magischen Strahl das Feuerelement hinzu.
zts1200e	Füge dem magischen Strahl das Wasserelement hinzu.
zts1201e	Erhöht die Angriffskraft.
zts1202e	Maximiert die Angriffskraft des magischen Strahls.
zts1203e	Der Animationseffekt der Magmazone ist aktiv und seine Kraft wird maximiert.
zts1204e	3. Starker Angriff des Fuchses
zts1205e	3. Basisangriff des Wollies
zts1206e	3. Basisangriff des Imps
zts1207e	3. Basisangriff des Jelly
zts1208e	3. Basisangriff von Hamstern
zts1209e	Wasserschutz
zts1210e	Die Erhaltung der Natur wird bewahrt durch das Wasserelement.
zts1211e	Feuerschutz
zts1212e	Die Erhaltung der Natur wird bewahrt durch das Feuerelement.
zts1213e	Der Animationseffekt der Gerechtigkeit des Himmels ist aktiv und seine Kraft wird maximiert.
zts1214e	Verbessern (Angriffskraft)
zts1215e	Maximiert die Fernangriffskraft des Zielschusses.
zts1216e	Teleport der Frosthexe
zts1217e	Angriff des Hüters der Dämonen
zts1218e	Angriff des Hüters der Engel
zts1219e	Eisangriff
zts1220e	Basisangriff der zerrissenen Kutte
zts1221e	Flächenangriff des Nebelriesen
zts1222e	Basisangriff der Teufelsdame
zts1223e	Beschwören der Maulwurfskönigin
zts1224e	Erholung von Mysticaron
zts1225e	Rundumangriff
zts1226e	Rundumangriff 2
zts1227e	Basisangriff des Mandrageistes
zts1228e	Basisangriff des verfluchten Biestes
zts1229e	Leer
zts1230e	Das heilige Licht schwächt alle Gegner ohne Lichtelement.
zts1231e	Das heilige Licht stärkt deine Gruppe.
zts1232e	Liebe
zts1233e	(Alt + Q)
zts1234e	Hi
zts1235e	(Alt + W)
zts1236e	Grinsen
zts1237e	(Alt + E)
zts1238e	Lachen
zts1239e	(Alt + R)
zts1240e	Schüchtern
zts1241e	(Alt + T)
zts1242e	Hehe
zts1243e	(ALT + Y)
zts1244e	Uuups
zts1245e	(Alt + U)
zts1246e	Ahhh
zts1247e	(Alt + I)
zts1248e	Verlegen
zts1249e	(Alt + O)
zts1250e	Sieg
zts1251e	(Alt + P)
zts1252e	Was?
zts1253e	(Alt + A)
zts1254e	Willst du mich auf den Arm nehmen?
zts1255e	(Alt + S)
zts1256e	Bedarf
zts1257e	(Alt + D)
zts1258e	Scham
zts1259e	(Alt + F)
zts1260e	Wütend
zts1261e	(Alt + G)
zts1262e	Ich werde zahlen
zts1263e	(Alt + H)
zts1264e	Hab dich
zts1265e	(Alt + J)
zts1266e	Reflektieren
zts1267e	(Alt + K)
zts1268e	Tränen
zts1269e	(Alt + L)
zts1270e	Weinen
zts1271e	(Alt + Z)
zts1272e	Schluchzer
zts1273e	(Alt + X)
zts1274e	Ausbrennen
zts1275e	(Alt + C)
zts1276e	nervöser Junge
zts1277e	(Alt + V)
zts1278e	nervöses Mädchen
zts1279e	(Alt + B)
zts1280e	Hmmmm
zts1281e	(Alt + N)
zts1282e	Hmmz
zts1283e	(Alt + M)
zts1284e	Langes Gesicht
zts1285e	(Alt + ,)
zts1286e	monster skill
zts1287e	monster skill
zts1288e	monster skill
zts1289e	monster skill
zts1290e	monster skill
zts1291e	monster skill
zts1292e	monster skill
zts1293e	monster skill
zts1294e	monster skill
zts1295e	monster skill
zts1296e	Erlerne das Kochen für die Gruppe
zts1297e	Erhöht die Angriffskraft des Schwertstoßes.
zts1298e	Für eine erhöhte Angriffskraft von dir und deiner Gruppe verringert sich die Menge deiner HP für eine bestimmte Zeit.
zts1299e	Erhöht deine Verteidigungskraft.
zts1300e	Erhöht die Hitrate und die Chance auf kritische Treffer für dich und deine Gruppe.
zts1301e	Erhöht die Angriffskraft des Zaubergeschosses.
zts1302e	Erhöht die Angriffskraft und verstärkt das Feuerelement des explosiven Geschosses.
zts1303e	Feuerelement Level 3 anwenden
zts1304e	Verstärkt den Effekt des Blutfluchs.
zts1305e	Schattenelement Level 3 anwenden
zts1306e	Erhöht die Angriffskraft um 5 Level
zts1307e	Maximiert den Effekt des Falkenauges.
zts1308e	Erschafft noch kältere Eisspitzen als sonst, erhöht die Magieangriffskraft.
zts1309e	Füge der Gerechtigkeit des Himmels das Feuerelement hinzu.
zts1310e	Erzeugt besonders heiße Lava, die die Magieangriffskraft erhöht.
zts1311e	Flächenangriff des dunklen Eremiten
zts1312e	Durch den glänzenden Pfeil, der mit einem Zauber versehen ist, wird ein Blackout beim Gegner verursacht und er erleidet mehr Schaden.
zts1313e	Der Animationseffekt des glänzenden Pfeiles ist aktiv und seine Kraft wird maximiert.
zts1314e	Maximiert die Fernangriffskraft des Zaubergeschosses.
zts1315e	Strahle die Aura des Todes aus, um deine Feinde zu entmutigen und um ihre Bewegungsgeschwindigkeit zu verringern.
zts1316e	Strahle die Aura des Todes aus, um deine Feinde zu entmutigen und um ihre Hitrate zu verringern.
zts1317e	Erhöht die Magieangriffskraft des Feuerbolzens.
zts1318e	Erhöht die Magieangriffskraft des Eisbolzens.
zts1319e	Mit deinem Schwert greifst du wie ein Wirbelsturm an.
zts1320e	Der Skill sammelt all deine Energie, um dein Umfeld mit einem heftigen Schlag zu zerstören.
zts1321e	Erhöht für eine bestimmte Zeit die Chance auf kritische Treffer für dich und deine Gruppe.
zts1322e	Erhöht die Bewegungsgeschwindigkeit von dir und deiner Gruppe für eine bestimmte Zeit.
zts1323e	Für eine gewisse Zeit ist der Schaden erhöht, wenn du einen kritischen Treffer landest.
zts1324e	Erhöht deine Verteidigungskraft und verringert gleichzeitig den erhaltenen Schaden um 30%, wobei deine Mana verbraucht werden.
zts1325e	Verstärkt das Feuerelement und erhöht die Feuerresistenz von dir und deiner Gruppe.
zts1326e	Verringert die Wahrscheinlichkeit, dass du einen kritischen Treffer erhältst.
zts1327e	Das Bewegen der Aura hat Einfluss auf die Umgebung.
zts1328e	Flächenangriff des Mokanjägers
zts1329e	Beschwören von Lace
zts1330e	Explosion Level 2
zts1331e	Frost Level 2
zts1332e	Erhöht den Effekt von Erhaltung der Natur.
zts1333e	Wasserelement Level 3 anwenden
zts1334e	Hmmz
zts1335e	monster skill
zts1336e	Raidliste
zts1337e	monster skill
zts1338e	monster skill
zts1339e	monster skill
zts1340e	monster skill
zts1341e	monster skill
zts1342e	monster skill
zts1343e	monster skill
zts1344e	monster skill
zts1345e	monster skill
zts1346e	monster skill
zts1347e	monster skill
zts1348e	monster skill
zts1349e	monster skill
zts1350e	monster skill
zts1351e	monster skill
zts1352e	monster skill
zts1353e	monster skill
zts1354e	monster skill
zts1355e	monster skill
zts1356e	monster skill
zts1357e	monster skill
zts1358e	monster skill
zts1359e	monster skill
zts1360e	monster skill
zts1361e	monster skill
zts1362e	monster skill
zts1363e	monster skill
zts1364e	monster skill
zts1365e	monster skill
zts1366e	monster skill
zts1367e	monster skill
zts1368e	monster skill
zts1369e	monster skill
zts1370e	monster skill
zts1371e	monster skill
zts1372e	monster skill
zts1373e	monster skill
zts1374e	monster skill
zts1375e	monster skill
zts1376e	monster skill
zts1377e	monster skill
zts1378e	monster skill
zts1379e	monster skill
zts1380e	monster skill
zts1381e	monster skill
zts1382e	monster skill
zts1383e	monster skill
zts1384e	monster skill
zts1385e	monster skill
zts1386e	monster skill
zts1387e	monster skill
zts1388e	monster skill
zts1389e	monster skill
zts1390e	monster skill
zts1391e	monster skill
zts1392e	monster skill
zts1393e	monster skill
zts1394e	monster skill
zts1395e	monster skill
zts1396e	monster skill
zts1397e	monster skill
zts1398e	monster skill
zts1399e	monster skill
zts1400e	monster skill
zts1401e	monster skill
zts1402e	monster skill
zts1403e	monster skill
zts1404e	monster skill
zts1405e	monster skill
zts1406e	monster skill
zts1407e	monster skill
zts1408e	monster skill
zts1409e	monster skill
zts1410e	monster skill
zts1411e	monster skill
zts1412e	monster skill
zts1413e	monster skill
zts1414e	monster skill
zts1415e	monster skill
zts1416e	monster skill
zts1417e	monster skill
zts1418e	monster skill
zts1419e	monster skill
zts1420e	monster skill
zts1421e	monster skill
zts1422e	monster skill
zts1423e	monster skill
zts1424e	monster skill
zts1425e	monster skill
zts1426e	monster skill
zts1427e	monster skill
zts1428e	monster skill
zts1429e	monster skill
zts1430e	monster skill
zts1431e	monster skill
zts1432e	monster skill
zts1433e	monster skill
zts1434e	monster skill
zts1435e	monster skill
zts1436e	monster skill
zts1437e	monster skill
zts1438e	monster skill
zts1439e	monster skill
zts1440e	monster skill
zts1441e	monster skill
zts1442e	monster skill
zts1443e	monster skill
zts1444e	monster skill
zts1445e	monster skill
zts1446e	monster skill
zts1447e	monster skill
zts1448e	monster skill
zts1449e	monster skill
zts1450e	monster skill
zts1451e	monster skill
zts1452e	monster skill
zts1453e	monster skill
zts1454e	monster skill
zts1455e	monster skill
zts1456e	monster skill
zts1457e	monster skill
zts1458e	monster skill
zts1459e	monster skill
zts1460e	monster skill
zts1461e	monster skill
zts1462e	monster skill
zts1463e	monster skill
zts1464e	monster skill
zts1465e	monster skill
zts1466e	monster skill
zts1467e	monster skill
zts1468e	monster skill
zts1469e	monster skill
zts1470e	monster skill
zts1471e	monster skill
zts1472e	monster skill
zts1473e	monster skill
zts1474e	monster skill
zts1475e	monster skill
zts1476e	monster skill
zts1477e	monster skill
zts1478e	monster skill
zts1479e	monster skill
zts1480e	monster skill
zts1481e	monster skill
zts1482e	monster skill
zts1483e	monster skill
zts1484e	monster skill
zts1485e	monster skill
zts1486e	monster skill
zts1487e	monster skill
zts1488e	monster skill
zts1489e	monster skill
zts1490e	monster skill
zts1491e	monster skill
zts1492e	monster skill
zts1493e	monster skill
zts1494e	monster skill
zts1495e	monster skill
zts1496e	monster skill
zts1497e	monster skill
zts1498e	monster skill
zts1499e	monster skill
zts1500e	monster skill
zts1501e	monster skill
zts1502e	monster skill
zts1503e	monster skill
zts1504e	monster skill
zts1505e	monster skill
zts1506e	monster skill
zts1507e	monster skill
zts1508e	monster skill
zts1509e	monster skill
zts1510e	monster skill
zts1511e	monster skill
zts1512e	monster skill
zts1513e	monster skill
zts1514e	monster skill
zts1515e	monster skill
zts1516e	monster skill
zts1517e	monster skill
zts1518e	monster skill
zts1519e	monster skill
zts1520e	monster skill
zts1521e	monster skill
zts1522e	monster skill
zts1523e	monster skill
zts1524e	monster skill
zts1525e	monster skill
zts1526e	monster skill
zts1527e	monster skill
zts1528e	monster skill
zts1529e	monster skill
zts1530e	monster skill
zts1531e	monster skill
zts1532e	monster skill
zts1533e	monster skill
zts1534e	monster skill
zts1535e	monster skill
zts1536e	monster skill
zts1537e	monster skill
zts1538e	monster skill
zts1539e	monster skill
zts1540e	monster skill
zts1541e	monster skill
zts1542e	monster skill
zts1543e	monster skill
zts1544e	monster skill
zts1545e	monster skill
zts1546e	monster skill
zts1547e	monster skill
zts1548e	monster skill
zts1549e	monster skill
zts1550e	monster skill
zts1551e	monster skill
zts1552e	monster skill
zts1553e	monster skill
zts1554e	monster skill
zts1555e	monster skill
zts1556e	monster skill
zts1557e	monster skill
zts1558e	monster skill
zts1559e	monster skill
zts1560e	monster skill
zts1561e	monster skill
zts1562e	monster skill
zts1563e	monster skill
zts1564e	monster skill
zts1565e	monster skill
zts1566e	monster skill
zts1567e	monster skill
zts1568e	monster skill
zts1569e	monster skill
zts1570e	monster skill
zts1571e	monster skill
zts1572e	monster skill
zts1573e	monster skill
zts1574e	Upgrade-Stufe 2
zts1575e	PvP-Spezialisierung Level 2
zts1576e	Erhöht die Fernangriffskraft und den kritischen Schaden des Pfeilregens.
zts1577e	Erhöht die Reichweite.
zts1578e	Angriffskrafterhöhung Level 3
zts1579e	Die Reichweite der Gerechtigkeit des Himmels wird erweitert.
zts1580e	monster skill
zts1581e	monster skill
zts1582e	monster skill
zts1583e	monster skill
zts1584e	monster skill
zts1585e	monster skill
zts1586e	monster skill
zts1587e	monster skill
zts1588e	Kürbisbombe
zts1589e	Jack O'Lanterns Sprung
zts1590e	Jack O'Lanterns Hüpfer
zts1591e	Jack O'Lanterns Beschwörung
zts1592e	Jack O'Lanterns 2. Beschwörung
zts1610e	Lässt einen dichten Nebelschleier aufziehen, der Hitrate und Aufmerksamkeit der Feinde verringert.
zts1611e	Nutze Verstecken während du dich fortbewegst. Trifft dich ein Angriff, wirst du wieder sichtbar.
zts1615e	Das heilige Licht vermindert die Fähigkeiten aller Gegner.
zts1620e	Der erhaltene Schaden wird um 30% verringert, wobei dein Mana verbraucht wird.
zts1622e	NosBasar
zts1623e	Sprung des wütenden Huhnkönigs
zts1624e	Starker Sprung des wütenden Huhnkönigs
zts1635e	Muskete abfeuern
zts1636e	Sturmangriff
zts1637e	Im Rumfass verstecken
zts1638e	Schutz suchen durch Verstecken im Rumfass
zts1639e	Kanonenfeuer
zts1640e	Das Schiff feuert auf den Feind, um dir zu helfen.
zts1641e	Piratentanz
zts1643e	Trinkt Rum, Yo-ho!
zts1645e	Kertos' Segen
zts1646e	Lavafontaine
zts1647e	Sturm des Zorns
zts1648e	Schreien
zts1649e	Sturmangriff
zts1650e	Rage
zts1651e	Ei legen
zts1652e	Spinnennetz weben
zts1653e	Lavaeruption
zts1654e	Starke Lavaeruption
zts1655e	Herbeirufen (Phönix)
zts1656e	Herbeirufen (Ei)
zts1657e	Hinausdrängen
zts1658e	Vorwärts teleportieren
zts1659e	Gigantische Lavaeruption (Boss)
zts1660e	Schild der gleißenden Hitze
zts1673e	Basisattacke
zts1674e	Attacke läuft kreuz und quer.
zts1675e	Doppelschlag
zts1676e	Verteidigung durch den Schild und Gegenattacke mit dem Schwert.
zts1677e	Blitzstoß
zts1678e	Schnelle Stichattacke
zts1679e	Angriff durch Schild
zts1680e	Greifst du den Gegner mit dem Schild an, erhält er den Debuff Knockdown mit einer Wahrscheinlichkeit von 90%.
zts1681e	Jagdhorn
zts1682e	Ansturm auf das feindliche Lager mit starkem Angriff
zts1683e	Verhöhnen
zts1684e	Wenn du einen Feind verhöhnst, der einen Knockdown hat, gerät er in einen enorm gereizten Zustand. Das Ziel erhält somit einen Debuff.
zts1685e	Magische Reflexion
zts1686e	Spiegelt alle Angriffe und leitet die Kraft auf den Schild um. Bei erfolgreicher Verteidigung mit dem Schild erhält der Gegner den ganzen Schaden auf einmal.
zts1687e	Eiserne Rolle
zts1688e	Schleudert die Gegner umher durch den rotierenden Schild. Das Ziel erhält mit einer gewissen Wahrscheinlichkeit einen Knockdown.
zts1689e	Blutwallung
zts1690e	Sich selbst für die Schlacht vorbereiten mit Geschrei und der Begierde nach Blut.
zts1691e	Kriegserklärung
zts1692e	Finale Attacke auf den Gegner richten mit Donnerschlägen.
zts1693e	Vollstreckung
zts1694e	Effektiver Angriff gegen Feinde, die sich in der Ziellinie befinden. Wenn der Gegner erfolgreich vollstreckt wird, tritt der Effekt "Jubel der Menge" ein.
zts1695e	Kanonenschuss
zts1696e	Basisangriff der Artillerie durch Beschuss aus weiter Entfernung. Wird die Explosion verstärkt, so erhöht sich die Angriffskraft leicht.
zts1697e	Zeitversetztes Schießen
zts1698e	Feuert die Kanonenkugeln zeitversetzt aus hohem, mittleren und niedrigem Winkel auf das Ziel und alle Kugeln treffen es auf einen Schlag.
zts1699e	Kanonenschwenk
zts1700e	Die Kanone schwenkt zum Gegner.
zts1701e	Kanonenschlag
zts1702e	Gewaltiger Kanonenschuss auf den Feind
zts1703e	Geschoss mit Zielsuche
zts1704e	Kann auf weite Entfernung abgeschossen werden. Wird die Explosion verstärkt, steigt die Angriffskraft rapide.
zts1705e	Handgranate
zts1706e	Attacke auf alle Feinde im Zielgebiet durch Werfen der Handgranate.
zts1707e	Höllenfeuer
zts1708e	Eine Trägerrakete wird abgeschossen und explodiert über dem Kopf des Gegners. Das Zielgebiet wird in ein Meer aus Flammen getaucht.  Wird die Explosion verstärkt, steigt die Angriffskraft rapide.
zts1709e	Leuchtrakete
zts1710e	Die Leuchtrakete wird über dem Gegner platziert und lässt Brandbomben regnen, sodass das Zielgebiet in Schutt und Asche gelegt wird. Wird die Explosion verstärkt, steigt die Angriffskraft rapide.
zts1711e	Die Rakete reiten
zts1712e	Die Reitrakete fliegt über den Boden, schadet allen Feinden rundherum und teleportiert sich dann zum Startort zurück. Wird die Explosion verstärkt, steigt die Angriffskraft rapide.
zts1713e	Waffenmeister
zts1714e	Maximiert die Leistungen der Waffe.
zts1715e	Ultimative Kanone
zts1716e	Den Gegner in Angst und Schrecken versetzen durch blindes Abfeuern in die Luft. Wird die Explosion verstärkt, steigt die Angriffskraft rapide.
zts1717e	Magmakugel
zts1718e	Schießt eine lodernde Magmakugel ab.
zts1719e	Vulkanausbruch
zts1720e	Das Gebrüll des Vulkans lässt die Erde aufbrechen. Ist der Magier zudem von der Macht des Vulkans beeinflusst, ist das sehr effektiv.
zts1721e	Vulkangas
zts1722e	Der Gegner erhält einen Schaden durch eine hochgiftige Vulkangaswolke. Ist der Magier zudem von der Macht des Vulkans beeinflusst, ist das sehr effektiv.
zts1723e	Magmapanzer
zts1724e	Die Rüstung wird mit einem Magmapanzer bedeckt und sorgt für eine extrem hohe Verteidigungskraft.
zts1725e	Lavawelle
zts1726e	Die Lavawelle schlägt auf den Gegner ein und lässt ihn schnell erstarren.
zts1727e	Macht des Vulkans
zts1728e	Die Macht des Vulkans kann den Gegner mit rasch erhöhter Wahrscheinlichkeit niederschlagen.
zts1729e	Erdbeben
zts1730e	In Verbindung mit dem Gebrüll des Vulkans wird ein Erdbeben um dich herum  erzeugt. Ist der Magier zudem von der Macht des Vulkans beeinflusst, ist das sehr effektiv.
zts1731e	Gebrüll des Vulkans
zts1732e	Das Gebrüll des Vulkans teleportiert dich über den Kopf des Gegners, um einen gezielten Schlag auszuführen. Ist der Magier zudem von der Macht des Vulkans beeinflusst, ist das sehr effektiv.
zts1733e	Lavasumpf
zts1734e	Ein Sumpf aus Lava wird erzeugt und verringert die Angriffskraft des Gegners sowie seine Bewegungsgeschwindigkeit.
zts1735e	Magmaschwert
zts1736e	Ruft ein aus Lava geformtes Schwert herbei, dass das Ziel attackiert.
zts1737e	Sturm aus Asche
zts1738e	Der Sturm aus Asche ist eine starke Attacke mit starkem Wind und Blitzen. Ist der Magier zudem von der Macht des Vulkans beeinflusst, ist das sehr effektiv.
zts1739e	Drachenatem
zts1748e	Ansturm auf das feindliche Lager mit starkem Angriff auf das Ziel und alle Gegner im Zielbereich.
zts1749e	Basisangriff des Bombardements auf weite Entfernung.
zts1750e	Rabiate Axtattacke
zts1751e	Superexakter Wikingerschuss
zts1752e	Stählerner Wikinger
zts1753e	Schmutzpfeil
zts1754e	Unsterblichkeit
zts1755e	Böser Junge
zts1756e	Freyas Frust
zts1757e	Freyas Ansage
zts1758e	Freyas Feuer
zts1762e	Basis-Speerattacke
zts1763e	Die Basisattacke mit dem Speer verpasst dem Gegner links und rechts starke Hiebe.
zts1764e	Geteiltes Meer
zts1765e	Dieser Skill teilt das Meer und den Gegner in zwei Hälften.
zts1766e	Gezielter Stich
zts1767e	Im Speer sammelt sich die geballte Kraft, die gezielt auf den Gegner einbricht.
zts1768e	Kräftiger Wirbelsturm
zts1769e	Durch den Wirbelsturm wird der Gegner regelrecht hinweggefegt.
zts1770e	Sieben Stiche
zts1771e	Der Gegner wird 7-mal rasend schnell attackiert.
zts1772e	Zyklon
zts1773e	Der Zyklon zwingt den Gegenüber in die Knie.
zts1774e	Aufopfern
zts1775e	Der magische Kreis des Aufopferns umschließt einen ausgewählten Mitspieler. Du steckst den Schaden für ihn ein. Verlässt der andere den Bereich, verschwindet der Effekt.
zts1776e	Meditation
zts1777e	Du widmest dich dem Meditieren und setzt dich hin. Der schlechte Effekt verschwindet. Wenn du länger meditierst, schöpft dein Geist neue Kraft. Wirst du aber durch irgendetwas gestört, kannst du an dem Kundalini-Syndrom leiden, was deine körperliche und geistige Energie enorm einschränkt.
zts1778e	Spiralspeer
zts1779e	Mit dem Spiralspeer erreichst du auch ein weiter entferntes Ziel.
zts1780e	Buddhas Worte
zts1781e	Buddhas Worte werden durch einen Talisman hervorgerufen. Hören du und deine Gruppenmitglieder die Worte zum ersten Mal, verschwinden alle schlechten Effekte für 5 Sekunden mit einer Wahrscheinlichkeit von 25%. Bei längerer Anwendung werden MP verbraucht.
zts1782e	Neuanfang
zts1783e	Das Chaos der Welt wird beendet durch einen "Neuanfang".
zts1784e	Drachenharpune
zts1785e	Dieser Skill eignet sich besonders in Kombination mit "sieben Stiche".
zts1786e	Drachenspeer
zts1787e	Der Drachenspeer schickt den Gegner in den Himmel.
zts1788e	Dreizack des Donners
zts1789e	Der Dreizack des Donners ist eine Basisattacke und schießt einen Blitz in Dreizackform ab.
zts1790e	Taifun
zts1791e	Drei Wirbel aus verschiedenen Richtungen vereinen sich zu einem Taifun.
zts1792e	Der große Dreizack
zts1793e	Der große Dreizack erzeugt ein magnetisches Feld.
zts1794e	Segen des Ozeans
zts1795e	Der Segen des Ozeans verleiht deinen Mitspielern eine heilige Aura.
zts1796e	Blitzschlag
zts1797e	Der Blitzschlag verbrennt den Feind und schadet ihm zusätzlich durch einen Donnerschlag.
zts1798e	Fütterungszeit
zts1799e	Lass deinen Hai frei, er hat Hunger. Er schwimmt direkt auf den Gegner zu, auch auf weitere Entfernung, und beißt herzhaft rein.
zts1800e	Riesenstrudel
zts1801e	Der große Strudel kann an einem gezielten Platz erzeugt werden. Die Gegner werden herumgewirbelt und dadurch langsamer.
zts1802e	Das Lied der Sirenen
zts1803e	Das Lied der Sirenen betört die Feinde und sie fallen in einen tiefen Schlaf.
zts1804e	Tsunami
zts1805e	Die Gegner werden von einer Monsterwelle weggespült.
zts1806e	Wasserblase
zts1807e	Mit dieser Fähigkeit kannst du eine Wasserblase erzeugen, die vor den Angriffen der Gegner schützt. Dieser Effekt verschwindet nach einer gewissen Menge von Schaden.
zts1808e	Achtung, Blauwal!
zts1809e	Ein Blauwal fällt vom Himmel auf den Gegner.
zts1810e	Doppelblitz
zts1811e	Der Doppelblitz fügt dem Gegner Verbrennungen zu.
zts1812e	Der elementare Angriff ist eine Basis-Armbrustattacke.
zts1813e	Falke im Sturzflug
zts1814e	Der Falke erhält von dir den Befehl zur Attacke. Dieser Skill aktiviert mit einer gewissen Wahrscheinlichkeit die höchste Stufe des rotierenden Pfeils.
zts1815e	Mobile Falle
zts1816e	Du stellst eine mobile Falle für deine Gegner auf.
zts1817e	Ausspähen
zts1818e	Der Falke startet eine Verfolgungsjagd des von dir ausgewählten Ziels.
zts1819e	Zurückweichen
zts1820e	Greife den Feind an und weiche schnell zurück.
zts1821e	Vitalkraft
zts1822e	Verstärke deine Vitalkräfte durch die Energie des Waldes.
zts1823e	Nebelpfeil
zts1824e	Der Nebelpfeil lässt den Feind in einer Dunstwolke verschwinden und schränkt seine Sicht ein.
zts1825e	Scharfsinn des Falken
zts1826e	Mit dem Scharfsinn des Falken wird der schwächste Gegner entlarvt und attackiert. Danach wird er mit einem Zeichen versehen.
zts1827e	Blitznachladung
zts1828e	Mit dieser Fähigkeit kannst du extrem schnell einen Pfeil nachladen. Somit kannst du auch einen Kombinations-Skill mit hoher Wahrscheinlichkeit schnell aktivieren. Jedoch ist die Blitznachladung nur fünfmal kombinierbar.
zts1829e	Hinterhalt
zts1830e	Du greifst das Ziel aus dem Hinterhalt an.
zts1831e	Heckenschütze
zts1832e	Greife den Gegner aus weiter Entfernung an und verursache kritischen Schaden, indem du zum [Heckenschützen] aus dem [Hinterhalt] wirst.
zts1833e	Rotierender Pfeil – Stufe 1
zts1834e	Du schießt mit der Armbrust einen rotierenden Pfeil ab, der alle Feinde auf gerader Linie durchdringt.
zts1835e	Rotierender Pfeil – Stufe 2
zts1836e	Du schießt mit der Armbrust einen rotierenden Pfeil ab, der alle Feinde auf gerader Linie durchdringt. Nach diesem Skill erhältst du einen Effekt, der dich gut für den [Hinterhalt] vorbereitet.
zts1837e	Rotierender Pfeil – Höchste Stufe
zts1838e	Der rotierende Pfeil auf höchster Stufe ist mit einem Todesstoß gleichzusetzen. Der Gegner wird mit hoher Wahrscheinlichkeit einen kritischen Schaden erhalten.
zts1840e	Spähfalke
zts1841e	In Kombination mit dem Skill [Ausspähen] wird dein Feind durch den Falken verfolgt.
zts1842e	Jagdfalke
zts1843e	In Kombination mit dem Skill [Ausspähen] wird dein Feind von deinem Falken verfolgt und aus der Luft attackiert.
zts1853e	Das Lied der Sirenen betört die Feinde und sie fallen in einen tiefen Schlaf. In einer PvP-Situation ist die Dauer des Effekts halbiert.
zts1854e	Schafsjagd
zts1855e	2. Teilnehmer rufen
zts1856e	Der 2. Teilnehmer wird in die Arena gerufen und du kannst für 30 Sekunden mit ihm zusammen kämpfen.
zts1857e	3. Teilnehmer rufen
zts1858e	Der 3. Teilnehmer wird in die Arena gerufen und du kannst für 30 Sekunden mit ihm zusammen kämpfen.
zts1859e	Ansicht ändern
zts1860e	Ändert die eigene Ansicht zum kämpfenden Teilnehmer. Bei nochmaliger Benutzung switcht die Ansicht zurück.
zts1861e	1. Teilnehmer rufen
zts1862e	Der 1. Teilnehmer wird in die Arena gerufen und du kannst für 30 Sekunden mit ihm zusammen kämpfen
zts1866e	Eichel werfen
zts1867e	Stören
zts1868e	Messerstich
zts1869e	Donnerkeil
zts1870e	Wurfdolch
zts1871e	Flammentanz
zts1872e	Blitzsturm
zts1873e	Lauf der Finsternis
zts1874e	Gezeichnet
zts1875e	Faszination
zts1876e	Macht der Finsternis
zts1877e	Zauberkugel
zts1878e	Schießt eine dunkle Zauberkugel ab.
zts1879e	Wirrwarr
zts1880e	Zerstört den Verstand des Gegners, der in der Phase des Wirrwarrs für eine gewisse Zeit Schaden erhält.
zts1881e	Todeskäfig
zts1882e	Sperrt den Feind in ein dunkles Gefängnis. Der Gegner spürt die Angst und kann keine Aktion ausführen. Fügt ihm Schaden zu, nachdem der Käfig gebrochen ist.
zts1883e	Blinzeln
zts1884e	Teleportiert rasch vorwärts. Kurzer Buff wird angewendet.
zts1885e	Hände des Fluches
zts1886e	Fügt Schaden zu, indem sich die Hände des Fluches auf den Feind legen.
zts1887e	Illusion
zts1888e	Wandelt den Heileffekt des Feindes zum Debuff um. Das schließt auch die Heiltränke mit ein. Die Steuerung des Charakters wird umgekehrt. Versetzt Monster in Angst und Schrecken.
zts1889e	Manaextraktion
zts1890e	Verursacht Schaden und raubt dem Ziel MP mit einer gewissen Wahrscheinlichkeit.
zts1891e	Gedankensog
zts1892e	Wandelt den nächsten erhaltenen Schaden des Feindes in eigene HP um. Wiederhergestellte HP verschwindet nach 10 Sekunden. Wenn alle HP aufgebraucht ist, verbleibt am Ende trotzdem 1 HP und ist somit nicht tödlich.
zts1893e	Klingenwandler
zts1894e	Transformiert die Zauberkugeln zu Klingen, die ununterbrochen abgeschossen werden.
zts1895e	Zeitverlust
zts1896e	Erhöht die Abklingzeit des Gegnerskills. Wenn der Skill gelingt, wird deine eigene Skill-Abklingzeit verringert.
zts1897e	Super-Abrakadabra
zts1898e	Der gigantischste Zauber der verbotenen Magie. Setzt alle magischen Superkräfte frei.
zts1907e	Teleportiert rasch vorwärts. Skill ununterbrochen verwendbar mit einer gewissen Wahrscheinlichkeit.
zts1912e	Teufelsschuss
zts1913e	Greift den Gegner mit der Basisattacke des Dämonenjägers an.
zts1914e	Kugelhagel
zts1915e	Zielt auf den Feind und feuert den Revolver rapide ab.
zts1916e	Wurfklinge
