zts1e	Küçük Tilki
zts4923e	Rudolf'un Ev Hayvaný Eðitmeni
zts4924e	Mühürlenmiþ Yavru Rudolf Çalýkuyruk
zts4925e	Noel Tabelasý
zts4926e	Buz^Çiçeði^(etkinlik^görevi)
zts4927e	Buz Eka (e)
zts4928e	Buz Esa (d)
zts4929e	Uçuk Kris (e)
zts4930e	Uçuk Krisi (d)
zts4931e	"Billy Boneshaker" Bisiklet (e)
zts4932e	"Billy Boneshaker" Bisiklet (k)
zts4933e	"Blazing Blades" Pateni (e)
zts4934e	"Blazing Blades" Pateni (k)
zts4935e	"Doni Darkslide" Kaykay (e)
zts4936e	"Doni Darkslide" Kaykay (k)
zts4938e	Güçlü Ýblis Köpeði Kertos
zts4939e	Hoplayan Jelly
zts4940e	Hoplayan Büyük Jelly
zts4941e	Zýplayan Jelly
zts4942e	Zýplayan Büyük Jelly
zts4943e	Serafim
zts4944e	Esrarengiz Yumurta
zts4945e	Paskalya Çuvalý
zts4946e	Hoplayan Yavru Jelly
zts4947e	Zýplayan Yavru Jelly
zts4948e	Futbol Çalýky. (DE)
zts4949e	Futbol Çalýky. (FR)
zts4950e	Futbol Çalýky. (EN)
zts4951e	Futbol Çalýky. (IT)
zts4952e	Futbol Çalýky. (ES)
zts4953e	Futbol Çalýky. (PL)
zts4954e	Futbol Çalýky. (RU)
zts4955e	Futbol Çalýky. (CZ)
zts4956e	Futbol Çalýky. (TR)
zts4957e	Ulu Büyücü Kan
zts4958e	Lord Drako
zts4959e	Ateþli Akhilleus
zts4960e	Akhilleus'un Golemi
zts4961e	Akhilleus'un Kuru Kafa Okçusu
zts4962e	Akhilleus'un Kurukafa Savaþçýsý
zts4963e	Akhilleus'un Alevi
zts4964e	Roberto Lusso
zts4965e	Ýrene Williams
zts4966e	Nos'tan Harald
zts4967e	Drako'nun Alev Devi
zts4968e	Drako'nun Lav Hayaleti
zts4970e	Minik Kangpen
zts4971e	Leona
zts4972e	Darko
zts4973e	Fibi Buzbuz
zts4974e	Rudi Rabauke
zts4975e	Genç Rudi Rabauke
zts4976e	Aegir'in Ruhu
zts4977e	Freya'nýn Ruhu
zts4978e	Barni'nin Ruhu
zts4979e	Mühürlü Genç Rudi Rabauke
zts4980e	Aþaðýlýk Kocaayak
zts4981e	Kar Perisi, Kar Tanesi
zts4982e	Fluffy Bally
zts4983e	Beyaz Tekboynuz
zts4984e	Beyaz Tekboynuz
zts4985e	Pembe Tekboynuz
zts4986e	Pembe Tekboynuz
zts4987e	Kara Tekboynuz
zts4988e	Kara Tekboynuz
zts4989e	Dev Girdap
zts4990e	Mobil Tuzak
zts4991e	Av Kartalý
zts4992e	Sis Bulutu
zts4993e	Buz Felix
zts4994e	Glacerus'un Enkidusu
zts4995e	Glacerus'un Buz Kurtçuðu
zts4996e	Soðuk Glacerus
zts4998e	Buzlu Ruh Taþý
zts4999e	Zangpo
zts5000e	Falkon
zts5001e	Elisia
zts5002e	Soðuk Böcük
zts5003e	Soðuk Savaþ Askeri
zts5004e	Soðuk Buz Cadýsý
zts5005e	Soðuk Kurt Aslaný
zts5006e	Laraneya
zts5007e	Glacerus'un Buz Mührü
zts5008e	Garnizon Ruhu
zts5009e	Koruma'nýn Ruhu
zts5010e	Okçu'nun Ruhu
zts5011e	Acayip UFO (e)
zts5012e	Acayip UFO (d)
zts5013e	Marco Piliç (e)
zts5014e	Marco Piliç (d)
zts5015e	Mini^Ýnferno
zts5016e	Kývýlcýk
zts5017e	Ateþ Pati
zts5018e	Tei Ken
zts5019e	Victoria
zts5020e	Steve Stuff
zts5021e	Navy Çalýkuyruk
zts5022e	Rüzgar Sörfçüsü (e)
zts5023e	Rüzgar Sörfçüsü (d)
zts5024e	Koleksiyoner Akon
zts5025e	Çalýkuyruk Kralý
zts5026e	Kovboy Çalýkuyruk
zts5028e	Çaðrýlan Karanlýk Klon
zts5031e	Su Çalýkuyruðu
zts5032e	Ateþ Çalýkuyruðu
zts5033e	Mini Pegasus
zts5034e	Çaðrýlan Hiddetli Civciv
zts5035e	Çaðrýlan Yeti
zts5036e	Mini Rudi
zts5037e	Sarý Cip (e)
zts5038e	Sarý Cip (d)
zts5039e	Mavi Cip (e)
zts5040e	Mavi Cip (d)
zts5041e	Kýrmýzý Cip (e)
zts5042e	Kýrmýzý Cip (d)
zts5043e	Çamyeþili Cip (e)
zts5044e	Çamyeþili Cip (d)
zts5045e	Siyah Cip (e)
zts5046e	Siyah Cip (d)
zts5047e	Pembe Cip (e)
zts5048e	Pembe Cip (d)
zts5049e	Ninja Çalýkuyruk
zts5050e	Mini Ninja Çalýkuyruk
zts5051e	Karanlýk Büyücü
zts5052e	Karanlýk Þövalye
zts5053e	Karanlýk Okçu
zts5054e	Siyah Kurt
zts5055e	Caligor
zts5056e	Gizemli Gezgin
zts5057e	Sarakael
zts5058e	Lilith
zts5059e	Kýzýlderili Çalýkuyruk
zts5060e	Tilkicik
zts5061e	Mister Park'ýn Ýlk Oðlu
zts5062e	Mister Parký'ýn Ýkinci Oðlu
zts5063e	Mister Park'ýn Üçüncü Oðlu
zts5064e	Kuduz Tilki
zts5065e	Kuduz Dusi Tilkisi
zts5066e	Viking Çalýkuyruk
zts5067e	Maru
zts5068e	Pirinç Pastasý Sepeti
zts5069e	Ýp
zts5070e	Korkmuþ Kardeþler
zts5071e	Gezgin
zts5072e	Kaplan Hamsteri
zts5073e	Zehirli Kaplan Hamsteri
zts5074e	Sammy Kadifepati
zts5075e	Cadý Laurena
zts5076e	Laurena'nýn Canavarý
zts5077e	Peynir Parçasý
zts5078e	Çim Demeti
zts5079e	Þeytancýk Hongbi
zts5080e	Þeytancýk Cheongbi
zts5081e	Þeytancýk Hongbi Klonu
zts5082e	Þeytancýk Cheongbi Klonu
zts5083e	Su Kabaðý
zts5084e	Hungbu
zts5085e	Nolbu
zts5086e	Yaralý Kýrlangýç
zts5087e	Hungbu'nun Su Kabaðý
zts5088e	Nolbu'nun Su Kabaðý
zts5089e	Saldýrgan Hongbi Klonu
zts5090e	Saldýrgan Cheongbi Klonu
zts5092e	Azabýn Zehirli Bitkisi
zts5093e	Þaþkýn Asker
zts5096e	Sihirlenmiþ Asker
zts5097e	Lola Büyükkulak
zts5098e	Rafael
zts5099e	Lola'nýn Uyku Tavþancýðý
zts5100e	Dev Havuç
zts5101e	Tavþan Maðarasý
zts5102e	Lola'nýn Usta Tavþancýðý
zts5104e	Hugo Kahraman
zts5109e	Oniks Ejderhasýnýn Gölgesi
zts5110e	Rozhanik
zts5111e	Ester
zts5112e	Lazekiel
zts5113e	Zelot
zts5114e	Zenas
zts5115e	2.Birliðin Þövalyesi
zts5116e	Zenas'ýn Koruyucu Þövalyesi
zts5117e	Zenas'ýn Kral Bekçisi
zts5118e	Zenas'ýn Koruyucu Büyücüsü
zts5119e	Zenas'ýn Rahibi
zts5120e	Tallion
zts5121e	Rement
zts5122e	Ismatte
zts5123e	Bacoom
zts5124e	Erenia
zts5125e	Elit Zelot
zts5126e	Erenia'nýn Koruyucu Þövalyesi
zts5127e	Erenia'nýn Kral Bekçisi
zts5128e	Erenia'nýn Koruyucu Büyücüsü
zts5129e	Erenia'nýn Rahibi
zts5130e	Elit Bacoom
zts5131e	6. Birliðin Þövalyesi
zts5132e	Þövalye Kumandaný
zts5133e	Dönüþtürme Rahibi
zts5134e	Bakým Rahibi
zts5135e	Beceri Kitabý Uzmaný
zts5136e	Þövalye Graham
zts5137e	Panuel
zts5138e	Eligoss
zts5139e	Asael
zts5140e	Ramel
zts5141e	Sakiel
zts5142e	Barak
zts5143e	Zepharr
zts5144e	Polneus
zts5145e	2. Birliðin Acemisi
zts5146e	2. Birliðin Rahibi Kelly
zts5147e	2. Birliðin Rahibi Molly
zts5148e	Denetimci Amon
zts5149e	Baþmelek Lucifer
zts5150e	Zenas'ýn Büyü Alaný
zts5151e	Bekçi Taþý
zts5152e	Graham
zts5153e	Ýsimsiz Ruh Kýlýç Savaþçýsý
zts5154e	Ýsimsiz Ruh Okçu
zts5155e	Ýsimsiz Ruh Büyücü
zts5156e	Fernon'un Ruh Kýlýç Savaþçýsý
zts5157e	Fernon'un Ruh Okçusu
zts5158e	Fernon'un Ruh Büyücüsü
zts5159e	Yaralý Kutsal Þövalye
zts5160e	Çýlgýn Kutsal Þövalye
zts5161e	Kandýrýlmýþ Kutsal Þövalye
zts5162e	Ýsimsiz Seçkin Ruh Kýlýç Savaþçýsý
zts5163e	Ýsimsiz Seçkin Ruh Okçu
zts5164e	Ýsimsiz Seçkin Ruh Büyücü
zts5165e	Düþük Rütbeli Seçkin Ruh Savaþçý
zts5166e	Yüksek Rütbeli Seçkin Ruh Savaþçý
zts5167e	Fernon'un Seçkin Ruh Büyücüsü
zts5168e	Tamamlanmamýþ Fernon
zts5169e	Felice Simyacýsý
zts5170e	Libel
zts5171e	Harpago
zts5172e	Kirel
zts5173e	Astaroth
zts5174e	Kutsal Þövalyelerin Uzay Zaman Araþtýrmacýsý
zts5175e	Kerzena
zts5176e	Eldinen
zts5177e	Hava Gemisi Kaptaný
zts5178e	Efsanevi Avcý
zts5179e	Mezar Soyguncusu
zts5180e	Umutlu Graham
zts5181e	Uçurum Graham
zts5182e	Ateþ Graham
zts5183e	Temizleyici Graham
zts5184e	Fernon'un Küçük Meteoru
zts5185e	Fernon'un Büyük Meteoru
zts5186e	Fernon'un Gri Býçaðý
zts5187e	Fernon'un Siyah Býçaðý
zts5188e	Kýrýk Kremin Sol Býçaðý
zts5189e	Kýrýk Kremin Sol Býçaðý
zts5190e	Korkak Leo
zts5191e	Tanrýça Zenas Heykeli
zts5192e	Tanrýça Erenia heykeli
zts5193e	Tapýnak Yeri Sunaðý
zts5194e	Frigg
zts5195e	Ragnar
zts5196e	Açgözlü Fafnir
zts5197e	Erdimiyen
zts5198e	Utegarda
zts5199e	Gözcü
zts5200e	Fafnir'in Köpek Diþi
zts5201e	Fafnir'in Küçük Diþi
zts5202e	Fafnir'in Kýrýk Köpek Diþi
zts5203e	Fafnir'in Kýrýk Küçük Diþi
zts5206e	Çöl Haydutlarýnýn Yüzbaþýsý
zts5207e	Hýrsýzlýk Çetesi Üyesi
zts5208e	Seçkin Hýrsýzý
zts5213e	Yertirand
zts5214e	Jennifer
zts5215e	Çöl Örümceði
zts5216e	Vahþi Kum Devi
zts5217e	Vahþi Kum Cücesi
zts5218e	Susamýþ Hayalet
zts5219e	Çöl Gece Gölgesi
zts5220e	Vahþi Çöl Kumu Basiliski
zts5221e	Vahþi Çöl Wiggleri
zts5222e	Çöl Hayaleti
zts5223e	En Yaþlý Got
zts5224e	Got Kýzý
zts5225e	Korsan Kaptaný
zts5226e	Gezgin Çöl Simyacýsý
zts5227e	Çöldeki Silah Dükkaný
zts5228e	Nöbetçi
zts5229e	Levazým Subayý
zts5230e	Korsan Kralý Pussifer
zts5231e	Amiral Kartalgöz
zts5232e	Bozulmuþ Yertirand
zts5233e	Kemik Ejderha
zts5234e	Yaþayan Ölü
zts5235e	Ölümsüzler
zts5236e	Kurukafa Kýlýç Savaþçýsý
zts5237e	Yürüyen Ölü
zts5238e	Iþýk Darbesi
zts5239e	Karanlýk Iþýk Darbesi
zts5240e	Tuhaf Yertirand
zts5241e	Tatildeki Asker
zts5242e	Satýcý
zts5243e	Arka Bahçe Simyacýsý
zts5244e	Gezgin Simyacý
zts5245e	Kemik Savaþçý Ragnar
zts5246e	Büyülü Kemik Ejderha (erkek karakterler için)
zts5247e	Büyülü Kemik Ejderha (kadýn karakterler için)
zts5248e	Mýrmýr Bey
zts5249e	Þeytan Adayý Týrnaklý
zts5250e	Çýlgýn Dr. Maunz
zts5251e	Dr. Maunz
zts5252e	Öfkeli beyaz cadý Laurena
zts5253e	Çýlgýn Dr. Maunz'un bilmece sandýðý.
zts5254e	Katakombun stok sandýðý
zts5255e	Katakombun parlak stok sandýðý
zts5256e	Çýlgýn Dr. Maunz
zts5257e	Cuarry Bankasý çalýþaný
zts5258e	Çevik Hýrsýz Tavþancýk
zts5259e	Büyülü Jaguar (e)
zts5260e	Büyülü Jaguar (d)
zts5261e	Teçhizat Yardýmcýsý
zts5263e	Hayalet Gelin^Buhmiau
zts5264e	Hayalet Damat^Buhmiau
zts5265e	Ejderha yumruðu
zts5266e	Mekanipisi
zts5267e	Minik Ateþ Þeytan
zts5268e	Kara Kanatlý Ýmp
zts5269e	Kýrmýzý burunlu ren geyiði
zts5270e	Lotus çiçeði
zts5271e	Büyülü kýzak (e)
zts5272e	Büyülü kýzak (d)
zts5273e	Kýrmýzý burunlu ren geyikli kýzak (e)
zts5274e	Kýrmýzý burunlu ren geyikli kýzak (k)
zts5275e	Mistik Sanatlar
zts5276e	Mistik Sanatlar (gizlenmiþ)
zts5277e	Kutup^Ayýsý^Týs
zts5278e	Amora
zts5279e	Düþen^Subay^Chris
zts5280e	Kanatsýz^Amora
zts5281e	Þüpheli^Ruh^Kýlýç^Savaþçýsý
zts5282e	Þans Çalýkuyruðu
zts5283e	Süper Þans Çalýkuyruðu
zts5284e	Sarý^Kuzu
zts5285e	Sarý^Koyun
zts5286e	Altýn^Bulutu
zts5287e	Çýlgýn^Paskalya^Tavþaný
zts5288e	Çýlgýn^Yumurta^Bombasý
zts5289e	Yumurtacýk^Bombasý
zts5290e	Çürük^Yumurta^Bombasý
zts5291e	Genç^kýrmýzý^kurt
zts5292e	Kýrmýzý^kurt
zts5293e	Yaþlý^kýrmýzý^kurt
zts5294e	Usta^kurt
zts5295e	Büyülü Eþek Piñata (e)
zts5296e	Büyülü Eþek Piñata (d)
zts5297e	Gökkuþaðý^Pegasusu
zts5298e	Küçük^Buz^Cadýsý
zts5299e	Su samuru
zts5300e	Savaþçý^Ýblisin^Hayaleti
zts5301e	Gök^Taþý^(Cins^1)
zts5302e	Gök^Taþý^(Cins^2)
zts5303e	Buzlanmýþ^Gök^Taþý
zts5304e	Su Adam
zts5305e	Siren
zts5306e	Baykuþ Ayý
zts5307e	Pikanya
zts5308e	Patates Goblini
zts5309e	Çýðýrtkan^Yarasa^Kurdu
zts5310e	Ölümsüz
zts5311e	Gulyabani
zts5312e	Ýskelet^Asker
zts5313e	Çürük^Goblin
zts5314e	Çürük^Karanlýk^Elf
zts5315e	Hayalet^Bekçi
zts5316e	Orman^Hayaleti
zts5317e	Yosun^Muhallebisi
zts5318e	Yosun^Perisi
zts5319e	Kaya^Golemi
zts5320e	Ýblisimsi^Canavar
zts5321e	Satiros
zts5322e	Kanatlý^Satiros
zts5323e	Kýzýl^Gözlü^Akrep
zts5324e	Çürümüþ^Mumya
zts5325e	Salgýn^Trolü
zts5326e	Savaþçý^Trol
zts5327e	Gölge Büyücüsü
zts5328e	Belial^Büyücüsü
zts5329e	Belial^Cadýsý
zts5330e	Belial^Gölge^Þövalyesi
zts5331e	Ahlaksýz^Hayaletler^Kral^Kirollas
zts5332e	Ahlaksýz^Canavarlar^Kralý^Carno
zts5333e	Ýblislerin^Tanrýsý^Belial
zts5334e	Reis^Toffel
zts5335e	Kraliyet^Ork^Bekçisi
zts5336e	Kraliyet^Ork^Suikastçisi
zts5337e	Kraliyet^Ork^Okçusu
zts5338e	Kraliyet^Ork^Kýlýç^Savaþçýsý
zts5339e	Kraliyet^Ork^Büyücüsü
zts5340e	Ateþ^Dikilitaþý
zts5341e	Terör^Dikilitaþý
zts5342e	Ahlaksýz^Canavarlar^Kralý^Carno^(hareketsiz)
zts5343e	Canavarlar^Kralý^Carno^Avatarý
zts5344e	Hayeletler^Kralý^Kirollas^Avatarý
zts5345e	Büyük^Su^Adam
zts5346e	Iþýk^Dikilitaþý
zts5347e	Taita
zts5348e	Datius
zts5349e	Cottari
zts5350e	Asgot
zts5351e	Bekçi^Ork
zts5352e	Diþi^Bekçi^Ork
zts5353e	Lipaga
zts5354e	Tatika
zts5355e	Tatlý^Elma
zts5356e	Kayalýk^Dutu^Salkýmý
zts5357e	Ýlkel^Sunak
zts5358e	Tahta^Parçasý
zts5359e	Hayaletler^Kralýnýn^Sunaðý
zts5360e	Balýkçýnýn^Balýk^Sandýðý
zts5361e	Balina^Kuklasý
zts5362e	Tuhaf^Taþ^Heykel
zts5363e	Tuhaf^Fümeleme^Kabý
zts5364e	Kötünün^Ýþareti
zts5365e	Öfkenin^Ýþareti
zts5366e	Hýrsýn^Ýþareti
zts5367e	Silah^Depolama^Sandýðý
zts5368e	Bozuk^Olta
zts5369e	Bozuk^Araba
zts5370e	Logtas'ýn^Ceseti
zts5371e	Proga
zts5372e	Perkichan
zts5373e	Ýtura
zts5374e	Taritus
zts5375e	Rigtas
zts5376e	Logtas'ýn^Karýsý
zts5377e	Kantrok
zts5378e	Kujantrok
zts5379e	Martas
zts5380e	Churigo
zts5381e	Liatiz
zts5382e	Thrull
zts5383e	Vatandaþ^Ork
zts5384e	Diþi^Vatandaþ^Ork
zts5385e	Çiftçi^Ork
zts5386e	Diþi^Çiftçi^Ork
zts5387e	Logota
zts5388e	Kaçýrýlmýþ^Ork
zts5389e	Kaçýrýlmýþ^Diþi^Ork
zts5390e	Stajyer^Bekçi
zts5391e	Stajyer^Diþi^Bekçi
zts5392e	Tulito
zts5393e	Rocha
zts5394e	Yaralý^Bekçi^Ork
zts5395e	Yaralý^Diþi^Bekçi^Ork
zts5396e	Tüccar^Ben
zts5397e	Define^Avcýsý^Orus
zts5398e	Define^Avcýsý^Ýrus
zts5399e	Lisuka
zts5400e	Karanlýk^Elf^Savaþçýsý
zts5401e	Hayaletler^Kralýnýn^Bekçisi
zts5402e	Ejderhanýn^Ýblis^Canavarý
zts5403e	Canavarlar^Kralýnýn^Baykuþ^Ayýsý
zts5404e	Küçük^Su^Adam
zts5405e	Çýlgýn^Baykuþ^Ayý
zts5406e	Büyük^Kýzýl^Gözlü^Akrep
zts5407e	Hayaletler^Kralýnýn^Elçisi
zts5408e	Dengesiz^Golem
zts5409e	Evcil^Pikanya
zts5410e	Gölge^Þövalye^Yüzbaþýsý
zts5415e	Tatlý^elma^aðacý
zts5416e	Hasarlý^Golem
zts5417e	Yozlaþmýþ^Ork^Reisi
zts5418e	Belial'in^Usta^Cadýsý
zts5419e	Belial'in^Kraliçe^Cadýsý
zts5420e	Belial'in^Zýrhlý^Þövalyesi
zts5421e	Yozlaþmýþ^Mýzrak^Taþýyýcýsý^Ork
zts5422e	Yozlaþmýþ^Okçu^Ork
zts5423e	Yozlaþmýþ^Savaþçý^Ork
zts5424e	Yozlaþmýþ^Suikastçi^Ork
zts5425e	Yozlaþmýþ^Büyücü^Ork
zts5426e	Evcil^Pikanya
zts5427e	Irukur
zts5428e	Yeni Yýl Boðasý Çalýkuyruk
zts5429e	Farecik^Vik
zts5430e	Samuray Evcil Hayvan Eðitmeni
zts5431e	Çalýkuyruk Korkuluðu
zts5432e	Kaplumbikopter (e)
zts5433e	Kaplumbikopter (d)
zts5434e	Buz Kurdu
zts5435e	Ayaz Kurdu
zts5436e	Kar Fýrtýnasý Kurdu
zts5437e	Örkeli^Goblin
zts5439e	Ýblis^Golem
zts5440e	Yozlaþmýþ^Baykuþ^Ayýsý
zts5441e	Öfkeli^Mantis
zts5442e	Yozlaþmýþ^Zombi^Aðacý
zts5446e	Cehennem^Ateþi^Golemi
zts5447e	Öfkeli^Kum^Devi
zts5448e	Þeytani^Ýmhacý
zts5449e	Öfkeli^Ateþ^Devi
zts5452e	Yozlaþmýþ^Troll^Savaþçýsý
zts5461e	Paimon'un^Þövalyesi
zts5462e	Paimon'un^Öncü^Yüzbaþýsý
zts5464e	Kokan^Mumya
zts5467e	Öfkeli^Karanlýk^Elf
zts5469e	Cehennem^Ateþi^Kelle^Okçusu
zts5470e	Yozlaþmýþ^Bekçi
zts5471e	Yozlaþmýþ^Siren
zts5473e	Yozlaþmýþ^Melek^Büyücüsü
zts5474e	Yozlaþmýþ^Gölge^Büyücüsü
zts5475e	Paimon'un^Keskin^Niþancýsý
zts5476e	Paimon'un^Büyücüsü
zts5478e	Paimon'un^Cadýlar^Kraliçesi
zts5479e	Dev^Koyu^Jelly
zts5480e	Yozlaþmýþ^Buz^Kurdu
zts5481e	Uçurum^Yengeçler^Kralý
zts5482e	Alev^Þeytancýðý
zts5484e	Alevler^Satirosu
zts5485e	Þeytani^Kule^Delicisi
zts5486e	Seçkin^Gölge^Þövalyesi
zts5487e	Canavarlar^Kralýnýn^Klonu
zts5488e	Kýrmýzý^Ýblis^Kurdu
zts5489e	Öfkeli^Yeti
zts5490e	Ölümsüz^Yeti
zts5491e	Mavi^Ýblis^Kurdu
zts5493e	Mühürlü^Rozhanik
zts5494e	Mühürlü^Ester
zts5495e	Mühürlü^Lazekiel
zts5496e	Mühürlü^Zelot
zts5497e	Paimon'un^Satiri
zts5498e	Paimon'un^Berserkeri
zts5500e	Yozlaþmýþ^Canavarlar^Kralýnýn^Gölgesi
zts5503e	Yüzbaþý^Haydut
zts5504e	Hayaletler^Kralýnýn^Avatarý
zts5505e	Iþýk^Totemi
zts5506e	Gök^Kulesi^Orman^Hayaleti
zts5507e	Canavarlar^Kralýnýn^Avatarý
zts5508e	Gök^Kulesi^Baykuþ^Ayýsý
zts5509e	Gök^Kulesi^Yosun^Muhallebisi
zts5510e	Cehennem^Mantosu
zts5511e	Adi^Haydut
zts5512e	Kum^Devi^Bekçisi
zts5513e	Ýðne^Bekçisi
zts5514e	Zayýf^Ýskelet
zts5515e	Nekroman
zts5516e	Mumya^Çaðýrýcý
zts5517e	Paimon'un^Sihir^Çýraðý
zts5518e	Patlayýcý^Yosun^Muhallebisi
zts5519e	Goblin^Kelle^Avcýsý
zts5520e	Gök^Kulesi^Ölümsüzü
zts5521e	Acýmasýz^Cehennem^Canavarý
zts5522e	Ölüm^Þövalyesi
zts5523e	Öfkeli^Ork^Okçusu
zts5524e	Geliþtirilmiþ^Satir
zts5525e	Çürümüþ^Gulyabani
zts5526e	Usta^Büyücü
zts5527e	Öfkeli^Orman^Hayaleti
zts5528e	Usta^Nekroman
zts5529e	Bomba^Kurdu^Çaðýrýcý
zts5530e	Þeytani^Satir
zts5531e	Küçük^Bomba^Mumyasý
zts5532e	Kule Delici Bomba Mumyasý
zts5533e	Yosun^Hayaleti^Suikastçisi
zts5534e	Canavar^Çaðýrýcý
zts5535e	Kule^Delici^Gölge^Okçusu
zts5536e	Þeytani^Kaya^Golemi
zts5537e	Ýmhacý^Hayalet
zts5538e	Paimon'un^Suikastçisi
zts5539e	Geliþtirilmiþ^Yeti
zts5540e	Yozlaþmýþ^Orman^Hayaleti
zts5541e	Harakiri^Kurdu
zts5542e	Durmayan^Kum^Hayaleti
zts5543e	Durmayan^Dev^Kum^Hayaleti
zts5544e	Yozlaþmýþ^Okçu^Melek
zts5545e	Ýblisimsi^Canavar
zts5546e	Paimon'un^Cehennem^Canavarý
zts5547e	Mühürlü^Bekçi
zts5548e	Mühürlü^Mistikaron
zts5549e	Mühürlü^Gizemli^Þövalye
zts5550e	Mühürlü^Baþ^Melek
zts5551e	Paimon'un^Kanatlý^Satirosu
zts5552e	Mana^Tiryakisi
zts5553e	Paimon'un^Ordu^Lideri
zts5554e	Çýlgýn^Þövalye
zts5555e	Paimon'un^Meteoru
zts5556e	Yozlaþmýþ^Hayaletler^Kralýnýn^Gölgesi
zts5557e	Belial'in^Gölgesi
zts5558e	Mýzraklý ölüm
zts5559e	Öfkeli^Pegasus
zts5560e	Cehennemin^Keskin^Dikenleri
zts5561e	Hayaletler^Kralýnýn^Ýllüzyonu
zts5562e	Canavarlar^Kralýnýn^Ýllüzyonu
zts5563e	Paimon'un^Ýskelet^Askeri
zts5564e	Cehennem^Basiliki
zts5565e	Cehennem^Yýrtýcýsý
zts5566e	Adi^Avcý
zts5567e	Kum^Fýrtýnasý^Bekçisi
zts5568e	Kötülüðün^Efendisi^Paimon
zts5569e	Gök^Kulesi^Karanlýk^Elfi
zts5570e	Paimon'un^Uçan^Ateþ^Þeytaný
zts5571e	Paimon'un^Glacerusu
zts5572e	Paimon'un^Kara^Castrasý
zts5573e	Yozlaþmýþ^Baþ^Melek
zts5574e	Gök^Çatlaðý
zts5575e	El^yapýmý^bomba
zts5576e	Geliþtirilmiþ^Seçkin^Gölge^Þövalyesi
zts5577e	Seçkin^Gölge^Þövalyesi^Lideri
zts5578e	Pasta^Muhallebisi
zts5579e	Altýn^Pasta^Muhallebisi
zts5580e	Þövalye Geko
zts5581e	Su^Adam^Cadýsý^Arku
zts5582e	Kötü^Ýmp
zts5583e	Küçük^Kötü^Ýmp
zts5584e	Kötü^Satiros
zts5585e	Kanatlý^Kötü^Satiros
zts5586e	Dev^Satiros
zts5587e	Arku'nun^Çamurlu^Golemi
zts5588e	Arku'nun^Ýskeleti
zts5589e	Balýkçý^Walter
zts5590e	Balýkçý^Winni
zts5591e	Arku'nun^Gulyabanisi
zts5592e	Arku'nun^Kurukafa^Okçusu
zts5593e	Rodeo Boðasý (e)
zts5594e	Rodeo Boðasý (d)
zts5595e	Büyülü Baykuþ
zts5596e	Gölge Hamsteri
zts5597e	Gece Hamsteri
zts5598e	Kemirgen Gazabý
zts5599e	Þef^Aþçý^Terry
zts5600e	Dev^Marul
zts5601e	Dev^Domates
zts5602e	Dev^Soðan
zts5603e	Dev^Mango
zts5604e	Korkunç^Þeytancýk
zts5605e	Yarasatilki
zts5606e	Ruh^Örümceði
zts5607e	Ayý^Kapaný
zts5608e	Alev^Leoparý
zts5609e	Güneþ^Kurdu
zts5610e	Alev^Druidi'nin^Hayaleti
zts5611e	Vudu^Rahibi'nin^Hayaleti
zts5612e	"Þelale^Balta^Savaþçýsý"nýn^Hayaleti
zts5613e	Güneþ^Avcýsý'nýn^Hayaleti
zts5614e	Alev^Druidi'nin^Ruhu
zts5615e	Vudu^Rahibi'nin^Ruhu
zts5616e	"Þelale^Balta^Savaþçýsý"nýn^Ruhu
zts5617e	Güneþ^Avcýsý'nýn^Ruhu
zts5618e	Dinlenen^Paimon
zts5619e	Vudu^Rahibi'nin^Hayaleti
zts5620e	"Þelale^Balta^Savaþçýsý"nýn^Hayaleti
zts5621e	Ruh^Örümceði
zts5622e	Dirilmiþ^Paimon
zts5623e	Belial'in^Gölgesi^(zayýf)
zts5624e	Güneþ^Kurdu'nun^Hayaleti
zts5625e	Güneþ^Kurdu'nun^Ruhu
zts5626e	Alev^Druidi'nin^Ruhu
zts5627e	Güneþ^Avcýsý'nýn^Ruhu
zts5628e	Güneþ^Kurdu'nun^Ruhu
zts5629e	Yavrudino^Velutzi
zts5630e	Uysal^Kraliçe^Arý
zts5631e	14.^Yýl^Dönümü^Kangurusu^(e)
zts5632e	14.^Yýl^Dönümü^Kangurusu^(k)
zts5633e	14.^Yýl^Dönümünün^Kanguru^Boksörü^(e)
zts5634e	14.^Yýl^Dönümünün^Kanguru^Boksörü^(k)
zts5635e	Sis^Ejderhasý^Ýnfazcýsý
zts5636e	Lanetli^Mezar^Soyguncusu
zts5637e	Gök^Yuvasý^Portalý
zts5638e	Ejderha^Kristali
zts5639e	Ejderha^Nefesi
zts5640e	Buz^Ejderhasý^Alzanor
zts5641e	Drakonlu^Bekçi
zts5642e	Drakonlu
zts5643e	Yavru^Ejderha^Arýsý
zts5644e	Ain
zts5645e	Belediye^Baþkaný^Sezar
zts5646e	Yüzbaþý^Enrico
zts5647e	Levazým^Subayý^Marto
zts5648e	Baþkan^Alesio
zts5649e	Çiftlik^Sahibesi^Emily
zts5650e	Nakliye^Denetimcisi^Pavio
zts5651e	Kayýp^Acemi
zts5652e	Drakonlu^Simyacý
zts5653e	Drakov^Askeri
zts5654e	Ejderha^Arýsý
zts5655e	Kötü^Ejderha^Arýsý
zts5656e	Griffin
zts5657e	Gölge^Griffini
zts5658e	Küçük^Mavi^Ejderha
zts5659e	Mavi^Ejderha
