zts1e	Riposo
zts1303e	Equipaggiamento dell'Elemento Fuoco liv. 3
zts1304e	Rafforza l'effetto dell'alleanza di sangue.
zts1305e	Equipaggiamento dell'Elemento Oscurità liv. 3
zts1306e	Aumenta la forza di attacco liv. 5
zts1307e	Massimizza l'effetto dell'Occhio di Falco.
zts1308e	Crea un trapano del ghiaccio più freddo del solito, aumenta la forza di attacco magico.
zts1309e	Aggiungi alla Giustizia del cielo l'Elemento Fuoco.
zts1310e	Crea una Lava più bollente del solito, aumenta la forza di attacco magico.
zts1311e	Serie di attacchi dell'Eremita Oscuro
zts1312e	Freccia luccicante munita di un incantesimo che consente di causare all'avversario danni aggiuntivi e di provocargli un blackout.
zts1313e	L'effetto di animazione della freccia luccicante aumenta e la sua forza viene massimizzata.
zts1314e	Massimizza la forza di attacco a distanza del Proiettile Magico.
zts1315e	Irradia l'Aura della Morte, potrai così scoraggiare i tuoi compagni e ridurre la loro velocità di corsa.
zts1316e	Diffondi l'aura della morte per scoraggiare i tuoi nemici e ridurre il loro HitRate.
zts1317e	Aumenta la forza di attacco magico del dardo di fuoco.
zts1318e	Aumenta la forza di attacco magico del dardo di ghiaccio.
zts1319e	Sarai in grado di attaccare come un uragano con la tua spada.
zts1320e	L'abilità raccoglie tutta la tua energia per distruggere con un colpo violento l'area che ti circonda.
zts1321e	Aumenta per un certo lasso di tempo la probabilità di sferrare colpi critici (per te e per il tuo gruppo).
zts1322e	Aumenta la tua velocità di corsa e quella del tuo gruppo.
zts1323e	Aumenta per un certo lasso di tempo i danni nel caso in cui tu riesca a mettere a segno un colpo critico.
zts1324e	Aumenta la tua forza di difesa e allo stesso tempo riduce del 30% il danno subito, consumando una certa quantità del tuo Mana.
zts1325e	Aumenta, per te e per il tuo gruppo, l'Elemento Fuoco e le Resistenze del Fuoco.
zts1326e	Riduce la probabilità di subire un colpo critico.
zts1327e	Il movimento dell'Aura ha degli effetti sull'area circostante.
zts1328e	Serie di attacchi del Cacciatore Mokan
zts1329e	Evocazione di Lace
zts1330e	Esplosione liv.2
zts1331e	Gelo liv.2
zts1332e	Aumenta l'effetto della Protezione della Natura.
zts1333e	Equipaggiamento dell'Elemento Acqua liv.3
zts1334e	Bleh
zts1335e	monster skill
zts1336e	Elenco Raid
zts1337e	monster skill
zts1338e	monster skill
zts1339e	monster skill
zts1340e	monster skill
zts1341e	monster skill
zts1342e	monster skill
zts1343e	monster skill
zts1344e	monster skill
zts1345e	monster skill
zts1346e	monster skill
zts1347e	monster skill
zts1348e	monster skill
zts1349e	monster skill
zts1350e	monster skill
zts1351e	monster skill
zts1352e	monster skill
zts1353e	monster skill
zts1354e	monster skill
zts1355e	monster skill
zts1356e	monster skill
zts1357e	monster skill
zts1358e	monster skill
zts1359e	monster skill
zts1360e	monster skill
zts1361e	monster skill
zts1362e	monster skill
zts1363e	monster skill
zts1364e	monster skill
zts1365e	monster skill
zts1366e	monster skill
zts1367e	monster skill
zts1368e	monster skill
zts1369e	monster skill
zts1370e	monster skill
zts1371e	monster skill
zts1372e	monster skill
zts1373e	monster skill
zts1374e	monster skill
zts1375e	monster skill
zts1376e	monster skill
zts1377e	monster skill
zts1378e	monster skill
zts1379e	monster skill
zts1380e	monster skill
zts1381e	monster skill
zts1382e	monster skill
zts1383e	monster skill
zts1384e	monster skill
zts1385e	monster skill
zts1386e	monster skill
zts1387e	monster skill
zts1388e	monster skill
zts1389e	monster skill
zts1390e	monster skill
zts1391e	monster skill
zts1392e	monster skill
zts1393e	monster skill
zts1394e	monster skill
zts1395e	monster skill
zts1396e	monster skill
zts1397e	monster skill
zts1398e	monster skill
zts1399e	monster skill
zts1400e	monster skill
zts1401e	monster skill
zts1402e	monster skill
zts1403e	monster skill
zts1404e	monster skill
zts1405e	monster skill
zts1406e	monster skill
zts1407e	monster skill
zts1408e	monster skill
zts1409e	monster skill
zts1410e	monster skill
zts1411e	monster skill
zts1412e	monster skill
zts1413e	monster skill
zts1414e	monster skill
zts1415e	monster skill
zts1416e	monster skill
zts1417e	monster skill
zts1418e	monster skill
zts1419e	monster skill
zts1420e	monster skill
zts1421e	monster skill
zts1422e	monster skill
zts1423e	monster skill
zts1424e	monster skill
zts1425e	monster skill
zts1426e	monster skill
zts1427e	monster skill
zts1428e	monster skill
zts1429e	monster skill
zts1430e	monster skill
zts1431e	monster skill
zts1432e	monster skill
zts1433e	monster skill
zts1434e	monster skill
zts1435e	monster skill
zts1436e	monster skill
zts1437e	monster skill
zts1438e	monster skill
zts1439e	monster skill
zts1440e	monster skill
zts1441e	monster skill
zts1442e	monster skill
zts1443e	monster skill
zts1444e	monster skill
zts1445e	monster skill
zts1446e	monster skill
zts1447e	monster skill
zts1448e	monster skill
zts1449e	monster skill
zts1450e	monster skill
zts1451e	monster skill
zts1452e	monster skill
zts1453e	monster skill
zts1454e	monster skill
zts1455e	monster skill
zts1456e	monster skill
zts1457e	monster skill
zts1458e	monster skill
zts1459e	monster skill
zts1460e	monster skill
zts1461e	monster skill
zts1462e	monster skill
zts1463e	monster skill
zts1464e	monster skill
zts1465e	monster skill
zts1466e	monster skill
zts1467e	monster skill
zts1468e	monster skill
zts1469e	monster skill
zts1470e	monster skill
zts1471e	monster skill
zts1472e	monster skill
zts1473e	monster skill
zts1474e	monster skill
zts1475e	monster skill
zts1476e	monster skill
zts1477e	monster skill
zts1478e	monster skill
zts1479e	monster skill
zts1480e	monster skill
zts1481e	monster skill
zts1482e	monster skill
zts1483e	monster skill
zts1484e	monster skill
zts1485e	monster skill
zts1486e	monster skill
zts1487e	monster skill
zts1488e	monster skill
zts1489e	monster skill
zts1490e	monster skill
zts1491e	monster skill
zts1492e	monster skill
zts1493e	monster skill
zts1494e	monster skill
zts1495e	monster skill
zts1496e	monster skill
zts1497e	monster skill
zts1498e	monster skill
zts1499e	monster skill
zts1500e	monster skill
zts1501e	monster skill
zts1502e	monster skill
zts1503e	monster skill
zts1504e	monster skill
zts1505e	monster skill
zts1506e	monster skill
zts1507e	monster skill
zts1508e	monster skill
zts1509e	monster skill
zts1510e	monster skill
zts1511e	monster skill
zts1512e	monster skill
zts1513e	monster skill
zts1514e	monster skill
zts1515e	monster skill
zts1516e	monster skill
zts1517e	monster skill
zts1518e	monster skill
zts1519e	monster skill
zts1520e	monster skill
zts1521e	monster skill
zts1522e	monster skill
zts1523e	monster skill
zts1524e	monster skill
zts1525e	monster skill
zts1526e	monster skill
zts1527e	monster skill
zts1528e	monster skill
zts1529e	monster skill
zts1530e	monster skill
zts1531e	monster skill
zts1532e	monster skill
zts1533e	monster skill
zts1534e	monster skill
zts1535e	monster skill
zts1536e	monster skill
zts1537e	monster skill
zts1538e	monster skill
zts1539e	monster skill
zts1540e	monster skill
zts1541e	monster skill
zts1542e	monster skill
zts1543e	monster skill
zts1544e	monster skill
zts1545e	monster skill
zts1546e	monster skill
zts1547e	monster skill
zts1548e	monster skill
zts1549e	monster skill
zts1550e	monster skill
zts1551e	monster skill
zts1552e	monster skill
zts1553e	monster skill
zts1554e	monster skill
zts1555e	monster skill
zts1556e	monster skill
zts1557e	monster skill
zts1558e	monster skill
zts1559e	monster skill
zts1560e	monster skill
zts1561e	monster skill
zts1562e	monster skill
zts1563e	monster skill
zts1564e	monster skill
zts1565e	monster skill
zts1566e	monster skill
zts1567e	monster skill
zts1568e	monster skill
zts1569e	monster skill
zts1570e	monster skill
zts1571e	monster skill
zts1572e	monster skill
zts1573e	monster skill
zts1574e	Livello di upgrade 2
zts1575e	Specializzazione PvP Livello 2
zts1576e	Il tuo raggio d'azione e il tuo danno critico sono stati aumentati per gli attacchi aerei.
zts1577e	Espansione del raggio d'azione
zts1578e	Miglioramento Livello 3
zts1579e	Il raggio d'azione del Giudice Celestiale viene ampliato.
zts1580e	monster skill
zts1581e	monster skill
zts1582e	monster skill
zts1583e	monster skill
zts1584e	monster skill
zts1585e	monster skill
zts1586e	monster skill
zts1587e	monster skill
zts1588e	Bomba Zucca
zts1589e	Jack O´Lantern (Salto)
zts1590e	Jack O´Lantern (Mezzo Salto)
zts1591e	Jack O´Lantern (Incantesimo)
zts1592e	Jack O´Lantern (Incantesimo 2)
zts1610e	Solleva uno spesso velo di nebbia che riduce l'HitRate e l'attenzione dei nemici.
zts1611e	Utilizza Invisibilità mentre ti sposti. Se subisci un attacco, torni ad essere visibile.
zts1615e	La Luce santa diminuisce l'abilità di tutti gli avversari.
zts1620e	I danni ricevuti si riducono del 30%. Il mana viene, però, consumato.
zts1622e	NosBazar
zts1623e	Salto del Re Gallo rabbioso
zts1624e	Salto notevole del Re Gallo rabbioso
zts1635e	accendi un moschetto
zts1636e	Attacco di tempesta
zts1637e	nasconditi nel barile di rum
zts1638e	Cerca riparo nel barile di rum
zts1639e	Fuoco di cannoni
zts1640e	La nave fa fuoco sul tuo nemico per aiutarti.
zts1641e	Ballo del Pirata
zts1643e	Bevete del buon rum, yo-ho!
zts1645e	Benedizione di Kertos
zts1646e	Fontana di Lava
zts1647e	Tempesta della Collera
zts1649e	Attacco Tempestoso
zts1650e	Rabbia
zts1651e	Deposita uovo
zts1652e	Tessi ragnatela
zts1653e	Eruzione Lavica
zts1654e	Eruzione Lavica Forte
zts1655e	Evocazione (Fenice)
zts1656e	Evocazione (Uovo)
zts1657e	Espelli
zts1658e	Teletrasporto in avanti
zts1659e	Eruzione Lavica Gigante (Boss)
zts1660e	Scudo del calore splendente
zts1673e	Attacco base
zts1674e	L'attacco viene eseguito in modo disordinato.
zts1675e	Colpo doppio
zts1676e	Difesa tramite scudo e contrattacco con la spada.
zts1677e	Colpo lampo
zts1678e	Veloce attacco trafiggente
zts1679e	Attacco con lo scudo
zts1680e	Attacca il tuo avversario con lo scudo e lui riceverà con una probabilità del 90% il debuff del knock down.
zts1681e	Corno per la caccia
zts1682e	Assalto all'accampamento nemico con un forte attacco
zts1683e	Beffa
zts1684e	Se deridi un nemico che ha avuto un knock down, questo si troverà in un enorme Stato di rabbia. L'obiettivo otterrà in questo modo un debuff.
zts1685e	Riflessione magica
zts1686e	Riflette tutti gli attacchi e devia la forza sullo scudo. Grazie allo scudo la difesa sarà coronata da successo e l'avversario subirà il danno tutto in una volta.
zts1687e	Rotolo di ferro
zts1688e	Scaraventa i tuoi avversari attraverso lo Scudo rotante. L'obiettivo otterrà con una certa sicurezza un knock- down.
zts1689e	Ribollire del sangue
zts1690e	Prepararsi alla battaglia con grida e brama di sangue.
zts1691e	Dichiarazione di guerra
zts1692e	Attacco finale al nemico sferrato con fulmini.
zts1693e	Esecuzione
zts1694e	Attacco d'effetto contro i nemici che si trovano sulla traiettoria. Quando l'avversario sarà stato sconfitto completamente subentra l'effetto "Tripudio della folla".
zts1695e	Sparo di cannone
zts1696e	Attacco base di artiglieria attraverso un bombardamento da grossa distanza. La forza d'attacco aumenta leggermente, se l'esplosione viene rinforzata.
zts1697e	Sparo ritardato
zts1698e	La palla di cannone spara a scoppio ritardato ad angolo alto, medio e basso sull'obiettivo e tutte le palle colpiscono in un colpo solo.
zts1699e	Raffica di colpi di cannone
zts1700e	Il cannone è diretto contro l'avversario.
zts1701e	Colpo di cannone
zts1702e	Un pesante colpo di cannone sull'avversario.
zts1703e	Sparo con obiettivo
zts1704e	Può essere colpito da una grossa distanza. La forza d'attacco aumenta rapidamente, se l'esplosione viene rinforzata.
zts1705e	Granata
zts1706e	Attacco su tutti i nemici nell'area bersaglio attraverso il lancio di bombe a mano.
zts1707e	Fuoco infernale
zts1708e	Viene lanciato un razzo che esplode sulla testa dell'avversario. L'area bersaglio è immersa in un mare di fiamme. La forza d'attacco aumenta rapidamente, se l'esplosione viene rinforzata.
zts1709e	Bengala
zts1710e	Un bengala viene collocato sull'avversario e scatena una pioggia di bombe incendiarie, l'area bersaglio è ridotta in cenere. La forza d'attacco aumenta rapidamente, se l'esplosione viene rinforzata.
zts1711e	Cavalcare il razzo
zts1712e	Il razzo cavalcabile sorvola il territorio danneggiando tutti i nemici, successivamente si teletrasporta al punto di partenza. La forza d'attacco aumenta rapidamente, se l'esplosione viene rinforzata.
zts1713e	Maestro delle armi
zts1714e	Potenzia le prestazioni dell'arma.
zts1715e	Cannone estremo
zts1716e	Spaventa l'avversario attraverso uno sparare in aria all'impazzata. La forza d'attacco aumenta rapidamente, se l'esplosione viene rinforzata.
zts1717e	Palla di magma
zts1718e	Spara una fiammeggiante palla di magma.
zts1719e	Eruzione vulcanica
zts1720e	Il boato del vulcano spacca la terra. Se il mago, inoltre, è influenzato dal potere del vulcano, l'attacco sarà molto efficace.
zts1721e	Gas vulcanico
zts1722e	L'avversario subisce un danno attraverso una nube vulcanica altamente velenosa. Se il mago, inoltre, è influenzato dal potere del vulcano, l'attacco sarà molto efficace.
zts1723e	Corazza di magma
zts1724e	La corazza viene ricoperta da magma e procura una forza di difesa molto alta.
zts1725e	Onda di lava
zts1726e	L'onda di lava avvolge l'avversario e lo pietrifica.
zts1727e	Potenza del vulcano
zts1728e	La potenza del vulcano può travolgere l'avversario con una probabilità in rapido aumento.
zts1729e	Terremoto
zts1730e	In relazione al boato del vulcano si sviluppa un terremoto. Se il mago, inoltre, è influenzato dal potere del vulcano, l'attacco sarà molto efficace.
zts1731e	Ruggito del vulcano
zts1732e	Il boato del vulcano ti teletrasporta al di sopra della testa del tuo avversario permettendoti di sferrare un attacco mirato. Se il mago è influenzato dal potere del vulcano, significa che questo è molto efficace.
zts1733e	Palude di lava
zts1734e	Una palude di lava viene creata e riduce sia la forza d'attacco dell'avversario che la sua forza di movimento.
zts1735e	Spada di magma
zts1736e	Evoca una spada fatta di lava che attacca l'obiettivo.
zts1737e	Tempesta di cenere
zts1738e	La tempesta di cenere è un potente attacco caratterizzato da forte vento e fulmini. Se il mago, inoltre, è influenzato dal potere del vulcano, l'attacco sarà molto efficace.
zts1739e	Soffio di drago
zts1748e	Un assalto all'accampamento nemico con un forte attacco all'obiettivo e tutti gli avversari nell'area bersaglio.
zts1749e	Attacco base del bombardamento a lunga distanza.
zts1750e	Attacco rabbioso con l'ascia
zts1751e	Tiro ultrapreciso da vichingo
zts1752e	Vichingo d'acciaio
zts1753e	Freccia di sporcizia
zts1754e	Immortalità
zts1755e	Cattivo ragazzo
zts1756e	Frustrazione di Freya
zts1757e	Annuncio di Freya
zts1758e	Fuoco di Freya
zts1762e	Attacco lancia base
zts1763e	L'Attacco base con la lancia sferra forti colpi all'avversario a destra e a sinistra.
zts1764e	Divisione mare
zts1765e	Questa skill consente di dividere il mare e il nemico in due metà.
zts1766e	Colpo mirato
zts1767e	Nella lancia si concentra tutta la forza, che si scaglia mirata contro il nemico.
zts1768e	Tempesta di vortici forte
zts1769e	Attraverso la Tempesta di vortici il tuo avversario verrà spazzato via.
zts1770e	Sette colpi
zts1771e	L'avversario viene attaccato sette volte in maniera molto veloce.
zts1772e	Ciclone
zts1773e	Il Ciclone mette il tuo avversario in ginocchio.
zts1774e	Sacrificio
zts1775e	Il cerchio magico del Sacrificio racchiude un compagno di gioco a scelta. Ricevi il danno per lui. Se la persona lascia l'area, l'effetto sparisce.
zts1776e	Meditazione
zts1777e	Ti dedichi alla meditazione e ti metti a sedere. L'effetto negativo sparisce. Se mediti a lungo lo spirito crea nuovi poteri. Qualora fossi disturbato da qualcosa potresti essere colpito dalla Sindrome di Kundalini che riduce le energie fisiche e mentali.
zts1778e	Lancia a spirale
zts1779e	Con la Lancia a spirale raggiungi anche obiettivi molto lontani.
zts1780e	Le parole di Budda
zts1781e	Le parole di Budda possono essere evocate attraverso un talismano. Se tu e i tuoi compagni sentite le parole per la prima volta tutti gli effetti negativi spariscono per 5 secondi con una probabilità del 25%. Con un uso prolungato sarà necessario l'MP.
zts1782e	Nuovo inizio
zts1783e	Il caos del mondo sarà interrotto attraverso un "Nuovo inizio".
zts1784e	Arpione di drago
zts1785e	Questa skill è molto efficace in combinazione con la skill "Sette colpi".
zts1786e	Lancia di drago
zts1787e	La Lancia di drago manda il tuo avversario in cielo.
zts1788e	Tridente del tuono
zts1789e	Il Tridente del tuono è un attacco base e lancia un fulmine a forma di tridente.
zts1790e	Mega tempesta
zts1791e	Tre vortici provenienti da diverse direzioni si uniscono e formano un tifone.
zts1792e	Il Tridente grande
zts1793e	Il Tridente grande crea un campo magnetico.
zts1794e	Benedizione dell'oceano
zts1795e	La Benedizione dell'oceano dona al tuo compagno un'aura sacra.
zts1796e	Saetta
zts1797e	La Saetta brucia il nemico e lo danneggia ulteriormente con un tuono.
zts1798e	Tempo di pappa
zts1799e	Lascia libero il tuo squalo, ha fame. Va in direzione dei tuoi avversari, anche di quelli lontani, e morde in modo energico.
zts1800e	Vortice gigante
zts1801e	Il Vortice gigante può essere creato in un luogo mirato. Gli avversari vengono catturati dal vortice e per questo rallentati.
zts1802e	Il Canto delle sirene
zts1803e	Il Canto delle sirene incanta i nemici a tal punto da farli cadere in un sonno profondo.
zts1804e	Tsunami
zts1805e	Gli avversari vengono spazzati via da un'onda mostro.
zts1806e	Bolla d'acqua
zts1807e	Con questa abilità puoi produrre una Bolla d'acqua in grado di proteggerti dagli attacchi degli avversari. Questo effetto sparisce dopo avere subito una certa quantità di danni.
zts1808e	Attenzione, Balena azzurra!
zts1809e	Una Balena azzurra cade dal cielo sull'avversario.
zts1810e	Doppio fulmine
zts1811e	Il Doppio fulmine causa bruciature sull'avversario.
zts1812e	L'attacco fondamentale è un attacco base con Balestra.
zts1813e	Falco in volo in picchiata
zts1814e	Il Falco riceve da te l'ordine di attaccare. Questa skill attiva con una grossa probabilità il livello più alto della freccia roteante.
zts1815e	Trappola mobile
zts1816e	Piazzi una Trappola mobile per il tuo avversario.
zts1817e	Spia
zts1818e	Il Falco inizia la sua caccia da un obiettivo scelto da te.
zts1819e	Ritirati
zts1820e	Attacca il nemico e ritirati velocemente.
zts1821e	Forza vitale
zts1822e	Rinforza la tua Forza vitale attraverso l'energia del bosco.
zts1823e	Nuvola di vapore
zts1824e	La Nuvola di vapore avvolge il tuo nemico in una nuvola di polvere e limita la sua vista.
zts1825e	Astuzia del falco
zts1826e	Attraverso l'Astuzia del falco, viene identificato il nemico più debole e attaccato. Successivamente viene marchiato con un segno.
zts1827e	Ricarica fulmine
zts1828e	Con questa skill puoi caricare velocemente una freccia. In questo modo potrai attivare velocemente una combinazione di skill con alta probabilità. La Ricarica fulmine può essere combinata solo cinque volte.
zts1829e	Appostamento
zts1830e	Attacchi il tuo obiettivo dall'appostamento.
zts1831e	Tiratore
zts1832e	Attacca l'avversario da lunga distanza e causa il danno critico diventando [Tiratore] dall'[appostamento]
zts1833e	Freccia roteante - livello 1
zts1834e	Spari con la balestra una Freccia roteante, che penetra tutti i nemici in una linea retta.
zts1835e	Freccia roteante - livello 2
zts1836e	Spari con la balestra una Freccia roteante, che penetra tutti i nemici in una linea retta. Dopo aver utilizzato questa skill ricevi un effetto che ti prepara come si deve all'[appostamento].
zts1837e	Freccia roteante - livello più alto
zts1838e	La Freccia roteante sul livello più alto è equiparabile a un colpo mortale. L'avversario riceve con un'alta probabilità un danno critico.
zts1840e	Falco spia
zts1841e	In combinazione con questa skill [spia] il tuo nemico sarà inseguito dal falco.
zts1842e	Falco da caccia
zts1843e	In combinazione con questa skill [spia] il tuo nemico sarà inseguito dal falco e attaccato dall'alto.
zts1853e	Il Canto delle sirene incanta i nemici a tal punto da farli cadere in un sonno profondo. Nelle battaglie PvP la durata dell'effetto è dimezzata.
zts1854e	Caccia alla pecora
zts1855e	Chiama il partecipante n° 2
zts1856e	Il 2° partecipante sarà chiamato nell'Arena e avrai la possibilità di combattere con lui per 30 secondi.
zts1857e	Chiama il partecipante n° 3
zts1858e	Il 3° partecipante sarà chiamato nell'Arena e avrai la possibilità di combattere con lui per 30 secondi.
zts1859e	Cambia visuale
zts1860e	Modifica la visuale soggettiva e adotta quella del partecipante che combatte. Dovessi usarla di nuovo, la visuale tornerà alla modalità precedente.
zts1861e	Chiama il partecipante n° 1
zts1862e	Il 1° partecipante sarà chiamato nell'Arena e avrai la possibilità di combattere con lui per 30 secondi.
zts1866e	Tira ghiande
zts1867e	Disturba
zts1868e	Puntura di coltello
zts1869e	Saetta
zts1870e	Pugnale da lancio
zts1871e	Danza delle fiamme
zts1872e	Tempesta lampo
zts1873e	Corsa dell'oscurità
zts1874e	Segnato
zts1875e	Fascino
zts1876e	Potere dell'oscurità
zts1877e	Sfera magica
zts1878e	Spara una sfera magica scura.
zts1879e	Pandemonio
zts1880e	Distruggi il cervello dell'avversario che riceverà un danno per un certo lasso di tempo durante la fase del pandemonio.
zts1881e	Gabbia della morte
zts1882e	Chiudi il tuo nemico in una buia prigione. L'avversario sentirà la paura e non sarà capace di condurre nessuna azione. Aggiungi il danno una volta che la gabbia è rotta.
zts1883e	Socchiudi gli occhi
zts1884e	Teletrasportati velocemente in avanti, verrà utilizzato un breve buff.
zts1885e	Mani della maledizione
zts1886e	Aggiunge danno poggiando le Mani della maledizione sul nemico.
zts1887e	Illusione
zts1888e	Trasforma l'effetto per il recupero del nemico in debuff, incluse le pozioni per il recupero. Il controllo del personaggio sarà invertito. Diffonde il terrore tra i mostri.
zts1889e	Estrazione di mana
zts1890e	Provoca danno e sottrae con una certa probabilità MP all'obiettivo.
zts1891e	Vortice di pensieri
zts1892e	Trasforma il successivo danno ricevuto del nemico in HP propri. Gli HP rigenerati spariscono in 10 secondi. Quando gli HP sono esauriti, resta comunque un HP e di conseguenza non è mortale.
zts1893e	Trasformatore del suono
zts1894e	Trasforma le Sfere magiche in lame, che possono essere lanciate ininterrottamente.
zts1895e	Tempo perso
zts1896e	Aumenta il tempo di ricarica delle abilità del nemico. Se l'abilità riesce, il tuo tempo di ricarica dell'abilità diminuirà.
zts1897e	Abracadabra super
zts1898e	L'incantesimo gigante della magia proibita. Sprigiona tutti i super poteri magici.
zts1907e	Teletrasportati velocemente in avanti. L'abilità potrà essere usata ininterrottamente con una certa probabilità.
zts1912e	Colpo del diavolo
zts1913e	Attacca il tuo avversario usando l'Attacco base del cacciatore di demoni.
zts1914e	Pioggia di proiettili
zts1915e	Mira al tuo nemico e scarica velocemente il tuo revolver.
zts1916e	Lama da lancio
zts1917e	Abilita all'uso di un attacco spinta dopo aver tirato.
zts1918e	Brivido dello Spirito della vendetta
zts1919e	Spara lo Spirito della vendetta in cielo. Provoca danni su tutto e tutti nell'area bersaglio.
zts1920e	Pendolo dello Spirito della vendetta 1
zts1921e	Anticipa e attacca. Può essere utilizzata fino a un massimo di 3 volte.
zts1922e	Assalto dello Spirito della vendetta
zts1923e	Mette le munizioni con spiriti assettati di vendetta e le spara sul nemico. Provoca un grosso danno e colpisce pesantemente l'obiettivo.
zts1924e	Spirito della rabbia
zts1925e	Diventa più potente qualora non subisca un danno.
zts1926e	Evocazione degli spiriti
zts1927e	Spara munizioni in linea retta, evoca spiriti e attacca il nemico.
zts1928e	Esplosione dello spirito
zts1929e	Sprigiona potenti spiriti. Stordisce il nemico per un breve lasso di tempo.
zts1930e	Posseduto
zts1931e	Lo spirito del nemico è posseduto. Provoca danno per un breve lasso di tempo. L'effetto si trasferisce al nemico che si trova nelle vicinanze quando l'effetto sarà esaurito.
zts1932e	Lama delle anime
zts1933e	Evoca la Lama delle anime e attacca con maggiore Raggio d'attacco. Provoca uno stato di shock nel nemico.
zts1934e	Pendolo dello Spirito della vendetta
zts1935e	Pendolo dello Spirito della vendetta 3
zts1936e	Pendolo dell'ombra della luna
zts1937e	L'ombra attacca il nemico mentre attraversa la strada.
zts1938e	Falce del mietitore
zts1939e	Attacca il nemico con una falce enorme.
zts1940e	Sventratore
zts1941e	Taglia a pezzi il nemico con l'affilata lama della falce.
zts1942e	Succhiatore di sangue
zts1943e	Tutti quelli che si trovano nelle vicinanze verranno fatti a pezzi e da essi verrà assorbita una certa quantità di HP.
zts1944e	La morte è vicina
zts1945e	Si muove verso il nemico e colpisce con breve Raggio d'attacco.
zts1946e	Predatore di anime
zts1947e	Spinge via i nemici che si trovano davanti e dietro e li rallenta.
zts1948e	Corazza ultimativa
zts1949e	La Corazza ultimativa aumenta la difesa e la probabilità di aiutare a fronteggiare il movimento forzato. Questo effetto sparisce dopo avere subito una certa quantità di danni.
zts1950e	Acchiappaspiriti
zts1951e	Trascina i nemici nel Raggio d'attacco dei personaggi. Entra con l'effetto [Assorbimento dello spirito] con una certa probabilità.
zts1952e	Falce della morte
zts1953e	Getta la falce sul nemico lasciando un [Segno di morte].
zts1954e	Oscurità della morte
zts1955e	Infligge ai nemici l'[Oscurità della morte]in lungo Raggio d'attacco e con una certa probabilità. Provoca ulteriore danno ai nemici con l'effetto [Segno di morte]. Diffonde il terrore tra i mostri.
zts1956e	Trasformatore del tempo
zts1957e	Riduce il tempo di ricarica di un'abilità del 20%. Quando viene utilizzato l'[Assorbimento dello spirito] il tempo di ricarica delle abilità si riduce dell'80%. Lo spirito sparirà.
zts1958e	Scissione dello spirito
zts1959e	Salta in alto e attacca il nemico dalla posizione raggiunta. Provoca danno solo su un nemico. Provoca ulteriore danno agli avversari attraverso l'effetto [Segno di morte]. Il [Segno di morte] dell'avversario e il tuo effetto [Tempo infinito] spariranno.
zts1970e	Rinchiude il nemico in una gabbia d'acciaio. Provoca danno quando la gabbia si rompe.
zts1971e	Provoca danno mettendo le Mani della maledizione sul nemico.
zts1972e	Rende oste l'obiettivo e diffonde lo spirito tra i nemici che si trovano nei dintorni.
zts1973e	Riduce il tempo di ricarica di un'abilità del 10%. Se si utilizza l'[Assorbimento dello spirito] il tempo di ricarica dell'abilità si riduce dell'80%. Lo spirito sparirà.
zts1979e	Dolce e maliziosa
zts1980e	Nove code!
zts1981e	Ululato acuto
zts1986e	Haiya!
zts1987e	Trottola
zts1988e	Dominio della tigre
zts1989e	Cinesi della spada
zts1990e	Utilizza l'energia ottenuta con la cinesi per l'attacco con la spada.
zts1991e	Lancio unico
zts1992e	Attacca il nemico lanciando una spada.
zts1993e	Esplosivo
zts1994e	La spada raggiunge il nemico ed esplode.
zts1995e	Raggio della spada
zts1996e	Riflette la luce della lama, abbaglia il nemico e infligge un effetto negativo con ulteriori danni.
zts1997e	Spillo dell'ombra
zts1998e	L'obiettivo e la sua ombra vengono fissati per impedire loro di muoversi.
zts1999e	Zona di attacco
zts2000e	La spada è a terra e attacca continuamente i nemici.
zts2001e	Rompigambe
zts2002e	Rallenta l'obiettivo, sparandogli una spada nella gamba.
zts2003e	Lanciaspada
zts2004e	Attacco con il lancio di molte spade.
zts2005e	Lama devastante
zts2006e	La lama è lanciata verso l'obiettivo, causando una forte esplosione e il sanguinamento del nemico.
zts2007e	Spada-terremoto
zts2008e	Evoca una spada gigante che attacca a terra.
zts2009e	9 lame
zts2010e	Evoca nove lame che vengono lanciate contro l'obiettivo.
zts2024e	Piccola danza dei demoni
zts2025e	Clone del demone
zts2026e	Cappello del demone
zts2027e	Giudizio della Luce
zts2028e	Marchio della Luce
zts2029e	In nome di Dio
zts2030e	Pittura con spada
zts2031e	Attacca l'avversario con tutta l'energia della spada.
zts2032e	Recisione in volo
zts2033e	Lancia la spada e infligge dei danni molteplici.
zts2034e	Affondo esplosivo
zts2035e	La via della spada è anche la via dell'esplosione.
zts2036e	Spada direzionale
zts2037e	La spada sfrutta il potere della luce e infligge dei danni all'avversario.
zts2038e	Vincolo dell'ombra
zts2039e	Lega l'avversario sfruttando l'ombra.
zts2040e	Lama di fulmine
zts2041e	Infilza la spada al suolo ed infligge dei danni tutt'attorno.
zts2042e	Recisione in corsa
zts2043e	Provoca una ferita nella parte inferiore del corpo dell'avversario e ne rallenta così i movimenti.
zts2044e	Catene d'incanto
zts2045e	Assorbe la forza della spada.
zts2046e	Meteora terebrante
zts2047e	Lancia la spada contro l'avversario e produce una detonazione tramite un esplosione di luce.
zts2048e	Spada divina
