zts1e	Тренировка новых искателей приключений
zts1469e	Тебе удалось собрать все фрагменты письма. Отнеси их представителю Семии!
zts1470e	Расправься с остророгами песков пустыни в Затерянной пустыне!
zts1471e	Ступай к Велмону, который сейчас находится в Зоне Хаоса!
zts1472e	Уничтожь богомолов песков духа на Окраине Хаоса!
zts1473e	Тебе удалось расправиться с богомолами песков духа. Сообщи об этом Велмону.
zts1474e	Расспроси Ксавьера о письме разбойников пустыни.
zts1475e	Возвращайся к Велмону!
zts1476e	Отнеси это письмо Велмону!
zts1477e	Расправься с василисками песков духа на окраине Хаоса!
zts1478e	Тебе удалось расправиться со всеми василисками песков духа. Сообщи об этом Велмону!
zts1479e	Отправляйся к представителю Рушалдину в лагерь разбойников!
zts1480e	Расправься с ассасинами-перевозчиками Шорана в окрестностях!
zts1481e	С ассасинами-перевозчиками Шорана покончено. Сообщи об этом Рушалдину.
zts1482e	Найди Камиля, который находится в плену во дворике разбойников!
zts1483e	Расправься с ассасинами-конвоирами и бомбардировщиками-конвоирами Шорана во дворике разбойников.
zts1484e	Тебе удалось расправиться с отрядами Шорана. Сообщи об этом Камилю!
zts1485e	Сразись с командирами Шорана и Шея в центре разбойников!
zts1486e	Ты расправился с командирами. Сообщи об этом Камилю!
zts1487e	Отнеси Велмону печать разбойников пустыни!
zts1488e	Отнеси Ксавьеру печать разбойников пустыни!
zts1489e	Сразись со скорпионами песков духа и ящерами песков пустыни в Затерянной пустыне и на Окраине хаоса!
zts1490e	Все монстры уничтожены. Сообщи об этом Велмону!
zts1491e	Расправься с ассасинами патруля Керуса на окраине лагеря Керуса!
zts1492e	Тебе удалось расправиться с патрулем. Сообщи об этом Велмону!
zts1493e	Уничтожь командира Керуса и его элитных самураев в лагере Керуса.
zts1494e	Тебе удалось расправиться со всеми монстрами. Сообщи об этом Велмону!
zts1495e	Расправься с разведчиком патруля Гартона на пути к храму!
zts1496e	Патруль уничтожен. Сообщи об этом Велмону!
zts1497e	Расправься с командиром Гартоном и элитными ассасинами в лагере Гартона.
zts1498e	Отнеси дневник путешественника Камилю!
zts1499e	Отыщи кожаную сумку эльфов во дворе разбойников!
zts1500e	Сумка найдена. Отнеси ее Камилю!
zts1501e	Отыщи в лагере разбойников сундуки, в которых находится прах эльфов!
zts1502e	Тебе удалось собрать все три вида праха эльфов. Отнеси их Камилю!
zts1503e	Расправься с отрядами конвоиров во дворике разбойников и с отрядами стражей в храме Астера!
zts1504e	Подозрительные сумки собраны. Отнеси их Камилю!
zts1505e	Отнеси представителю Рушалдину собранные доказательства!
zts1506e	Отнеси доказательства Велмону в Зону Хаоса!
zts1507e	Отнеси письмо представителя Рушалдина Ксавьеру!
zts1508e	Расправься с патрульными ассасинами Шорана и охотниками Шорана в лагере разбойников!
zts1509e	Тебе удалось расправиться с отрядами Шорана. Сообщи об этом Камилю!
zts1510e	Расправься с патрульными самураями Шея и бомбардировщиками Шея в лагере разбойников!
zts1511e	Тебе удалось расправиться с отрядами Шея. Сообщи об этом Камилю!
zts1512e	Расправься с самураями-перевозчиками Шорана и бомбардировщиками Шорана в лагере разбойников!
zts1513e	Осмотри медицинский пузырек в лагере разбойников!
zts1514e	Медицинский пузырек найден. Отнеси его Камилю!
zts1515e	Дай противоядие отдыхающим разбойникам, находящимся в лагере разбойников!
zts1516e	Лекарство сработало. Сообщи об этом Камилю!
zts1517e	Доставь сообщение представителю Рушалдину в лагерь разбойников!
zts1518e	Отнеси письмо Велмону!
zts1519e	Передай письмо Ксавьеру!
zts1520e	Отнеси медицинский пузырек Камилю!
zts1521e	Отнеси медицинский пузырек представителю Рушалдину!
zts1522e	Отнеси Велмону медицинский пузырек и письмо!
zts1523e	Отнеси медицинский пузырек Ксавьеру!
zts1524e	Отнеси медицинский пузырек высшему жрецу Эладину!
zts1525e	Отправляйся к представителю Семии в штаб Акамура!
zts1526e	Найди сундуки торговцев Акамура в лагерях Керуса и Гартона!
zts1527e	Тебе удалось собрать эссенции. Отнеси их высшему жрецу Эладину!
zts1528e	Отнеси противоядие представителю Рушалдину в лагерь разбойников!
zts1529e	Дай противоядие спящим перевозчикам, находящимся в лагере разбойников!
zts1530e	Противоядие сработало. Сообщи об этом представителю Рушалдину!
zts1531e	Дай противоядие спящим перевозчикам, находящимся в лагере разбойников!
zts1532e	Дай противоядие мертвым перевозчикам, находящимся в лагере разбойников!
zts1533e	Доставь письмо представителя Рушалдина Камилю в дворик разбойников.
zts1534e	Отнеси Велмону список разбойников пустыни!
zts1535e	Отнеси список разбойников пустыни Ксавьеру!
zts1536e	Расправься с командирами четырех лагерей и собери их списки приказов!
zts1537e	Тебе удалось собрать списки приказов. Отнеси их Камилю!
zts1538e	Расправься со всеми командирами в храме Астера и собери списки приказов!
zts1539e	Тебе удалось собрать списки приказов. Отнеси их Камилю!
zts1540e	Передай представителю Рушалдину информацию от Камиля!
zts1541e	Поговори с Велмоном в Зоне Хаоса!
zts1542e	Поговори с Ксавьером!
zts1543e	Верни потерянные товары, которые находятся с лагерях Керуса, Гартона, лагере разбойников и в центре разбойников!
zts1544e	Тебе удалось собрать товары. Отнеси их Полу в город Орлов!
zts1545e	Расправься с разбойниками в лагере Керуса, Гартона, лагере разбойников, во дворике разбойников, и верни украденные товары!
zts1546e	Тебе удалось собрать товары. Доставь их Делмону Майлоу в город Орлов!
zts1547e	Отыщи не найденный до сих пор сундук в Зоне Хаоса!
zts1548e	Поговори с Велмоном о сундуке!
zts1549e	Расправься со стрелками-перевозчиками Шорана и бомбардировщиками-перевозчиками Шорана в лагере разбойников!
zts1550e	Посоветуйся с Камилем!
zts1551e	Расправься с командиром Шораном и отнеси будильник Делмону Майлоу!
zts1552e	Будильник у тебя. Возвращайся к Камилю!
zts1553e	Отнеси Велмону будильник и письмо!
zts1554e	Верни Делмону Майлоу его будильник.
zts1555e	Сообщи высшему жрецу Эладину о Ксавьере!
zts1556e	Сразись с хищниками песков бури в окрестностях лагеря Мелки!
zts1557e	Тебе удалось расправиться со всеми хищниками песков бури. Сообщи об этом Хазилю.
zts1558e	Расправься с разведчиками патруля Нейла и добудь первый отчет о разведке!
zts1559e	Расправься с разведчиком патруля Гартона в лагере Гартона и забери у него отчет о храмовой площади.
zts1560e	Расправься с бомбардировщиком разведки Гартона в его лагере и добудь отчет о храмовой площади.
zts1561e	Сразись с тайным агентом разведки Гартона на пути к храмовой площади!
zts1562e	Расправься с элитными ассассинами Гартона и с самим командиром Гартоном в лагере Гартона!
zts1563e	Сразись со стрелками-перевозчиками Шорана и бомбардировщиками-перевозчиками Шорана в лагере разбойников!
zts1564e	Расправься с разведчиком патруля Гартона на пути к храму и добудь отчет о храме!
zts1565e	Сразись с хищниками песков пустыни в затерянной пустыне и собери эссенции песка!
zts1566e	Расправься с хищниками песков пустыни затерянной пустыне и собери эссенции ветра!
zts1567e	Эссенции ветров собраны. Отправляйся с ними к Велмону!
zts1569e	Просьба тренера Кальвина (ежедневно)
zts1570e	Тренер Кальвин просит тебя уничтожить Куриную королеву, порождающую цыплят-мутантов. В качестве награды он сделает тебе особенный пасхальный подарок.
zts1571e	После успешного завершения рейда Куриной королевы ты сможешь получить награду у тренера Кальвина.
zts1572e	О Пылающем мече
zts1573e	Жрица Серизад рассказала тебе все об ее исследованиях Пылающего меча.
zts1574e	Предыстория Пылающего Меча
zts1575e	Войди во владения Пылающего меча.
zts1576e	Жар Пылающего меча
zts1577e	Расскажи о жаре Пылающего меча жрице Серизад.
zts1578e	Найди способ защититься от жара Пылающего меча.
zts1579e	Поговори с высшим жрецом Эладином в храме Астера о способе защиты от жара Пылающего меча.
zts1580e	Знаток секретных методик
zts1581e	Внезапно оказалось, что Ксавьер знает все о секретной методике. Отправляйся в Зону Хаоса и поговори с ним!
zts1582e	Лекарство из Зоны Хаоса
zts1583e	Отнеси лекарство, полученное у шелкопряда Болпорти в Зоне Хаоса, Ксавьеру!
zts1584e	Изучение секретных методик успешно выполнено.
zts1585e	Теперь ты знаешь, как защититься от невыносимого жара Пылающего меча. Возвращайся к жрице Серизад.
zts1586e	На Глацернон
zts1587e	Отнеси ледяные цветы с Глацернона жрице Серизад.
zts1588e	Проникновение в лагерь Мелки
zts1589e	Уничтожь разбойников пустыни в лагере Мелки!
zts1590e	Возвращение из лагеря Мелки
zts1591e	Доложи обо всем Хазилю!
zts1592e	Посоветуйся с торговцем Акамура!
zts1593e	Отправляйся в лагерь Акамура и поговори с Хазилем!
zts1594e	Отправляйся в глубины храма.
zts1595e	Исследуй пространственно-временной портал в подземелье храма Рашида!
zts1596e	Песчаные врата
zts1597e	Призови стража реликвий и уничтожь его!
zts1598e	Расскажи, что ты знаешь о реликвиях!
zts1599e	Возвращайся к Михолю и расскажи ему обо всем!
zts1600e	Сообщи о страже реликвий.
zts1601e	Возвращайся к жрице Серизад и расскажи ей обо всем.
zts1602e	Строительство лагеря
zts1603e	Помоги военному инженеру!
zts1604e	К храмовой площади
zts1605e	Отправляйся на храмовую площадь и поговори с Михолем!
zts1606e	Портал в земли Пылающего меча
zts1607e	Разберись с врагами и монстрами в землях Пылающего меча!
zts1608e	Путешественник Джон
zts1609e	Познакомься с путешественником Джоном. Он находится в землях Пылающего Меча.
zts1610e	Горящие монстры Пылающего меча
zts1611e	Разберись с горящими монстрами в землях Пылающего меча!
zts1612e	Странные вибрации
zts1613e	Я чувствую странную вибрацию. Думаю, следует сообщить об этом жрице Серизад!
zts1614e	Печать Пылающего меча
zts1615e	Возникла проблема с промежуточной печатью Пылающего меча. Нужно войти в пространственно-временной камень и исследовать ее!
zts1616e	Промежуточная печать разрушена.
zts1617e	Промежуточная печать разрушена. Поговори об этом с путешественником Джоном!
zts1618e	Монстры испепеляющей жары
zts1619e	Получи печати рейдов Кертоса и Валакуса и отнеси их жрице Серизад.
zts1620e	Опознание печати
zts1621e	Расспроси высшего жреца Эладина об этих сильных монстрах!
zts1622e	Опасность падения
zts1623e	Возвращайся к жрице Серизад и расскажи ей о том, что удалось выяснить!
zts1624e	К последней печати
zts1625e	Мне нужно непременно защитить последнюю печать. Отправлюсь в пространственно-временной портал прямо сейчас.
zts1626e	Печать защищена.
zts1627e	Возвращайся к жрице Серизад!
zts1628e	Огненный бог Гренигас
zts1629e	Заверши рейд огненного бога Гренигаса.
zts1630e	Мир спасен
zts1631e	*Попроси жрицу Серизад защищать эту печать до последней капли крови!*
zts1632e	Собери еще ледяных цветов (ежедневное задание)
zts1633e	Атака на лагерь разбойников! (ежедневное задание)
zts1635e	Собери материалы для строительства лагеря (ежедневное задание)
zts1637e	Исследуй убежище храма! (ежедневное задание)
zts1638e	Ежедневная любезность для капитана Джека Пэнона
zts1639e	Сразись с пиратами Джекпенами!
zts1640e	Сразись с пиратами Кангпенами!
zts1641e	После успешного завершения пиратского рейда ты получишь  награду от капитана Джека Пэннона.
zts1642e	Собери сок лайма!
zts1643e	Собери пиратские банданы!
zts1644e	Как только закончишь, отправляйся к жрице Серизад и расскажи ей все!
zts1645e	Ты получаешь свиток магического верблюда.
zts1646e	Если у тебя есть немного времени, помоги военному инженеру с его работой!
zts1647e	Уничтожь огненного бога Гренигаса!
zts1648e	Передай необходимые материалы военному инженеру!
zts1649e	Проникновение в лагерь Мелки
zts1650e	Атака на лагерь Керуса (ежедневное задание)
zts1651e	Уничтожь разбойников пустыни в лагере Керуса!
zts1652e	Атака на лагерь Гартона (ежедневное задание)
zts1653e	Уничтожь разбойников пустыни в лагере Гартона!
zts1654e	Поговори с Хазилем, когда закончишь!
zts1655e	Магический песок
zts1656e	Отправляйся к путешественнику Джону в земли Пылающего меча!
zts1657e	Уничтожь пылающих псов!
zts1658e	Тебе удалось расправиться с пылающими гончими. Сообщи об этом путешественнику Джону!
zts1659e	Жрица Серизад ищет тебя. Отправляйся к ней быстрее.
zts1660e	Отправляйся к Михолю на храмовую площадь и выясни, не появились ли новые реликвии!
zts1661e	Исследуй пространственно-временной портал, обнаруженный в священном подземелье храма Рашида!
zts1662e	Отнеси реликвию Гренигаса Михолю, который ждет тебя на храмовой площади.
zts1663e	Отправляйся к путешественнику Джону и узнай, как обстоят дела с его работой.
zts1664e	Уничтожь магмаросов и пылающих псов!
zts1665e	Отлично! Тебе удалось расправиться со всеми монстрами. Сообщи путешественнику Джону о своем успехе.
zts1666e	Найди огненного алхимика в Когтях Валакуса!
zts1667e	Сражайся с пылающими пауками, которых мы называем Валакетами, чтобы украсть их яйца.
zts1668e	Тебе удалось собрать необходимое количество яиц Валакета. Возвращайся к огненному алхимику.
zts1669e	Путешественник Джон обнаружил промежуточную печать. Быстрее отправляйся к нему!
zts1670e	Сообщи Серизад о нахождении промежуточной печати.
zts1671e	Отправляйся на исследование пространственно-временного портала в Когтях Валакуса. Удачи!
zts1672e	Промежуточная печать уничтожена. Серизад должна узнать об этом как можно скорее!
zts1673e	Сообщи путешественнику Джону об уничтожении промежуточной печати.
zts1674e	Сражайся с фениксами и пылающими сферами!
zts1675e	Доложи обо всем путешественнику Джону.
zts1676e	Покажи жрице Серизад печати рейдов Кертоса и Валакуса, полученные у Джона.
zts1677e	Отправляйся к высшему жрецу Эладину. Он может рассказать тебе больше о сильных монстрах.
zts1678e	Победи Кертоса и возвращайся к жрице Серизад!
zts1679e	Уничтожь Валакуса и возвращайся к Серизад!
zts1680e	Доложи обо всем жрице Серизад.
zts1681e	Поговори с путешественником Джоном.
zts1682e	Спроси огненного алхимика о том, как обстоят его исследования.
zts1683e	Сразись с пылающими гигантами и собери их сердца!
zts1684e	Тебе удалось собрать необходимое количество сердец пылающих гигантов. Отнеси их огненному алхимику!
zts1685e	Отнеси зелье защиты от жары путешественнику Джону!
zts1686e	Последняя печать Пылающего меча должна быть защищена. Отправляйся в пространственно-временной камень на улице Катола.
zts1687e	Уничтожь Гренигаса и возвращайся к жрице Серизад.
zts1688e	Уничтожь монстров в землях Пылающего меча (ежедневно)
zts1689e	Уничтожь всех монстров, мешающих проведению исследований.
zts1690e	Доложи обо всем путешественнику Джону.
zts1691e	Собери ингредиенты для создания зелья защиты от жары (ежедневное задание)
zts1692e	Уничтожай огненных пауков Валакетов и собирай их яйца!
zts1693e	Доложи обо всем огненному алхимику.
zts1694e	Уничтожь пылающих гигантов и принеси мне их сердца!
zts1695e	Кошелек или жизнь (Эрик)
zts1696e	Если тебе удалось победить в рейде Джека О'Лантерна, встреться с Эриком.
zts1697e	Поговори с Эриком, чтобы получить награду.
zts1698e	Кошелек или жизнь (Мэри)
zts1699e	Расправься со приспешниками Джека О'Лантерна!
zts1700e	Возвращайся к Мэри и получи свою награду!
zts1701e	Кошелек или жизнь (Ева Энерджи)
zts1702e	Собери тыквенный сироп! Ты можешь получить его, уничтожая приспешников Джека О'Лантерна!
zts1703e	Поговори с Евой Энерджи, чтобы получить награду!
zts1704e	Кошелек или жизнь (Малкольм Микс)
zts1705e	Поговори с Мими Ментор, надев тыквенную шляпу (1 день)
zts1706e	Вернись к Малкольму Миксу за наградой!
zts1707e	Кошелек или жизнь (Теоман Топп)
zts1708e	Собери головы-тыквы! Ты можешь получить их, расправляясь с приспешниками Джека О'Лантерна!
zts1709e	Вернись к Теоману Топпу за наградой!
zts1713e	Расправься с огненным слейдом в закрытой шахте 1! Пробраться туда можно через закрытую шахту рядом с аванпостом Фернон.
zts1714e	Выследи цербера! Он пахнет подозрительно похоже на тех дворняжек из 42 портала!
zts1746e	Ежедневное задание (Дед Мороз)
zts1747e	Уничтожай уродливых и отвратительных Рудольфов, появляющихся из новогодних запечатанных сосудов!
zts1748e	Возвращайся к Деду Морозу за подарком!
zts1749e	Ежедневное задание (Шлури)
zts1750e	Принеси Шлури новогодние колокольчики. Ты можешь достать их из коробки с рейда огромного снеговика.
zts1751e	Возвращайся к Шлури за наградой!
zts1752e	Ежедневное задание (Ева Энерджи)
zts1753e	Пройди рейд снеговика и получи награду от Евы Энерджи!
zts1754e	Ежедневное задание (Малкольм Микс)
zts1755e	Собери снежинки на Глацерноне!
zts1756e	Ежедневное задание (Теодор Топп)
zts1757e	Отнеси Мими Ментор пожертвование для бедняков!
zts1758e	Возвращайся к Теодору Топпу за наградой!
zts1759e	Ежедневное задание (Сорайя Стиль)
zts1760e	Отнеси магическую шерсть и магическую спицу Сорайе Стиль!
zts1761e	Отнеси пушистый шарф Сорайи тренеру Кальвину!
zts1762e	Возвращайся к Сорайе Стиль и расскажи ей о реакции Кальвина!
zts1765e	Отнеси Малкольму перья куриной королевы. Получить их можно из коробки с рейда куриной королевы.
zts1766e	Ежедневное задание (Мими Ментор)
zts1767e	Пройди рейд Куриной королевы, и ты сможешь получить награду у Мими Ментор!
zts1768e	Возвращайся к Мими Ментор за наградой!
zts1769e	Найди желтые пасхальные яйца, спрятанные по всей деревне.
zts1770e	Ежедневное задание (Тренер Кальвин)
zts1771e	Возьми у Кальвина пасхальный подарок!
zts1772e	Отнеси пасхальный подарок Кальвина Сорайе!
zts1773e	Возвращайся к Кальвину за наградой!
zts1774e	Выбей у монстров красные пасхальные яйца и принеси их Еве Энерджи!
zts1776e	Следуй в Каменный утес 1 в Солнечных лугах!
zts1777e	Отправляйся в Волшебную башню 4 рядом с храмом Фернон!
zts1778e	Разорви первый энергетический поток в спиральном лабиринте В!
zts1779e	Разорви второй энергетический поток в спиральном лабиринте З!
zts1780e	Разорви третий энергетический поток в спиральном лабиринте Ю!
zts1781e	Разорви четвертый энергетический поток в спиральном лабиринте С!
zts1782e	Герои огня
zts1783e	Послушай истории, которые великий маг Кан тебе расскажет.
zts1784e	Поговори с Рианой!
zts1785e	Добудь рог василиска!
zts1786e	Спроси Риану, сможет ли она восстановить шлем.
zts1787e	Принеси шлем Роберто Великому магу Кану.
zts1788e	Поговори с Нефи!
zts1789e	Собери таинственный песок!
zts1790e	Обменяй таинственный песок на очки Ирен!
zts1791e	Принеси очки Ирен великому магу Кану.
zts1792e	Поговори с председателем Ноем.
zts1793e	Расправься с командирами разбойников пустыни!
zts1794e	Вернись к председателю Ною.
zts1795e	Принеси перчатку Гарольда великому магу Кану.
zts1796e	Встреться с великими героями огня в пространственно-временном портале!
zts1797e	Расскажи великому магу Кану о том, что тебе довелось испытать в пространственно-временном портале.
zts1798e	Собери эмблемы моряка!
zts1800e	Отправь команду капитана Пита О'Пенга прямо в ад!
zts1801e	Найди карты сокровищ О'Пенга!
zts1802e	Надень соломенную шляпу (1 день) и вернись к капитану Джеку Пэнону!
zts1803e	Сразись с монстрами и собери тыквенный сироп!
zts1804e	Надень светящуюся шляпу из тыквы (1 день) и подойди к Мими Ментор!
zts1805e	Собери головы-тыквы из сокровищницы Джека О'Лантерна!
zts1806e	Семья викингов
zts1807e	Быстрее, принеси немного кубиков льда, пока тело Флейка не растаяло окончательно!
zts1808e	Иди прямиком к Малкольму Миксу! Он может рассказать больше о том, как пробудить семью викингов!
zts1809e	Иди прямиком к тренеру Кальвину! Он может рассказать больше о том, как пробудить семью викингов!
zts1810e	Поведай Флейку, снежной фее, как пробудить викингов!
zts1811e	Попроси Теомана Топпа создать рог призыва!
zts1812e	Принеси Теоману Топпу все необходимые материалы для создания рога призыва!
zts1813e	Рог призыва завершен. Вернись к Флейку!
zts1814e	Подуй в рог призыва, нацеливаясь на Флейка!
zts1815e	Присоединись к семье викингов в пространственно-временном портале!
zts1816e	Поведай снежной фее Флейк что тебе довелось испытать в портале!
zts1817e	Энергия колокольчика
zts1818e	Ты получаешь усиливающий эффект после завершения задания колокольчика.
zts1819e	Глацерус, ледяной монстр
zts1820e	Найди подозрительный ледник в районе Зоны Хаоса!
zts1821e	Надо бы посмотреть поближе на замерзший камень душ.
zts1822e	Вернись к Феликсу Фросту.
zts1823e	Спроси Риану в лагере искателей о буддийских четках Зангпо!
zts1824e	Заплати Серене 100 000 золота за важную информацию!
zts1825e	Добудь буддийские четки Зангпо, уничтожая лисиц песков пустыни!
zts1826e	Отнеси буддийские четки Зангпо к замерзшему камню душ!
zts1827e	Вернись к Феликсу Фросту за дополнительной информацией.
zts1828e	Спроси Велмона о тренировочных перчатках Фалкона!
zts1829e	Напади на элитного самурая Гартона, угрожающего Зоне Хаоса!
zts1830e	Заполучи приказ о нападении на Зону Хаоса у командира Гартона!
zts1831e	Забери у Велмона тренировочные перчатки Фалкона!
zts1832e	Отнеси тренировочные перчатки Фалкона к замерзшему камню душ!
zts1833e	Спроси Феликса об украшении для волос Элизии!
zts1834e	Иди к Нефи и узнай об украшении для волос Элизии!
zts1835e	Отнеси ледяные цветы Нефи и обменяй их на украшение для волос Элизии!
zts1836e	Вернись к замерзшему камню душ с украшением для волос Элизии!
zts1837e	Войди в пространственно-временной камень и сила древних душ будет помогать тебе!
zts1838e	Спеши к замерзшему камню душ, чтобы сообщить всем об уничтожении ледяной печати!
zts1839e	Покажи Феликсу свиток ледяного холода!
zts1840e	Надень морскую фуражку (1 день) и поговори с Капитаном Джеком Пэноном!
zts1841e	Немного свежей печени!
zts1842e	Охоться на монстров на основных локациях и собирай свежую печень.
zts1843e	Решение Фокси
zts1844e	Успешно заверши рейд Лисы.
zts1845e	Охота на лис
zts1846e	Сразись с лисами и лисами дузи!
zts1847e	Тот, кто знает правду
zts1848e	Познакомься с третьим сыном мистера Парка!
zts1849e	Поздние приготовления
zts1850e	Собери голубые, желтые и красные флаконы!
zts1851e	Что в красном флаконе?
zts1852e	1, 2 или 3... Используй красный флакон против Фокси.
zts1853e	Сразись с лисами и лисами дузи!
zts1854e	Поиск матери детишек - Часть 1
zts1855e	Найди тигра Мару.
zts1856e	Поиск матери детишек - Часть 2
zts1857e	Собери мучные пироги с фасолью и рисовые пироги с красной фасолью.
zts1858e	Поиск матери детишек - часть 3
zts1859e	Встреться со Странником.
zts1860e	Спаси детей.
zts1861e	Победи величественного тигра Мару!
zts1862e	Мне нужно кунжутное масло.
zts1863e	Собери 5 бутылок кунжутного масла.
zts1864e	Хангбу разбогател.
zts1865e	Познакомься с Хангбу!
zts1866e	Странное зерно Хангбу
zts1867e	Открой странную тыкву Хангбу.
zts1868e	Фрукт из семечка Хангбу
zts1869e	Познакомься с Нолбу!
zts1870e	Странное зерно Нолбу
zts1871e	Открой странную тыкву Нолбу.
zts1872e	Фрукт из семечка Нолбу
zts1873e	Жуткий бес
zts1874e	Сразись с Хонгби и Чонгби!
zts1875e	Раненая ласточка
zts1876e	Собери лекарства!
zts1877e	Заколдованный солдат (1)
zts1879e	Заколдованный солдат (2)
zts1880e	Подозрительная женщина
zts1881e	Заколдованный солдат (3)
zts1882e	Заколдованный солдат (5)
zts1884e	Заколдованный солдат (6)
zts1885e	Заколдованный солдат (7)
zts1886e	Собери осколки душ.
zts1887e	Уничтожь ведьму Лорену (1)
zts1888e	Собери семена проклятия с ядовитого растения проклятия.
zts1889e	Уничтожь ведьму Лорену (2)
zts1890e	Уничтожь ведьму Лорену (3)
zts1891e	За героев
zts1892e	Уничтожь ведьму Лорену (4)
zts1893e	Заколдованный солдат (4)
zts1894e	Найди солдат!
zts1895e	Направляйся в то место, о котором говорил Саракаэль.
zts1896e	Поговори с Саракаэлем.
zts1897e	История Рафаэля
zts1898e	По кроличьим следам
zts1899e	Морковки и кролики
zts1900e	Вымани кролика с помощью морковки
zts1901e	Найди кроличью семью!
zts1902e	Кроличье убежище
zts1903e	Накажи Ушастую Лолу!
zts1904e	Накажи Ушастую Лолу и верни сокровище!
zts1905e	Два лика Рафаэля
zts1906e	Эта черепаха подозрительна, но нам нужно разобраться с сокровищем.
zts1907e	Копая женьшень
zts1908e	Найди листья женьшеня!
zts1909e	Кроличья нора
zts1910e	Расскажи об этом Рафаэлю!
zts1911e	Найди следы, оставленные кроликом!
zts1912e	Найди члена кроличьей семьи!
zts1913e	Морской дворец
zts1914e	Дворец в глубине морской.
zts1915e	Накажи Ушастую Лолу и возвращайся к Рафаэлю!
zts1916e	Два лика Рафаэля
zts1917e	Эта черепаха подозрительна, но нам нужно разобраться с сокровищем.
zts1918e	Тот, кто пришел из Морского дворца
zts1919e	Подозрительная личность
zts1920e	Поговорите с Грэмом.
zts1921e	Забытый Архипелаг 1
zts1922e	Поговорите с Грэмом.
zts1923e	Забытый Архипелаг 2
zts1924e	Забытый Архипелаг 3
zts1925e	Поговорите с ангелом.
zts1926e	Забытый Архипелаг 4
zts1927e	Поговорите с демоном.
zts1928e	Забытый Архипелаг 5
zts1929e	Ангелы против демонов 1
zts1930e	Поговорите с ангелом Асаэлем.
zts1931e	Ангелы против демонов 2
zts1932e	Найдите следы группы разведчиков из Мистических Небес рядом с Адскими вратами 1.
zts1933e	Ангелы против демонов 3
zts1934e	Ангелы против демонов 4
zts1935e	Победите демонов и вернитесь к Асаэлю.
zts1936e	Ангелы против демонов 5
zts1937e	Поговорите с ангелом Рамиэлем.
zts1938e	Ангелы против демонов 6
zts1939e	Вернитесь к Рамиэлю с рогами и хвостами бакумов.
zts1940e	Ангелы против демонов 7
zts1941e	Ангелы против демонов 8
zts1942e	Поговорите с ангелом Закиэлем.
zts1943e	Ангелы против демонов 9
zts1944e	Отнесите Камень темной энергии Закиэлю.
zts1945e	Ангелы против демонов 10
zts1946e	Ангелы против демонов 11
zts1947e	Ангелы против демонов 12
zts1948e	Успешно заверши рейд Зенас 1 раз.
zts1949e	Ангелы против демонов 13
zts1950e	Демоны убеждения
zts1951e	Ангелы против демонов 14
zts1952e	Поговорите с демоном Бараком.
zts1953e	Ангелы против демонов 15
zts1954e	Доложите Бараку об ангельской резне.
zts1955e	Ангелы против демонов 16
zts1956e	Соберите Нестабильную энергию, уничтожая фанатиков.
zts1957e	Ангелы против демонов 17
zts1958e	Ангелы против демонов 18
zts1959e	Поговорите с демоном Зепаром.
zts1960e	Ангелы против демонов 19
zts1961e	Отнесите Души невинности Зепару.
zts1962e	Ангелы против демонов 20
zts1963e	Ангелы против демонов 21
zts1964e	Поговорите с демоном Полнеусом.
zts1965e	Ангелы против демонов 22
zts1966e	Вернитесь к Полнеусу после ангельской резни.
zts1967e	Ангелы против демонов 23
zts1968e	Отнесите Полнеусу Святой крови.
zts1969e	Ангелы против демонов 24
zts1970e	Ангелы против демонов 25
zts1971e	Ангелы против демонов 26
zts1972e	Успешно пройдите рейд Эрении один раз.
zts1973e	Ангелы против демонов 27
zts1974e	Доложите Грэм о результате.
zts1975e	Поговорите с демоном Бараком.
zts1976e	Великий священный камень
zts1977e	Пропавший патруль
zts1978e	Выслушай крестоносца Грэма.
zts1979e	Пропавший патруль (2)
zts1980e	Выслушай капитана крестоносцев.
zts1981e	Вперед к новым приключениям!
zts1982e	Поговори с капитаном дирижабля.
zts1983e	Плохое время
zts1984e	Собери материалы для починки двигателя.
zts1985e	Жадный капитан
zts1986e	Войди на борт дирижабля.
zts1987e	Запретное место
zts1988e	Поговори с капитаном.
zts1989e	Поиск
zts1990e	Найди следы патруля.
zts1991e	Поиск (2)
zts1992e	Иди по следам патруля.
zts1993e	Поиск (3)
zts1994e	Найди следы пропавшего патруля.
zts1995e	Выживший
zts1996e	Нейтрализуй крестоносцев с промытыми мозгами.
zts1997e	Упс!
zts1998e	Дай раненому крестоносцу немного ключевой воды Циллоан.
