zts1e	Özel saldýrý
zts1163e	Saldýrý halinde kuþanýlmýþ olan perinin elementi %%%s olasýlýkla %s düþer.
zts1169e	Bir saldýrý karþýsýnda rakip %%%s olasýlýkla [%s] efektini alýr.
zts1170e	Bir saldýrý sýrasýnda %%%s olasýlýkla [%s] efektini alýrsýn.
zts1171e	Sen savunmadayken rakip %%%s olasýlýkla [%s] efektini alýr.
zts1172e	Sen savunmadayken %%%s olasýlýkla [%s] efektini alýrsýn.
zts1176e	Bir gölge elementi becerisiyle saldýrýya uðradýðýnda %%%s olasýlýkla [%s] efekti etkinleþir.
zts1177e	Debuff alýyorsan saldýrý ve savunma gücü debuff baþýna %%%s yükselir.
zts1178e	Güçlendirici alýyorsan saldýrý ve savunma gücü güçlendirici baþýna %%%s yükselir.
zts1180e	%%%s olasýlýkla 2 alan içindeki bir rakip %s alýr.
zts1181e	%%%s olasýlýkla 2 alan içindeki bir rakipten %s silinir.
zts1190e	Savunma yaptýðýnda %%%s olasýlýkla bir %s çaðýrýlýr.
zts1191e	Savunma yaptýðýnda %%%s olasýlýkla iki %s çaðýrýlýr.
zts1198e	Saldýrdýðýnda %%%s olasýlýkla "meteor düþmesi" meydana gelir.
zts1199e	Savunma yaptýðýnda %%%s olasýlýkla %%%s hasar rakibe yansýtýlýr.
zts1200e	Saldýrdýðýnda %%%s olasýlýkla "kurt saldýrýsý" meydana gelir.
zts1201e	Savunma yaptýðýnda rakip %%%s olasýlýkla geri itilir.
zts1210e	Saldýrdýðýnda %%%s olasýlýkla bir þimþek meydana gelir.
zts1211e	Saldýrdýðýnda %%%s olasýlýkla "lanetin gücü" meydana gelir.
zts1212e	Saldýrdýðýnda %%%s olasýlýkla ayý saldýrýsý meydana gelir.
zts1213e	Saldýrdýðýnda %%%s olasýlýkla "soðuðun gücü" meydana gelir.
zts1215e	Düþük seviyeli ölümsüzlere verilen hasar %%%s yükseldi.
zts1216e	Düþük seviyeli ölümsüzlere verilen hasar %%%s düþtü.
zts1220e	Yakýn mesafe savunmasý %%%s yükseldi.
zts1221e	Yakýn mesafe savunmasý %%%s düþtü.
zts1222e	Uzak mesafe savunmasý %%%s yükseldi.
zts1223e	Uzak mesafe savunmasý %%%s düþtü.
zts1224e	Büyü savunmasý %%%s yükseldi.
zts1225e	Büyü savunmasý %%%s düþtü.
zts1227e	BP yenilemesi %%%s yükseldi.
zts1228e	BP yenilemesi %%%s düþtü.
zts1231e	Canavarlara karþý hasar %%%s yükselir.
zts1232e	Canavarlara karþý hasar %%%s düþer.
zts1234e	Üretim puaný harcamasý %%%s düþtü.
zts1235e	Üretim puaný harcamasý %%%s yükseldi.
zts1237e	Kaçýnma deðeri %%%s arttý.
zts1238e	Savuþturma %%%s düþtü.
zts1246e	Savunma yaptýðýnda %%%s olasýlýkla %%%s hasar rakibe yansýtýlýr.
zts1247e	%s alan içerisinde kalan tüm rakiplere her 4 saniyede bir %s hasar verir.
zts1248e	NosMatelerinin saldýrý gücü %%%s artar.
zts1249e	%s alan içerisinde kalan tüm rakiplere her 4 saniyede bir %s etki eder.
zts1250e	Saldýrdýðýnda bir rakip %%%s olasýlýkla "kýyametin gücüyle" (etki seviyesi * 18) hasar alýr. Ayrýca ona baðlý debuff alýr.
zts1251e	Saldýrdýðýnda %%%s olasýlýkla "yansýtmanýn gücünü" alýrsýn.
zts1252e	Saldýrdýðýnda bir rakip %%%s olasýlýkla "kurdun gücüyle" (etki seviyesi * 15) hasar alýr. Ayrýca ona baðlý debuff alýr.
zts1253e	Saldýrdýðýnda rakip %%%s olasýlýkla 4 alan uzaða itilir.
zts1254e	Savunma yaparken rakip %%%s olasýlýkla 4 alan uzaða itilir.
zts1255e	Saldýrý sýrasýnda bir rakip %%%s olasýlýkla "patlamanýn gücüyle" (etki seviyesi * 17) hasar alýr. Ayrýca ona baðlý debuff alýr.
zts1257e	Saldýrdýðýnda %%%s olasýlýkla "atikliðin gücünü" alýrsýn.
zts1258e	Saldýrdýðýnda bir rakip %%%s olasýlýkla "þimþeðin gücüyle" (etki seviyesi * 18) hasar alýr. Ayrýca ona baðlý debuff alýr.
zts1259e	Saldýrdýðýnda rakipte %%%s olasýlýkla "lanetin gücü" meydana gelir.
zts1260e	Saldýrdýðýnda bir rakip %%%s olasýlýkla "ayýnýn gücüyle" (etki seviyesi * 23) hasar alýr. Ayrýca ona baðlý debuff alýr.
zts1261e	Saldýrdýðýnda %%%s olasýlýkla "soðuðun gücünü" alýrsýn.
zts1268e	Büyülü zýrh %s hasarýný engeller.
zts1269e	Savunma yaptýðýnda rakibin saldýrdýðý elemente karþý direnç %%%s olasýlýkla %s artar.
zts1270e	Savunma yaptýðýnda rakibin saldýrdýðý elemente karþý direnç %%%s olasýlýkla %s düþer.
zts1271e	Maksimum ekstra YP'ler %%%s yükselir.
zts1272e	Maksimum ekstra YP'ler %%%s düþer.
zts1273e	Saldýrýn bloklandýðýnda %%%s olasýlýkla bloku yok sayarsýn.
zts1274e	Kaçýnma deðeri %%%s arttý.
zts1275e	Bütün saldýrýlar için isabet oraný %%%s yükseldi.
zts1282e	Kritik isabet aldýðýnda %%%s olasýlýkla hasarýn %%%s kadarý rakibe yansýtýlýr.
zts1283e	(Kaybedilen YP / maks. YP * 100 /%%%s * %%%s) olasýlýkla saldýrýyý savuþturursun.
zts1284e	Kritik isabetten doðan son hasar kritik isabet baþýna %%%s artar (maks. %s isabet).
zts1285e	Savunma yaptýðýnda %%%s olasýlýkla hasarýn %%%s kadarý YP yerinde BP'den kesilir.
zts1286e	Toplam saldýrý gücü büyü savunmasýnýn %%%s oranýnda yükselir.
zts1293e	Bir saldýrýda %%%s olasýlýkla Aslan Loa sayesinde %%%s ekstra hasar verilir.
zts1294e	Bir saldýrýda %%%s olasýlýkla Kartal Loa sayesinde %%%s ekstra hasar verilir.
zts1295e	Bir saldýrýda %%%s olasýlýkla Yýlan Loa sayesinde %%%s ekstra hasar verilir.
zts1296e	Bir saldýrýda %%%s olasýlýkla Ayý Loa sayesinde %%%s ekstra hasar verilir.
zts1297e	Bir debuff aldýðýnda %%%s olasýlýkla her element %%%s yükselir.
zts1299e	Ýsabet oraný %%%s yükseldi.
zts1300e	Ýsabet oraný %%%s düþtü.
zts1302e	Konsantrasyon %%%s arttý.
zts1303e	Konsantrasyon %%%s düþtü.
zts1306e	Canavarlar Kralý seni ýsýrýk saldýrýsý için hedef olarak seçti.
zts1307e	Ne zaman kaçýnsan YP'n %s yükselir.
zts1310e	Maksimum YP %%%s yükseldi.
zts1311e	Maksimum YP %s%% düþtü.
zts1312e	Maksimum BP %s%% yükseldi.
zts1313e	Maksimum BP %s%% düþtü.
zts1315e	Mühürlü mahfaza canavarlara karþý dövüþte saldýrý gücü %%%s, Glacernon canavarlarýna karþý dövüþte saldýrý gücü %%%s yükselir.
zts1316e	Mühürlü mahfaza canavarlara karþý dövüþte saldýrý gücü %%%s, Glacernon canavarlarýna karþý dövüþte saldýrý gücü %%%s düþer.
zts1317e	%s alan içerisinde kalan tüm rakiplere her saniyede bir %s hasar verir.
zts1318e	%s alan içerisinde kalan tüm rakiplere her saniyede bir %s etki eder.
zts1320e	Saldýrgan %%%s olasýlýkla [%s] efektini alýr.
zts1321e	Sana bir rakip saldýrdýðýnda %%%s olasýlýkla [%s] efektini alýr.
zts1322e	%%%s olasýlýkla 2 alan içindeki bir müttefik %s alýr.
zts1323e	%%%s olasýlýkla 2 alan içindeki bir müttefikten %s silinir.
zts1325e	Belial saldýrýlarýný yansýtýr ve böylece müttefiklerine hasar verir.
zts1327e	Kritik isabetlerde verdiðin son hasar %%%s artar.
zts1328e	Kritik isabetlerde verdiðin son hasar %%%s düþer.
zts1329e	Savunma yaptýðýnda kritik isabetlerle verdiðin son hasar %%%s artar.
zts1330e	Savunma yaptýðýnda kritik isabetlerle verdiðin son hasar %%%s düþer.
zts1341e	Bir canavar yendiðinde %%%s olasýlýkla [%s] etkisine girersin.
zts1353e	Yenildiðinde %s alan içindeki tüm rakipler [%s] etkisine girer.
zts1361e	Sen veya NosMatelerin bir canavar yendiðinde þu anki etkin NosMatelerde %%%s YP yenilenir.
zts1362e	Sen veya NosMatelerin bir canavar yendiðinde þu anki etkin NosMatelerde %%%s YP yenilenir.
zts1363e	NosMatelerinden biri yenildiðinde %%%s YP'n yenilenir.
zts1364e	NosMatelerinden biri yenildiðinde þu an etkin olan NosMatelerinin YP'si %%%s yenilenir.
zts1365e	Bir canavar yendiðinde NosMatelerin%%%s olasýlýkla [%s] etkisine girer.
zts1366e	Bir canavar yendiðinde NosMatelerin saldýrý gücü %%%s olasýlýkla %%%s yükselir.
zts1367e	Bir canavar yendiðinde NosMatelerinin tüm savunmasý %%%s olasýlýkla %%%s yükselir.
zts1368e	Bir canavar yendiðinde tüm NosMatelerinde %%%s olasýlýkla %%%s YP yenilenir.
zts1373e	NosMatelerin bir canavar yendiðinde saldýrý gücün %%%s yükselir.
zts1374e	NosMatelerin bir canavar yendiðinde savunmalarýn %%%s yükselir.
zts1375e	Yenildiðinde %s alan içindeki tüm NosMatelerin [%s] etkisine girer.
zts1376e	Tüm NosMatelerin yenildiðinde %%%s olasýlýkla [%s] etkisine girersin.
zts1377e	Bir canavar yendiðinde %s alan içinde kalan NosMatelerin [%s] etkisine girer.
zts1378e	%s. birliði çaðýrýr.
zts1380e	NosMatelerinden biri yenildiðinde þu an etkin olan NosMatelerinin YP'si %%%s yenilenir.
zts1383e	Birimlerinin saldýrý gücü yükseldi (kat x %s).
zts1384e	Birimlerinin savunmasý yükseldi (kat x %s).
zts1386e	Birimlerinin saldýrý gücü yükseldi (%s + kat x %s).
zts1387e	Birimlerinin savunmasý yükseldi (%s + kat x %s).
zts1389e	Bir saldýrýda en fazla %s kritik hasar (%s kez) alýr.
zts1391e	NosMatelerin [%%%s] olasýlýkla [%s] alýr.
zts1397e	Bir ateþ elementi saldýrýsýna uðrarsan hasar %%%s olasýlýkla %%%s yükselir.
zts1398e	Bir ateþ elementi saldýrýsýna uðrarsan hasar %%%s olasýlýkla %%%s düþer.
zts1399e	Bir su elementi saldýrýsýna uðrarsan hasar %%%s olasýlýkla %%%s yükselir.
zts1400e	Bir su elementi saldýrýsýna uðrarsan hasar %%%s olasýlýkla %%%s düþer.
zts1401e	Bir ýþýk elementi saldýrýsýna uðrarsan hasar %%%s olasýlýkla %%%s yükselir.
zts1402e	Bir ýþýk elementi saldýrýsýna uðrarsan hasar %%%s olasýlýkla %%%s düþer.
zts1403e	Bir gölge elementi saldýrýsýna uðrarsan hasar %%%s olasýlýkla %%%s yükselir.
zts1404e	Bir gölge elementi saldýrýsýna uðrarsan hasar %%%s olasýlýkla %%%s düþer.
zts1406e	Canavarlar seni göremez, rahatça balýk tutabilirsin. Ancak diðer oyuncular seni görebilir.
zts1408e	"Balýk tutma yerine ýþýnlan"ý kullandýðýnda senin belirlediðin yere götürülürsün.
zts1415e	Bir balýk tutma olasýlýðý %%%s yükselir.
zts1416e	Bir balýk tutma olasýlýðý %%%s düþer.
zts1417e	Misinanýn kopma olasýlýðý %%%s yükselir.
zts1418e	Misinanýn kopma olasýlýðý %%%s düþer.
zts1419e	Oltayý attýðýnda %%%s olasýlýkla yem harcanmaz.
zts1420e	Tutulan balýðýn boyutu %%%s olasýlýkla %%%s büyür.
zts1421e	Tutulan balýðýn boyutu %%%s olasýlýkla %%%s küçülür.
zts1422e	Alýnan balýkçýlýk tecrübe puaný %%%s yükselir.
zts1423e	Alýnan balýkçýlýk tecrübe puaný %%%s düþer.
zts1426e	Balýk tutmayý çok seviyorum!
zts1429e	Genel haritalardaki canavarlar seni sadece onlara saldýrdýðýnda fark eder.
zts1433e	Aþçýlýk tecrübesi kazanýmý %%%s arttý.
zts1434e	Aþçýlýk tecrübesi kazanýmý %%%s azaldý.
zts1435e	Yemek piþirirken büyük baþarý elde etme þansý %%%s arttý.
zts1436e	Yemek piþirirken büyük baþarý elde etme þansý %%%s azaldý.
zts1437e	Ek malzeme edinmek için %%%s þans verir.
zts1438e	Ek yemek edinmek için %%%s þans verir.
zts1442e	Yemek piþirirken baharata ihtiyaç duymamak için %%%s þans verir.
zts1443e	Yemek piþirirken ek bir baharat kullanmak için %%%s þans verir.
zts1444e	%s Tokluk etkisini %s tokluk puanýna yükseltir.
zts1445e	%s Tokluk etkisini %s tokluk puanýna düþürür.
zts1446e	Tüm tokluk etkileri için %%%s tokluk puaný kaybedersin ve bu süre boyunca baþka yemek yemezsin.
zts1447e	Tokluk puaný kazancý %%%s arttý.
zts1448e	Tokluk puanlarý %s artar. Sadece %s altýndaki bir toklukta kullanýlabilir.
zts1449e	Tokluk puanlarý %s azalýr. Sadece %s altýndaki bir toklukta kullanýlabilir.
zts1450e	Tokluk puanlarý ya %s artar ya da %s azalýr.
zts1451e	Ek %%%s tokluk puaný edinmek için %%%s þans verir.
zts1452e	Tokluk puanlarý %s artar veya %s azalýr.
zts1457e	YP'yi verilen hasarýn %%%s oranýnda yeniler (saldýrý baþýna maks. %s).
zts1458e	BP'yi verilen hasarýn %%%s oranýnda yeniler (saldýrý baþýna maks. %s).
zts1459e	Çevrendeki %s alan içinde gizlenmiþ karakterleri görebilirsin.
zts1460e	Ek YP'ler %%%s artar.
zts1461e	Ek malzeme edinmek için %%%s þans verir.
zts1462e	Ek yemek edinmek için %%%s þans verir.
zts1467e	Temel saldýrýn %%%s olasýlýkla iki kere gerçekleþtirilir.
zts1468e	YP'yi maksimum YP'nin %%%s oranýnda yeniler (min. %s).
zts1469e	BP'yi maksimum BP'nin %%%s oranýnda yeniler (min. %s)
zts1470e	YP %%%s deðerinin altýna düþerse, alýnan hasar %%%s azalýr.
zts1471e	YP %%%s deðerinin altýna düþerse, tüm saldýrýlar %%%s artar.
zts1473e	Nadir görülen bir balýk tutma olasýlýðý %%%s artar.
zts1474e	Nadir görülen bir balýk tutma olasýlýðý %%%s azalýr.
zts1476e	Ek YP'ler %%%s artar ama maksimum YP'nin %%%s kadarýný geçemezler.
zts1477e	Bir temel saldýrý gerçekleþtirdiðinde %%%s olasýlýkla %%%s hasar verecek baþka bir temel saldýrý daha gerçekleþtirilir.
zts1479e	Balýk tutarken ek bir balýk daha tutmak için %%%s þans verir.
zts1485e	Güneþ Kurdu tarafýndan saldýrýya uðrarsan, bu süre %%%s olasýlýkla 2 saniye artar. (En fazla %s kere)
zts1486e	Güneþ Kurdu tarafýndan saldýrýya uðrarsan, bu süre %%%s olasýlýkla 2 saniye azalýr. (En fazla %s kere)
zts1487e	Güneþ Kurdu tarafýndan saldýrýya uðrarsan, %%%s olasýlýkla [%s] kullanýlýr.
zts1488e	Güneþ Kurdu tarafýndan saldýrýya uðrarsan, hasar %%%s artar.
zts1494e	Güneþ Kurdu'nun YP'sinin %%%s kadarýný ek YP olarak edinirsin. (Maksimum YP'nin %%%s kadarýný geçemez.)
zts1495e	%%%s olasýlýkla Güneþ Kurdu ve yapan [%s] alýr.
zts1496e	Güneþ Kurdu yenilmiþse, %%%s YP ile dirilir.
zts1497e	Güneþ Kurdu'nun YP'si %%%s üzerindeyse, Güneþ Avcýsý'nýn saldýrý gücü %%%s artar.
zts1500e	Güneþ Kurdu %%%s olasýlýkla hedefe [%s] yapma emrini alýr.
zts1504e	YP'yi güncel öfke çubuðunun %%%s kadarýyla artýrýr.
zts1505e	Bir saldýrý becerisi kullandýðýnda, mevcut YP %%%s azalýr.
zts1509e	Bir sonraki saldýrý becerisinin hasarý, kaydedilen hasar miktarý kadar artar. (Maksimum %s hasar)
zts1510e	Hedef bir canavarsa, tüm saldýrýlardan alýnan hasar %%%s artar. Deðilse, karakter [%s] olmaya zorlanýr.
zts1514e	Kuvvetli bir kahverengi ayýya dönüþüyorsun.
zts1515e	Yeniden bir Druid'e dönüþüyorsun.
zts1516e	Öfke patlamasý yaþadýðýnda veya hiddetlendiðinde, güncel öfke çubuðunun %%%s miktarý kadar hasar artar ve %%%s miktarý kadar düþer.
zts1522e	Öfke çubuðu %%%s yükselir.
zts1523e	Öfke çubuðu %%%s düþer.
zts1524e	Kullanýlan becerinin soðuma süresi %%%s olasýlýkla sýfýrlanýr.
zts1525e	Güncel öfke çubuðunun %%%s kadarýyla saldýrýlarý azaltýr.
zts1526e	Öfke çubuðu %%%s düþer.
zts1532e	Devam eden debufflardan alýnan hasar %%%s artar.
zts1533e	Devam eden debufflardan alýnan hasar %%%s azalýr.
zts1534e	[%s] Olmak için %%%s þans verir.
zts1535e	%s Kere hasar alýrsan, [%s] kaybolur. (Zaman içindeki hasar hariç)
zts1536e	Hasar (hedefteki güçlendirici sayýsý x %s) kadar artar. (Maksimum %s)
zts1537e	Hasar (hedefteki debuff sayýsý x %s) kadar artar. (Maksimum %s)
zts1543e	Mesafeye baðlý olarak hasar %%%s artar.
zts1544e	%s. Seviyeye kadar hiçbir kötü efektten etkilenmemek için %% (güçlendiricinin sayýsý x %s) þans saðlar. (Maksimum %% 60)
zts1545e	%s. Seviyeye kadar kötü efekt almak için %% (güçlendiricinin sayýsý x %s) þans saðlar. (Maksimum %% 60)
zts1546e	(Yapanýn güçlendirici sayýsý x %s) YP'yi yeniler. (Maksimum %s)
zts1547e	YP'yi (Yapanýn güçlendirici sayýsý x %s) kadar azaltýr. (Maksimum %s)
zts1548e	Sadece %s. Seviyenin üstünde güçlendiriciye sahip düþmanlara etki eder.
zts1549e	Sadece %s. Seviyenin üstünde debuff sahibi düþmanlara etki eder.
zts1552e	Hasarý %%%s oranýnda kaydeder.
zts1553e	Öfke patlamasý yaþýyorsan veya hiddetlendiysen, hasar %%%s artar.
zts1556e	%s YZK [%s] çaðýrýr
zts1557e	Saldýrý gücü, öfke çubuðunun %%%s deðeri kadar artar.
zts1558e	Öfke çubuðu %%%s yükselir.
zts1561e	Vurulduðunda, %s. seviyeye kadar saldýrý baþýna %%%s olasýlýkla bir kötü efekt kaldýrýlýr.
zts1562e	YP, verilen hasarýn %% (eksik YP/%s) deðeri kadar yükseldi.
zts1563e	Bir sonraki becerinin hasarý, ruh emilimiyle depolanan hasarla artar. (Minimum %s, maksimum %s)
zts1564e	"Þelalenin Kýzgýnlýðý" durumundaysan, hasar güncel öfke çubuðunun %%%s deðeri kadar artar ve bu %%%s deðeri kadar düþer.
zts1565e	Devam eden debufflardan alýnan hasar (debuff sayýsý x %%%s) kadar artar. (Maksimum %%%s)
zts1566e	Devam eden debufflardan alýnan hasar (debuff sayýsý x %%%s) kadar azalýr. (Maksimum %%%s)
zts1567e	%s. Seviyeye kadar hiçbir kötü efektten etkilenmemek için %%(güçlendiricilerinin sayýsý x %s) þans saðlar. (Maksimum %%30)
zts1568e	%s. Seviyeye kadar bir kötü efektten etkilenmek için %%(güçlendiricilerinin sayýsý x %s) þans saðlar. (Maksimum %%30)
zts1569e	Vurulan rakip baþýna bir sonraki saldýrýnýn hasarý %s artar.
zts1570e	YP kullanýmý yok
zts1571e	YP yenilemesi yok
zts1572e	Baþka bir karakterin becerisiyle vurulursan, kullanýlan becerinin soðuma süresi %%%s olasýlýkla sýfýrlanýr.
zts1573e	Bir saldýrý becerisi kullandýðýnda, mevcut YP %%%s azalýr.
zts1574e	Bu becerinin yol açtýðý hasarýn %%%s kadarýný kaydeder (hedef baþýna maks. %s).
zts1577e	PvP'de tüm element dirençleri %s artýrýlýr.
zts1578e	PvP'de tüm element dirençleri %s azaltýlýr.
zts1579e	Görünmezsin. Saldýrý uðradýðýnda bu durum bozulmaz.
zts1581e	YP ve BP kullanýmý yok
zts1582e	YP ve BP iyileþmesi yok
zts1584e	Oyuncu görünmezdir ama rakipleri tarafýndan 5 alan içerisinde görülür.
zts1591e	Saldýrdýðýnda, %%%s olasýlýkla hedefine saldýracak ve verdiðin hasarýn %%%s kadarýný ona yeniden verecek bir Ejderha çaðrýlýr.
zts1592e	Saldýrdýðýnda, %%%s olasýlýkla hedefine saldýracak ve verdiðin hasarýn %%%s kadarýný ona yeniden verecek bir Ateþ Ejderhasý çaðrýlýr.
zts1593e	Saldýrdýðýnda, %%%s olasýlýkla hedefine saldýracak ve verdiðin hasarýn %%%s kadarýný ona yeniden verecek bir Buz Ejderhasý çaðrýlýr.
zts1594e	Saldýrdýðýnda, %%%s olasýlýkla hedefine saldýracak ve verdiðin hasarýn %%%s kadarýný ona yeniden verecek bir Ay Iþýðý Ejderhasý çaðrýlýr.
zts1597e	Saldýrdýðýnda, %%%s olasýlýkla hedefine saldýracak ve verdiðin hasarýn %%%s kadarýný ona yeniden verecek bir Iþýk Ejderhasý çaðrýlýr.
zts1599e	%s hasar alýrsan, %s yok olur (zamanla oluþan hasar burada sayýlmaz).
zts1601e	YP, alýnan hasarýn %%%s oranýnda yenilenir (saldýrý baþýna maks. %s).
zts1602e	BP, alýnan hasarýn %%%s oranýnda yükseldi (saldýrý baþýna maks. %s).
zts1605e	Gök Yuvasý'ndaki düþük seviyeli canavarlara verilen hasar %%%s yükselir.
zts1606e	Gök Yuvasý'ndaki düþük seviyeli canavarlara verilen hasar %%%s azalýr.
zts1608e	Yüksek seviyeli ejderhalara verilen hasar %%%s yükselir.
zts1609e	Yüksek seviyeli ejderhalara verilen hasar %%%s azalýr.
zts1610e	Ek BP'ler %%%s artar ama maksimum BP'nin %%%s kadarýný geçemezler.
zts1614e	Canavarlara karþý verilen hasar %%%s arttý.
zts1618e	Alýnan kritik isabetten doðan hasar kritik isabet baþýna %%%s düþtü (maks. %s isabet).
zts1622e	Kuþanýlan perinin hasarý debuff baþýna %s yükselir.
zts1633e	Rakibin YP’si %s düþer. Bu kesintinin %%%s kadarý uygulayýcýya eklenir.
zts1634e	Rakibin BP’si (etki seviyesi * 2) düþer. %s%%Bu kesinti uygulayýcýya eklenir.
zts1635e	%%(Yüzdelik YP kaybý *%s / 100) olasýlýkla saldýrýlardan kaçýnýrsýn.
zts1660e	Hasar %%(YP kaybý oraný/%s) oranýnda düþer.
zts1663e	Gök Yuvasý’nda ve Yaþayanlar Ülkesi’ndeki tüm saldýrýlar %5 yüksektir.
zts1665e	Gök Yuvasý ve Yaþayanlar Ülkesi’ndeki düþük seviyeli canavarlara verilen hasar %%%s yükselir.
zts1666e	Gök Yuvasý ve Yaþayanlar Ülkesi'ndeki düþük seviyeli canavarlarýn hasarý %%%s azalýr.
zts1668e	YP’yi alýnan isabet baþýna maksimum YP’nin %%%s oranýnda yükseltir (maks. %s kez).
zts1669e	BP’yi alýnan isabet baþýna maksimum BP’nin %%%s oranýnda yükseltir (maks. %s kez).
zts1672e	Bu soðuma süresini düþüren efektlerden etkilenmez.
zts1673e	%s saldýrýdan sonra [%s] efekti kaldýrýlýr.
zts1678e	Rakiplere %s üzerinde hasar veremezsin.
zts1681e	%%%s olasýlýkla %s kritik isabet saðlayacak.
zts1683e	Hareket hýzý %s yükselir (maks. %s).
zts1684e	Hareket hýzý %s düþer (maks. %s).
zts1685e	%%%s olasýlýkla rakibi %s alan uzaða iter (sadece PvP’de).
zts1687e	Nadir görülen bir balýk tutma olasýlýðý %%%s artar.
zts1688e	Saldýrdýðýnda rakip %%%s olasýlýkla 4 alan uzaða itilir (sadece PvP’de).
zts1689e	Savunma yaptýðýnda rakip %%%s olasýlýkla 4 alan uzaða itilir (sadece PvP’de).
zts1690e	Saldýrý becerilerini kullandýðýnda %%%s olasýlýkla büyülü bir ok fýrlatýrsýn.
zts1691e	Tüm alan saldýrýlarýnýn yarýçapý %s artýrýlýr.
zts1692e	Tüm alan saldýrýlarýnýn yarýçapý %s azaltýlýr.
zts1695e	Senin ýsý puanýna göre kritik isabet þansý %%%s oranýndan %%%s oranýna yükselir.
zts1696e	Tüm yakýtlarý tüketir. Tüketilen her %s yakýt puaný için %%%s YP yenilenir.
zts1697e	Sadece temel saldýrýlar mümkün.
zts1699e	[%s] veya daha yüksek bir güçlendiricide mevcut.
zts1700e	Isý puanýný artýracak hiçbir beceriyi kullanamazsýn.
zts1707e	Zýrh delinir. Hassas iðne hasarýný artýrýyor.
zts1708e	Zýrh delik deþik edildi. Hassas iðne hasarýný apaçýk artýrýyor.
zts1709e	Hassas iðne sayýlýr. Delik deþik edilmiþ zýrha sahip hedeflere verilen hasar %%%s artar.
zts1710e	[%s] etkinken kritik hasarý %%%s artýrýr.
zts1711e	[%s] etkinken kritik hasarý %%%s azaltýr.
zts1712e	[%s] etkinken kritik isabete yol açma olasýlýðý %%%s artar.
zts1713e	[%s] etkinken kritik isabete yol açma olasýlýðý %%%s azalýr.
zts1714e	Engellersen ve [%s] aktifse, sen [%s] edinirsin.
zts1715e	Saldýrýrsan ve [%s] etkinse, hedef [%s] edinir.
zts1722e	Senin ýsý puanýna göre saldýrý gücü %%%s oranýndan %%%s oranýna yükselir.
zts1723e	Senin ýsý puanýna göre saldýrý menzili %s iken %s olarak yükselir.
zts1724e	Senin ýsý puanýna göre saldýrý yarýçapý %%%s oranýndan %%%s oranýna yükselir.
zts1725e	[Aþýrý ýsýnmýþ] efekti etkinken, hedefin %s alan çapýndaki rakipler bir yerde toplanýr.
zts1726e	Hedefin %s alan çapýndaki rakipleri bir yerde toplar.
zts1727e	[Aþýrý ýsýnmýþ] efekti etkinken, rakibin YP'si senin aldýðýn hasarýn %%%s oranýnda azaltýlýr.
zts1734e	Tüm mevcut ýsý puanlarýný tüketir. Hasar, tüketilen ýsý puanýnýn %%%s oranýnda yükselir.
zts1735e	%s keskinlik puaný aldýn.
zts1736e	%s keskinlik puaný kaybettin.
zts1737e	%s yer çekimi puaný ediniyorsun ve %s yer çekimi karþýtý puaný kaybediyorsun.
zts1738e	%s yer çekimi karþýtý puaný ediniyorsun ve %s yer çekimi puaný kaybediyorsun.
zts1739e	Yer çekimi becerilerinin hasarý %%%s artýrýlýr.
zts1740e	Yer çekimi karþýtý becerilerinin hasarý %%%s artýrýlýr.
zts1741e	Hasar, (güncel yer çekimi puaný ve yer çekimi karþýtý puaný sayýsý) * %%%s miktarýnda artýrýlýr. Tüm yer çekimi puanlarý ve yer çekimi karþýtý puanlarý tüketilir.
zts1748e	[%s] etkinken hasarý %%%s artýrýr.
zts1749e	[%s] etkinken (Büyü dahil) becerilerin BP tüketimi %%%s artar.
zts1750e	[%s] etkinken (Büyü dahil) becerilerin BP tüketimi %%%s azalýr.
zts1751e	[%s] etkinken su elementi %%%s arttý.
zts1752e	[%s] etkinken tüm element dirençleri %%%s arttý.
zts1753e	%s BP kaybediyor ama %s yakýt puaný kazanýyorsun.
zts1754e	%s yakýt puaný harcýyorsun. Hasarýn %%%s yükselir.
zts1761e	%s yakýt puaný harcýyorsun. Gölge elementin %%%s artýyor.
zts1762e	%s yakýt puaný harcýyorsun ve [%s] efektini ediniyorsun.
zts1763e	%s yakýt puaný harcýyorsun. Kullanýlan becerinin bekleme süresi %%%s olasýlýkla sýfýrlanýr.
zts1764e	%s yakýt puaný harcýyorsun ve rakibin savunmasýnýn %%%s kadarýný görmezden geliyorsun.
zts1765e	%s ýsý puaný ediniyorsun.
zts1766e	%s ýsý puaný kaybediyorsun.
zts1770e	Her temel saldýrý sonrasýnda yer çekimi puanlarý %s azalýr.
zts1771e	Her temel saldýrý sonrasýnda yer çekimi karþýtý puanlarý %s azalýr.
zts1772e	Tüm yer çekimi becerileri kullanýlamaz.
zts1773e	Tüm yer çekimi karþýtý becerileri kullanýlamaz.
zts1774e	Yer çekimi puanlarý %s azalýr.
zts1775e	Yer çekimi karþýtý puanlarý %s azalýr.
zts1778e	[%s] etkinleþtirilmiþse [%s] tetiklenir.
zts1779e	[%s] etkinken kuþanýlmýþ bir perinin elementi %s yükselir.
zts1780e	%s yakýt puaný kaybedersin ve hedefe [%s] uygularsýn.
zts1781e	Maksimum BP puanýný %%%s oranýnda kaybedersin ama %s yakýt puaný kazanýrsýn.
