zts1e	Yeni nesne
zts17738e	Bu sandýktaki tahta seni Rüzgar Sörfçüsü'ne dönüþtürecek.[n][Dikkat][n]Rüzgar Sörfçü tahtasýný çýkardýktan sonra sandýk pazarlanamaz.[n]
zts17739e	Korsan UP geliþtirme parþömeni
zts17740e	Parþömeni kullandýðýn anda korsan uzman kartýný geliþtirebileceðin bir geliþtirme penceresi açýlýr.[n]Geliþtirmeyi yaparsan, geliþtirme için baþka eþya gerekmez.[n]Sadece bir tane geliþtirme parþömeni harcanýr.[n][Dikkat][n]Bu eþya etkinlik bittiðinde yok olur.[n][n]
zts17741e	Altýn arena sandýðýndan bu deðerli eþyalardan birini alýrsýn:[n][Eþyalar][n]1x Kusursuzluðun Küçük Yakutu[n]1x Kusursuzluðun Küçük Safiri[n]1x Kusursuzluðun Küçük Obsidiyeni[n]1x Kusursuzluðun Küçük Topazý[n]1x Kusursuzluðun Yakutu[n]1x Kusursuzluðun Safiri[n]50x Devasa Ýyileþtirici Ýksir[n]2x Iþýldayan Mavi Ruh[n]1x Ejderha Kalbi[n]1x Yýldýrým Runiði[n]1x Dalga Runiði[n]1x Bulut Runiði[n]1x Rüzgar Runiði[n]1x Ateþ Runiði[n]
zts17742e	Erenia'nýn kutsamasý tüm kötü efektleri ortadan kaldýrýr.[n]Böylece 4 saniyeliðine tüm kötü efektlere karþý[n]%50 olasýlýkla dirençli olursun.[n][Dikkat][n]Sadece Takým Arenasý'nda kullanýlabilir.[n][Miktar sýnýrý][n]1[n]
zts17743e	Zenas'ýn kutsamasý kýsa süreliðine senin hareketini kýsýtlasa veya saldýrmana engel olsa da,[n]3 saniyeliðine her türlü hasarý %100 olasýlýkla bloke etmeni saðlar.[n][Dikkat][n]Sadece Takým Arenasý'nda kullanýlabilir.[n][Miktar sýnýrý][n]1[n]
zts17744e	Astral enerji
zts17745e	Astral enerji kullanýldýðýnda BP deðerin 10 saniyeliðine 5.000 dolar.[n][Dikkat][n]Sadece Takým Arenasý'nda kullanýlabilir.[n][Miktar sýnýrý][n]1[n]
zts17746e	Kamuflaj Beresi
zts17747e	Kamuflaj beresiyle görünmez olursun ve hareket hýzýn 2 saniyeliðine 5 yükselir.[n]Sonraki 8 saniye boyunca hareket hýzýn 6 azalýr.[n][Dikkat][n]Sadece Takým Arenasý'nda kullanýlabilir.[n][Miktar sýnýrý][n]1[n]
zts17748e	Ýntikam
zts17749e	Ýntikam kullanýlýrsa hareket hýzýn 3 saniyeliðine 8 artar.[n][Dikkat][n]Sadece Takým Arenasý'nda kullanýlabilir.[n][Miktar sýnýrý][n]1[n]
zts17765e	Navy Çalýkuyruk
zts17766e	Korsan Çalýkuyruk (Su)
zts17767e	Korsan Çalýkuyruk (Ateþ)
zts17768e	Korsan Çalýkuyruk (Iþýk)
zts17769e	Korsan Çalýkuyruk (Gölge)
zts17770e	Leona
zts17783e	Bu, Ustalarýn Arenasý bileti.[n]Sadece çok cesur kahramanlar bu ayrýcalýða sahip olur![n]Giriþ sayýn düþükse,[n]bileti kullan ve 1 ek giriþ hakký kazan.[n][Dikkat][n]Bilet sayesinde kazanýlan giriþ sayýsý her ay sýfýrlanýr.[n]
zts17790e	Altýn teçhizat koruma parþömeni
zts17791e	Altýn teçhizat koruma parþömeniyle bir eþyayý anýnda ve doðrudan geliþtirebilirsin.[n]Parþömenin üzerine çift týklayarak geliþtirme penceresini aç ve baþla.[n]Gerekli cella tozu ve altýn miktarý %50 düþürüldü.[n][Kullanýmý][n]Parþömenin üzerine çift týklayarak geliþtirme penceresini aç.[n]Eþyaný bu pencerede geliþtirirsen, yok olmaktan korunmuþ olur.[n]
zts17792e	Peri Tecrübe Ýksiri
zts17793e	Peri tecrübe iksiriyle perinin tecrübe puanlarý %100 artar, hem de tam bir saat boyunca.[n]
zts17794e	Altýn Palamut
zts17796e	Bronz Palamut
zts17805e	Kovboy Çalýkuyruk
zts17806e	Ninja Çalýkuyruk
zts17811e	Palamut
zts17817e	Pegasus'u çaðýr
zts17818e	Canavarý karþý tarafa çaðýrýr.[n]
zts17819e	Kangpen'i çaðýr
zts17820e	Hiddetli tavukçuðu çaðýr
zts17821e	Yeti'yi çaðýr
zts17822e	Rudi'yi çaðýr
zts17823e	Çalýkuyruk Kralý Hediye Kutusu
zts17830e	Titan kanatlar
zts17831e	Uzmanýnýn kanatlarýný titan kanatlara dönüþtürür.[n][Kullanýmý][n]1. Kendini bir uzmana dönüþtür.[n]2. Kanatlarýný deðiþtirmek için bu nesneyi kullan.[n][Özel Efekt][n]PvP'de rakibe verdiðin hasar +%2 artar.[n]BP +200 yükselir.[n][Dikkat][n]1. Bu kanatlarý ancak +1 veya daha fazla geliþmiþ bir uzman kartýyla titan kanatlara dönüþtürebilirsin.[n]2. Kanatlar uzmanlýk kartýný kart tutacaðýna koyduðun an kaybolur.[n]
zts17836e	Kanatlandýran tüy sandýðý
zts17837e	Kanatlandýran tüy sandýðý titan kanatlar ve baþka eþyalar içerir.[n]Þu eþyalardan birini alýrsýn:[n][Alýnabilen Eþyalar][n]1x Titan kanatlar[n]1x Buz kanatlar[n]1x Ateþ kanatlar[n]50x Melek kanadý[n]
zts17838e	Kanatlandýran dolunay kutusu
zts17839e	Kanatlandýran dolunay kutusu titan kanatlar ve baþka eþyalar içerir.[n]Þu eþyalardan birini alýrsýn:[n][Alýnabilen Eþyalar][n]1x Titan kanatlar[n]1x Buz kanatlar[n]1x Ateþ kanatlar[n]50x Dolunay kristali[n]
zts17848e	Þinobi'nin Partner Uzman Kartý
zts17849e	Gölge elementinin partner uzman kartý.[n]Yakýn saldýrý partnerleri tarafýndan taþýnabilir.[n]Hýzlý ve isabetli... alt et![n]
zts17850e	Lotus'un Partner Uzman Kartý
zts17851e	Gölge elementinin partner uzman kartý.[n]Uzak saldýrý partnerleri tarafýndan taþýnabilir.[n]Parmaklarýn yansýn ister misin? Vaaayyyyyy![n]
zts17852e	Orkani'nin Partner Uzman Kartý
zts17853e	Gölge elementinin partner uzman kartý.[n]Prenses Sakura bunu taþýyabilir.[n]Sana karanlýðý göstereceðim![n]
zts17854e	Tüm partner becerileri için olan gizemli beceri bileti
zts17855e	Bu sandýk partner beceri biletlerinin (tümü) yaný sýra yeni partner uzmanlýk kartlarýný da içerir.[n]Biraz þansla yeni bir partner uzman kartý kazanabilirsin![n][Alýnabilecek Eþyalar][n]1x Partner Beceri Bileti (tümü)[n]1x Aegir'in Partner Uzman Kartý[n]1x Barni'nin Partner Uzman Kartý[n]1x Freya'nýn Partner Uzman Kartý[n]1xÞinobis'in Partner Uzman Kartý [n]1x Lotus'un Partner Uzman Kartý [n]1x Orkani'nin Partner Uzman Kartý[n]
zts17856e	Devasa Depo
zts17857e	Bu sandýk devasa bir depo içerir.[n]Sandýðý açarak %100 1x Devasa Depo (sýnýrsýz) alýrsýn[n][Dikkat][n]Sandýktan çýkardýktan sonra depo pazarlanamaz.[n]
zts17888e	Sarý cip
zts17889e	Arazi kabiliyetli bir cipin þoförü ol.[n]Hareket hýzýn artar.[n]Eþyayý tekrar kullandýðýnda üzerinden inersin.[n]Seviye sýnýrý yok.[n][Özellikler][n]Hareket hýzý: 21[n]Çöl'de ve Yanan Kýlýç Bölgesi'ndeki hareket hýzý +2[n][Speedbooster ile][n]Hareket hýzý +2[n]Süre +6[n]
zts17890e	Mavi cip
zts17891e	Kýrmýzý cip
zts17892e	Çam yeþili cip
zts17893e	Siyah cip
zts17894e	Pembe cip
zts17895e	Sarý cip
zts17896e	Bir cip þoförü ol ve o arazi senin bu arazi benim gez.[n][Dikkat][n]Cipi sandýktan çýkardýktan sonra onu pazarlayamazsýn.[n]
zts17897e	Mavi cip
zts17898e	Kýrmýzý cip
zts17899e	Çam yeþili cip
zts17900e	Siyah cip
zts17901e	Pembe cip
zts17924e	Harika ikramiye kutusu
zts17925e	Büyük ikramiyeyi kaçýrma![n]Þu þahane eþyalardan birini kapabilirsin:[n]2x Ateþ Kristali (toplam 10.000.000 Altýn'a denk düþer)[n]1x Rengarenk Cip Sandýðý[n]1x Titan Kanadý [n]1x Ateþ Kanadý[n]1x Buz Kanadý[n]25x Melek Kanadý[n]25x Dolunay Kristali[n]
zts17926e	Rengarenk Cip Sandýðý
zts17927e	Bu sandýkta bütün cipler koleksiyon halinde.[n]Önümüzdeki eþyalardan birine sahip olabilirsin:[n]1x Sarý Cip[n]1x Mavi Cip[n]1x Kýrmýzý Cip[n]1x Çamyeþili Cip[n]1x Siyah Cip[n]1x Pembe Cip[n]
zts17935e	Tozpembe parti tacý (30 günlük)
zts17936e	Bu tozpembe parti tacýyla her partide dikkatleri üzerine çekersin.[n]Kullaným süresi taktýðýnda baþlar.[n][Efekt][n]Ekstra hasar +%5[n]
zts17937e	Sarý parti tacý (30 günlük)
zts17938e	Bu sarý parti tacýyla her partide dikkatleri üzerine çekersin.[n]Kullaným süresi taktýðýnda baþlar.[n][Efekt][n]Ekstra savunma gücü +%5[n]
zts17939e	Mavi parti tacý (30 günlük)
zts17940e	Bu mavi parti tacýyla her partide dikkatleri üzerine çekersin.[n]Kullaným süresi taktýðýnda baþlar.[n][Efekt][n]Ekstra hasar +%3[n]Ek savunma gücü +%3[n]
zts17941e	Tozpembe parti tacý (sýnýrsýz)
zts17942e	Bu tozpembe parti tacýyla her partide dikkatleri üzerine çekersin.[n][Efekt][n]Ekstra hasar +%5[n]
zts17943e	Sarý parti tacý (sýnýrsýz)
zts17944e	Bu sarý parti tacýyla her partide dikkatleri üzerine çekersin.[n][Efekt][n]Ekstra savunma gücü +%5[n]
zts17945e	Mavi parti tacý (sýnýrsýz)
zts17946e	Bu mavi parti tacýyla her partide dikkatleri üzerine çekersin.[n][Efekt][n]Ekstra hasar +%3[n]Ekstra savunma gücü +%3[n]
zts17947e	Tozpembe Parti Elbisesi (30 günlük)
zts17948e	Bu tozpembe parti elbisesiyle her partide dikkatleri üzerine çekersin.[n]Kullaným süresi, ilk kez giydiðin anda baþlar.[n][Efekt][n]Ekstra hasar +%3[n]Maks. BP +200[n][n]
zts17949e	Sarý Parti Elbisesi (30 günlük)
zts17950e	Bu pembe parti elbisesiyle her partide dikkatleri üzerine çekersin.[n]Kullaným süresi, ilk kez giydiðin anda baþlar.[n][Efekt][n]Ekstra savunma gücü +%3[n]Maks. YP +200[n][n]
zts17951e	Mavi parti elbisesi (30 günlük)
zts17952e	Bu mavi parti elbisesiyle her partide dikkatleri üzerine çekersin.[n]Kullaným süresi, ilk kez giydiðin anda baþlar.[n][Efekt][n]Maks. YP +500[n]Maks. BP +500[n][n]
zts17953e	Tozpembe Parti Elbisesi (sýnýrsýz)
zts17954e	Bu tozpembe parti elbisesiyle her partide dikkatleri üzerine çekersin.[n][Efekt][n]Ekstra hasar +%3[n]Maks. BP +200[n][n]
zts17955e	Sarý Parti Elbisesi (sýnýrsýz)
zts17956e	Bu sarý parti elbisesiyle her partide dikkatleri üzerine çekersin.[n][Efekt][n]Ekstra savunma gücü +%3[n]Maks. YP +200[n][n]
zts17957e	Mavi parti elbisesi (sýnýrsýz)
zts17958e	Bu mavi parti elbisesiyle her partide dikkatleri üzerine çekersin.[n][Efekt][n]Maks. YP +500[n]Maks. BP +500[n][n]
zts17959e	Kýrmýzý Siperli Kasket (30 günlük)
zts17960e	Bu kýrmýzý siperli kasketle en zor meseleleri bile çözersin.[n]Kullaným süresi taktýðýnda baþlar.[n][Efekt][n]Ekstra hasar +%5[n]
zts17961e	Altýn Siperli Kasket (30 günlük)
zts17962e	Bu altýn siperli kasketle en zor meseleleri bile çözersin.[n]Kullaným süresi taktýðýnda baþlar.[n][Efekt][n]Ek savunma gücü +%5[n]
zts17963e	Kahverengi siperli kasket (30 günlük)
zts17964e	Bu kahverengi siperli kasketle en zor meseleleri bile çözersin.[n]Kullaným süresi taktýðýnda baþlar.[n][Efekt][n]Ekstra hasar +%3[n]Ek savunma gücü +%3[n]
zts17965e	Kýrmýzý Siperli Kasket (sýnýrsýz)
zts17966e	Bu kýrmýzý siperli kasketle en zor meseleleri bile çözersin.[n][Efekt][n]Ekstra hasar +%5[n]
zts17967e	Altýn Siperli Kasket (sýnýrsýz)
zts17968e	Bu altýn siperli kasketle en zor meseleleri bile çözersin.[n][Efekt][n]Ek savunma gücü +%5[n]
zts17969e	Kahverengi siperli kasket (sýnýrsýz)
zts17970e	Bu kahverengi siperli kasketle en zor meseleleri bile çözersin.[n][Efekt][n]Ekstra hasar +%3[n]Ek savunma gücü +%3[n]
zts17971e	Kýrmýzý Dedektif Kýyafeti (30 günlük)
zts17972e	Bu kýrmýzý dedektif kýyafetiyle en zor meseleleri bile çözersin.[n]Kullaným süresi giydiðinde baþlar.[n][Efekt][n]Ekstra hasar +%3[n]Maks. BP +200[n][n]
zts17973e	Altýn Dedektif Kýyafeti (30 günlük)
zts17974e	Bu altýn dedektif kýyafetiyle en zor meseleleri bile çözersin.[n]Kullaným süresi giydiðinde baþlar.[n][Efekt][n]Ek savunma gücü +%3[n]Maks. YP +200[n][n]
zts17975e	Kahverengi dedektif kýyafeti (30 günlük)
zts17976e	Bu kahverengi dedektif kýyafetiyle en zor meseleleri bile çözersin.[n]Kullaným süresi giydiðinde baþlar.[n][Efekt][n]Maks. YP +500[n]Maks. BP +500[n][n]
zts17977e	Kýrmýzý Dedektif Kýyafeti (sýnýrsýz)
zts17978e	Bu kýrmýzý dedektif kýyafetiyle en zor meseleleri bile çözersin.[n][Efekt][n]Ekstra hasar +%3[n]Maks. BP +200[n][n]
zts17979e	Altýn Dedektif Kýyafeti (sýnýrsýz)
zts17980e	Bu altýn dedektif kýyafetiyle en zor meseleleri bile çözersin.[n][Efekt][n]Ek savunma gücü +%3[n]Maks. YP +200[n][n]
zts17981e	Kahverengi dedektif kýyafeti (sýnýrsýz)
zts17982e	Bu kahverengi dedektif kýyafetiyle en zor meseleleri bile çözersin.[n][Efekt][n]Maks. YP +500[n]Maks. BP +500[n][n]
zts17983e	Tozpembe Parti Elbisesi (sýnýrsýz)
zts17984e	Bu tozpembe parti kýyafeti seti þunlardan oluþur:[n]1x Pembe Parti Tacý (sýnýrsýz)[n]1x Pembe Parti Elbisesi (sýnýrsýz)[n]
zts17985e	Sarý Parti Seti (sýnýrsýz)
zts17986e	Bu sarý parti kýyafeti seti þunlardan oluþur:[n]1x Sarý Parti Tacý (sýnýrsýz)[n]1x Sarý Parti Elbisesi (sýnýrsýz)[n]
zts17987e	Mavi parti seti (sýnýrsýz)
zts17988e	Bu mavi parti kýyafeti seti þunlardan oluþur:[n]1x Mavi Parti Tacý (sýnýrsýz)[n]1x Mavi Parti Elbisesi (sýnýrsýz)[n]
zts17989e	Kýrmýzý Dedektif Seti (sýnýrsýz)
zts17990e	Bu kýrmýzý dedektif kýyafeti seti þunlardan oluþur:[n]1x Kýrmýzý Siperli Kasket (sýnýrsýz)[n]1x Kýrmýzý Dedektif Kýyafeti (sýnýrsýz)[n]
zts17991e	Altýn Dedektif Seti (sýnýrsýz)
zts17992e	Bu altýn dedektif kýyafeti seti þunlardan oluþur:[n]1x Altýn Siperli Kasket (sýnýrsýz)[n]1x Altýn Dedektif Kýyafeti (sýnýrsýz)[n]
zts17993e	Kahverengi Dedektif Seti (sýnýrsýz)
zts17994e	Bu kahverengi dedektif kýyafeti seti þunlardan oluþur:[n]1x Kahverengi Siperli Kasket (sýnýrsýz)[n]1x Kahverengi Dedektif Kýyafeti (sýnýrsýz)[n]
zts17995e	Usta Dedektif'in Ýkramiye Sandýðý
zts17996e	Ýkramiyeyi kap![n]Bu sandýk sayesinde þu þahane eþyalardan birini elde edebilirsin:[n]5x Ateþ kristali (toplam 25.000.000 altýna denk gelir)[n]1x Kýrmýzý Dedektif seti (sýnýrsýz)[n]1x Altýn Dedektif seti (sýnýrsýz)[n]1x Kahverengi Dedektif seti (sýnýrsýz)[n]1x Titan kanadý[n]1x Ateþ kanadý[n]1x Buz kanadý[n]25x Melek kanadý[n]25x Dolunay kristali[n]
zts17997e	Parti Kraliçesi'nin Ýkramiye Sandýðý
zts17998e	Ýkramiyeyi kap![n]Bu sandýk sayesinde þu þahane eþyalarý elde edebilirsin:[n]5x Ateþ kristali (toplam 25.000.000 altýna denk gelir)[n]1x Tozpembe parti seti (sýnýrsýz)[n]1x Sarý parti seti (sýnýrsýz)[n]1x Mavi parti seti (sýnýrsýz)[n]1x Titan kanadý[n]1x Ateþ kanadý[n]1x Buz kanadý[n]25x Melek kanadý[n]25x Dolunay kristali[n]
zts18003e	Minik Altýn Parçasý
zts18004e	Saf altýn parçasý.[n]NosVille'deki Tüccarlar buna iyi para verir.[n]
zts18005e	Küçük Altýn Parçasý
zts18006e	Büyük Altýn Parçasý
zts18007e	Kocaman Altýn Parçasý
zts18011e	En son etkinlikteki baþarýlarýndan dolayý[n]bu kuponu ödül olarak kazandýn.[n]Onu iyi sakla.[n]Etkinlikle ilgili ayrýntýlý bilgilere buradan ulaþabilirsin:[n]http://nostale.web.tr[n]
zts18012e	Bu sandýk bir etkinlik ödülü.[n]Ýçeriði dýþtan belli olmuyor.[n]Sandýðý aç ve içinde neyin saklý olduðunu öðren![n]
zts18013e	Kovboy Çalýkuyruk Ýkramiye Sandýðý
zts18014e	Yepyeni Kovboy Çalýkuyruk ve ikramiye sandýðýný kaçýrma![n]Bu harika ödüllerden birini cebe indirebilirsin:[n]5x Ateþ kristali (toplam 25.000.000 Altýn deðerinde)[n]1x Kovboy Çalýkuyruk[n]1x Titan kanadý[n]1x Ateþ kanadý[n]1x Buz kanadý[n]25x Melek kanadý[n]25x Dolunay kristali[n]
zts18015e	Ninja Çalýkuyruk Ýkramiye Sandýðý
zts18016e	Yepyeni Ninja Çalýkuyruk ve ikramiye sandýðýný kaçýrma![n]Bu harika ödüllerden birini cebe indirebilirsin:[n]5x Ateþ kristali (toplam 25.000.000 Altýn deðerinde)[n]1x Ninja Çalýkuyruk[n]1x Titan kanadý[n]1x Ateþ kanadý[n]1x Buz kanadý[n]25x Melek kanadý[n]25x Dolunay kristali[n]
zts18029e	Baþmelek Kanatlarý
zts18030e	Uzmanýnýn kanatlarýný baþmelek kanadýna dönüþtürür.[n][Kullanýmý][n]1. Bir uzmana dönüþ.[n]2. Bu nesneyi, kanatlarýný deðiþtirmek için kullan.[n][Efekt][n]Iþýk elementini 10 artýrýr.[n]Hareket hýzý +1[n][Dikkat][n]1. Uzman kanatlarý sadece +1 veya üzeri olan geliþtirilmiþ uzman kartýyla deðiþtirebilirsin.[n]2. Uzman kartýný bir kart tutacaðýna yerleþtirdiðinde kanatlar kaybolur.[n]
zts18031e	Baþþeytan kanatlarý
zts18032e	Uzmanýnýn kanatlarýný baþþeytan kanadýna dönüþtürür.[n][Kullanýmý][n]1. Bir uzmana dönüþ.[n]2. Bu nesneyi, kanatlarýný deðiþtirmek için kullan.[n][Efekt][n]Gölge elementini 10 artýrýr.[n]Hareket hýzý +1[n][Dikkat][n]1. Uzman kanatlarý sadece +1 veya üzeri olan geliþtirilmiþ uzman kartýyla deðiþtirebilirsin.[n]2. Uzman kartýný bir kart tutacaðýna yerleþtirdiðinde kanatlar kaybolur.[n]
zts18033e	Kanatlar & daha fazlasý
zts18034e	Kanatlar & daha fazlasý, þahane baþmelek veya baþþeytan kanatlarý ve daha fazlasýný içerir.[n]Þu eþyalardan birini elde edersin:[n]1x Baþþeytan Kanadý[n]1x Baþmelek Kanadý[n]1x Titan Kanadý[n]1x Ateþ Kanadý[n]1x Buz Kanadý[n]25x Melek Kanadý[n]25x Dolunay Kristali[n]
zts18046e	Uyanýk çalýkuyruklar & daha fazlasý
zts18047e	Uyanýk çalýkuyruklar & daha fazlasý, sessiz Ninja Çalýkuyruk veya vuruþlarý güçlü Kovboy Çalýkuyruk ve daha fazlasýný içerir.[n]Þu eþyalardan birini kazanýrsýn:[n]1x Ninja Çalýkuyruk [n]1x Kovboy Çalýkuyruk [n]25x Melek Kanadý[n]25x Dolunay Kristali[n]
zts18048e	Futbol kepi (sýnýrsýz)
zts18049e	Futbol þapkasýný tak ve fanatik bir futbolsever olduðunu kabul et![n][Etki][n]Ateþ direncini 10 artýrýr.[n]
zts18050e	Futbol formasý (sýnýrsýz)
zts18051e	Futbol formasýný giy ve futbol taraftarý olduðunu belli et![n][Efekt][n]Maksimum YP'yi 600 artýrýr.[n]
zts18052e	Top cambazlarý sandýðý
zts18053e	Bu sandýkla seni futbol heyecaný saracak![n]Þu eþyalardan birine sahip olacaksýn:[n]1x Futbol Taraftar Seti[n]1x Alman Futbol Çalýkuyruðu[n]1x Fransýz Futbol Çalýkuyruðu[n]1x Ýngiliz Futbol Çalýkuyruðu[n]1x Ýtalyan Futbol Çalýkuyruðu[n]1x Ýspanyol Futbol Çalýkuyruðu[n]1x Polonyalý Futbol Çalýkuyruðu[n]1x Rus Futbol Çalýkuyruðu[n]1x Çek Futbol Çalýkuyruðu[n]1x Türk Futbol Çalýkuyruðu[n]1x Futbol Çalýkuyruðu[n]1x Hakem Çalýkuyruðu[n]25x Melek Kanadý[n]25x Dolunay Kristali[n]
zts18054e	Futbol taraftarý seti
zts18055e	Futbol taraftarlarýna özel bu þahane setin içeriði:[n]1x Futbol kepi (sýnýrsýz)[n]1x Futbol formasý (sýnýrsýz)[n]
zts18063e	Kahin uzman kartý
zts18064e	Kara Büyü Araþtýrmacýsý[n]"Bütün yaratýklar... nereye gidersem gideyim... benim gittiðim yoldan gidecektir."[n]
zts18065e	Ýblis Avcýsý Uzman Kartý
zts18066e	Þeytanla bizzat anlaþma yapan bir Avcý.[n]"Ben bile ruhumu sattým... bütün þeytanlarýn kökünü kurutacaðým."[n]
zts18067e	Ölüm Habercisi uzman kartý
zts18068e	Ölümün sað kolu[n]"Öyle ya da böyle... her þey devam edecek..."[n]
zts18069e	Caligor'un hazine sandýðý
zts18070e	Altýn Titan Caligor'un hazine sandýðý.[n]Sana çok sayýda eþya elde etme imkaný saðlar.[n]
zts18071e	Rahat kostüm sandýðý (d)
zts18072e	Bu þahane sandýðýn içinde þu kýyafetlerden birini bulabilirsin:[n]Kadýnlar için Havai Kýyafeti[n]Yýldýzlý Okul Üniformasý[n]Mavi Bahriyeli Kýyafeti[n]Kunoichi Kimonosu[n]Peri Kostümü[n]Sarý Okul Üniformasý[n]Mor Okul Üniformasý[n]Yeþil Okul Üniformasý[n]Fuþya Spor Kýyafeti[n]Gök Mavisi Spor Kýyafeti[n]Mercan Pembesi Spor Kýyafeti[n]Koyu Siyah Spor Kýyafeti[n]Ateþ Gülü Kostümü[n]Nane Kostümü[n]Çikolata Kostümü[n]Açelya Hanboðu[n]Asya Ayýsý Kostümü[n]Panda Kostümü[n]
zts18073e	Hayvanlý kostüm sandýðý (d)
zts18074e	Bu þahane sandýðýn içinde þu kýyafetlerden birini bulabilirsin:[n]Çiðdem Hanboðu[n]Gül Hanboðu[n]Lavanta Chipaosu[n]Anka Kuþu Chipaosu[n]Siyah Chipao[n]Kiraz Çiçeði Kimonosu[n]Zambak Kimonosu[n]Dalmaçyalý Kostümü[n]Rottweiler Kostümü[n]Siyam Kedisi Kostümü[n]Mavi Rus Kedisi Kostümü[n]Oynak Tavþan Kostümü[n]Büyüleyici Tavþan Kostümü[n]Açýk Renkli Aslan Kostümü[n]Koyu Aslan Kostümü[n]Kutup Ayýsý Kostümü[n]Oyuncak Ayý Kostümü[n]
zts18075e	Bol paçalý kostüm sandýðý (e)
zts18076e	Bu þahane sandýðýn içinde þu kýyafetlerden birini bulabilirsin:[n]Erkekler için Havai Kýyafeti[n]Þýk Erkek Takým Elbisesi[n]Mavi Subay Kýyafeti[n]Ýblis Kostümü[n]Kâþif Kýyafeti[n]Heavy Metal Kýyafeti[n]Ateþ Kýyafeti[n]Ormancý Kýyafeti[n]Asker Kýyafeti[n]Kot Giysi[n]Yeni Sezon Spor Kýyafeti[n]Alevli Sport Kýyafeti[n]Ýçaçýcý Spor Kýyafeti[n]Hiphop Kýyafeti[n]Ýlkbahar Hanboku[n]Gökkuþaðý Hanboku[n]Asya Ayýsý Kostümü[n]Panda Kostümü[n]
zts18077e	Hayvani kostüm sandýðý (e)
zts18078e	Bu þahane sandýðýn içinde þu kýyafetlerden birini bulabilirsin:[n]Yaz Hanboðu[n]Kung Fu Chipao[n]Ýmparator Chipaosu[n]Ejderha Chipaosu[n]Ayýþýðý Kimonosu[n]Güneþ Iþýðý Kimonosu[n]Dadami Kimonosu[n]Bulldog Kostümü[n]Birman Kedisi Kostümü[n]Korat Kedisi Kostümü[n]Mart Tavþaný Kostümü[n]Beyaz tavþan Kostümü[n]Saint Bernard Kostümü[n]Altýn Aslan Kostümü[n]Siyah Aslan Kostümü[n]Kutup Ayýsý Kostümü[n]Oyuncak Ayý Kostümü[n]
zts18079e	Bayanlar için þapka kutusu
zts18080e	Bu þahane kutuda þu etkileyici baþ süslerinden birini bulabilirsin:[n]Kadýnlar için Havai Baþ Süsü[n]Yýldýzlý Toka[n]Mavi Bahriyeli Þapkasý[n]Peri Saç Bandý[n]Ayam[n]Ýmparatoriçe Tacý[n]Çiçekli Toka[n]Dalmaçyalý Þapkasý[n]Rottweiler Þapkasý[n]Siyam Kedisi Þapkasý[n]Mavi Rus Kedisi Þapkasý[n]Oynak Tavþan Kulaklarý[n]Büyüleyici Tavþan Kulaklarý[n]Açýk Renkli Aslan Þapkasý[n]Kara Aslan Þapkasý[n]Asya Ayýsý Þapkasý[n]Panda Þapkasý[n]Kutup Ayýsý Þapkasý[n]Oyuncak Ayý Þapkasý[n]
zts18081e	Erkekler için þapka kutusu
zts18082e	Bu þahane kutuda þu etkileyici baþ süslerinden birini bulabilirsin:[n]Erkekler için Havai Baþ Süsü[n]Þýk Erkek Þapkasý[n]Mavi Bahriyeli Þapkasý[n]Ýblis Þapkasý[n]Hogeon[n]Asya Þapkasý[n]Ebosi[n]Bulldog Þapkasý[n]Sen Bernar Þapkasý[n]"Burma Kedisi" Þapkasý[n]"Korat Kedisi" Þapkasý[n]Mart Tavþaný Þapkasý[n]Beyaz Tavþan Þapkasý[n]Siyah Aslan Þapkasý[n]Altýn Aslan Þapkasý[n]Asya Ayýsý Þapkasý[n]Panda Þapkasý[n]Kutup Ayýsý Þapkasý[n]Oyuncak Ayý Þapkasý[n]
zts18083e	Unisex þapka kutusu
zts18084e	Bu þahane kutuda þu etkileyici þapkalardan birini bulabilirsin:[n]Kedi Þapkasý[n]Eþek Þapkasý[n]Kovboy Þapkasý[n]Maymun Þapkasý[n]Antilop Þapkasý[n]Sabah Sefasý Þapkasý[n]Penguen Þapkasý[n]Eski Silindir[n]Kulak Saç Bandý[n]Çiçek Vazolu Þapka[n]
zts18085e	Saç boyasý karýþýmý
zts18086e	Þu saç boyalarýndan biriyle tarzýný deðiþtir:[n]Siyah Saç Boyasý[n]Açýk Mavi Saç Boyasý[n]Beyaz Saç Boyasý[n]Açýk Yeþil Saç Boyasý[n]Tozpembe Saç Boyasý[n]
zts18087e	Iþýldayan çalýkuyruklar & daha fazlasý
zts18088e	Bu þahane sandýkta þu eþyalardan birini bulabilirsin:[n]1x Shogun Çalýkuyruðu[n]1x Centurio Çalýkuyruðu[n]1x Özel Çalýkuyruk Timi[n]1x Boksör Çalýkuyruðu[n]1x Siyah Çalýkuyruk[n]1x Mavi Çalýkuyruk[n]1x Yeþil Çalýkuyruk[n]1x Kýrmýzý Çalýkuyruk[n]1x Sarý Çalýkuyruk[n]1x Tozpembe Çalýkuyruk[n]1x Turkuaz Çalýkuyruk[n]1x Kahverengi Çalýkuyruk[n]1x Samuray Çalýkuyruk[n]1x Boða Çalýkuyruðu[n]1x Haþere Uzmaný Çalýkuyruðu[n]1x Gladyatör Çalýkuyruk[n]1x Hasta Çalýkuyruk[n]25x Melek Kanadý[n]25x Dolunay Kristali[n]
