zts1e	Teos Werkzeugladen
zts15345e	Hat dich Velmon geschickt?
zts15346e	Velmon hat schon immer Freundschaften sehr geschätzt. Wenn er dich geschickt hat, habe ich vor dir nichts zu verbergen.
zts15347e	Eine Beziehung zwischen den Bewohnern der Zone des Chaos und den Wüstenräubern? So etwas gibt es nicht.
zts15348e	Da Ibrahim niemandem vertraut, traue ich es ihm nicht zu. Aber wenn es etwas ist, was mit einem größeren Plan zu tun hat, ist es eine andere Sache.
zts15349e	Ich kenne jemanden, der mehr darüber wissen könnte. Es ist ein junger Räuber namens Kamil, der gegen Ibrahim rebelliert hat. Er wird im Räuberinnenhof gefangengehalten.
zts15350e	Du kannst mich eh nicht befreien, daher verschwende ich auch gar keinen Gedanken daran, von hier zu fliehen. So ist nun einmal das Leben, da ist nichts zu machen. Dein Leben unterscheidet sich darin nicht von meinem.
zts15351e	Interessant. Wenn das wahr ist, habe ich dir auch etwas zu erzählen.
zts15352e	Ich weiß einiges über die Zone des Chaos. Dort soll sich der frühere Anführer versteckt halten, oder? Ich bin zwar hier gefangen, aber ich habe natürlich meine Informanten.
zts15353e	Der Plan der Wüstenräuber bezüglich der Zone des Chaos wird sein, dass sie Streitgründe mit der Wüstenadlerstadt verursachen wollen. Kommandant Shoran hat dabei seine Hände im Spiel. Ich habe gesehen, wie er vor einigen Tagen einen Wecker in der Hand hielt und sich sehr darüber freute. Er wird sich irgendwo hier im früheren Astertempel im Untergrund aufhalten. Da er den Wecker immer bei sich trägt, wirst du ihn einfach finden können.
zts15354e	Denkst du, dass du Kommandant Shoran bezwingen könntest? Er ist wirklich sehr stark!
zts15355e	Ich hätte nicht erwartet, dass ein Schwächling wie du ihn besiegen kann.
zts15356e	Ich bin wirklich überrascht. Ich hatte nicht damit gerechnet, dass deine Fähigkeiten dafür ausreichen.
zts15357e	Bringe diesen Wecker zu Velmon in der Zone des Chaos und überreiche ihm auch diesen von mir verfassten Brief.
zts15358e	War es dir nicht erst durch meine Informationen möglich, den Wecker überhaupt zu finden? So viel Anerkennung wirst du mir doch gewiss zugestehen, oder? Naja, dann gehe nun in die Zone des Chaos zurück.
zts15359e	Wie ist es gelaufen? Hast du die nötigen Beweise gefunden, damit wir diesem Spuk in der Zone des Chaos ein Ende bereiten können?
zts15360e	Aha ... Sie wollten also einen Streit zwischen der Zone des Chaos und der Wüstenadlerstadt anzetteln.
zts15361e	Ich kann dir den Inhalt von Kamils Brief leider nicht verraten. Ich hoffe, dass du Verständnis dafür hast.
zts15362e	Bringe nun diesen Wecker zu Delmon Milow, der sich in der Wüstenadlerstadt befindet.
zts15363e	Berichte mir genau, was du dort herausgefunden hast.
zts15364e	Was ist mit meinem Wecker und meinen Waren? Hast du alles dabei?
zts15365e	Welch ein Glück. Es ist schon sehr beängstigend, dass die Wüstenräuber einen gemeinen Plan für die Zone des Chaos haben.
zts15366e	Es freut mich jedenfalls sehr, dass du mir den Wecker wiederbeschafft hast. Nun wird meine Frau nicht mehr böse sein.
zts15367e	Als Belohnung werde ich dir das Geld geben, das ich eigentlich den Akamurhändlern geben wollte.
zts15368e	Akt 5 - Das Brennende Schwert - Hauptquest
zts15369e	Du bist es wirklich! Du bist doch der Abenteurer [Pname] vom NosCamp, oder?
zts15370e	Du kommst genau zur richtigen Zeit. Es ist wohl etwas Schreckliches passiert.
zts15371e	Die Akamurhändler haben uns vor Kurzem offiziell um Hilfe gebeten.
zts15372e	Wahrscheinlich weißt du nicht allzu viel über die Akamurhändler. Bei den Akamurhändlern handelt sich um eine staatliche Handelsgesellschaft, die ihren Hauptsitz in der Mortaz-Wüste, südlich von Port Alveus, hat. Es ist uns gelungen, eine gute Handelsbeziehung zwischen ihnen und dem NosCamp aufzubauen. Leider befinden sie sich derzeit in einer äußerst schwierigen Lage.
zts15373e	Wir wissen zwar nicht, was genau geschehen ist, aber da sie offiziell um Hilfe ersuchen, wollen und müssen wir ihnen beistehen. Wenn wir weiterhin ein so gutes Verhältnis zu ihnen haben wollen, dürfen wir sie nicht im Stich lassen.
zts15374e	Du solltest dich zunächst beim Repräsentanten der Akamurhändler melden und ihm deine Hilfe anbieten. Du findest ihn mit Sicherheit im Hafen. Nimm am besten das Hilfegesuch mit.
zts15375e	Du bist bestimmt der Abenteurer, den das NosCamp entsenden wollte.
zts15376e	Ich freue mich, dich kennenzulernen. Mein Name ist Jin Hamadin, ich bin der Repräsentant der Akamurhändler. Ich nehme an, dass du uns in dieser schweren Zeit beistehen sollst. Wie ich sehe, hast du das Dokument bei dir. Dann bist du also in der Tat der Gesandte des NosCamps.
zts15377e	Gut. Da du nun mit den Akamurhändlern zusammenarbeiten wirst, werde ich dich kurz auf den neuesten Stand der Dinge bringen. Nach dem Anschluss unserer letzten Handelsreise waren wir auf dem Rückweg in unsere Zentrale in der Wüstenadlerstadt. Allerdings wurden wir unterwegs überfallen und ausgeraubt. Um diesen Vorfall aufzuklären, wurde ich von Noah hierher entsandt. Leider gibt es derzeit nichts, das wir Akamurhändler in dieser Angelegenheit unternehmen könnten. Daher haben wir um Hilfe gebeten.
zts15378e	Die Aktion kann beginnen, sobald du in der Mortaz-Wüste ankommst. Nach deiner Ankunft wirst du alles Weitere erfahren. Bring diesen Brief zur Hafenwache Tom.
zts15379e	Du musst der Abenteurer vom NosCamp sein. Lass dir eines gesagt sein: Hier spielt es keine Rolle, wie berühmt du bist. Hier zählt nur, ob du in der Lage bist, zu überleben. Bilde dir also nicht allzu viel auf deinen Namen und deinen guten Ruf ein. Das könnte sich ansonsten negativ auf unsere Zusammenarbeit auswirken. Kommen wir nun zum Wesentlichen.
zts15380e	Der Wüstenhafen Mortaz wird seit einiger Zeit von Monstern bedroht. Laut diesem Brief sollst du dich umgehend bei Präsident Noah melden. Eigentlich solltest du ihm dabei gleich einige Handelsgüter übergeben, aber sie wurden leider kurz vor deiner Ankunft gestohlen. Ich fürchte, du musst die Handelsgüter erst wiederbeschaffen.
zts15381e	Es handelt sich dabei um sehr hochwertige Waren. Bring sie direkt zu Präsident Noah im Akamurlager, sobald du sie gefunden hast.
zts15382e	Das ist nun dein erster Auftrag.
zts15383e	Du bist bestimmt der Abenteurer vom NosCamp, den Jin Hamadin zu mir schicken sollte.
zts15384e	Es freut mich, deine Bekanntschaft zu machen. Ich bin Noah, der Präsident der Akamurhändler. Ich bin dafür verantwortlich, dass du hierher entsandt wurdest.
zts15385e	Du hast allerdings keinen Grund, nervös zu sein. Ich habe ja bereits einen Vorstellungsbrief erhalten und weiß, dass du ein sehr fähiger Abenteurer bist. Du brauchst dich mir also nicht noch einmal selbst vorstellen.
zts15386e	Kommen wir nun zum eigentlichen Thema: Wir Akamurhändler können wegen diesen sogenannten Wüstenräubern derzeit nicht in die Wüstenadlerstadt zurückkehren. Wir wollen daher ein Abkommen mit diesen Wüstenräubern erzielen und bitten dich nun darum, es für uns auszuhandeln. Sobald ich die dringenden Aufgaben hier erledigt habe, werde ich einen Brief schreiben, den du bitte Nephi in der Wüstenadlerstadt überbringst.
zts15387e	Präsident Noah hat dich also zu mir geschickt. Ich verstehe, was er vorhat. Die Wüstenräuber sind hier derzeit unser größtes Problem. Wir wissen leider zu wenig über sie, um ihre Absichten einschätzen zu können. Deshalb brauchen wir dich. Finde heraus, worauf es die Wüstenräuber abgesehen haben.
zts15388e	Solltest du diesen Auftrag unbeschadet überstehen, habe ich gleich noch eine weitere Aufgabe für dich. Es geht um einige zerrissene Zettel, die andere Abenteurer entdeckt haben.
zts15389e	Bringe diese zerrissenen Zettel zu Hohepriester Eladin in den Astertempel, sobald du mit deinem Auftrag fertig bist.
zts15390e	Diese Zettel gehören zum Tagebuch eines Reisenden.
zts15391e	Der Astertempel ist derzeit großer Gefahr ausgesetzt. Der Ursprung dafür liegt im Tagebuch des Reisenden, dessen zerrissene Zettel du mitgebracht hast. Der Reisende war bei uns zu Besuch und wollte sich den Tempel etwas näher anschauen. Normalerweise tun wir unser Bestes, um die Besucher zufrieden zu stellen, aber dieser wollte in die Untergrundhöhlen gehen. Kurz darauf gab es eine große Explosion. Daraufhin haben wir den heiligen Zentrumsplatz gesperrt.
zts15392e	Wenn du den Untergrund des Astertempels untersuchen könntest, würdest du dem Astertempel damit einen großen Gefallen tun. Anschließend werde ich dir einen Brief für Nephi im Akamurquartier geben.
zts15393e	Du wirst vermutlich recht viel Zeit damit verbringen, diesem ominösen Reisenden auf die Schliche zu kommen. Ich bin mir sicher, dass sämtliche Probleme in der Mortaz-Wüste etwas mit ihm zu tun haben.
zts15394e	Der Astertempel bittet offiziell darum, die Angelegenheit mit diesem mysteriösen Reisenden zu untersuchen. Wir Akamurhändler verfügen sogar bereits über einige Informationen.
zts15395e	Wir haben herausgefunden, dass der mysteriöse Reisende eine zentrale Rolle bei den Ereignissen in der Wüste Mortaz hat. Deswegen hatten wir Akamurhändler ohnehin vor, eine Untersuchung bezüglich des mysteriösen Reisenden durchzuführen. Auch das Schatzsucherlager hat davon Wind bekommen.
zts15396e	Bitte begib dich zum Schatzsucherlager und beginne dort mit den Untersuchungen bezüglich des Reisenden. Nimm bitte gleich den Lohn mit. Die finanzielle Lage des Schatzsucherlagers ist derzeit wohl nicht allzu gut.
zts15397e	Offenbar wurde Nephi befördert, wenn sie nun im Akamurquartier arbeitet. Das wusste ich noch gar nicht.
zts15398e	Aber das spielt ja momentan auch keine Rolle. Die Akamurhändler interessieren sich also für alles, was mit dem mysteriösen Reisenden zu tun hat?
zts15399e	Er hat auch unser Lager besucht. Er sagte was von Untersuchungen am Tempelplatz. Ehrlich gesagt, hat dieser ominöse Reisende auch bei uns einigen Schaden angerichtet.
zts15400e	Wir haben zwar durch ihn den Tempelplatz entdeckt, aber seither vermissen wir auch einige unserer Ermittler ...
zts15401e	Da wir nun den Lohn von den Akamurhändlern erhalten haben, sollten wir auch unser Bestes geben, nicht wahr? Dieser Brief enthält unsere Einwilligung, bei der Untersuchung zu helfen. Bring ihn zu Michol am Tempelplatz. Er wird dich bei der Untersuchung unterstützen.
zts15402e	In diesem besonderen Brief sichert Riana ihre Hilfe bei der Untersuchung zu.
zts15403e	Gut. Unsere Untersuchungen waren bisher nicht allzu erfolgreich. Vielleicht gelingt es uns gemeinsam, die Probleme nach und nach zu lösen.
zts15404e	Mein Name ist Michol. Da es mir unter den Ermittlern noch am besten geht, bin ich hier der Verantwortliche. Durch die Untersuchungen dieses Reisenden wurden viele von uns verwundet, weshalb wir mit unseren eigenen Nachforschungen vorerst nicht weitermachen können.
zts15405e	Dieser Zustand ist einfach unerträglich. Doch wenn du nun unsere Untersuchungen für uns fortsetzt, könnte sich das auch für dich als interessant herausstellen.
zts15406e	Dann übernimm du nun unsere Untersuchung, und wenn du etwas nützliches findest, berichte es Riana im Schatzsucherlager. Mit den Funden werden wir bestimmt zum Teil herausbekommen, was der Reisende gesucht hat. Es ist zwar nur eine Vermutung, aber ich denke, dass wir bestimmt etwas finden werden.
zts15407e	Während du für uns unterwegs warst, haben wir Schatzsucher im Schatzsucherlager viele Informationen gesammelt, damit du auch an deine Informationen kommst. Ich denke, es sind nützliche Dinge dabei. Demnach haben die Abenteurer, die in der Umgebung Untersuchungen der Wüstenräuber durchgeführt haben, festgestellt, dass der Reisende, zusammen mit den Wüstenräubern, die Akamurhändler angreifen wollte. Wenn du es aber selbst untersuchen möchtest, könnten noch mehr brauchbare Informationen gesammelt werden.
zts15408e	Unseren Informationen zufolge wurde der ehemalige Anführer der Wüstenräuber durch den Reisenden verdrängt. Angeblich ist Xavier dieser ehemalige Anführer. Er soll sich jetzt in der Zone des Chaos aufhalten. Du solltest ihm so lange helfen, bis er dir die Wahrheit verrät. Du weißt schon ... Eine Hand wäscht die andere.
zts15409e	Das hat nichts mehr mit mir zu tun. Einst war ich Teil der Wüstenräuberbande, doch das ist nun nicht mehr der Fall. Es ist nun vollkommen bedeutungslos für mich.
zts15410e	Du suchst Informationen über den mysteriösen Reisenden? Er hatte mich um etwas gebeten. Ich sollte etwas stehlen, das die Akamurhändler transportierten. Er wollte es unbedingt haben. Sein Gesicht war größtenteils verhüllt und ich konnte nur seine Augen sehen. Aber in ihnen lag etwas Bedrohliches.
zts15411e	Ich habe seine Bitte abgelehnt und wurde kurz darauf aus der Wüstenräuberbande verbannt. Mehr kann ich dir über den Reisenden nicht sagen.
zts15412e	Wenn du mehr über das Wüstenräuberlager herausfinden willst, musst du dich tief ins Innere des Astertempels begeben. Such Kamil auf. Ich bin zwar nicht mehr ihr Anführer, aber er wird mit dir reden, wenn du ihm dieses Siegel gibst.
zts15413e	Wenn das alles ist, würde ich dich nun bitten, zu gehen.
zts15414e	An allem ist nur dieser Reisende schuld. Er sei verflucht! Wegen ihm ist unser alter Zusammenhalt dahin.
zts15415e	Wir müssen eine neue Lösung finden. Die Abenteurer haben bei ihren Untersuchungen einiges über den Reisenden in Erfahrung gebracht. Wenn du an diesen Informationen interessiert sein solltest, müsstest du unserer Wüstenräuberbande dabei helfen, zu ihrer alten Form zurückzukehren. Wir Wüstenräuber waren einst sehr ehrbar.
zts15416e	Irgendeine Droge hat dafür gesorgt, dass ein Großteil der Wüstenräuber aggressiv geworden sind. Hilf uns, dieses Problem zu lösen, und du erhältst die Informationen. Ich werde außerdem veranlassen, dass dir Velmon in der Zone des Chaos zusätzliche Informationen zukommen lässt. Suche ihn auf, sobald du hier fertig bist.
zts15417e	Kamil scheint etwas Großes zu planen. Aber es wäre für uns besser, wenn sich die Wüstenräuber von der Zone des Chaos fernhalten.
zts15418e	Was du wissen wolltest, hast du bereits von Kamil erfahren. Er hat dir eine Menge verraten. Er denkt, er hätte das Tagebuch des Reisenden gefunden. Der Reisende war wohl auf der Suche nach einem bestimmten Relikt, weshalb er sämtliche Relikte in seinen Besitz bringen wollte. Nun hat er es auf das brennende Schwert abgesehen, aber der Grund dafür ist nicht bekannt.
zts15419e	Damit du dem Reisenden schneller auf die Schliche kommen kannst, werde ich dich Inspektor Serges vorstellen, der für die Untersuchung des brennenden Schwertes zuständig ist. Was hältst du davon?
zts15420e	Akt 5 - Das Brennende Schwert - Gespräch mit NPC
zts15421e	Ich bin Repräsentant Jin Hamadin von den Akamurhändlern. Wir stecken in großen Schwierigkeiten, denn die Mortaz-Wüste ist das Haupthandelsgebiet der Akamurhändler.
zts15422e	Könntest du uns in der Mortaz-Wüste behilflich sein?
zts15423e	Es ist eigentlich nicht sonderlich schwer, einen Leuchtturm zu bewachen. Man benötigt lediglich viel Durchhaltevermögen und eine unerschöpfliche Energie. Ein Leuchtturm muss eben rund um die Uhr besetzt sein.
zts15424e	Wo sind diese einfältigen Ermittler nur alle hin?
zts15425e	Hast du diese Idioten irgendwo gesehen?
zts15426e	Willkommen im Akamurlager! Fähige Abenteurer sind hier stets gern gesehen. Ruhe dich ein bisschen bei uns aus. Benötigst du etwas?
zts15427e	Hattest du kürzlich Ärger mit den Wüstenräubern?
zts15428e	Bist du einer von denen, die uns behilflich sein werden? Oder gehörst du eher zu denen, die wir hier nicht gebrauchen können?
zts15429e	Nun sag schon.
zts15430e	Siehst du das brennende Schwert in der Ferne? Das ist der Name des Vulkans im Norden. Ich bin zum Akamurlager gekommen, um ihn zu untersuchen.
zts15431e	Unsere bisherigen Untersuchungen haben noch nicht allzu viel ergeben.
zts15432e	Möge der Segen des Sonnengottes mit dir sein. Sag mir einfach, was dich bedrückt. Vielleicht kann ich dir dann helfen ...
zts15433e	Ich bin ein Priester des Astertempels und assistiere Hohepriester Eladin.
zts15434e	Kann ich dir irgendwie behilflich sein?
zts15435e	So habe ich mir das Leben als Schatzsucher nicht vorgestellt ... Überall stapelt sich der Papierkram. Und diese ganzen Unterlagen soll ich noch heute durcharbeiten. Es ist einfach furchtbar.
zts15436e	Eigentlich bin ich hierher gekommen, weil ich draußen arbeiten wollte. Stattdessen arbeite ich mich durch Papierberge ...
zts15437e	Je mehr ich darüber spreche, umso weniger möchte ich es machen. Aber da ich die Verantwortliche bin, kann ich daran wohl nichts ändern.
zts15438e	Riana schlägt sich noch immer mit diesen Dokumenten herum. Sie weiß bestimmt noch nicht einmal, dass ich alle zusammen gefasst habe und es deswegen weniger sind. Ich bin die wirklich Leidende. Ich bereue es schon bei den Akamurhändlern ausgestiegen zu sein...
zts15439e	Ich bin mit Riana an diesen Ort gekommen, um aufzupassen, dass sie keine Dummheiten anstellt.
zts15440e	Mein Name ist Nephi und ich bin die Leiterin des Akamurquartiers. Ich habe einen Bruder sowie eine Schwester. Mein Bruder ist von seiner Handelsreise noch nicht zurück und meine Schwester hat diesen Ort verlassen, so dass nur noch ich hier bin, um diesen Ort zu beschützen. Ich muss hier bleiben und warten bis mein Bruder zurückgekehrt ist... Das ist meine Aufgabe.
zts15441e	Ich bin Repräsentantin Semia vom Akamurquartier. Auf Empfehlung von Präsident Noah bin ich hierher gekommen, um Nephi zur Seite zu stehen und ihr zu assistieren. Ich bewältige hier zwar den größten Teil des Papierkrams, aber die Leiterin ist immer noch Nephi. Das solltest du nicht vergessen.
zts15442e	Was brauchst du? Zur Zeit läuft das Geschäft nicht so gut, vielleicht wegen der Wüstenräuber. Bald müssten die Akamurhändler von ihren Handelsreisen zurückkehren, aber es sind bereits wieder sehr viele Bestellungen eingegangen.
zts15443e	Zur Zeit sind die Wüstenräuber mental gestärkt... Es ist mir ungeheuer... Wahrscheinlich haben sie einen Plan für die Zone des Chaos. Einmal habe ich einen jungen Kerl zurechtgewiesen, weil er sehr schroff war. Aber daraufhin wollte er sich mit mir schlagen. Ich mag diese gewalttätigen Menschen in der Zone des Chaos nicht.
zts15444e	Wie kann ich dir helfen?
zts15445e	Es ist die Patrouille, die ausgesendet wurde um die Sicherheit in der Zone des Chaos wiederherzustellen. Sie geben ihr Bestes, um uns Bewohner der Wüstenadlerstadt zu beschützen.
zts15446e	Es ist der Untergang der Wüstenräuber. Der Anführer Ibrahim ist verrückt geworden und wir müssen unseren ehemaligen Anführer zurückbringen. Meine Kräfte reichen dafür allerdings nicht aus. Bitte hilf mir!
zts15447e	Beim Tempelplatz und im Inneren des Tempels wimmelt es nur so von furchterregenden Kreaturen!
zts15448e	Daran ist nur dieser Reisende schuld. Er hat uns an diesen gefährlichen Ort geführt. In dieser Notlage sind wir auf deine Hilfe angewiesen.
zts15449e	Die Zone des Chaos ist ein guter Ort. Niemand stört sich an dem, was ich hier mache. Niemand behelligt mich.
zts15450e	Und selbst, wenn ich mich den ganzen Tag über nur betrinke, bringt mir trotzdem immer irgendjemand was zu essen.
zts15451e	Es ist so anders als früher, als überall Feinde lauerten. Ich bin sehr zufrieden mit meinem Leben hier.
zts15452e	Momentan ist die Lage in der Zone des Chaos nicht allzu gut.
zts15453e	Zur Zeit fragt man sich, ob nicht die Wüstenräuber und die Wüstenadlerstadt unter einer Decke stecken und einen Plan schmieden, uns anzugreifen. Auch ist das brennende Schwert dort in einem gefährlichem Zustand.
zts15454e	So sieht die derzeitige Situation in der Zone des Chaos aus.
zts15455e	Ich setze mich dafür ein, dass die Zone des Chaos eine selbstständig verwaltete Region wird. Es gibt in der Wüstenadlerstadt zwar eine Patrouille, die von den Akamurhändlern unterstützt wird, aber sie sind nicht dafür zuständig die Sicherheit an diesem Ort wiederherzustellen.
zts15456e	Deswegen gehen die jungen Leute vor Ort diesem Ziel nach. Es ist zwar schwierig, aber ihre Bemühungen zahlen sich aus.
zts15457e	Selbst Handel zu treiben wird zum Abenteuer. Aber das hält uns zumindest davon ab, der Niedergeschlagenheit anheimzufallen. Ich habe die schönen Seiten des Lebens ohnehin nie kennengelernt.
zts15458e	Also warum sollte ich aufgeben? Ich weiß, wie man gutes Geld verdient - willst du dich mir nicht anschließen?
zts15459e	Ich wurde für die Untersuchungen hierher entsandt. Ich möchte herausfinden, welche Auswirkungen das brennende Schwert auf die Zone des Chaos hat.
zts15460e	Ziel dieser Untersuchungen ist es, eine Lösung für die Probleme zu finden, mit denen wir schon bald konfrontiert werden. Wir werden zwar nicht die Gesamtheit der Probleme damit abwenden können, aber vielleicht können wir so das Schlimmste verhindern.
zts15461e	Die Leute denken zwar, dass es sicher sei, doch das ist reines Wunschdenken.
zts15462e	Willst du mir also bei der Untersuchung behilflich sein?
zts15463e	Die Wüstenräuber sind in vielerlei Dinge verwickelt.
zts15464e	Um in dieser unwirtlichen Gegend zu überleben, mussten wir stark sein. Die Verbannung unseres Führers hat uns besonders auf die Probe gestellt.
zts15465e	Das ist einer der Momente in meinem Leben, die ich am meisten bereue. Ich wünschte, ich könnte die Zeit zurückdrehen. Aber was vergangen ist, ist vergangen.
zts15466e	Gib mir bitte ein wenig Zeit. Ich bin ein Akamurhändler, wenn du mir nur genug Zeit gibt, dir zu erklären was für eine wichtige Person ich bin, dann wirst du mich auf jeden Fall retten.
zts15467e	Bitte lass mich hier nicht allein! Ich kann nicht länger an einem Ort bleiben, wo sich diese Fieslinge aufhalten.
zts15468e	Nun stellt mich dieser Idiot Shane vor ein Problem. Es ist eine blöde Situation. Wenn er nicht auf der Stelle auftaucht, muss ich noch all seine Aufgaben am Hafen übernehmen.
zts15469e	Wie du dir denken kannst, ist die Arbeit hier nicht gerade einfach. Du solltest ihn also besser finden, bevor ich mich zu Tode arbeite.
zts15470e	Worüber haben wir uns gerade nochmal unterhalten?
zts15471e	Die Händler im Akamurquartier sind gemeine Leute. Ich komme mit diesen Leuten einfach nicht aus. Ich kann nicht glauben, dass es an diesem Ort einen besseren Händler gibt als mich. Das kann einfach nicht sein.
zts15472e	Du musst mich retten! Bitte!
zts15473e	Ich mag Abenteurer wie dich nicht sonderlich. Ihr seid doch alle nichts weiter als Ungeziefer, das uns von der Arbeit abhält.
zts15474e	Unser neuer Anführer Ibrahim meint, dass sich schon bald alles besser sein wird. Doch die anderen werden nie dazu in der Lage sein, ihn zufriedenzustellen.
zts15475e	Möchtest du mehr über den Auftrag erfahren, den er mir erteilt hat? Die einzelnen Lager agieren alle unabhängig voneinander. Ich bin quasi Ibrahims Auge und soll die Lager beobachten.
zts15476e	Während du hier mit mir redest, sind wahrscheinlich schon unzählige Eliteeinheiten unterwegs, um mir zu helfen.
zts15477e	Ein, zwei, drei ... Wie lange bin ich wohl schon hier? Ich kann mich nicht mehr daran erinnern.
zts15478e	Aber wer bist du eigentlich? Warum redest du überhaupt mit mir?
zts15479e	Es ist so kalt. Hast du vielleicht etwas, das mich wärmen kann? Ich kann Kälte nicht ertragen.
zts15480e	Könntest du kurz wegschauen?
zts15481e	Diese gierigen Wüstenräuber schlagen dort ihre Lager auf und bedrohen uns Akamurhändler, sowie die Wüstenadlerstadt.
zts15482e	Sie sind von der Kraft des Bösen besessen, weshalb wir sie erledigen müssen. Es spielt keine Rolle was sie wollen. Auch wenn es nicht im Sinne der Akamurhändler ist, so sind es dennoch Kreaturen die beseitigt werden müssen.
zts15483e	Wirst du mir beistehen?
zts15484e	Ich möchte einfach ein Magier sein. Es steht mir doch, oder?
zts15485e	Hafenwache Tom (Quest)
zts15486e	Level 72 - Angriff auf den Hafen
zts15487e	Level 72 - Hafenverteidigung 6
zts15488e	Level 73 - Der dumme, aber wertvolle Assistent
zts15489e	Level 73 - Verlorene Handelswaren: Teil 1
zts15490e	Level 74 - Verlorene Handelswaren: Teil 2
zts15491e	Level 75 - Verlorene Handelswaren: Teil 3
zts15492e	Hamid (Quest)
zts15493e	Level 72 - Seltsame Ereignisse
zts15494e	Level 72 - Hafenverteidigung
zts15495e	Level 74 - Gestohlene Handelsgüter: Teil 2
zts15496e	Level 75 - Gestohlene Handelsgüter: Teil 3
zts15497e	Nun stellt der idiotische Shane mich vor ein Problem. Es ist eine blöde Situation. Wenn er nicht auf der Stelle auftaucht, muss ich noch all seine Aufgaben am Hafen übernehmen.
zts15498e	Leuchtturmwärter Chilton (Quest)
zts15499e	Level 73 - Gestohlene Handelsgüter: Teil 1
zts15500e	Präsident Noah (Quest)
zts15501e	Level 74 - Die gestohlenen Handelswaren
zts15502e	Level 74 - Die Akamurhandelsroute
zts15503e	Level 74 - Verhandlungen mit den Wüstenräubern
zts15504e	Level 75 - Befreiung des Händlers
zts15505e	Level 75 - Der Weg zu Melkis Lager
zts15506e	Level 75 - Der Weg zu Kerus Lager
zts15507e	Neils Postkasten (Quest)
zts15508e	Assistent Shane in Neils Lager (Quest)
zts15509e	Hazel (Quest)
zts15510e	Verhandlungen mit den Wüstenräubern
zts15511e	Ich habe ein Problem, da sich Wüstenräuber auf meinem Weg zur Arbeit befinden.
zts15512e	Repräsentant Mursha (Quest)
zts15513e	Ich mag Abenteurer wie dich nicht sonderlich. Ihr seid doch alle nichts weiter als Ungeziefer, das uns von der Arbeit abhält.
zts15514e	Rettungsplan für den gefangenen Händler (Quest)
zts15515e	Gefangener Humad (Quest)
zts15516e	Ich bin ein Akamurhändler. Die Wüstenräuber an diesem Ort sind gemeine Kerle. Ich möchte nicht länger an einem Ort mit ihnen bleiben. Es kann nicht sein, dass ein Händler mit meinen Fähigkeiten an einem solchen Ort ist.
zts15517e	Wahrsager Nuki
zts15518e	Interessierst du dich für etwas Bestimmtes? Brauchst du vielleicht meine Hilfe?
zts15519e	Was sind Tarotkarten?
zts15520e	Wie kann man Tarotkarten erhalten?
zts15521e	Welche Tarotkarten gibt es?
zts15522e	Ja, ich habe verstanden.
zts15523e	Die Welt wird von einer großen Kraft angetrieben.
zts15524e	Durch die Tarotkarten kannst du einen Teil dieser Kraft mit deinen eigenen Augen sehen.
zts15525e	Es heißt, dass du mit Hilfe der Tarotkarten hier dein Schicksal erkennen kannst.
zts15526e	Sie offenbaren dir die Kraft dieser Welt, damit du den dir bestimmten Weg einschlagen kannst.
zts15527e	Sobald du eine Karte erhalten hast, wirst du spüren, dass sich etwas verändert hat.
zts15528e	Da diese Kraft sehr rein ist, wird sie auch für andere sichtbar sein.
zts15529e	Du wirst von mir eine Karte erhalten, die mit deinem Schicksal verknüpft ist. Aber natürlich musst du mir erst die Zutaten bringen, die ich zum Wahrsagen brauche.
zts15530e	Bring mir einfach die Dinge, die ich dir auflisten werde.
zts15531e	Sollte dir allerdings das Ergebnis nicht gefallen, kannst du es nicht auf andere übertragen. Das dir Offenbarte ist dein Schicksal und kein anderer kann es dir abnehmen.
zts15532e	Doch es gibt Ausnahmen in Gestalt bestimmter versiegelter Karten, welche die Kraft der Prophezeiung in sich tragen. Sie sind jedoch das Werk eines anderen Wahrsagers.
zts15533e	Diese besonderen Karten kannst du auch an andere Spieler weitergeben.
zts15534e	Vielleicht sind meine Fähigkeiten als Wahrsager nicht die besten, denn ich kann mir nicht erklären, wie man die Kraft des Schicksals in einer Karte versiegeln kann.
zts15535e	Es gibt insgesamt 22 verschiedene Tarotkarten.
zts15536e	Doch einige von ihnen sind äußerst fragwürdig.
zts15537e	Obwohl ich bereits vielen Abenteurern die Zukunft vorhergesagt habe, sind einige Karten noch nie dabei vorgekommen.
zts15538e	Vielleicht muss ich einfach noch mehr Leuten ihr Schicksal vorhersagen ...
zts15539e	Repräsentantin Semia (Quest)
zts15540e	Level 76 - Das Vorhaben der Wüstenräuber
zts15541e	Level 76 - Die letzte Verhandlung
zts15542e	Level 76 - Kenne deinen Feind so gut wie dich selbst
zts15543e	Level 77 - Vernichtung der Wüstenräuber
zts15544e	Level 77 - Die Suche nach wertvollen Handelsartikeln
zts15545e	Level 77 - Der gefangene Händler
zts15546e	Level 77 - Das seltsame Relikt
zts15547e	Level 78 - Gehet in Frieden, ihr Geister
zts15548e	Level 80 - Ein Mann namens Xavier
zts15549e	Level 80 - Der Brief an den Wüstenräuberanführer
zts15550e	Level 81 - Die Genesung der Wüstenräuberbande
zts15551e	Nephi (Quest)
zts15552e	Wache Putran (Quest)
zts15553e	Xavier (Quest)
zts15554e	Level 80 - Die Wege der Wüstenräuberbande
zts15555e	Level 80 - Die Spaltung der Wüstenräuber
