zts1e	Teo's Tool Shop
zts14680e	Because of the Desert Robbers, we've lost the confidence of our customers. In order to undo this, we're going to have to retrieve the stolen relics. Go to Semia in the Akamur Camp for more detailed instructions.
zts14681e	Do you have something to tell me? Don't worry, you can tell me anything.
zts14682e	The place where the stolen relics are being kept has been marked on this map of the Akamur Camp. We have no choice, we must get them back.
zts14683e	Are you ready? I'm going to tell you what we intend to do, so listen up! The stolen relics that you are to bring to the Aster Temple are in Keru's Camp. Look for a chest, and inside you'll find the relics. You should be able to recognise them by the emblem of the Akamur Merchants. Please bring them back!
zts14684e	Have you brought them?
zts14685e	What good fortune! These are very important relics. Wait a moment, I'll try to find out more about them.
zts14686e	(Semia opens up a scroll and appears to look for something on it.)
zts14687e	These relics were stolen from Aster Temple. Afterwards they were dispersed in several different robber camps. The Akamur Merchants were tasked with finding them a long time ago. We need to find the remaining relics. The Aster Temple is waiting.
zts14688e	There must be more relics in Garton's Camp. Go there and look for the chest containing them.
zts14689e	How did it go? Did you find them?
zts14690e	Fortunately the relic is intact. Wait a moment, I need to find out where the next stolen relic is to be found.
zts14691e	Now we have to find the last relics. I have received information indicating that they have been brought to the Desert Robber Camp. They are supplying the other robber camps. This will be a very dangerous mission, so be on your guard! Make sure you're well prepared for your task.
zts14692e	Have you found the final relic?
zts14693e	Thank goodness you were able to retrieve it. Thank you very much!
zts14694e	Bring this relic to High Priest Eladin in Aster Temple. He has long been hankering for it. We Akamur Merchants thank you from the bottom of our hearts, Adventurer, that we've been able to accomplish what we wanted to. You may collect your reward at Aster Temple.
zts14695e	I've heard that the relic has been returned to the Aster Temple... Are you the adventurer responsible for its recovery?
zts14696e	The priests of Aster Temple would like to express our gratitude to you and the Akamur Merchants. If you have time, we'd like you to stay here for a little while and help us.
zts14697e	Act 5 - The Burning Sword and the Merchant Prisoner
zts14698e	Whoever holds this scroll in his hands:
zts14699e	My name is Sharif and I belong to the Akamur Merchants. I am being held prisoner by the Desert Robbers in their camp and I need help. Please free me!
zts14700e	Who are you? Are you one of the Desert Robbers' new recruits? You're probably not the person who read my note, are you? Please spare me... I regret having to plead... but please don't kill me...
zts14701e	You're one of the adventurers who helped the Akamur Merchants? Thank heavens you found my scroll. Please help me to break free!
zts14702e	As I'm still alive, I should return to Desert Eagle City. I need to inform everyone immediately that I was kidnapped. But first you need to get me out of here! Please take out the nearby Desert Robbers and bring me the key to unlock these chains.
zts14703e	What happened? Do you have the key?
zts14704e	Finally, I can leave this dreadful place. The last few days I was imprisoned here were terrifying.
zts14705e	Hurry! Time is running out! Soon I won't be able to escape!
zts14706e	Give me some more time by taking out the Desert Robbers in the area. I'll seek out Semia in Desert Eagle City immediately and tell her about the kidnapping. If you come by later, she will surely reward you for freeing me.
zts14707e	What's the matter? Do you have something to tell me?
zts14708e	The Akamur Merchant Sharif was here and he told me about your brave deeds. We are like a big family who support each other even in difficult situations. You saved that merchant's life. We will always be grateful to you for that. Here, take this reward!
zts14709e	Act 5 - The Burning Sword and the Curious Relic
zts14710e	It looks like part of a very ancient relic. It's clearly been broken into several pieces, which lie scattered in the area. Take it with you and bring it to the Akamur Merchants.
zts14711e	Have you brought me something? Perhaps I can help you, at least to the boundaries of my knowledge...
zts14712e	It appears to be a relic that was ordered by Aster Temple.
zts14713e	Take the bag containing the relic to Nephi. As you can see, I'm already busy with something else at the moment. Nephi will reward you for your troubles.
zts14714e	You seem to be carrying something with you. What is it? Let me see.
zts14715e	It appears to be a relic that was ordered by Aster Temple.
zts14716e	(Nephi reads a scroll.)
zts14717e	Ah, yes, here it is. Thank you. I hope we can count on your help in the future as well.
zts14718e	The Aster Temple has cancelled all activities outside of the building for now. To those outside, this seems like a peaceful place, but danger looms. It's lurking directly beneath us!
zts14719e	(High Priest Eladin points at the ground.)
zts14720e	I beg you, please help us investigate the incidents in the Aster Temple. Priestess Vera can give you more detailed information. Go and speak with her.
zts14721e	I've been waiting for you. Please rest while I explain everything to you.
zts14722e	A short time ago there was a huge explosion in the temple.
zts14723e	Unfortunately we haven't been able to investigate the cause of this explosion yet, as the spirits of the dead are keeping us back. The best thing would be to get rid of these spirits as quickly as possible. We are doing everything in our power to prevent the spirits from escaping the temple.
zts14724e	Go into the temple, where you'll find Aster Courtyard. This place is crawling with spirits, so be careful!
zts14725e	What was in the library? Did you find anything odd?
zts14726e	They're the spirits of former monks at this temple. They served the Sun God and possessed power over fire. That's why they were called the Red Magicians. Now they can rest in peace.
zts14727e	Go back to the Aster Courtyard and investigate the back of the hall.
zts14728e	There are also spirits there who must be defeated so that they can be put to rest. There will probably be more tasks like this in the future.
zts14729e	Very strange things are happening here, which is why I can't really tell you anything definite about the Aster Temple. The priest and I are deeply saddened by the explosion.
zts14730e	The prayer hall can be found in the centre of the temple. Everything has been laid to waste there. Investigate this place and free the spirits from their misery.
zts14731e	You'll have to go along the Aster Temple corridor to get to the Aster Centre. Don't get lost!
zts14732e	Did anything happen in the prayer hall?
zts14733e	It seems you've overlooked something. But there must be a clue. Are you going about this the wrong way maybe?
zts14734e	Now the investigation of the Aster Temple is almost complete. Only the Centre Sanctum remains. Traces of the explosion should be visible somewhere, but you haven't been able to find anything certain, have you? I think there will be clues to find at the Centre Sanctum.
zts14735e	We need to give this place a thorough examination, if only for the sake of those Aster Temple priests who sacrificed themselves. Head to the Centre Sanctum underground and eliminate the spirits haunting the place.
zts14736e	Couldn't you find out anything there either? Please tell me exactly what you saw.
zts14737e	(Priestess Vera examines the ruined relic.)
zts14738e	This is a relic that was kept sealed away deep inside the temple. It's been completely destroyed by the explosion.
zts14739e	(Priestess Vera hands you a report she has prepared.)
zts14740e	Present this report to High Priest Eladin. I am going to have to investigate more here. As a survivor of this catastrophe, it's my duty to find out what happened here.
zts14741e	Were the investigations underneath Aster Temple successful?
zts14742e	The Seal of the Relics has been destroyed. This is very disturbing. I have read the report thoroughly and would like to thank you for your help. Please take this as a reward for your efforts.
zts14743e	Act 5 - The Burning Sword and the Chaos of Aster Temple
zts14744e	There's something regarding my investigations of the explosion in Aster Temple that you may still be able to help me with.
zts14745e	I would like you to defeat the remaining spirits in the temple and collect their essence. If I can concentrate it, then I can use it to lead the spirits to their own world.
zts14746e	The spirits are at the entrance of the temple. Bring me their essence!
zts14747e	How was it? How much spirit essence were you able to collect?
zts14748e	I can feel the spirit essence's energy.
zts14749e	Something's wrong with the spirit essence. There's something strange about it. I'm saying you've brought me the wrong essence. Maybe there just isn't enough.
zts14750e	Get me more spirit essence so I can investigate further. This time I need the essence of the Lamentation Leader from Aster Courtyard.
zts14751e	How was it? Was there anything odd in the underground caves? I hope it doesn't sound too strange to ask you if something odd happened where the spirits are making trouble...
zts14752e	The spirit essence energy keeps getting stronger. I have my suspicions as to why this is happening.
zts14753e	The spirits of the dead priests have been under some strange influence since the explosion. I suspect that an evil creature appeared during the explosion, and that this creature is responsible for all of this. But I can't know for sure until I have investigated further.
zts14754e	Please help me to explore this further. Also I'd like you to bring me more spirit essence, if you can.
zts14755e	Were you able to find anything out?
zts14756e	It feels like a dark power is trying to spread inside the temple. I doubt I'll be able to concentrate the spirit essence. What am I going to do?
zts14757e	I need more spirit essence so I can keep studying in Aster Temple. You're going to a dangerous place this time. I hope the investigations are as successful as they were last time.
zts14758e	The next place I need you to get spirit essence from is Aster Temple. It's possible that's where everything started. Defeat the spirits there and bring me their essence.
zts14759e	Leave as soon as you are ready.
zts14760e	What was at the Centre Sanctum? Were you able to find anything?
zts14761e	The spirit essence you've brought seem to contain strong dark power. The power is enormous and incomparable to the other essence. The Aster Centre must have been where the explosion happened.
zts14762e	How unfortunate. I'll have to consider what we should do now.
zts14763e	There was an ancient, evil creature trapped behind a seal in the centre of the Aster Temple. The explosion destroyed the seal and the creature was freed. My next task is to find out what kind of creature we're dealing with.
zts14764e	This bag contains the spirit essences you gathered recently. High Priest Eladin will take care of concentrating them for me, as my powers are too weak. I'll work on the less-powerful essences.
zts14765e	Thank you for your help. I am in your debt.
zts14766e	So this is the spirit essence. I know what to do with them.
zts14767e	(High Priest Eladin and the spirit essences begin to glow brightly.)
zts14768e	Do you see that? That's the souls of the dead who are now going back to their world in peace.
zts14769e	Act 5 - The Burning Sword - May the Spirits Rest in Peace
zts14770e	We ordered some goods from the Akamur Merchants a while ago, but unfortunately they still haven't arrived. As of yet we have received no word from them. The order is important, and we need some of the goods immediately. Can you go to the Akamur Quarter and check if they ever received our order?
zts14771e	What's the matter?
zts14772e	The Aster Temple order? I'll look right away!
zts14773e	Unfortunately the goods on this list still haven't arrived. They're probably some of the ones stolen by the Desert Robbers. But we're in the process of getting them again. It shouldn't be much longer now.
zts14774e	If it's very urgent, go take the Aster Temple order list to Semia.
zts14775e	Is it very urgent? Only I'm quite busy...
zts14776e	I am working on obtaining the goods the Aster Temple ordered, but it might take a little longer.
zts14777e	I know the temple's order down to the smallest detail. You don't need to bring me a list.
zts14778e	The stolen goods can be found at Garton's Camp.
zts14779e	Once you're at the camp, look for a chest with the Akamur Merchants' emblem on it. It must be there.
zts14780e	I'm afraid I can't give you any more information. Now go and search for the stolen goods.
zts14781e	Did you bring the right one?
zts14782e	Just a second, I'm going to check the order. You are amazingly competent - are you sure you don't want to work for the Akamur Merchants?
zts14783e	Return to Aster Temple with these goods. Tell High Priest Eladin that the Akamur Merchants always do their best to satisfy their customers.
zts14784e	Have the Akamur Merchants received the goods we ordered?
zts14785e	The incense sticks! I've been waiting for these. We still need a few things that weren't on the list. Nothing you can do about that. Thank you very much!
zts14786e	Please wait a moment. I'd like to ask another favour of you.
zts14787e	(High Priest Eladin lights an incense stick.)
zts14788e	Take this to the temple. There you'll find Priestess Nora. She's passed away, but her spirit is still there. Tell her that I am sorry for not protecting her.
zts14789e	One day, two days, three days...
zts14790e	Priestess Nora has a strange way of counting the days - she only counts up to 30 and then starts again from the top.
zts14791e	I don't know how high I've counted. That must surely be 30 days...
zts14792e	A soothing fragrance is streaming out of the incense stick you've lit. It is brightening my gloomy mood. Totally different to before. I don't know who I am or what I'm doing here. It seems I was part of an unfortunate accident.
zts14793e	Can you light incense for my friends as well?
zts14794e	They must be in the Aster Temple somewhere.
zts14795e	And? Were my friends happy too?
zts14796e	Even if they didn't respond, I'm sure it brought them happiness.
zts14797e	I'm beginning to remember myself. There was a loud explosion while I was looking for a way out of the temple. When I came to my senses, I no longer had a sense of time.
zts14798e	(Priestess Nora looks listless.)
zts14799e	Something terrible happened inside Aster Temple. My friend was going to go and investigate something there. Please bring him some incense.
zts14800e	How did it go? Is my friend okay?
zts14801e	I can sense my friend's fragrance on you. Thank you very much.
zts14802e	My memories are slowly coming back.
zts14803e	We were here inside the temple, giving someone a tour. We were recounting the legends of Aster Temple. Suddenly, something happened and the cleric ran towards the Aster Centre. I can't remember any more at the moment.
zts14804e	Go to Aster Centre and find out what happened to the cleric. Take an incense stick with you.
zts14805e	What happened? Is he okay?
zts14806e	So he's dead?
zts14807e	(Priestess Nora bows her head.)
zts14808e	That's okay. It makes me sad, but it's not like I can change anything. Thanks to your incense sticks, my memories are becoming clearer and clearer. We need to find out if this place is still safe for the other priests.
zts14809e	Go to Aster Centre and look for the treasure hunter. That's where the explosion took place. If it's not safe there, light another incense stick.
zts14810e	How was it at the Centre Sanctum?
zts14811e	It's like a nightmare. No one is nearby. I have this feeling like I need to wake up to make everything like it was before.
zts14812e	Now I can remember everything. I'm dead and I haven't been able to realise it this whole time.
zts14813e	(You briefly hear quiet sobbing.)
zts14814e	I don't have much time. We must inform the priests of this incident. I have gathered all my strength and composed this letter. You must give it to him. Also, please tell him that he is in no way responsible.
zts14815e	(Priestess Nora's body slowly fades away.)
zts14816e	What is it? Do you have something to tell me? It looks like you've brought something.
zts14817e	A letter from Priestess Nora? It will take some time for me to decipher the letter. In the meantime, have a rest.
zts14818e	Unfortunately I cannot tell you what's written in this private letter. When Priestess Nora brought the visitor to Aster Temple, there was a terrible accident.
zts14819e	Since the accident, High Priest Eladin has been plagued by intense feelings of guilt.
zts14820e	Bring the deciphered letter to High Priest Eladin. Perhaps it will help to relieve him of his guilty feelings.
zts14821e	Did you light some incense sticks for Priestess Nora?
zts14822e	Every day I think about what would have happened if it had been me who'd gone to Aster Temple and not her. She would still be alive and I wouldn't have all this guilt. I suppose it's time I let it go.
zts14823e	Thanks to your help, she's been able to go to the Sun God. May God's blessing be with you!
zts14824e	Act 5 - The Burning Sword and the Relic of Ideas
zts14825e	You can see antique characters on the relics. They seem to be made of clay. Judging by the emblem, they are one of the treasures of Aster Temple. Maybe High Priest Eladin knows something about the relics.
zts14826e	Do you have something for me? If so, then let me look at it more closely.
zts14827e	These are relics of Grenigas, the fire god. One moment, I will just look up some more information about that.
zts14828e	This is a piece of the relic of Grenigas, the fire god. You found it in Aster Temple, didn't you? Ever since the relic was broken, great chaos has prevailed here.
zts14829e	I need to find a solution to the problem, and I need someone to take over some of my tasks. Go inside Aster Temple and collect the pieces of the relic of the god Grenigas. In the meantime, I will try to find out how we can put the relic back together.
zts14830e	After you've collected the relic pieces, bring them to Priestess Vera.
zts14831e	I've heard that you're looking for the relic pieces. Have you been able to find any yet?
zts14832e	I'll begin to reassemble the relic immediately!
zts14833e	I need the missing pieces in order to reassemble the relic completely. They must be somewhere inside Aster Temple. Go there and look for the rest of the relic pieces.
zts14834e	Did you find any relic pieces in the underground caves?
zts14835e	Now I can continue reassembling the relic. There haven't been any difficulties yet.
zts14836e	The reassembly of the relic is proceeding smoothly. It's not enough to just put the pieces together; we need to transfer a magic force onto the relics as well. I'm still looking for a magic book that will reveal to me how this works. But first, I still need the remaining relic pieces from the temple.
zts14837e	Are you making any progress in the search for the relic pieces?
zts14838e	I think we've nearly finished with this.
zts14839e	There's only one more piece needed to finish reassembling the relic. You will probably be able to find it in Aster Centre. Be especially careful this time
zts14840e	Have you brought the relic piece?
zts14841e	The relic is almost completely reassembled.
zts14842e	(Grenigas' relic begins to glow.)
zts14843e	The relic is completely reassembled. Bring this report to High Priest Eladin. I have a bad feeling about all this. Something terrible is in store for us.
zts14844e	How are things going with Grenigas' relic?
zts14845e	We still can't do much with Grenigas' relics, but some day they will be of great help to us. Until that day comes, we shall keep them safe here.
zts14846e	Act 5 - The Burning Sword and the Disappearance of the Investigator
zts14847e	For some time now, we haven't received any news from the treasure hunter we sent to Rashid Temple. The Treasure Hunter Camp is responsible for the safety of all its employees.
zts14848e	Unfortunately we don't have enough people to begin a rescue operation. Can you help us with this issue?
zts14849e	Go to Serena and speak with her about the missing treasure hunter. She knows where he was staying last and might have more information to help with rescuing him.
zts14850e	So, this is about the missing treasure hunter that needs rescuing?
zts14851e	We're really very busy. The Burning Sword, the problems at Aster Temple, the Desert Robbers... we're stretched to our limit at Treasure Hunter Camp.
zts14852e	Do you think you could maybe help us this one time? According to our information, the report prepared by the explorers has been stolen by the Desert Robbers and taken to Garton's Camp.
zts14853e	Please recover the Rashid Temple report for us.
zts14854e	Have you found it?
zts14855e	It looks like they were doing some investigations in Rashid Temple.
zts14856e	We need to find out what the treasure hunters were exploring. However, the Desert Robbers have stolen another part of the report on the temple. They were supposed to bring it to the Temple Path.
zts14857e	Go there and subdue the Desert Robbers. Find the report and take it to Rashid Temple. There you'll find some treasure hunters who need your help. You can bring the report over to us after you've helped them.
zts14858e	Get going!
zts14859e	Please help us.
zts14860e	Someone has finally come to rescue us. I need to rest for a moment, I'm too weak.
zts14861e	We are treasure hunters who were sent here to conduct research on the temple. Check out the area around the temple.
zts14862e	(Michol points in the direction of the temple.)
zts14863e	That is Rashid Temple. The creatures that are currently at the Temple Site came from there. Please keep the monsters at bay until we find a way to stop them appearing.
zts14864e	How did it go? Have the monsters stopped attacking?
zts14865e	There are less attacks for now at least. Thank you!
zts14866e	Before we can leave we need to finish exploring the temple. We'll need your help to continue our research, as we're quite weak already. We had to leave our documents behind when we fled from the monsters. They contain important information.
zts14867e	What about the tablets? They're very important.
zts14868e	Be careful with them. They're valuable relics that contain important information about our history.
zts14869e	With help from you adventurers, we will need to bring the injured treasure hunters back to Desert Eagle City so that they can be attended to. We should collect all the research documents and bring them with us.
zts14870e	This bag contains the gathered documents and a detailed report about what happened. Bring them to Serena at the Treasure Hunter Camp.
zts14871e	Are the missing explorers okay? What happened? Please tell me.
zts14872e	That's amazing. I'm going to send more adventurers to rescue my people at the temple site.
zts14873e	Now that we've discovered the temple site, we'll be exploring it further. Our research will bring us prestige, and we should be proud of it. Michol's report contains important information about your deeds. We are very grateful for your help.
zts14874e	My final request is to please bring this to Riana.
zts14875e	What's the matter? If you're bored here, perhaps it's best if you go somewhere else.
zts14876e	So, you found the missing treasure hunter. Please tell me what happened.
zts14877e	If Serena's already taken care of it, then I don't need any further explanation.
zts14878e	Act 5 - The Burning Sword and Exploring the Temple Site
zts14879e	Thanks to your help, we can plan many more investigations. Research on the temple is of great importance to the Treasure Hunter Camp.
zts14880e	I'll set about organising these documents. In the meantime, you should begin your investigations. We've uncovered some strange ruins. Go there and tell me what you find.
zts14881e	And? Did you find anything out?
zts14882e	The sand monsters were created with the help of magic. We'll have to consider what we should do now.
zts14883e	We've found more ruins to the north of the temple site. We haven't been able to get inside the temple since we arrived because this one is in very bad condition. So we haven't been able to gather any complete relics.
zts14884e	Have a good look around and deal with any monsters you come across.
zts14885e	Are the investigations running smoothly?
zts14886e	You look exhausted. Have a rest before you continue.
zts14887e	Are the investigations running smoothly?
zts14888e	Have I told you about Rashid Temple before? That's where the monsters are coming from.
zts14889e	(Michol points to the damaged temple.)
zts14890e	Getting rid of the monsters near the temple will allow us to investigate the place in safety.
zts14891e	Deal with the creatures near Rashid Temple.
zts14892e	Is the investigation finished?
zts14893e	Our investigations are getting more complicated, I'm afraid.
zts14894e	Some of the treasure hunters are wounded. They lost their reports as they fled from huge monsters. The monsters are apparently near Rashid Temple. Please defeat them and bring us back the reports.
zts14895e	How did it go? Do you have the reports?
zts14896e	Good. Now we have the majority of our documents back.
zts14897e	The documents also contain detailed information about the sand monsters. The descriptions must be part of the many documents concerning the temple.
zts14898e	Bring the documents to Serena in the Treasure Hunter Camp. She'll be able to use them to decide if we should send more treasure hunters to us.
zts14899e	You'll receive rewards for your efforts from her.
zts14900e	I'm really very busy. I have so many documents to work on that I have no time left for anything else. And then you come here bringing me more of them!
zts14901e	I must do my best for the hard-working treasure hunters.
zts14902e	I've reorganized the treasure hunters' documents. If I'd left them how Michol gave them to me, Riana wouldn't have read them. It wouldn't have made any sense to give them to her.
zts14903e	Riana will give you your reward. She doesn't do much work, but then again she's the one responsible for the Treasure Hunter Camp.
zts14904e	How can I help you?
zts14905e	The report is well organised.
zts14906e	I prefer working outside so I don't like hanging about in the Treasure Hunter Camp for too long. However, I broke my promise to Serena and bought some relics, so I'm obliged to stay here.
zts14907e	Here is your reward. The Treasure Hunter Camp doesn't have much in the way of treasure at the moment. But I hope you will take this symbol of our gratitude, all the same.
zts14908e	Act 5 - The Burning Sword and the True Nature of the Temple Site
zts14909e	This time I'm asking you to find an important relic. It's a tablet containing important information about the fire god Grenigas.
zts14910e	The relic is made up of several stone tablets. First head north of the well and have a look around. The other treasure hunters suspect that one of the tablets may be there.
zts14911e	Were the stone tablets where we thought they'd be?
zts14912e	The tablet is written in an ancient language... It appears to be an original tablet. Thank you very much for your help!
zts14913e	To be honest, I have to confess that I'm not at all fluent in the ancient language written on the tablet. I'm merely responsible for the excavations. My knowledge of the language really only stretches as far as recognising the shape of the letters.
zts14914e	Our top priority is to collect these artefacts, so let's start looking for the next tablet. We'll send the ones we've already collected to the Treasure Hunter Camp to be examined.
zts14915e	Please go and explore the area Northwest of the well now. If you find something then bring it straight to me.
zts14916e	Have you brought me a stone tablet?
zts14917e	Fantastic! I'm going to keep the tablets here for now.
zts14918e	You'll find the last tablet near Rashid Temple. It looks so very similar to Aster Temple. I wonder if they're connected somehow?
zts14919e	Almost finished examining the tablet. Let's keep doing our best!
zts14920e	Did you find any tablets in Rashid Temple? In any case, the sand monsters didn't have the chance to destroy them.
zts14921e	Have we really collected every tablet? Have you seen any other ones?
zts14922e	That's strange. Even though we searched virtually everywhere in the Temple Site, there's still a stone tablet missing. But I think there are other monsters out apart from the ones made of sand.
zts14923e	It's only a hunch, but I think these monsters must be in possession of the last stone tablet. Hurry, because we can only find out what's written on the tablets once we have all of them.
zts14924e	What about the tablet? Did you find it?
zts14925e	Well done, now we can finish our research on the tablets.
zts14926e	Take the tablets we found to the Treasure Hunter Camp. I've already asked Serena to do a more thorough examination of the tablets. Maybe she can give you some information about the artefacts we've already sent there.
zts14927e	There were a few incidents, but I think we were able to gather up the tablets without any major losses. Thank you for your help! I hope you have a pleasant journey to Desert Eagle City.
zts14928e	You've apparently got the stone tablet with you.
zts14929e	I can already tell you quite a lot about the tablets. Why not have a little rest.
zts14930e	The tablets recount the legend of the fire god Grenigas.
zts14931e	It's a mythical story, but unfortunately I can't find anything about the temple site in it.
zts14932e	I'm summarized the contents of the tablets in this report. Please bring it to Riana.
zts14933e	Do you have the report? Can I see it quickly?
zts14934e	The Legend of the fire god Grenigas... this is of great scientific value. I think this means we'll be able to sell these artefacts at a high price. That would help improve the financial situation of our camp a little.
zts14935e	This time we can afford to reward you a little more handsomely.
zts14936e	Act 5 - The Burning Sword and the Guardian of Rashid Temple
zts14937e	Rashid Temple is one of the best preserved temples in existence. Exploring it is therfore of great importance. Unfortunately it's not safe because of the countless monsters there.
zts14938e	Please deal with the monsters for us, so we can continue our research. Go to Rashid Temple and fight the creatures there. Begin in the temple courtyard.
zts14939e	Did you investigate the library as well?
zts14940e	Were the monsters inside Rashid Temple also made of sand?
zts14941e	I was in Rashid Temple once a long time ago. There's a place deep inside it called Rashid Courtyard. It was there that we examined some relics. Back then the monsters you've described were not there yet. You should begin your investigations there.
zts14942e	The next place that needs investigating is at the back of Rashid Courtyard. Please get rid of the creatures there.
zts14943e	Have the monsters in the underground caves been totally removed?
zts14944e	It seems Rashid Courtyard has been purged to a reasonable extent.
zts14945e	I suspect the creatures in Rashid Temple are guarding something. What I need you to do is prove my theory.
zts14946e	We have to continue exploring, regardless of any problems that come up. We should focus on the centre of the temple next.
zts14947e	Please go to Aster Centre and eliminate as many monsters as you can so I can send the treasure hunters there. Only then can we continue our research in peace.
zts14948e	How are you? Are you all right? Tell me what happened in the prayer hall.
zts14949e	I'm very grateful! But we're not finished exploring the temple yet.
zts14950e	After you got rid of so many monsters in the centre, I sent a reconnaissance patrol out to the neighbouring area to gather some information. It's very dangerous there, so be careful.
zts14951e	There are dangerous monsters there who are jeopardising our research. So there's a lot of work for you to do out there.
zts14952e	The monsters you need to defeat are in the Rashid Centre.
zts14953e	How did it go with those dangerous monsters? Were you able to defeat them?
zts14954e	It's a tricky situation. Too many strange things are happening in Rashid Temple. I'd like to thank you for assisting us with our research.
zts14955e	Thanks to your hard work Rashid Temple is secure and we can continue our research. This is a step forward in the right direction.
zts14956e	Bring this report to Serena at the Treasure Hunter Camp. I've written you a commendation in my report, so this time you should receive a special reward.
zts14957e	It's been a long journey. Aren't you exhausted?
zts14958e	Please rest until I've finished reading the latest report.
zts14959e	The sand monsters are truly frightening. If only we knew where they come from. Are they guarding something in Rashid Temple?
zts14960e	The report for Riana is ready. Please deliver it to her. Of course she'll probably ask you to describe some of the things you've experienced to her yourself.
zts14961e	She'll probably be so fascinated that she'll want to accompany you on your next adventures.
zts14962e	Just leave the report here.
zts14963e	What was it like out there, in real life? Please tell me all about it! If I weren't stuck here in the Treasure Hunter Camp, I'd join you right away and explore like the others.
zts14964e	I'll take into account the danger you put yourself in for the treasure hunters, and reward you accordingly.
zts14965e	Act 5 - The Burning Sword and the Relic of Rashid Temple
zts14966e	There are several investigations to be carried out at Rashid Temple.
zts14967e	It mostly involves searching for lost relics or studying the mysterious creatures living inside.
zts14968e	This time we'll be looking for relics by searching Rashid Temple one area at a time. First, go to the courtyard and get me the relics from the monsters living there.
zts14969e	Were you able to find any relics in the library?
zts14970e	Excellent work! I'll keep them safe here for now.
zts14971e	Rashid Temple is very similar to Aster Temple. That's where I trained to be a treasure hunter. However, no one knows where these temples come from.
zts14972e	But enough of that! Back to the topic at hand. You need to head off to the next area in Rashid Temple. Defeat the monsters at the back of the courtyard and gather the relic pieces.
zts14973e	Were you able to get the relics from the underground caves?
zts14974e	You've found the relic pieces! Thank you!
zts14975e	Some of the relics are in better condition than I anticipated.
zts14976e	The monsters have most of the relic pieces. They seem to be attacking so aggressively because they are protecting the relic pieces. But we can't let that stop our research.
zts14977e	Once you've regained your strength, bring me the relic pieces from the monsters in Rashid Centre.
zts14978e	How is collecting the relic pieces from the Prayer Hall going?
zts14979e	Very good! Our investigations will be complete much quicker than I had anticipated.
zts14980e	Now there's only one place left from which we need to collect relic pieces... Rashid Centre. It's very dangerous there, so be cautious.
zts14981e	We have to continue exploring, regardless of any problems that come up. Keep collecting relic pieces in the centre of the temple. As soon as we've finished investigating we'll be able to breathe again.
zts14982e	Do you have the relic pieces?
zts14983e	Now that the relic is complete, our investigation is finished. The treasure hunters at the Treasure Hunter Camp will make a thorough analysis of the relics.
zts14984e	This bag contains all of the relic pieces collected in the temple.
zts14985e	Please take it to the Treasure Hunter Camp. As usual, you can get your reward from there. But after that you should have a rest - you've worked very hard.
zts14986e	You've done such a good job! Have a good trip!
zts14987e	Have you just come from Rashid Temple?
zts14988e	I've been expecting you. The relic pieces are in very good condition. The Rashid Temple relics need careful examination as they provide us with a key to understanding the ancients and their civilization.
zts14989e	They're different from the relics we've found before. They contain important information for us treasure hunters.
zts14990e	The treasure hunters have already analysed the relics. The report is very well organised.
zts14991e	Whether that's a good or a bad sign is for Riana to decide.
zts14992e	Bring Riana this report on the relic pieces.
zts14993e	What? Another report already?
zts14994e	The reports have been piling up on my desk a lot lately. I'm starting to lose sight of the big picture!
zts14995e	I'm tired and should really take a break, but I still have to read all these reports. Before I forget, take this reward with the treasure hunters' gratitude.
zts14996e	Act 5 - The Burning Sword and the Secret of Rashid Temple
zts14997e	We've found a great many relics inside Rashid Temple. The temple is the ideal starting point for our investigations. Unfortunately, the monsters prowling about inside the temple are giving us more and more problems.
zts14998e	It's even possible that the creatures have destroyed some of the temple's relics. Please go and find them and bring them back here.
zts14999e	Begin your search at the front of Rashid Courtyard.
zts15000e	Do you have any relics on you?
zts15001e	Thank you very much! The treasure hunters in the Treasure Hunter Camp are responsible for reassembling the broken tablets.
zts15002e	There are fewer treasure hunters in the Treasure Hunter Camp than you'd think. Most people there are adventurers, like yourself.
zts15003e	We've handed out the tasks to multiple groups, so we should be making much quicker progress now. The first group is responsible for eliminating the monsters, the second for finding the relics, and the third for transporting them to the Treasure Hunter Camp.
zts15004e	This time you'll need to go and collect the relics in Rashid Courtyard so that we can get them ready to be transported.
zts15005e	Are you making much progress?
zts15006e	They're in good condition.
zts15007e	The centre of Rashid Temple shouldn't present much danger anymore. It's the next place we have to investigate.
zts15008e	Sometimes we don't have enough brave adventurers to get rid of the monsters, which makes our research very difficult. I don't think that should be a problem this time. But be careful anyway!
zts15009e	And? Do you have any relics with you?
zts15010e	We're lucky everything has gone so well!
zts15011e	The last thing we need is the broken tablet from the back of Rashid Centre.
zts15012e	I have received information that vicious monsters are prowling about there. Of course, it's not safe for the treasure hunters if there are monsters around, but they shouldn't present you with much of a challenge. That's why we need your help for this last investigation.
zts15013e	We cannot allow our research to be affected by such things. Go to Rashid Centre now.
zts15014e	Good, I'm glad you're back safe.
zts15015e	You found my knapsack! I lost it when the monsters started making trouble. I will never forget this!
zts15016e	I remember exactly what happened. I had been sent here with a mysterious traveller by the Treasure Hunter Camp.
zts15017e	To begin with I was happy not to have to travel alone and I didn't feel like they got in the way of my research. But once we arrived here, the traveller stole one of the relics and ran off. I didn't see them again after that. It was a very valuable relic. That's why it's so important to take the relics safely to the Treasure Hunter Camp.
