zts1e	Kleiner Fuchs
zts5183e	Reinigender Graham
zts5184e	Fernons kleiner Meteor
zts5185e	Fernons großer Meteor
zts5186e	Fernons graue Klinge
zts5187e	Fernons schwarze Klinge
zts5188e	Linke Klinge des zerbrochenen Krem
zts5189e	Rechte Klinge des zerbrochenen Krem
zts5190e	Leo der Feigling
zts5191e	Statue von Göttin Zenas
zts5192e	Statue von Göttin Erenia
zts5193e	Altar des Tempelplatzes
zts5194e	Frigg
zts5195e	Ragnar
zts5196e	Gieriger Fafnir
zts5197e	Erdimien
zts5198e	Utegarda
zts5199e	Beobachter
zts5200e	Fafnirs Reißzahn
zts5201e	Kleiner Zahn von Fafnir
zts5202e	Fafnirs abgebrochener Reißzahn
zts5203e	Abgebrochener kleiner Zahn von Fafnir
zts5206e	Hauptmann der Wüstenräuber
zts5207e	Mitglied der Diebesbande
zts5208e	Elite-Dieb
zts5213e	Yertirand
zts5214e	Jennifer
zts5215e	Wüstenspinne
zts5216e	Brutaler Sandriese
zts5217e	Brutaler Sandzwerg
zts5218e	Durstiger Geist
zts5219e	Wüsten-Nachtschatten
zts5220e	Brutaler Wüstensand-Basilisk
zts5221e	Brutaler Wüsten-Wiggler
zts5222e	Wüstengeist
zts5223e	Ältester der Goten
zts5224e	Gotenmädchen
zts5225e	Piratenkapitän
zts5226e	Umherziehender Wüstenalchemist
zts5227e	Waffenladen in der Wüste
zts5228e	Wache
zts5229e	Quartiermeister
zts5230e	Piratenkönig Pussifer
zts5231e	Admiral Adlerauge
zts5232e	Verdorbener Yertirand
zts5233e	Knochendrache
zts5234e	Lebender Toter
zts5235e	Die Untoten
zts5236e	Totenkopf-Schwertkämpfer
zts5237e	Wandelnder Toter
zts5238e	Lichtschlag
zts5239e	Dunkler Lichtschlag
zts5240e	Seltsamer Yertirand
zts5241e	Soldat auf Urlaub
zts5242e	Händler
zts5243e	Hinterhof-Alchemistin
zts5244e	Umherziehender Alchemist
zts5245e	Knochenkrieger Ragnar
zts5246e	Magischer Knochendrache (für männliche Charaktere)
zts5247e	Magischer Knochendrache (für weibliche Charaktere)
zts5248e	Sir Schnurr
zts5249e	Teufelsanwärter Kratz
zts5250e	Wahnsinniger Dr. Maunz
zts5251e	Dr. Maunz
zts5252e	Wütende weiße Hexe Laurena
zts5253e	Rätseltruhe des wahnsinnigen Dr. Maunz
zts5254e	Vorratskiste der Katakombe
zts5255e	Glänzende Vorratskiste der Katakombe
zts5256e	Wahnsinniger Dr. Maunz
zts5257e	Angestellter der Cuarry-Bank
zts5258e	Flinker Häschendieb
zts5259e	Magischer Jaguar (m)
zts5260e	Magischer Jaguar (w)
zts5261e	Ausrüstungshelfer
zts5263e	Geisterbraut^Buhmiau
zts5264e	Geisterbräutigam^Buhmiau
zts5265e	Drachenfaust
zts5266e	Mechanikatz
zts5267e	Mini-Feuerteufel
zts5268e	Schwarzflügel-Imp
zts5269e	Rotnasen-Rentier
zts5270e	Lotusblüte
zts5271e	Magischer Schlitten (m)
zts5272e	Magischer Schlitten (w)
zts5273e	Schlitten mit Rotnasen-Rentier (m)
zts5274e	Schlitten mit Rotnasen-Rentier (w)
zts5275e	Mystische Künste
zts5276e	Mystische Künste (versteckt)
zts5277e	Polarbär^Fauch
zts5278e	Amora
zts5279e	Gefallener^Offizier^Chris
zts5280e	Flügellose^Amora
zts5281e	Verdächtiger^Geister-Schwertkämpfer
zts5282e	Glücks-Buschi
zts5283e	Superglücks-Buschi
zts5284e	Gelbes^Lamm
zts5285e	Gelbes^Schaf
zts5286e	Goldwolke
zts5287e	Verrückter^Osterhase
zts5288e	Verrückte^Eierbombe
zts5289e	Eggy-Bombe
zts5290e	Verfaulte^Eierbombe
zts5291e	Junger^roter^Wolf
zts5292e	Roter^Wolf
zts5293e	Alter^roter^Wolf
zts5294e	Meister^Wolf
zts5295e	Magische Esel-Piñata (m)
zts5296e	Magische Esel-Piñata (w)
zts5297e	Regenbogen-Pegasus
zts5298e	Kleine^Frosthexe
zts5299e	Otter
zts5300e	Phantom^des^Dämonenkriegers
zts5301e	Meteor^(Typ^I)
zts5302e	Meteor^(Typ^II)
zts5303e	Vereister^Meteor
zts5304e	Wassermann
zts5305e	Sirene
zts5306e	Eulenbär
zts5307e	Pikanya
zts5308e	Kartoffel-Goblin
zts5309e	Kreischender^Flederwurm
zts5310e	Wiedergänger
zts5311e	Ghul
zts5312e	Skelettsoldat
zts5313e	Verdorbener^Goblin
zts5314e	Verdorbene^Dunkelelfe
zts5315e	Geisterwächter
zts5316e	Waldgeist
zts5317e	Moospudding
zts5318e	Moosfee
zts5319e	Felsgolem
zts5320e	Dämonische^Bestie
zts5321e	Satyros
zts5322e	Geflügelter^Satyros
zts5323e	Rotaugen-Skorpion
zts5324e	Verfaulte^Mumie
zts5325e	Seuchentroll
zts5326e	Trollkrieger
zts5327e	Schattenmagierin
zts5328e	Belials^Magier
zts5329e	Belials^Hexe
zts5330e	Belials^Schattenritter
zts5331e	Verdorbener^Geisterkönig^Kirollas
zts5332e	Verdorbener^Bestienkönig^Carno
zts5333e	Dämonengott^Belial
zts5334e	Häuptling^Toffel
zts5335e	Königliche^Ork-Wache
zts5336e	Königliche^Ork-Assassine
zts5337e	Königlicher^Ork-Bogenschütze
zts5338e	Königlicher^Ork-Schwertkämpfer
zts5339e	Königliche^Ork-Magierin
zts5340e	Feuerobelisk
zts5341e	Terrorobelisk
zts5342e	Verdorbener^Bestienkönig^Carno^(ruhend)
zts5343e	Avatar^von^Bestienkönig^Carno
zts5344e	Avatar^von^Geisterkönig^Kirollas
zts5345e	Großer^Wassermann
zts5346e	Lichtobelisk
zts5347e	Taita
zts5348e	Datius
zts5349e	Cottari
zts5350e	Asgot
zts5351e	Ork-Wachmann
zts5352e	Ork-Wachfrau
zts5353e	Lipaga
zts5354e	Tatika
zts5355e	Süßer^Apfel
zts5356e	Rebe^mit^Kliffbeeren
zts5357e	Primitiver^Altar
zts5358e	Holzstück
zts5359e	Altar^des^Geisterkönigs
zts5360e	Fischtruhe^des^Anglers
zts5361e	Haipuppe
zts5362e	Seltsame^Steinstatue
zts5363e	Seltsames^Räuchergefäß
zts5364e	Zeichen^des^Bösen
zts5365e	Zeichen^des^Zorns
zts5366e	Zeichen^der^Habgier
zts5367e	Waffen-Lagertruhe
zts5368e	Kaputtes^Angelgerät
zts5369e	Kaputter^Wagen
zts5370e	Logtas'^Leiche
zts5371e	Proga
zts5372e	Perkichan
zts5373e	Itura
zts5374e	Taritus
zts5375e	Rigtas
zts5376e	Logtas'^Frau
zts5377e	Kantrok
zts5378e	Kujantrok
zts5379e	Martas
zts5380e	Churigo
zts5381e	Liatiz
zts5382e	Thrull
zts5383e	Ork-Bürger
zts5384e	Ork-Bürgerin
zts5385e	Ork-Bauer
zts5386e	Ork-Bäuerin
zts5387e	Logota
zts5388e	Verschleppter^Ork
zts5389e	Verschleppte^Orkin
zts5390e	Wachmann^in^Ausbildung
zts5391e	Wachfrau^in^Ausbildung
zts5392e	Tulito
zts5393e	Rocha
zts5394e	Verwundeter^Ork-Wachmann
zts5395e	Verwundete^Ork-Wachfrau
zts5396e	Händler^Ben
zts5397e	Schatzsucher^Orus
zts5398e	Schatzsucher^Irus
zts5399e	Lisuka
zts5400e	Dunkelelfen-Kriegstreiber
zts5401e	Wächter^des^Geisterkönigs
zts5402e	Dämonenbestie^des^Drachen
zts5403e	Eulenbär^des^Bestienkönigs
zts5404e	Kleiner^Wassermann
zts5405e	Wahnsinniger^Eulenbär
zts5406e	Großer^Rotaugen-Skorpion
zts5407e	Bote^des^Geisterkönigs
zts5408e	Instabiler^Golem
zts5409e	Zahmes^Pikanya
zts5410e	Schattenritter-Hauptmann
zts5415e	Baum^mit^süßen^Äpfeln
zts5416e	Beschädigter^Golem
zts5417e	Verdorbener^Ork-Häuptling
zts5418e	Belials^Hexenmeister
zts5419e	Belials^Hexenkönigin
zts5420e	Belials^Panzerritter
zts5421e	Verdorbener^Ork-Speerträger
zts5422e	Verdorbener^Ork-Bogenschütze
zts5423e	Verdorbener^Ork-Krieger
zts5424e	Verdorbene^Ork-Assassine
zts5425e	Verdorbener^Ork-Magier
zts5426e	Zahmes^Pikanya
zts5427e	Irukur
zts5428e	Neujahrs-Stier-Buschi
zts5429e	Mäuschen^Miez
zts5430e	Samurai-Haustiertrainer
zts5431e	Buschi-Vogelscheuche
zts5432e	Schildikopter (m)
zts5433e	Schildikopter (w)
zts5434e	Eiswolf
zts5435e	Frostwolf
zts5436e	Schneesturmwolf
zts5437e	Rasender^Goblin
zts5439e	Dämonengolem
zts5440e	Verdorbener^Eulenbär
zts5441e	Rasende^Mantis
zts5442e	Verdorbener^Zombiebaum
zts5446e	Höllenfeuer-Golem
zts5447e	Rasender^Sandriese
zts5448e	Teuflischer^Zerstörer
zts5449e	Rasender^Feuerriese
zts5452e	Verdorbener^Trollkrieger
zts5461e	Paimons^Ritter
zts5462e	Paimons^Vorhut-Hauptmann
zts5464e	Stinkende^Mumie
zts5467e	Rasende^Dunkelelfe
zts5469e	Höllenfeuer-Schädelschütze
zts5470e	Verdorbener^Wächter
zts5471e	Verdorbene^Sirene
zts5473e	Verdorbener^Engelsmagier
zts5474e	Verdorbene^Schattenmagierin
zts5475e	Paimons^Scharfschütze
zts5476e	Paimons^Magier
zts5478e	Paimons^Hexenkönigin
zts5479e	Riesiges^dunkles^Jelly
zts5480e	Verdorbener^Eiswurm
zts5481e	Abgrund-Königskrabbe
zts5482e	Flammenteufelchen
zts5484e	Flammen-Satyros
zts5485e	Teuflischer^Festungsbrecher
zts5486e	Elite-Schattenritter
zts5487e	Klon^des^Bestienkönigs
zts5488e	Dämonischer^roter^Wolf
zts5489e	Rasender^Yeti
zts5490e	Unsterblicher^Yeti
zts5491e	Dämonischer^blauer^Wolf
zts5493e	Versiegelter^Rozhanik
zts5494e	Versiegelte^Ester
zts5495e	Versiegelter^Lazekiel
zts5496e	Versiegelter^Zelot
zts5497e	Paimons^Satyros
zts5498e	Paimons^Berserker
zts5500e	Schatten^des^Verdorbenen^Bestienkönigs
zts5503e	Räuberhauptmann
zts5504e	Avatar^des^Geisterkönigs
zts5505e	Lichttotem
zts5506e	Himmelsturm-Waldgeist
zts5507e	Avatar^des^Bestienkönigs
zts5508e	Himmelsturm-Eulenbär
zts5509e	Himmelsturm-Moospudding
zts5510e	Höllen-Mantis
zts5511e	Fieser^Räuber
zts5512e	Wächter-Sandriese
zts5513e	Nadel-Wächter
zts5514e	Schwaches^Skelett
zts5515e	Nekromant
zts5516e	Mumienbeschwörer
zts5517e	Paimons^Zauberlehring
zts5518e	Explosiver^Moospudding
zts5519e	Goblin-Kopfgeldjäger
zts5520e	Himmelsturm-Wiedergänger
zts5521e	Brutale^Höllenbestie
zts5522e	Todesritter
zts5523e	Rasender^Ork-Bogenschütze
zts5524e	Verbesserter^Satyros
zts5525e	Verfaulter^Ghul
zts5526e	Meistermagier
zts5527e	Rasender^Waldgeist
zts5528e	Meisternekromant
zts5529e	Bombenwurm-Beschwörer
zts5530e	Teuflischer^Satyros
zts5531e	Kleine^Bombenmumie
zts5532e	Festungsbrecher-Bombenmumie
zts5533e	Moosgeist-Attentäter
zts5534e	Monsterbeschwörer
zts5535e	Festungsbrecher-Schattenschütze
zts5536e	Teuflischer^Felsgolem
zts5537e	Zerstörergeist
zts5538e	Paimons^Attentäter
zts5539e	Verbesserter^Yeti
zts5540e	Verdorbener^Waldgeist
zts5541e	Harakiri-Wurm
zts5542e	Unsteter^Sandgeist
zts5543e	Unsteter^Riesen-Sandgeist
zts5544e	Verdorbener^Engelsbogenschütze
zts5545e	Dämonische^Bestie
zts5546e	Paimons^Höllenbestie
zts5547e	Versiegelter^Wächter
zts5548e	Versiegelter^Mysticaron
zts5549e	Versiegelter^mystischer^Ritter
zts5550e	Versiegelter^Erzengel
zts5551e	Paimons^geflügelter^Satyros
zts5552e	Mana-Süchtiger
zts5553e	Paimons^Truppenführer
zts5554e	Wahnsinniger^Kreuzritter
zts5555e	Paimons^Meteor
zts5556e	Schatten^des^Verdorbenen^Geisterkönigs
zts5557e	Belials^Schatten
zts5558e	Lanzentod
zts5559e	Rasender^Pegasus
zts5560e	Höllen-Klingendorn
zts5561e	Illusion^des^Geisterkönigs
zts5562e	Illusion^des^Bestienkönigs
zts5563e	Paimons^Skelettsoldat
zts5564e	Höllen-Basilik
zts5565e	Höllen-Prädator
zts5566e	Fieser^Jäger
zts5567e	Sandsturm-Wächter
zts5568e	Böser^Gebieter^Paimon
zts5569e	Himmelsturm-Dunkelelfe
zts5570e	Paimons^fliegender^Feuerteufel
zts5571e	Paimons^Glacerus
zts5572e	Paimons^Dark^Castra
zts5573e	Verdorbener^Erzengel
zts5574e	Himmelsriss
zts5575e	Handgefertigte^Bombe
zts5576e	Verbesserter^Elite-Schattenritter
zts5577e	Anführer^der^Elite-Schattenritter
zts5578e	Kuchenpudding
zts5579e	Goldener^Kuchenpudding
zts5580e	Gecko-Paladin
zts5581e	Wassermannhexer^Arku
zts5582e	Bösartiger^Imp
zts5583e	Kleiner^bösartiger^Imp
zts5584e	Bösartiger^Satyros
zts5585e	Bösartiger^geflügelter^Satyros
zts5586e	Riesiger^Satyros
zts5587e	Arkus^Schlammgolem
zts5588e	Arkus^Skelette
zts5589e	Fischer^Walter
zts5590e	Fischer^Winni
zts5591e	Arkus^Ghul
zts5592e	Arkus^Totenkopfbogenschütze
zts5593e	Rodeobulle (m)
zts5594e	Rodeobulle (w)
zts5595e	Zauberkauz
zts5596e	Schattenhamster
zts5597e	Nachthamster
zts5598e	Nagerzorn
zts5599e	Chefkoch^Terry
zts5600e	Riesiger^Kopfsalat
zts5601e	Riesige^Tomate
zts5602e	Riesige^Zwiebel
zts5603e	Riesige^Mango
zts5604e	Gruseliges^Teufelchen
zts5605e	Flederfuchs
zts5606e	Seelenspinne
zts5607e	Bärenfalle
zts5608e	Flammenleopard
zts5609e	Sonnenwolf
zts5610e	Flammendruiden-Geist
zts5611e	Voodoopriester-Geist
zts5612e	"Wasserfall-Axtkämpfer"-Geist
zts5613e	Sonnenjäger-Geist
zts5614e	Flammendruiden-Seele
zts5615e	Voodoopriester-Seele
zts5616e	"Wasserfall-Axtkämpfer"-Seele
zts5617e	Sonnenjäger-Seele
zts5618e	Ruhender^Paimon
zts5619e	Voodoopriester-Geist
zts5620e	"Wasserfall-Axtkämpfer"-Geist
zts5621e	Seelenspinne
zts5622e	Auferstandener^Paimon
zts5623e	Belials^Schatten^(schwach)
zts5624e	Sonnenwolf-Geist
zts5625e	Sonnenwolf-Seele
zts5626e	Flammendruiden-Seele
zts5627e	Sonnenjäger-Seele
zts5628e	Sonnenwolf-Seele
zts5629e	Babydino^Velutzi
zts5630e	Zahme^Bienenkönigin
zts5631e	Känguru^des^14.^Jahrestages^(m)
zts5632e	Känguru^des^14.^Jahrestages^(w)
zts5633e	Känguru-Boxer^des^14.^Jahrestages^(m)
zts5634e	Känguru-Boxer^des^14.^Jahrestages^(w)
zts5635e	Nebeldrachen-Vollstrecker
zts5636e	Verfluchter^Grabräuber
zts5637e	Himmelsnest-Portal
zts5638e	Drachenkristall
zts5639e	Drachenatem
zts5640e	Eisdrache^Alzanor
zts5641e	Drakonier-Wache
zts5642e	Drakonier
zts5643e	Baby-Drachenbiene
zts5644e	Ain
zts5645e	Bürgermeister^Cäsar
zts5646e	Hauptmann^Enrico
zts5647e	Quartiermeister^Marto
zts5648e	Präsident^Alesio
zts5649e	Rancherin^Emily
zts5650e	Transportaufseher^Pavio
zts5651e	Verschollener^Rekrut
zts5652e	Drakonier-Alchemist
zts5653e	Drakov-Soldat
zts5654e	Drachenbiene
zts5655e	Bösartige^Drachenbiene
zts5656e	Greif
zts5657e	Schattengreif
zts5658e	Kleiner^blauer^Drache
zts5659e	Blauer^Drache
zts5660e	Kleiner^roter^Drache
zts5661e	Roter^Drache
zts5662e	Hammerschwanz-Drache
zts5663e	Riesiger^Hammerschwanz-Drache
zts5664e	Uralter^Eisgolem
zts5665e	Schneemann
zts5666e	Finsterfrost-Schneemann
zts5667e	Frosthirsch
zts5668e	Uralter^Frosthirsch
zts5669e	Alzanors^Sohn
zts5670e	Pilzling-Bogenschütze
zts5671e	Pilzling-Schwertkämpfer
zts5672e	Pilzling-Magier
zts5673e	Riesiger^Pilzling-Bogenschütze
zts5674e	Riesiger^Pilzling-Schwertkämpfer
zts5675e	Riesiger^Pilzling-Magier
zts5676e	Gremlin
zts5677e	Bösartiger^Gremlin
zts5678e	Drachenharpyie
zts5679e	Harpyien-Plünderer
zts5680e	Aaslibelle
zts5681e	Bösartiger^Triceratops
zts5682e	Baby-Triceratops
zts5683e	Triceratops
zts5684e	Haibär
zts5685e	Riesiger^Haibär
zts5686e	Drachennest-Speerkämpfer
zts5687e	Drachennest-Scharfschütze
zts5688e	Drachennest-Magier
zts5689e	Drachenei
zts5690e	Lavadrache
zts5691e	Riesiger^Lavadrache
zts5692e	Ain^(auf^dem^Gipfel^des^Krem)
zts5693e	Trainierter^Greif
zts5694e	Trainierter^Lavadrache
zts5695e	Verrotteter^Drachenjäger
zts5696e	Drachenjäger-Zombie
zts5697e	Untote^Hand
zts5698e	Angeschwollene^Untote^Hand
zts5699e	Drachengrabräuber
zts5700e	Drakov-Hauptmann
zts5701e	Bemos,^Anführer^der^Drakov
zts5702e	Aros,^Anführer^der^Drakov
zts5703e	Seltsamer^Drakonier
zts5704e	Zombiedrache^Valehir
zts5705e	Drachenlord^Asgobas
zts5706e	Alzanors^Avatar
zts5707e	Valehirs^Avatar
zts5708e	Frostiger^Geisterhirsch
zts5709e	Frostiger^Schneemann
zts5710e	Alzanors^Eisgolem
zts5711e	Frostableiter
zts5712e	Riesige^Aaslibelle
zts5713e	Lavadrache^der^Drachenarmee
zts5714e	Blauer^Drache^der^Drachenarmee
zts5715e	Himmelsdrache^der^Drachenarmee
zts5716e	Asgobas'^Ei
zts5717e	Asgobas'^Kind
zts5718e	Riesige^Untote^Hand
zts5719e	Drachenharpyie^der^Drachenarmee
zts5720e	Zentaurenkrieger^der^Drachenarmee
zts5721e	Zentaurenschütze^der^Drachenarmee
zts5722e	Zentaurenmagier^der^Drachenarmee
zts5723e	Schneebällchen
zts5724e	Unbekannter^Drache
zts5725e	Dichter^Drachenatem
zts5726e	Drakonier-Rekrut
zts5727e	Drakonier-Soldat
zts5728e	Drakonier-Schwertkämpfer
zts5729e	Drakonier-Soldat
zts5730e	Drakonier-Schwertkämpferin
zts5731e	Drakonier-Soldatin
zts5732e	Verwundeter^Drakonier-Soldat
zts5735e	Magischer^untoter^Drache
zts5736e	Magischer^Eisdrache
zts5737e	Baby-Himmelsdrache
zts5738e	Magischer^weißer^Neujahrstiger
zts5739e	Neujahrstiger
zts5740e	Langschläfer-Koala
zts5741e	Zahmes^Schneebällchen
zts5742e	Golddrache
zts5743e	Heiliger^untoter^Drache
zts5744e	Verwundeter^Asgobas
zts5745e	Genesener^Asgobas
zts5746e	Portal^zum^Land^der^Lebenden
zts5747e	Goldener^Pilzling-Bogenschütze^(erfahren)
zts5748e	Goldener^Pilzling-Schwertkämpfer^(erfahren)
zts5749e	Roter^Pilzling-Magier^(erfahren)
zts5750e	Riesiger^goldener^Pilzling-Bogenschütze^(erfahren)
zts5751e	Riesiger^goldener^Pilzling-Schwertkämpfer^(erfahren)
zts5752e	Riesiger^roter^Pilzling-Magier^(erfahren)
zts5753e	Goldgreif^(erfahren)
zts5754e	Heiliger^Goldgreif^(erfahren)
zts5755e	Dunkle^Drachenharpyie^(erfahren)
zts5756e	Gletscher-Geisterhirsch^(erfahren)
zts5757e	Zentaurenschütze^der^Golddrachenarmee^(erfahren)
zts5758e	Zentaurenkrieger^der^roten^Drachenarmee^(erfahren)
zts5759e	Golddrache^(erfahren)
zts5760e	Heiliger^untoter^Drache^(erfahren)
zts5761e	Goldener^Pilzling-Bogenschütze
zts5762e	Goldener^Pilzling-Schwertkämpfer
zts5763e	Roter^Pilzling-Magier
zts5764e	Zentaurenschütze^der^Golddrachenarmee
zts5765e	Zentaurenkrieger^der^roten^Drachenarmee
zts5766e	Goldgreif
zts5767e	Dunkle^Drachenharpyie
zts5768e	Gletscher-Geisterhirsch
zts5769e	Riesiger^goldener^Pilzling-Bogenschütze
zts5770e	Riesiger^goldener^Pilzling-Schwertkämpfer
zts5771e	Riesiger^roter^Pilzling-Magier
zts5772e	Heiliger^Goldgreif
zts5773e	Heiliger^Altar
zts5774e	Trügerischer^Altar
zts5776e	Edle^Häschen-Droschke^(m)
zts5777e	Edle^Häschen-Droschke^(w)
zts5778e	Zahmer^Waschbärvogel
zts5779e	Schwacher^Wächter
zts5780e	Starker^Wächter
zts5781e	Babypanda
zts5782e	Schwerkraftgranate
zts5783e	Valehirs^endloser^Nebel
zts5784e	Shania
zts5785e	Gail
zts5786e	Aldo
zts5787e	Drachenritterin^Shania
zts5788e	Grenadier^Gail
zts5789e	Hydraulikfaust^Aldo
zts5790e	Gravitas^Ain
zts5791e	Erschöpfter^Drachenritter
zts5792e	Erschöpfter^Grenadier
zts5793e	Erschöpfte^Hydraulikfaust
zts5794e	Verdächtige^Dunkelkristall-Säule
zts5795e	Schwacher^Asgobas
zts5796e	Verbesserter^Hammerschwanzdrache
zts5797e	Alzanors^Sohn^(verbessert)
zts5798e	Verbesserter^bösartiger^Gremlin
zts5799e	Verbesserter^Triceratops
zts5800e	Verbesserter^Baby-Triceratops
zts5801e	Verbesserter^Haibär
zts5802e	Verbesserter^riesiger^Haibär
zts5803e	Verbesserter^Schattengreif
zts5804e	Valehirs^Avatar^(verbessert)
zts5805e	Verbesserter^riesiger^Eisdrache
zts5806e	Verbesserter^Pilzling-Bogenschütze
zts5807e	Verbesserter^Pilzling-Schwertkämpfer
zts5808e	Verbesserter^Pilzling-Magier
zts5809e	Verbesserter^riesiger^Pilzling-Bogenschütze
zts5810e	Verbesserter^riesiger^Pilzling-Schwertkämpfer
zts5811e	Verbesserter^riesiger^Pilzling-Magier
zts5812e	Verbesserter^Harpyien-Plünderer
zts5813e	Rotdrachen-Wache
zts5814e	Himmelsdrachen-Wache
zts5815e	Lavadrachen-Wache
zts5816e	Asgobas'^Kind^(verbessert)
zts5818e	Par
zts5819e	Pur
zts5820e	Pir
zts5821e	Neujahrshase
zts5822e	Schwarzmalhase
zts5823e	Zahmer^Goldener^Pilzling
zts5824e	Heiliges^Totem
zts5825e	Gruseliges^Teufelchen
zts5826e	Dunkelimp
zts5827e	Spukimp
zts5828e	Riesiger^grausamer^Warepard
zts5829e	Schwaches^Trainingsmonster
zts5830e	Trainingsmonster
zts5831e	Starkes^Trainingsmonster
zts5832e	Haustiertrainerin^Lucy
zts5833e	Lucys^Wolf
zts5834e	Lucys^weißer^Tiger
zts5835e	Verhexter^Totenkopfschwertkämpfer
zts5836e	Verhexter^Totenkopfbogenschütze
zts5837e	Verhexter^Totenkopfkrieger
zts5838e	Gezähmter^Verfolgerfisch
zts5839e	Gezähmte^Qualle
zts5840e	Moosriese^Pollutus
zts5841e	Teil^von^Pollutus
zts5842e	Riesen-Arma
zts5845e	Gefangener^Mullan
zts5846e	Wächtersoldat
zts5847e	Feuerkraftmodul
zts5848e	Resistenzmodul
zts5849e	Auflademodul
zts5850e	Schildmodul
zts5851e	Reparaturmodul
zts5852e	Bewegungsmelder-Roboter
zts5853e	Mullan-Ingenieur
zts5854e	Mullan-Soldat
zts5855e	Mullan-Flintensoldat
zts5856e	Mullan-Schildträger
zts5857e	Grubenroboter
zts5858e	Arbeitsroboter
zts5859e	Gewehr-Maschinensoldat
zts5860e	Flammen-Maschinensoldat
zts5861e	Gatling-Maschinensoldat
zts5862e	Raketen-Maschinensoldat
zts5863e	Maschinentruppen-Kommandant
zts5864e	Monsterratte
zts5865e	Riesige^Monsterratte
zts5866e	Knochenschleim
zts5867e	Riesiger^Knochenschleim
zts5868e	Echsenschleim-Baby
zts5869e	Echsenschleim
zts5870e	Pilzgolem
zts5871e	Kristallratte
zts5872e	Stachelspinnen-Baby
zts5873e	Stachelspinne
zts5874e	Felswurm
zts5875e	Riesiger^Felswurm
zts5876e	Verrückter^Wissenschaftler
zts5877e	Verrückter^Ingenieur
zts5878e	Königlicher^Ingenieur
zts5879e	Königlicher^Soldat
zts5880e	Königlicher^Flintensoldat
zts5881e	Königlicher^Schildträger
zts5882e	Königlicher^Gewehr-Maschinensoldat
zts5883e	Königlicher^Flammen-Maschinensoldat
zts5884e	Königlicher^Raketen-Maschinensoldat
zts5885e	Königlicher^Gatling-Maschinensoldat
zts5886e	Königl.^Maschinentruppen-Kommandant
zts5887e	Königlicher^Grubenroboter
zts5888e	Königlicher^Arbeitsroboter
zts5889e	KI-Gewehr-Maschinensoldat
zts5890e	KI-Flammen-Maschinensoldat
zts5891e	KI-Raketen-Maschinensoldat
zts5892e	KI-Gatling-Maschinensoldat
zts5893e	KI-Maschinentruppen-Kommandant
zts5894e	KI-Grubenroboter
zts5895e	Verseuchter^Felswurm
zts5896e	Verseuchte^Stachelspinne
zts5897e	Verseuchter^Pilzgolem
zts5898e	Präsident^Biaron^zu^Pferde
zts5899e	Königlicher^Gewehr-Maschinensoldat
zts5900e	Königlicher^Flammen-Maschinensoldat
zts5901e	Königlicher^Raketen-Maschinensoldat
zts5902e	Königlicher^Gatling-Maschinensoldat
zts5903e	Königl.^Maschinentruppen-Kommandant
zts5904e	Höhlen-Knochenschleim
zts5905e	Höhlen-Echsenschleim
zts5906e	Höhlen-Pilzgolem
zts5907e	Riesige^Höhlenratte
zts5908e	Moosriese^Pollutus
zts5909e	Knochenschleim^des^Moosriesen
zts5910e	Echsenschleim^des^Moosriesen
zts5911e	KI-Gewehr-Maschinensoldat
zts5912e	KI-Flammen-Maschinensoldat
zts5913e	KI-Raketen-Maschinensoldat
zts5914e	KI-Gatling-Maschinensoldat
zts5915e	Kleiner^Riesen-Arma
zts5916e	Präsident^Biaron
zts5917e	Tieclo
zts5918e	Mullang
zts5919e	KI-Assistent^Allos
zts5920e	Mullan-Militärausbilder
zts5921e	Unterstadt-Kraftwerk-Manager
zts5922e	Unterstadt-Erfinder
zts5923e	Unterstadt-Ingenieur
zts5924e	Unterstadt-Köchin
zts5925e	Unterstadt-Familienmanager
zts5926e	Unterstadt-Eisenbahnmanager
zts5927e	Unterstadt-Juwelier
zts5928e	Armbrust-Wächter
zts5929e	Hauptmann
zts5930e	Koarenwache
zts5931e	Koarenbogenschütze
zts5932e	Koarenoffizier
zts5934e	Rebellensoldat
zts5935e	Rebellen-Flintensoldat
zts5936e	Rebellen-Schildträger
zts5937e	Rebellen-Ingenieur
zts5938e	Schokotörtchen^zum^16.^Jahrestag
zts5939e	Regenbogentörtchen^zum^16.^Jahrestag
zts5940e	Riesen-Arma
zts5941e	Unterstadt-Wache
zts5942e	Unterstadt-Maschinenwache
zts5943e	Zahmer^Schneemannkopf
zts5944e	Zahme^Kristallratte
zts5945e	Teil^von^Pollutus
zts5946e	Unterstadt-NosBasar-Manager
zts5947e	Mullan-Einwohner
zts5948e	Mullan-Adliger
zts5949e	Unterstadt^Ausrüstungsmeister
