zts1e	Odpoczynek
zts1115e	Zmienia ¿ywio³ w ¿ywio³ mroku.
zts1116e	Ulepsza pchniêcie mieczem.
zts1117e	Dodaj ¿ywio³ ognia do b³yszcz¹cego ostrza.
zts1118e	Dodaj ¿ywio³ mroku do b³yszcz¹cego ostrza.
zts1119e	Efekt animacyjny b³yszcz¹cego ostrza jest w³¹czony, a jego si³a ulega maksymalizacji.
zts1120e	Dodaje do wybuchowego strza³u ¿ywio³ mroku.
zts1121e	Efekt animacyjny wybuchowego strza³u jest w³¹czony, a jego moc zmaksymalizowana.
zts1122e	1. umiejêtnoœæ szturmowa lisa
zts1123e	2. umiejêtnoœæ szturmowa lisa
zts1124e	3. podstawowy atak lisa
zts1125e	1. atak ³owczy wilka
zts1126e	2. atak ³owczy wilka
zts1127e	3. atak ³owczy wilka
zts1128e	Zastosuj ¿ywio³ wody
zts1129e	Dodaje do strza³u w dziesi¹tkê ¿ywio³ wody.
zts1130e	Zastosuj ¿ywio³ œwiat³a
zts1131e	Dodaje do strza³u w dziesi¹tkê ¿ywio³ œwiat³a.
zts1132e	Zwiêksza celnoœæ.
zts1133e	Zwiêksza prawdopodobieñstwo trafienia wroga strza³em w dziesi¹tkê.
zts1134e	Zwiêksza szansê na zadanie ciosu krytycznego.
zts1135e	Zwiêksza szansê na zadanie ciosu krytycznego przez strza³ w dziesi¹tkê.
zts1136e	Ulepszenie (trafienie krytyczne)
zts1137e	Maksymalizuje szansê na zadanie ciosu krytycznego strza³u w dziesi¹tkê.
zts1138e	Dodaje do silnego ciosu ¿ywio³ wody.
zts1139e	Dodaje do silnego ciosu ¿ywio³ œwiat³a.
zts1140e	Wzmocnione odpychanie - poziom 1
zts1141e	Posy³a strza³ê, która odpycha wroga daleko w ty³.
zts1142e	Wzmocnione odpychanie - poziom 2
zts1143e	Wzmocnione odpychanie - poziom 3
zts1144e	Maksymalizuje si³ê ataku d³ugodystansowego silnego ciosu.
zts1145e	Efekt animacyjny przeszywaj¹cego strza³u jest aktywny. Si³a i szansa na zadanie ciosu krytycznego zostaj¹ zmaksymalizowane.
zts1146e	Dodaje do strza³u z wyskoku ¿ywio³ wody.
zts1147e	Zastosuj ¿ywio³ œwiat³a - poziom 1
zts1148e	Dodaje do strza³u z wyskoku ¿ywio³ œwiat³a.
zts1149e	Zastosuj ¿ywio³ œwiat³a - poziom 2
zts1150e	Maksymalizuje silê ataku d³ugodystansowego strza³u z wyskoku.
zts1151e	Dodaje do szybkiego strza³u ¿ywio³ œwiat³a.
zts1152e	Dodaje do szybkiego strza³u ¿ywio³ wody.
zts1153e	Zwiêksza si³ê ataku d³ugodystansowego szybkiego strza³u.
zts1154e	Dodaje do deszczu strza³ ¿ywio³ wody.
zts1155e	Dodaje do deszczu strza³ ¿ywio³ œwiat³a.
zts1156e	Maksymalizuje si³ê ataku d³ugodystansowego deszczu strza³.
zts1157e	Dodaje do œmiertelnego pchniêcia ¿ywio³ wody.
zts1158e	Dodaje do œmiertelnego pchniêcia ¿ywio³ œwiat³a.
zts1159e	Krwawienie
zts1160e	Zadaje przeciwnikowi ranê k³ut¹, która wywo³uje krwawienie.
zts1161e	Zamroczenie
zts1162e	Zadaje przeciwnikowi ranê k³ut¹, która powoduje zamroczenie.
zts1163e	Maksymalizuje atak krótkodystansowy œmiertelnego pchniêcia.
zts1164e	Dodaje do ciosu szturmowego ¿ywio³ wody.
zts1165e	Dodaje do ciosu szturmowego ¿ywio³ œwiat³a.
zts1166e	Maksymalizuje si³ê ataku krótkodystansowego ciosu szturmowego i zwiêksza szansê na zadanie ciosu krytycznego.
zts1167e	Zamroczenie - poziom 2
zts1168e	Efekt animacyjny b³yszcz¹cej strza³y jest w³¹czony, a jego si³a zmaksymalizowana.
zts1169e	Efekt animacyjny przy zastosowaniu ataku s³abych punktów jest aktywny. Si³a i szansa na zadanie ciosu krytycznego zostaj¹ zmaksymalizowane.
zts1170e	Strza³ w dziesi¹tkê wycelowany w nogi wroga zwiêksza si³ê ataku d³ugodystansowego i prawdopodobieñstwo zranienia go w nogi.
zts1171e	Maksymalizuje si³ê ataku d³ugodystansowego namierzenia celu i zwiêksza jego celnoœæ.
zts1172e	Dodaje do energetycznej kuli ¿ywio³ ognia.
zts1173e	Dodaje do magicznej rakiety ¿ywio³ wody.
zts1174e	Dodaje do magicznej rakiety ¿ywio³ ognia.
zts1175e	Maksymalizuje si³ê ataku magicznego magicznej rakiety.
zts1176e	Maksymalizuje si³ê ataku magicznego spadaj¹cego g³azu, aby ³atwiej zamroczyæ wroga.
zts1177e	Ochrona œwietlna
zts1178e	¯ywio³ œwiat³a zapewnia ochronê przyrody.
zts1179e	Ochrona mroczna
zts1180e	¯ywio³ mroku zapewnia ochronê przyrody.
zts1181e	Si³a lodowej œciany zostaje wzmocniona. Zadawane obra¿enia zostaj¹ zwiêkszone.
zts1182e	Dodaje do magicznego pocisku ¿ywio³ ognia.
zts1183e	Dodaje do magicznego pocisku ¿ywio³ wody.
zts1184e	Maksymalizuj e si³ê ataku magicznego przy zastosowaniu magicznego pocisku.
zts1185e	Zwiêksz si³ê ataku podczas kumulacji many.
zts1186e	Maksymalizuje efekt magicznej bariery. Zwiêksza czas trwania i absorpcjê obra¿eñ.
zts1187e	Wzmocnienie - poziom 3
zts1188e	Ochrona dystansowa - poziom 1
zts1189e	Ochrona dystansowa - poziom 2
zts1190e	Ochrona dystansowa - poziom 3
zts1191e	Magiczna ochrona - poziom 1
zts1192e	Magiczna ochrona - poziom 2
zts1193e	Magiczna ochrona - poziom 3
zts1194e	Zwiêkszona regeneracja - poziom 2
zts1195e	Silniejsze oœlepienie, aby wróg jeszcze bardziej straci³ wzrok.
zts1196e	Zmniejsza szybkoœæ poruszania siê.
zts1197e	Zmniejsza celnoœæ.
zts1198e	Koncentruje magicznej mocy, która sprawia, ¿e przeciwnik zasypia.
zts1199e	Dodaje do magicznego promienia ¿ywio³ ognia.
zts1200e	Dodaje do magicznego promienia ¿ywio³ wody.
zts1201e	Zwiêksza si³ê ataku.
zts1202e	Maksymalizuje si³ê ataku magicznego promienia.
zts1203e	Efekt animacyjny strefy magmy jest w³¹czony, a jego si³a zmaksymalizowana.
zts1204e	3. silny atak lisa
zts1205e	3. podstawowy atak owieczek
zts1206e	3. podstawowy atak Impa
zts1207e	3. podstawowy atak galaretki
zts1208e	3. podstawowy atak chomika
zts1209e	Ochrona wodna
zts1210e	¯ywio³ wody zapewnia ochronê przyrody.
zts1211e	Ochrona ognista
zts1212e	¯ywio³ ognia zapewnia ochronê przyrody.
zts1213e	Efekt animacyjny os¹du niebios jest w³¹czony, a jego si³a zmaksymalizowana.
zts1214e	Ulepszenie (si³a ataku)
zts1215e	Zwiêksza si³ê ataku d³ugodystansowego strza³u w dziesi¹tkê.
zts1216e	Teleport wiedŸmy mrozu
zts1217e	Atak stró¿a demonów
zts1218e	Atak stró¿a anio³ów
zts1219e	Lodowy atak
zts1220e	Podstawowy atak rozdartego habitu.
zts1221e	Atak zasiêgowy mgielnego olbrzyma
zts1222e	Podstawowy atak diabelskiej damy
zts1223e	Wezwanie królewskiego kreta
zts1224e	Odpoczynek Mysticarona
zts1225e	Atak obrotowy
zts1226e	Atak obrotowy 2
zts1227e	Podstawowy atak mandry
zts1228e	Podstawowy atak przeklêtej bestii
zts1229e	Pusty
zts1230e	Œwiête œwiat³o os³abia wszystkich przeciwników bez ¿ywio³u œwiat³a.
zts1231e	Œwiête œwiat³o wzmacnia twoj¹ grupê.
zts1232e	Mi³oœæ
zts1233e	(Alt + Q)
zts1234e	Hej
zts1235e	(Alt + W)
zts1236e	Szeroki uœmiech
zts1237e	(Alt + E)
zts1238e	Œmiech
zts1239e	(Alt + R)
zts1240e	Nieœmia³y
zts1241e	(Alt + T)
zts1242e	Hehe
zts1243e	(Alt + Y)
zts1244e	Uuuups
zts1245e	(Alt + U)
zts1246e	Ahhh
zts1247e	(Alt + l)
zts1248e	Zak³opotany
zts1249e	(Alt + O)
zts1250e	Zwyciêstwo
zts1251e	(Alt + P)
zts1252e	Co?
zts1253e	(Alt + A)
zts1254e	¯artujesz?
zts1255e	(ALT+S)
zts1256e	Chce
zts1257e	(Alt + D)
zts1258e	Zawstydzony
zts1259e	(Alt + F)
zts1260e	Z³y
zts1261e	(Alt + G)
zts1262e	Zap³acê
zts1263e	(Alt + H)
zts1264e	Mam Ciê
zts1265e	(Alt + J)
zts1266e	Zastanawia siê
zts1267e	(Alt + K)
zts1268e	£zy
zts1269e	(Alt + L)
zts1270e	P³acz
zts1271e	(Alt + Z)
zts1272e	Szlocha
zts1273e	(Alt + X)
zts1274e	Wypalony
zts1275e	(Alt + C)
zts1276e	Nerwowy ch³opak
zts1277e	(Alt + V)
zts1278e	Nerwowa dziewczyna
zts1279e	(Alt + B)
zts1280e	Hmmmm
zts1281e	(Alt + N)
zts1282e	Bleah
zts1283e	(Alt + M)
zts1284e	D³ugi podbródek
zts1285e	(Alt +,)
zts1286e	monster skill
zts1287e	monster skill
zts1288e	monster skill
zts1289e	monster skill
zts1290e	monster skill
zts1291e	monster skill
zts1292e	monster skill
zts1293e	monster skill
zts1294e	monster skill
zts1295e	monster skill
zts1296e	Naucz siê gotowania dla grupy
zts1297e	Zwiêksza si³ê ataku pchniêcia mieczem.
zts1298e	Zwiêksza si³ê ataku twojego i cz³onków twojej grupy, na pewien czas zmniejszaj¹c jednoczeœnie liczbê twoich P¯.
zts1299e	Zwiêksza twoj¹ si³ê obrony.
zts1300e	Zwiêksza celnoœæ i szansê na zadanie ciosu krytycznego dla ciebie i twojej grupy.
zts1301e	Zwiêksza si³ê ataku magicznego pocisku.
zts1302e	Zwiêksza si³ê ataku oraz wzmacnia ¿ywio³ ognia wybuchowego pocisku.
zts1303e	Zastosuj ¿ywio³ ognia - poziom 3
zts1304e	Wzmacnia efekt kl¹twy krwi.
zts1305e	Zastosuj ¿ywio³ mroku - poziom 3
zts1306e	Zwiêksza si³ê ataku o 5 poziomów
zts1307e	Maksymalizuje efekt sokolego oka.
zts1308e	Tworzy jeszcze zimniejsz¹ lodow¹ œcianê i zwiêksza magiczn¹ si³ê ataku.
zts1309e	Dodaje do umiejêtnoœci os¹du niebios ¿ywio³ ognia.
zts1310e	Tworzy szczególnie gor¹c¹ lawê, która zwiêksza si³ê ataku magicznego.
zts1311e	Atak zasiêgowy mrocznego pustelnika
zts1312e	B³yszcz¹ca strza³a, na któr¹ na³o¿ono czar, powoduje u przeciwnika zamroczenie i sprawia, ¿e odnosi on wiêcej obra¿eñ.
zts1313e	Efekt animacyjny b³yszcz¹cej strza³y jest w³¹czony, a jego si³a zmaksymalizowana.
zts1314e	Maksymalizuje si³ê ataku d³ugodystansowego magicznego pocisku.
zts1315e	Emituje aurê œmierci, aby zniechêciæ twoich przeciwników i zmniejszyæ ich szybkoœæ poruszania siê.
zts1316e	Emituje aurê œmierci, aby zniechêciæ twoich przeciwników i zmniejszyæ ich celnoœæ.
zts1317e	Zwiêksza si³ê ataku magicznego ognistej kuli.
zts1318e	Zwiêksza si³ê magicznego ataku lodowej kuli.
zts1319e	Atakujesz swoim mieczem jak huragan.
zts1320e	Umiejêtnoœæ kumuluje ca³¹ twoj¹ energiê, aby krótkim uderzeniem zniszczyæ twoje otoczenie.
zts1321e	Zwiêksza na okreœlony czas szansê na zadanie ciosu krytycznego dla ciebie i twojej grupy.
zts1322e	Na pewien czas zwiêksza szybkoœæ poruszania siê twoj¹ i cz³onków twojej grupy.
zts1323e	Zwiêksza na pewien czas obra¿enia, jeœli uda ci siê zadaæ cios krytyczny.
zts1324e	Zwiêksza twoj¹ si³ê obrony i zmniejsza jednoczeœnie otrzymane obra¿enia o 30%, podczas gdy zu¿ywa siê twoja mana.
zts1325e	Zwiêksza ¿ywio³ ognia i odpornoœæ na ogieñ twoje i twojej grupy.
zts1326e	Zmniejsza prawdopodobieñstwo otrzymania krytycznego ciosu.
zts1327e	Ruch aury wp³ywa na otoczenie.
zts1328e	Atak zasiêgowy myœliwego Mokana.
zts1329e	Przywo³anie Lace
zts1330e	Wybuch - poziom 2
zts1331e	Mróz - poziom 2
zts1332e	Zwiêksza efekt ochrony przyrody.
zts1333e	Zastosuj ¿ywio³ wody - poziom 3
zts1334e	Bleah
zts1335e	monster skill
zts1336e	Lista rajdu
zts1337e	monster skill
zts1338e	monster skill
zts1339e	monster skill
zts1340e	monster skill
zts1341e	monster skill
zts1342e	monster skill
zts1343e	monster skill
zts1344e	monster skill
zts1345e	monster skill
zts1346e	monster skill
zts1347e	monster skill
zts1348e	monster skill
zts1349e	monster skill
zts1350e	monster skill
zts1351e	monster skill
zts1352e	monster skill
zts1353e	monster skill
zts1354e	monster skill
zts1355e	monster skill
zts1356e	monster skill
zts1357e	monster skill
zts1358e	monster skill
zts1359e	monster skill
zts1360e	monster skill
zts1361e	monster skill
zts1362e	monster skill
zts1363e	monster skill
zts1364e	monster skill
zts1365e	monster skill
zts1366e	monster skill
zts1367e	monster skill
zts1368e	monster skill
zts1369e	monster skill
zts1370e	monster skill
zts1371e	monster skill
zts1372e	monster skill
zts1373e	monster skill
zts1374e	monster skill
zts1375e	monster skill
zts1376e	monster skill
zts1377e	monster skill
zts1378e	monster skill
zts1379e	monster skill
zts1380e	monster skill
zts1381e	monster skill
zts1382e	monster skill
zts1383e	monster skill
zts1384e	monster skill
zts1385e	monster skill
zts1386e	monster skill
zts1387e	monster skill
zts1388e	monster skill
zts1389e	monster skill
zts1390e	monster skill
zts1391e	monster skill
zts1392e	monster skill
zts1393e	monster skill
zts1394e	monster skill
zts1395e	monster skill
zts1396e	monster skill
zts1397e	monster skill
zts1398e	monster skill
zts1399e	monster skill
zts1400e	monster skill
zts1401e	monster skill
zts1402e	monster skill
zts1403e	monster skill
zts1404e	monster skill
zts1405e	monster skill
zts1406e	monster skill
zts1407e	monster skill
zts1408e	monster skill
zts1409e	monster skill
zts1410e	monster skill
zts1411e	monster skill
zts1412e	monster skill
zts1413e	monster skill
zts1414e	monster skill
zts1415e	monster skill
zts1416e	monster skill
zts1417e	monster skill
zts1418e	monster skill
zts1419e	monster skill
zts1420e	monster skill
zts1421e	monster skill
zts1422e	monster skill
zts1423e	monster skill
zts1424e	monster skill
zts1425e	monster skill
zts1426e	monster skill
zts1427e	monster skill
zts1428e	monster skill
zts1429e	monster skill
zts1430e	monster skill
zts1431e	monster skill
zts1432e	monster skill
zts1433e	monster skill
zts1434e	monster skill
zts1435e	monster skill
zts1436e	monster skill
zts1437e	monster skill
zts1438e	monster skill
zts1439e	monster skill
zts1440e	monster skill
zts1441e	monster skill
zts1442e	monster skill
zts1443e	monster skill
zts1444e	monster skill
zts1445e	monster skill
zts1446e	monster skill
zts1447e	monster skill
zts1448e	monster skill
zts1449e	monster skill
zts1450e	monster skill
zts1451e	monster skill
zts1452e	monster skill
zts1453e	monster skill
zts1454e	monster skill
zts1455e	monster skill
zts1456e	monster skill
zts1457e	monster skill
zts1458e	monster skill
zts1459e	monster skill
zts1460e	monster skill
zts1461e	monster skill
zts1462e	monster skill
zts1463e	monster skill
zts1464e	monster skill
zts1465e	monster skill
zts1466e	monster skill
zts1467e	monster skill
zts1468e	monster skill
zts1469e	monster skill
zts1470e	monster skill
zts1471e	monster skill
zts1472e	monster skill
zts1473e	monster skill
zts1474e	monster skill
zts1475e	monster skill
zts1476e	monster skill
zts1477e	monster skill
zts1478e	monster skill
zts1479e	monster skill
zts1480e	monster skill
zts1481e	monster skill
zts1482e	monster skill
zts1483e	monster skill
zts1484e	monster skill
zts1485e	monster skill
zts1486e	monster skill
zts1487e	monster skill
zts1488e	monster skill
zts1489e	monster skill
zts1490e	monster skill
zts1491e	monster skill
zts1492e	monster skill
zts1493e	monster skill
zts1494e	monster skill
zts1495e	monster skill
zts1496e	monster skill
zts1497e	monster skill
zts1498e	monster skill
zts1499e	monster skill
zts1500e	monster skill
zts1501e	monster skill
zts1502e	monster skill
zts1503e	monster skill
zts1504e	monster skill
zts1505e	monster skill
zts1506e	monster skill
zts1507e	monster skill
zts1508e	monster skill
zts1509e	monster skill
zts1510e	monster skill
zts1511e	monster skill
zts1512e	monster skill
zts1513e	monster skill
zts1514e	monster skill
zts1515e	monster skill
zts1516e	monster skill
zts1517e	monster skill
zts1518e	monster skill
zts1519e	monster skill
zts1520e	monster skill
zts1521e	monster skill
zts1522e	monster skill
zts1523e	monster skill
zts1524e	monster skill
zts1525e	monster skill
zts1526e	monster skill
zts1527e	monster skill
zts1528e	monster skill
zts1529e	monster skill
zts1530e	monster skill
zts1531e	monster skill
zts1532e	monster skill
zts1533e	monster skill
zts1534e	monster skill
zts1535e	monster skill
zts1536e	monster skill
zts1537e	monster skill
zts1538e	monster skill
zts1539e	monster skill
zts1540e	monster skill
zts1541e	monster skill
zts1542e	monster skill
zts1543e	monster skill
zts1544e	monster skill
zts1545e	monster skill
zts1546e	monster skill
zts1547e	monster skill
zts1548e	monster skill
zts1549e	monster skill
zts1550e	monster skill
zts1551e	monster skill
zts1552e	monster skill
zts1553e	monster skill
zts1554e	monster skill
zts1555e	monster skill
zts1556e	monster skill
zts1557e	monster skill
zts1558e	monster skill
zts1559e	monster skill
zts1560e	monster skill
zts1561e	monster skill
zts1562e	monster skill
zts1563e	monster skill
zts1564e	monster skill
zts1565e	monster skill
zts1566e	monster skill
zts1567e	monster skill
zts1568e	monster skill
zts1569e	monster skill
zts1570e	monster skill
zts1571e	monster skill
zts1572e	monster skill
zts1573e	monster skill
zts1574e	Poziom ulepszeñ 2
zts1575e	Specjalizacja PvP - poziom 2
zts1576e	Zwiêksza si³ê ataku d³ugodystansowego i obra¿enia krytyczne deszczu strza³.
zts1577e	Zwiêksza zasiêg.
zts1578e	Zwiêkszenie si³y ataku - poziom 3
zts1579e	Zwiêksza zasiêg os¹du niebios.
zts1580e	monster skill
zts1581e	monster skill
zts1582e	monster skill
zts1583e	monster skill
zts1584e	monster skill
zts1585e	monster skill
zts1586e	monster skill
zts1587e	monster skill
zts1588e	Bomba dyniowa
zts1589e	Skok Jacka O'Lanterna
zts1590e	Podskok Jacka O'Lanterna
zts1591e	Przyzwanie Jacka O'Lanterna
zts1592e	2. przyzwanie Jacka O'Lanterna
zts1610e	Pozwala za³o¿yæ gêsty mglisty welon, zmniejszaj¹cy celnoœæ i koncentracjê wroga.
zts1611e	Skorzystaj z mo¿liwoœci ukrycia, gdy bêdziesz szed³ naprzód. Gdy zostaniesz zaatakowany, znów staniesz siê widzialny.
zts1615e	Œwiête œwiat³o zmniejsza umiejêtnoœci wszystkich przeciwników.
zts1620e	Otrzymywane obra¿enia zostan¹ zmniejszone o 30%, przy czym zu¿ywana jest twoja mana.
zts1622e	NosBazar
zts1623e	Skok rozgniewanego króla kurczaków
zts1624e	Mocny skok rozgniewanego króla kurczaków
zts1635e	Wystrzel z muszkietu
zts1636e	Atak szturmowy
zts1637e	Skryj siê w beczce rumu
zts1638e	Schowaj siê w beczce rumu
zts1639e	Ogieñ armatni
zts1640e	Statek strzela do wroga, aby ci pomóc.
zts1641e	Taniec piratów
zts1643e	Pij rum, Yo-ho!
zts1645e	B³ogos³awieñstwo Kertosa
zts1646e	Fontanna lawy
zts1647e	Burza gniewu
zts1648e	Okrzyk
zts1649e	Atak szturmowy
zts1650e	Furia
zts1651e	Znieœ jajo
zts1652e	Utkaj pajêczynê
zts1653e	Erupcja lawy
zts1654e	Silna erupcja lawy
zts1655e	Przywo³aj (Feniks)
zts1656e	Przywo³aj (jajo)
zts1657e	Wyprzyj
zts1658e	Teleportacja do przodu
zts1659e	Gigantyczna erupcja lawy (Boss)
zts1660e	Tarcza ¿aru
zts1673e	Atak podstawowy
zts1674e	Atak niesie siê wzd³u¿ i wszerz.
zts1675e	Podwójny cios
zts1676e	Obrona za pomoc¹ tarczy i kontratak mieczem.
zts1677e	B³yskawiczne pchniêcie
zts1678e	Szybkie uk³ucie
zts1679e	Atak tarcz¹
zts1680e	Jeœli zaatakujesz przeciwnika tarcz¹, otrzyma on debuff knockdown z prawdopodobieñstwem 90%.
zts1681e	Róg myœliwski
zts1682e	Szar¿a na wrogi obóz z silnym atakiem
zts1683e	Szydzenie
zts1684e	Jeœli wyszydzisz przeciwnika, który jest w stanie knockdown, popadnie on stan skrajnego rozdra¿nienia. Tym samym cel otrzyma debuff.
zts1685e	Magiczne odbicie
zts1686e	Odbija wszystkie ataki i przekierowuje si³ê na tarczê. W razie pomyœlnej obrony za pomoc¹ tarczy przeciwnik otrzyma wszystkie obra¿enia na raz.
zts1687e	¯elazny zwój
zts1688e	Rzuca przeciwnikami na boki za pomoc¹ obracaj¹cej siê tarczy. Istnieje pewne prawdopodobieñstwo doznania knockoutu.
zts1689e	Wzburzenie krwi
zts1690e	Przygotowujesz siê do walki, krzycz¹c i wzbudzaj¹c w sobie ¿¹dzê krwi.
zts1691e	Wypowiedzenie wojny
zts1692e	Ostateczny atak na wroga w formie uderzenia piorunem.
zts1693e	Egzekucja
zts1694e	Efektywny atak na wrogów, którzy znajduj¹ siê na linii strza³u. Podczas pomyœlnej egzekucji przeciwnika, w³¹cza siê efekt wiwatów t³umu.
zts1695e	Strza³ armatni
zts1696e	Atak podstawowy artylerii przez ostrza³ z du¿ej odleg³oœci. Jeœli wybuch zostanie wzmocniony, szybko zwiêkszy siê si³a ataku.
zts1697e	Potrójne bombardowanie
zts1698e	Co pewien czas wystrzeliwuje kule armatnie z wysokiego, œredniego i niskiego k¹ta tak, ¿e wszystkie kule trafiaj¹ cel w tym samym czasie.
zts1699e	Obrót dzia³a
zts1700e	Dzia³o obraca siê w kierunku przeciwnika.
zts1701e	Armatni cios
zts1702e	Potê¿ny strza³ armatni w przeciwnika
zts1703e	Pocisk samonaprowadzaj¹cy
zts1704e	Mo¿na go wystrzeliwaæ z du¿ej odleg³oœci. Jeœli eksplozja zostanie wzmocniona, si³a ataku wzroœnie natychmiast.
zts1705e	Granat rêczny
zts1706e	Wyrzut granatu rêcznego atakuje wszystkich przeciwników w zasiêgu.
zts1707e	Piekielny ogieñ
zts1708e	Wystrzeliwuje rakietê noœn¹, która wybucha nad g³owami przeciwników. Obszar docelowy zostaje zatopiony w morzu p³omieni. Jeœli eksplozja zostanie wzmocniona, si³a ataku wzroœnie natychmiast.
zts1709e	Rakieta œwietlna
zts1710e	Rakieta œwietlna zostaje umieszczona nad przeciwnikiem i zrzuca bomby zapalaj¹ce, które zamieniaj¹ obszar docelowy w popió³. Jeœli eksplozja zostanie wzmocniona, si³a ataku wzroœnie natychmiast.
zts1711e	JeŸdziecka rakieta
zts1712e	JeŸdziecka rakieta leci nad ziemi¹, razi wszystkich przeciwników w pobli¿u, po czym teleportuje siê z powrotem do miejsca startu. Jeœli eksplozja zostanie wzmocniona, si³a ataku wzroœnie natychmiast.
zts1713e	Mistrz broni
zts1714e	Maksymalizuje wydajnoœæ broni.
zts1715e	Czas na demolkê!
zts1716e	Wystrzeliwujesz pociski na œlepo w powietrze, co wprawia twojego przeciwnika w paniczny strach. Jeœli eksplozja zostanie wzmocniona, si³a ataku wzroœnie natychmiast.
zts1717e	Kula magmy
zts1718e	Wystrzeliwuje ¿arz¹c¹ siê kulê magmy.
zts1719e	Erupcja wulkanu
zts1720e	Potê¿ny huk wulkanu tworzy pêkniêcie w ziemi. Jeœli mag jest pod wp³ywem mocy wulkanu, wówczas ta umiejêtnoœæ bêdzie bardzo skuteczna.
zts1721e	Gaz wulkaniczny
zts1722e	Przeciwnik otrzymuje obra¿enia od bardzo truj¹cej chmurê gazu wulkanicznego. Jeœli mag jest pod wp³ywem mocy wulkanu, wówczas ta umiejêtnoœæ bêdzie bardzo skuteczna.
zts1723e	Pancerz magmy
zts1724e	Zbroja zostaje pokryta pancerzem magmy, co daje jej ekstremalnie wysok¹ si³ê obrony.
zts1725e	Fala lawy
zts1726e	Fala lawy uderza w przeciwnika i sprawia, ¿e ten szybko tê¿eje.
zts1727e	Moc wulkanu
zts1728e	Moc wulkanu podwy¿sza prawdopodobieñstwo na powalenie przeciwnika.
zts1729e	Trzêsienie ziemi
zts1730e	W kombinacji z hukiem wulkanu wywo³uje wokó³ ciebie trzêsienie ziemi. Jeœli mag jest pod wp³ywem mocy wulkanu, wówczas ta umiejêtnoœæ bêdzie bardzo skuteczna.
zts1731e	Huk wulkanu
zts1732e	Ryk wulkanu teleportuje ciê nad g³ow¹ przeciwnika, aby zadaæ celny cios. Jeœli mag jest pod wp³ywem mocy wulkanu, wówczas ta umiejêtnoœæ bêdzie bardzo skuteczna.
zts1733e	Bagno lawy
zts1734e	Wytwarza bagno lawy, które zmniejsza si³ê ataku przeciwnika i zmniejsza jego szybkoœæ poruszania siê.
zts1735e	Miecz magmy
zts1736e	Przywo³uje miecz z magmy, który atakuje cel.
zts1737e	Burza popio³u
zts1738e	Burza popio³u to potê¿ny atak z siln¹ wichur¹ i b³yskawicami. Jeœli mag jest pod wp³ywem mocy wulkanu, wówczas ta umiejêtnoœæ bêdzie bardzo skuteczna.
zts1739e	Oddech Smoka
zts1748e	Szar¿a na nieprzyjacielski obóz i potê¿ny atak na cel i wszystkich wrogów w zasiêgu.
zts1749e	Podstawowy atak bombardowania na du¿y dystans.
zts1750e	Brutalny atak toporem
zts1751e	Superprecyzyjny strza³ Wikinga
zts1752e	Stalowy Wiking
zts1753e	Brudna strza³a
zts1754e	Nieœmiertelnoœæ
zts1755e	Niegrzeczny ch³opiec
zts1756e	Frustracja Freyi
zts1757e	ZapowiedŸ Freyi
zts1758e	Ogieñ Freyi
zts1762e	Podstawowy atak w³óczni¹
zts1763e	Podstawowy atak w³óczni¹ zadaje przeciwnikowi silne ciosy z prawej i lewej strony.
zts1764e	Podzielone morze
zts1765e	Umiejêtnoœæ dzieli morze i przeciwnika na dwie po³owy.
zts1766e	Silne uk³ucie
zts1767e	We w³óczni zbiera siê skumulowana si³a, która zadaje przeciwnikowi silny cios.
zts1768e	Potê¿ny huragan
zts1769e	Huragan dos³ownie zmiata przeciwnika z powierzchni ziemi niczym piórko.
zts1770e	Siedem uk³uæ
zts1771e	Przeciwnik zostaje siedem razy gwa³townie zaatakowany.
zts1772e	Cyklon
zts1773e	Cyklon rzuca przeciwnika na kolana.
zts1774e	Poœwiêcenie
zts1775e	Magiczny kr¹g poœwiêcenia otacza wybranego gracza. Ty przejmujesz jego obra¿enia. Po opuszczeniu krêgu przez tego gracza efekt znika.
zts1776e	Medytacja
zts1777e	Poœwiêcasz siê medytacji i siadasz na ziemi. Znika negatywny efekt. D³u¿sza medytacja nape³nia twoj¹ duszê now¹ si³¹. Jeœli jednak medytacja zostanie zak³ócona, mo¿e to wywo³aæ u ciebie syndrom Kundalini. Oznacza to ogromne ograniczenie twojej fizycznej i duchowej energii.
zts1778e	Spiralna w³ócznia
zts1779e	Za pomoc¹ spiralnej w³óczni mo¿esz trafiæ nawet w bardzo odleg³y cel.
zts1780e	S³owa Buddy
zts1781e	Za pomoc¹ talizmanu mo¿na przywo³aæ s³owa Buddy. Jeœli ty i twoi cz³onkowie grupy us³yszycie te s³owa po raz pierwszy, z prawdopodobieñstwem 25% na 5 sekund znikn¹ wszystkie wasze negatywne efekty. Przy d³u¿szym stosowaniu zu¿ywaj¹ siê PM.
zts1782e	Nowy pocz¹tek
zts1783e	Nowy pocz¹tek oznacza koniec chaosu na œwiecie.
zts1784e	Smoczy harpun
zts1785e	Umiejêtnoœæ tê mo¿na znakomicie po³¹czyæ z "siedmioma uk³uciami".
zts1786e	Smocza w³ócznia
zts1787e	Smocza w³ócznia wysy³a przeciwnika w zaœwiaty.
zts1788e	Trójz¹b grzmotu
zts1789e	Trójz¹b grzmotu to umiejêtnoœæ nale¿¹ca do podstawowego ataku. Wystrzeliwuje b³yskawice w formie trójzêbu.
zts1790e	Tajfun
