zts1e	Objeto nuevo
zts17212e	Sombrero de paja (7 días)
zts17213e	Sombrero de paja (30 días)
zts17214e	Sombrero de paja (permanente)
zts17215e	Este bonito Sombrero de paja te protege del calor del sol.[n][Efecto defensivo][n]El sombrero aumenta en 2 la resistencia contra el atributo de agua.[n]
zts17216e	Mini Kangpen
zts17217e	Cuando te acompaña esta mascota, te genera un Sello del pirata por hora.[n][Utilizar][n]Haz doble clic cuando estés en tu Mini-mundo.[n][Atención][n]La creación del Sello del pirata solo es posible durante el plazo de evento.[n]
zts17218e	Liona
zts17219e	Puedes usarlo para el Raid del pirata en el Barco pirata de Port Alveus.[n]Nivel necesario: 20-99[n]Cantidad mínima de jugadores: 10[n]Todos los participantes necesitan el Sello del pirata para registrarse en el raid. Se consume al empezar el raid.[n][Instrucciones][n]Tienes que ser el líder del equipo del raid.[n]El líder del raid crea un equipo con otros jugadores haciendo clic en el botón "Equipo".[n]El raid comienza para todos cuando el líder atraviesa el portal.[n][Atención][n]El objeto desaparece al final del evento.[n]
zts17220e	El Símbolo del marinero representa el honor de los marineros.[n]Desaparece al final del evento.[n]
zts17221e	Mapa del tesoro de O'Peng (evento)
zts17222e	Muestra el camino al lugar en el que está escondido el tesoro del Capitán Pete O' Peng.[n][Atención][n]El objeto desaparece al final del evento.[n]
zts17223e	Baúl de la fortuna de las hadas divinas
zts17224e	Este Baúl de la fortuna contiene las Hadas divinas y otros objetos. [n][Objetos disponibles:][n]1 Elkaim (fuego)[n]1 Ladine (agua)[n]1 Rumial (luz)[n]1 Varik (tinieblas)[n]1 Cesta NosMate (30 días)[n]40 Alas de la Amistad[n]1 Poción especial mediana[n]1 Amuleto del refuerzo[n]16 Bendiciones del ángel guardián[n]1 Juego de cartas de tarot[n]10 Fortalecedores de hada[n]14 Vasos sellados[n]
zts17225e	Baúl con Pegaso
zts17226e	El Baúl con Pegaso tiene las siguientes cosas para ti:[n][Objetos disponibles:][n]1 Pegaso[n]1 Mochila del compañero (30 días)[n]1 Mochila de aventurero (30 días)[n]1 Cesta NosMate (30 días)[n]1 Almacén gigantesco (30 días)[n]99 Pociones de recuperación medianas[n]10 Alas de la amistad[n]99 Semillas del poder[n][n]
zts17227e	Este amuleto está imbuido con el poder de los Héroes del fuego.[n]Cuando lo uses, tu resistencia al Terror de dragón aumentará.[n]Nivel necesario: 75[n][Efecto][n]Recibes un 40% de resistencia al siguiente efecto: [Terror de dragón][n]
zts17228e	Puedes entrar al raid de Lord Draco a través del Camino a la Caverna del Dragón que está cerca de la entrada al volcán.[n]Nivel recomendado: 75-99[n]Todos los jugadores con un nivel superior a 75 pueden usar el sello del raid.[n][Instrucciones][n]El jugador se convierte en jefe del equipo.[n]Como líder podrás invitar a otros jugadores haciendo clic sobre ellos.[n]Ve a la entrada del raid. Cuando el líder acceda, los demás jugadores le seguirán automáticamente.[n][Atención][n]Los personajes que tengan un nivel más alto que el recomendado pueden participar en el raid, pero recibirán una penalización.[n](No obtendrán corazones ni Cajas del raid aunque ganen).
zts17232e	Baúl del tesoro azaroso de Liona
zts17233e	En el Baúl del Tesoro azaroso de Liona encontrarás a la nueva acompañante, Liona, y otros objetos.[n]Recibes uno de los siguientes objetos:[n]1 Perla con Liona[n]1 Cesta NosMate (30 días)[n]40 Alas de la amistad[n]1 Poción especial mediana[n]1 Amuleto del refuerzo[n]16 Bendiciones del ángel guardián[n]1 Juego de cartas de tarot[n]10 Fortalecedores de hada[n]14 Vasos sellados[n][n]
zts17256e	Una parte de las Tarjetas piratas del especialista[n]Si le llevas una parte de las Tarjetas piratas del especialista y 1000 unidades de oro al capitán Jack Panon, puedes jugar por Tarjetas piratas del especialista.[Atención][n]El ítem desaparece cuando termina el evento.[n]
zts17259e	Libera al compañero elegido.[n]No se puede deshacer.[n][n]
zts17261e	Sombro, el cachorro infernal
zts17262e	Baúl de la fortuna infernal de Sombro
zts17263e	En este baúl se esconden Sombro, el cachorro infernal, y otros objetos.[n]Recibes uno de los siguientes objetos:[n][n]1 Perla con Sombro, el cachorro infernal[n]1 Cesta NosMate (30 días)[n]40 Alas de la amistad[n]1 Poción especial mediana[n]1 Amuleto del refuerzo[n]16 Bendiciones del ángel guardián[n]1 Juego de cartas de tarot[n]10 Fortalecedores de hada[n]14 Vasos sellados[n]
zts17280e	Perla de hada
zts17281e	En la Perla de hada puedes guardar un Hada.[n]Puedes comerciar con la Perla de hada.[n][Instrucciones][n]Si haces doble clic sobre ella, se abrirá la ventana correspondiente.[n]Arrastra el hada al espacio,[n]haz clic en "Conservar" y se guardará en la perla.[n]Para volver a sacarla haz doble clic sobre la perla.
zts17307e	Libro de conjuros de NosMate
zts17308e	Este Libro de conjuros invoca un NosMate de tu Mini-mundo.[n][Instrucciones][n]Cuando seleccionas un compañero o una mascota y luego usas este objeto, aparece un símbolo de NosMate nuevo junto a la información de personaje.[n][Atención][n]No puedes invocar un NosMate que ya te esté acompañando.[n]
zts17330e	Durante el evento de Halloween puedes conseguir la bolsa de dulces.[n][Atención][n]El objeto desaparece al final del evento.[n]
zts17331e	Fibi Friggus
zts17332e	Sombrero de calabaza brillante (1 día)
zts17333e	Un sombrero de calabaza brillante.[n]¡Con esto estarás a la última en el evento de Halloween![n]El tiempo de utilización comienza en cuanto te lo pones.[n]Efecto defensivo[n]Tienes un 3 % de probabilidad de causar Oscuridad de DOOM al enemigo.[n]Aumenta la resistencia a las tinieblas en 3.[n]
zts17334e	Sombrero de calabaza brillante (7 días)
zts17335e	Sombrero de calabaza brillante (30 días)
zts17336e	Sombrero de calabaza brillante (permanente)
zts17337e	Un sombrero de calabaza brillante.[n]¡Con esto estarás a la última en el evento de Halloween![n]Efecto defensivo[n]Tienes un 3 % de probabilidad de causar Oscuridad de DOOM al enemigo.[n]Aumenta la resistencia a las tinieblas en 3.[n]
zts17338e	Carta de tarot terrorífica [Fantasma]
zts17339e	Con esta Carta de tarot terrorífica del fantasma te mueves tan rápido como un espíritu.[n]La velocidad de movimiento aumenta en 1 y la capacidad de esquivar ataques, en 100.[n]Nivel necesario: 1[n]Duración de uso: 3 horas.[n][Atención][n]El objeto desaparece al final del evento.[n]
zts17340e	Carta de tarot terrorífica [Drácula]
zts17341e	Con la Carta de Tarot terrorífica de Drácula te conviertes en un chupasangre.[n]Tiene un 3% de probabilidad de generar el efecto [Drácula Chupasangre].[n]Nivel necesario: 1[n]Duración de uso: 3 horas.[n][Atención][n]El objeto desaparece al final del evento.[n]
zts17342e	Carta de tarot terrorífica [Espantapájaros]
zts17343e	Con la terrorífica carta de tarot del espantapájaros, invocarás tus poderes oscuros.[n]Tu elemento tinieblas se reforzará en 200.[n]Aumenta la resistencia a la luz en 5.[n]Nivel necesario: 1[n]Tiempo de utilización: 3 horas[n]Atención[n]El objeto desaparece al final del evento.[n]
zts17344e	Baúl de la fortuna helado de Fibi
zts17345e	En el Baúl de la fortuna helado de Fibi encontrarás una Perla con Fibi Friggus y otros objetos.[n]Puedes recibir una de las siguientes cosas:[n]1 Perla con Fibi Friggus[n]1 Cesta NosMate (30 días)[n]40 Alas de la amistad[n]1 Poción especial mediana[n]1 Amuleto del refuerzo[n]16 Bendiciones del ángel guardián[n]1 Juego de cartas de tarot[n]10 Fortalecedores de hada[n]14 Vasos sellados[n]
zts17356e	Baúl de la fortuna de patinete mágico
zts17357e	Este Baúl de la fortuna contiene el Patinete mágico y otros objetos.[n]Recibes uno de los siguientes objetos:[n]1 Baúl del patinete mágico[n]1 Cesta NosMate (30 días)[n]40 Alas de la amistad[n]1 Poción especial mediana[n]1 Amuleto del refuerzo[n]16 Bendiciones del ángel guardián[n]1 Juego de cartas de tarot[n]10 Fortalecedores de hada[n]14 Vasos sellados[n][n]
zts17358e	Baúl de la fortuna de alfombra mágica
zts17359e	Este Baúl de la fortuna contiene la Alfombra mágica y otros objetos.[n]Recibes uno de los siguientes objetos:[n]1 Baúl de la alfombra mágica[n]1 Cesta NosMate (30 días)[n]40 Alas de la amistad[n]1 Poción especial mediana[n]1 Amuleto del refuerzo[n]16 Bendiciones del ángel guardián[n]1 Juego de cartas de tarot[n]10 Fortalecedores de hada[n]14 Vasos sellados[n][n]
zts17365e	Disfraz de zorro Oto (30 días)
zts17366e	Un elegante Disfraz de zorro Oto.[n]El plazo de uso empieza en cuanto te lo pones.[n][n]
zts17367e	Disfraz de zorro Oto (permanente)
zts17368e	Un elegante Disfraz de zorro Oto.[n][n]
zts17369e	Sombrero de zorro Oto (30 días)
zts17370e	Un Sombrero de zorro Oto.[n]El plazo de uso empieza en cuanto te lo pones.[n][n]
zts17371e	Sombrero de zorro Oto (permanente)
zts17372e	Un Sombrero de zorro Oto.[n][n]
zts17373e	Baúl de la fortuna con disfraz de ardilla de peluche
zts17374e	En este Baúl de la fortuna se esconden el Vale de la ardilla de peluche, los sets de disfraces de ardillas de colores (permanentes) y otros objetos.[n]Un set de disfraces contiene el disfraz de la ardilla (permanente) y el sombrero a juego (permanente).[n]Podrás recibir una de las siguientes cosas de forma aleatoria:[n]1 Vale de la ardilla de peluche[n]1 Set de disfraces de la ardilla negra[n]1 Set de disfraces de la ardilla azul[n]1 Set de disfraces de la ardilla verde[n]1 Set de disfraces de la ardilla roja[n]1 Set de disfraces de la ardilla rosa[n]1 Set de disfraces de la ardilla turquesa[n]1 Set de disfraces de la ardilla amarilla[n]1 Set de disfraces de la ardilla marrón[n]1 Cesta NosMate (30 días)[n]40 Alas de la Amistad[n]1 Poción Especial Mediana[n]1 Amuleto del Refuerzo[n]16 Bendiciones del Ángel Guardián[n]1 Juego de Cartas de Tarot[n]10 Fortalecedores de Hada[n]14 Vasos Sellados[n][n]Por favor, recuerda tener el vale en tu inventario para el 9/1/2013.[n][Atención][n]: El peluche solament
zts17375e	Baúl de la fortuna de ardilla de peluche
zts17376e	En este Baúl de la fortuna se esconden el Vale de la ardilla de peluche, las perlas que contienen ardillas de todos los colores y otros objetos.[n]Podrás recibir una de las siguientes cosas de forma aleatoria:[n]1 Vale de la ardilla de peluche[n]1 Perla de la ardilla negra[n]1 Perla de la ardilla azul[n]1 Perla de la ardilla verde[n]1 Perla de la ardilla roja[n]1 Perla de la ardilla rosa[n]1 Perla de la ardilla turquesa[n]1 Perla de la ardilla amarilla[n]1 Perla de la ardilla marrón[n]1 Cesta NosMate (30 días)[n]40 Alas de la amistad[n]1 Poción especial mediana[n]1 Amuleto del refuerzo[n]16 Bendiciones del ángel guardián[n]1 Juego de cartas de tarot[n]10 Fortalecedores de hada[n]20 Aceleradores[n]Por favor, recuerda tener el vale en tu inventario para el 9/1/2013.[n][Atención][n]: El peluche solamente se puede enviar dentro de la Unión Europea.[n]Puedes encontrar más información en nuestra página web.[n]
zts17377e	Vale de la ardilla de peluche
zts17378e	Con este vale pronto serás el orgulloso poseedor de una suave Ardilla de peluche.[n][Atención][n]El peluche solamente se puede enviar dentro de la Unión Europea.[n]
zts17379e	Set de disfraz del zorro Oto
zts17381e	Baúl de la fortuna con disfraz de zorro Oto
zts17382e	Este Baúl de la fortuna contiene el elegante Disfraz de zorro Oto como set y otros objetos.[n]Recibes uno de los siguientes objetos:[n]1 Disfraz de zorro Oto como set[n]1 Cesta NosMate (30 días)[n]40 Alas de la amistad[n]1 Poción especial mediana[n]1 Amuleto del refuerzo[n]16 Bendiciones del ángel guardián[n]1 Juego de cartas de tarot[n]10 Fortalecedores de hada[n]14 Vasos sellados [n]
zts17383e	Baúl de la fortuna con set de disfraz de la ardilla marinera
zts17384e	Este Baúl de la fortuna contiene el fantástico Set de disfraces de la ardilla marinera y otros objetos.[n]Recibes uno de los siguientes objetos:[n]1 Set de disfraces de la ardilla marinera[n]1 Cesta NosMate (30 días)[n]40 Alas de la amistad[n]1 Poción especial mediana[n]1 Amuleto del refuerzo[n]16 Bendiciones del ángel guardián[n]1 Juego de cartas de tarot[n]10 Fortalecedores de hada[n]14 Vasos sellados[n]
zts17387e	Con este fantástico sombrero parecerás una Ardilla marinera.[n]Efecto[n]Aumenta la resistencia al agua en 2.[n]Tienes un 2 % de probabilidad de causar Congelación al enemigo.[n]
zts17388e	Con este fantástico atuendo parecerás una Ardilla marinera.[n]Efecto[n]Aumenta la resistencia al agua en 2.[n]Reduce los daños de cualquier ataque en un 80 % con una probabilidad del 5 %.[n]
zts17389e	Este set de disfraz está formado por:[n]1 Sombrero de zorro Oto (permanente)[n]1 Disfraz de zorro Oto (permanente)[n]
zts17403e	Baúl de la fortuna del tigre blanco mágico
zts17404e	Este Baúl de la fortuna contiene el Tigre blanco mágico y otros objetos.[n]Al abrir el baúl podrás conseguir uno de los siguientes objetos: [n]1 Cofre del tigre blanco mágico[n]1 Cesta NosMate (30 días)[n]40 Alas de la amistad[n]1 Poción especial mediana[n]1 Amuleto del refuerzo[n]16 Bendiciones del ángel guardián[n]1 Juego de cartas de tarot[n]10 Fortalecedores de hada[n]14 Vasos sellados[n]
zts17405e	Baúl de la fortuna con disfraz de ardilla santa
zts17406e	Este Baúl de la fortuna contiene el elegante Set de disfraz de la ardilla santa y otros objetos.[n]Recibes uno de los siguientes objetos:[n]1 Disfraz de ardilla santa (permanente)[n]1 Cesta NosMate (30 días)[n]40 Alas de la amistad[n]1 Poción especial mediana[n]1 Amuleto del refuerzo[n]16 Bendiciones del ángel guardián[n]1 Juego de cartas de tarot[n]10 Fortalecedores de hada[n]14 Vasos sellados[n][n]
zts17407e	Con este sello crearás el raid del Muñeco de nieve.[n]Toma el camino nevado que se encuentra al oeste de NosVille.[n]Nivel recomendado: 20-99[n][Instrucciones][n]El jugador se convierte en jefe del equipo.[n]Como líder podrás invitar a otros jugadores haciendo clic sobre ellos.[n]Ve a la entrada del raid. Cuando el líder acceda, los demás jugadores le seguirán automáticamente.[n][Atención][n]El objeto desaparece al final del evento.
zts17408e	Corneta
zts17409e	Objeto de misión[n]La Corneta emite sonidos que suenan[n]como una melodía de los antiguos vikingos.[n]
zts17410e	Rudi Rabauke
zts17411e	Rudi Rabauke joven
zts17412e	Si te acompaña durante al menos una hora, conseguirás una caja de regalos navideños.[n][Atención][n]Durante el evento de invierno solamente podrás conseguir una al día.[n]
zts17413e	Tarjeta del especialista para compañero de Aegir
zts17414e	Tarjeta del especialista para compañero del elemento agua.[n]La pueden llevar compañeros con ataques cuerpo a cuerpo.[n]¡No es que tenga michelines, es que me he abrigado mucho![n]
zts17415e	Portatarjetas del especialista para compañero
zts17416e	Sirve para guardar una Tarjeta del especialista para compañero de manera que se pueda intercambiar con otros jugadores.[n][Instrucciones][n]Equipa a tu compañero con la Tarjeta del especialista que quieras guardar en el Portatarjetas.[n]Haz doble clic sobre el Portatarjetas para guardar la Tarjeta del especialista.[n]Para extraer una tarjeta del Especialista tienes que hacer doble clic sobre el Portatarjetas.[n][Atención][n]No puedes utilizar una Tarjeta del especialista en el que tu compañero no se pueda transformar.[n]El Portatarjetas desaparecerá en el momento en que extraigas la tarjeta.[n]
zts17417e	Tarjeta del especialista para compañero de Barni
zts17418e	Tarjeta del especialista para compañero del elemento agua.[n]La pueden llevar compañeros con ataques a distancia.[n]Me gusta jugar. Lo que más me gusta es disparar flechas a… eh... ¡manzanas![n]
zts17419e	Tarjeta del especialista para compañero de Freya
zts17420e	Tarjeta del especialista para compañero del elemento agua.[n]Sakura puede llevarla.[n]¡Ven con mamá![n]
zts17421e	Caja de regalo de Navidad
zts17422e	Time-space: La venganza de los vikingos
zts17437e	Tique de habilidad de compañero (una)
zts17438e	Reinicia la habilidad de tu compañero que quieras.[n][Instrucciones][n]Haz doble clic sobre este objeto y utiliza la habilidad que quieras restablecer.[n][Atención][n]Si el nivel de la habilidad es S, no se podrá utilizar.[n]
zts17439e	Tique de habilidad de compañero (todas)
zts17440e	Restablece todas las habilidades de tu compañero.[n]La destreza alcanza el 100% y puedes poner una habilidad a su disposición.[n]Para añadir nuevas habilidades, tu compañero necesitará de nuevo la destreza al 100%.[n][Instrucciones][n]Haz doble clic sobre este objeto y elige una habilidad con el botón principal.[n][Atención][n]Si la habilidad está en el nivel S, no se puede utilizar.[n]
zts17441e	Restablece todas las habilidades de tu compañero.[n]La destreza aumenta al 100% y una de las habilidades vuelve a estar disponible.[n]Para las demás habilidades, tu compañero necesita otra vez la cantidad máxima de destreza.[n][Instrucciones][n]Haz doble clic sobre este objeto y luego escoge una habilidad haciendo clic simple.[n][Atención][n]Si una habilidad es de nivel S, puedes usarlo de todas formas, pero quizás deje de ser de ese nivel.[n]
zts17442e	Restablece una habilidad de tu compañero.[n]La destreza aumenta al 100% y la habilidad vuelve a estar disponible.[n][Instrucciones][n]Haz doble clic sobre este objeto y escoge la habilidad que quieres restablecer.[n][Atención][n]Si la habilidad es de nivel S, no puedes utilizar este Tique.[n]
zts17451e	Baúl de la fortuna de Rudi
zts17452e	En este baúl de la fortuna encontrarás a Rudi Rabauke y otros objetos.[n]Cuando lo abras podrás recibir una de las siguientes cosas:[n]1 Perla con Rudi Rabauke[n]1 Cesta NosMate (30 días)[n]40 Alas de la amistad[n]1 Poción especial mediana[n]1 Amuleto del refuerzo[n]16 Bendiciones del ángel guardián[n]1 Juego de cartas de tarot[n]10 Fortalecedores de hada[n]14 Vasos sellados[n][n]
zts17473e	Alimento para compañeros exótico
zts17474e	Con esta comida pones a tu compañero a dieta.[n]Si le das algo de esto a tu compañero, bajará un nivel.[n]Esto es útil cuando tu compañero tiene un nivel superior al de tu personaje.[n][Atención][n]No se puede utilizar en compañeros de nivel 1.[n]
zts17475e	Conejorejo
zts17476e	Baúl de la fortuna del Conejorejo
zts17477e	En este baúl se esconde el Conejorejo.[n]Recibes uno de los siguientes objetos:[n]1 Perla con Conejorejo[n]1 Cesta NosMate (30 días)[n]40 Alas de la amistad[n]1 Poción especial mediana[n]1 Amuleto del refuerzo[n]16 Bendiciones del ángel guardián[n]1 Baraja de cartas de tarot[n]10 Fortalecedores de hada[n]14 Vasos sellados[n][n]
zts17490e	Unicornio blanco
zts17491e	Con el Unicornio blanco podrás ir al trote hacia el arcoiris.[n]Tu velocidad de movimiento aumenta.[n]Si vuelves a utilizar el objeto, te bajas.[n]Sin límite de nivel.[n][Características][n]Velocidad de movimiento: 22[n]Velocidad de movimiento en Glacernon +1[n][Con Acelerador][n]Te teletransporta a un punto aleatorio del mapa.[n]
zts17492e	Unicornio blanco
zts17493e	En este baúl se encuentra el Unicornio blanco. [n][Atención][n]En cuanto liberas al Unicornio blanco, el baúl deja de ser comerciable.[n]
zts17494e	Unicornio rosa
zts17495e	Con el Unicornio rosa, podrás ir al trote hacia el arcoiris.[n]Tu velocidad de movimiento aumenta.[n]Si vuelves a utilizar el objeto, te bajas.[n]Sin límite de nivel.[n][Características][n]Velocidad de movimiento: 22[n]Velocidad de movimiento en NosVille y Port Alveus +3[n][Con Acelerador][n]Te teletransporta a un punto aleatorio del mapa.[n]
zts17496e	Unicornio rosa
zts17497e	En este baúl se encuentra el Unicornio rosa. [n]Atención[n]En cuanto liberas al Unicornio rosa, el baúl deja de ser comerciable.[n]
zts17498e	Unicornio negro
zts17499e	Con el Unicornio negro podrás ir al trote hacia el arcoiris.[n]Tu velocidad de movimiento aumenta.[n]Si vuelves a utilizar el objeto, te bajas.[n]Sin límite de nivel.[n][Características][n]Velocidad de movimiento: 22[n]Velocidad de movimiento en el desierto o la Región de la Espada Ardiente +2[n][Con Acelerador][n]Te teletransporta a un punto aleatorio del mapa.[n]
zts17500e	Unicornio negro
zts17501e	En este baúl se encuentra el Unicornio rosa. [n]Atención[n]En cuanto liberas al Unicornio rosa, el baúl deja de ser comerciable.[n]
zts17502e	Baúl de la fortuna mágico de unicornio
zts17503e	En el Baúl de la fortuna mágico se esconden el Unicornio blanco, rosa o negro así como otros objetos.[n]Puedes conseguir uno de los siguientes objetos: [n]1 Baúl del unicornio blanco[n]1 Baúl del unicornio rosa[n]1 Baúl del unicornio negro[n]1 Cesta NosMate (30 días)[n]40 Alas de la amistad[n]1 Poción especial mediana[n]1 Amuleto del refuerzo[n]16 Bendiciones del ángel guardián[n]1 Juego de cartas del tarot[n]10 Fortalecedores de hada[n]14 Vasos sellados[n]
zts17514e	La Piel de dragón es un material importante para la mejora de las Tarjetas del especialista de alto nivel.[n]Este objeto se utiliza para la mejora en los niveles 0 - 4.[n][n]
zts17515e	La Sangre de dragón es un material importante para la mejora de las Tarjetas del especialista de alto nivel.[n]Este objeto se utiliza para la mejora en los niveles 5-9.[n][n]
zts17516e	El Corazón de dragón es un material importante para la mejora de las Tarjetas del especialista de alto nivel.[n]Este objeto se utiliza para la mejora en los niveles 10-14.[n][n]
zts17517e	Tarjeta del especialista de monje de lucha (Time-space)
zts17518e	El Monje de lucha es un maestro de la lanza.[n]"Con el poder de mi lanza purificaré este mundo".[n]Recibes una resistencia del 10 % contra [Escalofrío] y estados de congelación debilitados.[n]
zts17519e	Tarjeta del Espía (Time-space)
zts17520e	El Espía es un as de la ballesta y un experto de la exploración.[n]"Si adquieres un conocimiento más profundo de ti mismo y de tu enemigo, podrás ganar todas las batallas".[n]Recibes una resistencia del 10 % contra [Escalofrío] y estados de congelación debilitados.[n]
zts17521e	Tarjeta del Señor de las mareas (Time-space)
zts17522e	El Señor de las mareas reina sobre el poder del océano.[n]"Este es mi poder, proveniente de las profundidades del mar"[n]Recibes una resistencia del 10 % contra [Escalofrío] y estados de congelación debilitados.[n]
zts17523e	Tarjeta del especialista de monje de lucha
zts17524e	Tarjeta del especialista de espía
zts17525e	Tarjeta del especialista de señor de las mareas
zts17526e	Glaciar místico
zts17528e	Tique del viaje temporal elemental
zts17529e	Este Tique del viaje temporal elemental te permite restablecer el límite diario de raids elementales.[n]Para utilizarlo, haz doble clic.[n]
zts17530e	Sello del raid de Glacerus
zts17532e	Time-space: ¡Destruye el Sello de hielo de Glacerus!
zts17533e	Objeto de misión.[n]Si haces clic sobre el objeto en tu inventario, vas a parar directamente al Time-space.[n][n]
zts17534e	Yapa mala de Zangpo
zts17535e	Guantes de entrenamiento de Falkon
zts17536e	Adorno para el pelo de Elisia
zts17537e	Orden de ataque para el Área del Caos
zts17538e	Pergamino del frío glacial
zts17540e	Baúl mágico de unicornio
zts17541e	En este Baúl mágico se esconden el Unicornio blanco, rosa o negro.[n]Puedes conseguir uno de los siguientes objetos:[n]1 Baúl del unicornio blanco[n]1 Baúl del unicornio rosa[n]1 Baúl del unicornio negro[n]
zts17544e	Huevo misterioso
zts17545e	Inferno
zts17546e	Caja de Pascua
zts17547e	Ovni estrafalario
zts17548e	Con el Ovni estrafalario podrás surcar el espacio.[n]Aumenta tu velocidad.[n]Si vuelves a utilizar el objeto, te bajas de él.[n]Sin límite de nivel.[n][Características][n]Velocidad: 22[n]Velocidad en Glacernon +1[n][Con Acelerador][n]Te teletransporta a un punto aleatorio del mapa.[n]
zts17549e	Ovni estrafalario
zts17550e	En el baúl se esconde el Ovni estrafalario.[n][Atención][n]Si sacas el platillo volador del baúl, ya no podrás comerciar con él.[n]
zts17551e	Marco Pollo
zts17564e	Este es un gallo de monta llamado Marco Pollo.[n]Aumenta tu velocidad de movimiento cuando montas en él.[n]Si vuelves a utilizar el objeto, te bajas.[n]Sin límite de nivel.[n][Características][n]Velocidad de movimiento: 14[n]Velocidad de movimiento en la región del acto 1 +6[n][Con Acelerador][n]Velocidad de movimiento +2[n]Duración +3[n]
zts17565e	Este es un Huevo misterioso.[n][Instrucciones]:[n]Haz doble clic sobre el objeto en el Mini-mundo.[n]Para que eclosione, los HP del huevo deben estar al 100%; en ese momento se abrirá automáticamente.[n]Si el huevo te acompaña, recibirá 1 HP por segundo.[n]Si cazas monstruos con él, recibirá 20 HP por monstruo.[n]Si lo alimentas con una Fruta de crecimiento recibirá 20 000 HP.[n]
zts17567e	Puedes acceder al raid contra Glacerus, el frío, a través del teletransporte de Felix Frost.[n]Nivel recomendado: 80-99[n]Todos los jugadores de nivel superior a 80 pueden utilizar el Sello del raid.[n][Instrucciones][n]El jugador se convierte en jefe del equipo.[n]Como líder podrás invitar a otros jugadores haciendo clic sobre ellos.[n]Ve a la entrada del raid. Cuando el líder acceda, los demás jugadores le seguirán automáticamente.[n][Atención][n]Los personajes que tengan un nivel más alto que el recomendado pueden participar en el raid, pero recibirán una penalización.[n](No obtendrán corazones ni Cajas del raid aunque ganen).
zts17568e	El poder de las almas venerables habita este glaciar místico.[n]Cuando lo utilizas, su energía se transfiere a ti.[n]Aumenta la resistencia contra la Tormenta de hielo de Glacerus.[n]Nivel necesario: 80[n][Efecto][n]Con este objeto puedes participar en el raid contra Glaceros y derretir a jugadores congelados.[n]
zts17582e	Gorro de mago de la luz (30 días)
zts17584e	Gorro de mago de la luz (permanente)
zts17586e	Gorro de mago de las tinieblas (30 días)
zts17588e	Túnica de mago de la luz (30 días)
zts17590e	Túnica de mago de la luz (permanente)
zts17591e	Ropaje de mago de las tinieblas (30 días)
zts17593e	Ropaje de mago de las tinieblas (permanente)
zts17596e	Este es el Gorro de mago de la luz.[n]El tiempo de utilización empieza en cuanto te pones el objeto.[n]Efecto defensivo[n]Aumenta el poder de ataque total en un 5 %.[n]Aumenta la resistencia a las tinieblas en 3.[n]
zts17597e	Este es el Gorro de mago de la luz.[n]Efecto defensivo[n]Aumenta el poder de ataque total en un 5 %.[n]Aumenta la resistencia a las tinieblas en 3.[n]
zts17600e	Esta es la Túnica de mago de la luz.[n]El tiempo de uso comienza cuando te la pones.[n][Efecto][n]Todo el poder de defensa aumenta en un 5 %.[n]Además, los HP y MP máximos aumentan en 300.[n]
zts17601e	Esta es la Túnica de mago de la luz.[n][Efecto][n]Todo el poder de defensa aumenta en un 5 %.[n]Además, los HP y MP máximos aumentan en 300.[n]
zts17602e	Este es el Ropaje de mago de las tinieblas.[n]El tiempo de utilización empieza en cuanto te hayas puesto el ropaje.[n]Efecto[n]El poder de defensa total aumenta en un 5 %.[n]Aumenta la resistencia a todos los elementos en 1.[n]
zts17603e	Este es el Ropaje de mago de las tinieblas.[n]Efecto[n]El poder de defensa total aumenta en un 5 %.[n]Aumenta la resistencia a todos los elementos en 1.[n]
zts17604e	Gorro de mago de las tinieblas (permanente)
zts17605e	Este es el Gorro de mago de las tinieblas.[n]El tiempo de utilización empieza en cuanto te pones el objeto.[n]Efecto defensivo[n]Tienes un 3 % de probabilidad de causar Oscuridad de DOOM al enemigo.[n]Aumenta la resistencia a la luz en 2.[n]
zts17606e	Este es el Gorro de mago de las tinieblas.[n]Efecto defensivo[n]Tienes un 3 % de probabilidad de causar Oscuridad de DOOM al enemigo.[n]Aumenta la resistencia a la luz en 2.[n]
zts17607e	Rubí pequeño de la perfección
zts17608e	Esta valiosa joya sirve para mejorar tu Tarjeta del especialista.[n]Con ella el Guerrero, el Destructor o el Mago rojo estarán más cerca de la perfección.[n]
zts17609e	Zafiro pequeño de la perfección
zts17610e	Esta valiosa joya sirve para mejorar tu Tarjeta del especialista.[n]Con ella el Ninja, el Cazador o el Mago azul estarán más cerca de la perfección.[n]
zts17611e	Obsidiana pequeña de la perfección
zts17612e	Esta valiosa joya sirve para mejorar tu Tarjeta del especialista.[n]Con ella el Berserker, el Asesino o el Mago de las tinieblas estarán más cerca de la perfección.[n]
zts17613e	Topacio pequeño de la perfección
zts17614e	Esta valiosa joya sirve para mejorar tu Tarjeta del especialista.[n]Con ella el Caballero de la cruz, el Guardabosques o el Mago sagrado estarán más cerca de la perfección.[n]
zts17615e	Rubí de la perfección
zts17616e	Esta valiosa joya sirve para mejorar tu Tarjeta del especialista.[n]Con ella el Gladiador, el Servidor del cañón de fuego o Volcano estarán más cerca de la perfección.[n]
zts17617e	Zafiro de la perfección
zts17618e	Esta valiosa joya sirve para mejorar tu Tarjeta del especialista.[n]Con ella el Monje de lucha, el Espía o el Señor de las mareas estarán más cerca de la perfección.[n]
zts17619e	Obsidiana de la perfección
