zts1e	Attacco Speciale
zts1180e	Sussiste la probabilità (%s%%) che un avversario presente nello spazio di 2 campi ottenga %s.
zts1181e	Sussiste la probabilità (%s%%) che a un avversario presente nello spazio di 2 campi venga rimosso %s.
zts1190e	Quando ti difendi, si verifica un %s%% di probabilità che venga evocato/a un/a %s.
zts1191e	Quando ti difendi, si verifica un %s%% di probabilità che vengano evocati due %s.
zts1198e	Quando attacchi, si verifica un %s%% di probabilità di eseguire il Colpo di meteora.
zts1199e	Quando ti difendi, si verifica un %s%% di probabilità che la seguente percentuale di danno venga rimandata all'avversario: %s%%
zts1200e	Quando attacchi, si verifica un %s%% di probabilità di eseguire un Attacco del lupo.
zts1201e	Quando ti difendi, si verifica un %s%% di probabilità che l'avversario venga respinto.
zts1210e	Quando attacchi, si verifica un %s%% di probabilità di scagliare un fulmine.
zts1211e	Quando attacchi, si verifica un %s%% di probabilità di eseguire il Potere della maledizione.
zts1212e	Quando attacchi, si verifica un %s%% di probabilità di eseguire l'Attacco dell'orso.
zts1213e	Quando attacchi, si verifica un %s%% di probabilità di eseguire il Potere del freddo.
zts1215e	I danni contro i Non morti di livello basso incrementano del seguente valore: %s%%
zts1216e	I danni contro i Non morti di livello basso diminuiscono del seguente valore: %s%%
zts1220e	La difesa da attacchi ravvicinati aumenta della seguente percentuale: %s%%.
zts1221e	La difesa da attacchi ravvicinati si riduce della seguente percentuale: %s%%.
zts1222e	La difesa da attacchi a distanza aumenta della seguente percentuale: %s%%.
zts1223e	La difesa da attacchi a distanza si riduce della seguente percentuale: %s%%.
zts1224e	La difesa magica aumenta della seguente percentuale: %s%%.
zts1225e	La difesa magica si riduce della seguente percentuale: %s%%.
zts1227e	Il recupero MP aumenta della seguente percentuale:%s%%.
zts1228e	Il recupero MP si riduce della seguente percentuale:%s%%.
zts1231e	I danni contro i mostri aumentano del seguente valore: %s%%
zts1232e	I danni contro i mostri si riducono del seguente valore: %s%%
zts1234e	Il consumo di punti produzione si riduce del seguente valore: %s%%
zts1235e	Il consumo di punti produzione aumenta della seguente percentuale: %s%%
zts1237e	Il valore della schivata è stato aumentato della seguente percentuale: %s%%
zts1238e	L'elusione da qualsiasi attacco si riduce della seguente percentuale:%s%%.
zts1246e	Quando ti difendi, si verifica un %s%% di probabilità che la seguente percentuale di danno venga rimandata all'avversario: %s%%
zts1247e	Tutti gli avversari nello spazio di %s campo/i subiscono danni (%s) ogni 4 secondi.
zts1248e	La forza di attacco del tuo NosMate aumenta del seguente valore: %s%%
zts1249e	Tutti gli avversari nello spazio di %s campo/i subiscono %s ogni 4 secondi.
zts1250e	Quando attacchi, si verifica un %s%% (Lv dell'Attaccante * 18) di probabilità che l'avversario subisca danni mediante "Potere dell'apocalisse". Inoltre, l'avversario riceve il relativo debuff.
zts1251e	Quando attacchi, si verifica un %s%% di probabilità che tu ottenga "Potere della riflessione".
zts1252e	Quando attacchi, si verifica un %s%% (Lv dell'Attaccante * 15) di probabilità che l'avversario subisca danni mediante "Potere del lupo". Inoltre, l'avversario riceve il relativo debuff.
zts1253e	Quando attacchi, sussiste la probabilità (%s%%) che l'avversario venga respinto di 4 campi.
zts1254e	Quando ti difendi, sussiste la probabilità (%s%%) che l'avversario venga respinto di 4 campi.
zts1255e	Nel caso di un attacco, sussiste una probabilità (%s%%) (Lv dell'Attaccante * 17) che l'avversario subisca danni tramite "Potere dell'esplosione". Inoltre, l'avversario riceve il relativo debuff.
zts1257e	Quando attacchi, si verifica un %s%% di probabilità che tu ottenga "Potere della lestezza".
zts1258e	Quando attacchi, si verifica un %s%% (Lv dell'Attaccante * 18) di probabilità che l'avversario subisca danni mediante "Potere del lampo". Inoltre, l'avversario riceve il relativo debuff.
zts1259e	Quando attacchi, si verifica un %s%% di probabilità che l'avversario subisca il Potere della maledizione.
zts1260e	Quando attacchi, si verifica un %s%% (Lv dell'Attaccante * 23) di probabilità che l'avversario subisca danni mediante "Potere dell'orso". Inoltre, l'avversario riceve il relativo debuff.
zts1261e	Quando attacchi, si verifica un %s%% di probabilità che tu ottenga "Potere del freddo".
zts1268e	L'armatura magica previene %s danno/i.
zts1269e	Quando ti difendi sussiste la probabilità (%s%%) che aumenti di %s la resistenza contro l'elemento utilizzato dall'avversario per l'attacco.
zts1270e	Quando ti difendi sussiste la probabilità (%s%%) che si riduca di %s la resistenza contro l'elemento utilizzato dall'avversario per l'attacco.
zts1271e	Gli HP extra massimi aumentano del seguente valore: %s%%.
zts1272e	Gli HP extra massimi si riducono del seguente valore: %s%%.
zts1273e	Quando un tuo attacco viene bloccato, si verifica un %s%% di probabilità che tu possa ignorare il blocco.
zts1274e	Il valore della schivata è stato aumentato della seguente percentuale: %s%%
zts1275e	Aumenta l'HitRate di tutti gli attacchi del seguente valore: %s%%.
zts1282e	Quando subisci un colpo critico, si verifica un %s%% di probabilità che la seguente percentuale di danno venga rimandata all'avversario: %s%%.
zts1283e	Si verifica un (HP persi / max. HP * 100 / %s%% * %s%%) di probabilità di eludere l'attacco.
zts1284e	Il danno finale del colpo critico viene incrementato del seguente valore per colpo critico: %s%% (max. %s colpi).
zts1285e	Quando ti difendi si verifica un %s%% di probabilità che un %s%% del danno venga detratto dagli MP invece che dagli HP.
zts1286e	La forza d'attacco totale aumenta di un %s%% del valore della difesa magica.
zts1293e	In caso di attacco sussiste la probabilità (%s%%) di infliggere dei danni extra (+%s%%) grazie al Loa leone.
zts1294e	In caso di attacco sussiste la probabilità (%s%%) di infliggere dei danni extra (+%s%%) grazie al Loa aquila.
zts1295e	In caso di attacco sussiste la probabilità (%s%%) di infliggere dei danni extra (+%s%%) grazie al Loa serpente.
zts1296e	In caso di attacco sussiste la probabilità (%s%%) di infliggere dei danni extra (+%s%%) grazie al Loa orso.
zts1297e	Quando subisci un debuff, si verifica un %s%% di probabilità che il valore di ogni elemento aumenti della seguente percentuale: %s%%
zts1299e	L'hitrate aumenta della seguente percentuale: %s%%.
zts1300e	L'hitrate si riduce della seguente percentuale: %s%%.
zts1302e	La concentrazione aumenta della seguente percentuale: %s%%.
zts1303e	La concentrazione si riduce della seguente percentuale: %s%%.
zts1306e	Il Re Bestia ti ha scelto come obiettivo del suo attacco con morso.
zts1307e	Ogni volta che eludi l'attacco, i tuoi HP aumentano di %s.
zts1310e	Aumenta gli HP Massimi di %s%%.
zts1311e	Diminuisce gli HP massimi di %s%%.
zts1312e	Aumenta gli MP massimi di %s%%.
zts1313e	Diminuisce gli MP massimi di %s%%.
zts1315e	La forza di attacco aumenta in questo modo: %s%% contro i mostri nei Vasi sigillati e %s%% contro i mostri di Glacernon.
zts1316e	La forza di attacco si riduce in questo modo: %s%% contro i mostri nei Vasi sigillati e %s%% contro i mostri di Glacernon.
zts1317e	utti gli avversari nello spazio di %s campo/i subiscono danni (%s) ogni secondo.
zts1318e	Tutti gli avversari nello spazio di %s campo/i subiscono %s ogni secondo.
zts1320e	Sussiste una certa probabilità (%s%%) che l'attaccante ottenga l'effetto [%s].
zts1321e	Quando un avversario ti attacca, sussiste una certa probabilità %s%% che l'avversario subisca l'effetto [%s].
zts1322e	Sussiste la probabilità (%s%%) che un alleato presente nello spazio di 2 campi ottenga %s.
zts1323e	Sussiste la probabilità (%s%%) che a un alleato presente nello spazio di 2 campi venga rimosso %s.
zts1325e	Belial riflette i tuoi attacchi e infligge danni ai tuoi alleati.
zts1327e	Il danno finale inflitto tramite colpo critico incrementa della seguente percentuale: %s%%.
zts1328e	Il danno finale inflitto tramite colpo critico diminuisce della seguente percentuale: %s%%.
zts1329e	Quando esegui delle mosse difensive, il danno finale inflitto tramite colpo critico incrementa della seguente percentuale: %s%%.
zts1330e	Quando esegui delle mosse difensive, il danno finale inflitto tramite colpo critico si riduce della seguente percentuale: %s%%.
zts1341e	Quando sconfiggi un mostro c'è una probabilità di un %s%% che tu riceva [%s].
zts1353e	Quando subisci una sconfitta, tutti gli avversari nello spazio di %s campi ricevono [%s].
zts1361e	Se tu o i tuoi NosMate sconfiggete un mostro, un %s%% degli HP dei NosMate attivi viene ripristinato.
zts1362e	Se tu o i tuoi NosMate sconfiggete un mostro, un %s%% degli HP dei NosMate attivi viene ripristinato.
zts1363e	Quando uno dei tuoi NosMate viene sconfitto, un %s%% dei tuoi HP viene ripristinato.
zts1364e	Quando uno dei tuoi NosMate viene sconfitto, un %s%% degli HP dei NosMate attivi viene ripristinato.
zts1365e	Quando sconfiggi un mostro c'è una probabilità di un %s%% che i tuoi NosMate ricevano [%s].
zts1366e	Quando sconfiggi un mostro, la forza di attacco dei tuoi NosMate ha un %s%% di probabilità di aumentare di un %s%%.
zts1367e	Quando sconfiggi un mostro, tutte le difese dei tuoi NosMate hanno un %s%% di probabilità di aumentare di un %s%%.
zts1368e	Quando sconfiggi un mostro, c'è un %s%% di probabilità che un %s%% degli HP dei tuoi NosMate venga ripristinato.
zts1373e	Quando i tuoi NosMate sconfiggono un mostro, la tua forza di attacco aumenta di un %s%%.
zts1374e	Quando i tuoi NosMate sconfiggono un mostro, le tue difese aumentano di un %s%%.
zts1375e	Quando subisci una sconfitta, tutti i tuoi NosMate nello spazio di %s campi ricevono [%s].
zts1376e	Quando tutti i tuoi NosMate vengono sconfitti c'è una probabilità di un %s%% che tu riceva [%s].
zts1377e	Quando sconfiggi un mostro i tuoi NosMate nello spazio di %s campi ricevono [%s].
zts1378e	Chiama la %sª unità.
zts1380e	Quando uno dei tuoi NosMate viene sconfitto, un %s%% degli HP dei NosMate attivi viene ripristinato.
zts1383e	Incrementa la forza di attacco delle tue unità (piano x %s).
zts1384e	Incrementa le difese delle tue unità (piano x %s).
zts1386e	Incrementa la forza di attacco delle tue unità (%s + piano x %s).
zts1387e	Incrementa le difese delle tue unità (%s + piano x %s).
zts1389e	Danno critico massimo subito in caso di attacco: %s (%s volta/e).
zts1391e	%%%s di probabilità che i tuoi NosMate ottengano [%s].
zts1397e	Se subisci un attacco da elemento fuoco, il danno potrebbe aumentare (+%s%%). Probabilità: %s%%.
zts1398e	Se subisci un attacco da elemento fuoco, il danno potrebbe diminuire (-%s%%). Probabilità: %s%%.
zts1399e	Se subisci un attacco da elemento acqua, il danno potrebbe aumentare (+%s%%). Probabilità: %s%%.
zts1400e	Se subisci un attacco da elemento acqua, il danno potrebbe diminuire (-%s%%). Probabilità: %s%%.
zts1401e	Se subisci un attacco da elemento luce, il danno potrebbe aumentare (+%s%%). Probabilità: %s%%.
zts1402e	Se subisci un attacco da elemento luce, il danno potrebbe diminuire (-%s%%). Probabilità: %s%%.
zts1403e	Se subisci un attacco da elemento ombra, il danno potrebbe aumentare (+%s%%). Probabilità: %s%%.
zts1404e	Se subisci un attacco da elemento ombra, il danno potrebbe diminuire (-%s%%). Probabilità: %s%%.
zts1406e	I mostri non ti possono vedere, quindi puoi pescare in tutta tranquillità. Gli altri giocatori, però, possono vederti.
zts1408e	Utilizzando "Teletrasportati al Punto Pesca" ti recherai in un punto stabilito da te.
zts1415e	La probabilità di catturare un pesce aumenta del seguente valore: %s%%.
zts1416e	La probabilità di catturare un pesce diminuisce del seguente valore: %s%%.
zts1417e	La probabilità che la lenza si spezzi aumenta del seguente valore: %s%%.
zts1418e	La probabilità che la lenza si spezzi diminuisce del seguente valore: %s%%.
zts1419e	Probabilità che l'esca non venga utilizzata dopo aver gettato l'amo: %s%%.
zts1420e	Probabilità (%s%%) di pescare un pesce le cui dimensioni vengono incrementate della seguente percentuale: +%s%%.
zts1421e	Probabilità (%s%%) di pescare un pesce le cui dimensioni vengono ridotte della seguente percentuale: -%s%%.
zts1422e	I punti esperienza Pesca aumentano del seguente valore: %s%%.
zts1423e	I punti esperienza Pesca diminuiscono del seguente valore: %s%%.
zts1426e	Adoro la pesca!
zts1429e	I mostri delle mappe generali ti notano solo se li attacchi.
zts1433e	Il guadagno di esperienza culinaria incrementa del seguente valore: %s%%
zts1434e	Il guadagno di esperienza culinaria si riduce del seguente valore: %s%%
zts1435e	La probabilità di conseguire un grande successo cucinando aumenta del seguente valore: %s%%.
zts1436e	La probabilità di conseguire un grande successo cucinando diminuisce del seguente valore: %s%%.
zts1437e	%s%% di probabilità di ottenere altri ingredienti.
zts1438e	%s%% di probabilità di ottenere altri piatti.
zts1442e	%s%% di probabilità di non consumare spezie quando si cucina.
zts1443e	%s%% di probabilità di consumare una spezia in più quando si cucina.
zts1444e	Aumenta l'effetto sazietà %s di %s punti sazietà.
zts1445e	Riduce l'effetto sazietà %s di %s punti sazietà.
zts1446e	%s%% di punti sazietà in meno per tutti gli effetti sazietà. Inoltre, in questo lasso di tempo non mangi alcun piatto.
zts1447e	Il guadagno di punti sazietà aumenta del seguente valore: %s%%.
zts1448e	I punti sazietà aumentano di %s. Si può utilizzare solo quando il valore della sazietà è inferiore a %s.
zts1449e	I punti sazietà si riducono di %s. Si può utilizzare solo quando il valore della sazietà è inferiore a %s.
zts1450e	I punti sazietà aumentano di %s o diminuiscono di %s.
zts1451e	%s%% di probabilità di ottenere altri punti sazietà (%s%%).
zts1452e	I punti sazietà aumentano di %s o diminuiscono di %s.
zts1457e	Ripristina una quantità HP corrispondente alla percentuale dei danni inflitti (%s%%) (max. %s per attacco).
zts1458e	Ripristina una quantità MP corrispondente alla percentuale dei danni inflitti (%s%%) (max. %s per attacco).
zts1459e	Puoi vedere i personaggi nascosti in un certo numero di campi (%s) intorno a te.
zts1460e	Gli HP extra aumentano di %s%%.
zts1461e	%s%% di probabilità di ottenere altri ingredienti.
zts1462e	%s%% di probabilità di ottenere altri piatti.
zts1467e	%s%% di probabilità di sferrare due volte l'attacco base.
zts1468e	Ripristina una certa percentuale (%s%%) degli HP massimi (min. %s).
zts1469e	Ripristina una certa percentuale (%s%%) degli MP massimi (min. %s).
zts1470e	Quando gli HP scendono sotto una certa percentuale (%s%%), il danno subito diminuisce del seguente valore: %s%%.
zts1471e	Quando gli HP scendono sotto una certa percentuale (%s%%), tutti gli attacchi aumentano del seguente valore: %s%%.
zts1473e	La probabilità di catturare un pesce raro aumenta del seguente valore: %s%%.
zts1474e	La probabilità di catturare un pesce raro diminuisce del seguente valore: %s%%.
zts1476e	Gli HP extra aumentano del seguente valore: %s%% (max. %s%% degli HP massimi).
zts1477e	Quando si esegue un attacco di base vi è una certa probabilità (%s%%) di sferrare un altro attacco di base e provocare danni (%s%%).
zts1479e	Quando si pesca un pesce vi è una certa probabilità (%s%%) di pescarne un altro.
zts1485e	In caso di attacco da parte del Lupo solare, la durata aumenta di 2 secondi (probabilità: %s%%). (Max. %s volta/e)
zts1486e	In caso di attacco da parte del Lupo solare, la durata diminuisce di 2 secondi (probabilità: %s%%). (Max. %s volta/e)
zts1487e	In caso di attacco da parte del Lupo solare, si attiva [%s] (probabilità: %s%%).
zts1488e	In caso di attacco da parte del Lupo solare, il danno aumenta (+%s%%).
zts1494e	Ricevi HP extra (%s%% degli HP del Lupo del sole.) (Max. %s%% degli HP massimi.)
zts1495e	Il Lupo solare e chi attiva l'effetto ricevono [%s] (probabilità: %s%%).
zts1496e	Se il Lupo solare è già stato sconfitto, verrà rianimato con HP (%s%%).
zts1497e	Se gli HP del Lupo Solare superano il valore [%s%%], il valore della forza di attacco del Cacciasole aumenta (+%s%%).
zts1500e	%s%% di probabilità che il Lupo solare riceva l'ordine di attivare [%s] sull'obiettivo.
zts1504e	Aumenta gli HP (+%s%%) dell'attuale barra della rabbia.
zts1505e	Se utilizzi un'abilità di attacco, gli HP diminuiscono temporaneamente (-%s%%).
zts1509e	Il danno provocato dalla prossima abilità di attacco aumenta di un valore pari a quello del danno risparmiato. (Valore max. danno: %s)
zts1510e	Se l'obiettivo è un mostro, il danno subito in seguito ai vari attacchi aumenta (+%s%%). In caso contrario, il personaggio sarà costretto a trasformarsi in [%s].
zts1514e	Ti trasformi in un potente Orso bruno.
zts1515e	Riassumi la tua forma originale di Druido.
zts1516e	Quando sei in preda a uno Scatto d'ira o di Rabbia, il danno aumenta (+%s%% dell'attuale valore della barra della rabbia). Il valore della barra diminuisce (-%s%%).
zts1522e	La barra della rabbia aumenta (+%s%%).
zts1523e	La barra della rabbia diminuisce (-%s%%).
zts1524e	%s%% di probabilità che il tempo di ricarica dell'abilità utilizzata venga resettato.
zts1525e	Riduce il valore degli attacchi (-%s%% dell'attuale valore della barra della rabbia).
zts1526e	La barra della rabbia diminuisce (-%s%%).
zts1532e	Il danno subito a causa di debuff duraturi aumenta (+%s%%).
zts1533e	Il danno subito a causa di debuff duraturi diminuisce (-%s%%).
zts1534e	%s%% di probabilità di trasformarsi in [%s].
zts1535e	Se subisci danni %s volta/e, [%s] scompare. (I danni protratti nel tempo non contano)
zts1536e	Il danno aumenta di un valore pari a [numero dei buff sull'obiettivo x %s]. (Max. %s)
zts1537e	Il danno aumenta di un valore pari a [numero dei debuff sull'obiettivo x %s]. (Max. %s)
zts1543e	In base alla distanza, il danno aumenta (+%s%%).
zts1544e	Vi è una certa percentuale di probabilità (numero dei tuoi buff x %s) di non ricevere mai un effetto negativo fino al livello %s. (Max. 60%%)
zts1545e	Vi è una certa percentuale di probabilità (numero dei tuoi buff x %s) di ricevere un effetto negativo fino al livello %s. (Max. 60%%)
zts1546e	Ripristina gli HP per un valore pari a [numero dei buff di chi attiva l'effetto x %s]. (Max. %s)
zts1547e	Riduce gli HP per un valore pari a [numero dei buff di chi attiva l'effetto x %s]. (Max. %s)
zts1548e	Ha effetto solo sui nemici che hanno buff con un livello maggiore di %s.
zts1549e	Ha effetto solo sui nemici che hanno debuff con un livello maggiore di %s.
zts1552e	%s%% del danno viene risparmiato.
zts1553e	Quando sei in preda a uno Scatto d'ira o di Rabbia, il danno aumenta (+%s%%).
zts1556e	Evoca %s NPC [%s].
zts1557e	La forza di attacco aumenta (+%s%% della barra della rabbia).
zts1558e	La barra della rabbia aumenta (+%s%%).
zts1561e	Quando si subisce un colpo è possibile che, per ogni attacco, venga rimosso un effetto negativo fino al livello %s (probabilità: %s%%).
zts1562e	Aumenta gli HP [+(HP mancanti/%s)%% del danno inflitto].
zts1563e	Il danno della prossima abilità aumenta grazie al danno immagazzinato con Assorbimento dell'anima. (Min. %s, max. %s)
zts1564e	Quando sei in preda a "Ira della cascata", il danno aumenta (+%s%% dell'attuale valore della barra della rabbia). Il valore della barra diminuisce (-%s%%).
zts1565e	Il danno subito a causa di debuff duraturi aumenta di un valore pari a [numero dei debuff x %s%%]. (Max. %s%%)
zts1566e	Il danno subito a causa di debuff duraturi diminuisce di un valore pari a [numero dei debuff x %s%%]. (Max. %s%%)
zts1567e	Vi è una certa percentuale di probabilità [(numero dei tuoi buff x %s)%%] di non ricevere mai un effetto negativo fino al livello %s. (Max. 30%%)
zts1568e	Vi è una certa percentuale di probabilità [(numero dei tuoi buff x %s)%%] di ricevere un effetto negativo fino al livello %s. (Max. 30%%)
zts1569e	Per ciascun avversario colpito, il danno del prossimo attacco aumenta (+%s).
zts1570e	Nessun Consumo di HP
zts1571e	Nessun Ripristino di HP
zts1572e	Quando si viene colpiti dall'abilità di un altro personaggio, vi è una certa probabilità (%s%%) che il tempo di ricarica della skill utilizzata venga resettato.
zts1573e	Se utilizzi un'abilità di attacco, gli HP diminuiscono temporaneamente (-%s%%).
zts1574e	Immagazzina una parte del danno (%s%%) causato da questa abilità (max. %s per obiettivo).
zts1577e	Nel PvP, tutte le resistenza agli elementi aumentano (+%s).
zts1578e	Nel PvP, tutte le resistenza agli elementi diminuiscono (-%s).
zts1579e	Sei invisibile. Se subisci un attacco, questo stato non cambia.
zts1581e	Nessun consumo di HP e MP
zts1582e	Nessun recupero di HP e MP
zts1584e	Il giocatore è invisibile, ma viene notato dagli avversari presenti entro lo spazio di 5 campi.
zts1591e	Mentre attacchi, hai un %s%% di probabilità di evocare un drago che attacca il tuo obiettivo, infliggendogli la seguente percentuale del danno già subito: %s%%.
zts1592e	Mentre attacchi, hai un %s%% di probabilità di evocare un Drago di fuoco che attacca il tuo obiettivo, infliggendogli la seguente percentuale del danno già subito: %s%%.
zts1593e	Mentre attacchi, hai un %s%% di probabilità di evocare un Drago di ghiaccio che attacca il tuo obiettivo, infliggendogli la seguente percentuale del danno già subito: %s%%.
zts1594e	Mentre attacchi, hai un %s%% di probabilità di evocare un Drago lunare che attacca il tuo obiettivo, infliggendogli la seguente percentuale del danno già subito: %s%%.
zts1597e	Mentre attacchi, hai un %s%% di probabilità di evocare un Drago di luce che attacca il tuo obiettivo, infliggendogli la seguente percentuale del danno già subito: %s%%.
zts1599e	Quando subisci %s danni, %s sparisce (i danni protratti nel tempo non contano).
zts1601e	Ripristina degli HP (%s%%) in base al danno subito (max. %s per attacco).
zts1602e	Aumenta gli MP, +%s%%, in base al danno subito (max. %s per attacco).
zts1605e	Nel Nido Celeste, i danni contro i mostri di livello più basso aumentano del seguente valore: %s%%
zts1606e	Nel Nido Celeste, i danni contro i mostri di livello più basso si riducono del seguente valore: %s%%
zts1608e	I danni contro i Draghi di livello più alto aumentano del seguente valore: %s%%
zts1609e	I danni contro i Draghi di livello più alto si riducono del seguente valore: %s%%
zts1610e	Gli MP extra aumentano del seguente valore: %s%% (max. %s%% degli MP massimi).
zts1614e	I danni contro i mostri aumentano del seguente valore: %s%%
zts1616e	Nel Nido Celeste e nella Terra dei Vivi, i danni contro i mostri di livello più basso aumentano del seguente valore: %s%%
zts1618e	Il danno del colpo critico subito si riduce (-%s%%) per ogni colpo critico (max. %s colpi).
zts1620e	Assorbe una percentuale dei tuoi HP max. (%s%%) sotto forma di danno.
zts1622e	Per ogni debuff incrementa (+%s) il danno della fata in uso.
zts1624e	Il danno si riduce di (percentuale di HP mancanti/%s)%%.
zts1625e	Il danno aumenta di (percentuale di HP mancanti/%s)%%.
zts1627e	Per ogni accumulo di debuff, il danno si riduce della seguente percentuale: %s%% (max. %s%%).
zts1628e	Per ogni accumulo di debuff, il danno aumenta della seguente percentuale: %s%% (max. %s%%).
zts1631e	Per ogni accumulo di debuff, gli HP aumentano della seguente percentuale: %s%% (max. %s%%).
zts1632e	Per ogni accumulo di debuff, gli HP si riducono della seguente percentuale: %s%% (max. %s%%).
zts1633e	Gli HP dell'avversario vengono ridotti (-%s). Una percentuale degli HP persi (%s%%) verrà assegnata all'esecutore.
zts1634e	Riduce di (lv dell'effetto * 2) gli MP dell'avversario. Una percentuale degli MP persi (%s%%) verrà assegnata all'esecutore.
zts1635e	Scansi gli attacchi con una probabilità pari al seguente valore: (percentuale di HP mancanti * %s/100)%%
zts1637e	Quando scansi degli attacchi, i tuoi HP aumentano del seguente quantitativo: %s%% dei tuoi HP mancanti.
zts1644e	In caso di difesa si potrebbe attivare "Potere dell'armatura purificatrice" (probabilità %s%%).
zts1645e	In caso di difesa si potrebbe attivare "Potere della rigenerazione" (probabilità %s%%).
zts1646e	In caso di difesa si potrebbe attivare "Potere del cerchio fiammeggiante" (probabilità %s%%).
zts1647e	In caso di difesa si potrebbe attivare "Potere della purezza" (probabilità %s%%).
zts1648e	In caso di difesa si potrebbe attivare "Potere della resistenza alle maledizioni" (probabilità %s%%).
zts1655e	In caso di difesa si potrebbe attivare "Potere del flagello vampiro" (probabilità %s%%).
zts1656e	In caso di difesa si potrebbe attivare "Potere della trasformazione" (probabilità %s%%).
zts1657e	In caso di difesa si potrebbe attivare "Potere dell'intransigenza" (probabilità %s%%).
zts1658e	In caso di difesa si potrebbe attivare "Potere dell'istinto" (probabilità %s%%).
zts1659e	In caso di difesa si potrebbe attivare "Potere della guarigione" (probabilità %s%%).
zts1660e	Il danno si riduce di (percentuale di HP mancanti/%s)%%.
zts1661e	Il danno aumenta di (percentuale di HP mancanti/%s)%%.
zts1663e	Gli attacchi eseguiti nel Nido Celeste e nella Terra dei Vivi sono incrementati del 5%.
zts1665e	Nel Nido Celeste e nella Terra dei Vivi, i danni contro i mostri di livello più basso aumentano del seguente valore: %s%%
zts1666e	Nel Nido Celeste e nella Terra dei Vivi, i danni dei mostri di livello più basso diminuiscono del seguente valore: %s%%
zts1668e	Incrementa gli HP (+%s%% degli HP max.) per ogni colpo subito (max. %s volta/e).
zts1669e	Incrementa gli MP (+%s%% degli MP max.) per ogni colpo subito (max. %s volta/e).
zts1672e	Non subisce l'influsso degli effetti che riducono il tempo di attesa.
zts1673e	Dopo %s attacchi l'effetto [%s] viene rimosso.
zts1678e	Ai tuoi avversari non puoi infliggere più di %s di danno.
zts1679e	Il danno aumenta di (percentuale di HP mancanti/%s)%%.
zts1681e	Sussiste una probabilità (%s%%) che %s esegua un colpo critico.
zts1683e	La velocità di movimento verrà incrementata (+%s) (max. +%s).
zts1684e	La velocità di movimento verrà ridotta (-%s) (max. -%s).
zts1685e	Sussiste la probabilità (%s%%) di respingere l'avversario di %s campo/i (solo nel PvP).
zts1687e	La probabilità di catturare un pesce raro aumenta del seguente valore: %s%%.
zts1688e	Quando attacchi, sussiste la probabilità (%s%%) che l'avversario venga respinto di 4 campi (solo nel PvP).
zts1689e	Quando ti difendi, sussiste la probabilità (%s%%) che l'avversario venga respinto di 4 campi (solo nel PvP).
zts1690e	Quando utilizzi le abilità di attacco, sussiste una probabilità (%s%%) di scoccare una freccia magica.
zts1691e	Il raggio d'azione dell'attacco di superficie viene aumentato di %s.
zts1692e	Il raggio d'azione dell'attacco di superficie viene ridotto di %s.
zts1695e	A seconda dei punti calore, aumenta la probabilità di infliggere un colpo critico. La percentuale varia in questo modo: %s%% ---> %s%%.
zts1696e	Viene consumato tutto il carburante. Ogni %s punti di carburante utilizzati viene ripristinata la seguente percentuale di HP: %s%%.
zts1697e	Sono possibili sono gli attacchi di base.
zts1699e	Disponibile con un buff di [%s] o superiore.
zts1700e	Non puoi usare le abilità che consumano punti calore.
zts1707e	L'armatura viene perforata. Incrementa il danno dei colpi precisi.
zts1708e	L'armatura viene perforata completamente. Incrementa notevolmente il danno dei colpi precisi.
zts1709e	Conta come colpo preciso. I danni contro i bersagli che hanno l'armatura perforata aumentano della seguente percentuale: %s%%.
zts1710e	Incrementa il danno critico (+%s%%), quando si attiva [%s].
zts1711e	Riduce il danno critico (-%s%%), quando si attiva [%s].
zts1712e	Quando si attiva [%s], aumenta la probabilità di infliggere un colpo critico (+%s%%).
zts1713e	Quando si attiva [%s], diminuisce la probabilità di infliggere un colpo critico (-%s%%).
zts1714e	Se riesci a difenderti quando [%s] è attivo, ottieni [%s].
zts1715e	Quando attacchi e [%s] è attivo, il bersaglio ottiene [%s].
zts1722e	A seconda dei punti calore, aumenta la forza di attacco. La percentuale varia in questo modo: %s%% ---> %s%%.
zts1723e	A seconda dei punti calore, aumenta la gittata dell'attacco. La percentuale varia in questo modo: %s ---> %s.
zts1724e	A seconda dei punti calore, aumenta l'ampiezza dell'attacco. La percentuale varia in questo modo: %s%% ---> %s%%.
zts1725e	Se l'effetto [Surriscaldamento] è attivo, i nemici presenti in un'area di %s campi attorno al bersaglio vengono raggruppati in un unico punto.
zts1726e	Raggruppa in un unico punto i nemici presenti in un'area di %s campi attorno al bersaglio.
zts1727e	Se l'effetto [Surriscaldamento] è attivo, gli HP dell'avversario si riducono (-%s%% del danno che hai subito).
zts1734e	Vengono consumati tutti i punti calore. Il danno aumenta della seguente percentuale di punti calore utilizzati: %s%%.
zts1735e	Ottieni %s punti focus.
zts1736e	Perdi %s punti focus.
zts1737e	Ottieni %s punti gravità e perdi %s punti antigravità.
zts1738e	Ottieni %s punti antigravità e perdi %s punti gravità.
zts1739e	Aumenta il danno delle abilità "gravità" (+%s%%).
zts1740e	Aumenta il danno delle abilità "antigravità" (+%s%%).
zts1741e	Il danno aumenta di un valore pari a [(numero dei punti "gravità" e "antigravità") * %s%%]. Vengono consumati tutti i punti "gravità" e "antigravità".
zts1748e	Incrementa il danno (+%s%%), se si attiva [%s].
zts1749e	Il consumo di MP delle abilità (compresa la magia) aumenta (+%s%%), quando si attiva [%s].
