zts1e	Special Attack
zts1609e	Damage to high-level dragons is reduced by %s%%.
zts1610e	Additional MP is increased by %s%%, but cannot exceed %s%% of max MP.
zts1614e	Damage to monsters is increased by %s%%.
zts1616e	Damage to low-level monsters in the Celestial Lair and Land of Life is increased by %s%%.
zts1618e	Final damage from incoming critical hits is reduced by %s%% per critical hit (max. %s hits).
zts1620e	Absorb %s%% of your max HP as damage.
zts1622e	The damage from the equipped fairy is increased by %s per debuff.
zts1624e	Damage is reduced by (percentage missing HP/%s)%%.
zts1625e	Damage is increased by (percentage missing HP/%s)%%.
zts1627e	Damage is reduced by %s%% per debuff stack (max. %s%%).
zts1628e	Damage is increased by %s%% per debuff stack (max. %s%%).
zts1631e	HP is increased by %s%% per debuff stack (max. %s%%).
zts1632e	HP is reduced by %s%% per debuff stack (max. %s%%).
zts1633e	The enemy's HP is reduced by %s. The caster gains %s%% of this.
zts1634e	The enemy's MP is reduced by (caster level*2). The caster gains %s%% of this.
zts1635e	You have a (percent of HP missing * %s/100)%% probability of dodging attacks.
zts1637e	Your HP increases by %s%% of missing HP when you dodge attacks.
zts1644e	%s%% chance to trigger Power of Cleansing Armour when defending.
zts1645e	%s%% chance to trigger Power of Regeneration when defending.
zts1646e	%s%% chance to trigger Power of the Flame when defending.
zts1647e	%s%% chance to trigger Power of Purity when defending.
zts1648e	%s%% chance to trigger Power of Resistance when defending.
zts1655e	%s%% chance to trigger Power of Blood when defending.
zts1656e	%s%% chance to trigger Power of Conversion when defending.
zts1657e	%s%% chance to trigger Power of Unyielding when defending.
zts1658e	%s%% chance to trigger Power of Instinct when defending.
zts1659e	%s%% chance to trigger Power of Healing when defending.
zts1660e	Damage is reduced by (percentage missing HP/%s)%%.
zts1661e	Damage is increased by (percentage missing HP/%s)%%.
zts1663e	All attacks in the Celestial Lair and Land of Life are increased by 5%.
zts1665e	Damage to low-level monsters in the Celestial Lair and Land of Life is increased by %s%%.
zts1666e	Damage from low-level monsters in the Celestial Lair and Land of Life is reduced by %s%%.
zts1668e	Increases HP by %s%% of max. HP for every attack received (max. %s times).
zts1669e	Increases MP by %s%% of max. MP for every attack received (max. %s times).
zts1672e	This is not affected by buffs which reduce the cooldown.
zts1673e	After %s attacks, the %s effect will be removed.
zts1678e	You cannot deal more than %s damage to enemies.
zts1679e	Damage is increased by (percentage missing HP/%s)%%.
zts1681e	Provides a %s%% chance that %s causes a critical hit.
zts1683e	Movement speed is increased by %s (max. %s).
zts1684e	Movement speed is reduced by %s (max. %s).
zts1685e	Provides a %s%% chance of pushing the enemy away %s field(s) (only in PvP).
zts1687e	The probability of catching a rare fish is increased by %s%%.
zts1688e	When you're attacking, there is a %s%% chance of the opponent being knocked back 4 spaces (only in PvP).
zts1689e	When you're defending, there is a %s%% chance of the opponent being knocked back 4 spaces (only in PvP).
zts1690e	Provides a %s%% chance of firing a magical arrow when you use attack skills.
zts1691e	The radius of all area attacks is increased by %s.
zts1692e	The radius of all area attacks is reduced by %s.
zts1695e	Depending on your Heat Points, the chance of a critical hit is increased from %s%% to %s%%.
zts1696e	All fuel is consumed. For every %s Fuel Points consumed, you recover %s%% HP.
zts1697e	Only basic attacks are possible.
zts1699e	Can only be used with a buff of %s or higher.
zts1700e	You cannot use skills that increase Heat Points.
zts1707e	Pierces armour. Increases damage of Pinpoint attacks.
zts1708e	Pierces armour thoroughly. Significantly increases damage of Pinpoint attacks.
zts1709e	Counts as a Pinpoint attack. Damage against targets with pierced armour is increased by %s%%.
zts1710e	Increases critical damage by %s%% if %s is active.
zts1711e	Reduces critical damage by %s%% if %s is active.
zts1712e	Increases the chance of inflicting a critical hit by %s%% if %s is active.
zts1713e	Reduces the chance of inflicting a critical hit by %s%% if %s is active.
zts1714e	You receive %s when you block while %s is active.
zts1715e	The target receives [%s] when you attack while [%s] is active.
zts1722e	Depending on your Heat Points, your attack power is increased from %s%% to %s%%.
zts1723e	Depending on your Heat Points, your attack range is increased from %s to %s.
zts1724e	Depending on your Heat Points, your attack radius is increased from %s%% to %s%%.
zts1725e	If the High Heating effect is active, enemies from %s spaces around the target are pulled together in one place.
zts1726e	Pulls enemies from %s spaces around the target together in one place.
zts1727e	If the High Heating effect or higher is active, the opponent's HP is reduced by %s%% of the damage you take.
zts1734e	All Heat Points are consumed. The damage increases by %s%% of the consumed Heat Points.
zts1735e	You receive %s Sharpness Points.
zts1736e	You lose %s Sharpness Points.
zts1737e	You receive %s Grav Points and lose %s Antigrav Points.
zts1738e	You receive %s Anti-Grav Points and lose %s Grav Points.
zts1739e	The damage of Gravitation skills is increased by %s%%.
zts1740e	The damage of Anti-Gravitation skills is increased by %s%%.
zts1741e	Increases damage by (current number of Grav and Anti-Grav Points) * %s%%. All Grav and Anti-Grav Points are consumed.
zts1748e	Increases damage by %s%% if %s is active.
zts1749e	MP consumption of skills (including magic) is increased by %s%% if %s is active.
zts1750e	MP consumption of skills (including magic) is reduced by %s%% if %s is active.
zts1751e	Water element is increased by %s%% if %s is active.
zts1752e	All elemental resistances are increased by %s%% if %s is active.
zts1753e	You lose %s MP and receive %s Fuel Points.
zts1754e	You consume %s Fuel Points. Your damage is increased by %s%%.
zts1761e	You consume %s Fuel Points. Your shadow element is increased by %s%%.
zts1762e	You consume %s Fuel Points and receive the %s effect.
zts1763e	You consume %s Fuel Points. There's a %s%% chance to reset the cooldown of the used skill.
zts1764e	You consume %s Fuel Points and ignore %s%% of the opponent's defence.
zts1765e	You receive %s Heat Points.
zts1766e	You lose %s Heat Points.
zts1770e	Your Grav Points reduce by %s each time you perform a basic attack.
zts1771e	Your Anti-Grav Points reduce by %s each time you perform a basic attack.
zts1772e	All your gravitation skills are unavailable.
zts1773e	All your anti-gravitation skills are unavailable.
zts1774e	Grav Points are reduced by %s.
zts1775e	Anti-Grav Points are reduced by %s.
zts1778e	If %s is already active, %s is triggered.
zts1779e	The equipped fairy's element increases by %s if %s is active.
zts1780e	You lose %s Fuel Points and inflict %s to the target.
zts1781e	You lose %s%% of your max. MP and receive %s Fuel Points.
zts1782e	If the High Heating effect is active, enemies from %s spaces around the target are pulled together in one place.
zts1786e	The Holy Energy bar is filled by %s%%.
zts1787e	The Holy Energy bar is emptied by %s%%.
zts1788e	Regenerates %s%% of the caster's max. HP as HP.
zts1789e	Regenerates %s%% of the caster's max. HP as HP. This effect does not affect the caster.
zts1790e	The damage of ultimate skills is increased by %s%%.
zts1792e	If the target has less than %s%% HP, your Holy Energy bar fills by %s%%.
zts1793e	Every second, allies within %s spaces are granted the buff %s.
zts1794e	All opponents within %s space(s) take %s damage every 1.5 seconds.
zts1795e	All opponents within %s space(s) suffer %s every 1.5 seconds.
zts1796e	Allies within %s space(s) suffer [%s] every 1.5 seconds.
zts1797e	If the target has less than %s%% HP, your Holy Energy bar fills by %s%% (does not apply to NosMates).
zts1799e	There is a 100%% chance for monsters to get [%s] and players [%s].
zts1801e	All of your specialist's skill points are increased by %s.
zts1804e	The pet gains %s%% more training experience.
zts1805e	When extracting the essence from %s-star pets (or lower), there's a %s%% chance to get an additional essence.
zts1807e	The Pet Trainer specialist gains %s%% more experience.
zts1810e	Tames %s-star pets with a %s%% chance.
zts1811e	There's a %s%% chance to get an additional essence when extracting the essence from %s-star pets.
