zts1e	Zorro pequeño
zts5240e	Yertirán peculiar
zts5241e	Soldado de vacaciones
zts5242e	Comerciante
zts5243e	Alquimista del patio
zts5244e	Alquimista errante
zts5245e	Ragnar, guerrero óseo
zts5246e	Dragón de huesos mágico (para personajes masculinos)
zts5247e	Dragón de huesos mágico (para personajes femeninos)
zts5248e	Sir Ronroneo
zts5249e	Zarpazo, el candidato demoníaco
zts5250e	Demente Dr. Maullido
zts5251e	Dr. Maullido
zts5252e	Laurena, bruja blanca furiosa
zts5253e	Baúl enigmático del demente Dr. Maullido
zts5254e	Caja de provisiones de las catacumbas
zts5255e	Caja de provisiones de las catacumbas brillante
zts5256e	Demente Dr. Maullido
zts5257e	Trabajador del Banco Cuarry
zts5258e	Conejito ratero ágil
zts5259e	Jaguar mágico (h)
zts5260e	Jaguar mágico (f)
zts5261e	Ayudante de equipamiento
zts5263e	Novia^fantasma^Buumiau
zts5264e	Novio^fantasma^Buumiau
zts5265e	Puño del dragón
zts5266e	Mecanigato
zts5267e	Minidemonio de fuego
zts5268e	Diablillo alasnegras
zts5269e	Reno de nariz roja
zts5270e	Flor de loto
zts5271e	Trineo mágico (m)
zts5272e	Trineo mágico (f)
zts5273e	Trineo con reno de nariz roja (m)
zts5274e	Trineo con reno de nariz roja (f)
zts5275e	Artes Místicas
zts5276e	Artes Místicas (oculto)
zts5277e	Oso^polar^Gruñidos
zts5278e	Amora
zts5279e	Oficial^Chris^muerto^en^combate
zts5280e	Amora^sin^alas
zts5281e	Espadachín^de^los^espíritus^sospechoso
zts5282e	Ardilla de la suerte
zts5283e	Superardilla de la suerte
zts5284e	Cordero^amarillo
zts5285e	Oveja^amarilla
zts5286e	Nube dorada
zts5287e	Conejo^de^Pascua^enloquecido
zts5288e	Bomba^de^huevos^loca
zts5289e	Bomba Eggy
zts5290e	Bomba^de^huevos^putrefacta
zts5291e	Lobo^rojo^joven
zts5292e	Lobo^rojo
zts5293e	Lobo^rojo^anciano
zts5294e	Maestro^Lobo
zts5295e	Piñata burrito mágica (m)
zts5296e	Piñata burrito mágica (f)
zts5297e	Pegaso^arcoiris
zts5298e	Bruja^de^hielo^pequeña
zts5299e	Nutria
zts5300e	Fantasma^del^guerrero^demoníaco
zts5301e	Meteoro^(tipo^I)
zts5302e	Meteoro^(tipo^II)
zts5303e	Meteoro^congelado
zts5304e	Acuántropo
zts5305e	Sirena
zts5306e	Osobúho
zts5307e	Picaña
zts5308e	Trasgo^patata
zts5309e	Murciegusano^chillón
zts5310e	Redivivo
zts5311e	Gul
zts5312e	Soldado^esqueleto
zts5313e	Trasgo^corrupto
zts5314e	Elfo^oscuro^corrupto
zts5315e	Espíritu^guardián
zts5316e	Espíritu^del^bosque
zts5317e	Pudin
zts5318e	Hada^musgosa
zts5319e	Gólem^de^roca
zts5320e	Bestia^demoníaca
zts5321e	Satyro
zts5322e	Satyro^alado
zts5323e	Escorpión^ojorrojo
zts5324e	Momia^putrefacta
zts5325e	Trol^infectado
zts5326e	Guerrero^trol
zts5327e	Hechicera^sombría
zts5328e	Mago^de^Belial
zts5329e	Bruja^de^Belial
zts5330e	Caballero^sombrío^de^Belial
zts5331e	Kirollas,^rey^de^los^espíritus^corrupto
zts5332e	Carno,^rey^de^las^bestias^corrupto
zts5333e	Belial,^dios^demoníaco
zts5334e	Caudillo^Totator
zts5335e	Guardia^real^orco
zts5336e	Asesino^real^orco
zts5337e	Arquero^real^orco
zts5338e	Espadachín^real^orco
zts5339e	Maga^real^orca
zts5340e	Obelisco^del^fuego
zts5341e	Obelisco^del^terror
zts5342e	Carno,^rey^de^las^bestias^corrupto^(en^reposo)
zts5343e	Avatar^de^Carno,^rey^de^las^bestias
zts5344e	Avatar^de^Kirollas,^rey^de^los^espíritus
zts5345e	Acuántropo^grande
zts5346e	Obelisco^de^la^luz
zts5347e	Taita
zts5348e	Datius
zts5349e	Cottari
zts5350e	Asgot
zts5351e	Guardia^orco
zts5352e	Guardia^orca
zts5353e	Lipaga
zts5354e	Tatika
zts5355e	Manzana^dulce
zts5356e	Vid^con^bayas^de^acantilado
zts5357e	Altar^primitivo
zts5358e	Pedazo^de^madera^azul
zts5359e	Altar^del^rey^fantasma
zts5360e	Cofre^de^peces^del^pescador
zts5361e	Muñeco^de^tiburón
zts5362e	Estatua^de^piedra^extraña
zts5363e	Sahumador^extraño
zts5364e	Símbolo^del^mal
zts5365e	Símbolo^de^la^ira
zts5366e	Símbolo^de^la^codicia
zts5367e	Cofre^de^armas
zts5368e	Aparato^de^pesca^roto
zts5369e	Carro^roto
zts5370e	Cadáver^de^Logtas
zts5371e	Proga
zts5372e	Perquichán
zts5373e	Itura
zts5374e	Taritus
zts5375e	Rigtas
zts5376e	Mujer^de^Logtas
zts5377e	Kantrok
zts5378e	Kuyantrok
zts5379e	Mortas
zts5380e	Churigo
zts5381e	Liatiz
zts5382e	Thrull
zts5383e	Ciudadana^orca
zts5384e	Ciudadano^orco
zts5385e	Granjero^orco
zts5386e	Granjera^orca
zts5387e	Logota
zts5388e	Orco^raptado
zts5389e	Orca^raptada
zts5390e	Aprendiz^de^guardia
zts5391e	Aprendiz^de^guardia
zts5392e	Tulito
zts5393e	Rocha
zts5394e	Guardia^orco^herido
zts5395e	Guardia^orca^herida
zts5396e	Comerciante^Ben
zts5397e	Cazatesoros^Orus
zts5398e	Cazatesoros^Irus
zts5399e	Lisuquir
zts5400e	Elfo^oscuro^belicista
zts5401e	Guardián^del^rey^fantasma
zts5402e	Bestia^demoníaca^del^dragón
zts5403e	Osobúho^del^rey^de^las^bestias
zts5404e	Acuántropo^pequeño
zts5405e	Osobúho^demente
zts5406e	Escorpión^ojorrojo^grande
zts5407e	Embajador^del^rey^de^los^espíritus
zts5408e	Gólem^inestable
zts5409e	Picaña^dócil
zts5410e	Capitán^de^los^caballeros^sombríos
zts5415e	Árbol^con^manzanas^dulces
zts5416e	Gólem^dañado
zts5417e	Caudillo^orco^corrupto
zts5418e	Brujo^de^Belial
zts5419e	Reina^bruja^de^Belial
zts5420e	Caballero^acorazado^de^Belial
zts5421e	Lancero^orco^corrupto
zts5422e	Arquero^orco^corrupto
zts5423e	Guerrero^orco^corrupto
zts5424e	Asesino^orco^corrupto
zts5425e	Mago^orco^corrupto
zts5426e	Picaña^dócil
zts5427e	Irukur
zts5428e	Ardilla toro de Año Nuevo
zts5429e	Minino^Ratoncito
zts5430e	Entrenador samurai de mascotas
zts5431e	Espantapájaros ardilla
zts5432e	Tortugacóptero (m)
zts5433e	Tortugacóptero (f)
zts5434e	Lobo de hielo
zts5435e	Lobo de escarcha
zts5436e	Lobo de tormenta de nieve
zts5437e	Trasgo^iracundo
zts5439e	Gólem^demoníaco
zts5440e	Osobúho^corrupto
zts5441e	Mantis^iracunda
zts5442e	Árbol^zombi^corrupto
zts5446e	Gólem^de^fuego^infernal
zts5447e	Gigante^de^arena^iracundo
zts5448e	Destructor^diabólico
zts5449e	Gigante^de^fuego^iracundo
zts5452e	Guerrero^trol^corrupto
zts5461e	Caballero^de^Paimon
zts5462e	Capitán^de^avanzada^de^Paimon
zts5464e	Momia^hedionda
zts5467e	Elfo^oscuro^iracundo
zts5469e	Arquero^cadavérico^de^fuego^infernal
zts5470e	Guardián^corrupto
zts5471e	Sirena^corrupta
zts5473e	Mago^angelical^corrupto
zts5474e	Maga^de^las^tinieblas^corrupta
zts5475e	Tirador^de^Paimon
zts5476e	Mago^de^Paimon
zts5478e	Reina^bruja^de^Paimon
zts5479e	Jelly^oscuro^gigantesco
zts5480e	Gusano^de^hielo^corrupto
zts5481e	Rey^cangrejo^del^abismo
zts5482e	Diablillo^de^llamas
zts5484e	Satyros^de^llamas
zts5485e	Rompefortalezas^demoníaco
zts5486e	Caballero^sombrío^de^élite
zts5487e	Clon^del^rey^de^las^bestias
zts5488e	Lobo^rojo^demoníaco
zts5489e	Yeti^iracundo
zts5490e	Yeti^inmortal
zts5491e	Lobo^azul^demoníaco
zts5493e	Rozhanik^sellado
zts5494e	Ester^sellado
zts5495e	Lazekiel^sellado
zts5496e	Zelote^sellado
zts5497e	Satyros^de^Paimon
zts5498e	Bersérker^de^Paimon
zts5500e	Espectro^del^rey^de^las^bestias^corrupto
zts5503e	Capitán^de^ladrones
zts5504e	Avatar^del^rey^de^los^espíritus
zts5505e	Tótem^de^la^luz
zts5506e	Espíritu^del^bosque^de^la^Torre^Celestial
zts5507e	Avatar^del^rey^de^las^bestias
zts5508e	Osobúho^de^la^Torre^Celestial
zts5509e	Pudin^musgoso^de^la^Torre^Celestial
zts5510e	Mantis^infernal
zts5511e	Ladrón^malvado
zts5512e	Gigante^de^arena^guardián
zts5513e	Guardián^de^la^aguja
zts5514e	Esqueleto^débil
zts5515e	Nigromante
zts5516e	Invocamomias
zts5517e	Aprendiz^de^mago^de^Paimon
zts5518e	Pudin^musgoso^explosivo
zts5519e	Trasgo^cazarrecompensas
zts5520e	Redivivo^de^la^Torre^Celestial
zts5521e	Bestia^infernal^brutal
zts5522e	Caballero^de^la^muerte
zts5523e	Arquero^orco^iracundo
zts5524e	Satyros^mejorado
zts5525e	Gul^putrefacto
zts5526e	Maestro^mago
zts5527e	Espíritu^del^bosque^iracundo
zts5528e	Maestro^nigromante
zts5529e	Invocador^de^gusano^bombardero
zts5530e	Satyros^demoníaco
zts5531e	Momia^bombardera^pequeña
zts5532e	Momia^bombardera^rompefortalezas
zts5533e	Espíritu^musgoso^asesino
zts5534e	Invocamonstruos
zts5535e	Arquero^sombrío^rompefortalezas
zts5536e	Gólem^de^roca^demoníaco
zts5537e	Espíritu^destructor
zts5538e	Asesino^de^Paimon
zts5539e	Yeti^mejorado
zts5540e	Espíritu^del^bosque^corrupto
zts5541e	Gusano^suicida
zts5542e	Espíritu^de^la^arena^inquieto
zts5543e	Espíritu^de^la^arena^gigante^inquieto
zts5544e	Arquero^angelical^corrupto
zts5545e	Bestia^demoníaca
zts5546e	Bestia^infernal^de^Paimon
zts5547e	Guardián^sellado
zts5548e	Misticaron^sellado
zts5549e	Caballero^místico^sellado
zts5550e	Arcángel^sellado
zts5551e	Satyro^alado^de^Paimon
zts5552e	Adicto^al^maná
zts5553e	Líder^de^tropas^de^Paimon
zts5554e	Cruzado^demente
zts5555e	Meteoro^de^Paimon
zts5556e	Espectro^del^rey^de^los^espíritus^corrupto
zts5557e	Espectro^de^Belial
zts5558e	Muerte lancera
zts5559e	Pegaso^iracundo
zts5560e	Cuchilla^espinosa^infernal
zts5561e	Ilusión^del^rey^de^los^espíritus
zts5562e	Ilusión^del^rey^de^las^bestias
zts5563e	Soldado^esqueleto^de^Paimon
zts5564e	Basilisco^infernal
zts5565e	Predador^infernal
zts5566e	Cazador^desagradable
zts5567e	Guardián^de^tormenta^de^arena
zts5568e	Paimon,^soberano^maligno
zts5569e	Elfo^oscuro^de^la^Torre^Celestial
zts5570e	Demonio^de^fuego^volador^de^Paimon
zts5571e	Glacerus^de^Paimon
zts5572e	Dark^Castra^de^Paimon
zts5573e	Arcángel^corrupto
zts5574e	Grieta^celestial
zts5575e	Bomba hecha a mano
zts5576e	Caballero^sombrío^de^élite^mejorado
zts5577e	Líder^de^los^caballeros^sombríos^de^élite
zts5578e	Pudin
zts5579e	Pudin^dorado
zts5580e	Paladín gecko
zts5581e	Arku,^Acuántropo^hechicero
zts5582e	Diablillo^cruel
zts5583e	Diablillo^cruel^pequeño
zts5584e	Satyro^cruel
zts5585e	Satyro^cruel^alado
zts5586e	Satyro^gigante
zts5587e	Gólem^de^cieno^de^Arkus
zts5588e	Esqueleto^de^Arkus
zts5589e	Pescador^Walter
zts5590e	Pescador^Winni
zts5591e	Gul^de^Arkus
zts5592e	Arkus,^arquero^calavera
zts5593e	Toro de rodeo (m)
zts5594e	Toro de rodeo (f)
zts5595e	Magimochuelo
zts5596e	Hámster de tinieblas
zts5597e	Hámster nocturno
zts5598e	Ira de roedor
zts5599e	Chef^Terry
zts5600e	Lechuga^gigante
zts5601e	Tomate^gigante
zts5602e	Cebolla^gigante
zts5603e	Mango^gigante
zts5604e	Diablillo^horripilante
zts5605e	Zorro albar
zts5606e	Araña^espiritual
zts5607e	Trampa^para^osos
zts5608e	Leopardo^flamígero
zts5609e	Lobo^solar
zts5610e	Espíritu^de^druida^flamígero
zts5611e	Espíritu^de^sacerdote^vudú
zts5612e	Espíritu^de^hachero^de^la^cascada
zts5613e	Espíritu^de^cazasoles
zts5614e	Alma^de^druida^flamígero
zts5615e	Alma^de^sacerdote^vudú
zts5616e	Alma^de^hachero^de^la^cascada
zts5617e	Alma^de^cazasoles
zts5618e	Paimon^descansando
zts5619e	Espíritu^de^sacerdote^vudú
zts5620e	Espíritu^de^hachero^de^la^cascada
zts5621e	Araña^espiritual
zts5622e	Paimon^resucitado
zts5623e	Espectro^de^Belial^(débil)
zts5624e	Espíritu^de^lobo^solar
zts5625e	Alma^de^lobo^solar
zts5626e	Alma^de^druida^flamígero
zts5627e	Alma^de^cazasoles
zts5628e	Alma^de^lobo^solar
zts5629e	Dino^bebé^Velutzi
zts5630e	Reina^de^las^abejas^mansa
zts5631e	Canguro^del^14.º^aniversario^(m)
zts5632e	Canguro^del^14.º^aniversario^(f)
zts5633e	Canguro^boxeador^del^14.º^aniversario^(m)
zts5634e	Canguro^boxeador^del^14.º^aniversario^(f)
zts5635e	Ejecutor^dragón^de^niebla
zts5636e	Saqueador^de^tumbas^maldito
zts5637e	Portal^del^Nido^Celestial
zts5638e	Cristal^de^dragón
zts5639e	Aliento^de^dragón
zts5640e	Dragón^de^hielo^Alzanor
zts5641e	Guardia^dragoniano
zts5642e	Dragoniano
zts5643e	Cría^de^abeja^dragón
zts5644e	Ain
zts5645e	Alcalde^César
zts5646e	Capitán^Enrico
zts5647e	Intendente^Marto
zts5648e	Presidente^Alesio
zts5649e	Ranchera^Emily
zts5650e	Supervisor^de^transporte^Pavio
zts5651e	Recluta^desaparecido
zts5652e	Alquimista^dragoniano
zts5653e	Soldado^Drakov
zts5654e	Abeja^dragón
zts5655e	Abeja^dragón^malvada
zts5656e	Grifo
zts5657e	Grifo^de^las^tinieblas
zts5658e	Dragón^azul^pequeño
zts5659e	Dragón^azul
zts5660e	Dragón^rojo^pequeño
zts5661e	Dragón^rojo
zts5662e	Dragón^colamartillo
zts5663e	Dragón^colamartillo^gigante
zts5664e	Golem^de^hielo^ancestral
zts5665e	Muñeco^de^nieve
zts5666e	Muñeco^de^nieve^de^Bosque^Umbrío
zts5667e	Ciervo^de^hielo
zts5668e	Ciervo^de^hielo^ancestral
zts5669e	Hijo^de^Alzanor
zts5670e	Arquero^fúngico
zts5671e	Espadachín^fúngico
zts5672e	Mago^fúngico
zts5673e	Arquero^fúngico^gigante
zts5674e	Espadachín^fúngico^gigante
zts5675e	Mago^fúngico^gigante
zts5676e	Gremlin
zts5677e	Gremlin^malvado
zts5678e	Arpía^dragón
zts5679e	Arpía^saqueadora
zts5680e	Libélula^carroñera
zts5681e	Triceratops^malvado
zts5682e	Cría^de^triceratops
zts5683e	Triceratops
zts5684e	Oso^tiburón
zts5685e	Oso^tiburón^gigante
zts5686e	Lancero^del^nido^de^dragón
zts5687e	Tirador^de^nido^de^dragón
zts5688e	Mago^del^nido^de^dragón
zts5689e	Huevo^de^dragón
zts5690e	Dragón^de^lava
zts5691e	Dragón^de^lava^gigante
zts5692e	Ain^(en^la^Cima^del^Krem)
zts5693e	Grifo^entrenado
zts5694e	Dragón^de^lava^entrenado
zts5695e	Cazadragones^descompuesto
zts5696e	Zombi^cazadragones
zts5697e	Mano^de^no^muerto
zts5698e	Mano^hinchada^de^no^muerto
zts5699e	Saqueador^de^tumbas^de^dragón
zts5700e	Capitán^Drakov
zts5701e	Bemos,^líder^de^los^Drakov
zts5702e	Aros,^líder^de^los^Drakov
zts5703e	Dragoniano^extraño
zts5704e	Dragón^zombi^Valehir
zts5705e	Lord^dragón^Asgobas
zts5706e	Avatar^de^Alzanor
zts5707e	Avatar^de^Valehir
zts5708e	Ciervo^fantasmal^helado
zts5709e	Muñeco^de^nieve^helado
zts5710e	Golem^de^hielo^de^Alzanor
zts5711e	Descargador^de^hielo
zts5712e	Libélula^carroñera^gigante
zts5713e	Dragón^de^lava^del^ejército^de^dragones
zts5714e	Dragón^azul^del^ejército^de^dragones
zts5715e	Dragón^celestial^del^ejército^de^dragones
zts5716e	Huevo^de^Asgobas
zts5717e	Cría^de^Asgobas
zts5718e	Mano^de^no^muerto^gigante
zts5719e	Arpía^dragón^del^ejército^de^dragones
zts5720e	Guerrero^centauro^del^ejército^de^dragones
zts5721e	Tirador^centauro^del^ejército^de^dragones
zts5722e	Mago^centauro^del^ejército^de^dragones
zts5723e	Bolita^de^nieve
zts5724e	Dragón^desconocido
zts5725e	Aliento^de^dragón^espeso
zts5726e	Recluta^dragoniano
zts5727e	Soldado^dragoniano
zts5728e	Espadachín^dragoniano
zts5729e	Soldado^dragoniano
zts5730e	Espadachina^dragoniana
zts5731e	Soldado^dragoniano
zts5732e	Soldado^dragoniano^herido
zts5735e	Dragón^no^muerto^mágico
zts5736e	Dragón^de^hielo^mágico
zts5737e	Dragón^celestial^bebé
zts5738e	Tigre^blanco^mágico^de^Año^Nuevo
zts5739e	Tigre^de^Año^Nuevo
zts5740e	Koala^dormilón
zts5741e	Bolita^de^nieve^blanda
zts5742e	Dragón^dorado
zts5743e	Dragón^no^muerto^sagrado
zts5744e	Asgobas^herido
zts5745e	Asgobas^recuperado
zts5746e	Portal^hacia^el^Reino^de^los^Vivos
zts5747e	Arquero^fúngico^dorado^(experimentado)
zts5748e	Espadachín^fúngico^dorado^(experimentado)
zts5749e	Mago^fúngico^rojo^(experimentado)
zts5750e	Arquero^fúngico^gigante^dorado^(experimentado)
zts5751e	Espadachín^fúngico^gigante^dorado^(experimentado)
zts5752e	Mago^fúngico^gigante^rojo^(experimentado)
zts5753e	Grifo^dorado^(experimentado)
zts5754e	Grifo^dorado^sagrado^(experimentado)
zts5755e	Arpía^dragón^oscura^(experimentado)
zts5756e	Ciervo^fantasmal^glacial^(experimentado)
zts5757e	Tirador^centauro^del^ejército^de^dragones^dorados^(experimentado)
zts5758e	Guerrero^centauro^del^ejército^de^dragones^rojos^(experimentado)
zts5759e	Dragón^dorado^(experimentado)
zts5760e	Dragón^no^muerto^sagrado^(experimentado)
zts5761e	Arquero^fúngico^dorado
zts5762e	Espadachín^fúngico^dorado
zts5763e	Mago^fúngico^rojo
zts5764e	Tirador^centauro^del^ejército^de^dragones^dorados
zts5765e	Guerrero^centauro^del^ejército^de^dragones^rojos
zts5766e	Grifo^dorado
zts5767e	Arpía^dragón^oscura
zts5768e	Ciervo^fantasmal^glacial
zts5769e	Arquero^fúngico^gigante^dorado
zts5770e	Espadachín^fúngico^gigante^dorado
zts5771e	Mago^fúngico^gigante^rojo
zts5772e	Grifo^dorado^sagrado
zts5773e	Altar^sagrado
zts5774e	Altar^ilusorio
zts5776e	Carruaje^de^conejito^noble^(m)
zts5777e	Carruaje^de^conejito^noble^(f)
zts5778e	Pajaromapache^manso
zts5779e	Guardián^débil
zts5780e	Guardián^fuerte
zts5781e	Bebé^panda
zts5782e	Granada gravitatoria
zts5783e	Niebla^interminable^de^Valehir
zts5784e	Shania
zts5785e	Gail
zts5786e	Aldo
zts5787e	Shania^Caballera^Draconiana
zts5788e	Gail^Granadero
zts5789e	Aldo^Puño^Hidráulico
zts5790e	Ain^Grávitas
zts5791e	Caballero^Draconiano^agotado
zts5792e	Granadero^agotado
zts5793e	Puño^hidráulico^agotado
zts5794e	Columna^de^cristal^oscuro^sospechosa
zts5795e	Asgobas^débil
zts5796e	Dragón^colamartillo^mejorado
zts5797e	Hijo^de^Alzanor^(mejorado)
zts5798e	Gremlin^malvado^mejorado
zts5799e	Triceratops^mejorado
zts5800e	Cría^de^triceratops^mejorada
zts5801e	Oso^tiburón^mejorado
zts5802e	Oso^tiburón^gigante^mejorado
zts5803e	Grifo^de^las^tinieblas^mejorado
zts5804e	Avatar^de^Valehir^(mejorado)
zts5805e	Dragón^de^hielo^gigante^mejorado
zts5806e	Arquero^fúngico^mejorado
zts5807e	Espadachín^fúngico^mejorado
zts5808e	Mago^fúngico^mejorado
zts5809e	Arquero^fúngico^gigante^mejorado
zts5810e	Espadachín^fúngico^gigante^mejorado
zts5811e	Mago^fúngico^gigante^mejorado
zts5812e	Arpía^saqueadora^mejorada
zts5813e	Guardia^draconiano^rojo
zts5814e	Guardia^draconiano^celestial
zts5815e	Guardia^draconiano^magmático
zts5816e	Cría^de^Asgobas^(mejorada)
zts5818e	Par
zts5819e	Pur
zts5820e	Pir
zts5821e	Liebre^de^Año^Nuevo
zts5822e	Liebre^azabache
zts5823e	Hongo^dorado^manso
zts5824e	Tótem^sagrado
zts5825e	Diablillo^horripilante
zts5826e	Oscurablillo
zts5827e	Fantasmablillo
zts5828e	Barepardo^gigante^terrible
zts5829e	Monstruo^de^entrenamiento^débil
zts5830e	Monstruo^de^entrenamiento
zts5831e	Monstruo^de^entrenamiento^fuerte
zts5832e	Entrenadora^de^mascotas^Lucy
zts5833e	Lobo^de^Lucy
zts5834e	Lucy's^White^Tiger
zts5835e	Espadachín^calavera^maldito
zts5836e	Arquero^calavera^maldito
zts5837e	Guerrero^calavera^maldito
zts5838e	Pescado^perseguidor^domesticado
zts5839e	Medusa^domesticada
zts5840e	Musgólem^Poluto
zts5841e	Parte^de^Poluto
zts5842e	Mecacoloso
zts5845e	Mullan^prisionero
zts5846e	Soldado^vigía
zts5847e	Módulo^de^disparo
zts5848e	Módulo^de^resistencia
zts5849e	Módulo^de^carga
zts5850e	Módulo^blindado
zts5851e	Módulo^de^reparación
zts5852e	Robot^con^sensor^de^movimiento
zts5853e	Ingeniero^Mullan
zts5854e	Soldado^Mullan
zts5855e	Tirador^Mullan
zts5856e	Escudero^Mullan
zts5857e	Robot^minero
zts5858e	Robot^obrero
zts5859e	Soldado^mecanizado^tirador
zts5860e	Soldado^mecanizado^lanzallamas
zts5861e	Soldado^mecanizado^ametrallador
zts5862e	Soldado^mecanizado^lanzamisiles
zts5863e	Comandante^de^tropas^mecanizadas
zts5864e	Rata^monstruosa
zts5865e	Rata^monstruosa^gigante
zts5866e	Baba^ósea
zts5867e	Baba^ósea^gigante
zts5868e	Bebé^Viscosaurio
zts5869e	Viscosaurio
zts5870e	Hongólem
zts5871e	Rata^de^cristal
zts5872e	Bebé^Puntiaraña
zts5873e	Puntiaraña
zts5874e	Gusano^pétreo
zts5875e	Gusano^pétreo^gigantesco
zts5876e	Científico^loco
zts5877e	Ingeniero^loco
zts5878e	Ingeniero^lealista
zts5879e	Soldado^lealista
zts5880e	Tirador^lealista
zts5881e	Escudero^lealista
zts5882e	Soldado^mecanizado^tirador^lealista
zts5883e	Soldado^mec.^lanzallamas^lealista
zts5884e	Soldado^mec.^lanzamisiles^lealista
zts5885e	Soldado^mec.^ametrallador^lealista
zts5886e	Comandante^de^tropas^mec.^lealista
zts5887e	Robot^minero^lealista
zts5888e	Robot^obrero^lealista
zts5889e	Soldado^mecanizado^tirador^con^IA
zts5890e	Soldado^mec.^lanzallamas^con^IA
zts5891e	Soldado^mec.^lanzamisiles^con^IA
zts5892e	Soldado^mec.^ametrallador^con^IA
zts5893e	Comandante^de^tropas^mec.^con^IA
zts5894e	Robot^minero^con^IA
zts5895e	Gusano^pétreo^insalubre
zts5896e	Puntiaraña^insalubre
zts5897e	Hongólem^insalubre
zts5898e	Presidente^Biaron^montado
zts5899e	Soldado^mecanizado^tirador^lealista
zts5900e	Soldado^mec.^lanzallamas^lealista
zts5901e	Soldado^mec.^lanzamisiles^lealista
zts5902e	Soldado^mec.^ametrallador^lealista
zts5903e	Comandante^de^tropas^mec.^lealista
zts5904e	Baba^ósea^de^las^cavernas
zts5905e	Viscosaurio^de^las^cavernas
zts5906e	Hongólem^de^las^cavernas
zts5907e	Rata^gigante^de^las^cavernas
zts5908e	Musgólem^Poluto
zts5909e	Baba^ósea^del^Musgólem
zts5910e	Viscosaurio^del^Musgólem
zts5911e	Soldado^mecanizado^tirador^con^IA
zts5912e	Soldado^mec.^lanzallamas^con^IA
zts5913e	Soldado^mec.^lanzamisiles^con^IA
zts5914e	Soldado^mec.^ametrallador^con^IA
zts5915e	Mecacoloso^pequeño
zts5916e	Presidente^Biaron
zts5917e	Tieclo
zts5918e	Mullang
zts5919e	IA^asistente^Allos
zts5920e	Instructor^militar^Mullan
zts5921e	Gte.^central^de^Ciudad^Subterránea
zts5922e	Inventor^de^la^Ciudad^Subterránea
zts5923e	Ingeniero^de^la^Ciudad^Subterránea
zts5924e	Cocinera^de^la^Ciudad^Subterránea
zts5925e	Gestor^de^familia^de^la^Ciudad^Subterránea
zts5926e	Ferroviario^de^Ciudad^Subterránea
zts5927e	Joyero^de^la^Ciudad^Subterránea
zts5928e	Vigía^ballestero
zts5929e	Capitán
zts5930e	Vigía^koareniano
zts5931e	Arquero^koareniano
zts5932e	Oficial^koareniano
zts5934e	Soldado^rebelde
zts5935e	Tirador^rebelde
zts5936e	Escudero^rebelde
zts5937e	Ingeniero^rebelde
zts5938e	Pastelito^de^chocolate^por^el^16.º^aniversario
zts5939e	Pastelito^arcoíris^por^el^16.º^aniversario
zts5940e	Mecacoloso
zts5941e	Vigía^de^la^Ciudad^Subterránea
zts5942e	Vigía^mecanizado^de^la^Ciudad^Subterránea
zts5943e	Cabeza^de^muñeco^de^nieve^dócil
zts5944e	Rata^de^cristal^domesticada
zts5945e	Parte^de^Poluto
zts5946e	Gerente^del^NosBazar^de^la^Ciudad^Subterránea
zts5947e	Lugareño^Mullan
zts5948e	Noble^Mullan
zts5949e	Maestro^armero^de^la^Ciudad^Subterránea
