zts1e	Nuovo item
zts18964e	Con questo puoi ottenere il seguente effetto.[n][Effetto][n]Incrementa gli MP di 6.000.[n][Attenzione][n]Si può utilizzare solamente a partire dal livello eroe 48.[n]
zts18965e	Strategia di difesa di Cavaliere di Lord Cuarry (2)
zts18966e	Con questo puoi ottenere il seguente effetto.[n][Effetto][n]Incrementa la forza di difesa globale di 50.[n][Attenzione][n]Si può utilizzare solamente a partire dal livello eroe 38.[n]
zts18967e	Strategia di attacco di Cavaliere di Lord Cuarry (2)
zts18968e	Con questo puoi ottenere il seguente effetto.[n][Effetto][n]Incrementa la forza di attacco globale di 50.[n][Attenzione][n]Si può utilizzare solamente a partire dal livello eroe 38.[n]
zts18969e	Zenas (fuoco)
zts18970e	Questa fata possiede la forza sigillata della dea Zenas.[n]L'energia elementale della fata infligge danni aggiuntivi.[n]La fata può disporre di effetti.[n]
zts18971e	Zenas (acqua)
zts18972e	Zenas (luce)
zts18973e	Zenas (Oscurità)
zts18974e	Erenia (fuoco)
zts18975e	Questa fata possiede la forza sigillata della dea Erenia.[n]L'energia elementale della fata infligge danni aggiuntivi.[n]La fata può disporre di effetti.[n]
zts18976e	Erenia (acqua)
zts18977e	Erenia (luce)
zts18978e	Erenia (Oscurità)
zts18979e	Fernon (fuoco)
zts18980e	Questa fata possiede la forza sigillata di Fernon incompleta.[n]L'energia elementale della fata infligge danni aggiuntivi.[n]La fata può disporre di effetti.[n]
zts18981e	Fernon (acqua)
zts18982e	Fernon (luce)
zts18983e	Fernon (Oscurità)
zts18984e	Scrigno del tesoro di Ancelloan, la creatrice
zts18985e	Scrigno del tesoro di Ancelloan, la creatrice.[n]Puoi ottenerlo soddisfacendo una precisa condizione nel raid "Fernon incompleta".[n]
zts18986e	Scrigno del tesoro di Fernon, la distruttrice
zts18987e	Scrigno del tesoro di Fernon, la distruttrice.[n]Puoi ottenerlo soddisfacendo una precisa condizione nel raid "Fernon incompleta".[n]
zts18988e	Collana di Laurena
zts18989e	La collana di Laurena, la strega bianca.[n]
zts18990e	Anello di Laurena
zts18991e	L'anello di Laurena, la strega bianca.[n]
zts18992e	Bracciale di Laurena
zts18993e	Il bracciale di Laurena, la strega bianca.[n]
zts18994e	Guanti di Fernon
zts18995e	Questi guanti racchiudono il potere della dea madre.[n]
zts18996e	Scarpe di Fernon
zts18997e	Queste scarpe racchiudono il potere della dea madre.[n]
zts18998e	Maschera di Azrael
zts18999e	Elmo d'acciaio di Share
zts19000e	L'elmo dell'audace Share.[n]
zts19001e	Copricapo in pelle Glacernon
zts19002e	Il cappello dell'anima argentea di Glacernon.[n]
zts19003e	Diadema di Mukraju
zts19004e	Il diadema del Mago Mukraju.[n]
zts19005e	Balestra luccicante di Luminiel
zts19006e	Una balestra creata usando la gemma contenente il potere di Luminiel.[n]Emette scintille e lampi.[n]
zts19007e	Pistola magica di Lorten sotterraneo
zts19008e	Arma di Teramik.[n]Vaporizza della nebbia che causa dei dolori all'avversario.[n]
zts19009e	La lama sinistra del Krem franto
zts19010e	Krem, l'arma di Fernon.[n]In origine si potevano utilizzare sia la metà sinistra che quella destra.[n]Ora, invece, è danneggiata e ne rimane solo una metà.[n]
zts19011e	La lama destra del Krem franto
zts19012e	Ramo illuminato di Seli-Lusha
zts19013e	Il bastone di Ancelloan.[n]In esso sono intessuti il potere della luce e quello dell'oscurità.[n]Quando Ancelloan, la prescelta, usa questo bastone,[n]ella può ricorrere alla sua energia divina.[n]
zts19014e	Ali di Azrael
zts19015e	Azrael, l'angelo che veglia sui neonati e sui morti.[n]Quando morì, il suo potere fu trasferito[n]nelle ali di Fernon.
zts19016e	Un'armatura pesante dell'audace Share
zts19017e	L'armatura pesante di Share.[n]L'eroe cadde in battaglia quando affrontò l'esercito di Morco.[n]
zts19018e	La veste del Mago Mukraju.
zts19019e	La veste preferita del potente mago Mukraju.[n]Dona potere a chi la porta. Proteggiti dal suo potere oscuro![n]
zts19020e	Armatura in pelle dell'anima argentea di Glacernon
zts19021e	L'armatura in pelle della prima anima argentea di Glacernon.[n]Quest'anima ha un'affinità col vento e il mare.[n]
zts19022e	Anello dell'angelo
zts19023e	Anello indossato dagli angeli.[n]
zts19024e	Cronache di Akashic
zts19026e	Cassetta degli attrezzi
zts19027e	Questo scrigno contiene pezzi e attrezzi utilizzabili per fare riparazioni.[n]Puoi ricevere uno dei seguenti oggetti:[n]Vite gigante[n]Ruota dentata[n]Martello[n]Oricalco danneggiato[n]Mattone[n]Acqua raffreddante[n]
zts19028e	Pacchetto scorte dei soldati di Paradiso Mistico
zts19029e	Contiene diversi item per le truppe di Paradiso Mistico.[n]
zts19030e	Pacchetto scorte dei soldati di Hellord
zts19031e	Contiene diversi item per le truppe di Hellord.[n]
zts19032e	Ticket scorte dei soldati di Paradiso Mistico
zts19033e	Ticket scorte dei soldati di Paradiso Mistico.[n]Se ne recuperi una certa quantità e li consegni a Sarakael,[n]puoi ricevere in cambio un Pacchetto scorte dei soldati di Paradiso Mistico.[n]
zts19034e	Ticket scorte dei soldati di Hellord
zts19035e	Ticket scorte dei soldati di Hellord.[n]Se ne recuperi una certa quantità e li consegni a Lilith,[n]puoi ricevere in cambio un Pacchetto scorte dei soldati di Hellord.[n]
zts19036e	Foglietto con preghiera
zts19037e	Su questo foglietto è scritta la preghiera dei crociati.[n]
zts19038e	Rosario
zts19039e	Un accessorio che si usa per pregare.[n]
zts19040e	Testamento macchiato di sangue
zts19041e	Un testamento[n]sporco di sangue.[n]
zts19042e	Un documento stilato da Ancelloan.[n]C'è descritto come sigillare Fernon.[n]
zts19043e	Frammento dello Spazio-tempo
zts19044e	Un frammento che si può ottenere solo all'interno dello Spazio-Tempo.[n]Contiene una piccola quantità di potere dello stesso.[n]
zts19045e	Essenza dello Spazio-tempo
zts19046e	Un'essenza che si può ottenere solo all'interno dello Spazio-Tempo.[n]Contiene il potere dello stesso.[n]
zts19047e	Cristallo del frammento dello Spazio-tempo
zts19048e	Un cristallo che si può ottenere solo all'interno dello Spazio-Tempo.[n]Contiene il potere dello Spazio-tempo.[n]
zts19049e	Carta magica naturale
zts19050e	Sul foglio ci sono dei simboli sconosciuti.[n]
zts19051e	Diario parzialmente rovinato
zts19052e	Il diario di un crociato.[n]La parte centrale è stata strappata.[n]
zts19053e	Pergamena parzialmente rovinata
zts19054e	Una parte della pergamena è stata strappata.[n]
zts19055e	Fusione del costume
zts19056e	Permette di modificare l'aspetto del proprio costume.[n]Per farlo devi registrare il Costume base e il Costume materiale.[n]
zts19057e	Uovo di Zenas la desta
zts19058e	Questo uovo contiene la fata Zenas.[n]La luce ha una forma ovale.[n]Esiste una piccola probabilità di poter attivare la fata.[n]
zts19059e	Uovo di Erenia la desta
zts19060e	Questo uovo contiene la fata Erenia.[n]L'oscurità ha una forma ovale.[n]Esiste una piccola probabilità di poter attivare la fata.[n]
zts19061e	Uovo di Fernon risvegliata
zts19062e	Questo uovo contiene la fata Fernon. L'oscurità e la luce danno forma a questo uovo.[n]Se tutte le condizioni vengono soddisfatte, questa fata si attiva.[n]
zts19063e	Si può utilizzare per dare avvio al raid "Fernon incompleta" in Piazza del Tempio.[n]Livello richiesto: 92-99[n]Numero di giocatori consigliato: 8[n][Istruzioni][n]Il giocatore diventa Leader del team.[n]Una volta che sei Leader del team, clicca sugli altri giocatori per invitarli.[n]Vai all'entrata del raid. Quando il Leader del team entra, gli altri membri lo seguono automaticamente.[n][Attenzione][n]Il lavoro di squadra è la chiave per il successo.[n]Inoltre, le proprietà della Carta speciale sono di fondamentale importanza.[n]
zts19064e	Medaglia di mithril
zts19065e	Medaglia conquistata nell'Arena Combattimenti.[n] Riescono a ottenerla solo i guerrieri più valorosi.[n]
zts19066e	Cappello stiloso da spiaggia (30 giorni)
zts19067e	Cappello da spiaggia per un impeccabile look estivo.[n]La durata si calcola a partire dal momento in cui si utilizza.[n][Effetto][n]Incrementa di 5 la resistenza al fuoco.[n]
zts19068e	Cappello stiloso da spiaggia (permanente)
zts19069e	Cappello da spiaggia per un impeccabile look estivo.[n][Effetto][n]Incrementa di 5 la resistenza al fuoco.[n]
zts19070e	Costume stiloso da spiaggia (30 giorni)
zts19071e	Costume da spiaggia per un impeccabile look estivo.[n]La durata si calcola a partire dal momento in cui si usa.[n][Effetto di difesa][n]Incrementa del 5% la probabilità di Aura stilosa da spiaggia.[n]
zts19072e	Costume stiloso da spiaggia (permanente)
zts19073e	Costume da spiaggia per un impeccabile look estivo.[n][Effetto di difesa][n]Incrementa del 5% la probabilità di Aura stilosa da spiaggia.[n]
zts19074e	Leo il Codardo
zts19075e	Ali di fata
zts19076e	Trasforma le ali del tuo Specialista in Ali di fata.[n][Istruzioni][n]1) Trasformati in uno Specialista.[n]2) Usa questo oggetto per modificare le tue ali.[n][Effetto][n]Dopo l'attacco vi è una probabilità del 3% di resettare il tempo di ricarica dell'abilità di attacco utilizzata.[n]Velocità di movimento +1[n][Attenzione][n]1) Puoi trasformare le ali in Ali di fata solo con una Carta speciale migliorata +1 o maggiore.[n]2) Le ali spariscono se piazzi la tua Carta speciale in un Supporto.[n]
zts19077e	Set Costume stiloso da spiaggia (permanente)
zts19078e	Questo scrigno contiene il Set Costume stiloso da spiaggia.[n]Se lo apri, ottieni i seguenti item:[n]1 Cappello stiloso da spiaggia (permanente)[n]1 Costume stiloso da spiaggia (permanente)[n]
zts19090e	Skin Mazza da baseball. Ti rende un fenomeno sportivo.[n]La durata si calcola a partire dal momento in cui si usa.[n][Effetto][n]Incrementa il danno nel PvP del 2%.[n]
zts19092e	Skin Mazza da baseball. Ti rende un fenomeno sportivo.[n][Effetto][n]Incrementa il danno nel PvP del 2%.[n]
zts19094e	Con questa skin Arco sportivo colpisci sempre il bersaglio in pieno.[n]La durata si calcola a partire dal momento in cui si usa.[n][Effetto][n]Incrementa il danno nel PvP del 2%.[n]
zts19096e	Skin Arco sportivo. Colpisci sempre il bersaglio in pieno.[n][Effetto][n]Incrementa il danno nel PvP del 2%.[n]
zts19098e	Migliora il tuo diritto con questa skin Racchetta da tennis.[n]La durata si calcola a partire dal momento in cui si usa.[n][Effetto][n]Incrementa il danno nel PvP del 2%.[n]
zts19100e	Migliora il tuo diritto con questa skin Racchetta da tennis.[n][Effetto][n]Incrementa il danno nel PvP del 2%.[n]
zts19102e	Risveglia il demonietto che si cela in te con questa skin Racchetta diavoletto.[n]La durata si calcola a partire dal momento in cui si usa.[n][Effetto][n]Incrementa il danno nel PvP del 2%.[n]
zts19104e	Risveglia il demonietto che si cela in te con questa skin Racchetta diavoletto.[n][Effetto][n]Incrementa il danno nel PvP del 2%.[n]
zts19106e	Con questa skin Arco fiore selvatico la prossima battuta di caccia sarà un successo.[n]La durata si calcola a partire dal momento in cui si usa.[n][Effetto][n]Incrementa il danno nel PvP del 2%.[n]
zts19108e	Con questa skin Arco fiore selvatico la prossima battuta di caccia sarà un successo.[n][Effetto][n]Incrementa il danno nel PvP del 2%.[n]
zts19110e	Questa skin Uchiwa farebbe ingelosire qualsiasi geisha.[n]La durata si calcola a partire dal momento in cui si usa.[n][Effetto][n]Incrementa il danno nel PvP del 2%.[n]
zts19112e	Questa skin Uchiwa farebbe ingelosire qualsiasi geisha.[n][Effetto][n]Incrementa il danno nel PvP del 2%.[n]
zts19113e	Trasforma le ali del tuo Specialista in Ali di fata.[n][Istruzioni][n]1) Trasformati in uno Specialista.[n]2) Usa questo oggetto per modificare le tue ali.[n][Effetto][n]Dopo l'attacco vi è una probabilità del 7% di resettare il tempo di ricarica dell'abilità di attacco utilizzata.[n]Velocità di movimento +1[n][Attenzione][n]1) Puoi trasformare le ali in Ali di fata solo con una Carta speciale migliorata +1 o maggiore.[n]2) Le ali spariscono se piazzi la tua Carta speciale in un Supporto.[n]
zts19114e	Scrigno con medaglie di mithril
zts19115e	Lo Scrigno con medaglie di mithril![n]Quando lo apri, otterrai uno di questi splendidi item:[n]1 Ali d'arcangelo[n]1 Ali d'arcidemone[n]1 Ali da titano[n]1 Ali di ghiaccio[n]1 Ali di fuoco[n]99 Pozioni ricostituenti giganti[n]2 Arenabooster (Talenti)[n]1 Rubino del perfezionamento[n]1 Zaffiro del perfezionamento[n]1 Ossidiana del perfezionamento[n]1 Topazio del perfezionamento[n]1 Rubino del perfezionamento piccolo[n]1 Zaffiro del perfezionamento piccolo[n]1 Ossidiana del perfezionamento piccola[n]1 Topazio del perfezionamento piccolo[n]1 Runa del fulmine[n]1 Runa dell'onda[n]1 Runa dei nembi[n]1 Runa del vento[n]1 Runa del fuoco[n]
zts19124e	Skin Mazza da baseball (30 giorni)
zts19125e	Skin Mazza da baseball (permanente)
zts19126e	Skin Arco sportivo (30 giorni)
zts19127e	Skin Arco sportivo (permanente)
zts19128e	Skin Racchetta da tennis (30 giorni)
zts19129e	Skin Racchetta da tennis (permanente)
zts19130e	Skin Racchetta diavoletto (30 giorni)
zts19131e	Skin Racchetta diavoletto (permanente)
zts19132e	Skin Arco fiore selvatico (30 giorni)
zts19133e	Skin Arco fiore selvatico (permanente)
zts19134e	Skin Uchiwa (30 giorni)
zts19135e	Skin Uchiwa (permanente)
zts19138e	Cappello da poliziotto (30 giorni)
zts19139e	Provvedi a mantenere l'ordine e la giustizia con il Cappello da poliziotto.[n]La durata si calcola a partire dal momento in cui si usa.[n][Effetto][n]L'efficacia degli item di recupero incrementa del 5%.[n]
zts19140e	Cappello da poliziotto (permanente)
zts19141e	Provvedi a mantenere l'ordine e la giustizia con il Cappello da poliziotto.[n][Effetto][n]L'efficacia degli item di recupero incrementa del 5%.[n]
zts19142e	Uniforme da poliziotto (30 giorni)
zts19143e	Provvedi a mantenere l'ordine e la giustizia con l'Uniforme da poliziotto.[n]La durata si calcola a partire dal momento in cui si usa.[n][Effetto][n]2% di probabilità di eliminare tutti gli effetti negativi sotto il livello 4.[n]
zts19144e	Uniforme da poliziotto (permanente)
zts19145e	Provvedi a mantenere l'ordine e la giustizia con l'Uniforme da poliziotto.[n][Effetto][n]2% di probabilità di eliminare tutti gli effetti negativi sotto il livello 4.[n]
zts19146e	Set Uniforme da poliziotto (permanente)
zts19147e	Questo set contiene l'outfit da poliziotto completo.[n]Il set è composto da:[n]1 Cappello da poliziotto (permanente)[n]1 Uniforme da poliziotto (permanente)[n]
zts19162e	Cappello da portiere (30 giorni)
zts19163e	Con questo Cappello da portiere stupirai i tuoi ospiti.[n]La durata si calcola a partire dal momento in cui si usa.[n][Effetto][n]Incrementa l'Elemento fuoco di 5.[n]
zts19164e	Cappello da portiere (permanente)
zts19165e	Con questo Cappello da portiere stupirai i tuoi ospiti.[n][Effetto][n]Incrementa l'Elemento fuoco di 5.[n]
zts19166e	Uniforme da portiere (30 giorni)
zts19167e	Con questa Uniforme da portiere stupirai i tuoi ospiti.[n]La durata si calcola a partire dal momento in cui si usa.[n][Effetto][n]L'efficacia degli item di recupero incrementa del 10%.[n]Incrementa la velocità di movimento di 1.[n]
zts19168e	Uniforme da portiere (permanente)
zts19169e	Con questa Uniforme da portiere stupirai i tuoi ospiti.[n][Effetto][n]L'efficacia degli item di recupero incrementa del 10%.[n]Incrementa la velocità di movimento di 1.[n]
zts19170e	Set Uniforme da portiere (permanente)
zts19171e	Questo set contiene l'intero outfit da portiere.[n]Il set è composto da:[n]1 Cappello da portiere (permanente)[n]1 Uniforme da portiere (permanente)[n]
zts19208e	Ti permette di modificare l'aspetto del costume.[n]La fusione funziona solo con i costumi permanenti della stessa classe (limitato con limitato, uomo con uomo, donna con donna, unisex con unisex). Si possono modificare solo i costumi legati ai personaggi. La fusione costa 1 milione di unità di oro.[n]
zts19209e	Permette di modificare l'aspetto del proprio costume.[n]Per farlo devi registrare il Costume base e il Costume materiale.[n][Attenzione][n]1. I costumi con durata limitata non possono essere modificati.[n]2. Possono essere modificati, una sola volta, solo i costumi legati ai personaggi.[n]3. Il Costume materiale scomparirà.[n]4. Tramite il [Reset della fusione del costume] puoi annullare la modifica.[n]5. Le opzioni del Costume materiale non vengono applicate al Costume base.[n]
zts19210e	Elmo da vichingo (30 giorni)
zts19211e	Con questo Elmo da vichingo avrai gli dei dalla tua parte.[n]La durata si calcola a partire dal momento in cui si utilizza.[n][Effetto][n]Incrementa di 10 la resistenza all'acqua.[n]
zts19212e	Elmo da vichingo (permanente)
zts19213e	Con questo Elmo da vichingo avrai gli dei dalla tua parte.[n][Effetto][n]Incrementa di 10 la resistenza all'acqua.[n]
zts19214e	Armatura da vichingo (30 giorni)
zts19215e	Non appena vedranno la tua armatura da vichingo, i tuoi nemici inizieranno a tremare.[n]La durata si calcola a partire dal momento di utilizzo.[n][Effetto][n]Ricevi "Benedizione di Odino".[n]Aumenta la velocità di movimento di 1.[n]
zts19216e	Armatura da vichingo (permanente)
zts19217e	Non appena vedranno la tua armatura da vichingo, i tuoi nemici inizieranno a tremare.[n][Effetto][n]Ricevi "Benedizione di Odino".[n]Aumenta la velocità di movimento di 1.[n]
zts19218e	Set costume Vichingo (permanente)
zts19219e	Con questo set costume diventerai un vichingo.[n][Oggetti:][n]1 Elmo da vichingo (permanente)[n]1 Armatura da vichingo (permanente)[n]
zts19250e	Chiave di Frigg
zts19251e	Con questa chiave puoi far diventare Frigg la tua compagna.[n]
zts19252e	Chiave di Ragnar
zts19253e	Con questa chiave puoi far diventare Ragnar il tuo compagno.[n]
zts19262e	Bacchetta da rabdomante antica
zts19263e	Vai in un luogo nascosto.[n][Utilizzo][n]La bacchetta individua un luogo in cui il respiro di Fafnir non ti può ferire.[n][n][Istruzioni][n]1) Vai nella zona sicura nascosta.[n]2) Utilizza la Bacchetta da rabdomante.[n]3) Se compare un punto interrogativo, muoviti un po' intorno e utilizza di nuovo la bacchetta.[n]4) Quando compare una freccia, muoviti nella direzione indicata e utilizza un'altra volta la Bacchetta da rabdomante.[n]
zts19264e	Una fetta di muco
zts19265e	Una fetta di muco.[n]Pare che abbia un effetto positivo sugli umani.[n]
zts19266e	Maschera familiare
zts19267e	Una maschera che ti sembra di aver già visto.[n]
zts19268e	Chiave spezzata
zts19269e	Un pezzo di una chiave spezzata.[n]
zts19270e	Respiro di drago
zts19271e	L'energia incontenibile di un drago.[n]
zts19272e	Pura essenza del fuoco
zts19273e	Assolutamente priva di energia corrotta.[n]Pura energia del fuoco.[n]
zts19274e	Energia di Fafnir
zts19275e	L'incarnazione dell'energia di Fafnir.[n]
zts19276e	Corno di Fafnir
zts19277e	Un corno di Fafnir.[n]Robusto e appuntito.[n]
zts19278e	Cuore di Fafnir
zts19279e	Contiene il mana di Fafnir.[n]Scottante![n]
zts19280e	Molare di Fafnir
zts19281e	Molare di Fafnir.[n]Affilato come un rasoio.[n]
zts19282e	Squama di Fafnir
zts19283e	Una squama di Fafnir.[n]Dura come la roccia.[n]
zts19284e	Borsello antico
zts19285e	Contiene monete antiche.[n]
zts19286e	Corno da caccia di Fafnir
zts19287e	Un corno da caccia creato con un corno dell'antico e famelico drago Fafnir.[n]Il suo suono gela il sangue nelle vene.[n]Utilizzalo per tornare in città.[n]La tua posizione attuale verrà salvata. Potrai tornaci utilizzando un Amuleto del Ritorno.[n]Può essere utilizzato illimitatamente.[n]
zts19288e	Chiave di Erdimien
zts19289e	Con questa chiave puoi far diventare Erdimien la tua compagna.[n]
zts19290e	Decorazione ad ala di drago
zts19291e	Si crea quando utilizzi la squama di Fafnir e il respiro di drago.[n]
zts19292e	Antico costume da vichingo (7 giorni)
zts19293e	I tuoi nemici tremeranno di paura alla vista del tuo costume da vichingo.[n]La durata si calcola a partire dal momento in cui lo indossi.[n][Effetto][n]Ricevi la "Benedizione di Odino".[n]
zts19294e	Chiave per il Castello Aria
zts19295e	Puoi accedere al raid nel Castello Aria.[n]Livello consigliato: 70-99[n]Numero di giocatori consigliato: più di 10[n][Istruzioni][n]Il giocatore diventa Leader del team.[n]Una volta che sei Leader del team, clicca sugli altri giocatori per invitarli.[n]Vai all'entrata del raid. Quando il Leader del team entra, gli altri membri lo seguono automaticamente.[n]
zts19296e	Antico costume da vichingo (7 giorni) – schizzo
zts19297e	Questo documento descrive come si produce l'Antico costume da vichingo (7 giorni).[n]Esso spiega la formula per confezionare il costume.[n][Produzione][n]1) Tutti i materiali devono essere disponibili nell'inventario.[n]2) Apri la finestra di produzione facendo doppio clic sulla pergamena.[n]3) Scegli l'oggetto che vuoi realizzare.[n]4) Trascina nella finestra gli oggetti dell'equipaggiamento eventualmente richiesti.[n]5) Premi il pulsante di produzione per completare il processo.[n]
zts19298e	Progetto per il Corno da caccia di Fafnir
zts19299e	Questo documento descrive come si produce il Corno da caccia di Fafnir.[n]Esso spiega la formula per realizzare questo oggetto.[n][Produzione][n]1) Tutti i materiali devono essere disponibili nell'inventario.[n]2) Apri la finestra di produzione facendo doppio clic sulla pergamena.[n]3) Scegli l'oggetto che vuoi realizzare.[n]4) Trascina nella finestra gli oggetti dell'equipaggiamento eventualmente richiesti.[n]5) Premi il pulsante di produzione per completare il processo.[n]
zts19300e	Frittura di Fafnir
zts19301e	Ripristina immediatamente il 20% dei tuoi HP/MP.[n]Permette di rimuovere gli effetti negativi al di sotto del liv. 3.[n]I punti SP vengono aumentati di 100.[n]
zts19302e	Puoi accedere al raid nel Castello Aria.[n]Livello consigliato: 70-99[n]Numero di giocatori consigliato: più di 10[n][Istruzioni][n]Il giocatore diventa Leader del team.[n]Una volta che sei Leader del team, clicca sugli altri giocatori per invitarli.[n]Vai all'entrata del raid. Quando il Leader del team entra, gli altri membri lo seguono automaticamente.[n]
zts19303e	Questo documento descrive come si produce il Corno da caccia di Fafnir.[n]Esso spiega la formula per realizzare questo oggetto.[n][Produzione][n]1) Tutti i materiali devono essere disponibili nell'inventario.[n]2) Apri la finestra di produzione facendo doppio clic sulla pergamena.[n]3) Scegli l'oggetto che vuoi realizzare.[n]4) Trascina nella finestra gli oggetti dell'equipaggiamento eventualmente richiesti.[n]5) Premi il pulsante di produzione per completare il processo.[n]
zts19312e	Spada gigante Steampunk (permanente)
zts19313e	Con questa skin Steampunk sprigionerai vapore da tutte le parti.[n][Effetto][n]Se il livello di combattimento del mostro è uguale o superiore rispetto a quello del personaggio, sussiste una probabilità del 30% che il danno aumenti del 10%.[n]
zts19314e	Arco ad orologeria Steampunk (permanente)
zts19315e	Bastone a dente di sega Steampunk (permanente)
zts19316e	Spada gigante Steampunk (30 giorni)
zts19317e	Con questa skin Steampunk sprigionerai vapore da tutte le parti.[n]La durata si calcola a partire dal momento in cui si usa la skin.[n][Effetto][n]Se il livello di combattimento del mostro è uguale o superiore rispetto a quello del personaggio, sussiste una probabilità del 15% che il danno aumenti del 5%.[n]
zts19318e	Arco ad orologeria Steampunk (30 giorni)
zts19319e	Bastone a dente di sega Steampunk (30 giorni)
zts19328e	Ampliamento slot per compagni
zts19329e	Con questo item[n]potrai aggiungere 1 slot per compagni in modo permanente.[n]Ora potrai mettere da parte più compagni.[n][Attenzione][n]Con l'Ampliamento slot per compagni potrai ampliare gli slot per un massimo di 9 volte, creando al massimo [n]12 slot per compagni.[n]
zts19334e	Ghianda gloriosa dai colori vivaci
zts19335e	Una ghianda colorata.[n]Mangiarla potrebbe essere pericoloso...[n]
zts19336e	Chiave di Jennifer
zts19337e	Con questa chiave puoi far diventare Jennifer la tua compagna.[n]
zts19338e	Cappello con le piume di Jennifer
zts19339e	Un cappello con un una piuma elegante.[n]Un vero schianto che non passa inosservato.[n]Devi solo chiederti se ti serve davvero.[n]
zts19340e	Scrigno opossum con merce rubata
zts19341e	Uno scrigno con merce che gli opossum hanno rubato o accumulato.[n]Ha un manico e può essere trasportato in caso di bisogno.[n]Può essere scambiato con tre Ghiande di bronzo.[n]
zts19342e	Vecchio scrigno dei Vichinghi
zts19343e	Uno scrigno contenente i tesori dei Vichinghi.[n]È vero o falso?[n]Può essere scambiato con una ghianda dorata.[n]
zts19344e	Vecchio scrigno dei Goti
zts19345e	Uno scrigno contenente i tesori dei Goti.[n]Vero o falso?[n]Può essere scambiato con una ghianda dorata.[n]
zts19346e	Sigillo del raid Difesa del Re Opossum
zts19347e	Usa questo oggetto per aprire il raid Difesa del Re Opossum.[n][Attenzione][n]Numero di giocatori: 2 squadre, ciascuna di 10~15 giocatori. Massimo 30 giocatori.[n]Possono partecipare solo i giocatori che sono riusciti a entrare. I giocatori in soprannumero partecipano al prossimo round.[n]Per questo raid sono necessari almeno 20 giocatori.[n]In mancanza di un numero sufficiente di giocatori, il raid non inizierà.[n]Se il raid viene interrotto, il sigillo del raid viene consumato.[n]Se il raid è già iniziato, il sigillo non può essere utilizzato nuovamente.[n]
zts19348e	Sigillo del raid Ovile
zts19349e	Usa questo oggetto per aprire il raid Ovile.[n][Attenzione][n]Numero di giocatori: 5~30 giocatori.[n]Possono partecipare solo i giocatori che sono riusciti a entrare. I giocatori in soprannumero partecipano al prossimo round.[n]Per questo raid sono necessari almeno 20 giocatori.[n]In mancanza di un numero sufficiente di giocatori, il raid non inizierà.[n]Se il raid viene interrotto, il sigillo del raid viene consumato.[n]Se il raid è già iniziato, il sigillo non può essere utilizzato nuovamente.[n]
zts19350e	Sigillo del raid per "Scansa meteora"
zts19351e	Usa questo oggetto per aprire il raid "Scansa meteora".[n][Attenzione][n]Numero di giocatori: 10~50 giocatori[n]Possono partecipare solo i giocatori che sono riusciti a entrare. I giocatori esclusi perché in eccesso numerico partecipano al turno successivo.[n]Per questo raid sono necessari almeno 10 giocatori.[n]Se non si raggruppa un numero di giocatori sufficiente, non sarà possibile avviare il raid.[n]Quando si interrompe il raid, il Sigillo del raid viene consumato.[n]Se il raid è già stato avviato, il sigillo non si può riutilizzare.[n]
zts19352e	L'oggetto più prezioso per gli Opossum.[n]
zts19353e	Una ghianda di bronzo.[n]Non ho la più pallida idea di come gli Opossum se la siano procurata.[n]
zts19354e	Ghianda d'argento
zts19355e	Una ghianda d'argento.[n]Non ho la più pallida idea di come gli Opossum se la siano procurata.[n]
zts19356e	Una ghianda d'oro.[n]Non ho la più pallida idea di come gli Opossum se la siano procurata.[n]Molto sospetto...[n]
zts19357e	Scatola regalo "Lupo travestito da pecora"
zts19358e	Ricompensa per avere annientato tutti i mostri nel raid Ovile.[n]Non ho idea di cosa possa esserci dentro. Sembra molto sospetta.[n]
zts19359e	Un regalo del Re Opossum.[n] Non ho idea di cosa possa esserci dentro. Sembra molto carino.[n]
zts19374e	Turbante del deserto (30 giorni)
zts19375e	Con questo Turbante del deserto avrai sempre i nervi ben saldi.[n]La durata si calcola a partire dal momento in cui si utilizza.[n][Effetto][n]Incrementa di 10 la resistenza alla luce.[n]
zts19376e	Turbante del deserto (permanente)
zts19377e	Con questo Turbante del deserto avrai sempre i nervi ben saldi.[n][Effetto][n]Incrementa di 10 la resistenza alla luce.[n]
zts19378e	Fermaglio floreale (30 giorni)
zts19379e	Con questo Fermaglio floreale ammalierai chiunque.[n]La durata si calcola a partire dal momento in cui si utilizzano.[n][Effetto][n]Incrementa di 10 la resistenza al fuoco.[n]
zts19380e	Fermaglio floreale (permanente)
zts19381e	Con questo Fermaglio floreale ammalierai chiunque.[n][Effetto][n]Incrementa di 10 la resistenza al fuoco.[n]
zts19382e	Veste del deserto (30 giorni)
zts19384e	Veste del deserto (permanente)
zts19386e	Costume da danza del ventre (30 giorni)
zts19387e	Con questo costume da danza del ventre incanterai qualsiasi spettatore.[n]La durata si calcola a partire dal momento in cui lo indossi.[n][Effetto][n]Aumenta la velocità di movimento di 1.[n]
zts19388e	Costume da danza del ventre (permanente)
zts19389e	Con questo costume da danza del ventre incanterai qualsiasi spettatore.[n][Effetto][n]Aumenta la velocità di movimento di 2.[n]
zts19390e	Set del deserto (permanente)
zts19391e	Con questo costume del deserto il sole non potrà arrecarti alcun danno.[n][Oggetti:][n]1 Turbante del deserto (permanente)[n]1 Veste del deserto (permanente)[n]
