zts1e	Магазин инструментов Тео (использование)
zts7723e	Давай уже
zts7724e	Мой дорогой друг, она дала мне новую надежду, она погибла из-за твоей интриги.
zts7725e	Даже если ты хорошо обращался с моим другом. Я не могу тебя простить.
zts7726e	Я буду с тобой драться за мир на свете. Для твоей жадности не существует ничего святого.
zts7727e	Вместе мы победим тебя. Давай.
zts7728e	Я... Я жрец... Меня так просто не победить...
zts7729e	Я не могу так умереть.
zts7730e	Ах- ах- Не бойся, я провожу тебя в ад.
zts7731e	Ты не один.
zts7732e	Я тоже тебе помогу.
zts7733e	Ой, извини, что я втянул тебя в эту битву.
zts7734e	Я решил, когда я заключил договор.
zts7735e	Это конец. Это то место, где я погибну?
zts7736e	Что ты сейчас делаешь, убегай отсюда!
zts7737e	Возьми это, пожалуйста.
zts7738e	Это .. реликт!!
zts7739e	Я могу дать тебе это, и пожалуйста, хорошо смотри за Пипеи.
zts7740e	Что это значит? Почему ты меня здесь оставляешь? Почему?
zts7741e	Я твой друг! Я буду все время на твоей стороне!
zts7742e	Я уничтожил многих своих врагов и в конце концов отомстил.
zts7743e	Сейчас я должен защищать своего друга, тебя!!
zts7744e	Как ты знаешь, я пообещал своему другу выжить, чего бы мне это не стоило.
zts7745e	Впредь ты будешь вместо меня охранять мир.
zts7746e	Я так счастлив, что встретил тебя. Спасибо.
zts7747e	Я должен выполнять свои обязанности Стража Диких Животных. Но я буду очень рад охранять тебя.
zts7748e	Не делай этого...
zts7749e	Не плачь.. Живи и спаси мир вместо нас!!
zts7750e	Однажды мы снова увидимся, после того как я выполню все свои задания.
zts7751e	Понимаешь?
zts7752e	Пока.
zts7753e	(Вдруг появляется колоссальная вспышка света.)
zts7755e	Привет <pname>!
zts7763e	Проведи хорошо время в Ностейле!
zts7764e	Это Мими Ментор, она поможет тебе в твоих приключениях.
zts7765e	Да, мне нужен подарок.
zts7766e	Нет, я заберу подарок позже.
zts7772e	Восстановить базовые ОС
zts7776e	Да, я хочу забрать подарок.
zts7779e	Ур. 81: Глацернон
zts7780e	Акт 4 - Ледяная Корона
zts7781e	Привет <pname>! Приятно видеть тебя! Как твои дела?
zts7782e	Так себе, бывало и получше.
zts7783e	Пришло время отправить тебя на новые приключения и поручить тебе сложные миссии.
zts7784e	Я не думаю, что я к этому готов.
zts7785e	<pname>, я тебя не узнаю. Ты же герой и гордость НосЛагеря! Тебе нужно быть примером для всех и чаще улыбаться.
zts7786e	Я не знаю, что с тобой произошло, но я не хочу видеть грусть на твоем лице, хорошо?
zts7787e	<pname>, подожди. Я получила новое задание для тебя. Анни надо кое-что уладить, и ей нужна твоя помощь.
zts7788e	Можешь оказать мне еще одну услугу? Передай Анни это письмо от меня.
zts7789e	(Энни читает письмо Мими и что-то бормочет.)
zts7790e	Бред, его ничего не волнует.
zts7791e	Не обращай на меня внимания. Я разговаривала сама с собой.
zts7792e	Анни, зачем ты меня искала?
zts7793e	Потому что у меня больше нет никого, кого я могу спросить.
zts7794e	Я имею в виду, что в настоящий момент у меня нет никого, кто мог бы оказать мне одну услугу.
zts7795e	Все очень просто. Передай это письмо Бенито Батлеру, который стоит у дома семьи Ропелло в Порт Алвойсе. Я уверен, что ты справишься с этой задачей.
zts7796e	Хорошо, я выполню твою просьбу.
zts7797e	Собирайся в дорогу и возвращайся назад, только когда выполнишь все свои задания.
zts7798e	(Рядом с Бенито Батлером ты видишь волшебницу, которая его о чем-то расспрашивает.)
zts7799e	Глацернон - опасное место. Нам нужна помощь искателей приключений НосВилля.
zts7800e	Разве я не говорил тебе, что мы делаем всё возможное, чтобы помочь?
zts7801e	Для встречи, о которой ты мне рассказывал, уже слишком поздно. Бенито, мы находимся в безнадёжном положении.
zts7802e	Искатели приключений выполняют свои задания в НосВилле. А мы слишком далеко, чтобы помочь тебе.
zts7803e	Дай мне поговорить с лордом Куарри! Я думаю, он поможет.
zts7804e	Нет! Мой магистр сейчас очень занят и передал свои обязанности мне. Пожалуйста, потерпи немного.
zts7805e	Хорошо. Я буду ждать новостей в порту. Не забудь, мне дать знать.
zts7806e	(Волшебница завершает разговор и покидает гавань.)
zts7807e	Как часто мне нужно ей говорить, чтобы она не была такой надоедливой? Почему она не может понять слово НЕТ?
zts7808e	Привет, Бенито.
zts7809e	Чего ты хочешь?
zts7810e	Я пришел, чтобы передать тебе письмо от Анни.
zts7811e	Она не может оставить это. Дай сюда письмо!
zts7812e	Эй! Почему ты разорвал письмо Анни, даже не прочитав его?
zts7813e	Я и так знаю, чего хочет Анни, даже не читая письмо. Она мне часто шлет одно и то же письмо.
zts7814e	Ты искатель приключений из НосВилля? Не говори мне, что искатели приключений занимаются только такой ерундой.
zts7815e	(Бенито Батлер смотрит пристально на тебя некоторое время и затем хлопает в ладоши, словно ему в голову пришла замечательная идея.)
zts7816e	Оо! Ты можешь пойти в Глацернон. Если ты достаточно хорош, чтобы выполнять поручения Анни, это значит, что она тебя считает опытным искателем приключений. Это хорошо, что ты сюда пришёл. Волшебница  Лейка надоедает мне со своими проблемами уже на протяжении нескольких дней.
zts7817e	(Бенито Батлер показывает в направлении порта.)
zts7818e	Иди в порт и встрется там с волшебницей Лейко Абордажной Саблей
zts7819e	Сначала мне нужен ответ на письмо, которое Анни поручила тебе доставить.
zts7820e	Не беспокойся о таких маловажных поручениях. Лучше позаботся о важных вещах, которые ты можешь выполнить. Сейчас иди в порт.
zts7821e	Ты, должно быть, искатель приключений из НосЛагеря, которого отправили на Глацернон, верно? Я так рада с тобой познакомиться. *Вздох* Я не думала, что ты прибудешь так скоро... Я не знаю, что сказать.
zts7822e	Бенито Батлер отправил меня к тебе, Лейка Пассаже. Тебе нужна моя помощь?
zts7823e	Я очень удивлена, так как, когда я разговаривала с Бенито Батлером, выглядело это так, как-будто он не хочет мне помочь.
zts7824e	Я не знала, что Бенито Батлер пошлёт такого молодого и смелого искателя приключений, как ты. Я так рада! Он, должно быть, очень хороший человек, ты тоже так думаешь?
zts7825e	Подожди, не так быстро! Послушай сначала меня, пожалуйста.
zts7826e	Извини, пожалуйста.
zts7827e	К сожалению, я не могу тебе помочь. Я не такой храбрый, как ты думаешь.
zts7828e	Почему ты так не уверен в своих силах? Ты излучаешь силу и теплоту. Я чувствую, что ты смелый искатель приключений.
zts7829e	Когда я должен был защищать моего попутчика, я отказался. Как я могу помогать другим людям? Я....
zts7830e	(Лейка Пассаже смотрит на тебя глазами, полными печали.)
zts7831e	Ты не только потерял своего попутчика....
zts7832e	О чём ты говоришь?
zts7833e	Ты потерял что-то более важное... Самого себя! Прежде чем ты сможешь нам помочь, ты должен сначала найти самого себя. Пожалуйста, возвращайся ко мне, как только ты будешь чувствовать себя лучше.
zts7834e	(Нужно пойти к Энни и сказать ей, что Бенито Батлер порвал ее письмо.)
zts7835e	Что случилось? Он понял моё письмо? Как он среагировал на мою просьбу?
zts7836e	Он разорвал письмо, не сказав ни слова.
zts7837e	Это было уже 101-е письмо, которое я написала Бенито.
zts7838e	Ооо! Ты послала ему столько писем?
zts7839e	Конечно. Я всегда делаю всё возможное, чтобы обеспечить НосВилл безопасность. Я никогда не сдамся!
zts7840e	Зачем ты так стараешься? Для чего?
zts7841e	Я действую по зову моей веры. Я не сдамся до тех пор, пока не буду удовлетворена. Я слышала, что ты недавно потерял своего партнёра, это верно?
zts7842e	Откуда ты знаешь?
zts7843e	Ты не должен знать, как я об этом узнала. Итак, это правда... Это и есть причина твоей печали.
zts7844e	Мне сказали, что я должна тебя успокоить, но ты не должен от меня ждать, что я буду с тобой мила.
zts7845e	У тебя  очень своеобразный тип.....
zts7846e	Послушай меня <pname>, ты не первый искатель приключений, кто потерял своего партнёра. Я тоже, во время моих многих приключений, теряла своих партнёров.
zts7847e	Но в отличии от тебя, я не потеряла себя саму. Я изменилась немного. Только не подумай, что я бы не заботилась о моём партнёре, но мы все преследуем разные цели.
zts7848e	Пока я помню о моих партнёрах и счастливых моментах, которые я с ними пережила, они будут продолжать жить во мне. Ты можешь это понять?
zts7849e	Твои партнёры просили тебя о чём-то, верно?
zts7850e	Тогда следуй их просьбам. Это единственный способ, не потерять самого себя.
zts7851e	Не надо меня благодарить, так как ты тоже мне доставил удовольствие. Собственно, это я должна тебя благодарить.
zts7852e	Я сделала это с удовольствием.
zts7853e	Я почти забыла. Возьми это рекомендательное письмо с собой в Глацернон и покажи его Аурелиусу Рошу. Он всё поймёт.
zts7854e	Я отправляюсь в путь к Лейка Пассаже. Она уже ждёт меня.
zts7855e	Ты добился того, что твои сила и храбрость вернулись к тебе <pname>. Я очень рада!
zts7856e	Скажи мне, как я могу тебе помочь. Я обязан тебе.
zts7857e	Сначала ты должен пойти в Глацернон, чтобы узнать все подробности. Подготовся хорошо. Если ты хочешь ещё кого-то посетить, сделай это, прежде чем ты отправишся в путь.
zts7858e	Прежде чем я отправлюсь в путь в Глацернон, я хотел бы встретиться с Мими Ментор. Я сейчас пойду к ней.
zts7859e	Привет <pname>. Я рада, что твои сила и храбрость вернулись к тебе.
zts7860e	Пришло время мне отправляться в путь. Лейка Пассаже нуждается в моей помощи. Я думаю о том, как мне дойти до Глацернона.
zts7861e	Ты уверен в себе? Это может быть очень опасно.
zts7862e	Конечно, это будет нелегко, но я верю, что я смогу сохранить мир вместо моего потерянного партнёра.
zts7863e	Ты стал настоящим искателем приключений <pname>.
zts7864e	Всё равно, мне ещё многому нужно научиться....
zts7865e	Возьми Яйцо Латеорс с собой в путешествие. Ты оставил его здесь некоторое время тому назад. Оно должно быть очень важным для тебя, верно?
zts7866e	Я почти забыл. Большое спасибо.
zts7867e	Будь осторожен, <pname>.
zts7868e	Не волнуйся, Мими. Я скоро вернусь.
zts7869e	Это будет длинное путешествие. Ты уверен, что ничего не забыл? Вперед тогда!
zts7870e	Итак...Наконец-то после длительного путешествия  мы прибыли.
zts7871e	Мне нужно отвлечься на одно дело, прости. Вот, держи это рекомендательное письмо. Отнеси его Рудину Альбиско. Он тебе расскажет все, что нужно. Возвращайся ко мне, когда захочешь отплыть обратно в НосВилль.
zts7872e	(Лейка Пассаже прочищает голос и начинает говорить более веселым голосом.)
zts7873e	Добро пожаловать в Цитадель Замерзшего Сердца. Надеюсь, мы подружимся.
zts7874e	(Рудин Альбиско читает письмо с рекомендациями от Лейки.)
zts7875e	Ты выглядишь каким-то никчемным, но в рекомендательном письме Лейки написано другое. Интересно...
zts7876e	О, ты, должно быть, <pname>? Рад видеть тебя. Меня зовут Рудин Альбиско, я один из ледяных магов. Моя задача заключается в поддержке новоприбывших искателей приключений.
zts7877e	Кроме меня есть ещё Путешественники, прибывшие вам на помощь?
zts7878e	Да, верно. Нам нужна любая помощь, которую мы можем получить.
zts7879e	Понимаю. Чем я могу помочь тебе?
zts7880e	Сначала ты получишь от меня простое задание, которое не слишком опасно. оно будет составлено в соответствии с твоим рекомендательным письмом.
zts7881e	Прежде, чем ты сможешь начать, ты должен нанести визит Аурелию Рошу. Он  главный в Цитадели Замерзшего Сердца. Ему уже сообщили о тебе и он ждет тебя.
zts7882e	(Ты слышишь рычание зверя.)
zts7883e	Эта Тварь имеет что-то против меня?
zts7884e	Не бойся...Мой Зверь совсем ручной.
zts7885e	Я ждал тебя...Добро пожаловать в Цитадель Замерзшего Сердца. О! Ты принес мне письмо, которого я так ждал!
zts7886e	Привет Аурелий! Приятно видеть тебя... Меня зовут...
zts7887e	Я уже знаю, кто ты, <pname>.
zts7888e	Откуда ты знаешь мое имя?
zts7889e	Это одно из многих мелких трюков, которые знает старый Маг, как я. Есть причина быть удивленным. Что важно, так это твое решение нам помочь, которое тебе явно не легко далось. Я восхищен твоей храбростью.
zts7890e	Что происходит на Острове Ледяной Короны? Я слышал, это очень серьезная ситуация.
zts7891e	Потерпи немного и послушай меня внимательно. Это очень долгая история.
zts7892e	Тогда мы жили в центре Острова Ледяной Короны в полной Безопасности. Но однажды нас выгнали оттуда загадочным способом. Всё случилось так быстро...Мы даже не знаем, как это всё могло произойти.
zts7893e	Я думаю, в этом замешала какая-то мощная сила... Но я не могу сказать ничего больше. Мы построили Цитадель Замерзшего Сердца, чтобы собрать воинов, которые помогут нам отвоевать наши земли. Но оказалось, что угрожают нам не только монстры, а еще и сильное проклятие. Очень сильное... Даже наши лучшие маги не могут снять его.
zts7894e	О проклятье какого рода идет речь?
zts7895e	Как только ты покидаешь Цитадель, на тебя налагается проклятье, превращающее тебя в тюленя. Я смог получить немного энергии этого проклятья, достаточно, чтобы сейчас же превратить тебя в тюленя.
zts7896e	(Аурелиус Рошу достает маленький мешочек и сыпет магический порошок тебе на голову.)
zts7897e	Ничего не происходит...
zts7898e	Я не верю свои глазам! Кажется, на тебя проклятье не действует. Что за предмет светится у тебя в сумке?
zts7899e	Эта штука называется яйцо Латеора. Мой компаньон запечатан внутри.
zts7900e	Невероятно! Кажется, этот предмет защищает тебя от проклятья. Так значит предсказание - правда...
zts7901e	Какое предсказание?
zts7902e	Какая-то мощная сила удерживает нас в Цитадели Замерзшего сердца. Мы пытались с помощью гаданий найти выход из  нашего положения, и нам было предсказано, что придет один молодой и отважный Путешественник, который нам поможет.
zts7903e	Теперь, когда я вижу тебя перед собой, я уверен, что ты Путешественник из предсказания, пришедший, чтобы освободить нас.
zts7904e	Ну же, иди к Рудину Альбиско. Он талантливый, иногда импульсивный, Снежный Маг, и он расскажет тебе, что надо делать.
zts7905e	Не волнуйся. Он не такой странный, как кажется. Ладно, теперь ты можешь идти. Надеюсь, тебе понравится в Цитадели.
zts7906e	Аурелий Рош - великий Маг и личность, заслуживающая уважения. Он был и моим учителем. Без него не было бы Голубых Магов.
zts7907e	Для начала я скажу тебе, что делать. Сейчас никто не может покинуть Цитадель из-за проклятия, кроме тебя. Ты можешь, потому что у тебя есть особая вещь, которая его снимает. Яйцо Латеора.
zts7908e	А это не безответственно с твоей стороны отправлять меня одного для выполнения этой миссии?
zts7909e	Да, это так... И я прошу прощения за это, но я вынужден просить тебя об одолжении. Мы должны знать, что происходит снаружи. Оставь Цитадель Замерзшего Сердца и собери информацию. Если ты обнаружишь что-нибудь странное, возвращайся как можно быстрее, чтобы сообщить мне об этом.
zts7910e	Ты только что сказал, что видел пингвинов?
zts7911e	Должно быть, речь идет о пингвинах-пиратах, а это их судовой журнал.
zts7912e	Хмм...Судя по журналу, они высадились здесь, потому что их корабль потерпел крушение. Они захватили эту страну и могут исследовать её, так как у них есть иммунитет против проклятья. Более того, здесь написано, что они были в Биторенской Тундре, которая находится далеко от Цитадели Замерзшего Сердца.
zts7913e	(Он продолжает читать.) Что это? Центральный защитный камень? Какой еще центральный защитный камень? Должна быть какая-то причина, почему ледяные маги не могут покинуть Цитадель Ледяного Сердца.
zts7914e	<pname>, я проверю информацию, которую ты мне раздобыл. Между тем, я хочу, чтобы ты позаботился о других бумагах. Я не уверен, могу ли я уже сейчас послать тебя в Биторенскую Тундру.
zts7915e	Это пояснение было написано, чтобы кому-то рассказать о наших действиях. Я не могу поверить, что они наблюдают за каждым нашим шагом. Трудно поверить, что в одной команде вместе могут работать такие недалекие существа.
zts7916e	Это значит, что кто-то стоит за этим. Но у меня, к сожалению, нет другого выбора...Это очень опасно, но ты должен пойти к Биторенской Тундре и поискать там. Там ты наверняка сможешь найти ценные указания.
zts7917e	Если ты встретишь других путешественников, то будь готов, что на тебя нападут. Они не знают, кто ты, поэтому будь осторожен.
zts7918e	Если Яйцо Латеора будет сильно повреждено, то его защита исчезнет и на тебя падет проклятие. Ты должен быть всегда настороже. Желаю удачи.
zts7919e	Я внимательно прочитал твой отчет о Тундре Биторов. Как я и предполагал, центр имеет сильную охрану. Это была наша родина, и теперь злые твари используют ее в качестве базы.
zts7920e	Эта доска написана на древнем языке. Почему она была там?
zts7921e	К сожалению, я не могу прочитать написанное на этой доске, я не понимаю этот древний язык. Аурелий Рошу единственный, кто может прочитать этот язык. Принесу эту доску к нему.
zts7922e	Аврелиус Рошу осторожно берет дощечку и начинает читать.)
zts7923e	Это действительно невероятно. Речь идет о магической доске, которая была утеряна очень давно. Она написана с защитным заклинанием. Наверняка потерял ее волшебник Мукрайю.
zts7924e	Кто такой волшебник Мукрайю?
zts7925e	Он был очень талантливый и могущественный Голубой Маг. Мы были хорошими друзьями... Он пропал без вести с тех пор как мы бежали сюда. Раньше эта старая доска была его собственностью.
zts7926e	В соответствии с этим докладом за всем этим стоит очень влиятельное лицо.
zts7927e	Правда, у меня все еще нет решающих улик, так что я даже не могу что-то предположить. Я слышал, что шпионы гноллов работают на кого-то, так что я хочу, чтобы ты получил информацию от них.
zts7928e	Магистр Моркос?! Ты уверен, что они упоминали его имя?
zts7929e	Как это возможно? Невозможно представить, что он замешан в этом деле.
zts7930e	Кто такой Магистр Моркос?
zts7931e	Он является правителем каньона Шарес в западной части Глацернона. Он самый сильный и храбрый  воин из тех, кого я знаю. И теперь его армия идет на Цитадель Ледяного Сердца. Это катастрофа!
zts7932e	Сначала выясни, кто передает информацию о наших действиях Магистру Моркосу.
zts7933e	Как это возможно? Нас изгнали из Гласернона из-за Микрайю...Это непостижимо, что он стал Волшебник-Нежить.
zts7934e	Каким волшебником он был?
zts7935e	Он был великий и могущественный волшебник, который любил силу магии. Но за тем на него дурно повлиял кто-то, кто называет себя Магистром. Я сожалею, что произошло такое...Но я также чувствую гнев, когда я вспоминаю обо всех Голубых Магах, которые были убиты из-за его предательства.
zts7936e	Наконец-то мы нашли способ бороться против этой великой силы, которая нам угрожает. Я бесконечно благодарен тебе за твою помощь. Наша война начнется только сейчас, поэтому я смогу отблагодарить тебя за твою помощь позже.
zts7937e	Я немного изучил яйцо Латеора. Оказалось, в книге Мукражу есть о нем упоминание.
zts7938e	Результаты моих исследований у Рубина Альбиско, так что иди к нему.
zts7939e	Кажется невероятным, что кто-то может быть заключен в яйце Латеора. На самом деле, кого угодно туда и нельзя заключить. Невозможно поместить человека в яйцо Латеора. Сущность существа должна быть схожа с ним.
zts7940e	Мой заключенный партнер - это ангел, и в то же время он демон.
zts7941e	Хорошо. Я уже знаю, что твой партнер как раз схож с ним.
zts7942e	Уже очень долгое время Голубые Маги занимаются исследованием магических предметов. Тем не менее, дело движется медленно, так как мы никогда ранее не проводили подобных исследований. Что касается барьеров и печатей, никто не знал о них больше чем Мукрацзу - он был лучшим из нас, но теперь стал Личем, называющим себя Лорд Мукрацзу. Согласно его магической книге возможность сломать печать Яйца Латеора существует, но сделать это будет не просто.
zts7943e	В настоящий момент я не могу тебе больше ничего сказать. Ты скоро отправишься в путешествие в большой мир. Ты сможешь добиться того, что ты хочешь, если у тебя будет возможность для этого. Никогда не теряй надежды.
zts7944e	Твоя помощь была неоценима, мы изо всех сил пытались разбить печать. Мне жаль, что мы не смогли многого добиться. Мы продолжим исследовать яйцо Латеора.
zts7945e	Если мы узнаем что-то важное, мы отправим сообщение в НосЛагерь. Мы в вечном долгу перед тобой. Большое тебе спасибо.
zts7946e	(Рудин Альбиско вежливо прощается.)
zts7947e	Будь навечно благословен, великий воин.
zts7948e	Акт 4 - Пространственно-временной портал Лорда Мукражу
zts7949e	Солдат! Магистр Моркос отправляет послание Лорду Мукрайю. Передай ему его.
zts7950e	Понятно! Лорд Мукрацзу получит его. Я лично займусь доставкой.
zts7951e	Убедись, что тебя никто не преследует.
zts7952e	Я отправляюсь к Лорду Мукрацзу немедленно.
zts7953e	Ты, глупец... Как мог ты быть побеждён таким слабым искателем приключений? Я был действительно дурак, когда я доверился такому неспособному созданию, как ты.
zts7954e	Оо... прости меня, Лорд Мукраю.
zts7955e	Если у тебя есть время, приносить такие бессмысленные известия, то лучше используй его, чтобы уничтожить этого искателя приключений.
zts7956e	Мой магистр в гневе. Я убью тебя вместо него .
zts7957e	Что ты будешь делать с силой Хаоса, которая состоит из Темноты и Света.  Нет ничего даже близко похожего на силу моего магистра.
zts7958e	Это только дух. Я просто пойду к моему магистру. Я вернусь, как только будет для этого подходящее время.
zts7959e	Светлой Пасхи
zts7960e	Что-то здесь странно...Я чувствую себя таким бессильным.
zts7961e	Возможно из-за Пасхи, молодого искателя приключений.... У тебя есть время, это разузнать?
zts7962e	Просто принеси мне белое, красное, желтое и синее пасхальные яйца, а также душу Пасхи, и я обменяю тебе их на яичную фею. Принеси мне белое, красное, желтое и синее пасхальные яйца, а также душу Пасхи. И я обменяю их тебе на яичную фею. Меняемся сейчас?
zts7963e	Да, они у меня здесь.
zts7964e	Возможно, в следующий раз.
zts7965e	Принеси мне душу Пасхи и четыре пасхальных яйца: белое, красное, желтое и синее... И взамен я дам тебе яичную фею...
zts7972e	Посмотри! Посмотри на фею очень внимательно! Она так сверкает... Она кажется маленькой и милой, но внешность обманчива. Ведь она очень сильная! Если хочешь, чтобы фея помогала тебе, тебе нужно заботиться о ней и любить ее! Хорошо?
zts7973e	Обменять на печать.
zts7974e	Боже мой!!! Травяные Карлики нападают на нас!! Пожалуйста, победи их!!
zts7975e	Тебе нужна печать весны, чтобы иметь возможность победить Травяных Карликов. Если ты принесёшь мне 3 вида  праздничного бамбука, 3 вида праздничного мяса и 3 вида праздничного риса, то я поменяю их на печать.
zts7976e	Пожалуйста, поменяй мне на печать!
zts7977e	Я принесу тебе эти предметы!
zts7978e	Лагерь Демонов и Ангелов
zts7979e	Там находятся группы Ангелов и Демонов.
zts7980e	Выбири группу.
zts7981e	Спираль времени (Порт Алвойс)
zts7982e	Совместное использование (Семья)
zts7983e	После того, как ты достиг 20-го рабочего уровня, ты можешь выбрать профессию. Подумай хорошо над своим выбором, так как принимать решение ты можешь только один раз. После того, как ты выбрал профессию, изменить ты её не можешь.
zts7984e	Какой профессией ты хочешь заниматься?
zts7985e	Воин-меченосец. Я хочу стать специалистом ближнего боя.
zts7986e	Лучник. Я хочу быстро и метко стрелять.
zts7987e	Маг. Я хочу контролировать поле битвы при помощи магических заклинаний.
zts7988e	Я выберу мою профессию в другой раз.
zts7989e	Семья - это содружество игроков Ностейл.
zts7990e	Замечательная семья, в которой друзья помогают друг другу! Моя задача состоит в том, чтобы помочь игрокам управлять их семьями. Чем я могу тебе помочь?
zts7991e	Один из трёх искателей приключений из группы, должен со мной поговорить и заплатить налог в 200.000 золота, чтобы основать семью.
zts7992e	Я должен извиниться, что меню семьи ещё не полностю готово. Поэтому некоторые функции ещё не функционируют.
zts7993e	В ближайшем будущем мы предложим эти функции.
zts7994e	Бенито Батлер (Порт Алвойс)
zts7995e	Маргарет (Пекарня)
zts7996e	Заходи, если ты голоден; у меня всегда есть свеже испечённый хлеб и жаренное мясо.
zts7997e	Алиса Беллия (Салон красоты)
zts7998e	Добро пожаловать  <pname>! Здесь ты можешь приобрести аксессуары, а также добавить им функции.
zts7999e	Что такое функция?
zts8000e	Оо нет! Ты не знаешь, что такое функция? Аксессуары служат не только для того, чтобы ты выглядел красиво.
zts8001e	Аксессуары могут добавлять магические способности. Тебя это удивляет?
zts8002e	Для того, чтобы наделить аксессуар магическими способностями, тебе нужен камень Келлон. Речь идёт о магическом камне, который может быть создан из камней Джиллион.
zts8003e	Аксессуар имеет номер функции и уровень функции. Номер функции определяет сколько камней Келлон ты можешь добавить в этот предмет. Уровень функции устанавливает, какой максимальный уровень может иметь камень Келлон, для того чтобы быть добавленным к предмету.
zts8004e	Понимаешь ты теперь, что такое функция? Купи аксессуар и попробуй просто один раз.
zts8005e	Аа.. Большое спасибо за разъяснение.
zts8006e	Ноэлия Роза (Универмаг)
zts8007e	Привет <pname>! Я могу предложить тебе много ценных предметов! Загляни просто в мой магазин!
zts8008e	Марвин Магикус (Алхимия)
zts8009e	Мне кажется, ты хочешь что-то спросить у меня. О чём идёт речь?
zts8010e	Что такое алхимия?
zts8011e	Что такое улучшение карты специалиста?
zts8012e	Что такое ракушка?
zts8013e	Нет, я вернусь, если у меня возникнет ещё вопрос.
zts8014e	Алхимия используется для того, чтобы создавать могущественные предметы, из различных материалов.
zts8015e	Во время твоих путешествий ты будешь получать различные материалы, которые могут быть использованы для того, чтобы создать магические предметы. Даже если они выглядят бесполезными, не выбрасывай их. Они могут быть очень полезны тебе.
zts8016e	Принеси просто эти материалы мне, и я сделаю из них все возможные настойки и другие полезные предметы.
zts8017e	Большое тебе спасибо. Я принесу все собранные мною материалы тебе.
zts8018e	Точно также, как в оружии и амуниции, карты специалиста могут быть улучшены. Они могут быть повышенны до 15 уровня.
zts8019e	Когда ты успешно улучшаешь карту специалиста, ты получаешь очки для ее усиления. Кроме этого, на карте появляются симпатичные крылья, размер которых зависит от уровня улучшения.
zts8020e	Ты должен быть очень осторожным, так как душа карта специалиста может исчезнуть, а карту без души нельзя использовать.
zts8021e	Я слышал, что душу карты специалиста можно восстановить при помощи камня оживляющего души. Эти камни очень дорогие, и их можно достать только в НосМолле, поэтому попытайся избежать потерю души.
zts8022e	Ракушка? Это ракушка Венеры, на которой выгравированы магические заклинания. Эти заклинания очень могущественные.
