zts1e	Genel efektler
zts1143e	Iþýk Darbesi (B)
zts1144e	Iþýk Darbesi (A)
zts1145e	Iþýk Darbesi (S)
zts1146e	Dikenli Çalý (F)
zts1147e	Dikenleriyle hareketsiz kýlar.
zts1148e	Dikenli Çalý (E)
zts1149e	Dikenli Çalý (D)
zts1150e	Dikenli Çalý (C)
zts1151e	Dikenli Çalý (B)
zts1152e	Dikenli Çalý (A)
zts1153e	Dikenli Çalý (S)
zts1154e	Kokunun Laneti (F)
zts1155e	Lanetin kokusuyla zayýf düþürüldü.
zts1156e	Kokunun Laneti (E)
zts1157e	Kokunun Laneti (D)
zts1158e	Kokunun Laneti (C)
zts1159e	Kokunun Laneti (B)
zts1160e	Kokunun Laneti (A)
zts1161e	Kokunun Laneti (S)
zts1162e	Dikenli çalý nedeniyle hareket edemiyor.
zts1163e	Kokunun laneti nedeniyle zayýf düþtün.
zts1164e	Cadý Kutsamasý
zts1165e	Laurena'ndan cadý kutsamasý alýr.
zts1166e	Savaþ Ýlaný
zts1167e	Düþmanýný kibirli bir eylemle kýþkýrt.
zts1168e	Gaddarlýk
zts1169e	Çok kýzgýn ve öfkeli.
zts1170e	Cehennem Alevi (F)
zts1171e	Cehennem Alevi
zts1172e	Cehennem Alevi (E)
zts1173e	Cehennem Alevi (D)
zts1174e	Cehennem Alevi (C)
zts1175e	Cehennem Alevi (B)
zts1176e	Cehennem Alevi (A)
zts1177e	Cehennem Alevi (S)
zts1178e	Bardaðý Taþýran Damla
zts1179e	Bardaðý Taþýran Damla
zts1180e	Bardaðý Taþýran Damla (E)
zts1181e	Bardaðý Taþýran Damla (D)
zts1182e	Bardaðý Taþýran Damla (C)
zts1183e	Bardaðý Taþýran Damla (B)
zts1184e	Bardaðý Taþýran Damla (A)
zts1185e	Bardaðý Taþýran Damla (S)
zts1186e	Sihir Kavý (F)
zts1187e	Güçlü sihir kavý kullanýmý sayesinde hasarý azaltýr.
zts1188e	Sihir Kavý (E)
zts1189e	Sihir Kavý (D)
zts1190e	Sihir Kavý (C)
zts1191e	Sihir Kavý (B)
zts1192e	Sihir Kavý (A)
zts1193e	Sihir Kavý (S)
zts1194e	Karanlýðýn Anlaþmasý
zts1195e	Karanlýðýn anlaþmasý daha hýzlý saldýrý yapmaya olanak saðlar.
zts1196e	Hergelenin Gölgesi
zts1197e	Düþmaný ölümcül bir saldýrýyla alt etmene olanak saðlar.
zts1198e	Çevik Ayaklar
zts1199e	Fiziksel saldýrýlardan sýyrýlma becerisini maksimuma çýkarýr.
zts1200e	Kutsal Kalkan
zts1201e	Rakip saldýrýlardan tanrýsal güç ile korun.
zts1202e	Seni belli bir ihtimal oranýnda tesadüfi bir süre boyunca gizli tutar, böylece düþmanlarýn seni bulamaz.
zts1203e	Kývýr
zts1204e	Atik, çevik ve hýþýmla saldýrýr.
zts1205e	Kýpýrdak Ot
zts1206e	Ot cildi kaþýndýrýr.
zts1207e	Havuç Zehri
zts1208e	Lola'nýn havuç zehri çok etkilidir.
zts1209e	Korkudan kramp
zts1210e	Zamansýzlýk
zts1211e	Çok uzun zamandýr yaþayan Kaplumbaða'nýn bir yeteneði.
zts1212e	Havuç Aþký
zts1213e	Tavþanlarý dev bir havuçla kendine çeker. Bu büyük sebze yok olduðundaysa kaybolur.
zts1214e	Kýpýrdak Ot (F)
zts1215e	Kýpýrdak Ot (E)
zts1216e	Kýpýrdak Ot (D)
zts1217e	Kýpýrdak Ot (C)
zts1218e	Kýpýrdak Ot (B)
zts1219e	Kýpýrdak Ot (A)
zts1220e	Kýpýrdak Ot (S)
zts1221e	Havuç Zehri (F)
zts1222e	Havuç Zehri (E)
zts1223e	Havuç Zehri (D)
zts1224e	Havuç Zehri (C)
zts1225e	Havuç Zehri (B)
zts1226e	Havuç Zehri (A)
zts1227e	Havuç Zehri (S)
zts1228e	Kývýr (F)
zts1229e	Kývýr (E)
zts1230e	Kývýr (D)
zts1231e	Kývýr (C)
zts1232e	Kývýr (B)
zts1233e	Kývýr (A)
zts1234e	Kývýr (S)
zts1235e	Niþan al (F)
zts1236e	Hedef belirlemesi nedeniyle tehlikede.
zts1237e	Niþan al (E)
zts1238e	Niþan al (D)
zts1239e	Niþan al (C)
zts1240e	Niþan al (B)
zts1241e	Niþan al (A)
zts1242e	Niþan al (S)
zts1243e	Düðüm (F)
zts1244e	Hareket özgürlüðü saldýrý nedeniyle geçici olarak kýsýtlandý.
zts1245e	Düðüm (E)
zts1246e	Düðüm (D)
zts1247e	Düðüm (C)
zts1248e	Düðüm (B)
zts1249e	Düðüm (A)
zts1250e	Düðüm (S)
zts1251e	Destek Ateþi (F)
zts1252e	Etkili ateþ gücüyle destekler.
zts1253e	Destek Ateþi (E)
zts1254e	Destek Ateþi (D)
zts1255e	Destek Ateþi (C)
zts1256e	Destek Ateþi (B)
zts1257e	Destek Ateþi (A)
zts1258e	Destek Ateþi (S)
zts1259e	Ancelloanýn Duasý
zts1260e	Ancelloan'ýn kudretiyle kutsanmýþ.
zts1261e	Ancelloan'ýn Ortaya Çýkýþý
zts1263e	Altýn Kanatlar
zts1264e	Oniks Kanatlarý
zts1265e	Mutlak Sýfýr (F)
zts1266e	BP hýzla düþer.
zts1267e	Mutlak Sýfýr (E)
zts1268e	Mutlak Sýfýr (D)
zts1269e	Mutlak Sýfýr (C)
zts1270e	Mutlak Sýfýr (B)
zts1271e	Mutlak Sýfýr (A)
zts1272e	Mutlak Sýfýr (S)
zts1273e	Atýþ Balonu (F)
zts1274e	YP hýzla düþer.
zts1275e	Atýþ Balonu (E)
zts1276e	Atýþ Balonu (D)
zts1277e	Atýþ Balonu (C)
zts1278e	Atýþ Balonu (B)
zts1279e	Atýþ Balonu (A)
zts1280e	Atýþ Balonu (S)
zts1281e	YP hýzla düþer. Kritik isabet sonucu büyük hasar alýr.
zts1282e	Þimþek Soðutma (F)
zts1283e	Aniden soðuktan katýlma sonucu büyü kullanýlamaz.
zts1284e	Þimþek Soðutma (E)
zts1285e	Aniden soðuktan katýlma sonucu yetenek kullanýlamaz.
zts1286e	Þimþek Soðutma (D)
zts1287e	Þimþek Soðutma (C)
zts1288e	Þimþek Soðutma (B)
zts1289e	Þimþek Soðutma (A)
zts1290e	Þimþek Soðutma (S)
zts1291e	Aniden soðuktan katýlma sonucu yetenek kullanýlamaz. Tüm dirençler azalýr.
zts1292e	Buz Sisi (F)
zts1293e	Kötü görüþ mesafesinden dolayý rakibi bulmak zorlaþýr.
zts1294e	Buz Sisi (E)
zts1295e	Buz Sisi (D)
zts1296e	Buz Sisi (C)
zts1297e	Buz Sisi (B)
zts1298e	Buz Sisi (A)
zts1299e	Buz Sisi (S)
zts1300e	Buz Isýrýðý (F)
zts1301e	Bu buz gibi soðuðu önlemenin yolu yok.
zts1302e	Buz Isýrýðý (E)
zts1303e	Buz Isýrýðý (D)
zts1304e	Buz Isýrýðý (C)
zts1305e	Buz Isýrýðý (B)
zts1306e	Buz Isýrýðý (A)
zts1307e	Buz Isýrýðý (S)
zts1308e	Buz Örtüsü (F)
zts1309e	Rakibin iyi efektini çalmak için ince bir buz tabakasý oluþturur.
zts1310e	Buz Örtüsü (E)
zts1311e	Buz Örtüsü (D)
zts1312e	Buz Örtüsü (C)
zts1313e	Buz Örtüsü (B)
zts1314e	Buz Örtüsü (A)
zts1315e	Buz Örtüsü (S)
zts1316e	Kesik (F)
zts1317e	Derin ve fena bir yara. Ýyileþtirmesi zor.
zts1318e	Kesik (E)
zts1319e	Kesik (D)
zts1320e	Kesik (C)
zts1321e	Kesik (B)
zts1322e	Kesik (A)
zts1323e	Kesik (S)
zts1324e	Yaðma (F)
zts1325e	Hazine kazanmak için rakibi halleder.
zts1326e	Yaðma (E)
zts1327e	Yaðma (D)
zts1328e	Yaðma (C)
zts1329e	Yaðma (B)
zts1330e	Yaðma (A)
zts1331e	Yaðma (S)
zts1332e	Donuk Ruh (F)
zts1333e	Hayalet geminin dehþetinden þoklanmýþ durumda.
zts1334e	Donuk Ruh (E)
zts1335e	Donuk Ruh (D)
zts1336e	Donuk Ruh (C)
zts1337e	Donuk Ruh (B)
zts1338e	Donuk Ruh (A)
zts1339e	Donuk Ruh (S)
zts1340e	Öfke Modu
zts1341e	Öfke ölçeði aðzýna kadar dolu.
zts1342e	Sulugöz
zts1343e	Unutkan Erenia
zts1344e	Kibirli Zenas
zts1345e	Boynuzum nerede?
zts1346e	Unutkan Erenia boynuzu daha önce kullandýðýný unuttu.
zts1347e	Ayakkabýlarýmý bana geri ver!
zts1348e	Kendi ayakkabasýný attýðý için üzgün.
zts1349e	El Yapýmý Boynuz
zts1350e	Erenia'nýn Merhameti
zts1351e	Lüks Ayakkabý
zts1352e	Zenas'ýn Merhameti
zts1353e	Acýdan Kývranma
zts1354e	Ancelloan'ýn Kutsamasý
zts1355e	Ancelloan'un Merhameti
zts1356e	Þövalyeyi kurtardýðýn için Ancelloan'ýn merhametini elde ettin.
zts1357e	Þövalyenin Feryadý
zts1358e	Þövalyenin garazýyla yaþýyor.
zts1359e	Erenia'nýn Laneti
zts1360e	Erenia'nýn Laneti
zts1361e	Zenas'ýn Laneti
zts1362e	Zenas'ýn Laneti
zts1363e	Ancelloan'ýn Koruyucusu
zts1364e	Ancelloan'ýn Laneti
zts1365e	Ancelloan'ýn laneti inanýlmaz þiddetli.
zts1366e	Zenas'ýn Kýzgýnlýðý
zts1367e	Zenas çok kýzgýn ve sinirli.
zts1368e	Öfke Modu
zts1369e	Öfke ölçeði aðzýna kadar dolu.
zts1370e	Dolap Çevirme
zts1371e	Göz açýp kapayýncaya kadar kayboldu.
zts1376e	Beyin Kanamasý (F)
zts1377e	Pelüþ ayýcýkla çarpýþma sonucunda baþ dönmesi oluþtu.
zts1378e	Beyin Kanamasý (E)
zts1379e	Beyin Kanamasý (D)
zts1380e	Beyin Kanamasý (C)
zts1381e	Beyin Kanamasý (B)
zts1382e	Beyin Kanamasý (A)
zts1383e	Beyin Kanamasý (S)
zts1384e	Kukla Ustasý (F)
zts1385e	Kuklacýlarýn gücüyle dönüþtürüldü.
zts1386e	Kukla Ustasý (E)
zts1387e	Kukla Ustasý (D)
zts1388e	Kukla Ustasý (C)
zts1389e	Kukla Ustasý (B)
zts1390e	Kukla Ustasý (A)
zts1391e	Kukla Ustasý (S)
zts1392e	Gigantizm (F)
zts1393e	Devasa pelüþ ayýcýk sahibininruhundan beslenir.
zts1394e	Gigantizm (E)
zts1395e	Gigantizm (D)
zts1396e	Gigantizm (C)
zts1397e	Gigantizm (B)
zts1398e	Gigantizm (A)
zts1399e	Gigantizm (S)
zts1400e	Rus Ruleti (F)
zts1401e	Ölüm oyunu.
zts1402e	Rus Ruleti (E)
zts1403e	Rus Ruleti (D)
zts1404e	Rus Ruleti (C)
zts1405e	Rus Ruleti (B)
zts1406e	Rus Ruleti (A)
zts1407e	Rus Ruleti (S)
zts1408e	Soytarý'nýn Büyüsü (F)
zts1409e	Sirk Fantomu'nun bir eþek þakasý.
zts1410e	Soytarý'nýn Büyüsü (E)
zts1411e	Soytarý'nýn Büyüsü (D)
zts1412e	Soytarý'nýn Büyüsü (C)
zts1413e	Soytarý'nýn Büyüsü (B)
zts1414e	Soytarý'nýn Büyüsü (A)
zts1415e	Soytarý'nýn Büyüsü (S)
zts1416e	Þaþýrtmaca (F)
zts1417e	Þaþýrtmaca ile bilinci kaybetmek.
zts1418e	Þaþýrtmaca (E)
zts1419e	Þaþýrtmaca (D)
zts1420e	Þaþýrtmaca (C)
zts1421e	Þaþýrtmaca (B)
zts1422e	Þaþýrtmaca (A)
zts1423e	Þaþýrtmaca (S)
zts1424e	Megamandra (F)
zts1425e	Rakibe saldýrmak için bir megamandra çaðýrýr.
zts1426e	Megamandra (E)
zts1427e	Megamandra (D)
zts1428e	Megamandra (C)
zts1429e	Megamandra (B)
zts1430e	Megamandra (A)
zts1431e	Megamandra (S)
zts1432e	Kök Hapishane (F)
zts1433e	Kök kelepçeler yüzünden hareketi engeller.
zts1434e	Kök Hapishane (E)
zts1435e	Kök Hapishane (D)
zts1436e	Kök Hapishane (C)
zts1437e	Kök Hapishane (B)
zts1438e	Kök Hapishane (A)
zts1439e	Kök Hapishanesi (S)
zts1440e	Yer Deðiþikliði (F)
zts1441e	Hedefle kýsa süreliðine yer deðiþtirir.
zts1442e	Yer Deðiþikliði (E)
zts1443e	Yer Deðiþikliði (D)
zts1444e	Yer Deðiþikliði (C)
zts1445e	Yer Deðiþikliði (B)
zts1446e	Yer Deðiþikliði (A)
zts1447e	Yer Deðiþikliði (S)
zts1448e	Kýlýç Ýzi (F)
zts1449e	Bilinmeyen bir darbeyle kritik kanamaya yol açýlýr.
zts1450e	Kýlýç Ýzi (E)
zts1451e	Kýlýç Ýzi (D)
zts1452e	Kýlýç Ýzi (C)
zts1453e	Kýlýç Ýzi (B)
zts1454e	Kýlýç Ýzi (A)
zts1455e	Kýlýç Ýzi (S)
zts1456e	Fiyasko (F)
zts1457e	Aðýr hasar seni tehlikeye sokar.
zts1458e	Fiyasko (E)
zts1459e	Fiyasko (D)
zts1460e	Fiyasko (C)
zts1461e	Fiyasko (B)
zts1462e	Fiyasko (A)
zts1463e	Fiyasko (S)
zts1464e	Çiçek Reflektörü (F)
zts1465e	Hasar aldýðýnda kýsmen yansýtýlýr. Sadece debuff veren yetenekler yansýtýlmaz.
zts1466e	Çiçek Reflektörü (E)
zts1467e	Çiçek Reflektörü (D)
zts1468e	Çiçek Reflektörü (C)
zts1469e	Çiçek Reflektörü (B)
zts1470e	Çiçek Reflektörü (A)
zts1471e	Çiçek Reflektörü (S)
zts1472e	Prensescik Venüs (F)
zts1473e	Partnerin Efektler Serisi
zts1474e	Prensescik Venüs (E)
zts1475e	Prensescik Venüs (D)
zts1476e	Prensescik Venüs (C)
zts1477e	Prenses Venüs (B)
zts1478e	Prensescik Venüs (A)
zts1479e	Prensescik Venüs (S)
zts1480e	Kremin Egosu (Ana Silah)
zts1481e	Kendi egosu olan bir silah. Bunu baþka bir Krem silahýyla birleþtirdiðinde...
zts1482e	Kremin Egosu (Ýkincil Silah)
zts1483e	Ölüm Meleði Azrail
zts1484e	Fernon'un kanatlarý tarafýndan emildi.
zts1485e	Seli Lusha esansý
zts1486e	Iþýldayan aðaç esansý.
zts1487e	Rumial›ýn Alacakaranlýðý
zts1488e	Sabaðý çaðýran, parýldayan bir mücevher.
zts1489e	Lorten›in Akþam Alacakaranlýðý
zts1490e	Geceyi ilan eden bir gölge.
zts1491e	Shares'in Savaþ Narasý
zts1492e	Cesur Share'nin enerjisi.
zts1493e	Glacernon'un Yankýsý
zts1494e	Gümüþ Ruhlu Glacernon'un Yankýsý
zts1495e	Mukraju'nun Zihin Gücü
zts1496e	Büyücü Mukraju'nun büyük bilgisi.
zts1497e	Yaratýcý Ancelloan
zts1498e	Her þeyin baþlamasýný saðlayan Ancelloan.
zts1499e	Yok Edici Fernon
zts1500e	Her þeyin sonunu getiren Fernon.
zts1501e	Tanrýlarýn Ýradesi
zts1502e	Kritik hasara neden olma olasýlýðýný çok yükselir.
zts1503e	Tanrýlarýn Otoritesi
zts1504e	Tüm saldýrýlarý yansýtýr.
zts1505e	Kremin Aydýnlýk Enerjisi
zts1506e	Kremin enerjisini hissedebiliyorsun.
zts1507e	Ceza
zts1508e	Ölüm meleðinin ruhu iyileþtirmek için kullandýðý büyü. Fernon artýk enerjiyi çekerek bunu kullanabilir.
zts1509e	Kremin Gölge Elementi
zts1510e	Kremin Kudretli Uyuþturucu Darbesi
zts1511e	Tanrýçanýn Gülümsemesi
zts1512e	YP'yi hýzla yeniler.
zts1513e	Tanrýçanýn Öfkesi
zts1514e	YP'yi hýzla düþürür.
zts1515e	Tanrýçanýn Laneti
zts1516e	Çeþitli lanetler meydana getirir.
zts1517e	Tanrýçanýn Kýskançlýðý
zts1518e	Hasar yansýtýr.
zts1519e	Yaratýcý Ancelloan
zts1520e	PvP savunmasýný çok yükseltir.
zts1521e	Yok Edici Fernon
zts1522e	PvP hasarýný çok yükseltir.
zts1523e	Glacernon Buzu
zts1524e	Hareket hýzýný çok düþürür.
zts1525e	Glacernon Laneti
zts1526e	Kýsa bir süreliðine saldýrý yapýlamaz.
zts1527e	Leo'nun Kutsamasý
zts1528e	Harika Sahil Aurasý
zts1529e	Peri Kanadý
zts1531e	Fafnir'in Laneti
zts1532e	Bu arsýz ve zalim ejderhanýn gücünden kork!
zts1533e	Odin'in Kutsamasý
zts1534e	Odin'in gücünü hisset!
zts1535e	Vikingli'nin Çaðrýsý
zts1536e	Kaba kuvvet kullanarak düþmanlarýnýn iradesini kýr.
zts1537e	Savaþçý'nýn Ýradesi
zts1538e	Ayaða kalk, Savaþçý!
zts1539e	Ýntikam Meleði'nin Kutsamasý
zts1540e	Ýntikam Meleði'nin kutsamasýný al.
zts1541e	Ruh Bekçisi
zts1542e	Ýntikam Meleði ölenlerin ruhunu Walhalla'ya taþýr.
zts1543e	Tabiat Ana'nýn kutsamasý
zts1544e	Tabiatýn kutsamasý seni canlandýrsýn.
zts1545e	Rüzgar basýncý
zts1546e	Güçlü bir rüzgar karþýsýnda herkes duramaz.
zts1547e	Yapýþkan tükürük
zts1548e	Bu tükürük Japon yapýþtýrýcýsýndan beter.
zts1549e	Tuzak
zts1550e	Hareket hýzýný düþürür. Hedefi bedensel bir saldýrýyla vurmayý zorlaþtýrýr.
zts1551e	Geliþmiþ Engelleme
zts1552e	Kullaným süresi boyunca kötü efektleri engeller.
zts1553e	Korsan Kutsamasý
zts1554e	Yoldaþýn varken bilinmeyen bir eþya alabilirsin.
zts1555e	Amiral Kutsamasý
zts1556e	Daha fazla kahramanlýk deneyimi ve þöhret kazanýrsýn.
zts1557e	Hortlak Büyüsü
zts1558e	Hortlak büyüsüyle karanlýk gücü artýrýr.
zts1559e	Güçlü Hortlak Büyüsü
zts1560e	Hortlak büyüsüyle karanlýk gücü çok artýrýr.
zts1561e	Ejderhanýn Yaþam Gücü
zts1562e	Vücudu ejderhanýn yaþam gücüyle yeniler.
zts1563e	Güçlü Ejderhanýn Yaþam Gücü
zts1564e	Vücudu ejderhanýn yaþam gücüyle vücudu hýzla yeniler.
zts1565e	Tam Koruma
zts1566e	Bütün hasarlarý engeller.
zts1567e	Yasak Sihir
zts1568e	Bütün irade gücü emildiðinde bir ölümsüz yaratýr.
zts1569e	Hayaletin Darbesi (F)
zts1570e	Hayaletin darbesini öðrenirsin.
zts1571e	Hayaletin Darbesi (E)
zts1572e	Hayaletin Darbesi (D)
zts1573e	Hayaletin Darbesi (C)
zts1574e	Hayaletin Darbesi (B)
zts1575e	Hayaletin Darbesi (A)
zts1576e	Hayaletin Darbesi (S)
zts1577e	Karanlýk Azaltma (F)
zts1578e	Güçlü gölge büyüsü yoluyla bir patlamaya yol açar.
zts1579e	Karanlýk Azaltma (E)
zts1580e	Karanlýk Azaltma (D)
zts1581e	Karanlýk Azaltma (C)
zts1582e	Karanlýk Azaltma (B)
zts1583e	Karanlýk Azaltma (A)
zts1584e	Karanlýk Azaltma (S)
zts1585e	Viking Gururu (F)
zts1586e	Viking gururunu artýrýr.
zts1587e	Viking Gururu (E)
zts1588e	Viking Gururu (D)
zts1589e	Viking Gururu (C)
zts1590e	Viking Gururu (B)
zts1591e	Viking Gururu (A)
zts1592e	Viking Gururu (S)
zts1593e	Kemik Savaþçý Ragnar'ýn Yoldaþý (F)
zts1594e	Kemik Savaþçý Ragnar'ýn Yoldaþý (E)
zts1595e	Kemik Savaþçý Ragnar'ýn Yoldaþý (D)
zts1596e	Kemik Savaþçý Ragnar'ýn Yoldaþý (C)
zts1597e	Kemik Savaþçý Ragnar'ýn Yoldaþý (B)
zts1598e	Kemik Savaþçý Ragnar'ýn Yoldaþý (A)
zts1599e	Kemik Savaþçý Ragnar'ýn Yoldaþý (S)
zts1600e	Baþarýya aç
zts1601e	Baþarý þansý seni kanatlandýrýr.
zts1602e	Yaþama gücü
zts1603e	Bu küçük þeytancýðý yakalamak çok zor.
zts1604e	Esin
zts1605e	Gizli bir beceriyle görünmez þeyler keþfedilebilir.
zts1606e	10. yýl dönümü güçlendiricisi
zts1607e	Hayaller ülkesine bilet
zts1608e	Kimsenin karþý koyamayacaðý büyülü bir uyku.
zts1609e	Sihirli küp [Sinsilik]
zts1610e	Gerekli sihirli bilgilere sahip olmasan da fark edilmeden hareket edebilirsin.
zts1611e	Sihirli küp [Direnç]
zts1612e	Gerekli sihirli bilgilere sahip olmasan da kötü efektlere karþý koyabilirsin.
zts1613e	Sihirli küp [Hareket hýzý]
zts1614e	Gerekli sihirli bilgilere sahip olmasan da hareket hýzýn artar.
zts1615e	Sihirli küp [Baygýnlýk]
zts1616e	Gerekli sihirli bilgilere sahip olmasan da bir baygýnlýk oluþturabilirsin.
zts1617e	Omuz darbesi (F)
zts1618e	Rakiplerini omuz darbesiyle yere indir.
zts1619e	Omuz darbesi (E)
zts1620e	Omuz darbesi (D)
zts1621e	Omuz darbesi (C)
zts1622e	Omuz darbesi (B)
zts1623e	Omuz darbesi (A)
zts1624e	Omuz darbesi (S)
zts1625e	Sertlik (F)
zts1626e	Artýk ölümden korkmana gerek yok.
zts1627e	Sertlik (E)
zts1628e	Sertlik (D)
zts1629e	Sertlik (C)
zts1630e	Sertlik (B)
zts1631e	Sertlik (A)
zts1632e	Sertlik (S)
zts1633e	Elektrostatik deþarj (F)
zts1634e	Rakiplerini güçlü bir deþarj ile dondurur.
zts1635e	Elektrostatik deþarj (E)
zts1636e	Elektrostatik deþarj (D)
zts1637e	Elektrostatik deþarj (C)
zts1638e	Elektrostatik deþarj (B)
zts1639e	Elektrostatik deþarj (A)
zts1640e	Elektrostatik deþarj (S)
zts1641e	Mega Titan Kanatlar
zts1642e	Titan Dönüþümü
zts1643e	Mega titan kanatlarýn özel yeteneði
zts1644e	Mega Titan Güçlendirici.  UP kartýnýn geliþtirme deðeri +15 ise titan dönüþümünün gerçekleþme þansý bulunur.
zts1645e	Büyük Yeni Yýl Kutsamasý
zts1646e	Tecrübe puanýný 30 dakikalýðýna %30 yükseltir.
zts1647e	Yeni Yýl Kutsamasý
zts1648e	Tecrübe puanýný 30 dakikalýðýna %10 yükseltir.
zts1649e	Gölge Gezgini
zts1650e	Hýzla gizlice hareket edebilirsin. Efekt üzerinden indiðinde sona erer.
zts1651e	Ters el engellemesi
zts1652e	Rakip saldýrýlarý engeller.
zts1653e	Çelik deri
zts1654e	Tüm saldýrýyý rakibe geri yansýtýr.
zts1655e	Güçlü vücut
zts1656e	Saldýrý gücünü enerji kullanýmýyla yükseltir.
zts1657e	Çevik vücut
zts1658e	Enerji kullanýmýyla daha hýzlý hareket eder.
zts1659e	Pusu pozisyonu
zts1660e	Beceriyi soðuma süresiz 3 kez kullanabilir.
zts1661e	Melekler korosu
zts1662e	Meleklerin büyüleyici sesleri çýnlar.
zts1663e	Cennet kapýsý
zts1664e	Ruh bedenden ayrýlýr ve cennet kapýsý belirir.
zts1665e	Ben bir þampiyonum.
zts1666e	Bir þampiyonun gururunu temsil eder.
zts1667e	Hayalet
zts1668e	Tükenmez bir enerjiye sahipsin.
zts1669e	Gelinin laneti
zts1670e	Artýk nadiren olumlu efektler alýrsýn.
zts1671e	Dönüþüm
zts1672e	Dövüþ tarzýný deðiþtirir.
zts1673e	Haetae enerjisi
zts1674e	Bedensel yetenekleri geliþtirir.
zts1675e	Ejderha enerjisi
zts1676e	Alevli saldýrýlarý geliþtirir
zts1677e	Canavar hýzý
zts1678e	Hýzla koþmayý saðlar.
zts1679e	Sýcaklýk parýltýsý
zts1680e	Rakip saldýrýlarý sýcaklýk dalgasýyla engeller.
zts1681e	Son alev
zts1682e	Muhteþem bir havai fiþek patlatýr.
zts1683e	Tart Hapendam dövüþ tekniði
zts1684e	Makineli tüfek
zts1685e	Güçlü bir makineli tüfek.
zts1686e	Rüzgar kanatlar
zts1687e	Ateþ Þeytan kutsamasý
zts1688e	Mühürlü mahfazada bulunan canavarlara %10 ekstra hasar, Ölüler Ülkesi'ndeki canavarlara %5 ekstra hasar
zts1689e	11. yýl dönümü güçlendiricisi
zts1690e	Retina Hasarý (F)
zts1691e	Retina hasarý görüþ alanýný daraltýr ve yara almayý saðlar.
zts1692e	Retina Hasarý (E)
zts1693e	Retina Hasarý (D)
zts1694e	Retina Hasarý (C)
zts1695e	Retina Hasarý (B)
zts1696e	Retina Hasarý (A)
zts1697e	Retina Hasarý (S)
zts1698e	Pençe Yarasý (F)
zts1699e	Bir kedinin pençeleri derin yaralar açar.
zts1700e	Pençe Yarasý (E)
zts1701e	Pençe Yarasý (D)
zts1702e	Pençe Yarasý (C)
zts1703e	Pençe Yarasý (B)
zts1704e	Pençe Yarasý (A)
zts1705e	Pençe Yarasý (S)
zts1706e	Kalp Atýþý (F)
zts1707e	Çok heyecanlýyým! Kendimi çok daha iyi hissediyorum!
zts1708e	Kalp Atýþý (E)
zts1709e	Kalp Atýþý (D)
zts1710e	Kalp Atýþý (C)
zts1711e	Kalp Atýþý (B)
zts1712e	Kalp Atýþý (A)
zts1713e	Kalp Atýþý (S)
zts1714e	Sihir Çýraðý Yuna'nýn Yoldaþý (F)
zts1715e	Sihir Çýraðý Yuna'nýn Yoldaþý (E)
zts1716e	Sihir Çýraðý Yuna'nýn Yoldaþý (D)
zts1717e	Sihir Çýraðý Yuna'nýn Yoldaþý (C)
zts1718e	Sihir Çýraðý Yuna'nýn Yoldaþý (B)
zts1719e	Sihir Çýraðý Yuna'nýn Yoldaþý (A)
zts1720e	Sihir Çýraðý Yuna'nýn Yoldaþý (S)
zts3204e	G?B?bokie Cien
zts3205e	Maluje na ziemi g?B?boki g?B?boki cie?D, który atakuje przeciwn
zts3206e	Malarstwo Mroku
zts3207e	Precyzyjnymi poci?gni?ciami p?dzla daje ci si?B? energii m
zts19951e	Sýyrýlma adýmý
zts19952e	Becerilerden bir sýyrýlma adýmýyla kurtuluyorsun ve aydýnlanmaya bir parça daha yaklaþýyorsun.
zts19953e	Aydýnlanma
zts19954e	Aydýnlanma etkinken bir güçlendirici becerisi kullandýðýnda ekstra efektler alýrsýn.
zts19955e	Ay ýþýðý serumu
zts19956e	Dolunay becerileri kullanabilmeni saðlar.
zts19957e	Ayýn izleri
zts19958e	Ayýn izlerini taþýrken kendini Mistik Sanatlar'ýn gücünden koru.
zts19959e	Dolunayýn izleri
zts19960e	Saldýrý imkaný etkinken ay tutulmasýný kullanýyorsan rakibin ayýn izleri yerine dolunayýn izlerini alýr.
zts19961e	Lotus tuzaðý
zts19962e	Esir rakipler hareket edemez.
zts19963e	Direniþ
zts19964e	Rakip bir saldýrý sýrasýnda direniþi kullanýrsan saldýrý imkaný efektini alýrsýn.
zts19965e	Ýç kanama
zts19966e	Ýç kanamayla yeteneklerin ve sihirlerin kullanýlmasý çok zorlaþýr.
zts19967e	Tüy gibi hafif
zts19968e	Vücudun bir tüy gibi hafifler, böylece daha hýzlý hareket edersin ve daha zor vurulursun.
zts19969e	Çiçek duruþu
zts19970e	Lotus çiçeði becerileri kullanabilirsin.
zts19971e	Hilal gölgesi
zts19972e	Ayýn gölgesinde saklanýrsýn.
zts19973e	Ay ýþýðý gücüyle baðlý
zts19974e	Rakibin ay ýþýðý gücüyle baðlandýðýnda hareket edemez.
zts19975e	Dolunay gücüyle baðlý
zts19976e	Rakibin dolunay gücüyle baðlandýðýnda hareket edemez.
zts19977e	Çiçek mayýnlarý
zts19978e	Hareketsizlik. YP ve BP düþürülür.
zts19979e	Lotus çiçeði laneti
zts19980e	Hareketsizlik. YP ve BP çok düþürülür.
zts19981e	Saldýrý imkaný
zts19982e	Bir saldýrý becerisi kullandýktan sonra yeniden saldýrabilirsin.
zts19983e	Ay ýþýðýna dalmýþ
