zts1e	Ataques especiales
zts1261e	Tienes un %s %% de probabilidades de recibir el Poder del frío al atacar.
zts1268e	La armadura mágica evita %s de daño.
zts1269e	Al defender tienes una probabilidad del %s %% de que aumente en un %s tu resistencia contra el elemento con el que ataca el enemigo.
zts1270e	Al defender tienes una probabilidad del %s %% de que se reduzca en un %s tu resistencia contra el elemento con el que ataca el enemigo.
zts1271e	Los HP adicionales máximos aumentan en un %s %%.
zts1272e	Los HP adicionales máximos se reducen en un %s %%.
zts1273e	Si bloquean tu ataque, tienes un %s %% de probabilidad de ignorar el bloqueo.
zts1274e	La capacidad de esquivar aumenta en un %s %%.
zts1275e	El índice de aciertos en todos los ataques ha aumentado en un %s %%.
zts1282e	Hay una probabilidad del %s %% de devolver un %s %% de daño al enemigo cuando sufres un impacto crítico.
zts1283e	Evitas el ataque con una probabilidad del (HP perdidos / HP máximos x 100 / %s %% x %s %%).
zts1284e	El daño final de impacto crítico aumenta en un %s %% por impacto crítico (máx. %s impactos).
zts1285e	Hay una probabilidad del %s %% de que un %s %% del daño se retire de los MP en lugar de de los HP.
zts1286e	El poder de ataque total aumenta en un %s %% de la defensa mágica.
zts1293e	Hay una probabilidad del %s %% de causar un %s %% de daño adicional gracias al Loa león al lanzar un ataque.
zts1294e	Hay una probabilidad del %s %% de causar un %s %% de daño adicional gracias al Loa águila al lanzar un ataque.
zts1295e	Hay una probabilidad del %s %% de causar un %s %% de daño adicional gracias al Loa serpiente al lanzar un ataque.
zts1296e	Hay una probabilidad del %s %% de causar un %s %% de daño adicional gracias al Loa oso al lanzar un ataque.
zts1297e	Si recibes un penalizador, hay una probabilidad del %s %% de que todos los elementos aumenten en un %s %%.
zts1299e	El índice de acierto aumenta en un %s %%.
zts1300e	El índice de acierto disminuye en un %s %%.
zts1302e	La concentración aumenta en un %s %%.
zts1303e	La concentración disminuye en un %s %%.
zts1306e	El rey de las bestias te ha seleccionado como su objetivo para su mordisco.
zts1307e	Siempre que esquivas, tus HP aumentan en un %s.
zts1310e	El nivel máximo de HP ha aumentado en un %s %%.
zts1311e	El nivel máximo de HP ha disminuido en un %s %%.
zts1312e	El nivel máximo de MP ha aumentado en un %s %%.
zts1313e	El nivel máximo de MP ha disminuido en un %s %%.
zts1315e	El poder de ataque en combate contra monstruos de Vasos sellados aumenta en un %s %%, y en combate contra monstruos en Glacernon, en un %s %%.
zts1316e	El poder de ataque en combate contra monstruos de Vasos sellados se reduce en un %s %%, y en combate contra monstruos en Glacernon, en un %s %%.
zts1317e	Causa a todos los enemigos dentro de %s campo(s) %s de daño cada segundo.
zts1318e	Causa a todos los enemigos dentro de %s campo(s) %s cada segundo.
zts1320e	El atacante tiene un %s %% de probabilidad de recibir el efecto %s.
zts1321e	Si un enemigo te ataca, tiene un %s %% de probabilidades de recibir el efecto %s.
zts1322e	Hay una probabilidad del %s %% de que un aliado reciba %s dentro de 2 campos.
zts1323e	Hay una probabilidad del %s %% de retirar %s de un aliado dentro de 2 campos.
zts1325e	Belial refleja tus ataques y causa así daño a tus aliados.
zts1327e	El daño final de impactos críticos aumenta un %s %%.
zts1328e	El daño final a través de impacto crítico se reduce en un %s %%.
zts1329e	Al defender, el daño final a través de impacto crítico aumenta en un %s %%.
zts1330e	Al defender, el daño final a través de impacto crítico se reduce en un %s %%.
zts1341e	Cuando derrotas a un monstruo tienes un %s %% de probabilidades de que se te aplique %s.
zts1353e	Si te derrotan, a todos los enemigos dentro de %s campos se les aplica %s.
zts1361e	Cuando tú o tus NosMates derrotáis a un monstruo se restaura un %s %% de los HP de tus NosMates.
zts1362e	Cuando tú o tus NosMates derrotáis a un monstruo se restaura un %s %% de los HP de tus NosMates.
zts1363e	Cuando uno de tus NosMates es derrotado se restaura un %s %% de tus HP.
zts1364e	Cuando uno de tus NosMates es derrotado se restaura un %s %% de los HP de tu NosMate activo.
zts1365e	Cuando derrotas a un monstruo hay un %s %% de probabilidades de que se le aplique %s a tus NosMates.
zts1366e	Cuando derrotas a un monstruo hay un %s %% de probabilidades de que el poder de ataque de tus NosMates aumente en un %s %%.
zts1367e	Cuando derrotas a un monstruo hay un %s %% de probabilidades de que todas las defensas de tus NosMates aumenten en un %s %%.
zts1368e	Cuando derrotas a un monstruo hay un %s %% de probabilidades de que se restaure un %s %% de los HP de todos tus NosMates.
zts1373e	Cuando tus NosMates derrotan a un monstruo tu poder de ataque aumenta en un %s %%.
zts1374e	Cuando tus NosMates derrotan a un monstruo tus defensas aumentan en un %s %%.
zts1375e	Si te derrotan, a todos tus NosMates dentro de %s campos se les aplica %s.
zts1376e	Si derrotan a todos tus NosMates hay un %s %% de probabilidades de que se te aplique %s.
zts1377e	Cuando derrotas a un monstruo, a tus NosMates dentro de %s campos se le aplica %s.
zts1378e	Invoca a la %s.ª unidad.
zts1380e	Cuando uno de tus NosMates es derrotado se restaura un %s %% de los HP de tu NosMate activo.
zts1383e	El poder de ataque de tus tropas aumenta (nivel x %s).
zts1384e	Todas las defensas de tus tropas aumentan (nivel x %s).
zts1386e	El poder de ataque de tus tropas aumenta (%s + nivel x %s).
zts1387e	Todas las defensas de tus tropas aumentan (%s + nivel x %s).
zts1389e	Sufre en un ataque un máximo de %s de daño crítico (%s veces).
zts1391e	Tus NosMates tienen un %s%% de probabilidad de recibir %s.
zts1397e	Si sufres un ataque del elemento fuego, el daño tiene un %s %% de probabilidad de aumentar en un %s %%.
zts1398e	Si sufres un ataque del elemento fuego, el daño tiene un %s %% de probabilidad de reducirse en un %s %%.
zts1399e	Si sufres un ataque del elemento agua, el daño tiene un %s %% de probabilidad de aumentar en un %s %%.
zts1400e	Si sufres un ataque del elemento agua, el daño tiene un %s %% de probabilidad de reducirse en un %s %%.
zts1401e	Si sufres un ataque del elemento luz, el daño tiene un %s %% de probabilidad de aumentar en un %s %%.
zts1402e	Si sufres un ataque del elemento luz, el daño tiene un %s %% de probabilidad de reducirse en un %s %%.
zts1403e	Si sufres un ataque del elemento tinieblas, el daño tiene un %s %% de probabilidad de aumentar en un %s %%.
zts1404e	Si sufres un ataque del elemento tinieblas, el daño tiene un %s %% de probabilidad de reducirse en un %s %%.
zts1406e	Te vuelves invisible a los monstruos para pescar a gusto. Pero los demás jugadores sí te pueden ver.
zts1408e	Si utilizas Teletransporte al punto de pesca te desplazarás a la ubicación que hayas marcado.
zts1415e	La probabilidad de pescar un pez aumenta en un %s %%.
zts1416e	La probabilidad de pescar un pez se reduce en un %s %%.
zts1417e	La probabilidad de que el sedal se desgarre aumenta en un %s %%.
zts1418e	La probabilidad de que el sedal se desgarre se reduce en un %s %%.
zts1419e	Hay una probabilidad del %s %% de que el cebo no se consuma cuando tiras la caña.
zts1420e	Hay una probabilidad de un %s %% de que el tamaño del pez capturado aumente un %s %%.
zts1421e	Hay una probabilidad de un %s %% de que el tamaño del pez capturado disminuya un %s %%.
zts1422e	Los puntos de experiencia de pesca aumentan en un %s %%.
zts1423e	Los puntos de experiencia de pesca se reducen en un %s %%.
zts1426e	¡Me encanta pescar!
zts1429e	Los monstruos en mapas generales solo te ven cuando los atacas.
zts1433e	La ganancia de experiencia de cocina aumenta en un %s %%.
zts1434e	La ganancia de experiencia de cocina disminuye en un %s %%.
zts1435e	La probabilidad de cocinar correctamente ha aumentado en un %s %%.
zts1436e	La probabilidad de cocinar correctamente ha disminuido en un %s %%.
zts1437e	Otorga una probabilidad de un %s %% de obtener ingredientes adicionales.
zts1438e	Otorga una probabilidad de un %s %% de obtener platos adicionales.
zts1442e	Otorga una probabilidad de un %s %% de no usar condimentos al cocinar.
zts1443e	Otorga una probabilidad de un %s %% de usar un condimento extra al cocinar.
zts1444e	Aumenta el efecto de saciedad %s en %s puntos de saciedad.
zts1445e	Disminuye el efecto de saciedad %s en %s puntos de saciedad.
zts1446e	Pierdes un %s %% de los puntos de saciedad de todos los efectos de saciedad y no puedes comer ningún otro plato durante este periodo.
zts1447e	La ganancia de puntos de saciedad aumenta en un %s %%.
zts1448e	Los puntos de saciedad aumentan en %s. Solo se puede utilizar si la saciedad está por debajo de %s.
zts1449e	Los puntos de saciedad disminuyen en %s. Solo se puede utilizar si la saciedad está por debajo de %s.
zts1450e	Los puntos de saciedad aumentan en %s o disminuyen en %s.
zts1451e	Otorga una probabilidad de un %s %% de obtener un %s %% de puntos de saciedad adicionales.
zts1452e	Los puntos de saciedad aumentan en %s o disminuyen en %s.
zts1457e	Recupera una cantidad de HP del %s %% del daño ocasionado (máx. %s por ataque).
zts1458e	Recupera una cantidad de MP del %s %% del daño ocasionado (máx. %s por ataque).
zts1459e	Puedes ver personajes ocultos en %s campos a tu alrededor.
zts1460e	Tus HP adicionales aumentan en un %s %%.
zts1461e	Otorga una probabilidad de un %s %% de obtener ingredientes adicionales.
zts1462e	Otorga una probabilidad de un %s %% de obtener platos adicionales.
zts1467e	Probabilidad de un %s %% de ejecutar tu ataque básico dos veces.
zts1468e	Recupera una cantidad de HP del %s %% de los HP máximos (mín. %s).
zts1469e	Recupera una cantidad de MP del %s %% de los MP máximos (mín. %s).
zts1470e	Si los HP disminuyen por debajo de un %s %%, el daño sufrido se reducirá en un %s %%.
zts1471e	Si los HP disminuyen por debajo de un %s %%, todos los ataques aumentarán en un %s %%.
zts1473e	La probabilidad de pescar un pez poco común aumenta en un %s %%.
zts1474e	La probabilidad de pescar un pez poco común disminuye en un %s %%.
zts1476e	Tus HP adicionales aumentan en un %s %%, pero no pueden superar el %s %% de tus HP máximos.
zts1477e	Cuando ejecutas un ataque básico, hay una probabilidad de un %s %% de realizar otro ataque básico que inflige un %s %% de daño.
zts1479e	Otorga una probabilidad de un %s %% de pescar dos peces en lugar de uno.
zts1485e	Cuando te ataca el Lobo solar, hay una probabilidad de %s %% de que esta duración aumente en 2 segundos. (%s veces máximo)
zts1486e	Cuando te ataca el Lobo solar, hay una probabilidad de %s %% de que esta duración se reduzca en 2 segundos. (%s veces máximo)
zts1487e	Cuando te ataca el Lobo solar, hay una probabilidad de %s %% de que se aplique [%s].
zts1488e	Cuando te ataca el Lobo solar, el daño aumenta en un %s %%.
zts1494e	Obtienes HP iguales al %s %% de los HP del Lobo solar. (No puede superar un %s %% del máximo de HP).
zts1495e	Hay un %s %% de probabilidad de que el Lobo solar y quien lanza la habilidad reciban [%s].
zts1496e	Si el Lobo solar ya ha sido derrotado, se le resucita con %s %% HP.
zts1497e	Si el Lobo solar tiene más de %s %% HP, el poder de ataque del Cazasoles aumenta en %s %%.
zts1500e	Hay un %s %% de probabilidad de que el Lobo solar reciba la orden de lanzar [%s] sobre el objetivo.
zts1504e	Aumenta los HP en un %s %% de la barra de ira actual.
zts1505e	Cuando lanzas una habilidad de ataque, la cantidad de HP actual se reduce en un %s %%.
zts1509e	El daño de la siguiente habilidad de ataque aumentará por valor del daño acumulado. (Máximo: %s de daño)
zts1510e	Cuando el objetivo es un monstruo, el daño recibido de todos los ataques se incrementa en un %s %%. Cuando no lo es, se le obliga al personaje a transformarse en [%s].
zts1514e	Te transformas en un fuerte oso pardo.
zts1515e	Vuelves a convertirte en un druida.
zts1516e	Cuando tienes un ataque de ira o estás furioso, el daño aumenta en un %s %% de la barra de ira actual, y esta disminuye un %s %%.
zts1522e	La barra de ira aumenta en un %s %%.
zts1523e	La barra de ira disminuye en un %s %%.
zts1524e	Concede una probabilidad del %s %% de que se restaure el tiempo de espera de la habilidad empleada.
zts1525e	Reduce los ataques en un %s %% de la barra de ira actual.
zts1526e	La barra de ira disminuye en un %s %%.
zts1532e	El daño sufrido por penalizadores constantes aumenta en un %s %%.
zts1533e	El daño sufrido por penalizadores constantes se reduce en un %s %%.
zts1534e	Otorga una probabilidad de un %s %% de transformarse en [%s].
zts1535e	Si recibes daños %s veces, [%s] desaparece. (Excepto daños a lo largo del tiempo)
zts1536e	El daño aumenta en (número de potenciadores sobre el objetivo x %s). (Máximo %s)
zts1537e	El daño aumenta en (número de penalizadores sobre el objetivo x %s). (Máximo %s)
zts1543e	En función de la distancia, el daño aumenta en un %s %%.
zts1544e	Otorga una probabilidad del (número de tus potenciadores x %s) %% de no recibir jamás un efecto negativo hasta el nivel %s. (Máximo 60 %%)
zts1545e	Otorga una probabilidad del (número de tus potenciadores x %s) %% de recibir un efecto negativo hasta el nivel %s. (Máximo 60 %%)
zts1546e	Recupera (número de potenciadores de quien lanza la habilidad x %s) HP. (Máximo %s)
zts1547e	Disminuye los HP en (número de potenciadores de quien lanza la habilidad x %s). (Máximo %s)
zts1548e	Solo afecta a enemigos con potenciadores por encima del nivel %s.
zts1549e	Solo afecta a enemigos con penalizadores por encima del nivel %s.
zts1552e	Acumula un %s %% del daño.
zts1553e	Cuando tienes un ataque de ira o estás en furia, el daño aumenta en un %s %%.
zts1556e	Invoca %s NPC [%s]
zts1557e	El poder de ataque aumenta en el %s %% de la barra de ira.
zts1558e	La barra de ira aumenta en un %s %%.
zts1561e	Al sufrir un impacto, se elimina un efecto negativo de hasta nivel %s por ataque con una probabilidad de un %s %%.
zts1562e	Los HP aumentan en un (HP que falta/%s) %% del daño ocasionado.
zts1563e	El daño de la siguiente habilidad se incrementa con el año guardado de la Absorción del alma. (Mínimo %s, máximo %s).
zts1564e	En estado "Rabia de la cascada", el daño aumenta en un %s %% de la barra de ira actual, y esta disminuye un %s %%.
zts1565e	El daño sufrido por penalizadores constantes se incrementa en (número de penalizadores x%s %%). (Máximo %s %%).
zts1566e	El daño sufrido por penalizadores constantes se reduce en (número de penalizadores x%s %%). (Máximo %s %%).
zts1567e	Otorga una probabilidad del (número de potenciadores x%s) %% de no sufrir jamás un efecto negativo hasta el nivel %s. (Máximo 30 %%).
zts1568e	Otorga una probabilidad del (número de potenciadores x%s) %% de sufrir un efecto negativo hasta el nivel %s. (Máximo 30 %%).
zts1569e	El daño del siguiente ataque aumenta en %s por enemigo impactado.
zts1570e	No se consumen HP
zts1571e	No se recuperan HP
zts1572e	Si te alcanza una habilidad de otro personaje, hay una probabilidad del %s %% de que se restaure el tiempo de espera de la habilidad empleada.
zts1573e	Cuando lanzas una habilidad de ataque, la cantidad de HP actual se reduce en un %s %%.
zts1574e	Guarda el %s %% del daño que se causa con esta habilidad (máx. %s por objetivo).
zts1577e	Todas las resistencias elementales aumentan en %s en PvP.
zts1578e	Todas las resistencias elementales disminuyen en %s en PvP.
zts1579e	Eres invisible. El estado no desaparece si te atacan.
zts1581e	No consume HP ni MP
zts1582e	No recupera HP ni MP
zts1584e	El personaje es invisible, pero no para los adversarios a una distancia de hasta 5 campos.
zts1591e	Al atacar, hay una probabilidad del %s %% de invocar un dragón que ataque al objetivo y le cause un daño equivalente al %s %% del daño infligido por ti.
zts1592e	Al atacar, hay una probabilidad del %s %% de invocar un dragón de fuego que ataque al objetivo y le cause un daño equivalente al %s %% del daño infligido por ti.
zts1593e	Al atacar, hay una probabilidad del %s %% de invocar un dragón de hielo que ataque al objetivo y le cause un daño equivalente al %s %% del daño infligido por ti.
zts1594e	Al atacar, hay una probabilidad del %s %% de invocar un dragón de luz de luna que ataque al objetivo y le cause un daño equivalente al %s %% del daño infligido por ti.
zts1597e	Al atacar, hay una probabilidad del %s %% de invocar un dragón de luz que ataque al objetivo y le cause un daño equivalente al %s %% del daño infligido por ti.
zts1599e	Si recibes %s de daño, el %s desaparecerá. (Los daños a lo largo del tiempo no cuentan).
zts1601e	Recupera HP por valor de un %s %% del daño sufrido (máx. %s por ataque).
zts1602e	El MP aumenta en un %s %% del daño sufrido (máx. %s por ataque).
zts1605e	El daño contra monstruos de nivel bajo en Nido Celestial aumenta en un %s %%.
zts1606e	El daño de monstruos de nivel bajo en Nido Celestial se reduce en un %s %%.
zts1608e	El daño contra dragones de nivel alto aumenta en un %s %%.
zts1609e	El daño contra dragones de nivel alto se reduce en un %s %%.
zts1610e	Tus MP adicionales aumentan en un %s %%, pero no pueden superar el %s %% de tus MP máximos.
zts1614e	El daño contra monstruos aumenta en un %s %%.
zts1616e	El daño contra monstruos de nivel bajo en Nido Celestial y en el Reino de los Vivos aumenta en un %s %%.
zts1618e	El daño de impactos críticos recibidos disminuye un %s %% por impacto crítico (máx. %s impactos).
zts1620e	Absorbe un %s %% de los HP máximos como daño.
zts1622e	Por cada penalizador, el daño del hada que tengas equipada aumenta en %s.
zts1624e	El daño se reduce en un (pérdida de HP porcentual/%s) %%.
zts1625e	El daño se incrementa en un (pérdida de HP porcentual/%s) %%.
zts1627e	Por cada penalizador apilado, el daño disminuye en un %s %% (máx. %s %%).
zts1628e	Por cada penalizador apilado, el daño aumenta en un %s %% (máx. %s %%).
zts1631e	Por cada penalizador apilado, los HP aumentan en un %s %% (máx. %s %%).
zts1632e	Por cada penalizador apilado, los HP disminuyen en un %s %% (máx. %s %%).
zts1633e	Los HP del enemigo disminuyen en %s. Un %s %% de la pérdida se transfiere al usuario.
zts1634e	Los MP del enemigo disminuyen en (nivel de efecto * 2). Un %s %% de la pérdida se transfiere al usuario.
zts1635e	Evitas los ataques con una probabilidad de un (porcentaje de pérdida de HP * %s / 100) %%.
zts1637e	Tus HP aumentan un %s %% de los HP que te faltan al evitar ataques.
zts1644e	En la defensa, hay un %s %% de probabilidad de activar el "Poder de la armadura purificadora".
zts1645e	En la defensa, hay un %s %% de probabilidad de activar el "Poder de regeneración".
zts1646e	En la defensa, hay un %s %% de probabilidad de activar el "Poder del anillo flamígero".
zts1647e	En la defensa, hay un %s %% de probabilidad de activar el "Poder de la pureza".
zts1648e	En la defensa, hay un %s %% de probabilidad de activar el "Poder de la resistencia a maldiciones".
zts1655e	En la defensa, hay un %s %% de probabilidad de activar el "Poder de la maldición vampírica".
zts1656e	En la defensa, hay un %s %% de probabilidad de activar el "Poder de la transformación".
zts1657e	En la defensa, hay un %s %% de probabilidad de activar el "Poder de la transformación".
zts1658e	En la defensa, hay un %s %% de probabilidad de activar el "Poder del instinto".
zts1659e	En la defensa, hay un %s %% de probabilidad de activar el "Poder de la curación".
zts1660e	El daño se reduce en un (pérdida de HP porcentual/%s) %%.
zts1661e	El daño se incrementa en un (pérdida de HP porcentual/%s) %%.
zts1663e	Todos los ataques aumentan en un 5 % en el Nido Celestial y en el Reino de los Vivos.
zts1665e	El daño contra monstruos de nivel bajo en Nido Celestial y en el Reino de los Vivos aumenta en un %s %%.
zts1666e	El daño de monstruos de nivel bajo en Nido Celestial y en el Reino de los Vivos disminuye en un %s %%.
zts1668e	Aumenta los HP en un %s %% de los HP máximos por impacto recibido (máx. %s veces).
zts1669e	Aumenta los MP en un %s %% de los MP máximos por impacto recibido (máx. %s veces).
zts1672e	No se aplican efectos que reduzcan el tiempo de espera.
zts1673e	Tras %s ataques, desaparece el efecto [%s].
zts1678e	No puedes causar más de %s de daño a enemigos.
zts1679e	El daño se incrementa en un (pérdida de HP porcentual/%s) %%.
zts1681e	Hay una probabilidad de un %s %% de que %s aseste un impacto crítico.
zts1683e	La velocidad de movimiento se incrementa en un %s (máx. %s).
zts1684e	La velocidad de movimiento se reduce en un %s (máx. %s).
zts1685e	Probabilidad de un %s %% de empujar al adversario %s campo(s) hacia atrás (solo en PvP).
zts1687e	La probabilidad de pescar un pez poco común aumenta en un %s %%.
zts1688e	Hay una probabilidad del %s %% de empujar al enemigo 4 campos al atacar (solo en PvP).
zts1689e	Hay una probabilidad del %s %% de empujar al enemigo 4 campos al defender (solo en PvP).
zts1690e	Tienes una probabilidad de un %s %% de disparar una flecha mágica al utilizar habilidades de ataque.
zts1691e	El radio de todos los ataques en área ha aumentado en un %s.
zts1692e	El radio de todos los ataques en área ha disminuido en un %s.
zts1695e	Según los puntos de calor que tengas, la probabilidad de impacto crítico aumenta del %s %% al %s %%.
zts1696e	Se consume todo el combustible. Por cada %s puntos de combustible consumidos se restaura un %s %% de HP.
zts1697e	Solo se pueden lanzar ataques básicos.
zts1699e	Disponible con un potenciador de %s o más.
zts1700e	No puedes utilizar habilidades que aumenten los puntos de calor.
zts1707e	Perfora la armadura. Aumenta el daño de las puñaladas precisas.
zts1708e	Perfora por completo la armadura. Aumenta considerablemente el daño de las puñaladas precisas.
zts1709e	Cuenta como puñalada precisa. El daño contra objetivos que tengan la armadura perforada aumenta un %s %%.
zts1710e	Aumenta el daño crítico un %s %% si se ha activado %s.
zts1711e	Disminuye el daño crítico un %s %% si se ha activado %s.
zts1712e	La probabilidad de impacto crítico aumenta un %s %% si se ha activado %s.
zts1713e	La probabilidad de impacto crítico disminuye un %s %% si se ha activado %s.
zts1714e	Si esquivas un ataque y has activado %s, obtienes %s.
zts1715e	Si atacas y has activado [%s], el objetivo obtiene [%s].
zts1722e	Según los puntos de calor que tengas, el poder de ataque aumenta del %s %% al %s %%.
zts1723e	Según los puntos de calor que tengas, el alcance de ataque aumenta de %s a %s.
zts1724e	Según los puntos de calor que tengas, el radio de ataque aumenta del %s %% al %s %%.
zts1725e	Si el efecto Sobrecalentamiento está activo, los enemigos en un alcance de %s campos alrededor del objetivo se verán arrastrados a un mismo punto.
zts1726e	Arrastra los enemigos en un alcance de %s alrededor del objetivo a un lugar.
zts1727e	Si el efecto Sobrecalentamiento está activo, los HP del enemigo se reducirán en una cantidad igual a un %s %% del daño que recibas.
zts1734e	Se consumen todos los puntos de calor. El daño aumenta en un %s %% de los puntos de calor consumidos.
zts1735e	Obtienes %s puntos de agudeza.
zts1736e	Pierdes %s puntos de agudeza.
zts1737e	Obtienes %s puntos de gravedad y pierdes %s puntos de antigravedad.
zts1738e	Obtienes %s puntos de antigravedad y pierdes %s puntos de gravedad.
zts1739e	El daño provocado por las habilidades gravitatorias aumenta un %s %%.
zts1740e	El daño provocado por las habilidades antigravitatorias aumenta un %s %%.
zts1741e	El daño aumenta en un (número de los puntos de gravedad y antigravedad actuales) * %s %%. Se consumen todos los puntos de gravedad y antigravedad.
zts1748e	Aumenta el daño un %s %% si se ha activado %s.
zts1749e	El consumo de MP de habilidades (incluida la magia) aumenta un %s %% si se ha activado %s.
zts1750e	El consumo de MP de habilidades (incluida la magia) disminuye un %s %% si se ha activado %s.
zts1751e	El elemento agua aumenta un %s %% si se ha activado %s.
zts1752e	Todas las resistencias elementales aumentan un %s %% si se ha activado %s.
zts1753e	Pierdes %s MP y obtienes %s puntos de combustible.
zts1754e	Consumes %s puntos de combustible. El daño aumenta un %s %%.
zts1761e	Consumes %s puntos de combustible. Tu elemento tinieblas aumenta un %s %%.
zts1762e	Consumes %s puntos de combustible y obtienes el efecto %s.
zts1763e	Consumes %s puntos de combustible. Hay una probabilidad del %s %% de que se restablezca el tiempo de espera de la habilidad utilizada.
zts1764e	Consumes %s puntos de combustible e ignoras un %s %% de la defensa del enemigo.
zts1765e	Obtienes %s puntos de calor.
zts1766e	Pierdes %s puntos de calor.
zts1770e	Tras cada ataque básico, los puntos de gravedad disminuyen en %s.
zts1771e	Tras cada ataque básico, los puntos de antigravedad disminuyen en %s.
zts1772e	Las habilidades de gravedad no están disponibles.
zts1773e	Las habilidades de antigravedad no están disponibles.
zts1774e	Los puntos de gravedad disminuyen en %s.
zts1775e	Los puntos de antigravedad disminuyen en %s.
zts1778e	Si se ha activado %s, provoca %s.
zts1779e	El elemento de un hada equipada aumenta en %s si se ha activado %s.
zts1780e	Pierdes %s puntos de combustible e infliges al objetivo %s.
zts1781e	Pierdes un %s %% de tus MP máx. y obtienes %s puntos de combustible.
zts1782e	Si el efecto Al rojo vivo está activo, los enemigos a un alcance de %s campos alrededor del objetivo se verán arrastrados a un mismo punto.
zts1786e	La barra de energía sagrada se rellena un %s %%.
zts1787e	La barra de energía sagrada se vacía un %s %%.
zts1788e	Recupera un %s %% de los HP máx. de quien lo utiliza en forma de HP.
zts1789e	Recupera un %s %% de los HP máx. de quien lo utiliza en forma de HP. El efecto no se aplica a quien lo utiliza.
zts1790e	El daño de habilidades definitivas aumenta en un %s %%.
zts1792e	Si el objetivo tiene menos de un %s %% de sus HP, la barra de energía sagrada se rellena un %s %%.
zts1793e	Causa a todos los aliados dentro de %s campo(s) el efecto %s cada segundo.
zts1794e	Los enemigos dentro de %s campo(s) sufren %s de daño cada 1,5 segundos.
zts1795e	Los enemigos dentro de %s campo(s) sufren %s cada 1,5 segundos.
zts1796e	Los aliados dentro de %s campo(s) obtienen %s cada 1,5 segundos.
zts1797e	Si el objetivo tiene menos de un %s %% de sus HP, la barra de energía sagrada se rellena un %s %% (se aplica solo a NosMates).
zts1799e	Probabilidad de un 100 %% de que monstruos obtengan [%s] y jugadores, [%s].
zts1801e	Todos los puntos de habilidad de tu especialista aumentan en %s.
zts1804e	La experiencia de entrenamiento de la mascota ha alcanzado el %s %%.
zts1805e	Al extraer la esencia de mascotas con %s estrellas (o menos), tienes una probabilidad del %s %% de recibir una adicional.
zts1807e	La ganancia de experiencia del especialista en entrenamiento de mascotas aumenta en un %s %%.
zts1810e	Doma mascotas de %s estrellas con una probabilidad del %s %%.
zts1811e	Tienes una probabilidad del %s %% de obtener una esencia adicional al extraer la esencia de una mascota de %s estrellas.
