zts1e	Odpoèinek
zts1296e	Kvalifikace k vaøení pro skupinu
zts1297e	Zvıší útoènou sílu energie meèe.
zts1298e	Zvıší útoènou sílu tvou a tvé skupiny na urèitou dobu tím, e se tvé HP sníí.
zts1299e	Zvıší tvou sílu obrany.
zts1300e	Zvyšuje Tobì a Tvé skupinì míru zásahu a šanci na kritickı zásah.
zts1301e	Zvıší útoènou sílu magické støely.
zts1302e	Zvıší sílu útoku a element ohnì explozivní støely.
zts1303e	Vybavení elementu ohnì 3. úroveò
zts1304e	Zesiluje efekt krvavého spolku.
zts1305e	Vybavení elementu stínu 3. úroveò
zts1306e	Zvıší sílu útoku 5. úroveò
zts1307e	Maximalizuje efekt sokolího oka.
zts1308e	Vytvoøí studenìjší ledovı vrták ne obvykle; zvıší magickou útoènou sílu.
zts1309e	Pøidej ke spravedlnosti nebe element ohnì.
zts1310e	Vytvoøí havìjší lávu ne obvykle, zvıší magickou útoènou sílu.
zts1311e	Útoèná øada Temného poustevníka
zts1312e	Lesklı šíp opatøit kouzlem, aby se protivníkovi pøivodilo více škod, a aby utrpìl krátkı vıpadek pamìti.
zts1313e	Animaèní efekt lesklého šípu bude lesklejší a jeho síla se maximalizuje.
zts1314e	Maximalizuje útoènou sílu zdálky magické støely.
zts1315e	Vyzaøuj auru smrti, abys tvé nepøátele zbavil odvahy a zpomalil jejich rychlost bìhu.
zts1316e	Vyzaøuje auru smrti, která sniuje morálku Tvım nepøátelùm a sniuje jejich míru zásahu.
zts1317e	Zvıší magickou útoènou sílu ohnivého kolíku.
zts1318e	Zvıší magickou útoènou sílu ledového kolíku.
zts1319e	Zaútoèíš tím s tvım meèem jako vìtrná smrš.
zts1320e	Tato schopnost sbírá všechny tvé energie, aby znièil tvé okolí krátkım støihem.
zts1321e	Na urèitou dobu zvyšuje Tobì a Tvé skupinì šanci na kritickı zásah.
zts1322e	Zvıší rychlost bìhu tebe a tvé skupiny.
zts1323e	Na urèitou dobu zvıší škody, pokud zasadíš kritickı zásah.
zts1324e	Zvıší tvoji sílu obrany a sníí zároveò obdrené škody o 30%, zatímco se spotøebují tvé mana.
zts1325e	Zvıší element ohnì a odolnosti ohnì od tebe o tebe a tvé skupiny.
zts1326e	Sníí pravdìpodobnost obdrení kritického zásahu.
zts1327e	Pohybem aury to má vliv na okolí.
zts1328e	Útoèná øada lovce Mokana
zts1329e	Zakletí Lace
zts1330e	Exploze úroveò 2
zts1331e	Mráz úroveò 2
zts1332e	Zvıší efekt ochrany pøírody.
zts1333e	Vybavení elementu vody 3. úroveò
zts1335e	monster skill
zts1336e	Seznam nájezdù
zts1337e	monster skill
zts1338e	monster skill
zts1339e	monster skill
zts1340e	monster skill
zts1341e	monster skill
zts1342e	monster skill
zts1343e	monster skill
zts1344e	monster skill
zts1345e	monster skill
zts1346e	monster skill
zts1347e	monster skill
zts1348e	monster skill
zts1349e	monster skill
zts1350e	monster skill
zts1351e	monster skill
zts1352e	monster skill
zts1353e	monster skill
zts1354e	monster skill
zts1355e	monster skill
zts1356e	monster skill
zts1357e	monster skill
zts1358e	monster skill
zts1359e	monster skill
zts1360e	monster skill
zts1361e	monster skill
zts1362e	monster skill
zts1363e	monster skill
zts1364e	monster skill
zts1365e	monster skill
zts1366e	monster skill
zts1367e	monster skill
zts1368e	monster skill
zts1369e	monster skill
zts1370e	monster skill
zts1371e	monster skill
zts1372e	monster skill
zts1373e	monster skill
zts1374e	monster skill
zts1375e	monster skill
zts1376e	monster skill
zts1377e	monster skill
zts1378e	monster skill
zts1379e	monster skill
zts1380e	monster skill
zts1381e	monster skill
zts1382e	monster skill
zts1383e	monster skill
zts1384e	monster skill
zts1385e	monster skill
zts1386e	monster skill
zts1387e	monster skill
zts1388e	monster skill
zts1389e	monster skill
zts1390e	monster skill
zts1391e	monster skill
zts1392e	monster skill
zts1393e	monster skill
zts1394e	monster skill
zts1395e	monster skill
zts1396e	monster skill
zts1397e	monster skill
zts1398e	monster skill
zts1399e	monster skill
zts1400e	monster skill
zts1401e	monster skill
zts1402e	monster skill
zts1403e	monster skill
zts1404e	monster skill
zts1405e	monster skill
zts1406e	monster skill
zts1407e	monster skill
zts1408e	monster skill
zts1409e	monster skill
zts1410e	monster skill
zts1411e	monster skill
zts1412e	monster skill
zts1413e	monster skill
zts1414e	monster skill
zts1415e	monster skill
zts1416e	monster skill
zts1417e	monster skill
zts1418e	monster skill
zts1419e	monster skill
zts1420e	monster skill
zts1421e	monster skill
zts1422e	monster skill
zts1423e	monster skill
zts1424e	monster skill
zts1425e	monster skill
zts1426e	monster skill
zts1427e	monster skill
zts1428e	monster skill
zts1429e	monster skill
zts1430e	monster skill
zts1431e	monster skill
zts1432e	monster skill
zts1433e	monster skill
zts1434e	monster skill
zts1435e	monster skill
zts1436e	monster skill
zts1437e	monster skill
zts1438e	monster skill
zts1439e	monster skill
zts1440e	monster skill
zts1441e	monster skill
zts1442e	monster skill
zts1443e	monster skill
zts1444e	monster skill
zts1445e	monster skill
zts1446e	monster skill
zts1447e	monster skill
zts1448e	monster skill
zts1449e	monster skill
zts1450e	monster skill
zts1451e	monster skill
zts1452e	monster skill
zts1453e	monster skill
zts1454e	monster skill
zts1455e	monster skill
zts1456e	monster skill
zts1457e	monster skill
zts1458e	monster skill
zts1459e	monster skill
zts1460e	monster skill
zts1461e	monster skill
zts1462e	monster skill
zts1463e	monster skill
zts1464e	monster skill
zts1465e	monster skill
zts1466e	monster skill
zts1467e	monster skill
zts1468e	monster skill
zts1469e	monster skill
zts1470e	monster skill
zts1471e	monster skill
zts1472e	monster skill
zts1473e	monster skill
zts1474e	monster skill
zts1475e	monster skill
zts1476e	monster skill
zts1477e	monster skill
zts1478e	monster skill
zts1479e	monster skill
zts1480e	monster skill
zts1481e	monster skill
zts1482e	monster skill
zts1483e	monster skill
zts1484e	monster skill
zts1485e	monster skill
zts1486e	monster skill
zts1487e	monster skill
zts1488e	monster skill
zts1489e	monster skill
zts1490e	monster skill
zts1491e	monster skill
zts1492e	monster skill
zts1493e	monster skill
zts1494e	monster skill
zts1495e	monster skill
zts1496e	monster skill
zts1497e	monster skill
zts1498e	monster skill
zts1499e	monster skill
zts1500e	monster skill
zts1501e	monster skill
zts1502e	monster skill
zts1503e	monster skill
zts1504e	monster skill
zts1505e	monster skill
zts1506e	monster skill
zts1507e	monster skill
zts1508e	monster skill
zts1509e	monster skill
zts1510e	monster skill
zts1511e	monster skill
zts1512e	monster skill
zts1513e	monster skill
zts1514e	monster skill
zts1515e	monster skill
zts1516e	monster skill
zts1517e	monster skill
zts1518e	monster skill
zts1519e	monster skill
zts1520e	monster skill
zts1521e	monster skill
zts1522e	monster skill
zts1523e	monster skill
zts1524e	monster skill
zts1525e	monster skill
zts1526e	monster skill
zts1527e	monster skill
zts1528e	monster skill
zts1529e	monster skill
zts1530e	monster skill
zts1531e	monster skill
zts1532e	monster skill
zts1533e	monster skill
zts1534e	monster skill
zts1535e	monster skill
zts1536e	monster skill
zts1537e	monster skill
zts1538e	monster skill
zts1539e	monster skill
zts1540e	monster skill
zts1541e	monster skill
zts1542e	monster skill
zts1543e	monster skill
zts1544e	monster skill
zts1545e	monster skill
zts1546e	monster skill
zts1547e	monster skill
zts1548e	monster skill
zts1549e	monster skill
zts1550e	monster skill
zts1551e	monster skill
zts1552e	monster skill
zts1553e	monster skill
zts1554e	monster skill
zts1555e	monster skill
zts1556e	monster skill
zts1557e	monster skill
zts1558e	monster skill
zts1559e	monster skill
zts1560e	monster skill
zts1561e	monster skill
zts1562e	monster skill
zts1563e	monster skill
zts1564e	monster skill
zts1565e	monster skill
zts1566e	monster skill
zts1567e	monster skill
zts1568e	monster skill
zts1569e	monster skill
zts1570e	monster skill
zts1571e	monster skill
zts1572e	monster skill
zts1573e	monster skill
zts1574e	Upgrade úroveò 2
zts1575e	PvP specializace úroveò 2
zts1576e	Tvùj dosah a kritické poškození budou pro leteckı útok zvıšeny.
zts1577e	Rozšíøení dosahu
zts1578e	Zvıšení útoèné síly úroveò 3
zts1579e	Dosah nebeského soudce bude rozšíøenı.
zts1580e	monster skill
zts1581e	monster skill
zts1582e	monster skill
zts1583e	monster skill
zts1584e	monster skill
zts1585e	monster skill
zts1586e	monster skill
zts1587e	monster skill
zts1588e	Dıòová bomba
zts1589e	Jack O´Lantern (skok)
zts1590e	Jack O´Lantern (støední skok)
zts1591e	Jack O´Lantern (zaklínadlo)
zts1592e	Jack O´Lantern (zaklínadlo 2)
zts1610e	Vytváøí hustou mlhu, která sniuje nepøítelovu míru zásahu a pøesnost.
zts1611e	Pouít úkryt bìhem pohybu. Pøi zásahu od nepøítele se staneš opìt viditelnım.
zts1615e	Svaté svìtlo sniuje schopnosti všech protivníkù.
zts1620e	Sniuje pøijaté poškození o 30 % spotøebou Tvé many.
zts1622e	NosBazar
zts1623e	Skok Rozzuøeného Kuøecího krále
zts1624e	Mocnı skok Rozzuøeného Kuøecího krále
zts1635e	Vystøel z muškety
zts1636e	Hbitı útok
zts1637e	Skryj se v beèce rumu
zts1638e	Zachraò se v beèce rumu
zts1639e	Dìlová koule
zts1640e	Loï støíli do nepøítele, aby Ti pomohla.
zts1641e	Pirátskı tanec
zts1643e	Pij rum, yo-ho, yo-ho!
zts1645e	Poehnání Kertose
zts1646e	Lávová fontána
zts1647e	Bouøe hnìvu
zts1649e	Útok bouøe
zts1650e	Zuøivost
zts1651e	Snes vejce
zts1652e	Spøádej pavouèí sí
zts1653e	Erupce lávy
zts1654e	Silná Erupce lávy
zts1655e	Pøivolej (Fénix)
zts1656e	Pøivolej (Vejce)
zts1657e	Pošli pryè
zts1658e	Teleport vpøed
zts1659e	Gigantická Erupce lávy (Boss)
zts1660e	Štít sálajícího áru
zts1673e	Základní útok
zts1674e	Útok køíem kráem.
zts1675e	Dvojitá rána
zts1676e	Obrana štítem a vykrytí meèem.
zts1677e	Nápor blesku
zts1678e	Rychlı bodavı útok
zts1679e	Útok štítem
zts1680e	Pokud na svého protivníka zaútoèíš štítem, existuje 90% pravdìpodobnost, e obdrí debuff Sraení.
zts1681e	Loveckı roh
zts1682e	Nápor na nepøátelskı tábor silnım útokem.
zts1683e	Vısmìch
zts1684e	Pokud se vysmìješ protivníkovi, kterı je ve stavu sraení, pøejde do krajnì nestabilního stavu. Cíl s tím zároveò obdrí debuff.
zts1685e	Magické odraení
zts1686e	Odráí všechny útoèné a obranné síly na štít. S úspìšnım obranou pomocí štítu, obdrí útoèník celou škodu v jediném úderu.
zts1687e	Ocelovı vír
zts1688e	Zasáhne protivníka pomocí rotujícího štítu. Cíl obdrí s urèitou pravdìpodobností Sraení.
zts1689e	Rozbouøení krve
zts1690e	Pøiprav se na bitvu øevem a touhou po krvi.
zts1691e	Vyhlášení války
zts1692e	Koneèné útoky na protivníka zasaením hromobití.
zts1693e	Poprava
zts1694e	Efektivní útok proti soupeøùm, kteøí se nacházejí v zorném poli. Pokud je protivník úspìšnì popraven, nastane efekt 'Jásot davu'.
zts1695e	Vıstøel z kanónu
zts1696e	Základní dìlostøeleckı útok pomocí vıstøelu z velké vzdálenosti. Pokud je exploze zesílená, síla útoku se lehce zvıší.
zts1697e	Èasovanı vıbuch
zts1698e	Vystøelí na cíl èasovì zpodìné dìlové koule pod vysokım, støedním a nízkım úhlem a všechny koule zasáhnou cíl najednou.
zts1699e	Pøískok kanónem
zts1700e	Pøisunutí se kanónem k protivníkovi.
zts1701e	Rána kanónem
zts1702e	Násilná rána kanónem namíøená na nepøítele.
zts1703e	Míøená støela
zts1704e	Mùe bıt vystøelena z veliké vzdálenosti. Pokud je exploze zesílená, útoèná síla se prudce zvıší.
zts1705e	Ruèní granát
zts1706e	Zasáhne všechny nepøátelé v cílové oblasti hozenım granátem.
zts1707e	Pekelná palba
zts1708e	Nosná raketa je vystøelena a exploduje nad hlavou protivníka. Cílová oblast je zahalena do moøe plamenù. Pokud je exploze zesílená, útoèná síla se prudce zvıší.
zts1709e	Signální raketa
zts1710e	Signální raketa je umístìna nad protivníka a umoòuje pád ohnivıch bomb, tak aby cílová oblast skonèila v troskách a popelu. Pokud je exploze zesílená, útoèná síla se prudce zvıší.
zts1711e	Raketové rodeo
zts1712e	Raketové rodeo pøeletí nad zemí, nièí všechny okolní nepøátelé a pøenese Tì zpìt do vıchozího bodu. Pokud je exploze zesílená, útoèná síla se prudce zvıší.
zts1713e	Mistr zbranì
zts1714e	Maximalizuje schopnosti zbranì.
zts1715e	Ultimátní kanón
zts1716e	Uvede nepøítele do stavu strachu a teroru slepım vıstøelem do vzduchu. Pokud je exploze zesílená, útoèná síla se prudce zvıší.
zts1717e	Koule magmatu
zts1718e	Støílí planoucí koule magmatu.
zts1719e	Sopeèná erupce
zts1720e	Øev vulkánu rozráí zem. Vysoce efektivní, pokud je mág pod vlivem síly vulkánu.
zts1721e	Sopeènı plyn
zts1722e	Protivník je poranìn mrakem jedovatého sopeèného plynu. Vysoce efektivní, pokud je mág pod vlivem síly vulkánu.
zts1723e	Magma pancíø
zts1724e	Magma pancíø pokryje Tvou zbroj a poskytuje extremnì vysokou sílu obrany.
zts1725e	Vlna lávy
zts1726e	Vlna lávy zasáhne Tvého nepøítele a rychle jej znehybní.
zts1727e	Síla vulkánu
zts1728e	Síla vulkánu mùe srazit Tvého soupeøe s vysoce zvıšenou šancí.
zts1729e	Zemìtøesení
zts1730e	Ve spojení s øevem vulkánu, vyvolá kolem Tebe zemìtøesení. Vysoce efektivní, pokud je mág pod vlivem síly vulkánu.
zts1731e	Øev vulkánu
zts1732e	Øev vulkánu Tì pøenese nad hlavu nepøítele, take mùeš provést cílenou ránu. Vysoce efektivní, pokud je mág pod vlivem síly vulkánu.
zts1733e	Záplava lávy
zts1734e	Je vytvoøena záplava lávy, která sniuje útoènou sílu protivníka stejnì jako jeho rychlost pohybu.
zts1735e	Magma meè
zts1736e	Pøivolá meè vytvoøenı z lávy, kterı zaútoèí na nepøítele.
zts1737e	Bouøe popelu
zts1738e	Bouøe popelu je silnı útok s mocnım vìtrem a blesky. Vysoce efektivní, pokud je mág pod vlivem síly vulkánu.
zts1739e	Draèí Dech
zts1748e	Nápor na nepøátelskı tábor silnım útokem na cíl a všechny nepøátelé v cílové oblasti.
zts1749e	Základní ostøelovací útok z velké vzdálenosti.
zts1750e	Brutální útok sekerou
zts1751e	Extra pøesnı vıstøel Vikinga
zts1752e	eleznı Viking
zts1753e	Špinavı šíp
zts1754e	Nesmrtelnost
zts1755e	Zlobivı kluk
zts1756e	Frustrace Freyi
zts1757e	Slovo Freyi
zts1758e	Oheò Freyi
zts1762e	Základní útok kopím
zts1763e	Základní útok kopím uštìdøí protivníkovi silnı úder z levé a pravé strany.
zts1764e	Rozdìlené moøe
zts1765e	Dovednost dìlí moøe a protivníka na dvì pùlky.
zts1766e	Cílené bodnutí
zts1767e	V kopí se koncentruje síla, která pak zadá cílí silnı úder.
zts1768e	Mocnı uragán
zts1769e	Uragán doslova smete protivníka z cesty.
zts1770e	Sedm bodnutí
zts1771e	Protivník je sedmkrát rychle napaden.
zts1772e	Cyklón
zts1773e	Cyklón srazí protivníka do kolen.
zts1774e	Obìtování
zts1775e	Magickı kruh obìtování obklopí vybraného hráèe. Obdríš místo nìj poškození. Pokud hráè opustí kruh, efekt zmizí.
zts1776e	Meditace
zts1777e	Sedáš si na zem a oddáváš se meditaci. Špatné efekty mizí. Delší meditace naplòuje Tvou duši novou energií. Pokud ale budeš pøi meditaci vyrušen, mùe se objevit syndrom Kundalini, kterı vıraznì omezuje Tvou tìlesnou i duševní energii.
zts1778e	Toèitı oštìp
zts1779e	S toèitım oštìpem mùeš zasáhnout i vzdálené cíle.
zts1780e	Slova Buddhy
zts1781e	S pomocí talismanu je mono vyvolat slova Buddhy. Pokud Ty a èlenové Tvé skupiny poprvé uslyšíte tato slova, všechny špatné efekty zmizí na 5 sekund s 25% pravdìpodobností. Pøi delším pouívání se spotøebovává MP.
zts1782e	Novı zaèátek
zts1783e	Díky "Novému zaèátku" je ukonèen chaos ve svìtì.
zts1784e	Draèí harpuna
zts1785e	Schopnost je mimoøádnì efektivní v kombinaci se "Sedmi bodnutími".
zts1786e	Draèí kopí
zts1787e	Draèí kopí pošle protivníka do nebe.
zts1788e	Hromovı trojzubec
zts1789e	Hromovı trojzubec je základní útok a støílí blesky ve tvaru trojzubce.
zts1790e	Mega bouøe
zts1791e	Tøi víry z rùznıch smìrù se spojí v mohutnı tajfun.
zts1792e	Velikı trojzubec
zts1793e	Velikı trojzubec vytváøí magnetické pole.
zts1794e	Poehnání oceánu
zts1795e	Poehnání oceánu vyvolá u spøátelenıch hráèù svatou auru.
zts1796e	Úder blesku
zts1797e	Úder blesku spálí protivníka a navíc jej zasáhne hrom.
zts1798e	Èas krmení
zts1799e	Vypus svého hladového raloka. Bude plavat ve smìru protivníkù, i tìch vzdálenıch a s chutí se do nich zakousne.
zts1800e	Obøí vír
zts1801e	Obøí vír je mono vyvolat na urèeném místì. Protivníci se otáèejí dokola a jsou zpomalení.
zts1802e	Píseò Sirén
zts1803e	Píseò Sirén uvádí nepøátele do transu a hlubokého spánku.
zts1804e	Tsunami
zts1805e	Protivníci jsou odplaveni obrovskou vlnou.
zts1806e	Vodní bublina
zts1807e	S pomocí této schopnosti vytvoøíš vodní bublinu, která Tì bude chránit pøed útoky nepøátel. Efekt zmizí poté, co obdríš urèité mnoství poškození.
zts1808e	Pozor, plejtvák obrovskı!
zts1809e	Plejtvák obrovskı padá z nebe na protivníka.
zts1810e	Dvojitı blesk
zts1811e	Dvojitı blesk zpùsobuje protivníkovi popáleniny.
zts1812e	Základní útok je vıstøel z kuše.
zts1813e	Støemhlavı let sokola
zts1814e	Sokol od Tebe dostává pøíkaz k útoku. Tato schopnost s urèitou pravdìpodobností aktivuje nejvyšší stupeò rotující støely.
zts1815e	Pohyblivá past
zts1816e	Nastraíš na protivníka pohyblivou past.
zts1817e	Vyšpehovat
zts1818e	Sokol zaèíná pronásledovat Tebou vybranı cíl.
zts1819e	Odskok
zts1820e	Zaútoè na protivníka a rychle odskoè.
zts1821e	ivotní energie
zts1822e	Zesil svou ivotní energii s pomocí síly lesa.
zts1823e	Mlná støela
zts1824e	Mlná støela zpùsobuje, e protivník zmizí ve smogovém mraènu a jeho vidìní je omezeno.
zts1825e	Prozíravost sokola
zts1826e	Díky prozíravosti sokola je rozpoznán a napaden nejslabší nepøítel. Poté je tento nepøítel oznaèen hráèem.
zts1827e	Bleskové nabíjení
zts1828e	Za pomocí této dovednosti mùeš extrémnì rychle nabíjet støely. Také máš velkou šanci na rychlou aktivaci kombinace schopností. Nicménì bleskové nabíjení mùe bıt kombinováno pouze pìtkrát.
zts1829e	Pøepadení
zts1830e	Pøepadl jsi cíl.
zts1831e	Sniper
zts1832e	Zaútoè na nepøítele z velké vzdálenosti a zpùsob mu kritické poškození, tím e se staneš [Sniperem] støílejícím [Ze zálohy].
zts1833e	Toèitá støela - Úroveò 1
zts1834e	Vystøelíš z kuše rotující støelu, která zasáhne všechny protivníky v cestì.
zts1835e	Toèitá støela - Úroveò 2
zts1836e	Vystøelíš z kuše rotující støelu, která zasáhne všechny protivníky v cestì. Po této schopnosti obdríš efekt, kterı Tì vhodnì pøipraví na [Pøepadení].
zts1837e	Toèitá støela - Nejvyšší úroveò
zts1838e	Toèitá støela na nejvyšší úrovni se rovná smrtelnému zásahu. Protivník má vysokou šanci, e obdrí kritické poškození.
zts1840e	Špionání sokol
zts1841e	V kombinaci se schopností [Vyšpehovat] bude Tvùj nepøítel pronásledován sokolem.
zts1842e	Loveckı sokol
zts1843e	V kombinaci se schopností [Vyšpehovat] bude nepøítel pronásledován Tvım sokolem a napadán ze vzduchu.
zts1853e	Píseò Sirén uvádí nepøátele do transu a hlubokého spánku. Bìhem PvP je doba trvání efektu polovièní.
zts1854e	Lov ovcí
zts1855e	Pøivolej úèastníka èíslo 2
zts1856e	Druhı úèastník je pøivolán do arény a mùeš s ním bojovat po dobu 30 sekund.
zts1857e	Pøivolej úèastníka èíslo 3
zts1858e	Tøetí úèastník je pøivolán do arény a mùeš s ním bojovat po dobu 30 sekund.
zts1859e	Zmìò náhled
zts1860e	Zmìò pohled ze svého na bojujícího úèastníka. Po opìtovném pouití se pohled zmìní zpìt na starı.
zts1861e	Pøivolej úèastníka èíslo 1
zts1862e	První úèastník je pøivolán do arény a mùeš s ním bojovat po dobu 30 sekund.
zts1866e	Hod aludem
zts1867e	Narušení
zts1868e	Úder noem
zts1869e	Blesk
zts1870e	Vrhací dıka
zts1871e	Tanec plamenù
zts1872e	Bleskovı útok
zts1873e	Vpád temnoty
zts1874e	Oznaèenı
zts1875e	Fascinace
zts1876e	Síla temna
zts1877e	Kouzelná kulka
zts1878e	Vystøelí temnou magickou kulku.
zts1879e	Zmatení
zts1880e	Znièí mysl nepøítele. Zmatení nepøátelé po urèitou dobu obdrují poškození.
zts1881e	Klec smrti
zts1882e	Uzavøe Tvého nepøítele ve tmavém vìzení. Nepøítel je vydìšenı a nezmùe se na ádnou akci. Jakmile je klec rozbita, zpùsobí nepøíteli poškození.
zts1883e	Záblesk
zts1884e	Teleportuje rychle dopøedu. Vyvolává krátkı buff.
zts1885e	Prokleté ruce
zts1886e	Poloení Prokletıch rukou na nepøítele zpùsobí poškození.
zts1887e	Iluze
zts1888e	Promìní uzdravovací efekt nepøítele na debuff. To zahrnuje i léèivé nápoje. Ovládání postavy bude obráceno. Pøivádí monstra do stavu strachu a teroru.
zts1889e	Extrakce many
zts1890e	Zpùsobuje poškození a ukradne cíli s urèitou pravdìpodobností MP.
zts1891e	Myšlenkovı ponor
zts1892e	Zmìní pøíští obdrené poškození na HP. Obnovené HP opìt zmizí po 10 sekundách. V pøípadì, e budou spotøebovány všechny zbylé HP, zùstane hráèi 1 HP, take nedojde ke smrti.
zts1893e	Mìniè èepelí
zts1894e	Mìní kouzelné kulky v èepele, které mohou bıt neustále vystøelovány.
zts1895e	Ztráta èasu
zts1896e	Zvyšuje èas útlumu nepøítelovıch schopností. Pokud se schopnost podaøí, èas útlumu Tvıch schopností bude sníen.
zts1897e	Super Abracadabra
zts1898e	Nejúasnìjší kouzlo zapovìzené magie. Uvolòuje veškerou magickou super sílu.
zts1907e	Teleportuje rychle dopøedu. Schopnost mùe bıt s urèitou pravdìpodobností pouívána neustále.
zts1912e	Ïábelskı vıstøel
zts1913e	Zaútoèí na nepøítele základním útokem Lovce démonù.
zts1914e	Smrš kulek
zts1915e	Zamìøí se na nepøítele a rychle pálí z revolveru.
zts1916e	Vrení ostøí
zts1917e	Umoòuje zaútoèit úderem po vıstøelu.
zts1918e	Déš mstivé duše
zts1919e	Vystøelí do nebe mstivé duše. Zpùsobí poškození kadému v cílové oblasti.
zts1920e	Kyvadlo mstivé duše 1
zts1921e	Posun kupøedu a útok. Mùe bıt pouito a 3 krát.
zts1922e	Útok mstivé duše
zts1923e	Nahradí munici mstivou duší a vystøelí ji na nepøítele. Zpùsobí tìké poškození a silnì protivníka uhodí.
zts1924e	Duše berserka
zts1925e	Pøi poranìní se stává silnìjším.
zts1926e	Vyvolávání duchù
zts1927e	Støílí munici v pøímé línii, vyvolá duchy a zaútoèí na nepøítele.
zts1928e	Duševní exploze
zts1929e	Uvolòuje zdrcující duše. Na krátkou dobu omráèí nepøítele.
zts1930e	Posedlost
zts1931e	Duše nepøítele je posedlá. Zpùsobuje po krátkou dobu poškození. Po skonèení je efekt pøenesen na nejblišího nepøítele.
zts1932e	Duševní meè
zts1933e	Pøivolá duševní meè a zaútoèí ve velikém rozsahu. Nepøátelé jsou uvedeni do stavu šoku.
zts1934e	Kyvadlo mstivé duše 2
zts1935e	Kyvadlo mstivé duše 3
zts1936e	Kyvadlo mìsíèního stínu
zts1937e	Stín zaútoèí na nepøítele v místì, kde jej pøekroèí.
zts1938e	Kosa smrti
zts1939e	Zaútoèí na nepøítele ohromnou kosou.
zts1940e	Sekáè
zts1941e	Rozseká nepøítele ostrou èepelí na malinkaté kousíèky.
zts1942e	Krveíznivec
zts1943e	Poøee kadého v okolí a absorbuje od nìj urèité mnoství HP.
zts1944e	Smrt pøichází
zts1945e	Pøesune se k nepøíteli a zblízka zaútoèí.
zts1946e	Úder duše
zts1947e	Tlaèí nepøátele stojící vepøedu a vzadu pryè a zpomaluje je.
zts1948e	Bezmezná zbroj
zts1949e	Zvyšuje okolním spojencùm obranu a odolnost proti vynucenému pohybu. Efekt zmizí poté, co obdríš urèité mnoství poškození.
zts1950e	Lapaè duší
zts1951e	Pøitáhne nepøátelé na krátkou vzdálenost pøed postavu. S urèitou pravdìpodobností se objeví efekt [Absorpce duše].
zts1952e	Kosa smrti
zts1953e	Mrští kosou po neøíteli a zanechá [Znamení smrti].
zts1954e	Stín smrti
zts1955e	S urèitou pravdìpodobností uvrhne na nepøátelé ve velkém rozmezí [Stín smrti]. Nepøátelùm s efektem [Znamení smrti] zpùsobí dodateèné poškození. Pøivádí monstra do stavu strachu a teroru.
zts1956e	Èasovı zvrat
zts1957e	Sniuje èas útlumu schopností o 20%. Pokud byla pouita [Absorpce duše], bude èas útlumu schopností sníen o 80%. Duše zmizí.
zts1958e	Dìliè duší
zts1959e	Vyskoèí a sekne nepøítele z aktuální pozice. Zpùsobuje poškození pouze jednomu nepøíteli. Nepøátelùm s efektem [Znamení smrti] zpùsobí dodateèné poškození. Nepøítelovo [Znamení smrti] a Tvùj efekt [Èasovı zvrat] zmizí.
zts1970e	Uzavøe nepøítele v kovové kleci. Kdy je klec rozbitá, zpùsobí poškození.
zts1971e	Poloení Prokletıch rukou na nepøítele zpùsobí poškození.
zts1972e	Uèiní z cíle hostitele a šíøí duši k nejlbliším nepøátelùm.
zts1973e	Sniuje èas útlumu schopností o 10%. Pokud byla pouita [Absorpce duše], bude èas útlumu schopností sníen o 80%. Duše zmizí.
zts1979e	Sladká & Roztomilá
zts1980e	Devìt ocasù!
zts1981e	Pronikavé vytí
zts1986e	Haiya
zts1987e	Roztoèit
zts1988e	Tygøí síla
zts1989e	Meèokineze
zts1990e	Pouij kinetickou energii na útok meèem.
zts1991e	Jednotlivı hod
zts1992e	Zaútoè na nepøítele hozením meèe.
zts1993e	Vıbušnina
zts1994e	Meè letí na protivníka a vybuchuje.
zts1995e	Záblesk meèe
zts1996e	Odrazí svìtlo èepele, oslní nepøítele a zpùsobí škodlivı efekt pøi dodateèném poškození.
zts1997e	Stínovı kolík
zts1998e	Cíl je pøichycen ke svému stínu a nemùe se pohnout.
zts1999e	Zóna úderu
zts2000e	Meè stojí na zemi a neustále útoèí na nepøítele.
zts2001e	Kolenolam
zts2002e	Zpomaluje cíl úderem meèem do jeho nohou.
zts2003e	Vrhaè meèe
zts2004e	Bìhem útoku je vreno mnoho meèù.
zts2005e	Roztøíštìné ostøí
zts2006e	Ostøí se øítí smìrem k nepøíteli, uvolòuje mohutnou explozi a zpùsobuje nepøíteli krvácení.
zts2007e	Meèochvìní
zts2008e	Pøivolá obøí meè, kterı stojí na zemi a útoèí.
zts2009e	9 èepelí
zts2010e	Pøivolá 9 èepelí, které jsou vystøeleny na cíl.
zts2024e	Tanec ïáblíkù
zts2025e	Klon ïáblíka
zts2026e	Klobouk ïáblíka
zts2027e	Svìtlo soudu
zts2028e	Znamení svìtla
zts2029e	Jméno boí
zts2030e	Mistrovství meèe
zts2031e	Zaútoèí na nepøítele plnou silou meèe.
zts2032e	Létající dıka
zts2033e	Vrení meèe zpùsobí mnohoèetná zranìní.
zts2034e	Bodavá exploze
zts2035e	Cesta meèe je také cestou exploze.
zts2036e	Meè spravedlnosti
zts2037e	Meè pouije sílu svìtla a zpùsobí zranìní nepøíteli.
zts2038e	Stínové pouto
zts2039e	Spoutá nepøítele s pouitím stínu.
zts2040e	Blesková èepel
