zts1e	Nouvel objet
zts19209e	Tu peux changer l'apparence de ton costume.[n]Il te suffit d'enregistrer le costume basique et le costume matériel.[n][Attention][n]1. Les costumes non permanents ne peuvent pas être modifiés.[n]2. Seuls les costumes liés aux personnages peuvent être modifiés une fois.[n]3. L'opération fait disparaître le costume matériel.[n]4. En réinitialisant la fusion de costumes, tu peux annuler la modification.[n]5. Les options du costume matériel ne s'appliquent pas au costume basique.[n]
zts19210e	Casque viking (30 jours)
zts19211e	Porte ce casque viking et les dieux seront avec toi.[n]La durée d'utilisation commence dès que tu t'en sers.[n][Effet][n]La résistance à l'Eau augmente de 10.[n]
zts19212e	Casque viking (permanent)
zts19213e	Porte ce casque viking et les dieux seront avec toi.[n][Effet][n]La résistance à l'Eau augmente de 10.[n]
zts19214e	Armure viking (30 jours)
zts19215e	Devant cette armure viking, tes ennemis trembleront de peur.[n]La durée d'utilisation commence dès que tu t'en sers.[n][Effet][n]Tu bénéficies de la bénédiction d'Odin.[n]La vitesse de déplacement augmente de 1.[n]
zts19216e	Armure viking (permanent)
zts19217e	Devant cette armure viking, tes ennemis trembleront de peur.[n][Effet][n]Tu bénéficies de la bénédiction d'Odin.[n]La vitesse de déplacement augmente de 1.[n]
zts19218e	Ensemble viking (permanent)
zts19219e	Cet ensemble fait de toi un Viking.[n][Objets][n]1x casque viking (permanent)[n]1x armure viking (permanent)[n]
zts19250e	Clé de Frigg
zts19251e	Grâce à cette clé, tu peux faire de Frigg ta partenaire.[n]
zts19252e	Clé de Ragnar
zts19253e	Grâce à cette clé, tu peux faire de Ragnar ton partenaire.[n]
zts19262e	Baguette de sourcier antique
zts19263e	Cet objet te conduit dans un lieu caché.[n][Principe][n]La baguette permet de trouver un lieu où le souffle de Fafnir n'est pas nuisible.[n][n][Mode d'emploi][n]1. Rends-toi dans une zone sécurisée cachée.[n]2. Utilise la baguette de sourcier.[n]3. Si un point d'interrogation apparaît, déplace-toi encore un peu et utilise à nouveau la baguette de sourcier.[n]4. Si une flèche apparaît, suis-la et utilise à nouveau la baguette de sourcier.[n]
zts19264e	Bave visqueuse
zts19265e	Il s'agit de bave visqueuse.[n]Apparemment, elle aurait un effet positif chez les hommes.[n]
zts19266e	Masque familier
zts19267e	Tu as l'impression d'avoir déjà vu ce masque.[n]
zts19268e	Clé brisée
zts19269e	Il s'agit d'un morceau de clé brisée.[n]
zts19270e	Souffle de dragon
zts19271e	Il s'agit de l'énergie puissante d'un dragon.[n]
zts19272e	Essence du feu à l'état pur
zts19273e	Cet objet est complètement préservé de l'énergie corrompue.[n]Il contient l'énergie pure du feu.[n]
zts19274e	Énergie de Fafnir
zts19275e	Il s'agit de l'incarnation de l'énergie de Fafnir.[n]
zts19276e	Corne de Fafnir
zts19277e	Il s'agit de la corne pointue de Fafnir.[n][n]
zts19278e	Cœur de Fafnir
zts19279e	Il renferme le mana de Fafnir.[n]Attention, ça brûle ![n]
zts19280e	Molaire de Fafnir
zts19281e	Il s'agit de la molaire acérée de Fafnir.[n][n]
zts19282e	Écaille de Fafnir
zts19283e	Il s'agit de l'écaille coriace de Fafnir.[n][n]
zts19284e	Sacoche de pièces antique
zts19285e	Elle contient des pièces très anciennes.[n]
zts19286e	Cor de chasse de Fafnir
zts19287e	Ce cor a été taillé dans de la corne du terrible dragon Fafnir.[n]Il en sort un son à couper le souffle.[n]Utilise-le pour retourner en ville.[n]Ta position actuelle sera sauvegardée. Tu peux y retourner grâce à une amulette du retour.[n]L'objet est réutilisable à volonté.[n]
zts19288e	Clé d'Erdimine
zts19289e	Grâce à cette clé, tu peux faire d'Erdimine ta partenaire.[n]
zts19290e	Ornement d'ailes de dragon
zts19291e	Utilise l'écaille de Fafnir et le souffle de dragon pour faire apparaître cet ornement.[n]
zts19292e	Ancien costume de Viking (7 jours)
zts19293e	Devant cette armure viking, tes ennemis trembleront de peur.[n]La durée d'utilisation commence dès que tu t'en sers.[n][Effet][n]Tu bénéficies de la bénédiction d'Odin.[n]
zts19294e	Clé du Château Aria
zts19295e	Tu peux commencer le raid par le Château Aria.[n]Niveau recommandé : 70-99[n]Nombre de joueurs recommandé : minimum 10[n][Mode d'emploi][n]Cet objet fait de toi le chef du raid.[n]En tant que chef du raid, tu peux cliquer sur d'autres joueurs et les inviter grâce au bouton « Équipe ».[n]Quand tout est prêt, va à l'entrée du raid. Lorsque le chef entre, les autres joueurs le suivent automatiquement.[n]
zts19296e	Ancien costume de Viking (7 jours) : croquis
zts19297e	Ce document explique comment fabriquer l'ancien costume de Viking (7 jours).[n]La formule apprend à fabriquer ce costume.[n][Fabrication][n]1. Les matériaux nécessaires doivent se trouver dans l'inventaire.[n]2. Double-clique sur l'objet pour ouvrir la fenêtre de fabrication.[n]3. Sélectionne l'objet que tu souhaites fabriquer.[n]4. Glisse les objets d'équipement éventuellement nécessaires dans la fenêtre.[n]5. Clique sur le bouton pour lancer la fabrication.[n]
zts19298e	Schéma du cor de chasse de Fafnir
zts19299e	Ce document explique comment fabriquer le cor de chasse de Fafnir.[n]La formule apprend à fabriquer cet outil.[n][Fabrication][n]1. Les matériaux nécessaires doivent se trouver dans l'inventaire.[n]2. Double-clique sur l'objet pour ouvrir la fenêtre de fabrication.[n]3. Sélectionne l'objet que tu souhaites fabriquer.[n]4. Glisse les objets d'équipement éventuellement nécessaires dans la fenêtre.[n]5. Clique sur le bouton pour lancer la fabrication.[n]
zts19300e	Repas carbonisé de Fafnir
zts19301e	20 % des HP/MP sont immédiatement rétablis.[n]Tous les effets négatifs sont levés jusqu'au niveau 3.[n]Les points de spécialiste augmentent en plus de 100.[n]
zts19302e	Tu peux commencer le raid par le Château Aria.[n]Niveau recommandé : 70-99[n]Nombre de joueurs recommandé : minimum 10[n][Mode d'emploi][n]Cet objet fait de toi le chef du raid.[n]En tant que chef du raid, tu peux cliquer sur d'autres joueurs et les inviter grâce au bouton « Équipe ».[n]Quand tout est prêt, va à l'entrée du raid. Lorsque le chef entre, les autres joueurs le suivent automatiquement.[n]
zts19303e	Ce document explique comment fabriquer le cor de chasse de Fafnir.[n]La formule apprend à fabriquer cet outil.[n][Fabrication][n]1. Les matériaux nécessaires doivent se trouver dans l'inventaire.[n]2. Double-clique sur l'objet pour ouvrir la fenêtre de fabrication.[n]3. Sélectionne l'objet que tu souhaites fabriquer.[n]4. Glisse les objets d'équipement éventuellement nécessaires dans la fenêtre.[n]5. Clique sur le bouton pour lancer la fabrication.[n]
zts19312e	Mégalame steampunk (permanent)
zts19313e	Avec cette apparence steampunk, c'est le moment de renverser la vapeur ![n][Effet][n]Si le monstre est d'un niveau de combat égal ou plus élevé que le personnage, il y a 30 % de probabilité que les dégâts augmentent de 10 %.[n]
zts19314e	Arc mécanique steampunk (permanent)
zts19315e	Bâton-scie steampunk (permanent)
zts19316e	Mégalame steampunk (30 jours)
zts19317e	Avec cette apparence steampunk, c'est le moment de renverser la vapeur ![n]La durée d'utilisation commence dès que tu te sers de l'apparence.[n][Effet][n]Si le monstre est d'un niveau de combat égal ou plus élevé que le personnage, il y a 15 % de probabilité que les dégâts augmentent de 5 %.[n]
zts19318e	Arc mécanique steampunk (30 jours)
zts19319e	Bâton-scie steampunk (30 jours)
zts19328e	Extension d'emplacement pour partenaire
zts19329e	Cet objet te [n]donne 1 emplacement pour partenaire supplémentaire,[n]ce qui te permet de rassembler plus de partenaires.[n][Attention][n]Avec l'extension d'emplacement pour partenaire, tu peux agrandir 9 fois tes emplacements pour partenaire et [n]placer jusqu'à 12 emplacements.[n]
zts19334e	Glorieuse noisette bigarrée
zts19335e	Une noisette colorée.[n]Ça pourrait être dangereux de la manger...[n]
zts19336e	Clé de Jennifer
zts19337e	Grâce à cette clé, tu peux faire de Jennifer ton partenaire.[n]
zts19338e	Chapeau à plume de Jennifer
zts19339e	Un chapeau avec une jolie plume.[n]Il capte tous les regards.[n]La question est juste de savoir s'il est approprié dans toutes les situations.[n]
zts19340e	Coffre de Ratufu avec des marchandises volées
zts19341e	C'est un coffre avec des marchandises que les Ratufus ont volées ou récupérées.[n]Il a une poignée et peut donc être transporté en cas d'urgence.[n]Il peut être échangé contre 3 noisettes en bronze.[n]
zts19342e	Coffre viking ancien
zts19343e	C'est un coffre dans lequel se trouvent les trésors des Vikings.[n]Est-il vrai ou est-ce une contrefaçon ?[n] Il peut être échangé contre une noisette en or.[n]
zts19344e	Coffre goth ancien
zts19345e	C'est un coffre dans lequel se trouvent les trésors des Goths.[n]Est-il vrai ou est-ce une contrefaçon ?[n] Il peut être échangé contre une noisette en or.[n]
zts19346e	Sceau de raid du roi des Ratufus
zts19347e	Utilise cet objet pour ouvrir le raid du roi des Ratufus.[n][Attention][n]Nombre de joueurs : 2 équipes de 10 à 15 joueurs. Un maximum de 30 joueurs.[n]Seuls les joueurs qui ont réussi à entrer peuvent participer. Les joueurs qui n'ont pas pu participer cette fois-ci participent au tour suivant.[n]Un minimum de 20 joueurs est nécessaire pour ce raid.[n]S'il n'y a pas suffisamment de joueurs présents, le raid ne se lance pas.[n]Si le raid est annulé, le sceau de raid est tout de même consommé.[n]Si le raid a déjà commencé, le sceau ne peut plus être utilisé à nouveau.[n]
zts19348e	Sceau de raid de la Ferme des moutons
zts19349e	Utilise cet objet pour ouvrir le raid de la Ferme des moutons.[n][Attention][n]Nombre de joueurs : 5 à 30 joueurs.[n]Seuls les joueurs qui ont réussi à entrer peuvent participer. Les joueurs qui n'ont pas pu participer cette fois-ci participent au tour suivant.[n]Un minimum de 20 joueurs est nécessaire pour ce raid.[n]S'il n'y a pas suffisamment de joueurs présents, le raid ne se lance pas.[n]Si le raid est annulé, le sceau de raid est tout de même consommé.[n]Si le raid a déjà commencé, le sceau ne peut plus être utilisé à nouveau.[n]
zts19350e	Sceau de raid « Éviter le météore »
zts19351e	Utilise cet objet pour ouvrir le raid « Éviter le météore ».[n][Attention][n]Nombre de joueurs : 10 à 50 joueurs.[n]Seuls les joueurs qui ont réussi à entrer peuvent participer. Les joueurs qui n'ont pas pu participer cette fois-ci participent au tour suivant.[n]Un minimum de 10 joueurs est nécessaire pour ce raid.[n]S'il n'y a pas suffisamment de joueurs présents, le raid ne se lance pas.[n]Si le raid est annulé, le sceau de raid est tout de même consommé.[n]Si le raid a déjà commencé, le sceau ne peut plus être utilisé à nouveau.[n]
zts19352e	C'est l'objet le plus précieux pour les Ratufus.[n]
zts19353e	C'est une noisette en bronze.[n]Je ne sais pas du tout où les Ratufus l'ont dégottée.[n]
zts19354e	Noisette en argent
zts19355e	C'est une noisette en argent.[n]Je ne sais pas du tout où les Ratufus l'ont dégottée.[n]
zts19356e	C'est une noisette en or.[n]Je ne sais pas du tout où les Ratufus l'ont dégottée.[n]C'est très suspect...[n]
zts19357e	Paquet-cadeau « Loup dans une peau de mouton »
zts19358e	C'est une récompense pour l'élimination de tous les monstres dans le raid de la Ferme des moutons.[n]Je ne sais pas du tout ce qui pourrait se trouver dedans. Il a l'air très suspect.[n]
zts19359e	Un cadeau du roi des Ratufus.[n]Je ne sais pas du tout ce qui pourrait se trouver dedans. Mais bon, il a l'air joli.[n]
zts19374e	Turban du désert (30 jours)
zts19375e	Porte ce turban du désert pour garder la tête froide en toutes circonstances.[n]La durée d'utilisation commence dès que tu t'en sers.[n][Effet][n]La résistance à la Lumière augmente de 10.[n]
zts19376e	Turban du désert (permanent)
zts19377e	Porte ce turban du désert pour garder la tête froide en toutes circonstances.[n][Effet][n]La résistance à la Lumière augmente de 10.[n]
zts19378e	Bracelet de fleurs (30 jours)
zts19379e	Porte ce bracelet de fleurs pour attirer tout le monde à toi.[n]La durée d'utilisation commence dès que tu t'en sers.[n][Effet][n]La résistance au Feu augmente de 10.[n]
zts19380e	Bracelet de fleurs (permanent)
zts19381e	Porte ce bracelet de fleurs pour attirer tout le monde à toi.[n][Effet][n]La résistance au Feu augmente de 10.[n]
zts19382e	Robe du désert (30 jours)
zts19384e	Robe du désert (permanent)
zts19386e	Costume de danse du ventre (30 jours)
zts19387e	Porte ce costume de danse du ventre pour ensorceler tous les spectateurs.[n]La durée d'utilisation commence dès que tu t'en sers.[n][Effet][n]La vitesse de déplacement augmente de 1.[n]
zts19388e	Costume de danse du ventre (permanent)
zts19389e	Porte ce costume de danse du ventre pour ensorceler tous les spectateurs.[n][Effet][n]La vitesse de déplacement augmente de 2.[n]
zts19390e	Lot du désert (permanent)
zts19391e	Avec ce costume du désert, le soleil ne peut plus te nuire.[n][Objets :][n]1x turban du désert (permanent)[n]1x robe du désert (permanent)[n]
zts19392e	Lot des danseuses (permanent)
zts19393e	Ce costume de danseuse fera à coup sûr des jaloux.[n][Objets :][n]1x bracelet de fleurs (permanent)[n]1x costume de danse du ventre (permanent)[n]
zts19394e	Avec cette robe du désert, il n'est pas si facile de te faire suer.[n]La durée d'utilisation commence dès que tu t'en sers.[n][Effet][n]La vitesse de déplacement augmente quand tu te caches.[n]
zts19395e	Avec cette robe du désert, il n'est pas si facile de te faire suer.[n]La vitesse de déplacement augmente quand tu te caches.[n][Effet][n]La vitesse de déplacement augmente de 1.[n]
zts19412e	Parchemin lumineux
zts19413e	[Objet de quête][n]
zts19414e	Parchemin
zts19415e	Perle du roi des pirates Lucifélin
zts19416e	Perle de l'amiral Œil d'aigle
zts19417e	Carte de spécialiste pour partenaire du guerrier squelettique Ragnar
zts19418e	Carte de spécialiste pour partenaire de l'élément Obscurité.[n]Ragnar peut la porter.[n]Puissance spectrale.[n]
zts19419e	Baguette magique de Yertirand
zts19420e	C'est la baguette magique pour le meilleur sorcier viking.
zts19421e	Baguette magique de Yertirand corrompu
zts19422e	C'est la baguette magique utilisée par Yertirand corrompu.[n]Elle rayonne d'une épouvantable énergie obscure.[n]
zts19423e	Gants de Jennifer
zts19424e	Ce sont les gants utilisés par Jennifer pour tirer à l'arc.[n]
zts19425e	Clé de Yertirand
zts19426e	Grâce à cette clé, tu peux faire de Yertirand ton partenaire.[n]
zts19427e	Sac d'alchimiste
zts19428e	[Objet de quête] Un sac avec des objets inconnus.[n]
zts19429e	Dragon squelettique magique
zts19430e	Avec cet objet, tu peux chevaucher le dragon squelettique magique.[n]Ta vitesse de déplacement augmente.[n]Réutilise l'objet pour en descendre.[n]Aucune limite de niveau.[n][Propriétés][n]Vitesse de déplacement : 21[n]Vitesse de déplacement à NosVille et à Port Alveus +1[n]Vitesse de déplacement dans le désert et dans la région de l'Épée en flammes +2[n][Avec boosteur de vitesse][n]Tu te téléportes vers un point aléatoire sur la carte.[n]
zts19431e	Coffre du dragon squelettique magique
zts19432e	Ce coffre renferme un dragon squelettique magique.[n][Attention][n]Une fois que tu auras libéré le dragon squelettique magique, ce coffre ne sera plus négociable.[n]
zts19433e	Sceau de raid de l'ancienne Tour des Slades
zts19434e	Ce sceau de raid te donne accès au raid de l'ancienne Tour des Slades.[n]Niveau recommandé : 70-99[n][Mode d'emploi][n]Cet objet fait de toi le chef du raid.[n]En tant que chef du raid, tu peux cliquer sur d'autres joueurs et les inviter grâce au bouton « Équipe ».[n]Quand tout est prêt, va à l'entrée du raid. Lorsque le chef entre, les autres joueurs le suivent automatiquement.[n]
zts19435e	Coffre mystère de la liche
zts19436e	Ce coffre de grande valeur de Yertirand a changé la liche.[n]Ce qui se trouve à l'intérieur ? Aucune idée. Mais bon, il a l'air joli.[n]
zts19437e	Gants du chevalier dragon
zts19438e	Ce sont les gants que le chevalier dragon portait quand il chevauchait son dragon.[n]
zts19439e	Collier avec l'énergie de la liche
zts19440e	C'est une des reliques imprégnée de l'énergie de la liche.[n]Grotesque ![n]
zts19441e	Anneau avec l'énergie de la liche
zts19442e	Bracelet avec l'énergie de la liche
zts19443e	Heaume du chevalier dragon
zts19444e	Le joli et fier heaume du chevalier dragon.[n]
zts19445e	Chaussures du chevalier dragon
zts19446e	Ce sont les chaussures portées par le chevalier dragon quand il chevauchait son dragon.[n]Elles peuvent être équipées pour un meilleur maintien sur un dragon.[n]
zts19461e	La potion d'expérience pour fée augmente les points d'EXP de ta fée de 100 % pendant 1 heure.[n]Tu peux également l'appliquer aux fées limitées.[n]
zts19462e	Sir Ronron
zts19463e	Je vais être un bon chevalier ![n]
zts19464e	Aspirant diabolique Gratte
zts19465e	Je veux être le meilleur sorcier de tous les temps ![n]
zts19466e	C'est parti ![n]
zts19467e	Détruire ! Piller ! Voler des trésors ![n]
zts19482e	Boosteur de vitesse magique (1 jour)
zts19483e	Tu peux uniquement utiliser cet objet sur une monture.[n]Lorsque tu l'utilises, ta vitesse est temporairement optimisée.[n]Étant donné son origine magique, il n'est possible de l'utiliser sans restriction que pendant un certain temps.[n]
zts19484e	Boosteur de vitesse magique (3 jours)
zts19485e	Boosteur de vitesse magique (7 jours)
zts19486e	10 (évènement)
zts19487e	Médaille du 10e anniversaire
zts19494e	Renforcement de boosteur de vitesse
zts19495e	Cet objet sert à la fabrication de boosteurs de vitesse magiques.[n]Il renforce l'effet des boosteurs de vitesse.[n]
zts19496e	Objet de test du Dr Miaou fou
zts19497e	Il s'agit d'une carte de spécialiste pour partenaire de l'élément Obscurité.[n]Elle peut être portée par des partenaires disposant d'attaques rapprochées.[n]
zts19498e	Costume de la sorcière blanche Laurena
zts19499e	Ce sont des oreilles de loup duveteuses portées par la sorcière blanche Laurena.[n]
zts19500e	Dr Miaou fou
zts19501e	La domination des Humains hypocrites va bientôt arriver à son terme ![n]
zts19502e	Apparence pelle à gâteau des 10 ans (10 jours)
zts19503e	C'est parfait pour couper le gâteau du 10e anniversaire.[n]Attention : ça coupe ![n]Il faut d'abord s'en équiper.[n]La durée d'utilisation commence dès que tu te sers de l'apparence.[n][Effet] Il y a 10 % de probabilité pour que les temps de rechargement des compétences utilisées soient réinitialisés.[n]
zts19504e	Apparence gâteau des 10 ans (10 jours)
zts19505e	Un gâteau fait maison pour le 10e anniversaire. Il a vraiment l'air délicieux.[n]Il faut d'abord s'en équiper.[n]La durée d'utilisation commence dès que tu te sers de l'apparence.[n][Effet][n]Il y a 10 % de probabilité pour que les temps de rechargement des compétences utilisées soient réinitialisés.[n]
zts19506e	Apparence pétards des 10 ans (10 jours)
zts19507e	Un pétard magique pour célébrer le 10e anniversaire comme il se doit. Un vrai pétard ![n]Il faut d'abord s'en équiper.[n]La durée d'utilisation commence dès que tu te sers de l'apparence.[n][Effet][n]Il y a 10 % de probabilité pour que les temps de rechargement des compétences utilisées soient réinitialisés.[n]
zts19508e	Apparence pelle à gâteau des 10 ans (permanent)
zts19509e	C'est parfait pour couper le gâteau du 10e anniversaire.[n]Attention : ça coupe ![n]Il faut d'abord s'en équiper.[n][Effet] Il n'y a pas d'effet pour le moment.[n][n]
zts19510e	Apparence gâteau des 10 ans (permanent)
zts19511e	Un gâteau fait maison pour le 10e anniversaire.[n]Il a vraiment l'air délicieux.[n]Il faut d'abord s'en équiper.[n][Effet] Il n'y a pas d'effet pour le moment.[n][n]
zts19512e	Apparence pétards des 10 ans (permanent)
zts19513e	Un pétard magique pour célébrer le 10e anniversaire comme il se doit.[n]Un vrai pétard ![n]Il faut d'abord s'en équiper.[n][Effet] Il n'y a pas d'effet pour le moment.[n][n]
zts19514e	Baguette magique de la sorcière blanche Laurena (évènement)
zts19515e	C'est la baguette magique de la sorcière blanche Laurena.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts19516e	Sceau de raid du Dr Miaou fou
zts19517e	Tu peux entrer dans le raid du Dr Miaou fou via les Catacombes abandonnées dans NosVille.[n]Niveau recommandé : 20-99[n]Nombre de joueurs recommandé : minimum 10[n][Mode d'emploi][n]Cet objet fait de toi le chef du raid.[n]En tant que chef du raid, tu peux cliquer sur d'autres joueurs et les inviter grâce au bouton « Équipe »[n]Quand tout est prêt, va à l'entrée du raid. Lorsque le chef entre, les autres joueurs le suivent automatiquement.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts19532e	Vis (évènement)
zts19533e	C'est une vis au filetage spécial.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts19534e	Écrou (évènement)
zts19535e	C'est un écrou qui est adapté à une vis spéciale.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts19536e	Dé magique (évènement)
zts19537e	Ce dé a été créé par le Dr Miaou à l'aide de la baguette magique de la sorcière blanche Laurena.[n]En l'utilisant, tu peux te déplacer sans te faire remarquer.[n]Il disparaît si tu quittes les Catacombes abandonnées.[n]
zts19538e	Ce dé a été créé par le Dr Miaou à l'aide de la baguette magique de la sorcière blanche Laurena.[n]En l'utilisant, tu bénéficies de la résistance contre les effets négatifs.[n]Il disparaît si tu quittes les Catacombes abandonnées.[n]
zts19539e	Ce dé a été créé par le Dr Miaou à l'aide de la baguette magique de la sorcière blanche Laurena.[n]En l'utilisant, ta vitesse de déplacement augmente.[n]Il disparaît si tu quittes les Catacombes abandonnées.[n]
zts19540e	Ce dé a été créé par le Dr Miaou à l'aide de la baguette magique de la sorcière blanche Laurena.[n]En l'utilisant, toutes les cibles (hormis le joueur) subissent une syncope.[n]Il disparaît si tu quittes les Catacombes abandonnées.[n]
zts19541e	Clé brisée (sortie des Catacombes)
zts19542e	C'est une clé qui ouvrirait la porte de sortie des Catacombes...[n]si elle n'était pas brisée.[n]L'objet disparaît si tu quittes les Catacombes abandonnées.[n]
zts19543e	Ce sont des oreilles de loup duveteuses portées par la sorcière blanche Laurena.[n][Effet][n]+5 % de gain en EXP.[n]
zts19544e	Rune de foudre [mère Nature]
zts19545e	Cette rune a été bénie par mère Nature avec le pouvoir de la foudre.[n]La vitesse de déplacement augmente de 1.[n]Les temps de rechargement diminuent de 10 %.[n]Pendant les attaques, la concentration augmente d'un montant égal à 2x le niveau du joueur.[n]La précision de toutes les attaques augmente d'un montant égal à 2x le niveau du joueur.[n]Niveau requis : 30[n]Durée d'utilisation : 2 heures[n]La durée d'utilisation commence dès que tu t'en sers.[n]
zts19546e	Rune d'arbre [mère Nature]
zts19547e	Cette rune a été bénie par mère Nature avec le pouvoir des arbres.[n]Les points d'EXP augmentent de 20 %.[n]Les gains en or augmentent de 20 %.[n]Tu reçois 20 % de réputation en plus.[n]L'effet des objets de guérison augmente de 20 %.[n]Niveau requis : 30[n]Durée d'utilisation : 2 heures[n]La durée d'utilisation commence dès que tu t'en sers.[n]
zts19548e	Rune des nuages [mère Nature]
zts19549e	Cette rune a été bénie par mère Nature avec le pouvoir des nuages.[n]La vitesse de déplacement augmente de 1.[n]La force élémentaire augmente de 10.[n]Tu as une probabilité de 15 % de résister aux mouvements forcés.[n]Les HP maximums augmentent de 3 300.[n]Niveau requis : 30[n]Durée d'utilisation : 2 heures[n]La durée d'utilisation commence dès que tu t'en sers.[n]
zts19550e	Rune du feu [mère Nature]
zts19551e	Cette rune a été bénie par mère Nature avec le pouvoir du feu.[n]Les dégâts supplémentaires augmentent de 90[n]La force d'attaque et de défense en PvP augmentent de 10 %.[n]La vitesse de déplacement augmente de 1.[n]Niveau requis : 30[n]Durée d'utilisation : 2 heures[n]La durée d'utilisation commence dès que tu t'en sers.[n]
zts19552e	Rune de foudre rare [mère Nature]
zts19553e	Cette rune a été chargée par mère Nature avec un éclair.[n]La vitesse de déplacement augmente de 2.[n]Les temps de rechargement diminuent de 20 %.[n]Pendant les attaques, la concentration augmente d'un montant égal à 4x le niveau du joueur.[n]La précision de toutes les attaques augmente d'un montant égal à 4x le niveau du joueur.[n]Niveau requis : 30[n]Durée d'utilisation : 1 heure[n]La durée d'utilisation commence dès que tu t'en sers.[n]
zts19554e	Rune d'arbre rare [mère Nature]
zts19555e	Cette rune a été bénie par mère Nature avec le pouvoir des arbres.[n]Les points d'EXP augmentent de 40 %.[n]Les gains en or augmentent de 40 %.[n]Tu reçois 40 % de réputation en plus.[n]L'effet des objets de guérison augmente de 40 %.[n]Niveau requis : 30[n]Durée d'utilisation : 1 heure[n]La durée d'utilisation commence dès que tu t'en sers.[n]
zts19556e	Rune des nuages rare [mère Nature]
zts19557e	Cette rune a été bénie par mère Nature avec le pouvoir des nuages.[n]La vitesse de déplacement augmente de 2.[n]La force élémentaire augmente de 20.[n]Tu as une probabilité de 30 % de résister aux mouvements forcés.[n]Les HP maximums augmentent de 6 600.[n]Niveau requis : 30[n]Durée d'utilisation : 1 heure[n]La durée d'utilisation commence dès que tu t'en sers.[n]
zts19558e	Rune du feu rare [mère Nature]
zts19559e	Cette rune a été bénie par mère Nature avec le pouvoir du feu.[n]Les dégâts augmentent de +180.[n]La force d'attaque et de défense en PvP augmentent de 20 %.[n]La vitesse de déplacement augmente de 2.[n]Niveau requis : 30[n]Durée d'utilisation : 1 heure[n]La durée d'utilisation commence dès que tu t'en sers.[n]
zts19560e	Ticket pour le raid du Dr Miaou fou (évènement)
zts19561e	Grâce à cet objet, tu peux réinitialiser la limitation quotidienne pour la participation au raid du Dr Miaou fou.[n]Fais un double clic pour l'utiliser.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts19562e	Lot de runes de mère Nature
zts19563e	Ces runes de mère Nature te confèrent des forces insoupçonnées.[n]Il contient des runes normales de mère Nature.[n]En plus, il y a une petite chance qu'il contienne aussi une rune rare.[n]
zts19564e	Joli coffret de sorcière (évènement)
zts19565e	Le coffre récompense de la sorcière blanche Laurena.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts19566e	Boîte de ferraille du Dr Miaou fou (évènement)
zts19567e	Ce coffre contient un des objets cachés du Dr Miaou fou.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts19568e	Caisse de provisions de la résistance (évènement)
zts19569e	Une caisse de provisions qui a été livrée au Dr Miaou fou par la résistance.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts19570e	C'est la baguette magique de la sorcière blanche Laurena qui avait été volée par le Dr Miaou fou.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts19571e	Tu peux entrer dans le raid du Dr Miaou fou via les Catacombes abandonnées dans NosVille.[n]Niveau recommandé : 30-99[n]Nombre de joueurs minimum : 8[n][Mode d'emploi][n]Cet objet fait de toi le chef du raid. [n]En tant que chef du raid, tu peux cliquer sur d'autres joueurs et les inviter grâce au bouton « Équipe ».[n]Quand tout est prêt, va à l'entrée du raid. Lorsque le chef entre, les autres joueurs le suivent automatiquement.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n]
zts19587e	Teinture insolente
zts19588e	Utilise la teinture insolente pour donner plus de peps aux coiffures « brosse à tresses » et « frange courte ».[n][Attention][n]On ne peut l'utiliser que pour une coiffure.[n]Il est impossible de l'utiliser pour d'autres coiffures.[n]Il est impossible de réutiliser une coloration après avoir utilisé cette teinture.[n]
zts19589e	Cire pour cheveux « rockabilly »
zts19590e	Ta coiffure est modifiée en [rockabilly].[n][Attention][n]Les Aventuriers ne peuvent pas l'utiliser.[n]Seuls les personnages masculins peuvent l'utiliser.[n]
zts19591e	Cire pour cheveux « brosse à tresses »
zts19592e	Ta coiffure est modifiée en [brosse à tresses].[n][Attention][n]Les Aventuriers ne peuvent pas l'utiliser.[n]Seuls les personnages masculins peuvent l'utiliser.[n]
zts19593e	Cire pour cheveux « natte »
zts19594e	Ta coiffure est modifiée en [natte].[n][Attention][n]Les Aventuriers ne peuvent pas l'utiliser.[n]Seuls les personnages féminins peuvent l'utiliser.[n]
zts19595e	Cire pour cheveux « frange courte »
zts19596e	Ta coiffure est modifiée en [frange courte].[n][Attention][n]Les Aventuriers ne peuvent pas l'utiliser.[n]Seuls les personnages féminins peuvent l'utiliser.[n]
