zts1e	Отдых
zts1527e	monster skill
zts1528e	monster skill
zts1529e	monster skill
zts1530e	monster skill
zts1531e	monster skill
zts1532e	monster skill
zts1533e	monster skill
zts1534e	monster skill
zts1535e	monster skill
zts1536e	monster skill
zts1537e	monster skill
zts1538e	monster skill
zts1539e	monster skill
zts1540e	monster skill
zts1541e	monster skill
zts1542e	monster skill
zts1543e	monster skill
zts1544e	monster skill
zts1545e	monster skill
zts1546e	monster skill
zts1547e	monster skill
zts1548e	monster skill
zts1549e	monster skill
zts1550e	monster skill
zts1551e	monster skill
zts1552e	monster skill
zts1553e	monster skill
zts1554e	monster skill
zts1555e	monster skill
zts1556e	monster skill
zts1557e	monster skill
zts1558e	monster skill
zts1559e	monster skill
zts1560e	monster skill
zts1561e	monster skill
zts1562e	monster skill
zts1563e	monster skill
zts1564e	monster skill
zts1565e	monster skill
zts1566e	monster skill
zts1567e	monster skill
zts1568e	monster skill
zts1569e	monster skill
zts1570e	monster skill
zts1571e	monster skill
zts1572e	monster skill
zts1573e	monster skill
zts1574e	2 уровень улучшения
zts1575e	ПвП специализация второго уровня
zts1576e	Повышает силу дальней атаки и урон от критических ударов Дождя стрел.
zts1577e	Повышает дальность.
zts1578e	Повышает силу атаки до 3 уровня
zts1579e	Увеличивает радиус Небесного Правосудия
zts1580e	monster skill
zts1581e	monster skill
zts1582e	monster skill
zts1583e	monster skill
zts1584e	monster skill
zts1585e	monster skill
zts1586e	monster skill
zts1587e	monster skill
zts1588e	Тыквенная бомба
zts1589e	Прыжок Светильника Джека
zts1590e	Скачок Светильника Джека
zts1591e	Призыв Светильника Джека
zts1592e	Призыв Светильника Джека 2
zts1610e	Густой туман, понижающий точность и рассеивающий внимание противников.
zts1611e	Ты прячешься. Если тебя ударяют, ты снова становишься видимым.
zts1615e	Священный свет снижает все навыки твоих оппонентов.
zts1620e	Повышает твою силу защиты и концентрацию, одновременно понижая получаемый урон на 30% за счет твоей маны
zts1622e	НосБазар
zts1623e	Прыжок разозленного Куриного короля
zts1624e	Мощный прыжок разозленного куриного короля
zts1635e	Выстрел из мушкета
zts1636e	Стремительная атака
zts1637e	Спрятаться в бочке из-под рома
zts1638e	Cпрятаться в бочке из-под рома
zts1639e	Пушечный залп
zts1640e	Корабль стреляет по врагу, чтобы тебе помочь.
zts1641e	Пиратский танец
zts1643e	Глотнуть рому, йо-хо-хо!
zts1645e	Благословение Кертоса
zts1646e	Фонтан лавы
zts1647e	Яростный вихрь
zts1649e	Вихрь
zts1650e	Ярость
zts1651e	Отложить яйцо
zts1652e	Выпустить паучью сеть
zts1653e	Выброс лавы
zts1654e	Мощный выброс лавы
zts1655e	Призыв (Феникс)
zts1656e	Призыв (Яйцо)
zts1657e	Оттолкнуть
zts1658e	Телепортировать вперед
zts1659e	Мощный выброс лавы (Босс)
zts1660e	Пылающий щит
zts1673e	Основная атака
zts1674e	Перекрестная атака.
zts1675e	Двойной удар
zts1676e	Защищайся щитом и отбивай атаки мечом.
zts1677e	Удар молнии
zts1678e	Быстрый удар атаки
zts1679e	Атака щитом
zts1680e	Когда ты нападаешь на противников со щитом, есть 90% вероятность того, что они получат дебаф Сокрушительный удар.
zts1681e	Охотничий рог
zts1682e	Натиск на лагерь противника сильной атакой.
zts1683e	Насмехаться
zts1684e	Когда ты насмехаешься над сокрушенными противниками, они впадают в чрезвычайно возбужденное состояние. При этом цель также получает дебаф.
zts1685e	Магическое отражение
zts1686e	Отражает все атаки и отвлекает силы на щит. При успешной защите щитом, атакующий получит весь ущерб одним ударом.
zts1687e	Железный Вал
zts1688e	Бросает соперника через вращающийся щит. Существует определенная вероятность того, что цель получит сокрушительный удар.
zts1689e	Обжорство
zts1690e	Готовься к сражению с криками и жаждой крови.
zts1691e	Объявление войны
zts1692e	Заключительные атаки на противника - удар раскатами грома.
zts1693e	Уничтожение
zts1694e	Эффективная атака на противников, которые находятся в зоне прямой видимости. После того, как противник будет уничтожен, произойдет эффект "Приветствие Толпы".
zts1695e	Орудийная стрельба
zts1696e	Основной артиллерийский удар через выстрел с дальней дистанции. Усиленный взрыв увеличивает немного силу атаки.
zts1697e	Стрельба с временной задержкой
zts1698e	Стрельба с временной задержкой пушечными ядрами под высоким, средним и малым углами по цели и все ядра ударили по ней одновременно.
zts1699e	Разворот орудия
zts1700e	Орудие разворачивается за противником.
zts1701e	Выстрел из пушки
zts1702e	Сильный выстрел из пушки направлен на противника.
zts1703e	Выстрел с наведением
zts1704e	Может быть запущен с больших расстояний. Усиленный взрыв увеличивает силу самой атаки быстрыми темпами.
zts1705e	Ручная граната
zts1706e	Атакует всех врагов в районе цели брошенной гранатой.
zts1707e	Адский огонь
zts1708e	Ракета-носитель загорается и разрывается над головой противника. Область вокруг цели погрузилась в море огня. Усиленный взрыв увеличивает силу самой атаки быстрыми темпами.
zts1709e	Сигнальная ракета
zts1710e	Сигнальная ракета находится над противником и позволяет огненным бомбам падать, так чтобы цель превратились в руины и пепел. Усиленный взрыв увеличивает силу самой атаки быстрыми темпами.
zts1711e	Верхом на ракете
zts1712e	Верхом на ракете - ракета летит по земле, наносит урон всем окружающим врагам и телепортирует тебя обратно к отправной точке. Усиленный взрыв увеличивает силу самой атаки быстрыми темпами.
zts1713e	Оружейник
zts1714e	Увеличивает до предела возможности оружия.
zts1715e	Суперорудие
zts1716e	Приводит противника в состояние страха и ужаса слепой стрельбой в воздух. Усиленный взрыв увеличивает силу самой атаки быстрыми темпами.
zts1717e	Шар магмы
zts1718e	Стреляет пылающим шаром магмы.
zts1719e	Извержение вулкана
zts1720e	Рев вулкана разрушает рыхлую землю. Эффективность повышается, если маг находится под воздействием силы вулкана.
zts1721e	Вулканический газ
zts1722e	Противник ранен ядовитым облаком вулканического газа. Эффективность повышается, если маг находится под воздействием силы вулкана.
zts1723e	Покрытие магмой
zts1724e	Покрытие магмы покрывает твою броню и обеспечивает чрезвычайно высокую силу защиты.
zts1725e	Волна лавы
zts1726e	Волна лавы поражает твоего противника и он быстро твердеет.
zts1727e	Сила вулкана
zts1728e	Сила вулкана может свалить твоего противника с быстро растущей вероятностью.
zts1729e	Землетрясение
zts1730e	Из-за рева вулкана вокруг тебя создается землетрясение. Эффективность повышается, если маг находится под воздействием силы вулкана.
zts1731e	Рев вулкана
zts1732e	Рев вулкана телепортирует тебя над головой противника так, что ты сможешь осуществить целенаправленный удар. Эффективность повышается, если маг находится под воздействием силы вулкана.
zts1733e	Болото лавы
zts1734e	Болото лавы создано и уменьшает силу атаки противника так же как и его скорость передвижения.
zts1735e	Меч магмы
zts1736e	Вызывает меч сделанный из лавы, который атакует цель.
zts1737e	Пепельная буря
zts1738e	Пепельная буря - мощная атака с сильным ветром и молнией. Эффективность повышается, если маг находится под воздействием силы вулкана.
zts1748e	Натиск на противоположный лагерь с мощной атакой на цель и на всех противников в выбранном регионе.
zts1749e	Основная бомбардировочная атака с дальней дистанции.
zts1750e	Беспощадная атака топором
zts1751e	Супер точный выстрел Викинга
zts1752e	Железный Викинг
zts1753e	Стрела из грязи
zts1754e	Бессмертие
zts1755e	Плохой парень
zts1756e	Разочарование Фрейи
zts1757e	Сообщение Фрейи
zts1758e	Пламя Фрейи
zts1762e	Основная атака копьем
zts1763e	Основная атака копьем наносит противнику сильные удары слева и справа.
zts1764e	Разделенное море
zts1765e	Этот навык разделяет и море, и противника на две половины.
zts1766e	Удар по цели
zts1767e	Прицелившись, ты увеличишь силу удара и попадешь точно в мишень.
zts1768e	Мощный ураган
zts1769e	Ураган буквально собьет твоего противника с ног.
zts1770e	Семь ударов
zts1771e	Противник получает семь мгновенных ударов подряд.
zts1772e	Циклон
zts1773e	Циклон поставит твоего соперника на колени.
zts1774e	Жертвоприношение
zts1775e	Магическая аура жертвоприношения окружит выбранного игрока. Ты будешь получать урон вместо него. Если он выйдет из зоны действия, эффект прекратится.
zts1776e	Медитация
zts1777e	Ты садишься и посвящаешь себя медитации. Если ты будешь медитировать достаточно долго, твой дух восстановит силы. Однако если тебя кто-то прервет, ты можешь пострадать от синдрома Кундалини, который сильно ограничит твою физическую и духовную энергии.
zts1778e	Спиральное копье
zts1779e	С помощью спирального копья можно достать более далекие цели.
zts1780e	Слова Будды
zts1781e	Слова Будды действуют как талисман. Когда ты и члены твоей группы слышат их в первый раз, все негативные эффекты, наложенные на вас, снимаются в течение 5 секунд с вероятностью 25%. Более длительное использование навыка приводит к потреблению ОМ.
zts1782e	Новое начало
zts1783e	Новое начало позволит положить конец хаосу в этом мире.
zts1784e	Драконий гарпун
zts1785e	Этот навык особенно эффективен, если использовать его вместе с "Семью ударами".
zts1786e	Драконье копье
zts1787e	Драконье копье отправит твоего соперника на небеса.
zts1788e	Гром трезубца
zts1789e	Гром трезубца - это основная атака, которая выстреливает молниями в форме трезубца.
zts1790e	Тайфун
zts1791e	Три вихря, появляющиеся из разных направлений, превращаются в настоящий тайфун.
zts1792e	Огромный трезубец
zts1793e	Огромный трезубец создает сильное магнетическое поле.
zts1794e	Благословение океана
zts1795e	Благословение океана укроет твоих союзников священной аурой.
zts1796e	Удар молнии
zts1797e	Удар молнии подожжет врага, а гром нанесет дополнительный урон.
zts1798e	Время кормления
zts1799e	Выпусти акулу - она проголодалась. Она подплывет прямо к противникам, включая тех, которые находятся в отдалении, и сделает огромный укус.
zts1800e	Гигантский вихрь
zts1801e	Гигантский вихрь можно направить на выбранную цель. Он закружит твоих противников, замедляя их скорость.
zts1802e	Песнь сирен
zts1803e	Песнь сирен очарует врагов и они впадут в глубокий сон.
zts1804e	Цунами
zts1805e	Твоих противников смоет чудовищная волна.
zts1806e	Водяной пузырь
zts1807e	С помощью этого навыка ты можешь создать водяной пузырь, который защитит тебя от нападений врага. Эффект исчезнет после того, как пузырю нанесут определенный ущерб.
zts1808e	Осторожно, синий кит!
zts1809e	Синий кит упадет на соперника прямо с неба.
zts1810e	Двойная вспышка
zts1811e	Двойная вспышка наносит противнику ожоги.
zts1812e	Основная атака - выстрел из арбалета.
zts1813e	Пикирующий сокол
zts1814e	Сокол ждет твоего приказа атаковать. Этот навык активирует наивысший уровень вращающейся стрелы с определенной вероятностью.
zts1815e	Подвижная ловушка
zts1816e	Ты устанавливаешь подвижную ловушку для своих соперников.
zts1817e	Слежка
zts1818e	Сокол начнет преследование выбранной тобой цели.
zts1819e	Отступление
zts1820e	Атакуй противника и быстро отступай.
zts1821e	Жизненная энергия
zts1822e	Укрепи свою жизненную энергию, впитывая энергию леса.
zts1823e	Дымовой снаряд
zts1824e	Дымовой снаряд погрузит врага в облако смога, что ограничит его обзор.
zts1825e	Соколиная прозорливость
zts1826e	Соколиная прозорливость помогает ему вычислить самого слабого противника и напасть на него. После этот игрок будет отмечен специальным знаком.
zts1827e	Заряд молнии
zts1828e	С помощью этого навыка ты сможешь зарядить новую стрелу гораздо быстрее. Также у тебя будет высокий шанс выполнения комбо-навыка. Однако заряд молнии можно производить только 5 раз подряд.
zts1829e	Засада
zts1830e	Ты нападаешь из засады.
zts1831e	Снайпер
zts1832e	Нападай на соперника с дальней дистанции и наноси критический урон благодаря навыкам [Засада] и [Снайпер].
zts1833e	Вращающаяся стрела - уровень 1
zts1834e	Ты выпускаешь из арбалета вращающуюся стрелу, которая пронзает всех врагов, стоящих на прямой линии.
zts1835e	Вращающаяся стрела - уровень 2
zts1836e	Ты выпускаешь из арбалета вращающуюся стрелу, которая пронзает всех врагов, стоящих на прямой линии. После использования этого навыка ты получишь эффект, который подготовит тебя к [Засаде].
zts1837e	Вращающаяся стрела - наивысший уровень
zts1838e	Вращающаяся стрела наивысшего уровня приравнивается к смертельному удару. Твой противник с высокой вероятностью будет получать критический урон.
zts1840e	Следящий сокол
zts1841e	В сочетании с навыком [Слежка], твой враг будет преследоваться соколом.
zts1842e	Охотящийся сокол
zts1843e	В сочетании с навыком [Слежка], твой враг будет преследоваться соколом, который нападет на него с воздуха.
zts1853e	Песнь сирен очарует врагов, и они впадут в глубокий сон. В ПвП битве длительность эффекта сокращена в два раза.
zts1854e	Охота на овец
zts1855e	Вызвать 2 участника
zts1856e	Второй участник вызван на арену, и ты можешь драться рядом с ним в течение 30 секунд.
zts1857e	Вызвать 3 участника
zts1858e	Третий участник вызван на арену, и ты можешь драться рядом с ним в течение 30 секунд.
zts1859e	Изменить обзор
zts1860e	Переключает камеру на обзор участника, находящегося в битве. Если использовать снова, можно вернуться к нормальному обзору
zts1861e	Вызвать 1 участника
zts1862e	Первый участник вызван на арену, и ты можешь драться рядом с ним в течение 30 секунд.
zts1866e	Бросить желудь
zts1867e	Разрушить
zts1868e	Удар ножом
zts1869e	Удар молнии
zts1870e	Бросок кинжала
zts1871e	Танец пламени
zts1872e	Гроза
zts1873e	Путь тьмы
zts1874e	Помеченный
zts1875e	Очарование
zts1876e	Сила тьмы
zts1877e	Волшебная пуля
zts1878e	Выстреливает темной волшебной пулей.
zts1879e	Смятение
zts1880e	Разрушает разум противника, нанося ему повреждения в течение определенного времени.
zts1881e	Заключение
zts1882e	Запирает противника в темной клетке, запугивая его настолько, что он ничего не может сделать. Наносит урон, когда клетка ломается.
zts1883e	Вспышка
zts1884e	Быстро телепортирует вперед, накладывая на персонажа короткий баф.
zts1885e	Проклятие
zts1886e	Наносит серьезный урон противнику, проклиная его.
zts1887e	Иллюзия
zts1888e	Обращает исцеляющие эффекты противника против него. Действие распространяется также на восстанавливающие напитки. Управление персонажем становится инверсным. Приводит монстров в состояние страха и ужаса.
zts1889e	Похищение маны
zts1890e	Наносит повреждения и забирает ману у противника с определенной вероятностью.
zts1891e	Гипноз
zts1892e	Конвертирует следующий полученный урон в ОЗ. Восстановленные ОЗ исчезают через 10 секунд. Если у персонажа тратится все ОЗ, 1 ОЗ остается для выживания
zts1893e	Темное лезвие
zts1894e	Превращает магические пули в непрерывно вылетающие лезвия.
zts1895e	Потеря времени
zts1896e	Увеличивает время восстановления навыков противника. При успешном использовании навыка собственное время восстановления сокращается.
zts1897e	Супер Абракадабра
zts1898e	Самое удивительное заклинание запретной магии. Освобождает магическую силу каждой стихии.
zts1907e	Быстро телепортирует вперед. С определенной вероятностью навык может быть использован беспрерывно.
zts1912e	Дьявольский выстрел
zts1913e	Наносит урон противнику основной атакой охотника на демонов.
zts1914e	Град пуль
zts1915e	Стреляет из револьвера точно в цель.
zts1916e	Брошенное лезвие
zts1917e	Позволяет нанести удар в ближнем бою после стрельбы.
zts1918e	Вихрь мстительных духов
zts1919e	Выпускает в небо мстительных духов, наносящих урон всем находящимся рядом противникам.
zts1920e	Маятник мстительного духа 1
zts1921e	Нападает на противника, делая рывок вперед. Можно использовать до 3 раз.
zts1922e	Нападение мстительного духа
zts1923e	Стреляет по противнику духами вместо пуль, нанося огромный урон.
zts1924e	Дух берсерка
zts1925e	Становится сильнее, получая урон.
zts1926e	Призыв духов
zts1927e	Стреляет прямо, вызывая духов для атаки противника.
zts1928e	Взрыв
zts1929e	Высвобождает невероятно сильных духов, которые временно оглушают врага.
zts1930e	Одержимость
zts1931e	Одержимый противник получает урон, пока длится эффект. Когда эффект спадает, он переходит на другого находящегося рядом противника.
zts1932e	Меч души
zts1933e	Призывает меч души, способный наносить урон в широком диапазоне, и приводить противника в состояние шока.
zts1934e	Маятник мстительного духа 2
zts1935e	Маятник мстительного духа 3
zts1936e	Маятник лунной тени
zts1937e	Тьма наносит урон всем противникам на своем пути.
zts1938e	Коса жнеца
zts1939e	Наносит повреждения огромной косой.
zts1940e	Резак
zts1941e	Разрезает врага на части острым лезвием.
zts1942e	Кровопийца
zts1943e	Все находящиеся поблизости противники получают ранения, а часть их ОЗ поглощается
zts1944e	Смерть близко
zts1945e	Перемещается к противнику и ударяет вблизи.
zts1946e	Толчок
zts1947e	Отталкивает стоящих впереди и сзади врагов и замедляет их.
zts1948e	Бесконечная броня
zts1949e	Повышение защиты и сопротивление принудительному перемещению. Эффект исчезает после получения определенного количества урона.
zts1950e	Притяжение
zts1951e	Притягивает противников, находящихся вблизи. Эффект [Поглощение душ] появляется с определенной вероятностью.
zts1952e	Коса смерти
zts1953e	Бросает косу во врага, оставляя на нем [Метку смерти].
zts1954e	Смертельная тень
zts1955e	Накладывает [Смертельную тень] на врагов внутри широкой области с определенной вероятностью. Противники, помеченные [Меткой смерти], получают дополнительный урон. Приводит монстров в состояние страха и ужаса.
zts1956e	Искривление времени
zts1957e	Уменьшает время восстановления навыка на 20%. Если будет использовано [Поглощение душ], время восстановления навыка сократится на 80%. Дух исчезнет.
zts1958e	Разделение души
zts1959e	Прыгая высоко вверх, наносит урон одному противнику. Противник, помеченные [Меткой смерти], получают дополнительный урон. Эффекты [Метка смерти] и [Искривление времени] пропадают.
zts1970e	Заключает противника в стальную клетку, нанося ему урон, когда клетку сломается.
zts1971e	Наносит серьезный урон противнику, проклиная его.
zts1972e	Делает цель переносчиком и распространяет дух по всем находящимся вблизи противникам.
zts1973e	Уменьшает время восстановления навыка на 10%.  Если будет использовано [Поглощение душ], время восстановления навыка сократится на 80%. Дух исчезнет.
zts1979e	Милая и сладкая
zts1980e	Девять хвостов!
zts1981e	Пронзительный крик
zts1986e	Ха-йя!
zts1987e	Кружение
zts1988e	Сила тигра
zts1989e	Движение меча
zts1990e	Использует кинетическую энергию, чтобы атаковать мечом.
zts1991e	Одиночный бросок
zts1992e	Наносит урон врагу, кидая мечи.
zts1993e	Взрывчатый
zts1994e	Меч летит прямо во врага и взрывается.
zts1995e	Сияние меча
zts1996e	Отражает свет от лезвия, ослепляя врага, и наносит вредный эффект, увеличивающий получаемый урон.
zts1997e	Привязка к тени
zts1998e	Цель прикрепляется к своей тени и не может двигаться.
zts1999e	Зона поражения
zts2000e	Меч стоит на земле, беспрерывно атакуя врагов.
zts2001e	Ломающий колени
zts2002e	Замедляет цель, ударяя по ее ногам мечом.
zts2003e	Метатель мечей
zts2004e	Наносит урон несколькими брошенными мечами.
zts2005e	Летящее лезвие
zts2006e	Лезвие выбрасывается в сторону врага, и, взрываясь, вызывает сильное кровотечение.
zts2007e	Мечетрясение
zts2008e	Призывает огромный меч, который наносит урон, находясь на земле.
zts2009e	9 лезвий
zts2010e	Призывает девять лезвий и кидает их в цель.
zts2024e	Танец бесов
zts2025e	Клон беса
zts2026e	Шляпа беса
zts2027e	Карающий свет
zts2028e	Световая метка
zts2029e	Божье имя
zts2030e	Мастерство меча
zts2031e	Ударяет противника мечом со всей силы.
zts2032e	Летящий кинжал
zts2033e	Бросает клинок, нанося многочисленные ранения.
zts2034e	Жалящий взрыв
zts2035e	Путь меча - это также путь взрыва.
zts2036e	Меч правосудия
zts2037e	Используя силу света, меч наносит урон сопернику.
zts2038e	Узы теней
zts2039e	Сковывает противника с помощью теней.
zts2040e	Сверкающее лезвие
zts2041e	Вонзает меч в землю, нанося урон всему вокруг себя.
zts2042e	Быстрое лезвие
zts2043e	Наносит раны нижней части туловища противника, замедляя его передвижение.
zts2044e	Магические оковы
zts2045e	Поглощает силу меча.
zts2046e	Удар метеора
zts2047e	Кидает в противника меч, который после броска взрывается световой бомбой.
zts2048e	Священное лезвие
zts2049e	Призывает огромный меч, зарывающийся под землю и наносящий урон всему вокруг.
zts2050e	Духовное копье
zts2051e	Призывает девять лезвий, наносящих противнику множественные ранения.
zts2052e	Пламя
zts2053e	Энергия огня
zts2054e	Лед
zts2055e	Энергия воды
zts2056e	Нимб
zts2057e	Энергия света
zts2058e	Тьма
zts2059e	Энергия тьмы
zts2060e	Без элемента
zts2061e	Световое заклинание
zts2062e	Запоминает заклинание, чтобы атаковать противника.
zts2063e	Световой катализатор
zts2064e	Рассыпает осветляющий порошок и взрывает его. Оставляет метку на цели.
zts2065e	Подавление
zts2066e	Обволакивает тело противника, замедляя его и нанося ему урон.
zts2067e	Священная призма
zts2068e	Использует невероятно яркий свет для атаки.
zts2069e	Священный взрыв
zts2070e	Наносит урон противнику священным светом. Наносит дополнительный урон противникам, отмеченным осветляющим порошком.
zts2071e	Быстрая дорога
zts2072e	Усиливает до предела навыки.
zts2073e	Мастер заклинаний
zts2074e	Позволяет использовать заклинания самым эффективным образом.
zts2075e	Сакральный туман
zts2076e	Только священный крест находит путь сквозь густой туман.
zts2077e	Массовый телепорт
zts2078e	Телепортирует участников в сохраненное место.
zts2079e	Метеоритная буря
zts2080e	Вызывает метеоритный дождь, падающий на противника.
zts2081e	Просвещение
zts2082e	Все участники получают благословение.
zts2083e	Пульс света
zts2084e	Колючий кустарник
zts2085e	Аромат проклятия
zts2088e	Свет и тьма
zts2089e	Атакует силой полумрака и священного меча.
zts2090e	Священный меч делает два взмаха.
zts2091e	Кара проклятия
zts2092e	Создает энергетическую волну, заполняющую все.
zts2093e	Правосудие
zts2094e	Призывает великий священный меч.
zts2095e	Двойной разрез
zts2096e	Вращает мечом, вырываясь вперед.
zts2097e	Святилище
zts2098e	Создает светящийся барьер для нападения на противника.
zts2099e	Воспламенение
zts2100e	Усиливает атаку до предела, используя и священную, и темную энергии.
zts2101e	Лезвие на кресте
zts2102e	Размахивает священным мечом с невероятной скоростью, пронзая все вокруг.
zts2103e	Замыкание
zts2104e	Усиливает защиту до предела, используя и священную, и темную энергии.
zts2105e	Распад
zts2106e	Вызывает панику у врага, используя элемент тьмы.
zts2107e	Неофит
zts2108e	Божье орудие. Может разрезать все священным мечом.
zts2112e	Обжигающий удар молнии
zts2113e	Сильное землетрясение
zts2114e	Провокация
zts2124e	Резак
zts2125e	Колющий удар
zts2126e	Бросок через бедро
zts2129e	Большой взрыв
zts2130e	Выстрел в небеса.
zts2131e	Огневая поддержка
zts2132e	Молитва Анкеллоан
zts2133e	Стань сильнее телом и духом с помощью энергии Анкеллоан.
zts2134e	Равнины Анкеллоан
zts2135e	Окружает врагов силой Анкеллоан.
zts2136e	Призрак Анкеллоан
zts2137e	Стань сильнее телом и духом с помощью энергии Анкеллоан. Использует сущность Анкеллоан.
zts2138e	Гнев Анкеллоан
zts2139e	Окружает врагов силой Анкеллоан. Неэффективно против монстров. Можно использовать только после Призрака Анкеллоан.
zts2143e	Морозные иголки
zts2144e	Пузырчатый взрыв
zts2145e	Ледяная вспышка
zts2146e	Морозные оковы
zts2147e	Мокрый снег
zts2148e	Ледяной блеск
zts2149e	Режем на кусочки
zts2150e	Корабль-призрак
zts2151e	Грозовой якорь
zts2152e	[Начальное] Увеличение урона в ПвП
zts2153e	Увеличение урона в ПвП на 1%.
zts2154e	[Среднее] Увеличение урона в ПвП
zts2155e	Увеличение урона в ПвП на 2%.
zts2156e	[Продвинутое] Увеличение урона в ПвП
zts2157e	Увеличение урона в ПвП на 3%.
zts2158e	[Экспертное] Увеличение урона в ПвП
zts2159e	Увеличение урона в ПвП на 5%.
zts2160e	[Начальное] Увеличение защиты в ПвП
zts2161e	Увеличение защиты в ПвП на 5%.
zts2162e	[Среднее] Увеличение защиты в ПвП
zts2163e	Увеличение защиты в ПвП на 2%.
zts2164e	[Продвинутое] Увеличение защиты в ПвП
zts2165e	Увеличение защиты в ПвП на 3%.
zts2166e	[Экспертное] Увеличение защиты в ПвП
zts2167e	Журнал забытого героя D (1)
zts2168e	Увеличение физической силы на 80.
zts2169e	Журнал забытого героя S (1)
zts2170e	Увеличение ловкости на 80.
zts2171e	Журнал забытого героя J (1)
zts2172e	Увеличение интеллекта на 80.
zts2173e	Журнал забытого героя M (1)
zts2174e	Повышает максимальное количество ОЗ на 4000
zts2175e	Журнал неизвестного героя (1)
zts2176e	Увеличение количества максимальных ОМ на 4000.
zts2177e	Оборонительная стратегия рыцарей Лорда Куарри (1)
zts2178e	Увеличение общей защиты на 30.
zts2179e	Стратегия нападения рыцарей Лорда Куарри (1)
zts2180e	Увеличение общей атаки на 30.
zts2181e	Дружба с феями (1)
zts2182e	Увеличение всех элементальных сопротивлений на 10.
zts2183e	Первобытная история Аврелия Рошу (1)
zts2184e	Увеличение получаемого опыта на 3%.
zts2185e	Журнал торговцев Акамура (1)
zts2186e	Увеличение получаемого золота на 3%.
zts2220e	Увеличение защиты в ПвП на 1%.
zts2221e	Удар плюшевого мишки
zts2222e	Атака на ходу
zts2223e	Гигантизм
zts2224e	Темный цирк
zts2225e	Магические трюки
zts2226e	Ошеломление
zts2227e	Грозовой шторм
zts2228e	Наносит противнику урон, выпуская множество могущественных молний.
zts2229e	Мегамандра
zts2230e	Оковы
zts2231e	Смена положения
zts2232e	Зонтик-резак
zts2233e	Цветочный взрыв
zts2234e	Зонтощит
zts2235e	Журнал забытого героя D (2)
zts2236e	Повышает физическую силу на 100.
zts2237e	Журнал забытого героя S (2)
zts2238e	Повышает ловкость на 100.
zts2239e	Журнал забытого героя J (2)
zts2240e	Повышает интеллект на 100.
zts2241e	Журнал забытого героя M (2)
zts2242e	Повышает максимальное количество ОЗ на 6000.
zts2243e	Журнал неизвестного героя (2)
zts2244e	Повышает максимальное количество ОМ на 6000.
zts2245e	Оборонительная стратегия рыцарей лорда Куарри (2)
zts2246e	Повышает общую защиту на 50.
zts2247e	Стратегия нападения рыцарей лорда Куарри (2)
zts2269e	Повышает общую атаку на 50.
zts2270e	Зов викинга
zts2271e	Воля воина
zts2272e	Благословение Ангела мести
zts2273e	Хранитель душ
zts2278e	Зов викинга уменьшает враждебность врагов.
zts2279e	Знаменитый викинг Рагнар подчиняет своих врагов силе воли.
zts2280e	Тот, кто получает Благословение Ангела мести, находит защиту под покровительством богов.
zts2281e	Ангел мести сопровождает души падших в Валгаллу.
zts2287e	Благословение Матери Природы
zts2288e	Она передает Благословение природы другим.
zts2289e	Сжигание маны
zts2290e	Викинги, управляющие маной, могут истощать запасы маны своих противников.
zts2297e	Ты можешь атаковать вражеского монстра. Чтобы использовать, нажми A.
zts2298e	Ты можешь атаковать вражеского игрока.
zts2299e	Чтобы использовать, нажми S. Если игрока замораживает враг, его союзник должен разморозить его в течение 10 секунд, иначе тот игрок погибнет.
zts2300e	Ловушка
zts2301e	Будучи отличным охотником, Дженнифер может ставить ловушки, которые ослабляют ее врагов.
zts2302e	Продвинутая блокировка
zts2303e	У готов есть сопротивление к негативным эффектам.
zts2305e	Спектральный удар
zts2306e	Падение тьмы
zts2307e	Гордость викинга
zts2322e	Молниеотвод
zts2323e	После изучения невероятной силы молнии он наконец научился управлять ей.
zts2324e	Запрещенная магия
zts2325e	Йертиранда расстраивало то, что его возможности были ограничены. Он хотел стать все более и более могущественным, и в итоге обратился к запрещенной магии.
zts2327e	Яростный рывок
zts2329e	Вдохновение
zts2330e	Кровожадность
zts2331e	Возвращение
zts2332e	Кья!
zts2333e	Ты сбиваешь с ног убегающих противников.
zts2334e	Сокрушение
zts2335e	Ты выбиваешь противника из равновесия ударом плеча.
zts2336e	Билет в сонное царство
zts2337e	Магический сон, которому невозможно противостоять.
zts2338e	Призыв Испытуемого
zts2339e	Ты призываешь Испытуемого для повышения своей скорости передвижения.
zts2340e	Безумная жажда
zts2341e	Статический шок
zts2342e	Обычный удар
zts2343e	Базовая атака мастера боевых искусств.
zts2344e	Кулак ярости
zts2345e	Наносит несколько быстрых ударов.
zts2346e	Карате удар
zts2347e	Наносит противнику сильный удар по технике карате.
zts2348e	Карате блок
zts2349e	Отражает атаки противника.
zts2350e	Удар с ноги
zts2351e	Базовая атака ногой мастера боевых искусств.
zts2352e	Нога ярости
zts2353e	Наносит несколько быстрых ударов ногой.
zts2354e	Удар с разворота
zts2355e	Мощный удар с разворота.
zts2356e	Дробитель лодыжек
zts2357e	Быстрый удар по нижней части тела противника, накладывающий на него негативный эффект.
zts2358e	Ударная волна
zts2359e	Сносит противника сильной ударной волной.
zts2360e	Оживление
zts2361e	Восстанавливает ОЗ из запасенной энергии.
zts2362e	Прочное тело
zts2363e	Повышает силу атаки за счет использования энергии.
zts2364e	Проворное тело
zts2365e	Повышает скорость передвижения за счет использования энергии.
zts2366e	Медитация
