zts1e	Efectos Generales
zts1353e	Lucha del dolor
zts1354e	Bendición de Ancelloan
zts1355e	Misericordia de Ancelloan
zts1356e	Recibes la Misericordia de Ancelloan porque salvaste al cruzado.
zts1357e	Lamento del cruzado
zts1358e	Se alimenta del rencor del cruzado.
zts1359e	Maldición de Erenia
zts1360e	Maldición de Erenia
zts1361e	Maldición de Zenas
zts1362e	Maldición de Zenas
zts1363e	Protección de Ancelloan
zts1364e	Maldición de Ancelloan
zts1365e	La maldición de Ancelloan es extremadamente poderosa.
zts1366e	Indignación de Zenas
zts1367e	Zenas está muy molesta y furiosa.
zts1368e	Modo ira
zts1369e	El medidor de ira está completamente lleno.
zts1370e	Artimañas
zts1371e	Visto y no visto.
zts1376e	Sacudida cerebral (F)
zts1377e	Un sentimiento de mareo desencadenado por la colisión con los ositos de peluche.
zts1378e	Sacudida cerebral (E)
zts1379e	Sacudida cerebral (D)
zts1380e	Sacudida cerebral (C)
zts1381e	Sacudida cerebral (B)
zts1382e	Sacudida cerebral (A)
zts1383e	Sacudida cerebral (S)
zts1384e	Maestría con marionetas (F)
zts1385e	Transforma mediante el poder del titiritero.
zts1386e	Maestría con marionetas (E)
zts1387e	Maestría con marionetas (D)
zts1388e	Maestría con marionetas (C)
zts1389e	Maestría con marionetas (B)
zts1390e	Maestría con marionetas (A)
zts1391e	Maestría con marionetas (S)
zts1392e	Gigantomanía (F)
zts1393e	El osito de peluche gigantesco vive del alma de su dueño.
zts1394e	Gigantomanía (E)
zts1395e	Gigantomanía (D)
zts1396e	Gigantomanía (C)
zts1397e	Gigantomanía (B)
zts1398e	Gigantomanía (A)
zts1399e	Gigantomanía (S)
zts1400e	Ruleta rusa (F)
zts1401e	El juego de la muerte.
zts1402e	Ruleta rusa (E)
zts1403e	Ruleta rusa (D)
zts1404e	Ruleta rusa (C)
zts1405e	Ruleta rusa (B)
zts1406e	Ruleta rusa (A)
zts1407e	Ruleta rusa (S)
zts1408e	Encantamiento del arlequín (F)
zts1409e	Una bromita del fantasma circense.
zts1410e	Encantamiento del arlequín (E)
zts1411e	Encantamiento del arlequín (D)
zts1412e	Encantamiento del arlequín (C)
zts1413e	Encantamiento del arlequín (B)
zts1414e	Encantamiento del arlequín (A)
zts1415e	Encantamiento del arlequín (S)
zts1416e	Estupefacción (F)
zts1417e	Semejante estupor hace perder el conocimiento.
zts1418e	Estupefacción (E)
zts1419e	Estupefacción (D)
zts1420e	Estupefacción (C)
zts1421e	Estupefacción (B)
zts1422e	Estupefacción (A)
zts1423e	Estupefacción (S)
zts1424e	Megamandra (F)
zts1425e	Invoca una Megamandra que ataca al enemigo.
zts1426e	Megamandra (E)
zts1427e	Megamandra (D)
zts1428e	Megamandra (C)
zts1429e	Megamandra (B)
zts1430e	Megamandra (A)
zts1431e	Megamandra (S)
zts1432e	Prisión de raíces (F)
zts1433e	Atrapa con raíces e impide el movimiento.
zts1434e	Prisión de raíces (E)
zts1435e	Prisión de raíces (D)
zts1436e	Prisión de raíces (C)
zts1437e	Prisión de raíces (B)
zts1438e	Prisión de raíces (A)
zts1439e	Prisión de raíces (S)
zts1440e	Cambio de sitio (F)
zts1441e	Intercambia brevemente la posición con el enemigo.
zts1442e	Cambio de sitio (E)
zts1443e	Cambio de sitio (D)
zts1444e	Cambio de sitio (C)
zts1445e	Cambio de sitio (B)
zts1446e	Cambio de sitio (A)
zts1447e	Cambio de sitio (S)
zts1448e	Rastro de espada (F)
zts1449e	Un golpe desconocido que causa hemorragias críticas.
zts1450e	Rastro de espada (E)
zts1451e	Rastro de espada (D)
zts1452e	Rastro de espada (C)
zts1453e	Rastro de espada (B)
zts1454e	Rastro de espada (A)
zts1455e	Rastro de espada (S)
zts1456e	Chasco (F)
zts1457e	Graves daños que te ponen en peligro.
zts1458e	Chasco (E)
zts1459e	Chasco (D)
zts1460e	Chasco (C)
zts1461e	Chasco (B)
zts1462e	Chasco (A)
zts1463e	Chasco (S)
zts1464e	Reflector florido (F)
zts1465e	Si recibes daños, estos se reflejan en parte. Las habilidades que únicamente causan un penalizador no se pueden reflejar.
zts1466e	Reflector florido (E)
zts1467e	Reflector florido (D)
zts1468e	Reflector florido (C)
zts1469e	Reflector florido (B)
zts1470e	Reflector florido (A)
zts1471e	Reflector florido (S)
zts1472e	Princesita Venus (F)
zts1473e	Efecto secundario del acompañante
zts1474e	Princesita Venus (E)
zts1475e	Princesita Venus (D)
zts1476e	Princesita Venus (C)
zts1477e	Princesita Venus (B)
zts1478e	Princesita Venus (A)
zts1479e	Princesita Venus (S)
zts1480e	Ego de Krem (arma principal)
zts1481e	Un arma que tiene su propio ego. Si la fundes con la otra arma de Krem...
zts1482e	Ego de Krem (arma secundaria)
zts1483e	Azrael, el ángel de la muerte
zts1484e	Fue absorbido por las alas de Fernon.
zts1485e	Esencia de Seli-Lusha
zts1486e	Esencia brillante de árbol.
zts1487e	Albor de Rumial
zts1488e	Una joya luminosa que invoca la mañana.
zts1489e	Ocaso de Lorten
zts1490e	Una sombra que anuncia la llegada de la noche.
zts1491e	Llamado del cañón de Shares
zts1492e	Energía del valeroso Shares.
zts1493e	Eco de Glacernon
zts1494e	Eco del alma plateada de Glacernon
zts1495e	Defensa mágica de Mukraju
zts1496e	El gran saber del mago Mukraju.
zts1497e	Ancelloan, la creadora
zts1498e	Ancelloan, origen de cuanto hay
zts1499e	Fernon, la Destructora
zts1500e	Fernon, de todo perdición.
zts1501e	La voluntad de los dioses
zts1502e	Aumenta considerablemente la probabilidad de causar daño crítico.
zts1503e	La autoridad de los dioses
zts1504e	Refleja todos los ataques.
zts1505e	Energía clara de Krem
zts1506e	Puedes sentir la energía de Krem.
zts1507e	Castigo
zts1508e	La magia que utilizó el Ángel de la muerte para sanar el alma. Ahora Fernon puede utilizarla extrayendo la energía.
zts1509e	Elemento tinieblas de Krem
zts1510e	Poderoso golpe aturdidor de Krem
zts1511e	Sonrisa de la diosa
zts1512e	Restaura HP rápidamente.
zts1513e	Ira de la diosa
zts1514e	Reduce HP rápidamente.
zts1515e	Maldición de la diosa
zts1516e	Lanza diversas maldiciones.
zts1517e	Envidia de la diosa
zts1518e	Refleja daños.
zts1519e	Creadora de Ancelloan
zts1520e	Aumenta considerablemente la defensa en el PvP.
zts1521e	Fernon, la Destructora
zts1522e	Aumenta considerablemente el daño en el PvP.
zts1523e	Helada de Glacernon
zts1524e	Reduce considerablemente la velocidad de movimiento.
zts1525e	Maldición de Glacernon
zts1526e	No se pueden ejecutar ataques durante poco tiempo .
zts1527e	Bendición de Leo
zts1528e	Aura playera fresca
zts1529e	Alas de hada
zts1531e	Maldición de Fafnir
zts1532e	¡Tiembla ante el poder del avaricioso dragón!
zts1533e	Bendición de Odín
zts1534e	¡Siente el poder de Odín!
zts1535e	Reputación del vikingo
zts1536e	Haz que flaquee la voluntad de tus enemigos.
zts1537e	Voluntad del guerrero
zts1538e	¡Levántate, guerrero!
zts1539e	Bendición del ángel vengador
zts1540e	Recibe la Bendición del ángel vengador.
zts1541e	Guardiana de las almas
zts1542e	El Ángel vengador lleva las almas de los caídos a Valhalla.
zts1543e	Bendición de la madre naturaleza
zts1544e	Que la bendición de la naturaleza te refresque.
zts1545e	Presión de aire
zts1546e	No cualquiera puede con un fuerte viento.
zts1547e	Baba pegajosa
zts1548e	Esta baba es peor que el pegamento instantáneo.
zts1549e	Trampas
zts1550e	Reduce la velocidad del movimiento. Dificulta impactar al objetivo con un ataque físico.
zts1551e	Bloqueo avanzado
zts1552e	Bloquea efectos negativos a lo largo de la duración de uso.
zts1553e	Bendición pirata
zts1554e	Puedes recibir un objeto desconocido mientras te acompañen.
zts1555e	Bendición del almirante
zts1556e	Recibes más experiencia de héroe y fama.
zts1557e	Magia del Liche
zts1558e	Aumenta el poder oscuro mediante la magia del Liche.
zts1559e	Magia del Lich fuerte
zts1560e	Aumenta bastante el poder oscuro mediante la magia del Liche.
zts1561e	Fuerza vital del dragón
zts1562e	Regenera el cuerpo con la Fuerza vital del dragón.
zts1563e	Fuerza vital del dragón fuerte
zts1564e	Regenera rápidamente el cuerpo con la Fuerza vital del dragón.
zts1565e	Protección total
zts1566e	Evita todos los daños.
zts1567e	Hechizo prohibido
zts1568e	Crea un no muerto cuando se absorbe toda la voluntad.
zts1569e	Golpe del fantasma (F)
zts1570e	Aprendes el Golpe del fantasma.
zts1571e	Golpe del fantasma (E)
zts1572e	Golpe del fantasma (D)
zts1573e	Golpe del fantasma (C)
zts1574e	Golpe del fantasma (B)
zts1575e	Golpe del fantasma (A)
zts1576e	Golpe del fantasma (S)
zts1577e	Reducción de la oscuridad (F)
zts1578e	Causa una explosión mediante potente energía de las tinieblas.
zts1579e	Reducción de la oscuridad (E)
zts1580e	Reducción de la oscuridad (D)
zts1581e	Reducción de la oscuridad (C)
zts1582e	Reducción de la oscuridad (B)
zts1583e	Reducción de la oscuridad (A)
zts1584e	Reducción de la oscuridad (S)
zts1585e	Orgullo del vikingo (F)
zts1586e	Aumenta el Orgullo del vikingo.
zts1587e	Orgullo del vikingo (E)
zts1588e	Orgullo del vikingo (D)
zts1589e	Orgullo del vikingo (C)
zts1590e	Orgullo del vikingo (B)
zts1591e	Orgullo del vikingo (A)
zts1592e	Orgullo del vikingo (S)
zts1593e	Acompañante de Ragnar, guerrero óseo (F)
zts1594e	Acompañante de Ragnar, guerrero óseo (E)
zts1595e	Acompañante de Ragnar, guerrero óseo (D)
zts1596e	Acompañante de Ragnar, guerrero óseo (C)
zts1597e	Acompañante de Ragnar, guerrero óseo (B)
zts1598e	Acompañante de Ragnar, guerrero óseo (A)
zts1599e	Acompañante de Ragnar, guerrero óseo (S)
zts1600e	Hambriento de éxito
zts1601e	La visión del éxito te da alas.
zts1602e	Fuerza vital
zts1603e	Este diablillo es complicado de atrapar.
zts1604e	Inspiración
zts1605e	Puede descubrir cosas invisibles mediante un talento oculto.
zts1606e	Potenciador del 10.º aniversario
zts1607e	Pasaje al País de los Sueños
zts1608e	Un sueño mágico al que nadie se puede resistir.
zts1609e	Cubo mágico (sigilo)
zts1610e	Puedes moverte inadvertidamente aunque te falten los conocimientos mágicos necesarios.
zts1611e	Cubo mágico (resistencia)
zts1612e	Puedes resistir efectos negativos aunque te falten los conocimientos mágicos necesarios.
zts1613e	Cubo mágico (velocidad de movimiento)
zts1614e	Tu velocidad de movimiento aumenta aunque te falten los conocimientos mágicos necesarios.
zts1615e	Cubo mágico (aturdimiento)
zts1616e	Puedes causar un aturdimiento aunque te falten los conocimientos mágicos necesarios.
zts1617e	Placaje (F)
zts1618e	Golpeas a tus enemigos con el hombro para hacerlos caer al suelo.
zts1619e	Placaje (E)
zts1620e	Placaje (D)
zts1621e	Placaje (C)
zts1622e	Placaje (B)
zts1623e	Placaje (A)
zts1624e	Placaje (S)
zts1625e	Tenacidad (F)
zts1626e	No necesitas tenerle más miedo a la muere.
zts1627e	Tenacidad (E)
zts1628e	Tenacidad (D)
zts1629e	Tenacidad (C)
zts1630e	Tenacidad (B)
zts1631e	Tenacidad (A)
zts1632e	Tenacidad (S)
zts1633e	Descarga electrostática (F)
zts1634e	Paraliza a los enemigos mediante una potente descarga.
zts1635e	Descarga electrostática (E)
zts1636e	Descarga electrostática (D)
zts1637e	Descarga electrostática (C)
zts1638e	Descarga electrostática (B)
zts1639e	Descarga electrostática (A)
zts1640e	Descarga electrostática (S)
zts1641e	Megaalas de titanio
zts1642e	Transformación en titán
zts1643e	Habilidades especiales de las Megaalas de titanio
zts1644e	Megaoptimización de titán.  Si el valor de mejora de la Tarjeta SP es +15, hay una probabilidad de que tenga lugar la transformación en titán.
zts1645e	Bendición de Año Nuevo grande
zts1646e	Aumenta los puntos de experiencia en un 30 % durante 30 minutos.
zts1647e	Bendición de Año Nuevo
zts1648e	Aumenta los puntos de experiencia en un 10 % durante 30 minutos.
zts1649e	Cambiatinieblas
zts1650e	Puedes moverte rápidamente en sercreto El efecto termina cuando desmontas.
zts1651e	Bloqueo de canto de la mano
zts1652e	Bloquea los ataques enemigos.
zts1653e	Piel de acero
zts1654e	Devuelve la totalidad del ataque al enemigo.
zts1655e	Cuerpo robusto
zts1656e	Aumenta el poder de ataque mediante el uso de energía.
zts1657e	Cuerpo ágil
zts1658e	Aumenta la velocidad de movimiento mediante el uso de energía.
zts1659e	Posición de acecho
zts1660e	Puede utilizar la habilidad 3 veces sin tiempo de espera.
zts1661e	Coro de los ángeles
zts1662e	Hace resonar las voces celestiales de los ángeles.
zts1663e	Puerta del Cielo
zts1664e	El espíritu se aparta y aparece la puerta al cielo.
zts1665e	Soy un campeón.
zts1666e	Muestra el orgullo de un campeón.
zts1667e	Fantasma
zts1668e	Dispones de energía inagotable.
zts1669e	Huida de la novia
zts1670e	Solo recibes efectos positivos.
zts1671e	Transformación
zts1672e	Cambia el estilo de combate.
zts1673e	Energía de Haetae
zts1674e	Mejora las habilidades corporales.
zts1675e	Energía del dragón
zts1676e	Ataques de llamas mejorados.
zts1677e	Carrera de la bestia
zts1678e	Permite un movimiento muy rápido.
zts1679e	Parpadeo de calor
zts1680e	Bloquea los ataques enemigos con una ola de llamas.
zts1681e	Llama final
zts1682e	Desencadena unos fuegos artificiales magníficos.
zts1683e	El arte marcial de Tart Hapendam
zts1684e	Ametralladora
zts1685e	Una potente ametralladora.
zts1686e	Alas del viento
zts1687e	Bendición del demonio de fuego
zts1688e	Un 10% de daño adicional contra monstruos en un recipiente sellado, un 5% de daño adicional contra monstruos en el Reino de la Muerte.
zts1689e	Potenciador del 11.º aniversario
zts1690e	Daño a la retina (F)
zts1691e	Daño a la retina reduce el ángulo de visión y vuelve vulnerable.
zts1692e	Daño a la retina (E)
zts1693e	Daño a la retina (D)
zts1694e	Daño a la retina (C)
zts1695e	Daño a la retina (B)
zts1696e	Daño a la retina (A)
zts1697e	Daño a la retina (S)
zts1698e	Herida de garra (F)
zts1699e	Las garras de un gato causan heridas profundas.
zts1700e	Herida de garra (E)
zts1701e	Herida de garra (D)
zts1702e	Herida de garra (C)
zts1703e	Herida de garra (B)
zts1704e	Herida de garra (A)
zts1705e	Herida de garra (S)
zts1706e	Latido del corazón (F)
zts1707e	¡Qué emocionante! ¡Y me siento mucho mejor!
zts1708e	Latido del corazón (E)
zts1709e	Latido del corazón (D)
zts1710e	Latido del corazón (C)
zts1711e	Latido del corazón (B)
zts1712e	Latido del corazón (A)
zts1713e	Latido del corazón (S)
zts1714e	Compañero de la aprendiz de maga Yuna (F)
zts1715e	Compañero de la aprendiz de maga Yuna (E)
zts1716e	Compañero de la aprendiz de maga Yuna (D)
zts1717e	Compañero de la aprendiz de maga Yuna (C)
zts1718e	Compañero de la aprendiz de maga Yuna (B)
zts1719e	Compañero de la aprendiz de maga Yuna (A)
zts1720e	Compañero de la aprendiz de maga Yuna (S)
zts19951e	Zancada
zts19952e	Esquivas habilidades con una zancada y te acercas un poco más a la Iluminación.
zts19953e	Iluminación
zts19954e	Si usas una habilidad de potenciador mientras está activo Iluminación, recibes efectos adicionales.
zts19955e	Entrada de luz lunar
zts19956e	Te permite usar las habilidad de la luna llena.
zts19957e	Marca lunar
zts19958e	Te protege del poder de Artes Místicas cuando llevas la Marca lunar.
zts19959e	Marca de la luna llena
zts19960e	Si usas Eclipse lunar mientras está activo Posibilidad de ataque, tu enemigo recibe Marca de la luna llena en lugar de Marca lunar.
zts19961e	Trampa de loto
zts19962e	Los enemigos cautivos no se pueden mover.
zts19963e	Aguante
zts19964e	Si usas Aguante durante un ataque enemigo, recibes el efecto Posibilidad de ataque.
zts19965e	Heridas internas
zts19966e	Con Heridas internas, resulta muy difícil usar habilidades y hechizos.
zts19967e	Ligero cual pluma
zts19968e	Tu cuerpo se vuelve ligero cual pluma, por lo que te puedes mover más rápidamente y es más difícil que sufras impactos.
zts19969e	Posición floral
zts19970e	Puedes usar habilidades de la Flor de loto.
zts19971e	Sombra de cuarto creciente
zts19972e	Te escondes en la sombra de la luna.
zts19973e	Ligado por el poder de la luz lunar.
zts19974e	Tu enemigo no se puede mover cuando está ligado por el poder de la luz lunar.
zts19975e	Ligado por el poder de la luna llena
zts19976e	Tu enemigo no se puede mover cuando está ligado por el poder de la luna llena.
zts19977e	Minas florales
zts19978e	Inmóvil. Se reducen HP y MP.
zts19979e	Maldición de flor de loto
zts19980e	Inmóvil. Se reducen drásticamente HP y MP.
zts19981e	Posibilidad de ataque
zts19982e	Puedes volver a atacar cuando utilizas una habilidad de ataque.
zts19983e	Baño en luz lunar
zts19984e	Recibes este efecto cuando usas Entrada de luz lunar mientras está activo Iluminación.
zts19985e	Rodeado de Flores de loto
zts19986e	Recibes este efecto cuando usas Posición floral mientras está activo Iluminación.
zts19987e	Deslumbrar
zts19988e	La nariz roja empieza a brillar de repente.
zts19989e	Magia de la nariz roja
zts19990e	La magia sanadora de la nariz roja regenera HP.
zts19991e	Furia berserker
zts19992e	Conviértete en el Oso polar Gruñidos.
zts19993e	Pereza (F)
zts19994e	Uf, me siento tan débil.
zts19995e	Pereza (E)
zts19996e	Pereza (D)
zts19997e	Pereza (C)
zts19998e	Pereza (B)
zts19999e	Pereza (A)
zts20000e	Pereza (S)
zts20001e	Dominio del arco (F)
zts20002e	¡Conviértete en un auténtico tirador experto!
zts20003e	Dominio del arco (E)
zts20004e	Dominio del arco (D)
zts20005e	Dominio del arco (C)
zts20006e	Dominio del arco (B)
zts20007e	Dominio del arco (A)
zts20008e	Dominio del arco (S)
zts20009e	Dolor de corazón (F)
zts20010e	¡No puedo regenerarme, mi corazón apenas late!
zts20011e	Dolor de corazón (E)
zts20012e	Dolor de corazón (D)
zts20013e	Dolor de corazón (C)
zts20014e	Dolor de corazón (B)
zts20015e	Dolor de corazón (A)
zts20016e	Dolor de corazón (S)
zts20017e	Compañero de Amora (F)
zts20018e	Compañero de Amora (E)
zts20019e	Compañero de Amora (D)
zts20020e	Compañero de Amora (C)
zts20021e	Compañero de Amora (B)
zts20022e	Compañero de Amora (A)
zts20023e	Compañero de Amora (S)
zts20024e	Aumenta los poderes de ataque y defensa.
zts20025e	Distracción
zts20026e	¡Me tiro tanto rato contando monedas que no puedo concentrarme en el combate!
zts20027e	¡Atraefortuna!
zts20028e	Habilidad de la Ardilla de la suerte para atraer la suerte.
zts20029e	¡Superatraefortuna!
zts20030e	Habilidad de la Superardilla de la suerte para atraer la suerte.
zts20031e	Potenciador de boda
zts20032e	El poder del amor...
zts20033e	Lluvia de confeti
zts20034e	Un potenciador para mostrar aprecio a los invitados.
zts20035e	Bomba de huevos loca
zts20036e	Puedes mover la bomba si la atacas. Si le inflige daño al Conejo de Pascua enloquecido, se activará [aturdimiento] con una probabilidad del 100 %.
zts20037e	Convertir en Eggy
zts20038e	¡"Fever-Time" para todos! (Nivel 1)
zts20039e	Este efecto se activa si explotan 3 bombas de huevos locas simultáneamente cerca del Conejo de Pascua enloquecido.
zts20040e	¡"Fever-Time" para todos! (Nivel 2)
zts20041e	Este efecto se activa si explotan 4 bombas de huevos locas simultáneamente cerca del Conejo de Pascua enloquecido.
zts20042e	¡"Fever-Time" para todos! (Nivel 3)
zts20043e	Este efecto se activa si explotan 5 bombas de huevos locas simultáneamente cerca del Conejo de Pascua enloquecido.
zts20044e	Otorga la energía del conejo.
zts20045e	Armadura de lana dorada
zts20046e	La lana dorada te protege.
zts20047e	Espíritu confuso (F)
zts20048e	El objetivo se comporta de forma extraña porque su espíritu está confuso.
zts20049e	Espíritu confuso (E)
zts20050e	Espíritu confuso (D)
zts20051e	Espíritu confuso (C)
zts20052e	Espíritu confuso (B)
zts20053e	Espíritu confuso (A)
zts20054e	Espíritu confuso (S)
zts20055e	Fuerza de voluntad reforzada (F)
zts20056e	Fuerza de voluntad reforzada (E)
zts20057e	Fuerza de voluntad reforzada (D)
zts20058e	Fuerza de voluntad reforzada (C)
zts20059e	Fuerza de voluntad reforzada (B)
zts20060e	Fuerza de voluntad reforzada (A)
zts20061e	Fuerza de voluntad reforzada (S)
zts20062e	Malestar (F)
zts20063e	Malestar (E)
zts20064e	Malestar (D)
zts20065e	Malestar (C)
zts20066e	Malestar (B)
zts20067e	Malestar (A)
zts20068e	Malestar (S)
zts20069e	Tu mascota está conmocionada y por eso estará aturdida durante 10 minutos.
zts20070e	Tu mascota está muy conmocionada y por eso estará aturdida durante 20 minutos.
zts20071e	Saltar
zts20072e	Derribado
zts20073e	El enemigo queda inmovilizado y no puede defenderse.
zts20074e	Noqueo
zts20075e	El enemigo queda inmovilizado y no puede luchar. Contra un enemigo noqueado la probabilidad de impacto crítico es mayor.
zts20076e	Energía sacra
zts20077e	Todos los elementos aumentan y tu cuerpo se libera de efectos negativos.
zts20078e	Bloqueo
zts20079e	Puedes protegerte de ataques enemigos. Si el bloqueo tiene éxito recibirás más puntos definitivos.
zts20080e	Espíritu inquebrantable
zts20081e	Gracias a la meditación puedes sincronizar tu espíritu con tu cuerpo.
zts20082e	Tinieblas mortales
zts20083e	Tu enemigo está a las puertas de la muerte. Si no resulta derrotado mientras las Tinieblas mortales estén activas recibirá el efecto Muerte esquivada.
zts20084e	Aura definitiva (nivel 1)
zts20086e	Aura definitiva (nivel 2)
zts20088e	Aura definitiva (nivel 3)
zts20090e	Estilo de combate definitivo
zts20091e	Con los puntos definitivos puedes utilizar habilidades definitivas.
zts20092e	Meditación de combate
zts20093e	Tu cuerpo se ve purificado y reforzado gracias a la meditación.
zts20094e	Herida mortal
zts20095e	Poder de ataque, resistencia, velocidad de movimiento y HP se reducen.
zts20096e	Muerte esquivada
zts20097e	Tu voluntad de vivir se vuelve más intensa ya que has evitado la muerte.
zts20098e	Impulso fuerte
zts20099e	Este impulso hace que los enemigos no puedan luchar durante un breve periodo de tiempo. Cuando el efecto concluye hay cierta probabilidad de que reciba el efecto Herida mortal.
zts20100e	El efecto se aplica tras utilizar una habilidad definitiva.
zts20101e	El efecto se aplica tras utilizar dos habilidades definitivas.
zts20102e	El efecto se aplica tras utilizar tres habilidades definitivas.
zts20103e	Poder mágico sin límites
zts20104e	Un poder mágico sin límites te atraviesa y restaura constantemente tus MP.
zts20105e	Estimular
zts20106e	Le das las esporas a la Piñata burrito y aumentas así la velocidad de movimiento.
zts20107e	Bendición del arcoiris
zts20108e	El poder de ataque PvP aumenta durante la Batalla Arco Iris en un 10 %. La velocidad de movimiento se reduce durante la Batalla Arco Iris en 2.
zts20109e	Llama maldita (F)
zts20110e	Llama maldita (E)
zts20111e	Llama maldita (D)
zts20112e	Llama maldita (C)
zts20113e	Llama maldita (B)
zts20114e	Llama maldita (A)
zts20115e	Llama maldita (S)
zts20116e	Armadura ardiente (F)
zts20117e	Armadura ardiente (E)
zts20118e	Armadura ardiente (D)
zts20119e	Armadura ardiente (C)
zts20120e	Armadura ardiente (B)
zts20121e	Armadura ardiente (A)
zts20122e	Armadura ardiente (S)
zts20123e	Armadura derretida (F)
zts20124e	Armadura derretida (E)
zts20125e	Armadura derretida (D)
zts20126e	Armadura derretida (C)
zts20127e	Armadura derretida (B)
zts20128e	Armadura derretida (A)
zts20129e	Armadura derretida (S)
zts20130e	Armadura de llamas (F)
zts20131e	Armadura de llamas (E)
zts20132e	Armadura de llamas (D)
zts20133e	Armadura de llamas (C)
zts20134e	Armadura de llamas (B)
zts20135e	Armadura de llamas (A)
zts20136e	Armadura de llamas (S)
zts20137e	Compañero de Perti Unala (F)
zts20138e	Compañero de Perti Unala (E)
zts20139e	Compañero de Perti Unala (D)
zts20140e	Compañero de Perti Unala (C)
zts20141e	Compañero de Perti Unala (B)
zts20142e	Compañero de Perti Unala (A)
zts20143e	Compañero de Perti Unala (S)
zts20144e	Atún delicioso
zts20145e	Disfruta del delicioso atún de la nutria para prepararte adecuadamente para el combate.
zts20146e	Atún congelado
zts20147e	Duro como la piedra, frío como el hielo.
zts20148e	Bendición de la nutria
zts20149e	Aumenta el ataque y las defensas.
zts20150e	Listo para el combate
zts20151e	La nutria no puede esperar el momento de golpear.
zts20152e	Potenciador del 12.º aniversario
zts20153e	Absorción de sangre suave
zts20154e	El cuerpo se debilita al perder sangre.
zts20155e	Bandada de murciélagos
zts20156e	Conviértete en una Bandada de murciélagos en cuanto se avecine algún peligro.
zts20157e	Terror de la noche
zts20158e	Tu víctima temerá al terror que acecha en la oscuridad.
zts20159e	Cadenas
zts20160e	Encadena a tu enemigo.
zts20161e	Rebote
zts20162e	Refleja los ataques enemigos.
zts20163e	Antigravedad
zts20164e	Flotas en el aire. Puede que tengas un ataque de pánico.
zts20165e	Poderes demoníacos
zts20166e	Canalizas los poderes de un demonio.
zts20168e	Infarto
zts20169e	Tu enemigo no puede atacar.
zts20170e	Sobrecarga
zts20171e	El enemigo sufre una descarga eléctrica.
zts20172e	Alas de relámpago
zts20173e	Las Alas de relámpago te otorgan este potenciador.
zts20174e	Hace que desaparezcan mundos.
zts20175e	Hace que desaparezcan mundos.
zts20176e	Pelaje hirsuto
zts20177e	El hirsuto pelaje de la alpaca te protege.
zts20178e	Humo venenoso
zts20179e	Este humo inunda el bosque.
zts20180e	Envenenamiento
zts20181e	En áreas peligrosas podrías envenenarte.
zts20182e	Envenenamiento leve
zts20183e	Un envenenamiento leve. ¡Cuidado, podrías contagiarlo! Refuerza tu sistema inmune para resistir el veneno.
zts20184e	Reforzar el sistema inmune
zts20185e	Refuerza tu cuerpo e inmunízalo contra el veneno de Carno.
zts20186e	Lesión mortal
zts20187e	Los dientes y garras de Carno crean heridas profundas.
zts20188e	Bomba corpórea
zts20189e	Explota tras cierto tiempo y te causa a ti y a tus aliados cercanos 4000 de daño.
zts20190e	Hasta las trancas
zts20191e	Belial se vuelve más fuerte con las almas que devora.
zts20192e	Debilitación de almas
zts20193e	Belial debilita tu alma.
zts20194e	Giro sorprendente
zts20195e	Belial refleja tus ataques y causa así daño a tus aliados.
zts20196e	Pellejo espinoso
zts20197e	Te otorga un potenciador que te protege.
zts20198e	Pellejo espinoso +1
zts20199e	Pellejo espinoso +2
zts20200e	Pellejo espinoso +3
zts20201e	Pellejo espinoso +4
zts20202e	Pellejo espinoso +5
zts20203e	Pellejo espinoso +6
zts20204e	Pellejo espinoso +7
zts20205e	Pellejo espinoso +8
zts20206e	Pellejo espinoso +9
zts20207e	Venganza sanguinolenta
zts20208e	Venganza sanguinolenta +1
zts20209e	Venganza sanguinolenta +2
zts20210e	Venganza sanguinolenta +3
zts20211e	Venganza sanguinolenta +4
zts20212e	Venganza sanguinolenta +5
zts20213e	Venganza sanguinolenta +6
zts20214e	Venganza sanguinolenta +7
zts20215e	Venganza sanguinolenta +8
zts20216e	Venganza sanguinolenta +9
zts20217e	Impacto mortal
zts20218e	Impacto mortal +1
zts20219e	Impacto mortal +2
zts20220e	Impacto mortal +3
zts20221e	Impacto mortal +4
zts20222e	Impacto mortal +5
zts20223e	Impacto mortal +6
zts20224e	Impacto mortal +7
zts20225e	Impacto mortal +8
zts20226e	Impacto mortal +9
zts20227e	Neurotoxina
zts20228e	Neurotoxina +1
zts20229e	Neurotoxina +2
zts20230e	Neurotoxina +3
zts20231e	Neurotoxina +4
zts20232e	Neurotoxina +5
zts20233e	Neurotoxina +6
zts20234e	Neurotoxina +7
zts20235e	Neurotoxina +8
zts20236e	Neurotoxina +9
zts20237e	Poder del apocalipsis (nivel 1)
zts20238e	Poder del apocalipsis (nivel 2)
zts20239e	Poder del apocalipsis (nivel 3)
zts20240e	Poder del apocalipsis (nivel 4)
zts20241e	Poder del apocalipsis (nivel 5)
zts20242e	Poder de la reflexión (Nivel 1)
zts20243e	Poder de la reflexión (Nivel 2)
zts20244e	Poder de la reflexión (Nivel 3)
zts20245e	Poder de la reflexión (Nivel 4)
zts20246e	Poder de la reflexión (Nivel 5)
zts20247e	Poder del lobo (nivel 1)
zts20248e	Poder del lobo (nivel 2)
