zts1e	Entraînement pour aventurier novice
zts1570e	Calvin Coach, de NosVille, te demande d'éliminer la reine poule qui couve des œufs de poussins mutants. En récompense, il te donnera un des nombreux cadeaux spéciaux de Pâques.
zts1571e	Dès que tu auras réussi le raid contre la reine poule, va chercher ta récompense auprès de Calvin Coach.
zts1572e	À propos de l'épée en flammes
zts1573e	La prêtresse Sherzade t'en dit plus sur l'enquête dans la région de l'épée en flammes.
zts1574e	L'histoire de l'épée en flammes
zts1575e	Pénètre l'aura de l'épée en flammes.
zts1576e	La chaleur de l'épée en flammes
zts1577e	Fais ton rapport à la prêtresse Sherzade sur la chaleur de l'épée en flammes.
zts1578e	Trouve un moyen de te soustraire à la chaleur de l'épée en flammes.
zts1579e	Demande au grand prêtre Eladin, du Temple d'Aster, comment te soustraire à la chaleur de l'épée en flammes.
zts1580e	Un expert de la méthode secrète
zts1581e	Apparemment, Xavier connaît la méthode secrète. Va le voir dans la Zone du chaos pour la lui demander.
zts1582e	Le médicament de la Zone du chaos
zts1583e	Apporte à Xavier le médicament de la Zone du chaos que t'a donné Bolporti, le tisseur de soie.
zts1584e	L'apprentissage de la méthode secrète est terminé.
zts1585e	À présent, tu sais comment supporter la chaleur de l'épée en flammes. Retourne voir la prêtresse Sherzade.
zts1586e	En route pour la Couronne de glace
zts1587e	Apporte des fleurs de glace de la Couronne de glace à la prêtresse Sherzade.
zts1588e	Intrusion dans le Camp de Melki
zts1589e	Élimine les voleurs du désert dans le Camp de Melki.
zts1590e	Retour du Camp de Melki
zts1591e	Fais ton rapport à Hazel.
zts1592e	Demande conseil au marchand d'Akamur.
zts1593e	Va voir Hazel au Camp d'Akamur.
zts1594e	Rends-toi dans la coupole du temple.
zts1595e	Termine l'espace-temps dans les catacombes du Temple de Rashid.
zts1596e	Porte de sable
zts1597e	Invoque un gardien des reliques et anéantis-le.
zts1598e	Raconte ce que tu sais des reliques.
zts1599e	Retourne voir Michol pour lui faire ton rapport.
zts1600e	Fais ton rapport sur le gardien des reliques.
zts1601e	Retourne voir la prêtresse Sherzade pour lui faire ton rapport.
zts1602e	Construction du camp
zts1603e	Aide l'ingénieur militaire.
zts1604e	En route pour le Temple oublié
zts1605e	Mets-toi en route et rejoins Michol au Temple oublié.
zts1606e	Portail menant vers la région de l'épée en flammes
zts1607e	Élimine les ennemis et les monstres dans la région de l'épée en flammes !
zts1608e	John, l'aventurier
zts1609e	Va voir John, l'aventurier. Tu le trouveras dans la région de l'épée en flammes.
zts1610e	Monstres incandescents de la région de l'épée en flammes
zts1611e	Élimine les monstres incandescents dans la région de l'épée en flammes.
zts1612e	Une étrange vibration
zts1613e	J'ai ressenti une étrange vibration. Tu devrais en parler à la prêtresse Sherzade.
zts1614e	Sceau de l'épée en flammes
zts1615e	Il y a un problème avec le sceau intermédiaire de l'épée en flammes. Explore l'espace-temps et découvre ce qu'il s'est passé.
zts1616e	Le sceau intermédiaire est détruit.
zts1617e	Le sceau intermédiaire est détruit. Parle-en à John, l'aventurier.
zts1618e	Monstres de la chaleur torride
zts1619e	Récupère les sceaux de raid de Kertos et Valakus, puis va voir la prêtresse Sherzade.
zts1620e	Identification du sceau
zts1621e	Renseigne-toi auprès du grand prêtre Eladin à propos des monstres puissants.
zts1622e	Risque de chute
zts1623e	Retourne voir la prêtresse Sherzade et raconte-lui ce que tu sais.
zts1624e	Pour le dernier sceau
zts1625e	Je dois absolument protéger le dernier sceau de l'épée en flammes. Je pars immédiatement pour l'espace-temps !
zts1626e	Le sceau a été protégé.
zts1627e	Retourne voir la prêtresse Sherzade !
zts1628e	Grenigas, le dieu du Feu
zts1629e	Termine le raid contre Grenigas, le dieu du Feu.
zts1630e	Le monde sauvé
zts1631e	*Tu confies le sceau à la prêtresse Sherzade pour qu'elle le protège à tout prix.*
zts1632e	Collecte encore plus de fleurs de glace (quête journalière)
zts1633e	Attaque le Camp des voleurs du désert (quête journalière)
zts1635e	Collecte des matériaux pour la construction du camp (quête journalière)
zts1637e	Explore la coupole du temple (quête journalière)
zts1638e	Service quotidien rendu au capitaine Jack Panon
zts1639e	Chasse le pirate Jackpen.
zts1640e	Chasse des pirates Kangpen.
zts1641e	Une fois le raid des pirates terminé, le capitaine Jack Panon te remettra ta récompense.
zts1642e	Récupère du jus de citron vert.
zts1643e	Récupère des foulards de pirate.
zts1644e	Lorsque tu auras fini, va voir la prêtresse Sherzade et tiens-la au courant.
zts1645e	Tu as reçu le parchemin du chameau magique.
zts1646e	Si tu as un peu de temps, aide l'ingénieur militaire dans son travail.
zts1647e	Détruis Grenigas, le dieu du Feu.
zts1648e	Apporte les matériaux nécessaires à l'ingénieur militaire.
zts1649e	Intrusion dans le Camp de Melki
zts1650e	Attaque le Camp de Kerus (quête journalière)
zts1651e	Élimine les voleurs du désert dans le Camp de Kerus.
zts1652e	Attaque le Camp de Garton (quête journalière)
zts1653e	Élimine les voleurs du désert dans le Camp de Garton.
zts1654e	Quand tu auras terminé, fais ton rapport à Hazel.
zts1655e	Sable magique
zts1656e	Va voir John, l'aventurier, dans la région de l'épée en flammes.
zts1657e	Élimine des chiens de braise.
zts1658e	Tu as éliminé les chiens de braise. Informes-en John, l'aventurier.
zts1659e	La prêtresse Sherzade te cherche. Va vite la voir.
zts1660e	Va voir Michol, du Temple oublié, et demande-lui si de nouvelles reliques ont été découvertes !
zts1661e	Explore l'espace-temps dans les catacombes sacrées du Temple de Rashid !
zts1662e	Apporte la relique de Grenigas à Michol au Temple oublié.
zts1663e	Va voir John, l'aventurier, et demande-lui s'il a progressé dans son travail.
zts1664e	Chasse des magmaros et des chiens de braise.
zts1665e	Très bien ! Tu as éliminé tous les monstres. Préviens John, l'aventurier.
zts1666e	Cherche l'alchimiste du feu des Griffes de Valakus.
zts1667e	Chasse des arachnides du feu, appelées Valaket, pour dérober leurs œufs.
zts1668e	Tu as collecté suffisamment d'œufs de Valaket. Retourne voir l'alchimiste du feu.
zts1669e	John, l'aventurier, a découvert un sceau intermédiaire. Va vite le voir !
zts1670e	Informe la prêtresse Sherzade qu'un sceau intermédiaire a été découvert.
zts1671e	Mets-toi en route et explore l'espace-temps des Griffes de Valakus. Bonne chance !
zts1672e	Le sceau intermédiaire a été détruit. Retourne vite voir la prêtresse Sherzade pour le lui dire.
zts1673e	Informe John, l'aventurier, de la destruction du sceau intermédiaire.
zts1674e	Chasse des phénix et des créatures flamboyantes.
zts1675e	Fais un rapport à John, l'aventurier.
zts1676e	Montre à la prêtresse Sherzade les sceaux de raid de Kertos et Valakus que John t'a donnés.
zts1677e	Rends-toi au Temple d'Aster, chez le grand prêtre Eladin. Il t'en dira plus sur les puissants monstres.
zts1678e	Élimine Kertos et retourne voir la prêtresse Sherzade.
zts1679e	Élimine Valakus et retourne voir la prêtresse Sherzade.
zts1680e	Fais ton rapport à la prêtresse Sherzade.
zts1681e	Parle à John, l'aventurier.
zts1682e	Demande à l'alchimiste du feu comment avance son travail.
zts1683e	Chasse des géants de flammes et collecte leurs cœurs.
zts1684e	Tu as rassemblé suffisamment de cœurs de géants de flammes. Apporte-les à l'alchimiste du feu.
zts1685e	Apporte une potion de résistance à la chaleur à John, l'aventurier.
zts1686e	Le dernier sceau de l'épée en flammes doit être protégé. Rends-toi à l'espace-temps de la Route de Katol.
zts1687e	Élimine Grenigas, le dieu du Feu, puis retourne voir la prêtresse Sherzade.
zts1688e	Élimine des monstres dans la région de l'épée en flammes (quête journalière)
zts1689e	Élimine tous les monstres qui gênent les recherches.
zts1690e	Fais un rapport à John, l'aventurier.
zts1691e	Ingrédients pour la potion de résistance à la chaleur (quête journalière)
zts1692e	Élimine Valaket et récupère les œufs de cette arachnide du feu.
zts1693e	Fais un rapport à l'alchimiste du feu.
zts1694e	Élimine des géants de flammes et rapporte-moi leurs cœurs.
zts1695e	Des bonbons ou un mauvais sort (Éric)
zts1696e	Si tu as réussi à vaincre Jack O'Lantern dans le raid, va voir Éric.
zts1697e	Parle à Éric pour obtenir ta récompense.
zts1698e	Des bonbons ou un mauvais sort (Marie)
zts1699e	Chasse les sbires de Jack O'Lantern.
zts1700e	Retourne voir Marie pour obtenir ta récompense.
zts1701e	Des bonbons ou un mauvais sort (Eva Energy)
zts1702e	Tu dois te procurer du sirop de citrouille ! Prends-le aux sbires de Jack O'Lantern.
zts1703e	Va voir Eva Energy pour obtenir ta récompense.
zts1704e	Des bonbons ou un mauvais sort (Malcolm Mix)
zts1705e	Parle à Mimi Mentor pour mettre la main sur un chapeau citrouille (1 jour) chic à faire peur.
zts1706e	Retourne voir Malcolm Mix pour recevoir ta récompense.
zts1707e	Des bonbons ou un mauvais sort (Théoman Topp)
zts1708e	Tu dois te procurer des têtes de citrouille ! Prends-les aux sbires de Jack O'Lantern.
zts1709e	Retourne voir Théoman Topp et récupère ta récompense.
zts1713e	Élimine le slade flambant de la Mine désertée 1. Tu peux t'y rendre en traversant la Mine désertée qui se trouve à l'Entrée de Fernon.
zts1714e	Débusque le chien de l'enfer. Rien qu'à l'odeur, on dirait bien que ce clébard soit dans l'espace-temps du niveau 42 !
zts1746e	Quête journalière (père Noël)
zts1747e	Chasse l'affreux et l'ignoble Rodolphe lorsqu'ils sortiront du récipient scellé de Noël.
zts1748e	Retourne voir le père Noël pour obtenir ton cadeau.
zts1749e	Quête journalière (Slugg)
zts1750e	Apporte des clochettes de Noël à Slugg. Tu les trouveras dans la boîte de raid du bonhomme de neige.
zts1751e	Retourne voir Slugg pour encaisser ta récompense.
zts1752e	Quête journalière (Eva Energy)
zts1753e	Réussis le raid du bonhomme de neige et va chercher ta récompense auprès d'Eva Energy.
zts1754e	Quête journalière (Malcolm Mix)
zts1755e	Récupère des cristaux de fleur de givre à la Couronne de glace.
zts1756e	Quête journalière (Théodor Topp)
zts1757e	Fais un don pour les pauvres chez Mimi Mentor.
zts1758e	Retourne voir Théodor Topp pour recevoir ta récompense.
zts1759e	Quête journalière (Soraya Style)
zts1760e	Apporte la laine et l'aiguille magiques à Soraya Style.
zts1761e	Apporte l'écharpe mœlleuse à Calvin Coach.
zts1762e	Retourne voir Soraya Style et fais-lui part de la réaction de Calvin Coach.
zts1765e	Apporte des plumes de la reine poule à Malcolm. Tu les trouveras dans la boîte du raid de la reine poule.
zts1766e	Quête journalière (Mimi Mentor)
zts1767e	Lorsque tu auras terminé le raid de la reine poule, va récupérer ta récompense auprès de Mimi Mentor.
zts1768e	Retourne voir Mimi Mentor et récupère ta récompense.
zts1769e	Trouve les œufs jaunes qui sont cachés dans le village.
zts1770e	Quête journalière (Calvin Coach)
zts1771e	Récupère le cadeau de Pâques de Calvin.
zts1772e	Apporte le cadeau de Pâques de Calvin à Soraya.
zts1773e	Retourne voir Calvin pour recevoir ta récompense.
zts1774e	Chasse des monstres pour récupérer des œufs de Pâques rouges et les rapporter à Eva Energy.
zts1776e	Rends-toi à la Falaise rocheuse 1 près de la plaine ensoleillée.
zts1777e	Rends-toi à la Tour du sorcier 4 près du Temple Fernon.
zts1778e	Coupe le premier flux d'énergie du Dédale spiralé E.
zts1779e	Coupe le deuxième flux d'énergie du Dédale spiralé O.
zts1780e	Coupe le troisième flux d'énergie du Dédale spiralé S.
zts1781e	Coupe le quatrième flux d'énergie du Dédale spiralé N.
zts1782e	Héros du feu
zts1783e	Écoute les histoire que Kan, le grand magicien, a à raconter.
zts1784e	Parle à Riana.
zts1785e	Récupère la corne du basilic.
zts1786e	Demande à Riana si elle peut réparer le casque.
zts1787e	Apporte le casque de Roberto à Kan, le grand magicien.
zts1788e	Parle à Nephi.
zts1789e	Récolte du sable mystérieux.
zts1790e	Échange le sable mystérieux contre les lunettes d'Irène.
zts1791e	Apporte les lunettes d'Irène à Kan, le grand magicien.
zts1792e	Parle au président Noah.
zts1793e	Écarte les commandants des voleurs du désert.
zts1794e	Retourne voir le président Noah.
zts1795e	Apporte le gant d'Harold à Kan, le grand magicien.
zts1796e	Rencontre les grands héros du feu dans l'espace-temps.
zts1797e	Raconte à Kan, le grand magicien, ce que tu as vécu dans l'espace-temps.
zts1798e	Récupère des insignes de marin !
zts1800e	Envoie l'équipage du capitaine Pete O'Peng en enfer.
zts1801e	Trouve la carte au trésor d'O'Peng.
zts1802e	Enfile un chapeau de paille (1 jour) et retourne voir le capitaine Jack Panon.
zts1803e	Chasse des monstres et récolte du sirop de citrouille.
zts1804e	Enfile le chapeau citrouille incandescent (1 jour) et retourne voir Mimi Mentor.
zts1805e	Récupère des citrouilles du coffre de Jack O'Lantern.
zts1806e	La famille viking
zts1807e	Vite, dépêche-toi d'aller chercher des glaçons avant que le corps de Flocon ait complètement fondu.
zts1808e	Va voir Malcolm Mix. Il t'expliquera plus en détail comment réveiller la famille viking.
zts1809e	Va voir Calvin Coach. Il t'expliquera plus en détail comment réveiller la famille viking.
zts1810e	Raconte à Flocon, la fée des neiges, comment réveiller les Vikings.
zts1811e	Demande à Théoman Topp de te fabriquer une corne d'appel.
zts1812e	Apporte à Théoman Topp les matériaux dont il a besoin pour fabriquer la corne d'appel.
zts1813e	La corne d'appel est terminée. Retourne voir Flocon.
zts1814e	Sonne la corne d'appel en direction de Flocon.
zts1815e	Emprunte l'espace-temps pour rejoindre la famille viking.
zts1816e	Raconte à Flocon, la fée des neiges, ce qui t'es arrivé dans l'espace-temps.
zts1817e	Énergie de la fleur à son
zts1818e	Tu bénéficieras d'un effet boostant une fois que tu auras terminé la quête de la fleur à son.
zts1819e	Glacerus le Rude
zts1820e	Trouve ce drôle de glacier aux alentours de la Zone du chaos.
zts1821e	Examinons la gemme d'âme glacée de plus près.
zts1822e	Retourne voir Félix Frost.
zts1823e	Va interroger Riana, du Camp des chasseurs de trésors, à propos du collier de prière bouddhiste de Zangpo.
zts1824e	Paie Serena 100 000 pièces d'or pour obtenir les précieuses informations.
zts1825e	Récupère le collier de prière bouddhiste de Zangpo en chassant des renards des sables désertiques.
zts1826e	Apporte le collier de prière bouddhiste de Zangpo à l'endroit où se trouve la gemme d'âme glacée.
zts1827e	Retourne voir Félix Frost pour te procurer plus d'informations.
zts1828e	Interroge Velmon à propos des gants d'entraînement de Falco.
zts1829e	Attaque les samouraïs d'élite de Garton qui menacent la Zone du chaos.
zts1830e	Dérobe l'ordre d'attaquer la Zone du chaos des mains du commandant Garton.
zts1831e	Récupère les gants d'entraînement de Falco auprès de Velmon.
zts1832e	Rapporte les gants d'entraînement de Falco à la gemme d'âme glacée.
zts1833e	Demande à Félix des renseignements sur le diadème d'Élisia.
zts1834e	Va voir Nephi et pose-lui des questions sur le diadème d'Élisia.
zts1835e	Apporte les fleurs de glace à Nephi pour qu'elle te les échange contre le diadème d'Élisia.
zts1836e	Retourne à la gemme d'âme glacée pour rendre à Élisia son diadème.
zts1837e	Rends-toi dans l'espace-temps, la force des âmes vénérables sera avec toi.
zts1838e	Rends-toi à la gemme d'âme glacée et raconte aux âmes que le sceau de Glacerus a été détruit.
zts1839e	Montre le parchemin du froid transissant à Félix.
zts1840e	Enfile un képi de la Navy (1 jour) et parle au capitaine Jack Panon.
zts1841e	Du foie bien frais, s'il vous plaît !
zts1842e	Pars à la chasse aux monstres sur les cartes générales et ramasse des foies frais.
zts1843e	Le jugement de Foxy
zts1844e	Réussis le raid de Foxy.
zts1845e	Chasse aux renards
zts1846e	Pars à la chasse aux renards et aux renards Dusis !
zts1847e	Quelqu'un qui connaît la vérité
zts1848e	Rencontre le troisième fils de Mister Park.
zts1849e	Préparation perdue
zts1850e	Ramasse les flacons bleus, jaunes et rouges.
zts1851e	Qu'y a-t-il dans le flacon rouge ?
zts1852e	1, 2 ou 3... utilise le flacon rouge contre Foxy.
zts1853e	Pars à la chasse aux renards et aux renards Dusis.
zts1854e	À la recherche de la mère de la fratrie : 1er volet
zts1855e	Trouve le tigre nommé Maru.
zts1856e	À la recherche de la mère de la fratrie : 2e volet
zts1857e	Trouve des gâteaux de farine de haricot et des gâteaux de riz aux haricots rouges.
zts1858e	À la recherche de la mère de la fratrie : 3e volet
zts1859e	Va voir le promeneur.
zts1860e	Sauve la fratrie.
zts1861e	Tue Maru, le tigre majestueux.
zts1862e	Il me faut de l'huile de sésame.
zts1863e	Ramasse 5 bouteilles d'huile de sésame.
zts1864e	Hungbu est devenu riche.
zts1865e	Va voir Hungbu.
zts1866e	L'étrange graine de Hungbu
zts1867e	Ouvre l'étrange calebasse de Hungbu.
zts1868e	Fruit de la graine de Hungbu
zts1869e	Va voir Nolbu.
zts1870e	L'étrange graine de Nolbu
zts1871e	Ouvre l'étrange calebasse de Nolbu.
zts1872e	Fruit de la graine de Nolbu
zts1873e	Diablotins effrayants
zts1874e	Chasse Hongbi et Cheongbi.
zts1875e	Hirondelle blessée
zts1876e	Récupère les antidotes.
zts1877e	Soldat ensorcelé (1)
zts1879e	Soldat ensorcelé (2)
zts1880e	Femme suspecte
zts1881e	Soldat ensorcelé (3)
zts1882e	Soldat ensorcelé (5)
zts1884e	Soldat ensorcelé (6)
zts1885e	Soldat ensorcelé (7)
zts1886e	Collecte les éclats d'âme.
zts1887e	Anéantis la sorcière Laurena (1)
zts1888e	Ramasse la graine de damnation à partir de la plante toxique de damnation.
zts1889e	Anéantis la sorcière Laurena (2)
zts1890e	Anéantis la sorcière Laurena (3)
zts1891e	Au nom de l'héroïsme
zts1892e	Anéantis la sorcière Laurena (4)
zts1893e	Soldat ensorcelé (4)
zts1894e	Trouve le soldat.
zts1895e	Rends-toi à l'endroit que Sarakael t'a indiqué.
zts1896e	Parle à Sarakael.
zts1897e	L'histoire de Raphaël
zts1898e	Sur la trace des lièvres
zts1899e	Carottes et lièvres
zts1900e	Appâter le lièvre avec la carotte
zts1901e	Cherche la famille de lièvres !
zts1902e	Cachette des lièvres
zts1903e	Punis Lola Longoreil !
zts1904e	Punis Lola Longoreil et récupère les trésors !
zts1905e	Les scrupules de Raphaël
zts1906e	La tortue est certes suspecte, mais nous devons d'abord nous occuper des trésors.
zts1907e	Dénicheur de ginseng
zts1908e	Trouve des feuilles de ginseng !
zts1909e	Terrier de lièvre
zts1910e	Va en informer Raphaël !
zts1911e	Retrouve la trace des lièvres !
zts1912e	Cherche un membre de la famille de lièvres !
zts1913e	Palais des mers
zts1914e	Un palais sous la mer !
zts1915e	Punis Lola Longoreil et retourne voir Raphaël.
zts1916e	Les scrupules de Raphaël
zts1917e	La tortue est certes suspecte, mais nous devons d'abord nous occuper des trésors.
zts1918e	Celui qui venait du palais des mers
zts1919e	Personne louche
zts1920e	Parle avec Graham.
zts1921e	Archipel oublié 1
zts1922e	Parle avec Graham.
zts1923e	Archipel oublié 2
zts1924e	Archipel oublié 3
zts1925e	Parle à l'ange.
zts1926e	Archipel oublié 4
zts1927e	Parle au démon.
zts1928e	Archipel oublié 5
zts1929e	Anges contre démons 1
zts1930e	Parle à Asael.
zts1931e	Anges contre démons 2
zts1932e	Retrouve la trace de la troupe d'exploration de Paradisia près des Portes infernales 1.
zts1933e	Anges contre démons 3
zts1934e	Anges contre démons 4
zts1935e	Élimine les démons et retourne voir Asael.
zts1936e	Anges contre démons 5
zts1937e	Parle à l'ange Ramel.
zts1938e	Anges contre démons 6
zts1939e	Apporte des queues et des cornes de Bacoum à Ramel.
zts1940e	Anges contre démons 7
zts1941e	Anges contre démons 8
zts1942e	Parle à l'ange Sakiel.
zts1943e	Anges contre démons 9
zts1944e	Apporte la pierre d'énergie ténébreuse à Sakiel.
zts1945e	Anges contre démons 10
zts1946e	Anges contre démons 11
zts1947e	Anges contre démons 12
zts1948e	Réussis 1 fois le raid de Zénas.
zts1949e	Anges contre démons 13
zts1950e	Pour les démons persuasifs
zts1951e	Anges contre démons 14
zts1952e	Parle au démon Barak.
zts1953e	Anges contre démons 15
zts1954e	Fais un rapport sur le massacre des anges à Barak.
zts1955e	Anges contre démons 16
zts1956e	Récolte de l'énergie instable en éliminant des zélotes.
zts1957e	Anges contre démons 17
zts1958e	Anges contre démons 18
zts1959e	Parle au démon Zéphar.
zts1960e	Anges contre démons 19
zts1961e	Apporte des âmes innocentes à Zéphar.
zts1962e	Anges contre démons 20
zts1963e	Anges contre démons 21
zts1964e	Parle au démon Polneus.
zts1965e	Anges contre démons 22
zts1966e	Retourne auprès de Polneus après le massacre des anges.
zts1967e	Anges contre démons 23
zts1968e	Apporte du sang sacré à Polneus.
zts1969e	Anges contre démons 24
zts1970e	Anges contre démons 25
zts1971e	Anges contre démons 26
zts1972e	Réussis une fois le raid d'Erenia.
zts1973e	Anges contre démons 27
zts1974e	Informe Graham du résultat.
zts1975e	Parle au démon Barak.
zts1976e	Pierre sacrée géante
zts1977e	La patrouille disparue
zts1978e	Écoute ce que le Croisé Graham a à dire.
zts1979e	La patrouille disparue (2)
zts1980e	Écoute ce que le capitaine des Croisés a à dire.
zts1981e	Vers de nouvelles aventures !
zts1982e	Va parler au capitaine du vaisseau.
zts1983e	Mauvais timing
zts1984e	Récupère des matériaux pour la réparation du moteur.
zts1985e	Un capitaine avide
zts1986e	Monte à bord du vaisseau
zts1987e	Vers l'endroit interdit
zts1988e	Parle au capitaine.
zts1989e	La recherche
zts1990e	Trouve des traces de la patrouille.
zts1991e	La recherche (2)
zts1992e	Suis les traces de la patrouille.
zts1993e	La recherche (3)
zts1994e	Trouve les traces de la patrouille disparue.
zts1995e	Le survivant
zts1996e	Rends inoffensifs les Croisés manipulés.
zts1997e	Aïe...
zts1998e	Apporte l'eau de source de Cylloan au Croisé blessé.
zts1999e	Gardien de la vie
zts2000e	Parle au capitaine des Croisés.
zts2001e	Qu'est ce qui s'est passé ici ?
zts2002e	Va parler au Croisé blessé.
zts2003e	Trouve des indices à propos des Croisés disparus.
zts2004e	Découvre comment les Croisés ont été transformés en monstres.
zts2005e	L'expulsion du mal
zts2006e	Va parler à l'alchimiste Felice.
zts2007e	L'expulsion du mal (2)
zts2008e	Récupère les matériaux.
zts2009e	La vérité
zts2010e	Apporte le journal restauré au capitaine des Croisés.
zts2011e	À ceux qui sont partis
zts2012e	La mort apporte le repos
zts2013e	Élimine les Croisés.
zts2014e	Reposez en paix
zts2015e	Le bien contre le mal
zts2016e	Va parler à Eldin.
zts2017e	Le bien contre le mal (2)
zts2018e	Écoute ce qu'Eldin a à dire.
zts2019e	Le bien contre le mal (3)
zts2020e	Ancelloan la créatrice et Fernon la destructrice
zts2021e	Explore la volonté d'Ancelloan
zts2022e	Ancelloan la créatrice et Fernon la destructrice (2)
zts2023e	Lis les souvenirs de la terre pour découvrir ce qui est arrivé.
zts2024e	Ancelloan la créatrice et Fernon la destructrice (3)
zts2025e	Vérifie les souvenirs de la terre.
zts2026e	Suis la Lumière
zts2027e	Va à la Couronne de glace.
zts2028e	Chronique d'Akashic
zts2029e	Parle à Aurélius Roshu.
zts2030e	Chronique d'Akashic (2)
zts2031e	Récupère les matériaux avec lesquels tu pourras retirer les scellés de la chronique d'Akashic.
zts2032e	Chronique d'Akashic (3)
zts2033e	Parle à Aurélius Roshu.
zts2034e	La cérémonie de purification
zts2035e	Récupère les matériaux pour la cérémonie de purification.
zts2036e	La cérémonie de purification (2)
zts2037e	Le destin du monde
zts2038e	Anéantis Fernon.
zts2039e	La fin du voyage
zts2040e	Va parler à Eldin.
zts2041e	Pas de temps à perdre !
zts2042e	Indice
zts2043e	Transmets le message du Croisé au capitaine des Croisés.
zts2044e	Esprit malin inconnu
zts2045e	Montre au capitaine des Croisés ce que tu as trouvé sur l'esprit malin.
zts2046e	La tragédie des Slades
zts2047e	Pour les morts
zts2048e	Aux côtés d'Ancelloan
zts2049e	Envoie les Croisés à Ancelloan.
zts2050e	Des tribus oubliées et un nouvel indice
zts2051e	Apporte l'énergie de Fernon à quelqu'un qui en saura plus.
zts2052e	De nouvelles rencontres
zts2053e	Parle avec Kerzena.
zts2054e	Explore la volonté d'Ancelloan
zts2055e	Lis les souvenirs de la terre.
zts2056e	Lis le reste des souvenirs.
zts2057e	La peau d'une femme est son bien le plus important
zts2058e	Apporte les matériaux à Kerzena.
zts2059e	La naissance des Slades de l'Obscurité
zts2060e	Écoute ce que Kerzena a à dire.
zts2061e	Une tasse de chocolat chaud, s'il vous plaît !
zts2062e	Apporte le chocolat chaud à Kerzena.
zts2063e	Fernon et les Slades de l'Obscurité
zts2064e	Une proposition inattendue
zts2065e	Préparatifs
zts2066e	Récupère les matériaux.
zts2067e	Caligor
zts2068e	J'ai besoin de l'esprit de Caligor.
zts2069e	Pour un avenir meilleur
zts2070e	Créé par un autre démon
zts2071e	Parle avec Kerzena.
zts2072e	Trouve le Croisé blessé.
zts2073e	Espace-temps (quête journalière)
zts2074e	Élimine 5 ennemis dans l'espace-temps.
zts2075e	Exploration de l'espace-temps (quête journalière)
zts2076e	Élimine 7 ennemis dans l'espace-temps.
zts2077e	Maître de l'espace-temps (quête journalière)
zts2078e	Élimine 10 ennemis dans l'espace-temps.
zts2079e	Explore l'espace-temps (1) (quête journalière)
zts2080e	Récupère des fragments de l'espace-temps pour effectuer des recherches.
zts2081e	Explore l'espace-temps (2) (quête journalière)
zts2082e	Récupère des essences de l'espace-temps pour effectuer des recherches.
zts2083e	Explore l'espace-temps (3) (quête journalière)
zts2084e	Récupère des essences de l'espace-temps pour effectuer des recherches.
zts2085e	Récupère du matériel pour des médicaments (quête journalière).
zts2086e	Récupère du matériel pour des médicaments.
zts2087e	Stypticus (quête journalière)
zts2088e	Récupère du matériel pour le Stypticus.
zts2089e	Objectif de recherche (quête journalière)
zts2090e	Récupère l'essence de Fernon.
zts2091e	Marchandises volées (quête journalière)
zts2092e	Apporte du mithril pur à Lilith.
zts2093e	La gemme la plus dure (quête journalière)
zts2094e	Apporte l'adamantium à Lilith.
zts2095e	Récupère des gemmes rares (quête journalière)
zts2096e	Apporte l'ertel à Lilith.
zts2097e	Prière pour les morts (quête journalière)
zts2098e	Récupère des prières.
zts2099e	En souvenir des morts (quête journalière)
zts2100e	Récupère des chapelets.
zts2101e	Des traces de la patrouille (quête journalière)
zts2102e	Récupère les testaments souillés de sang.
zts2103e	Bien préparé (quête journalière)
zts2104e	Récupère de l'eau de refroidissement.
zts2105e	Hé, calme-toi ! (quête journalière)
zts2106e	L'hystérie de la vieille femme (quête journalière)
zts2107e	Briser (quête journalière)
zts2108e	Récupère l'esprit de Caligor.
zts2109e	Destruction de Kertos (quête journalière)
zts2110e	Termine 1x le raid de Kertos.
zts2111e	Destruction de Valakus (quête journalière)
zts2112e	Termine 1x le raid de Valakus.
zts2113e	Destruction de Grenigas (quête journalière)
zts2114e	Termine 1x le raid de Grenigas.
zts2115e	Destruction de Sire Draco (quête journalière)
zts2116e	Destruction de Glacerus (quête journalière)
zts2117e	Réussis 1 fois le raid de Glacerus.
zts2118e	Destruction de Laurena (quête journalière)
zts2119e	Réussis 1 fois le raid de la sorcière Laurena.
zts2120e	Punis le mal (quête journalière)
zts2121e	Élimine 5 ennemis à la Couronne de glace.
zts2122e	Punis l'hypocrite (quête journalière)
zts2123e	Purification (quête journalière)
zts2124e	Purifie les Croisés
zts2125e	Sauve le Croisé (quête journalière)
zts2126e	Rends inoffensifs les Croisés manipulés.
zts2127e	Se rendre auprès d'Ancelloan (quête journalière)
zts2128e	Élimine des Croisés fous.
zts2129e	Élimine les sentinelles ! (Quête journalière)
zts2130e	Élimine 5 sentinelles à Paradisia.
zts2131e	Élimine Rozhanik ! (Quête journalière)
zts2132e	Élimine 5x Rozhanik à Paradisia.
zts2133e	Élimine Esther ! (Quête journalière)
zts2134e	Élimine 5x Esther à Paradisia.
zts2135e	Élimine Lazékiel !
zts2136e	Élimine 5x Lazékiel à Paradisia.
zts2137e	Élimine Mysticaron ! (quête journalière)
zts2138e	Élimine 5x Mysticaron à Paradisia.
zts2139e	Élimine les zélotes ! (Quête journalière)
zts2140e	Élimine 5 zélotes à Paradisia.
