zts1e	Основные эффекты
zts1466e	Цветочный отражатель (E)
zts1467e	Цветочный отражатель (D)
zts1468e	Цветочный отражатель (C)
zts1469e	Цветочный отражатель (B)
zts1470e	Цветочный отражатель (A)
zts1471e	Цветочный отражатель (S)
zts1472e	Маленькая принцесса Венера (F)
zts1473e	Последующий эффект партнера.
zts1474e	Маленькая принцесса Венера (E)
zts1475e	Маленькая принцесса Венера (D)
zts1476e	Маленькая принцесса Венера (C)
zts1477e	Маленькая принцесса Венера (B)
zts1478e	Маленькая принцесса Венера (A)
zts1479e	Маленькая принцесса Венера (S)
zts1480e	Эго Крема (Основное оружие)
zts1481e	Оружие, у которого есть эго. Если ты объединишь его с другим оружием Крема...
zts1482e	Эго Крема (Вторичное оружие)
zts1483e	Азраил, ангел смерти
zts1484e	Поглощено крыльями Фернон.
zts1485e	Сущность Сели-Луша
zts1486e	Светящаяся сущность дерева.
zts1487e	Рассвет Румиал
zts1488e	Блестящий камень, призывающий утро.
zts1489e	Сумерки Лортена
zts1490e	Тень, которая предвещает ночь.
zts1491e	Боевой клич Шареса
zts1492e	Шлем смельчака Шареса.
zts1493e	Эхо Глацернона
zts1494e	Эхо серебряной души Глацернона.
zts1495e	Мудрость Мукражу
zts1496e	Богатые знания и мудрость мага Мукражу.
zts1497e	Анкеллоан Создательница
zts1498e	Анкеллоан, с которой все началось.
zts1499e	Фернон Разрушительница
zts1500e	Фернон, несущая конец света.
zts1501e	Божественная воля
zts1502e	Серьезно повышает вероятность нанесения критического урона.
zts1503e	Божественное воздаяние
zts1504e	Отражает все атаки.
zts1505e	Светлая энергия Крема
zts1506e	Ты чувствуешь энергию Крема.
zts1507e	Наказание
zts1508e	Магия, которая использовалась ангелом смерти для исцеления душ. Теперь Фернон может использовать ее, поглощая энергию.
zts1509e	Темная энергия Крема
zts1510e	Сильный оглушающий удар Крема.
zts1511e	Благодать богини
zts1512e	Быстро восстанавливает ОЗ.
zts1513e	Гнев богини
zts1514e	Быстро понижает ОЗ.
zts1515e	Проклятие богини
zts1516e	Насылает различные проклятия.
zts1517e	Зависть богини
zts1518e	Отражает урон.
zts1519e	Творец Анкеллоан
zts1520e	Сильно повышает защиту в ПвП.
zts1521e	Фернон Разрушительница
zts1522e	Сильно повышает урон в ПвП.
zts1523e	Мороз Глацернона
zts1524e	Сильно понижает скорость передвижения.
zts1525e	Проклятие Глацернона
zts1526e	Не дает атаковать в течение короткого времени.
zts1527e	Благословение Лео
zts1528e	Пляжное настроение
zts1529e	Крылья феи
zts1531e	Проклятие Фафнира
zts1532e	Содрогнитесь перед мощью ужасающего дракона!
zts1533e	Благословение Одина
zts1534e	Почувствуйте силу Одина!
zts1535e	Зов викинга
zts1536e	Подавляет волю противников.
zts1537e	Воля воина
zts1538e	Вставай, доблестный воин!
zts1539e	Благословение Ангела мести
zts1540e	Ты получаешь Благословение Ангела мести.
zts1541e	Хранитель душ
zts1542e	Ангел мести сопровождает души падших в Валгаллу.
zts1543e	Благословение Матери Природы
zts1544e	Благословение Природы принесет тебе обновление.
zts1545e	Давление ветра
zts1546e	Тяжело сражаться с ветром.
zts1547e	Липкий плевок
zts1548e	Этот плевок хуже супер клея.
zts1549e	Ловушка
zts1550e	Понижает скорость передвижения. Понижает шанс попадания по цели в ближнем бою.
zts1551e	Продвинутая блокировка
zts1552e	Блокирует негативные эффекты на время действия.
zts1553e	Благословение пирата
zts1554e	Ты можешь получить неизвестный предмет, если твой спутник тебя сопровождает.
zts1555e	Благословение адмирала
zts1556e	Ты получаешь больше очков чемпионского опыта и больше очков репутации.
zts1557e	Магия мертвых
zts1558e	Использует магию мертвых для повышения силы тьмы.
zts1559e	Сильная магия мертвых
zts1560e	Использует магию мертвых для серьезного повышения силы тьмы.
zts1561e	Драконская живучесть
zts1562e	Восстанавливает силы благодаря жизненной силе дракона.
zts1563e	Сильная драконская живучесть
zts1564e	Быстро восстанавливает силы благодаря жизненной силе дракона.
zts1565e	Полная защита
zts1566e	Предотвращает весь урон.
zts1567e	Запрещенная магия
zts1568e	Создает нежить после потери всей жизненной силы.
zts1569e	Спектральный удар (F)
zts1570e	Ты учишься использовать спектральные силы.
zts1571e	Спектральный удар (E)
zts1572e	Спектральный удар (D)
zts1573e	Спектральный удар (C)
zts1574e	Спектральный удар (B)
zts1575e	Спектральный удар (A)
zts1576e	Спектральный удар (S)
zts1577e	Падение тьмы (F)
zts1578e	Устраивает взрыв с помощью магии тьмы.
zts1579e	Падение тьмы (E)
zts1580e	Падение тьмы (D)
zts1581e	Падение тьмы (C)
zts1582e	Падение тьмы (B)
zts1583e	Падение тьмы (A)
zts1584e	Падение тьмы (S)
zts1585e	Гордость викинга (F)
zts1586e	Усиливает гордость викинга.
zts1587e	Гордость викинга (E)
zts1588e	Гордость викинга (D)
zts1589e	Гордость викинга (C)
zts1590e	Гордость викинга (B)
zts1591e	Гордость викинга (A)
zts1592e	Гордость викинга (S)
zts1593e	Спутник костяного воина Рагнара (F)
zts1594e	Спутник костяного воина Рагнара (E)
zts1595e	Спутник костяного воина Рагнара (D)
zts1596e	Спутник костяного воина Рагнара (C)
zts1597e	Спутник костяного воина Рагнара (B)
zts1598e	Спутник костяного воина Рагнара (A)
zts1599e	Спутник костяного воина Рагнара (S)
zts1600e	Амбиция
zts1601e	Тебя вдохновляет вера в успех
zts1602e	Живучесть
zts1603e	Этот маленький демон неуловим
zts1604e	Вдохновение
zts1605e	Обнаруживает невидимое благодаря особому таланту
zts1606e	Положительный эффект 10-летней годовщины
zts1607e	Билет в сонное царство
zts1608e	Магический сон, которому невозможно противостоять.
zts1609e	Магический куб [Невидимость]
zts1610e	Ты можешь скрытно передвигаться даже не обладая необходимыми магическими способностями.
zts1611e	Магический куб [Сопротивление]
zts1612e	Ты можешь сопротивляться негативным эффектам даже не обладая необходимыми магическими способностями.
zts1613e	Магический куб [Скорость передвижения]
zts1614e	Твоя скорость передвижения повышается даже без необходимых магических способностей.
zts1615e	Магический куб [Отключка]
zts1616e	Ты можешь накладывать Отключки даже не обладая необходимыми магическими способностями.
zts1617e	Удар плечом (F)
zts1618e	Ты сбиваешь противника с ног, ударяя его плечом.
zts1619e	Удар плечом (E)
zts1620e	Удар плечом (D)
zts1621e	Удар плечом (C)
zts1622e	Удар плечом (B)
zts1623e	Удар плечом (A)
zts1624e	Удар плечом (S)
zts1625e	Стойкость (F)
zts1626e	Тебе больше не нужно бояться смерти.
zts1627e	Стойкость (E)
zts1628e	Стойкость (D)
zts1629e	Стойкость (C)
zts1630e	Стойкость (B)
zts1631e	Стойкость (A)
zts1632e	Стойкость (S)
zts1633e	Статический шок (F)
zts1634e	Оглушает противника мощным электростатическим шоком.
zts1635e	Статический шок (E)
zts1636e	Статический шок (D)
zts1637e	Статический шок (C)
zts1638e	Статический шок (B)
zts1639e	Статический шок (A)
zts1640e	Статический шок (S)
zts1641e	Мега титановые крылья
zts1642e	Титановая трансформация
zts1643e	Особые способности мега титановых крыльев
zts1644e	Мега титановый усилитель  У улучшенной до +15 карты специалиста есть шанс на активацию Титановой трансформации.
zts1645e	Большое новогоднее благословение
zts1646e	Повышает количество получаемых очков опыта на 30% на 30 минут.
zts1647e	Новогоднее благословение
zts1648e	Повышает количество получаемых очков опыта на 10% на 30 минут.
zts1649e	Крадущийся в тени
zts1650e	Ты можешь довольно быстро скрытно передвигаться, но эффект исчезает, когда ты слезаешь с транспорта.
zts1651e	Карате блок
zts1652e	Блокирует атаки противника.
zts1653e	Железная кожа
zts1654e	Полностью отражает атаку противника.
zts1655e	Прочное тело
zts1656e	Повышает силу атаки за счет использования энергии.
zts1657e	Проворное тело
zts1658e	Повышает скорость передвижения за счет использования энергии.
zts1659e	Готовность к бою
zts1660e	Навык можно использовать 3 раза без перезарядки.
zts1661e	Хор ангелов
zts1662e	Ты слышишь божественные голоса ангельского хора.
zts1663e	Врата рая
zts1664e	Разум помутняется и ты начинаешь видеть райские врата.
zts1665e	Я чемпион
zts1666e	Покажи всем чемпионскую гордость.
zts1667e	Призрак
zts1668e	Ты обладаешь безграничной энергией.
zts1669e	Проклятие невесты
zts1670e	Положительные эффекты редко накладываются на тебя.
zts1671e	Трансформация
zts1672e	Изменяет твою боевую стойку.
zts1673e	Энергия хэтэ
zts1674e	Улучшает физические навыки.
zts1675e	Энергия дракона
zts1676e	Усиливает огненные атаки.
zts1677e	Звериный спринт
zts1678e	Позволяет молниеносно передвигаться.
zts1679e	Мерцающее пламя
zts1680e	Блокирует атаки противника с помощью тепловой волны.
zts1681e	Завершающее пламя
zts1682e	Выпускает эффектный фейерверк.
zts1683e	Боевые искусства Тарт Хапендам
zts1684e	Пулемет
zts1685e	Мощный пулемет.
zts1686e	Крылья ветра
zts1687e	Благословение огненного дьявола
zts1688e	10% дополнительного урона по монстрам из запечатанных сосудов, 5% дополнительного урона по монстрам в Стране мертвых
zts1689e	Положительный эффект 11-летней годовщины
zts1690e	Слепота (F)
zts1691e	Слепота уменьшает дальность обзора и делает цель уязвимой.
zts1692e	Слепота (E)
zts1693e	Слепота (D)
zts1694e	Слепота (C)
zts1695e	Слепота (B)
zts1696e	Слепота (A)
zts1697e	Слепота (S)
zts1698e	Рана от когтя (F)
zts1699e	Кошачьи когти очень острые.
zts1700e	Рана от когтя (E)
zts1701e	Рана от когтя (D)
zts1702e	Рана от когтя (C)
zts1703e	Рана от когтя (B)
zts1704e	Рана от когтя (A)
zts1705e	Рана от когтя (S)
zts1706e	Удар сердца (F)
zts1707e	Так здорово! Я чувствую такой подъем!
zts1708e	Удар сердца (E)
zts1709e	Удар сердца (D)
zts1710e	Удар сердца (C)
zts1711e	Удар сердца (B)
zts1712e	Удар сердца (A)
zts1713e	Удар сердца (S)
zts1714e	Спутник студента магической школы Юны (F)
zts1715e	Спутник студента магической школы Юны (E)
zts1716e	Спутник студента магической школы Юны (D)
zts1717e	Спутник студента магической школы Юны (C)
zts1718e	Спутник студента магической школы Юны (B)
zts1719e	Спутник студента магической школы Юны (A)
zts1720e	Спутник студента магической школы Юны (S)
zts19951e	Шаг в сторону
zts19952e	Позволяет уклоняться от навыков, и приближает тебя к Просветлению.
zts19953e	Просветление
zts19954e	Используй навык с положительным эффектом, пока Просветление еще активно, чтобы активировать дополнительные эффекты.
zts19955e	Лунное поглощение
zts19956e	Позволяет использовать навыки Полнолуния.
zts19957e	Знак луны
zts19958e	Остерегайся силы Мистика, пока на тебе Знак луны.
zts19959e	Знак полнолуния
zts19960e	Используй Лунное затмение, пока Возможность атаковать еще активна, и твой соперник получит Знак полнолуния вместо Знака луны.
zts19961e	Ловушка лотоса
zts19962e	Попавшие в ловушку соперники не могут двигаться.
zts19963e	Сопротивление
zts19964e	Если тебя атакуют, когда ты используешь Сопротивление, ты получаешь эффект Возможность атаковать.
zts19965e	Внутренние повреждения
zts19966e	Использовать навыки и магию не так-то просто с внутренними повреждениями.
zts19967e	Перышко
zts19968e	Твое тело становится легким как перышко, благодаря чему ты можешь передвигаться быстрее, но получаешь больше повреждений.
zts19969e	Сбор лепестков
zts19970e	Позволяет использовать навыки Цветка Лотоса.
zts19971e	Тень полумесяца
zts19972e	Ты прячешься в тени луны.
zts19973e	Сдерживание лунным светом
zts19974e	Твой соперник не может двигаться, пока его сдерживает сила лунного света.
zts19975e	Сдерживание светом полной луны
zts19976e	Твой соперник не может двигаться, пока его сдерживает сила света полной луны.
zts19977e	Лепестковый ад
zts19978e	Невозможно двигаться. Количество ОЗ и ОМ понижено.
zts19979e	Проклятие лотоса
zts19980e	Невозможно двигаться. Количество ОЗ и ОМ сильно понижено.
zts19981e	Возможность атаковать
zts19982e	После использования атакующего навыка ты можешь атаковать снова.
zts19983e	Окутывание лунным светом
zts19984e	Ты получишь этот эффект, когда используешь Лунное поглощение, пока активно Просветление.
zts19985e	Кровать из цветов лотоса
zts19986e	Ты получишь этот эффект, когда используешь Сбор лепестков, пока активно Просветление.
zts19987e	Ослепление
zts19988e	Красный нос внезапно начинает ярко светиться.
zts19989e	Магия красного носа
zts19990e	Исцеляющая магия красного носа восстанавливает ОЗ.
zts19991e	Ярость берсерка
zts19992e	Превращение в Боевого белого медведя.
zts19993e	Апатичность (F)
zts19994e	У меня нет сил...
zts19995e	Апатичность (E)
zts19996e	Апатичность (D)
zts19997e	Апатичность (C)
zts19998e	Апатичность (B)
zts19999e	Апатичность (A)
zts20000e	Апатичность (S)
zts20001e	Мастер стрельбы из лука (F)
zts20002e	Стань одним из лучших лучников!
zts20003e	Мастер стрельбы из лука (E)
zts20004e	Мастер стрельбы из лука (D)
zts20005e	Мастер стрельбы из лука (C)
zts20006e	Мастер стрельбы из лука (B)
zts20007e	Мастер стрельбы из лука (A)
zts20008e	Мастер стрельбы из лука (S)
zts20009e	Душевная боль (F)
zts20010e	Я не могу регенерировать, мое сердце еле бьется!
zts20011e	Душевная боль (E)
zts20012e	Душевная боль (D)
zts20013e	Душевная боль (C)
zts20014e	Душевная боль (B)
zts20015e	Душевная боль (A)
zts20016e	Душевная боль (S)
zts20017e	Спутник Аморы (F)
zts20018e	Спутник Аморы (E)
zts20019e	Спутник Аморы (D)
zts20020e	Спутник Аморы (C)
zts20021e	Спутник Аморы (B)
zts20022e	Спутник Аморы (A)
zts20023e	Спутник Аморы (S)
zts20024e	Повышает силу атаки и силу защиты.
zts20025e	Отвлечение
zts20026e	Я не могу сконцентрироваться на битве, здесь столько монет!
zts20027e	Счастливый талисман!
zts20028e	Способность Удачливого пышнохвоста, приносящая... удачу!
zts20029e	Супер счастливый талисман!
zts20030e	Способность Супер удачливого пышнохвоста, приносящая... большую удачу!
zts20031e	Положительный эффект свадьбы
zts20032e	Сила любви...
zts20033e	Дождь из конфетти
zts20034e	Положительный эффект в качестве благодарности гостям.
zts20035e	Жуткая яичная бомба
zts20036e	Ты можешь сдвинуть бомбу, атаковав ее. Когда она нанесет урон Мартовскому зайцу, со 100% вероятностью она наложит на него Отключку.
zts20037e	Превращение в яйцо
zts20038e	Яичница готова! (Уровень 1)
zts20039e	Этот эффект активируется, когда 3 Жуткие яичные бомбы взрываются рядом с Мартовским зайцем одновременно.
zts20040e	Яичница готова! (Уровень 2)
zts20041e	Этот эффект активируется, когда 4 Жуткие яичные бомбы взрываются рядом с Мартовским зайцем одновременно.
zts20042e	Яичница готова! (Уровень 3)
zts20043e	Этот эффект активируется, когда 5 Жутких яичных бомб взрываются рядом с Мартовским зайцем одновременно.
zts20044e	Ты наполняешься энергией кролика.
zts20045e	Броня из золотой шерсти
zts20046e	Тебя защищает золотая шерсть.
zts20047e	Замутненный разум (F)
zts20048e	Разум цели замутняется и ей становится сложно сконцентрироваться на чем-либо.
zts20049e	Замутненный разум (E)
zts20050e	Замутненный разум (D)
zts20051e	Замутненный разум (C)
zts20052e	Замутненный разум (B)
zts20053e	Замутненный разум (A)
zts20054e	Замутненный разум (S)
zts20055e	Непреклонность (F)
zts20056e	Непреклонность (E)
zts20057e	Непреклонность (D)
zts20058e	Непреклонность (C)
zts20059e	Непреклонность (B)
zts20060e	Непреклонность (A)
zts20061e	Непреклонность (S)
zts20062e	Тошнота (F)
zts20063e	Тошнота (E)
zts20064e	Тошнота (D)
zts20065e	Тошнота (C)
zts20066e	Тошнота (B)
zts20067e	Тошнота (A)
zts20068e	Тошнота (S)
zts20069e	Твой питомец шокирован. Ему нужно 10 минут, чтобы прийти в себя.
zts20070e	Твой питомец сильно шокирован. Ему нужно 20 минут, чтобы прийти в себя.
zts20071e	Прыжок
zts20072e	Потеря равновесия
zts20073e	Противник выбит из колеи и не может защитить себя.
zts20074e	Потеря сознания
zts20075e	Противник выбит из колеи и не может сражаться. Шанс нанесения критического урона по противникам с Потерей сознания повышен.
zts20076e	Святая энергия
zts20077e	Сила всех элементов повышается, а твое тело освобождается от негативных эффектов.
zts20078e	Блок
zts20079e	Ты можешь блокировать атаки противника. Ты получаешь очки силы за успешное блокирование атак.
zts20080e	Спокойный разум
zts20081e	Ты приводишь тело и разум к гармонии через медитацию.
zts20082e	Тень смерти
zts20083e	Твой противник близок к смерти. Если он не будет побежден, пока эффект Тень смерти активен, он получит эффект Из лап смерти.
zts20084e	Аура силы (1 уровень)
zts20086e	Аура силы (2 уровень)
zts20088e	Аура силы (3 уровень)
zts20090e	Стойка силы
zts20091e	Можно использовать навыки силы, тратя очки силы.
zts20092e	Воинская медитация
zts20093e	Медитация очищает и укрепляет твое тело.
zts20094e	Смертельная рана
zts20095e	Сила атаки, сопротивления, скорость передвижения и количество ОЗ понижены.
zts20096e	Из лап смерти
zts20097e	Спасение от смерти наполняет тебя силой.
zts20098e	Сильный импульс
zts20099e	Этот импульс временно лишает твоего врага возможности сражаться. Когда эффект заканчивается, с определенной вероятностью на него накладывается эффект Смертельная рана.
zts20100e	Этот эффект накладывается, когда ты получаешь 1000 очков силы.
zts20101e	Этот эффект накладывается, когда ты получаешь 2000 очков силы.
zts20102e	Этот эффект накладывается, когда ты получаешь 3000 очков силы.
zts20103e	Неограниченная сила
zts20104e	Ты чувствуешь воздействие магической силы, постоянно восстанавливающей твои ОМ.
zts20105e	Шпоры
zts20106e	Ты подгоняешь пиньяту, чтобы повысить ее скорость передвижения.
zts20107e	Радужного благословение
zts20108e	Сила атаки в ПвП повышается на 10% на время Радужной битвы. Скорость передвижения повышается на 2 на время Радужной битвы.
zts20109e	Проклятое пламя (F)
zts20110e	Проклятое пламя (E)
zts20111e	Проклятое пламя (D)
zts20112e	Проклятое пламя (C)
zts20113e	Проклятое пламя (B)
zts20114e	Проклятое пламя (A)
zts20115e	Проклятое пламя (S)
zts20116e	Пылающая броня (F)
zts20117e	Пылающая броня (E)
zts20118e	Пылающая броня (D)
zts20119e	Пылающая броня (C)
zts20120e	Пылающая броня (B)
zts20121e	Пылающая броня (A)
zts20122e	Пылающая броня (S)
zts20123e	Плавящаяся броня (F)
zts20124e	Плавящаяся броня (E)
zts20125e	Плавящаяся броня (D)
zts20126e	Плавящаяся броня (C)
zts20127e	Плавящаяся броня (B)
zts20128e	Плавящаяся броня (A)
zts20129e	Плавящаяся броня (S)
zts20130e	Пламенная броня (F)
zts20131e	Пламенная броня (E)
zts20132e	Пламенная броня (D)
zts20133e	Пламенная броня (C)
zts20134e	Пламенная броня (B)
zts20135e	Пламенная броня (A)
zts20136e	Пламенная броня (S)
zts20137e	Аура однокрылой Перти (F)
zts20138e	Аура однокрылой Перти (E)
zts20139e	Аура однокрылой Перти (D)
zts20140e	Аура однокрылой Перти (C)
zts20141e	Аура однокрылой Перти (B)
zts20142e	Аура однокрылой Перти (A)
zts20143e	Аура однокрылой Перти (S)
zts20144e	Вкусный тунец
zts20145e	Полакомься вкусной рыбкой и, насытившись, вступай в бой.
zts20146e	Замороженный тунец
zts20147e	Холодная и твердая как камень рыба.
zts20148e	Благословение выдры
zts20149e	Повышение силы атаки и защиты.
zts20150e	Готовность к битве
zts20151e	Выдре не терпится вступить в бой.
zts20152e	Положительный эффект 12-летней годовщины
zts20153e	Слабое кровопитие
zts20154e	Потеря крови ослабляет организм.
zts20155e	Рой летучих мышей
zts20156e	Ты превращаешься в рой летучих мышей при приближении опасности.
zts20157e	Ночной ужас
zts20158e	Твоя жертва боится ужасов, которые скрываются в темноте.
zts20159e	Кандалы
zts20160e	Твой противник закован в цепи.
zts20161e	Отражение
zts20162e	Отражает атаки противника.
zts20163e	Антигравитация
zts20164e	Ты паришь в воздухе. С определенной вероятностью ты можешь запаниковать.
zts20165e	Демонические силы
zts20166e	Ты получаешь силу демона.
zts20168e	Сердечный приступ
zts20169e	Твой противник не может атаковать.
zts20170e	Электроудар
zts20171e	Твой противник подвергается поражению электрическим током.
zts20172e	Крылья молнии
zts20173e	Ты получаешь этот положительный эффект используя Крылья молнии.
zts20174e	Из-за подобного суждения гибнут миры.
zts20175e	Из-за подобного суждения гибнут миры.
zts20176e	Пушистость
zts20177e	Мех альпаки защитит тебя.
