zts1e	Efectos Generales
zts1364e	Maldición de Ancelloan
zts1365e	La maldición de Ancelloan es extremadamente poderosa.
zts1366e	Indignación de Zenas
zts1367e	Zenas está muy molesta y furiosa.
zts1368e	Modo ira
zts1369e	El medidor de ira está completamente lleno.
zts1370e	Artimañas
zts1371e	Visto y no visto.
zts1376e	Sacudida cerebral (F)
zts1377e	Un sentimiento de mareo desencadenado por la colisión con los ositos de peluche.
zts1378e	Sacudida cerebral (E)
zts1379e	Sacudida cerebral (D)
zts1380e	Sacudida cerebral (C)
zts1381e	Sacudida cerebral (B)
zts1382e	Sacudida cerebral (A)
zts1383e	Sacudida cerebral (S)
zts1384e	Maestría con marionetas (F)
zts1385e	Transforma mediante el poder del titiritero.
zts1386e	Maestría con marionetas (E)
zts1387e	Maestría con marionetas (D)
zts1388e	Maestría con marionetas (C)
zts1389e	Maestría con marionetas (B)
zts1390e	Maestría con marionetas (A)
zts1391e	Maestría con marionetas (S)
zts1392e	Gigantomanía (F)
zts1393e	El osito de peluche gigantesco vive del alma de su dueño.
zts1394e	Gigantomanía (E)
zts1395e	Gigantomanía (D)
zts1396e	Gigantomanía (C)
zts1397e	Gigantomanía (B)
zts1398e	Gigantomanía (A)
zts1399e	Gigantomanía (S)
zts1400e	Ruleta rusa (F)
zts1401e	El juego de la muerte.
zts1402e	Ruleta rusa (E)
zts1403e	Ruleta rusa (D)
zts1404e	Ruleta rusa (C)
zts1405e	Ruleta rusa (B)
zts1406e	Ruleta rusa (A)
zts1407e	Ruleta rusa (S)
zts1408e	Encantamiento del arlequín (F)
zts1409e	Una bromita del fantasma circense.
zts1410e	Encantamiento del arlequín (E)
zts1411e	Encantamiento del arlequín (D)
zts1412e	Encantamiento del arlequín (C)
zts1413e	Encantamiento del arlequín (B)
zts1414e	Encantamiento del arlequín (A)
zts1415e	Encantamiento del arlequín (S)
zts1416e	Estupefacción (F)
zts1417e	Semejante estupor hace perder el conocimiento.
zts1418e	Estupefacción (E)
zts1419e	Estupefacción (D)
zts1420e	Estupefacción (C)
zts1421e	Estupefacción (B)
zts1422e	Estupefacción (A)
zts1423e	Estupefacción (S)
zts1424e	Megamandra (F)
zts1425e	Invoca una Megamandra que ataca al enemigo.
zts1426e	Megamandra (E)
zts1427e	Megamandra (D)
zts1428e	Megamandra (C)
zts1429e	Megamandra (B)
zts1430e	Megamandra (A)
zts1431e	Megamandra (S)
zts1432e	Prisión de raíces (F)
zts1433e	Atrapa con raíces e impide el movimiento.
zts1434e	Prisión de raíces (E)
zts1435e	Prisión de raíces (D)
zts1436e	Prisión de raíces (C)
zts1437e	Prisión de raíces (B)
zts1438e	Prisión de raíces (A)
zts1439e	Prisión de raíces (S)
zts1440e	Cambio de sitio (F)
zts1441e	Intercambia brevemente la posición con el enemigo.
zts1442e	Cambio de sitio (E)
zts1443e	Cambio de sitio (D)
zts1444e	Cambio de sitio (C)
zts1445e	Cambio de sitio (B)
zts1446e	Cambio de sitio (A)
zts1447e	Cambio de sitio (S)
zts1448e	Rastro de espada (F)
zts1449e	Un golpe desconocido que causa hemorragias críticas.
zts1450e	Rastro de espada (E)
zts1451e	Rastro de espada (D)
zts1452e	Rastro de espada (C)
zts1453e	Rastro de espada (B)
zts1454e	Rastro de espada (A)
zts1455e	Rastro de espada (S)
zts1456e	Chasco (F)
zts1457e	Graves daños que te ponen en peligro.
zts1458e	Chasco (E)
zts1459e	Chasco (D)
zts1460e	Chasco (C)
zts1461e	Chasco (B)
zts1462e	Chasco (A)
zts1463e	Chasco (S)
zts1464e	Reflector florido (F)
zts1465e	Si recibes daños, estos se reflejan en parte. Las habilidades que únicamente causan un penalizador no se pueden reflejar.
zts1466e	Reflector florido (E)
zts1467e	Reflector florido (D)
zts1468e	Reflector florido (C)
zts1469e	Reflector florido (B)
zts1470e	Reflector florido (A)
zts1471e	Reflector florido (S)
zts1472e	Princesita Venus (F)
zts1473e	Efecto secundario del acompañante
zts1474e	Princesita Venus (E)
zts1475e	Princesita Venus (D)
zts1476e	Princesita Venus (C)
zts1477e	Princesita Venus (B)
zts1478e	Princesita Venus (A)
zts1479e	Princesita Venus (S)
zts1480e	Ego de Krem (arma principal)
zts1481e	Un arma que tiene su propio ego. Si la fundes con la otra arma de Krem...
zts1482e	Ego de Krem (arma secundaria)
zts1483e	Azrael, el ángel de la muerte
zts1484e	Fue absorbido por las alas de Fernon.
zts1485e	Esencia de Seli-Lusha
zts1486e	Esencia brillante de árbol.
zts1487e	Albor de Rumial
zts1488e	Una joya luminosa que invoca la mañana.
zts1489e	Ocaso de Lorten
zts1490e	Una sombra que anuncia la llegada de la noche.
zts1491e	Llamado del cañón de Shares
zts1492e	Energía del valeroso Shares.
zts1493e	Eco de Glacernon
zts1494e	Eco del alma plateada de Glacernon
zts1495e	Defensa mágica de Mukraju
zts1496e	El gran saber del mago Mukraju.
zts1497e	Ancelloan, la creadora
zts1498e	Ancelloan, origen de cuanto hay
zts1499e	Fernon, la Destructora
zts1500e	Fernon, de todo perdición.
zts1501e	La voluntad de los dioses
zts1502e	Aumenta considerablemente la probabilidad de causar daño crítico.
zts1503e	La autoridad de los dioses
zts1504e	Refleja todos los ataques.
zts1505e	Energía clara de Krem
zts1506e	Puedes sentir la energía de Krem.
zts1507e	Castigo
zts1508e	La magia que utilizó el Ángel de la muerte para sanar el alma. Ahora Fernon puede utilizarla extrayendo la energía.
zts1509e	Elemento tinieblas de Krem
zts1510e	Poderoso golpe aturdidor de Krem
zts1511e	Sonrisa de la diosa
zts1512e	Restaura HP rápidamente.
zts1513e	Ira de la diosa
zts1514e	Reduce HP rápidamente.
zts1515e	Maldición de la diosa
zts1516e	Lanza diversas maldiciones.
zts1517e	Envidia de la diosa
zts1518e	Refleja daños.
zts1519e	Creadora de Ancelloan
zts1520e	Aumenta considerablemente la defensa en el PvP.
zts1521e	Fernon, la Destructora
zts1522e	Aumenta considerablemente el daño en el PvP.
zts1523e	Helada de Glacernon
zts1524e	Reduce considerablemente la velocidad de movimiento.
zts1525e	Maldición de Glacernon
zts1526e	No se pueden ejecutar ataques durante poco tiempo .
zts1527e	Bendición de Leo
zts1528e	Aura playera fresca
zts1529e	Alas de hada
zts1531e	Maldición de Fafnir
zts1532e	¡Tiembla ante el poder del avaricioso dragón!
zts1533e	Bendición de Odín
zts1534e	¡Siente el poder de Odín!
zts1535e	Reputación del vikingo
zts1536e	Haz que flaquee la voluntad de tus enemigos.
zts1537e	Voluntad del guerrero
zts1538e	¡Levántate, guerrero!
zts1539e	Bendición del ángel vengador
zts1540e	Recibe la Bendición del ángel vengador.
zts1541e	Guardiana de las almas
zts1542e	El Ángel vengador lleva las almas de los caídos a Valhalla.
zts1543e	Bendición de la madre naturaleza
zts1544e	Que la bendición de la naturaleza te refresque.
zts1545e	Presión de aire
zts1546e	No cualquiera puede con un fuerte viento.
zts1547e	Baba pegajosa
zts1548e	Esta baba es peor que el pegamento instantáneo.
zts1549e	Trampas
zts1550e	Reduce la velocidad del movimiento. Dificulta impactar al objetivo con un ataque físico.
zts1551e	Bloqueo avanzado
zts1552e	Bloquea efectos negativos a lo largo de la duración de uso.
zts1553e	Bendición pirata
zts1554e	Puedes recibir un objeto desconocido mientras te acompañen.
zts1555e	Bendición del almirante
zts1556e	Recibes más experiencia de héroe y fama.
zts1557e	Magia del Liche
zts1558e	Aumenta el poder oscuro mediante la magia del Liche.
zts1559e	Magia del Lich fuerte
zts1560e	Aumenta bastante el poder oscuro mediante la magia del Liche.
zts1561e	Fuerza vital del dragón
zts1562e	Regenera el cuerpo con la Fuerza vital del dragón.
zts1563e	Fuerza vital del dragón fuerte
zts1564e	Regenera rápidamente el cuerpo con la Fuerza vital del dragón.
zts1565e	Protección total
zts1566e	Evita todos los daños.
zts1567e	Hechizo prohibido
zts1568e	Crea un no muerto cuando se absorbe toda la voluntad.
zts1569e	Golpe del fantasma (F)
zts1570e	Aprendes el Golpe del fantasma.
zts1571e	Golpe del fantasma (E)
zts1572e	Golpe del fantasma (D)
zts1573e	Golpe del fantasma (C)
zts1574e	Golpe del fantasma (B)
zts1575e	Golpe del fantasma (A)
zts1576e	Golpe del fantasma (S)
zts1577e	Reducción de la oscuridad (F)
zts1578e	Causa una explosión mediante potente energía de las tinieblas.
zts1579e	Reducción de la oscuridad (E)
zts1580e	Reducción de la oscuridad (D)
zts1581e	Reducción de la oscuridad (C)
zts1582e	Reducción de la oscuridad (B)
zts1583e	Reducción de la oscuridad (A)
zts1584e	Reducción de la oscuridad (S)
zts1585e	Orgullo del vikingo (F)
zts1586e	Aumenta el Orgullo del vikingo.
zts1587e	Orgullo del vikingo (E)
zts1588e	Orgullo del vikingo (D)
zts1589e	Orgullo del vikingo (C)
zts1590e	Orgullo del vikingo (B)
zts1591e	Orgullo del vikingo (A)
zts1592e	Orgullo del vikingo (S)
zts1593e	Acompañante de Ragnar, guerrero óseo (F)
zts1594e	Acompañante de Ragnar, guerrero óseo (E)
zts1595e	Acompañante de Ragnar, guerrero óseo (D)
zts1596e	Acompañante de Ragnar, guerrero óseo (C)
zts1597e	Acompañante de Ragnar, guerrero óseo (B)
zts1598e	Acompañante de Ragnar, guerrero óseo (A)
zts1599e	Acompañante de Ragnar, guerrero óseo (S)
zts1600e	Hambriento de éxito
zts1601e	La visión del éxito te da alas.
zts1602e	Fuerza vital
zts1603e	Este diablillo es complicado de atrapar.
zts1604e	Inspiración
zts1605e	Puede descubrir cosas invisibles mediante un talento oculto.
zts1606e	Potenciador del 10.º aniversario
zts1607e	Pasaje al País de los Sueños
zts1608e	Un sueño mágico al que nadie se puede resistir.
zts1609e	Cubo mágico (sigilo)
zts1610e	Puedes moverte inadvertidamente aunque te falten los conocimientos mágicos necesarios.
zts1611e	Cubo mágico (resistencia)
zts1612e	Puedes resistir efectos negativos aunque te falten los conocimientos mágicos necesarios.
zts1613e	Cubo mágico (velocidad de movimiento)
zts1614e	Tu velocidad aumenta aunque te falten los conocimientos mágicos necesarios.
zts1615e	Cubo mágico (aturdimiento)
zts1616e	Puedes causar un aturdimiento aunque te falten los conocimientos mágicos necesarios.
zts1617e	Placaje (F)
zts1618e	Golpeas a tus enemigos con el hombro para hacerlos caer al suelo.
zts1619e	Placaje (E)
zts1620e	Placaje (D)
zts1621e	Placaje (C)
zts1622e	Placaje (B)
zts1623e	Placaje (A)
zts1624e	Placaje (S)
zts1625e	Tenacidad (F)
zts1626e	No necesitas tenerle más miedo a la muere.
zts1627e	Tenacidad (E)
zts1628e	Tenacidad (D)
zts1629e	Tenacidad (C)
zts1630e	Tenacidad (B)
zts1631e	Tenacidad (A)
zts1632e	Tenacidad (S)
zts1633e	Descarga electrostática (F)
zts1634e	Paraliza a los enemigos mediante una potente descarga.
zts1635e	Descarga electrostática (E)
zts1636e	Descarga electrostática (D)
zts1637e	Descarga electrostática (C)
zts1638e	Descarga electrostática (B)
zts1639e	Descarga electrostática (A)
zts1640e	Descarga electrostática (S)
zts1641e	Megaalas de titanio
zts1642e	Transformación en titán
zts1643e	Habilidades especiales de las Megaalas de titanio
zts1644e	Megaoptimización de titán.  Si el valor de mejora de la Tarjeta SP es +15, hay una probabilidad de que tenga lugar la transformación en titán.
zts1645e	Bendición de Año Nuevo grande
zts1646e	Aumenta los puntos de experiencia en un 30 % durante 30 minutos.
zts1647e	Bendición de Año Nuevo
zts1648e	Aumenta los puntos de experiencia en un 10 % durante 30 minutos.
zts1649e	Cambiatinieblas
zts1650e	Puedes moverte rápidamente en sercreto El efecto termina cuando desmontas.
zts1651e	Bloqueo de canto de la mano
zts1652e	Bloquea los ataques enemigos.
zts1653e	Piel de acero
zts1654e	Devuelve la totalidad del ataque al enemigo.
zts1655e	Cuerpo robusto
zts1656e	Aumenta el poder de ataque mediante el uso de energía.
zts1657e	Cuerpo ágil
zts1658e	Aumenta la velocidad de movimiento mediante el uso de energía.
zts1659e	Posición de acecho
zts1660e	Puede utilizar la habilidad 3 veces sin tiempo de espera.
zts1661e	Coro de los ángeles
zts1662e	Hace resonar las voces celestiales de los ángeles.
zts1663e	Puerta del Cielo
zts1664e	El espíritu se aparta y aparece la puerta al cielo.
zts1665e	Soy un campeón.
zts1666e	Muestra el orgullo de un campeón.
zts1667e	Fantasma
zts1668e	Dispones de energía inagotable.
zts1669e	Huida de la novia
zts1670e	Solo recibes efectos positivos.
zts1671e	Transformación
zts1672e	Cambia el estilo de combate.
zts1673e	Energía de Haetae
zts1674e	Mejora las habilidades corporales.
zts1675e	Energía del dragón
zts1676e	Ataques de llamas mejorados.
zts1677e	Carrera de la bestia
zts1678e	Permite un movimiento muy rápido.
zts1679e	Parpadeo de calor
zts1680e	Bloquea los ataques enemigos con una ola de llamas.
zts1681e	Llama final
zts1682e	Desencadena unos fuegos artificiales magníficos.
zts1683e	El arte marcial de Tart Hapendam
zts1684e	Ametralladora
zts1685e	Una potente ametralladora.
