zts1e	ÈŞ½Ä(C)
zts662e	ÀÚÀÚ¸¶·çÀÇ ±âº» °ø°İÀÌ¸ç, »ó´ë¹æ¿¡°Ô ¼ö¸®ÄËÀ» ºü¸£°Ô ´øÁø´Ù.
zts663e	Á¡ÇÁ ÈÄ »ó´ë¹æ¿¡°Ô ¼ö¸®ÄËÀ» ¿©·¯°Ô ´øÁø´Ù.
zts664e	È­¿° °ø°İÀ¸·Î ÀÏÁ÷¼±À¸·Î ¼­ÀÖ´Â Àûµé¿¡°Ô ÇÇÇØ¸¦ ÁØ´Ù.
zts665e	»ó´ë¹æ¿¡°Ô °­·ÂÇÑ ÆøÅºÀ» ´øÁ® ÇÇÇØ¸¦ ÀÔÈù´Ù.
zts666e	¿ø·¡ ÀÚ¸®¿¡ ³ª¹«Åä¸·À» ³²±â°í ÀÚ±â¾ÕÀÇ ÀÏÁ¤°Å¸®·Î ¼ø°£ÀÌµ¿ÇÑ´Ù.
zts667e	ÀÚ½ÅÀÇ ¸ğ½ÀÀ» ¼û±ä´Ù. ¼ûÀº ÈÄ °ø°İÇÏ°Å³ª ´çÇÏ¸é Ç®¸°´Ù.
zts668e	°¡¸¶ÆÄÄïÀ» ¼ÒÈ¯ÇÏ¿© Å¸°í ³»·Á¿À¸ç ÁÖº¯ÀÇ ÀûÀ» °ø°İÇÑ´Ù.
zts669e	ÀÏÁ¤ ½Ã°£µ¿¾È ÀÚÀÚ¸¶·çÀÇ ºĞ½ÅÀ» ¼ÒÈ¯ÇÏ¿© ÀûÀ» °ø°İ ÈÄ »ç¶óÁø´Ù
zts670e	¿À·ÎÁö ³ª¸¶ÁÖ¿¡°Ô¸¸ È¿°ú°¡ ÀÖ´Â ±â¼úÀÌ´Ù.
zts671e	ÀÏÁ¤ ½Ã°£µ¿¾È ±â¸¦ ¸ğÀº ÈÄ ³ª¸¶ÁÖ¿¡°Ô Å« Å¸°İÀ» ÀÔÈù´Ù.
zts672e	Ãµ¶û ´ë½¬
zts673e	ÄÚº¼Æ® Àü»çÀÇ ±â½À
zts674e	¿ä³àÅÚ·¹Æ÷Æ®
zts675e	¾È°³µ¶
zts676e	º» µ¥ºô ±âº»°ø°İ
zts677e	º» µ¥ºô ºí¶óÀÎµå
zts678e	½ºÄÃ È£Å© ±âº»°ø°İ
zts679e	µ¥½º ·£¼­ ±âº»°ø°İ
zts680e	µ¥½º ·£¼­ ÈÙ À©µå
zts681e	µ¥½º ·£¼­ »çÀÏ·±½º
zts682e	µ¥½º ·£¼­ È¯¿µÀÌµ¿
zts683e	ÀÚÀÌ¾ğÆ® ³ªÀÌÆ® ±âº»°ø°İ
zts684e	ÀÚÀÌ¾ğÆ® ³ªÀÌÆ® ¾î½º¼îÅ©
zts685e	ÀÚÀÌ¾ğÆ® ³ªÀÌÆ® »ş¿ìÆÃ
zts686e	ÀÚÀÌ¾ğÆ® ³ªÀÌÆ® ½Çµå½ºÅÏ
zts687e	´ÙÅ©È¥ ±âº»°ø°İ
zts688e	´ÙÅ©È¥ ÆÄÀÌ¾î½ºÅ¸
zts689e	°Å´ë·Î¿ìÂĞ Á¡ÇÁ
zts690e	°Å´ë·Î¿ìÂĞ Æ÷È¿
zts691e	°Å´ë·Î¿ìÂĞ Áß°£Á¡ÇÁ
zts692e	°Å´ë·Î¿ìÂĞ ºü¸¥Á¡ÇÁ
zts693e	ÆÄÀÌ¾î µå·¹ÀÌÅ© ±âº»°ø°İ
zts694e	½ºÄÃ µå·¹ÀÌÅ© ±âº»°ø°İ
zts695e	Å©·Î½ºº¸¿ì¼¦
zts696e	È¦¸® º¼Æ®
zts697e	Æ®¸®ÇÃ º¼Æ®
zts698e	½ÃÁî ¸ğµå
zts699e	µğÆæ½º ¸ğµå
zts700e	ÇÁ·¹ÀÌ ¿Àºê ¸®Ä¿¹ö¸®
zts701e	È¦¸® Å©·Î½º
zts702e	±×·Î¿ì ½Çµå
zts703e	ÇÁ·¹ÀÌ ¿Àºê µğÆæ½º
zts704e	ÇÁ·¹ÀÌ ¿Àºê ¿ÀÆæ½º
zts705e	ÄÁ¼¾Æ®·¹ÀÌÆ¼µå
zts706e	Æú¾Ï ÈÖµÎ¸£±â
zts707e	º£½¬
zts708e	¿À¹öÆäÀÌ½º
zts709e	¼Ò´Ğ ·¯½¬
zts710e	¾Æµå·¹³¯¸° ½ºÆ®¶óÀÌÅ©
zts711e	ÇÁ·»Áö ¾îÅØ
zts712e	ºò½ºÀ®
zts713e	Åä³×ÀÌµµ Ä¿ÆÃ
zts714e	¹ö¼­Å©
zts715e	¶óÀÌÇÁ ¾Ø µ¥¾²
zts716e	¾Æ¸Óºê·¹ÀÌÅ©
zts717e	¼¦°Ç½î±â
zts718e	ÆĞ½ºÆ® ¼¦
zts719e	·°Å° ¿ÍÀÌµå¼¦
zts720e	ºÎ½ºÅÍ ÆÑ
zts721e	Å©·¡¸ğ¾î
zts722e	°Ô½º½©
zts723e	¹ö½ºÆ® ¼¦
zts724e	Çï½º ÆÑ
zts725e	ºÕ ¼¦
zts726e	ÆÄÀÌ¾î ¸¶ÀÎ
zts727e	Çï µå·Ó
zts728e	ºÎ¸Ş¶û´øÁö±â
zts729e	½º³×ÀÌÅ© ·¯½¬
zts730e	ºñ½ºÆ® Å©·Î¿ì
zts731e	ÀÌ±Û ½ºÇÇ¸´
zts732e	¿¤¸®¸àÅ» »şÀÌ´×
zts733e	¼­Å¬ ÇÃ¶óÀ×
zts734e	¿ïÇÁ ½ºÇÇ¸´
zts735e	¿¤¸®¸àÅ» ´Ù¿î
zts736e	¾ÆÀÌºñ
zts737e	º£¾î ½ºÇÁ¸´
zts738e	Æ÷·¹½ºÆ® ÆÄ¿ö
zts739e	¾ÆÀÌ½º º¼
zts740e	¾ÆÀÌ½º »şµå
zts741e	ÇÁ¸®Â¡ ºí·¡½ºÆ®
zts742e	¾ÆÀÌ½º ·£½º
zts743e	¾ÆÀÌ½º Ã¼ÀÎ
zts744e	ÇÁ·ÎÁğ½Çµå
zts745e	±Û·¡ÀÌ¼Å
zts746e	ºí·¡½Ì ¾îºê ¿öÅÍ
zts747e	ºò ÇìÀÏÁî
zts748e	ÀÎÅÙ½º Äİµå
zts749e	ºí¸®ÀÚµå
zts750e	Å©¸®¼Ò½º °ÅÇ°°ø°İ
zts751e	Æ®¸®Äô »Ñ¸®°ø°İ
zts752e	È¦¸® ºê·¹½º
zts753e	Æ®¸®ÇÃ Â÷Â¡
zts754e	»şÀÌ´× ÀÌÆåÆ®
zts755e	ÄÁ¼¾Æ®·¹ÀÌÆ¼Æ®
zts756e	ºÎ½ºÅÍ ¿Â
zts757e	¾ÆÀÌ½º ¶ô
zts758e	½ºÆç¸®º¼¹ö ½î±â
zts759e	ÄŞºñ³×ÀÌ¼Ç ¼¦
zts760e	¸ÅÁ÷ ºí¸®Ã÷
zts761e	°í½ºÆ® °¡µå
zts762e	Ä¿½º ºí¸®Ã÷
zts763e	´ÙÅ© Æ÷½º
zts764e	Æ÷Á¦½ºÆ®
zts765e	°í½ºÆ® Â÷Â¡
zts766e	Æ÷¼Ç Åõ ÀÌºí
zts767e	·¹Äû¿¥
zts768e	°í½ºÆ® ÀÎº£ÀÌÁ¯
zts769e	±×·çÅÍ±â °ø°İ
zts770e	¸®Ã¾Àü±â°ø°İ
zts771e	¸®Ã¾¼ÒÈ¯
zts772e	¿¡¸®Å°¸®¿¤ ÅõÃ¢¸ğµå
zts773e	¾î¹ÌµÎ´õÁö °ø°İ
zts774e	¹Ù½Ç¸®½ºÅ© ¼®È­°ø°İ
zts775e	³ª¹æ°¡·ç °ø°İ
zts776e	·ºÆ®¶ó½º ½ºÅ³°ø°İ
zts777e	±×·¹ÀÌ·£´õ °ø°İ
zts778e	±×·¹ÀÌ·£´õ ½ºÅÏ½ºÅ³
zts779e	Å©¸®¼Ò½º ±âº»°ø°İ
zts780e	¶¥°­¾ÆÁö °ø°İ
zts781e	ÄÁ¼¾Æ®·¹ÀÌÆ®
zts782e	ÆøÅºÆø¹ß
zts783e	ÆøÅºÆø¹ß2
zts784e	±×·çÅÍ±â ¹Ğ±â°ø°İ
zts785e	Å©·¹¸ğ¾î Æø¹ß
zts786e	½ºÅ°µå ±âº»°ø°İ
zts787e	½ºÅ°µå ±Û·¹ÀÌ¼Å
zts788e	´ñÁö ±âº»°ø°İ
zts789e	´ñÁö °Ô½º½©
zts790e	¼¼ÀÌ³ª ±âº»°ø°İ
zts791e	¼¼ÀÌ³ª È¦¸®Å©·Î½º
zts792e	ºò ½ºÀ®
zts793e	¿À¹ö ÆäÀÌ½º
zts794e	¾Æ¸Ó ºê·¹ÀÌÅ©
zts795e	Å©·ç¼¼ÀÌ´õÀÇ ±âº»°ø°İÀÌ´Ù.
zts796e	¼º½º·¯¿î ±â¿îÀ¸·Î ÀûÀ» ¼¶¸êÇÑ´Ù.
zts797e	¼º½º·¯¿î ºûÀÇ È­»ìÀÌ ¼¼ °¥·¡·Î ½î¾ÆÁ® ÀûÀ» ¼¶¸êÇÑ´Ù.
zts798e	¼º½º·¯¿î ºûÀÇ ÈûÀ¸·Î ÁÖº¯ÀÇ ¾ğµ¥µå¸¦ ¾àÈ­½ÃÅ²´Ù.
zts799e	¼º½º·¯¿î ºûÀÇ °¡È£·Î ¼±ÅÃµÈ µ¿·á¸¦ ´õ¿í °­ÇÏ°Ô ¸¸µç´Ù.
zts800e	¼º½º·¯¿î ºûÀÌ µ¿·áµéÀ» °¨½Ñ´Ù.
zts801e	±× ¿µÇâÀ¸·Î Ã¼º¹ÀÌ È¸º¹µÈ´Ù.
zts802e	ºûÀÇ ±â¿îÀÌ Æø¹ßÇÏ¿© °Å´ëÇÑ ½ÊÀÚ°¡¸¦ »ı¼º½ÃÅ²´Ù.
zts804e	ÀÚ½Å°ú µ¿·áµéÀÇ Ã¼·ÂÀ» »ó½Â½ÃÅ²´Ù.
zts805e	ÀÚ½Å°ú µ¿·áµéÀÇ °ø°İ·ÂÀ» »ó½Â½ÃÅ²´Ù.
zts806e	¼º½º·¯¿î ½ÊÀÚ°¡¸¦ ¼ÒÈ¯ÇÏ¿© Àû°ú ±× ÁÖº¯À» ÃÊÅäÈ­ ½ÃÅ²´Ù.
zts807e	µğ½ºÆ®·ÎÀÌ¾îÀÇ ±âº»°ø°İÀÌ´Ù.
zts808e	¼¦°ÇÀ» ¿¬»çÇÏ¿© ÀûÀ» ¼¶¸êÇÑ´Ù.
zts809e	ÁÖº¯ÀÇ ÀûµéÀ» ¼¶¸êÇÑ´Ù.
zts810e	ºÎ½ºÅÍ¸¦ ÀÛµ¿½ÃÄÑ ¼ø°£ÀûÀ¸·Î »¡¶óÁø´Ù.
zts811e	Æ¯¼öÇÑ ÆøÅºÀ» »ç¿ëÇÏ¿© Àû°ú ±× ÁÖº¯À» Æø¹ß½ÃÅ²´Ù.
zts812e	µ¶°¡½º ÅºÀ» ÅÍ¶ß·Á¼­ Àû°ú ÁÖº¯À» Áßµ¶½ÃÅ²´Ù.
zts813e	¼¦°ÇÀÇ Æø¹ßÀûÀÎ À§·ÂÀ» °¡´ÉÇÏ°Ô ÇÑ´Ù.
zts814e	»óÅÂ ÀÌ»óÀ» Ä¡À¯ÇÑ´Ù.
zts815e	ÆøÅºÀ» ´øÁ®¼­ Àû°ú ±× ÁÖº¯À» Æø¹ß½ÃÅ²´Ù.
zts816e	È­¿° Áö·Ú°¡ ÁÖº¯ÀÇ ÀûµéÀ» ÇâÇØ µ¹ÁøÇÑ´Ù.
zts817e	°¡Àå °­·ÂÇÑ ÆøÅºµéÀ» ³­»çÇÑ´Ù.
zts818e	ºí·ç ¸ÅÁö¼ÇÀÇ ±âº»°ø°İÀÌ´Ù.
zts819e	°­·ÂÇÑ ¾óÀ½ÆÄÆíÀ¸·Î ÀûÀ» ¼¶¸êÇÑ´Ù.
zts820e	Â÷°¡¿î ³Ã±â ¸¶¹ıÀ¸·Î ÀûÀ» ¾ó¸°´Ù.
zts821e	¾óÀ½ÀÇ Ã¢ÀÌ ÇÏ´Ã¿¡¼­ ÀûÀ» ÇâÇØ ³»¸® ²È´Â´Ù.
zts822e	¾óÀ½ »ç½½·Î ÁÖÀ§¿¡ ÀûµéÀ» ¹­´Â´Ù.
zts823e	¾óÀ½ÀÇ ÆÄÆíÀ¸·Î ¸¸µé¾îÁø º¸È£¸·À¸·Î ÀûÀÇ °ø°İÀ» ¸·¾Æ³½´Ù.
zts824e	½ÃÀüÀÚÀÇ ÁÖº¯¿¡¼­ ³¯Ä«·Î¿î ¾óÀ½±âµÕÀÌ ¼Ú±¸Ä£´Ù.
zts825e	ºí·¡½Ì ¿Àºê ¿öÅÍ
zts826e	¹°ÀÇ Ãàº¹À» ¹Ş´Â´Ù.
zts827e	°Å´ëÇÑ ¿ì¹ÚÀ¸·Î Àû°ú ±× ÁÖº¯À» ¾ø¾Ø´Ù.
zts828e	°­·ÂÇÑ ³Ã±â·Î ÀûµéÀ» µ¿°á ½ÃÅ²´Ù.
zts829e	°­·ÂÇÑ ³Ã±â ÆøÇ³À¸·Î ¸ğµç ÀûµéÀ» ¼¶¸êÇÑ´Ù.
zts830e	ÇïµàÅ© ½ºÅ³
zts831e	±× ¿µÇâÀ¸·Î Ã¼·ÂÀÌ È¸º¹µÈ´Ù.
zts832e	¹Ì½ºÆ½¾Æ·Ğ
zts833e	´«»ç¶÷Áß°£1¿¡¼­Æò¹ü
zts834e	´«»ç¶÷Áß°£1¿¡¼­¹ö·°1
zts835e	´«»ç¶÷Áß°£2¿¡¼­Æò¹ü
zts836e	´«»ç¶÷Áß°£2¿¡¼­¹ö·°2
zts837e	¹Ì½ºÆ½³ªÀÌÆ®
zts838e	°Å´ëÇÑ ¹æÆĞ¸¦ »ı¼ºÇØ ¹æ¾î·ÂÀ» ±Ø´ëÈ­ ÇÑ´Ù.
zts840e	´«»ç¶÷±âº»°ø°İ
zts841e	µ¿·á¸¦ º¸È£ÇÏ±â À§ÇÑ ¹æÆĞ¸¦ »ı¼ºÇÏ¿© ÁÖº¯ÀÇ ¸ó½ºÅÍµéÀ» µµ¹ßÇÑ´Ù.
zts842e	ÈÖÆ®´Ï±âº»°ø°İ
zts843e	ÈÖÆ®´ÏÄ¿½ººí¸®Ã÷
zts844e	¹Ì½ºÆ½³ªÀÌÆ® ´ë½¬
zts845e	ÄíÆä ±âº»°ø°İ
zts846e	ÄíÆä ½º³×ÀÌÅ©
zts847e	Àú½ºÆ¾ ±âº»°ø°İ
zts848e	Àú½ºÆ¾ ºò½ºÀ®
zts849e	¹ö¼­Ä¿ÀÇ ±âº» °ø°İÀÌ´Ù
zts850e	¿ÍÀÏµåÅ°ÆÛÀÇ ±âº» °ø°İÀÌ´Ù
zts851e	´ÙÅ©°Å³ÊÀÇ ±âº» °ø°İÀÌ´Ù
zts852e	¹ö¼­Ä¿ÀÇ ±âº» °ø°İÀÌ´Ù.
zts853e	°Å´ëÇÑ ¹«±â¸¦ »ç¿ëÇØ¼­ »ó´ë¸¦ ¿Ã·ÁÄ£´Ù.
zts854e	¹«±â¿¡ ¾îµÒÀÇ ±â¿îÀ» ´ã¾Æ Àû°ú ±× ÁÖº¯À» Å©°Ô ÈÄ·ÁÄ£´Ù.
zts855e	¸ö¼Ó ±íÀº °÷¿¡¼­ ±¤±âÀÇ ÈûÀ» ²ø¾î³» ÀüÅõ·ÂÀ» »ó½Â½ÃÅ°Áö¸¸,
zts856e	¹æ¾î·ÂÀº °¨¼ÒÇÑ´Ù.
zts857e	±¤±âÀÇ ÈûÀ» ²ø¾î³»¼­ ÀûÀ» ÇâÇØ ¸Í·ÄÈ÷ µ¹ÁøÇÑ´Ù.
zts858e	±¤±âÀÇ ÈûÀ¸·Î ÀûÀ» ³­Å¸ÇÑ´Ù.
zts859e	±¤Æ÷ÇÑ »óÅÂ·Î Àû°ú ±× ÁÖº¯À» ³­Å¸ÇÑ´Ù.
zts860e	°Å´ëÇÑ ¹«±â¸¦ »ç¿ëÇØ¼­ ÀûÀÇ ¹æ¾î¸¦ ¹«·ÂÈ­ ½ÃÅ²´Ù.
zts861e	±¤±âÀÇ ÈûÀ¸·Î ´ëÁö¿Í ÇÔ²² ÀûÀ» °¥¶ó¹ö¸°´Ù.
zts862e	ÀÚ½ÅÀÇ »ı¸í·ÂÀ» ´ë°¡·Î ÀüÅõ·ÂÀ» Å©°Ô »ó½Â½ÃÅ²´Ù.
zts863e	±¤±â¿Í ¾îµÒÀÇ ÈûÀ¸·Î ÀÚ½ÅÀÇ ¸öÀ» È¸Àü½ÃÄÑ ÁÖº¯À» ³­Å¸ÇÑ´Ù.
zts864e	¿ÍÀÏµåÅ°ÆÛÀÇ ±âº» °ø°İÀÌ´Ù.
zts865e	µÎ°³ÀÇ ºÎ¸Ş¶ûÀ» µ¿½Ã¿¡ ³¯·Á ÀûÀ» °­Å¸ÇÑ´Ù.
zts866e	ºÎ¸Ş¶ûÀ» Á÷¼±À¸·Î ³¯·Á ÀûÀ» °¥¶ó¹ö¸°´Ù.
zts867e	µ¶¼ö¸® È¥À» ºÒ·¯ Á¤È®ÇÑ °ø°İÀ» ÇÒ ¼ö ÀÖ°Ô ÇÑ´Ù.
zts868e	´ëÀÚ¿¬ÀÇ ±â¿îÀ» ºÒ·¯ ¸ö¿¡ ÀÚ¿¬ÀÇ ±â¿îÀÌ Ãæ¸¸ÇÏ°Ô ¸¸µç´Ù.
zts869e	ºÎ¸Ş¶ûÀ» °­ÇÏ°Ô È¸Àü½ÃÄÑ ÁÖº¯ÀÇ ÀûµéÀ» °¥¶ó ¹ö¸°´Ù.
zts870e	´Á´ëÀÇ È¥À» ºÒ·¯ ¹ÎÃ¸ÇÏ°Ô ¸¸µç´Ù.
zts871e	Àû¿¡°Ô¼­ ´ëÀÚ¿¬ÀÇ ±â¿îÀ» °ÅµÖµå¸°´Ù.
zts872e	¿©·¯°³ÀÇ ºÎ¸Ş¶ûÀ» µ¿½Ã¿¡ »ç¹æÀ¸·Î ´øÁ® ÁÖº¯ÀÇ ÀûÀ» °¥¶ó¹ö¸°´Ù.
zts873e	°õÀÇ È¥À» ºÒ·¯ ¸öÀ» °­ÀÎÇÏ°Ô ¸¸µç´Ù.
zts874e	°Å´ëÇÑ ºÎ¸Ş¶û¿¡ ´ëÀÚ¿¬ÀÇ ±â¿îÀ» ºÎ¿©ÇÏ¿© ³¯¸°´Ù.
zts875e	´ÙÅ©°Å³ÊÀÇ ±âº» °ø°İÀÌ´Ù.
zts876e	½ºÆç¸®º¼¹ö¸¦ ºü¸£°Ô ¿¬»çÇÑ´Ù.
zts877e	Æø¹ßÇü ÅºÈ¯À» ÀåÀüÇØ¼­ ÀûÀ» ÇâÇØ ½ğ´Ù.
zts878e	°è¾àµÈ ¾Ç¸¶°¡ ¼ÒÈ¯µÇ¾î ¾îµÒÀÇ ±â¿îÀ¸·Î °è¾àÀÚ¸¦ ÁöÅ²´Ù.
zts879e	ÀúÁÖ°¡ °É¸° ÅºÈ¯À» ÀåÀüÇØ¼­ ÀûÀ» ÇâÇØ ½ğ´Ù.
zts880e	°è¾àµÈ ¾Ç¸¶°¡ °è¾àÀÚ¿¡°Ô ¾îµÒÀÇ ±â¿îÀ» ºÎ¿©ÇÑ´Ù.
zts881e	°è¾àµÈ ¾Ç¸¶°¡ Àû¿¡°Ô ÀúÁÖ¸¦ °Ç´Ù.
zts882e	ÀúÁÖ¹ŞÀº ¾Ç·ÉÀÌ ´ã±ä ÅºÈ¯À» ÀåÀüÇÏ¿© ¿¬»çÇÑ´Ù.
zts883e	¾îµÒÀÇ ±â¿îÀ» »Õ¾î³» Àû¿¡°Ô ½É´Â´Ù.
zts884e	°è¾àµÈ ¾Ç¸¶ÀÇ ÁøÈ¥°îÀ¸·Î ÀÎÇØ ÁÖº¯ÀÇ ÀûÀº °øÆ÷¿¡ Áú·Á µµ¸Á°¡¸ç »ı¸í·ÂÀ» Èí¼ö´çÇÑ´Ù.
zts885e	ÀúÁÖ¹ŞÀº ¾Ç·ÉÀÌ ´ã±ä ÅºÈ¯À» ÁÖº¯¿¡ ³­»çÇÑ´Ù.
zts886e	Ä¸Ææ µû±Í½ºÅ³
zts887e	ÀèÆæ µ¿·áµ¥·Á¿À±â
zts888e	³ë¿Ã Á¤Âûº´ ±×¹°½ºÅ³
zts889e	³ë¿Ã µ¹°İº´ ¼ÒÈ¯½ºÅ³
zts890e	¿Í·¹½ºÇåÅÍ ±×¹°½ºÅ³
zts891e	¿¹Æ¼ ³Ã±â¹Ù¶÷
zts892e	ÇÁ·ÎÅ¸ ¹°¾î¶â±â
zts893e	¼³Èñ Ã¢²Å±â
zts894e	·¹ÀÌ½º Èí¼ö
zts895e	¸àÆ¼½º°í¾î ³´°ø°İ
zts896e	¹«Å©¶óÁê ÁöÆÎÀÌ °ø°İ
zts897e	º¹µÅÁö ¹öÇÁ
zts898e	È÷½º¶õÆ® ½ºÅ³ °ø°İ
zts899e	¹«Å©¶óÁê ±âº»°ø°İ
zts900e	¸ğÄ­ ¿ö¸®¾î ½ºÅ³°ø°İ
zts901e	¸ô´Ù½º ¿ö¶ô ½ºÅ³°ø°İ
zts902e	·Îµå ¸ğ¸£ÄÚ½º ½ºÅ³1
zts903e	·Îµå ¸ğ¸£ÄÚ½º ½ºÅ³2
zts904e	±øÆæ ¹èÄ¡±â
zts905e	¹«Å©¶óÁê ÅÚ·¹Æ÷Æ®
zts906e	Ä¸Ææ ¼ÒÈ¯½ºÅ³
zts907e	³ë¿Ã Á¤Âûº´ ¼ÒÈ¯½ºÅ³
zts908e	È÷½º¶õÆ® ±âº»°ø°İ
zts909e	¾îµÒÀÇ °¨½ÃÀÚ ½ºÅ³
zts910e	¾îµÒÀÇ ÃßÀûÀÚ ½ºÅ³
zts911e	¾îµÒÀÇ Æ÷½ÄÀÚ ½ºÅ³
zts912e	¸ô´Ù½º ¿ö¶ô ±âº»°ø°İ
zts913e	ÆÄ¼ö°ß ¼ÒÈ¯½ºÅ³
zts914e	¹®Áö±â ÃâÇ÷
zts915e	Á¦»çÀå ÀúÇ×·ÂÇÏ¶ô
zts916e	¼öÈ£ÀÚ ½½·Î¿ì
zts917e	È¯¿µ(±Ã»ç) Ä¡¸íÅ¸
zts918e	È¯¿µ(ÁÖ¼ú»ç) ÀúÇ×·ÂÇÏ¶ô
zts919e	È¯¿µ(°Ë»ç) ¹æ¾îÇÏ¶ô
zts920e	º£¸®¿À½º ÀáÀç¿ì±â
zts921e	»ç³É²Û ÀÌµ¿ºÒ°¡
zts922e	¼öÈ£ÀÚ ¹æ¾î·ÂÇÏ¶ô
zts923e	ÃßÀûÀÚ ÃâÇ÷
zts924e	ÁöÇÏ¸¶¼ö ½ºÅ³°ø°İ
zts925e	½Ó´ß Åä³×ÀÌµµ
zts926e	¶ó³×Åº ±âº»°ø°İ
zts927e	Èæ¸¶°ß ±âº»°ø°İ
zts928e	Ä«ÀÏ±Ô¾î ±âº»°ø°İ
zts929e	ÆÄÆíµÕ±¸¸® ½ºÅ³°ø°İ
zts930e	³ª¹«»Ñ¸®¾Ç·É ½ºÅ³°ø°İ
zts931e	½½¶óµå»çÁ¦ ¼ÒÈ¯½ºÅ³
zts932e	½½¶óµå µ¿»ó ½ºÅ³°ø°İ
zts933e	¿Õ°Å¸Ó¸® ½ºÅ³°ø°İ
zts934e	¹Ù½Ç¸®½ºÅ© ÁÖº¯°ø°İ
zts935e	Æ®¸®ÄôÆ®¸®Äô ±âº»°ø°İ
zts936e	Æ®¸®ÄôÆ®¸®Äô ¹üÀ§°ø°İ
zts937e	¸ğ¸£ÄÚ½º ±âº»°ø°İ
zts938e	¸ğ¸£ÄÚ½º ¼ÒÈ¯½ºÅ³
zts939e	¾Ö¿Ï°ß ¼ÒÈ¯½ºÅ³
zts940e	½½¶óµå»çÁ¦ ±âº»°ø°İ
zts941e	Å· ¹Ù½Ç¸®½ºÅ© ±âº» °ø°İ
zts942e	Ãµ³â¹¬Àº ÀÎ»ï ±âº»°ø°İ
zts943e	À§¼ºµÕ±¸¸® ±âº»°ø°İ
zts944e	°Å´ëº´¾Æ¸® ±âº»°ø°İ
zts945e	ÀÚÀÌ¾ğÆ® ¿ö¸®¾î ±âº»°ø°İ
zts946e	Ãµ³â¹¬Àº°¨ÀÚ ¼ÒÈ¯
zts947e	ÇÏÅõ½º °ø°İ½ºÅ³
zts948e	³«¼®°ø°İ1
zts949e	³«¼®°ø°İ2
zts950e	ÈŞ½Ä
zts951e	(C)
zts952e	Áİ±â
zts953e	(X,`)
zts954e	½ÅÃ¼ ´É·ÂÀ» 5 ³ô¿©ÁØ´Ù.
zts955e	½ÅÃ¼ ´É·ÂÀ» 15 ³ô¿©ÁØ´Ù.
zts956e	[ÃÖ°í] ±Ù·Â °­È­ ÄÚ½º
zts957e	½ÅÃ¼ ´É·ÂÀ» 60 ³ô¿©ÁØ´Ù.
zts958e	¹ÎÃ¸À» 5 ³ô¿©ÁØ´Ù.
zts959e	¹ÎÃ¸À» 15 ³ô¿©ÁØ´Ù.
zts960e	¹ÎÃ¸À» 60 ³ô¿©ÁØ´Ù.
zts961e	Á¤½Å ´É·ÂÀ» 5 ³ô¿©ÁØ´Ù.
zts962e	Á¤½Å ´É·ÂÀ» 30 ³ô¿©ÁØ´Ù.
zts963e	Á¤½Å ´É·ÂÀ» 60 ³ô¿©ÁØ´Ù.
zts964e	ÃÖ´ë HP¾çÀ» 300 Áõ°¡½ÃÄÑÁØ´Ù
zts965e	ÃÖ´ë HP¾çÀ» 1000 Áõ°¡½ÃÄÑÁØ´Ù
zts966e	ÃÖ´ë HP¾çÀ» 3000 Áõ°¡½ÃÄÑÁØ´Ù
zts967e	ÃÖ´ë MP¾çÀ» 300 Áõ°¡½ÃÄÑÁØ´Ù
zts968e	ÃÖ´ë MP¾çÀ» 1000 Áõ°¡½ÃÄÑÁØ´Ù
zts969e	ÃÖ´ë MP¾çÀ» 3000 Áõ°¡½ÃÄÑÁØ´Ù
zts970e	[ÃÊ±Ş]ÀÚ¿¬Ä¡À¯
zts971e	¾ğµ¥µåÆ¯È­
zts972e	ÇÏ±Ş ¾ğµ¥µåÀ» °ø°İÇÒ °æ¿ì ±ÙÁ¢ °ø°İ·ÂÀ» ³ô¿©ÁØ´Ù
zts973e	Æ÷È¹ÇÏ´Â ¹æ¹ı
zts974e	1. µ¿¹° ¸ó½ºÅÍ¸¦ ¼±ÅÃÇÑ µÚ Å¸°ÙÃ¢¿¡ Æ÷È¹ ¾ÆÀÌÄÜÀÌ ÀÖ´ÂÁö È®ÀÎ
zts975e	2. ÀÚ½Åº¸´Ù ³·Àº ·¹º§ÀÇ ¸ó½ºÅÍ¸¦ °ø°İÇÏ¿© HP¸¦ 50% ¹Ì¸¸À¸·Î ¸¸µç´Ù
zts976e	3. Æ÷È¹ ½ºÅ³À» »ç¿ëÇÑ´Ù
zts977e	4. ½ÇÆĞ½Ã ½ºÅ³ Àç½ÃÀü½Ã°£À» ±â´Ù¸° ÈÄ ´Ù½Ã ½ÃµµÇÑ´Ù
zts978e	°ø°İ·Â»ó½Â 1Lv
zts979e	ºĞ³ëÀÇ ÀÏ°İÀÇ ±ÙÁ¢ °ø°İ·ÂÀ» ³ô¿©ÁØ´Ù
zts980e	°ø°İ·ÂÀÌ »ó½ÂÇÑ´Ù.
zts981e	Ä«¿îÆ®½½·¡½ÃÀÇ ±ÙÁ¢ °ø°İ·ÂÀ» ³ô¿©ÁÖ°í, Ä¡¸íÅ¸ µ¥¹ÌÁö¸¦ Áõ°¡½ÃÄÑÁØ´Ù
zts982e	¾î½º¿şÀÌºêÀÇ ±ÙÁ¢ °ø°İ·ÂÀ» ³ô¿©ÁØ´Ù
