zts1e	초보모험가 학습코스
zts1058e	중앙성소를 조사해야 합니다. 무언가 아스터사원 지하성소에 발생한 사건에 중대한 단서를 찾을 수 있을 것같습니다.
zts1059e	아스터사원의 사제 베라가 대사제 엘라딘에게 보고서를 전달해달라고 합니다.
zts1060e	아스터사원 지하성소의 혼란
zts1061e	사제 베라가 아스터사원 지하성소의 서고에 있는 유령들을 처치한뒤 영혼의 정수를 가져와달라고 합니다.
zts1062e	사제 베라가 아스터사원 지하성소의 납골당에 있는 유령들을 처치한뒤 영혼의 정수를 가져와달라고 합니다.
zts1063e	사제 베라가 아스터사원 지하성소의 예배당에 있는 유령들을 처치한뒤 영혼의 정수를 가져와달라고 합니다.
zts1064e	사제 베라가 아스터사원 지하성소의 중앙성소에 있는 유령들을 처치한뒤 영혼의 정수를 가져와달라고 합니다.
zts1065e	사제 베라가 지금까지 모아온 영혼의 정수가 담긴 마법주머니를 대사제 엘라딘에게 전해달라고 합니다.
zts1066e	불쌍한 영혼들에게 안식을
zts1067e	아스터사원의 대사제 엘라딘이 아카무르상단 본점에 가서 예전에 부탁한 주문목록을 확인해달라고 합니다.
zts1068e	아카무르상단 본점의 네피 아카무르는 아스터사원 주문목록의 목록은 이미 대리인 세미아 펠튼이 조사하고 있다고 합니다.
zts1069e	아카무르상단 본점의 세미아 펠튼은 주문목록에 적힌 물품은 가톤의 야영지에 있다고 합니다.
zts1070e	아카무르상단본점의 세미아 펠튼이 향로가 담긴 꾸러미를 대사제 엘라딘에게 전달해야 합니다.
zts1071e	아스터사원의 대사제 엘라딘이 태양신의 축복이 담긴 향로를 가지고 아스터사원 어딘가에 있을 사제의 영혼을 찾아서 추모를 해달라고 합니다.
zts1072e	아스터사원 지하성소에 있는 사제 노라가 서고에 있는 죽은 사제의 시체에 향을 사용해달라고 합니다.
zts1073e	아스터사원 지하성소에 있는 사제 노라가 납골당에 있는 죽은 사제의 시체에 향을 사용해달라고 합니다.
zts1074e	아스터사원 지하성소에 있는 사제 노라가 예배당에 있는 죽은 사제의 시체에 향을 사용해달라고 합니다.
zts1075e	아스터사원 지하성소에 있는 사제 노라가 예배당에 있는 죽은 트레져헌터의 시체에 향을 사용해달라고 합니다.
zts1076e	사제 노라가 죽은자의 편지를 읽을 수 있는 사람에게 전해달라고 합니다.
zts1077e	해독된 죽은 자의 편지를 대사제 엘라딘에게 전달해야 합니다. 아마도 편지 내용에 대해서 알려줄 것같습니다.
zts1078e	부서진 유물과 단서
zts1079e	부서진 그레니가스의 유물을 대사제 엘라딘에게 전달해야합니다.
zts1080e	아스터사원의 대사제 엘라딘이 아스터사원의 지하성소에서 그레니가스의 유물조각을 찾은 뒤에 사제 베라에게 전달해달라고 합니다.
zts1081e	아스터사원의 사제 베라가 아스터사원의 지하성소 납골당에서 그레니가스의 유물조각을 찾아달라고 합니다.
zts1082e	아스터사원의 사제 베라가 아스터사원의 지하성소 예배당에서 그레니가스의 유물조각을 찾아달라고 합니다.
zts1083e	아스터사원의 사제 베라가 지하성소 중앙성소에서 그레니가스의 유물조각을 찾아달라고 합니다.
zts1084e	실종된 조사대원
zts1085e	트레져헌터 본부에 있는 리아 아카무르가 사라진 조사대원들을 찾아달라고 합니다.
zts1086e	트레져헌터 본부에 있는 시린 헤이즐이 가톤의 야영지에 있는 사막도적단에게서 잊혀진 사원 보고서를 찾아달라고 합니다.
zts1087e	트레져헌터 본부에 있는 시린 헤이즐이 잊혀진 사원 길목에 있는 사막도적단들에게서 잊혀진 사원 보고서를 얻은 뒤에 잊혀진 사원에 있는 조사대원을 찾아달라고 합니다.
zts1088e	잊혀진 사원에 있는 미콜 라본즈가 조사대원들이 부상을 치료할때까지 시간을 벌어달라고 합니다.
zts1089e	잊혀진 사원에 있는 미콜 라본즈가 괴물들에게 빼앗긴 태양신의 서판 조각을 회수해달라고 합니다.
zts1090e	잊혀진 사원에 있는 미콜 라본즈가 그동안 조사했던 것들을 트레져헌터 본부에 있는 시린 헤이즐에게 전달해달라고 합니다.
zts1091e	트레져헌터 본부의 시린 헤이즐이 미콜의 보고서를 리아 아카무르에게 전달해달라고 합니다.
zts1092e	잊혀진 사원 조사
zts1093e	잊혀진사원에 있는 미콜 라본즈가 주변의 조사를 위해서 괴물들을 처치해달라고 합니다.
zts1094e	잊혀진사원에 있는 미콜라본즈가 주변의 조사를 위해서 괴물들을 처치해달라고 합니다.
zts1095e	잊혀진사원에 있는 미콜라본즈가 주변의 조사를 위해서 특정지역C에 있는 괴물들을 처치해달라고 합니다.
zts1096e	잊혀진 사원의 미콜 라보즈가 다른 조사원이 잃어버린 잊혀진 사원 추가 보고서를 찾아달라고 합니다.
zts1097e	잊혀진 사원의 미콜 라본즈가 그동안의 작성된 잊혀진 사원 조사 보고서를 트레져헌터 본부에 있는 접수인 시린 헤이즐에게 전달해달라고 합니다.
zts1098e	트레져헌터 본부에 있는 접수인 시린 헤이즐이 자신이 작성한 초간단 조사보고서를 리아 아카무르에게 전달해달라고 합니다.
zts1099e	잊혀진 사원 유적의 정체
zts1100e	잊혀진 사원의 미콜 라본즈가 첫번째 서판을 가져와 달라고 합니다.
zts1101e	잊혀진 사원의 미콜 라본즈가 두번째 서판을 가져와 달라고 합니다.
zts1102e	잊혀진 사원의 미콜 라본즈가 세번째 서판을 가져와 달라고 합니다.
zts1103e	잊혀진 사원에 있는 미콜 라본즈가 괴물에게서 깨진 서판을 찾아달라고 합니다.
zts1104e	잊혀진 사원의 미콜 라본즈가 서판 꾸러미를 가지고 트레져헌터 본부에 있는 접수인 시린 헤이즐에게 전해달라고 합니다.
zts1105e	트레져헌터 본부에 있는 시린 헤이즐이 리아전용 초간단 해석서를 리아 아카무르에게 전달해달라고 합니다.
zts1106e	라시드사원의 수호자
zts1107e	잊혀진 사원에 있는 미콜 라본즈가 라시드사원 지하성소의 조사를 위해서 서고 쪽의 괴물들을 처치해달라고 합니다.
zts1108e	잊혀진 사원에 있는 미콜 라본즈가 라시드사원 지하성소의 조사를 위해서 납골당 쪽의 괴물들을 처치해달라고 합니다.
zts1109e	잊혀진 사원에 있는 미콜 라본즈가 라시드사원 지하성소의 조사를 위해서 예배당 쪽의 괴물들을 처치해달라고 합니다.
zts1110e	잊혀진 사원에 있는 미콜 라본즈가 라시드사원 지하성소의 조사를 위해서 지하성소 쪽의 괴물들을 처치해달라고 합니다.
zts1111e	잊혀진 사원에 있는 미콜 라본즈가 자신이 작성한 라시드사원 수호자에 대한 보고서를 트레져헌터 본부에 있는 시린 헤이즐에게 전해달라고 합니다.
zts1112e	트레져헌터 본부에 있는 시린 헤이즐이 라시드사원의 수호자: 간단보고서를 리아 아카무르에게 전달해달라고 합니다.
zts1113e	라시드사원의 유물
zts1114e	잊혀진 사원의 미콜 라본즈가 라시드사원 지하성소에 흩어져 있는 부서진 유물조각을 찾아달라고 합니다. 서고를 조사하는 것이 좋을 것같습니다.
zts1115e	잊혀진 사원의 미콜 라본즈가 라시드사원 지하성소에 흩어져 있는 부서진 유물조각을 찾아달라고 합니다. 납골당을 조사하는 것이 좋을 것같습니다.
zts1116e	잊혀진 사원의 미콜 라본즈가 라시드사원 지하성소에 흩어져 있는 부서진 유물조각을 찾아달라고 합니다. 예배당을 조사하는 것이 좋을 것같습니다.
zts1117e	잊혀진 사원의 미콜 라본즈가 라시드사원 지하성소에 흩어져 있는 부서진 유물조각을 찾아달라고 합니다. 중앙성소를 조사하는 것이 좋을 것같습니다.
zts1118e	잊혀진 사원의 미콜 라본즈가 라시드사원 유물잔해를 담은 주머니를 가지고 트레져헌터 본부에 있는 접수인 시린 헤이즐에게 전달해달라고 합니다.
zts1119e	트레져헌터 본부의 접수인 시린 헤이즐이 라시드사원의 유물: 간단보고서를 리아 아카무르에게 전달해달라고 합니다.
zts1120e	라시드사원의 비밀
zts1121e	잊혀진 사원의 미콜 라본즈가 라시드사원 지하성소에서 부서진 서판A을 찾아달라고 합니다. 입구에서 가장 가까운 서고에서부터 조사하는 것이 좋을 것같습니다.
zts1122e	잊혀진 사원의 미콜 라본즈가 라시드사원 지하성소에서 부서진 서판B을 찾아달라고 합니다. 이번에는 납골당을 조사하는 것이 좋을 것같습니다.
zts1123e	잊혀진 사원의 미콜 라본즈가 라시드사원 지하성소에서 부서진 서판C을 찾아달라고 합니다. 이번에는 예배당을 조사하는 것이 좋을 것같습니다.
zts1124e	잊혀진 사원의 미콜 라본즈가 라시드사원 지하성소에서 부서진 서판D을 찾아달라고 합니다. 이번에는 중앙성소를 조사하는 것이 좋을 것같습니다.
zts1125e	잊혀진 사원의 미콜 라본즈가 조사원의 배낭을 가지고 트레져헌터 본부에 있는 접수인 시린 헤이즐에게 전달해달라고 합니다.
zts1126e	트레져헌터 본부에 있는 시린 헤이즐이 자신이 작성한 라시드사원의 실종자: 간단보고서을 리아 아카무르에게 전달해달라고 합니다.
zts1127e	까마귀 머피라는 남자
zts1128e	무법지대에 있는 까마귀 머피는 술값이 부족하다며 자신이 잘 아는 칼잡이 벨몬에게 돈을 빌려가지고 올 것을 부탁합니다.
zts1129e	무법지대에 있는 칼잡이 벨몬이 까마귀 머피의 우울증을 고칠 마법에 쓸 재료를 구해달라고 합니다. 모래정령의 정수라는 것이 필요합니다.
zts1130e	무법지대에 있는 칼잡이 벨몬이 까마귀 머피의 우울증을 고칠 마법에 쓸 재료를 구해달라고 합니다. 바람정령의 정수라는 것이 필요합니다.
zts1131e	무법지대에 있는 칼잡이 벨몬이 까마귀 머피의 우울증을 고칠 마법에 쓸 재료를 구해달라고 합니다. 가톤의 야영지에서 럼주와 요정의 꿈가루를 구해달라고 합니다.
zts1132e	무법지대의 칼잡이 벨몬이 꾸러미를 주면서 아스터사원의 대사제 엘라딘에게 우울증 치료제를 만들어달라는 부탁을 해달라고 합니다.
zts1133e	아스터사원의 대사제 엘라딘이 특별한 럼주를 아카무르상단의 대리인 세미아 펠튼에게 가져가면 일반 럼주로 꾸며줄 것이라고 합니다.
zts1134e	아카무르상단 본점의 대리인 세미아 펠튼이 럼주를 새로 포장해서 줍니다. 이것으로 까마귀 머피의 우울증이 나을 것같습니다.
zts1135e	무법지대의 까마귀 머피는 잠에 들었습니다. 칼잡이 벨몬에게 가서 까마귀 머피가 잠든 것을 알려주어야 합니다.
zts1136e	사막도적단 두목에게 보내는 편지
zts1137e	두목에게 보내는 편지는 조각처럼 나누어져 있는 것같습니다. 조각을 찾게 되면 아카무르상단 본점의 대리인 세미아 펠튼에게 문의해봐야 할 것같습니다.
zts1138e	아카무르상단 본점의 대리인 세미아 펠튼은 정보제공의 대가로 데이지 언덕에 있는 괴물을 처치해달라고 합니다. 그후 무법지대의 벨몬을 찾아야합니다.
zts1139e	무법지대의 칼잡이 벨몬은 자신이 이끌고 있는 무법지대의 경비대를 도와달라고 합니다.
zts1140e	무법지대의 칼잡이 벨몬은 원하는 정보를 얻으려면 까마귀 머피를 찾아가서 물어보라고 합니다.
zts1141e	무법지대의 까마귀 머피는 그 편지의 내용은 자신에게 보낸 것이 맞다고 합니다. 하지만 관심없으니 칼잡이 벨몬과 상의하라고 합니다.
zts1142e	사막도적단의 방식
zts1143e	무법지대의 까마귀 머피가 술값이 떨어졌다고 칼잡이 벨몬에게 술을 얻어오라고 합니다. 어처구니가 없지만 도와줘서 나쁠 것은 없어보입니다.
zts1144e	무법지대의 칼잡이 벨몬이 무법지대 수비대의 업무를 도와달라고 합니다.
zts1145e	무법지대의 칼잡이 벨몬이 사막도적단 소굴에 있는 대리인 루샬딘에게서 사막도적단의 상황에 대해서 알아보라고 합니다.
zts1146e	사막도적단 소굴의 대리인 루샬딘이 사막도적단 소굴의 사막도적단을  처치해달라고 합니다.
zts1147e	사막도적단 소굴의 대리인 루샬딘이 옛아스터사원의 지하에 있는 반역자 빌리에게 찾아가라고 합니다.
zts1148e	옛아스터사원 지하에 있는 반역자 빌리가 주변에 자신을 감시하는 사막도적단을 처치해달라고 합니다.
zts1149e	옛아스터사원 지하에 있는 반역자 빌리가 사막도적단의 지휘체계를 혼란시키기 위해서 부대장 쇼란과 부대장 쎄이를 처치해달라고합니다.
zts1150e	옛아스터사원 지하에 있는 반역자 빌리가 사막도적단 두목의 인장을 칼잡이 벨몬에게 전해달라고 합니다.
zts1151e	무법지대의 칼잡이 벨몬이 사막도적단 두목의 인장을 본래의 주인에게 돌려주어야한다고 합니다. 그가 손가락으로 가리킨 곳은 까마귀 머피가 있는 곳입니다.
zts1152e	지금은 지켜야할 때.
zts1153e	무법지대의 칼잡이 벨몬이 무법지대 인근지역과 데이지 언덕에 있는 괴물들을 처치해달라고 합니다.
zts1154e	무법지대의 칼잡이 벨몬이 무법지대와 케루스 야영지의 사막도적단을 처치해달라고 합니다.
zts1155e	무법지대의 칼잡이 벨몬이 가톤의 야영지의 사막도적단들을 처치해달라고 합니다.
zts1156e	사막도적단의 분열
zts1157e	옛아스터사원 지하에서 여행자의 일지를 발견했습니다. 이것에 대해서 알고 있는 사람을 찾아야 합니다. 반역자 빌리라면 알고 있을지 모릅니다.
zts1158e	옛아스터사원 지하에서 반역자 빌리가 사막도적단 소굴의 특정지역에서 요정의 가루들을 구해달라고 합니다. 일단 요정의 가죽 주머니를 먼저 찾아야합니다.
zts1159e	옛아스터사원 지하의 반역자 빌리가 주변의 사막도적단에게서 수상한 주머니들을 가져와 달라고 합니다.
zts1160e	옛아스터사원 지하의 반역자 빌리가 빌리의 수상한 꾸러미를 사막도적단 소굴에 있는 대리인 루샬딘에게 전해달라고 합니다.
zts1161e	사막도적단 소굴의 대리인 루샬딘이 자신의 친구에게 빌리의 수상한 꾸러미와 대리인 루샬딘의 편지를 전해달라고 합니다. 친구는 무법지대에 있다고 말합니다.
zts1162e	무법지대의 대리인 루샬딘이 까마귀 머피에게 대리인 루샬딘의 편지를 전해달라고 합니다.
zts1163e	원인 없는 결과는 없다
zts1164e	사막도적단 소굴의 남서쪽을 조사해달라고 합니다. 조사를 방해하는 사막도적단에는 적절한 대처를 요구했습니다.
zts1165e	사막도적단 소굴의 남동쪽을 조사해달라고 합니다. 조사를 방해하는 사막도적단에는 적절한 대처를 요구했습니다.
zts1166e	사막도적단 소굴의 동쪽을 조사해달라고 합니다. 조사를 방해하는 사막도적단에는 적절한 대처를 요구했습니다.
zts1167e	사막도적단 소굴에서 약을 제조하는 장소를 찾아 조사해달라고 합니다. 조사를 방해하는 사막도적단에는 적절한 대처를 요구했습니다.
zts1168e	사막도적단 소굴의 쉬고있는 도적에게 수상한 약병을 사용한 뒤에 경과를 지켜보고 알려달라고 합니다.
zts1169e	옛아스터사원 지하의 반역자 빌리가 빌리의 조사문서를 사막도적단소굴의 대리인 루샬딘에게 전달해달라고 합니다.
zts1170e	사막도적단 소굴의 대리인 루샬딘이 "긴급전서-대리인 루샬딘으로부터"를 무법지대에 있는 벨몬에게 전해달라고 합니다.
zts1171e	무법지대의 칼잡이 벨몬이 까마귀 머피에게 사막도적단 소굴에 대한 이야기를 전해달라고 합니다.
zts1172e	사막도적단을 치유하라
zts1173e	수상해 보이는 이 약병을 가지고 옛아스터사원 지하의 반역자 빌리에게 가져가야 합니다.
zts1174e	옛아스터사원 지하의 반역자 빌리가 서둘러서 이 약병을 사막도적단 소굴의 대리인 루샬딘에게 전해달라고 합니다.
zts1175e	사막도적단 소굴의 대리인 루샬딘이 현혹의 약 견본과 루샬딘의 밀서를 가지고 오랜 친구인 무법지대의 칼잡이 벨몬에게 가져가라고 합니다.
zts1176e	무법지대의 칼잡이 벨몬이 까마귀 머피라면 이 현혹의 약의 치유할 방법에 대해서 알고 있을 것이라고 합니다.
zts1177e	무법지대의 까마귀 머피는 오래전부터 친분이 있던 아스터사원의 대사제 엘라딘에게 현혹의 약 견본과 까마귀 머피의 편지를 전해달라고 합니다.
zts1178e	아스터산원의 대사제 엘라딘은 치료제의 재료가 아카무르상단에 주문한 품목으로 만들 수 있다고 합니다. 아카무르상단 본점에 문의를 해야합니다.
zts1179e	아카무르상단 본점에 있는 대리인 세미아 펠튼이 아스터사원에서 주문한 품목을 추적해본 결과 케루스의 야영지와 가톤의 야영지에 흩어져있다고 합니다.
zts1180e	아스터사원의 대사제 엘라딘이 축복받은 요정의 정화제를 사막도적단 소굴에 있는 대리인 루샬딘에게 전해달라고 합니다.
zts1181e	사막도적단 소굴의 대리인 루샬딘이 쉬고 있는 조적들에게 축복받은 요정의 정화제를 사용해달라고 합니다.
zts1182e	사막도적단 소굴의 대리인 루샬딘이 옛아스터사원 지하에 있는 반역자 빌리에게 루샬딘의 결의서를 전해달라고 합니다.
zts1183e	옛아스터사원 지하의 반역자 벨몬이 사막도적단의 결의서를 가지고 무법지대에 있는 칼잡이 벨몬에게 전해달라고 합니다.
zts1184e	무법지대의 칼잡이 벨몬이 사막도적단의 결의서를 까마귀 머피에 전해달라고 합니다.
zts1185e	사막도적단의 두목찾기
zts1186e	옛아스터사원 지하의 반역자 빌리가 사막도적단의 야영지 부대장들에게서 비밀 지령서를 가져다달라고 합니다.
zts1187e	옛아스터사원 지하의 반역자 빌리가 부대장 쇼란과 부대장 쎄이에게서 비밀지령서를 가져다 달라고 합니다.
zts1188e	옛아스터사원 지하의 반역자 빌리가 사막도적단 소굴의 대리인 루샬딘에게서 사막도적단 두목이 있는 곳을 알아보라고 합니다.
zts1189e	사막도적단 소굴의 대리인 루샬딘이 예전 두목과 같이 이곳을 떠난 사람이 있는데 무법지대의 칼잡이 벨몬이라고 합니다.
zts1190e	무법지대에 있는 칼잡이 벨몬이 자세한 것은 말할 수 없지만 찾는 사람을 알고 있다고 합니다. 까마귀 머피를 찾아보라고 합니다.
zts1191e	빼앗긴 상품 회수
zts1192e	데저트이글 시티의 딘폴 브라운이 사막도적단에게 빼앗긴 상품을 되찾아 달라고 합니다. 상품은 케루스의 야영지와 가톤의 야영지에 있을 것같습니다.
zts1193e	빼앗긴 것은 되찾아야 한다.
zts1194e	데저트이글 시티의 델먼 밀로프가 케루스의 야영지와 가톤의 야영지에 있는 사막도적단들에게서 자신의 상품을 되찾아달라고 합니다.
zts1195e	무법지대에 대한 두려움
zts1196e	데저트이글 시티에 있는 델먼 밀로프가 자신에게 와야할 고역품들이 무법지대에 있다고 합니다. 사실인지 조사해봐야 합니다.
zts1197e	무법지대에 있는 칼잡이 벨몬이 사막도적단 소굴의 대리인 루샬딘에게서 무법지대 주민들이 의심받는 상황에 대해서 알아봐달라고 합니다.
zts1198e	사막도적단 소굴의 대리인 루샬딘이 옛아스터사원의 반역자 빌리를 찾아가서 정보를 얻으라고 합니다.
zts1199e	옛아스터사원 지하의 반역자 빌리가 근래에 들어서 부대장 쇼란이 보물을 얻었다고 자랑했다는 정보를 알려줍니다. 아마도 델먼 밀로프가 잃어버린 물건같습니다.
zts1200e	옛아스터사원 지하의 반역자 빌리가 빌리의 밀서를 칼잡이 벨몬에게 전해달라고 합니다.
zts1201e	무법지대의 칼잡이 벨몬이 델먼의 자명종을 델먼 밀로프에게 가져가서 오해를 풀어달라고 합니다.
zts1202e	불타는 검
zts1203e	브룩힐드 광장의 하마꿍 집사를 찾아가야 합니다.
zts1204e	브룩힐드 광장의 하마꿍 집사가 아카무르상단 협조승인문서를 항구근처에 있는 대리인 진 하마딘에게 전해달라고 합니다.
zts1205e	브룩힐드 광장에 있는 대리인 진 하마딘이 상단 대리인의 소개장을 가지고 모르타즈사막 항구에 있는 항구대리인 톰을 만나달라고 합니다.
zts1206e	모르타즈 사막 항구에 있는 항구관리인 톰이 특급 교역품을 가지고 아카무르상단 야영지에 있는 하마드 아카무르에게 전해달라고 합니다. 특급 교역품을 얻기 위해서는 교역품 탈취 퀘스트를 완료하면 얻을 수 있습니다.
zts1207e	아카무르상단 야영지에 있는 총행수 하마드 아카무르가 총행수의 편지를 데저트이글 시티의 아카무르상단 본점에 있는 총단장 네피 아카무르에게 전해달라고 합니다. 총행수의 편지는 사막도적단과의 협상 퀘스트를 완료해야 얻을 수 있습니다.
zts1208e	아카무르상단 본점의 총단장 네피 아카무르가 찢여진 쪽지를 가지고 아스터사원에 있는 대사제 엘라딘에게 전해달라고 합니다. 찢겨진 쪽지는 사막도적단이 노리는 것은? 퀘스트를 완료해야 얻을 수 있습니다.
zts1209e	아스터사원의 대사제 엘라딘이 대사제의 요청서를 가지고 아카무르상단 본점의 네피 아카무르에게 전해달라고 합니다. 대사제의 요청서를 얻기 위해서는 아스터사원 지하성소에 유령이? 퀘스트를 완료해야 얻을 수 있습니다.
zts1210e	아카무르상단 본점의 네피 아카무르가 상단지원금을 가지고 트레져헌터 본부의 리아 아카무르를 만나보라고 합니다.
zts1211e	트레져헌터 본부의 리아 아카무르가 특별조사협조문서를 가지고 잊혀진 사원의 미콜 라본즈에게 전해달라고 합니다.
zts1212e	잊혀진 사원에 있는 미콜 라본즈가 깨진 유물을 가지고 트레져헌터 본부에 있는 리아 아카무르에게 전해달라고 합니다. 깨진 유물을 획득하기 위해서는 라시드사원의 유물 퀘스트를 완료하여야 얻을 수 있습니다.
zts1213e	트레져헌터 본부의 리아 아카무르가 제공한 정보에 따르면 까마귀 머피가 사막도적단과 깊은 관련이 있을 것이라고 합니다. 이를 알아내기 위해서는 까마귀 머피가 부탁하는 것을 들어줄 필요가 있습니다. 그의 정체를 밝혀내기 위해서는 녹슨 두목의 인장이 필요합니다. 녹슨 두목의 인장은 까마귀 머피라는 남자 퀘스트를 완료하여 획득할 수 있습니다.
zts1214e	까마귀 머피가 수수께끼의 여행자에 대한 정보를 알기 위해선 사막도적단 소굴의 깊숙한 곳인 옛아스터사원의  반역자 빌리에게 알아봐야 한다고 합니다.
zts1215e	옛아스터사원 지하에 있는 반역자 빌리가 자신을 도와달라고 합니다. 그리고 모든 협조가 종료되면 자신이 알고 있는 수수께끼의 여행자에 대한 정보를 제공한다고 합니다. 사막도적단을 치유하라 퀘스트를 완료하여 반역자의 결의서를 얻은 뒤에 무법지대에 있는 칼잡이 벨몬과 대화하여 정보를 제공받아야 합니다.
zts1216e	시공의 돌 탐험
zts1217e	20레벨 시공의 돌을 완료하라
zts1218e	21레벨 시공의 돌을 완료하라
zts1219e	24레벨 시공의 돌을 완료하라
zts1220e	30레벨 시공의 돌을 완료하라
zts1221e	31레벨 시공의 돌을 완료하라
zts1222e	42레벨 시공의 돌을 완료하라
zts1223e	45레벨 시공의 돌을 완료하라
zts1224e	51레벨 시공의 돌을 완료하라
zts1225e	52레벨 시공의 돌을 완료하라
zts1226e	61레벨 시공의 돌을 완료하라
zts1227e	62레벨 시공의 돌을 완료하라
zts1228e	64레벨 시공의 돌을 완료하라
zts1229e	사막 항구 주변에서 바다모래 여우를 잡고 먹다남은 선인장 과실을 모으자
zts1230e	먹다남은 선인장 과실 수집 완료. 항구지기 톰에게 보고하자
zts1231e	사막 항구 주변에 가서 바다모래 칼날가시를 잡고 선인장 과실을 모으자
zts1232e	선인장 과실 수집 완료. 항구지기 톰에게 보고하자
zts1233e	닐의 야영지 인근에 가서 닐의 수색대 공작원을 처치하고 선인장 과실포대를 획득하자
zts1234e	선인장 과실포대 획득. 항구지기 톰에게 보고하자
zts1235e	닐의 야영지에서 닐의 정예 폭파병 을 처치하자
zts1236e	닐의 정예 폭파병 처치 완료. 조수 빈에게 보고하자
zts1237e	닐의 야영지에서 부대장 닐을 처치하고 항구 습격 지령서를 획득하자
zts1238e	항구 습격 지령서 획득. 항구지기 톰에게 전달하자.
zts1239e	닐의 야영지 인근에 있는 조수 빈에게 가서 지시를 받아라
zts1240e	정찰 보고서 획득. 조수 빈에게 가져가자
zts1241e	닐의 야영지에서 닐의 정예 암살자를 처치하라
zts1242e	닐의 정예 암살자 처치 완료. 조수 빈에게 보고하자
zts1243e	닐의 야영지에서 부대장 닐을 처치하고 고급정찰보고서를 획득하자
zts1244e	고급정찰보고서 획득. 조수 빈에게 가져가자
zts1245e	빈에게 받은 고급정찰보고서를 등대지기 칠튼에게 전달하자
zts1246e	아카무르 상단 야영지의 총행수 하마드 아카무르에게 고급정찰보고서를 전달하자
zts1247e	닐의 야영지 근처에 있는 조수 빈을 만나자
zts1248e	닐의 수색대 공작원을 처치하고 선인장 과실포대를 획득하자
zts1249e	선인장 과실포대 획득. 조수 빈에게 가져가자
zts1250e	닐의 야영지에 가서 향료 섞인 선인장 과실 포대를 선인장 과실포대에 뿌리자
zts1251e	살포 완료. 조수 빈에게 보고하자.
zts1252e	부대장 닐을 처치하고 지령 묶음을 획득하자
zts1253e	지령 묶음 획득. 조수 빈에게 가져가자
zts1254e	닐의 야영지에서 닐의 야영지 문서보관함을 조사하자
zts1255e	가짜 지령묶음 설치완료. 조수 빈에게 보고하자
zts1256e	결과를 항구지기 톰에게 보고하자
zts1257e	점술가 누키의 부탁 (일일)
zts1258e	데저트이글 시티에 있는 점쟁이 누키가 폭염 옷감을 구해달라고 합니다. 답례로 타로카드 점을 봐준다고 합니다.
zts1259e	데저트이글 시티에 있는 점쟁이 누키가 도적단의 구리빛문장을 구해달라고 합니다. 답례로 타로카드 점을 봐준다고 합니다.
zts1260e	데저트이글 시티에 있는 점쟁이 누키가 폭염 가죽을 구해달라고 합니다. 답례로 타로카드 점을 봐준다고 합니다.
zts1261e	데저트이글 시티에 있는 점쟁이 누키가 폭염 철괴를 구해달라고 합니다. 답례로 타로카드 점을 봐준다고 합니다.
zts1262e	데저트이글 시티에 있는 점쟁이 누키가 폭염 나무를 구해달라고 합니다. 답례로 타로카드 점을 봐준다고 합니다.
zts1263e	닐의 야영지 근처에 숨어있는 조수 빈에게 가자
zts1264e	닐의 야영지에 잡혀있는 조수 쉐인을 찾자
zts1265e	닐의 야영지 열쇠지기를 처치하고 열쇠지기의 도적단 열쇠를 획득하자
zts1266e	열쇠지기의 도적단 열쇠 획득. 조수 쉐인에게 가져가자
zts1267e	닐의 야영지 교도관을 처치하고 교도관의 도적단 열쇠를 획득하자
zts1268e	교도관의 도적단 열쇠 획득. 조수 쉐인에게 가져가자
zts1269e	닐의 정예 포수를 처치하자
zts1270e	닐의 정예 포수 처치 완료. 항구지기 톰에게 보고하자
zts1271e	사막 항구 주변에서 버려진 아카무르 상단 상자를 조사하자
zts1272e	하급 상단 교역물 획득. 항구지기 톰에게 가져가자
zts1273e	닐의 야영지 근처에서 부서진 아카무르 상단상자를 조사하자
zts1274e	중급 상단 교역물 획득. 조수 빈에게 가져가자
zts1275e	닐의 야영지에서 약탈된 아카무르 상단상자를 조사하자
zts1276e	상급 상단 교역물 획득. 항구지기 톰에게 가져가자
zts1277e	사막 항구 주변에서 바다모래무지를 처치하고 하급 상단 교역품을 모으자
zts1278e	하급 상단 교역품 수집 완료. 등대지기 칠튼에게 가져가자
zts1279e	닐의 야영지 인근에서 닐의 수색대 칼잡이를 처치하고 중급 상단 교역품을 모으자
zts1280e	중급 상단 교역품 수집 완료. 조수 빈에게 가져가자
zts1281e	닐의 야영지에서 닐의 정예 칼잡이를 처치하고 상급 상단 교역품을 모으자
zts1282e	상급 상단 교역품 수집 완료. 항구지기 톰에게 가져가자
zts1283e	아카무르 상단 야영지의 슈밀 헤이즐에게 가자
zts1284e	탈취된 교역품을 찾아라.
zts1285e	야영지 동부의 폭풍모래 가시덩굴과 서부의 메마른 모래무지를 처치하고 교역품을 찾아오자
zts1286e	동부, 서부 상단교역품 획득. 슈밀 헤이즐에게 가져가자
zts1287e	케루스의 야영지 인근에서 수색대 공작원을 처치하고 부서진 상단교역품을 찾아오자
zts1288e	부서진 상단교역품 획득. 슈밀 헤이즐에게 가져가자
zts1289e	케루스의 야영지 인근에서 부러진 아카무르상단 깃발을 조사하자
zts1290e	조사 완료. 슈밀 헤이즐에게 보고하자.
zts1291e	케루스의 야영지에 있는 제1~4처소 상단교역품을 조사하고 교역품을 찾아오자
