zts1e	새로운아이템
zts8736e	태양신의 액세서리 도면
zts8737e	태양신의 힘이 담긴 액세서리 제작법이 그려져 있는 도면[n]필요한 재료를 가지고 새로운 액세서리를 만들 수 있는 조합공식이 그려져 있다[n][조합생산 하는 법][n]1. 필요한 재료를 모두 인벤토리에 소지한다[n]2. 생산도면을 더블클릭하여 조합생산창을 띄운다[n]3. 생산할 아이템을 선택한다.[n]4. 생산하기 버튼을 눌러서 조합생산을 한다[n]
zts8738e	태양신의 무기도면
zts8739e	태양신의 힘이 담긴 무기 제작법이 그려져 있는 도면[n]필요한 재료를 가지고 새로운 주무기를 만들 수 있는 조합공식이 그려져 있다[n][조합생산 하는 법][n]1. 필요한 재료를 모두 인벤토리에 소지한다[n]2. 생산도면을 더블클릭하여 조합생산창을 띄운다[n]3. 생산할 아이템을 선택한다.[n]4. 생산하기 버튼을 눌러서 조합생산을 한다[n]
zts8740e	태양신의 보조무기도면
zts8741e	태양신의 힘이 담긴 보조무기 제작법이 그려져 있는 도면[n]필요한 재료를 가지고 새로운 보조무기를 만들 수 있는 조합공식이 그려져 있다[n][조합생산 하는 법][n]1. 필요한 재료를 모두 인벤토리에 소지한다[n]2. 생산도면을 더블클릭하여 조합생산창을 띄운다[n]3. 생산할 아이템을 선택한다.[n]4. 생산하기 버튼을 눌러서 조합생산을 한다[n]
zts8742e	태양신의 의상도면
zts8743e	태양신의 힘이 담긴 의상 제작법이 그려져 있는 도면[n]필요한 재료를 가지고 새로운 의상을 만들 수 있는 조합공식이 그려져 있다[n][조합생산 하는 법][n]1. 필요한 재료를 모두 인벤토리에 소지한다[n]2. 생산도면을 더블클릭하여 조합생산창을 띄운다[n]3. 생산할 아이템을 선택한다.[n]4. 생산하기 버튼을 눌러서 조합생산을 한다[n]
zts8744e	대지의 원소
zts8745e	대지의 기운이 담겨있는 원소[n]원소 5개를 합하면 정수를 얻을 수 있다.[n]생산에 사용된다.[n]
zts8746e	대지의 정수
zts8747e	대지의 기운이 담겨있는 정수[n]정수 5개를 합하면 결정을 얻을 수 있다.[n]생산에 사용된다.[n]
zts8748e	대지의 결정
zts8749e	대지의 기운이 담겨있는 결정[n]생산에 사용된다.[n]
zts8750e	붉게 빛나는 금속 조각
zts8751e	상단의 선물꾸러미
zts8752e	상단의 일을 도와주고 받은 선물꾸러미[n]무언가 꾸러미 안에 들어 있어 열면 얻을 수 있다.[n]
zts8753e	아카무르 쿠폰
zts8754e	상단의 일을 도와주고 받은 쿠폰[n]슈밀에게 여러장을 모아 가져가면 특별한 선물로 교환받을 수 있다.[n]쿠폰 뒷면에 [본 쿠폰은 타인에게 양도할 수 없습니다] 라고 적혀있다.[n]
zts8755e	얼음꽃
zts8756e	프로즌 크라운에서 채취한 얼음꽃.[n]꽃에서 나오는 냉기 때문에 많이 소지할 수 없고 부스러 지기 쉽다.[n]
zts8757e	마력이 담긴 모래
zts8758e	무법지대 특제약
zts8759e	마법 낙타
zts8760e	아이템 사용시 마법 낙타 라이더로 변신한다.[n]사막지역에서 약간 빨라지며 다른 지역에서는 그리 빠르지 않다.[n]변신중 아이템을 사용하면 변신이 해제된다.[n]변신중 다른 이동속도 증감 효과를 받지 않는다.[n]
zts8761e	마법 낙타 상자 (퀘스트)
zts8762e	아카무르 상단을 꾸준히 도와준 보답으로 받은 마법 낙타가 들어있는 상자[n][주의사항][n]마법 낙타를 상자에서 꺼내면 더 이상 거리할 수 없습니다.[n]
zts8763e	얼음꽃 기름
zts8764e	프로즌 크라운에서 채취한 얼음꽃에서 특수한 방법으로 추출한 기름.[n]사용시 1시간 동안 다음 효과를 얻는다.[n][사용 효과][n]모든 공격력 및 모든 방어력 5% 증가[n]불타는 검 내부에서 '불타는 검의 열기' 효과를 막아준다.[n]
zts8765e	그레니가스 인장 왼쪽 조각
zts8766e	케르토스에게서 획득한 왼쪽 조각[n][사용방법][n]그레니가스 인장 왼쪽 조각 과 그레니가스 인장 오른쪽 조각을 불타는 검 입구의 사제 세리자드 에게 가져가면 그레니가스 레이드 인장으로 합쳐준다.[n]
zts8767e	그레니가스 인장 오른쪽 조각
zts8768e	발라쿠스에게서 획득한 오른쪽 조각[n][사용방법][n]그레니가스 인장 왼쪽 조각 과 그레니가스 인장 오른쪽 조각을 불타는 검 입구의 사제 세리자드 에게 가져가면 그레니가스 레이드 인장으로 합쳐준다.[n]
zts8769e	태양의 룬 조각
zts8770e	불타는 검 입구의 사제 세리자드 에게 가져가면 태양신의 신전으로 바로 이동시켜준다.[n]이동시 룬 조각 1개가 소비된다.[n]
zts8771e	케르토스 레이드 인장
zts8772e	케르토스의 이빨에 있는 케르토스의 동굴을 통해 케르토스 레이드를 수행할 수 있다.[n]권장레벨 : 85~99[n][사용방법][n]사용시 원정대 리더가 될 수 있다.[n]리더가 된 후 다른 사람 클릭 후 원정대 영입 버튼을 누르면 원정대로 가입 시킬 수 있다.[n]원정대원들과 함꼐 레이드맵 입구로 가서 리더가 입장하면 모두 자동으로 입장하게 된다.[n][주의사항][n]권장레벨 이상의 사람은 원정대에 참여는 가능하지만 패널티를 받는다.[n]
zts8773e	발라쿠스 레이드 인장
zts8774e	발라쿠스의 손아귀에 있는 발라쿠스의 동굴을 통해 발라쿠스 레이드를 수행할 수 있다.[n]권장레벨 : 85~99[n][사용방법][n]사용시 원정대 리더가 될 수 있다.[n]리더가 된 후 다른 사람 클릭 후 원정대 영입 버튼을 누르면 원정대로 가입 시킬 수 있다.[n]원정대원들과 함꼐 레이드맵 입구로 가서 리더가 입장하면 모두 자동으로 입장하게 된다.[n][주의사항][n]권장레벨 이상의 사람은 원정대에 참여는 가능하지만 패널티를 받는다.[n]
zts8775e	그레니가스 레이드 인장
zts8776e	카톨볼미론의 여로에 있는 신전 입구를 통해 그레니가스 레이드를 수행할 수 있다.[n]권장레벨 : 85~99[n][사용방법][n]사용시 원정대 리더가 될 수 있다.[n]리더가 된 후 다른 사람 클릭 후 원정대 영입 버튼을 누르면 원정대로 가입 시킬 수 있다.[n]원정대원들과 함꼐 레이드맵 입구로 가서 리더가 입장하면 모두 자동으로 입장하게 된다.[n][주의사항][n]권장레벨 이상의 사람은 원정대에 참여는 가능하지만 패널티를 받는다.[n]
zts8777e	캔디 토리 랜덤박스(태국)
zts8778e	특별한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]토리토리 구슬 (검정) 1개[n]토리토리 구슬 (노랑) 1개[n]토리토리 구슬 (빨강) 1개[n]토리토리 구슬 (녹색) 1개[n]토리토리 구슬 (청록) 1개[n]토리토리 구슬 (파랑) 1개[n]토리토리 구슬 (분홍) 1개[n]토리토리 구슬 1개[n]포인트 초기화 물약 1개[n]지름신의 보호부적 1개[n]안셀로안의 축복 5개[n]장비 보호스크롤 1개[n]강력한 전체 회복제 60개[n]
zts8779e	컬러 토리 랜덤박스(말련)
zts8780e	특별한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]토리토리 구슬 1개[n]토리토리 구슬 (검정) 1개[n]토리토리 구슬 (파랑) 1개[n]토리토리 구슬 (녹색) 1개[n]토리토리 구슬 (빨강) 1개[n]토리토리 구슬 (분홍) 1개[n]토리토리 구슬 (청록) 1개[n]토리토리 구슬 (노랑) 1개[n]
zts8781e	검객토리EX 구슬
zts8782e	마법 구름 상자와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]마법 구름 상자 1개[n]펫의 배달바구니 30일 1개[n]우정의 날개 40개[n]중간 스페셜 충전제 1개[n]등급고정 강화부적 1개[n]수호신의 축복 16개[n]타로카드 팩 1개[n]페어리 부스터 10개[n]라이더 부스터 20개[n]
zts8783e	토리 컬렉터를 위한 상자.[n]색상이 다른 여러 종류의 토리토리 구슬과 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]토리토리 구슬 (검정) 1개[n]토리토리 구슬 (파랑) 1개[n]토리토리 구슬 (녹색) 1개[n]토리토리 구슬(빨강) 1개[n]토리토리 구슬 (분홍) 1개[n]토리토리 구슬 (청록) 1개[n]토리토리 구슬 (노랑) 1개[n]토리토리 구슬 1개[n]펫의 배달바구니 30일 1개[n]우정의 날개 40개[n]중간 스페셜 충전제 1개[n]등급고정 강화부적 1개[n]수호신의 축복 16개[n]타로카드 팩 1개[n]페어리 부스터 10개[n]라이더 부스터 20개[n]
zts8784e	여러 종류의 토리 구슬과 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]특수기동대 토리 구슬 1개[n]검객토리 구슬 1개[n]무에타이 토리 펫 구슬 1개[n]블랙토리 구슬 1개[n]아쿠아토리 구슬 1개[n]검투사 토리 구슬 1개[n]카우토리 구슬 1개[n]감기걸린토리 구슬 1개[n]펫의 배달바구니 30일 1개[n]우정의 날개 40개[n]중간 스페셜 충전제 1개[n]등급고정 강화부적 1개[n]수호신의 축복 16개[n]타로카드 팩 1개[n]페어리 부스터 10개[n]라이더 부스터 20개[n]
zts8785e	토리 코스튬 럭키박스(말련)
zts8786e	특별한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]토리토리 구슬 (검정) 1개[n]토리토리 구슬 (노랑) 1개[n]라이더 부스터 30개[n]토리토리 옷(7일) 1개[n]토리토리 모지(7일) 1개[n]토리토리 옷(30일) 1개[n]토리토리 모자(30일) 1개[n]빛나는 하늘색 보석 15개[n]1회용 라이더 스크롤 30개[n]생산 포인트 쿠폰 50개[n]
zts8787e	토리 코스튬 랜덤박스(홍콩)
zts8788e	귀여운 토리토리 코스튬과 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]토리토리 모자(영구) 1개[n]토리토리 옷(영구) 1개[n]토리토리 모자(7일) 1개[n]토리토리 옷(7일) 1개[n]성별변경 마법램프 1개[n]스페셜 카드 캐리어 1개[n]영혼 부활석 1개[n]포인트 초기화 물약 1개[n]안셀로안의 축복 4개[n]수호신의 축복 9개[n]천사의 날개 30개[n]지름신의 축복 부적 1개[n]타로카드 팩 2개[n]향긋한 향수 5개[n]장비 보호 스크롤 2개[n]상급 카드 보호스크롤 2개[n]하급 카드 보호스크롤 3개[n]
zts8789e	특수기동대 토리 랜덤박스(태국)
zts8790e	특수기동대 토리 구슬과 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]특수기동대 토리 구슬 1개[n]레어상승부적 1개[n]블랙토리 구슬 1개[n]안셀로안의 축복 10개[n]샐라임 1개[n]페어리 부스터 10개[n]장비 보호 스크롤 3개[n]강력한 전체 회복제 99개[n]
zts8791e	다양한 색상의 토리토리 구슬과 여러 토리구슬이 들어있는 랜덤상자.[n]상자를 열었을 때 무작위로 다음 중 한가지의 토리구슬을 획득할 수 있습니다.[n][아이템 목록][n]토리토리 구슬 1개[n]토리토리 구슬 (검정) 1개[n]토리토리 구슬 (파랑) 1개[n]토리토리 구슬 (녹색) 1개[n]토리토리 구슬 (빨강) 1개[n]토리토리 구슬 (분홍) 1개[n]토리토리 구슬 (청록) 1개[n]토리토리 구슬 (노랑) 1개[n]검투사토리 구슬 1개[n]감기걸린토리 구슬 1개[n]블랙토리 구슬 1개[n]아쿠아토리 구슬 1개[n]검객토리 구슬 1개[n][주의사항][n]각각의 토리구슬에 대한 획득 확률은[n]각각 다르게 설정되어 있으며,[n]처음 구매할 때의 구슬 상태에서는 다른 캐릭터와 거래할 수 없습니다.[n]
zts8792e	한여름의 크리스마스 상자(남)
zts8793e	다양한 남성용 겨울복장 및 산타토리 코스튬이 들어있는 랜덤상자입니다.[n]낮은 확률로 [산타토리 모자(영구)] 또는 [산타토리 의상(영구)][n]아이템을 획득할 수 있습니다.[n]다음 아이템 중 무작위로 한가지를 획득할 수 있습니다.[n][아이템 목록][n]반달곰 모자 (30일) 1개[n]반달곰 옷 (30일) 1개[n]북극곰 모자 (30일) 1개[n]북극곰 옷 (30일) 1개[n]털토끼 모자 (30일) 1개[n]털토끼 옷 (30일) 1개[n]산타 모자 (30일) 1개[n]산타 의상 (30일) 1개[n]산타토리 모자 (영구) 1개[n]산타토리 의상 (영구) 1개[n][주의사항][n]획득한 코스튬을 캐릭터가 착용하면 다른 사용자와 거래할 수 없습니다.[n]
zts8794e	한여름의 크리스마스 상자(여)
zts8795e	다양한 여성용 겨울복장 및 산타토리 코스튬이 들어있는 랜덤상자입니다. 낮은 확률로 [산타토리 모자(영구)] 또는 [산타토리 의상(영구)][n]아이템을 획득할 수 있습니다.[n]다음 아이템 중 무작위로 한가지를 획득할 수 있습니다.[n][아이템 목록][n]반달곰 모자 (30일) 1개[n]반달곰 옷 (30일) 1개[n]북극곰 모자 (30일) 1개[n]북극곰 옷 (30일) 1개[n]가죽 토끼귀 (30일) 1개[n]가죽 토끼옷 (30일) 1개[n]산타 모자 (30일) 1개[n]산타 의상 (30일) 1개[n]산타토리 모자 (영구) 1개[n]산타토리 의상 (영구) 1개[n][주의사항][n]획득한 코스튬을 캐릭터가 착용하면 다른 사용자와 거래할 수 없습니다.[n]
zts8796e	한여름의 X-Mas 상자(남)
zts8797e	한여름의 X-Mas 상자(여)
zts8798e	이벤트 선물상자[n]상자를 열어서 다음 아이템을 얻을 수 있다.[n][아이템 목록][n]장한 구슬 1개[n]폭죽 10개[n]머리카락 변신 물약(이벤트) 1개[n]작은 전체 회복제(이벤트) 20개[n]주의 : 이 아이템은 이벤트 종료시 사라진다.[n]
zts8799e	이벤트 선물상자[n]상자를 열어서 다음 아이템을 얻을 수 있다.[n][아이템 목록][n]햄버거 머리장식(남)(영구)(이벤트) 1개[n]햄버거 코스튬 의상(남)(영구)(이벤트) 1개[n]남성 코스튬 뽑기상자(1일)(이벤트) 1개[n]백색 요정의 돌 3개[n]간단한 푯말 1개[n]펫용 하급 트레이너 1개[n]주의 : 이 아이템은 이벤트 종료시 사라진다.[n]
zts8800e	이벤트 선물상자[n]상자를 열어서 다음 아이템을 얻을 수 있다.[n][아이템 목록][n]햄버거 머리장식(여)(영구)(이벤트) 1개[n]햄버거 코스튬 의상(여)(영구)(이벤트) 1개[n]여성 코스튬 뽑기상자(1일)(이벤트) 1개[n]백색 요정의 돌 3개[n]간단한 푯말 1개[n]펫용 하급 트레이너 1개[n]주의 : 이 아이템은 이벤트 종료시 사라진다.[n]
zts8801e	프로즌 크라운 보급상자(CN)
zts8802e	눈의요정 구슬과 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 아이템들을 모두 획득한다.[n][얻을 수 있는 아이템][n]눈의요정 구슬 1개[n]프로즌 변신 스크롤 1개[n]빛나는 보라색 보석 1개[n]중간 스페셜 충전제 10개[n]큰 스페셜 충전제 10개[n]중간 스페셜 충전제 50개[n]큰 스페셜 충전제 50개[n]방어등급 부적 1개[n]닭꼬치 99개[n]등급고정 해제 스크롤 1개[n]천사의 날개 10개[n]빛나는 녹색 영혼 2개[n]빛나는 붉은 영혼 2개[n]빛나는 맑은 영혼 2개[n]남성코스츔 선물세트(7일)(CN) 1개[n]여성코스츔 선물세트(7일)(CN) 1개[n]공격등급 부적 1개[n]페어리 부스터 1개[n]
zts8803e	아이템 사용시 마법 스쿠터 라이더로 변신한다.[n]지형에 상관없이 평균적으로 이동속도가 빨라진다.[n]변신 중 아이템을 사용하면 변신이 해제된다.[n]사용 레벨 제한이 없다.[n][라이더 특징][n]기본 이동속도 20[n][라이더 부스터 사용 시][n]이동속도 +2[n]지속시간 +3[n]
zts8804e	아이템 사용시 마법 융단 라이더로 변신한다.[n]라이더로 변신 할 경우 이동속도가 빨라진다.[n]변신 중 아이템을 사용하면 변신이 해제된다.[n]사용 레벨 제한이 없다.[n][라이더 특징][n]기본 이동속도 20[n]사막지역 이동속도 +2[n][라이더 부스터 사용 시][n]이동속도 +2[n]지속시간 +3[n]
zts8805e	아이템 사용시 마법 백호 라이더로 변신한다.[n]라이더로 변신 할 경우 이동속도가 빨라진다.[n]변신 중 아이템을 사용하면 변신이 해제된다.[n]사용 레벨 제한이 없다.[n][라이더 특징][n]기본 이동속도 20[n]프로즌 크라운 지역 이동속도 +2[n][라이더 부스터 사용 시][n]이동속도 +2[n]지속시간 +3[n]
zts8806e	아이템 사용시 마법 오픈카 라이더로 변신한다.[n]라이더로 변신 할 경우 이동속도가 빨라진다.[n]변신 중 아이템을 사용하면 변신이 해제된다.[n]사용 레벨 제한이 없다.[n][라이더 특징][n]기본 이동속도 20[n]밀라노 마을, 브룩힐드 지역 이동속도 +4[n][라이더 부스터 사용 시][n]이동속도 +2[n]지속시간 +3[n]
zts8807e	아이템 사용시 마법 구름 라이더로 변신한다.[n]라이더로 변신 할 경우 이동속도가 빨라진다.[n]변신 중 아이템을 사용하면 변신이 해제된다.[n]사용 레벨 제한이 없다.[n][라이더 특징][n]기본 이동속도 21[n][라이더 부스터 사용 시][n]이동속도 +5[n]지속시간 +3[n]
zts8808e	마법 빗자루
zts8809e	아이템 사용시 마법 빗자루 라이더로 변신한다.[n]라이더로 변신 할 경우 이동속도가 빨라진다.[n]변신 중 아이템을 사용하면 변신이 해제된다.[n]사용 레벨 제한이 없다.[n][라이더 특징][n]기본 이동속도 21[n]프로즌 크라운 지역 이동속도 + 2[n][라이더 부스터 사용 시][n]전방 5칸 순간이동[n]이동속도 +3[n]지속시간 +5[n]
zts8810e	마법 빗자루 상자
zts8811e	마법 빗자루가 들어있는 상자[n][주의사항][n]마법 빗자루를 상자에서 꺼내면 더 이상 거래할 수 없습니다.[n]
zts8812e	마법 빗자루 랜덤박스(유럽)
zts8813e	마법 빗자루 상자와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]마법 빗자루 상자 1개[n]펫의 배달바구니 30일 1개[n]우정의 날개 40개[n]중간 스페셜 충전제 1개[n]등급고정 강화부적 1개[n]수호신의 축복 16개[n]타로카드 팩 1개[n]페어리 부스터 10개[n]라이더 부스터 20개[n]
zts8814e	여름의 선물(일본)
zts8815e	특별한 아이템이 들어 있는 상자[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]코레트 모자(영구) 1개[n]샴 모자(영구) 1개[n]공격방어등급 부적 1개[n]소나무 항아리분재 1개[n]향긋한 향수 50개[n]로얄젤리 30개[n]프로즌 변신 스크롤 20개[n]아쿠아젤 인장 10개[n]신선한 딸기주스 30개[n]신선한 포도주스 30개[n]Evolution 50개[n]
zts8816e	라이더로 1회 변신할 수 있는 아이템.[n]라이더들 중 한가지로 변신할 수 있다.[n]사용시 스크롤 1개가 소모 된다.[n][변신해제 방법][n]라이더 변신 상태에서 1회용 라이더 스크롤을  다시 사용하면[n]아이템 소모 없이  변신이 해제된다.[n]변신 상태에서 사망하거나 접속을 해제해도 변신이 해제된다.[n]주의 : 이 아이템은 이벤트 종료시 사라진다.[n]
zts8817e	라이더로 1회 변신할 수 있는 아이템.[n]라이더들 중 한가지로 변신할 수 있다.[n]사용시 스크롤 1개가 소모 된다.[n][변신해제 방법][n]라이더 변신 상태에서 1회용 라이더 스크롤을[n]다시 사용하면 아이템 소모 없이 변신이 해제된다.[n]변신 상태에서 사망하거나 접속을 해제해도 변신이 해제된다.[n]
zts8818e	눈의요정 구슬과 다양한 아이템이 들어 있는 상자.[n]다음 아이템 중 무작위로 한가지를 획득할 수 있습니다.[n][얻을 수 있는 아이템][n]눈의요정 구슬 1개[n]프로즌 변신 스크롤 1개[n]빛나는 보라색 보석 1개[n]중간 스페셜 충전제 10개[n]큰 스페셜 충전제 10개[n]중간 스페셜 충전제 50개[n]큰 스페셜 충전제 50개[n]방어등급 부적 1개[n]닭꼬치 99개[n]등급고정 해제 스크롤 1개[n]천사의 날개 10개[n]빛나는 녹색 영혼 2개[n]빛나는 붉은 영혼 2개[n]빛나는 맑은 영혼 2개[n]남성코스츔 선물세트(7일)(CN) 1개[n]여성코스츔 선물세트(7일)(CN) 1개[n]공격등급 부적 1개[n]페어리 부스터 1개[n]
zts8819e	이벤트용 아이템.[n]네잎클로버를 모아서 벨로치카 티어한테 가져다 주면[n]특별한 아이템과 교환 받을 수 있다.[n][네잎클로버 수집 보상][n]35개 ? 마법 스쿠터 상자 1개[n]20개 ? 블랙토리구슬(일본) 1개[n]15개 - 토리토리 구슬(일본) 1개[n]10개 ? 향긋한 향수 30개[n]2개 ? 봉인항아리 2개[n]상점에 판매하면 골드를 얻을 수 있다.[n]
zts8820e	코스튬 박스(일본)
zts8821e	특별한 아이템이 들어 있는 상자[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]호화로운 화분 모자(영구) 1개[n]신선한귤 모자(영구) 1개[n]나무그릇 모자(영구) 1개[n]호화로운 화분 모자(30일) 1개[n]신선한귤 모자(30일) 1개[n]나무그릇 모자(30일) 1개[n]호화로운 화분 모자(7일) 1개[n]신선한귤 모자(7일) 1개[n]나무그릇 모자(7일) 1개[n]웨딩 의상(7일) 1개[n]웨딩 모자(7일) 1개[n]블루세일러 코스튬(7일) 1개[n]블루마린 코스튬(7일) 1개[n]블루세일러 모자(7일) 1개[n]블루마린 모자(7일) 1개[n]헤어스타일링 왁스A 1개[n]헤어스타일링 왁스B 1개[n]네잎클로버 1개[n]네잎클로버 2개[n]
zts8822e	일본의 정신 박스(일본)
zts8823e	특별한 아이템이 들어 있는 상자[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]검객토리EX 구슬 1개[n]노란 토마토분재 1개[n]토마토 도자기분재 1개[n]노란 토마토 도자기분재 1개[n]화강암 폭포수석 1개[n]현무암 폭포수석 1개[n]규장암 산형석 1개[n]현무암 산형석 1개[n]소나무 사각분재 1개[n]소나무 팬다분재 1개[n]토마토분재 1개[n]소나무 항아리분재 1개[n]네잎클로버 1개[n]
zts8824e	선물 박스(일본)
zts8825e	특별한 아이템이 들어 있는 상자[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]말 장난감 1개[n]완두빈빈 구슬 1개[n]송크란 남성 의상(영구) 1개[n]송크란 여성 의상(영구) 1개[n]송크란 남성 모자(영구) 1개[n]송크란 여성 모자(영구) 1개[n]타이 남성전통의상(30일) 1개[n]송크란 여성 의상(30일) 1개[n]송크란 남성 모자(30일) 1개[n]송크란 여성 모자(30일) 1개[n]영혼석의 축복 1개[n]봉인된 타로카드 [광대] 1개[n]봉인된 타로카드 [마법사] 1개[n]봉인된 타로카드 [은둔자] 1개[n]봉인된 타로카드 [연인] 1개[n]봉인된 타로카드 [죽음] 1개[n]봉인항아리 5개[n]네잎클로버 1개[n]
zts8826e	특수기동대 토리 랜덤박스(홍콩)
zts8827e	특수기동대 토리 구슬과 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]특수기동대 토리 구슬 1개[n]마법 스쿠터 상자 1개[n]마법 융단 상자 1개[n]성별변경 마법램프 1개[n]스페셜 카드 캐리어 1개[n]영혼 부활석 1개[n]포인트 초기화 물약 1개[n]안셀로안의 축복 3개[n]수호신의 축복 8개[n]천사의 날개 99개[n]지름신의 축복 부적 1개[n]타로카드 팩 2개[n]향긋한 향수 5개[n]장비 보호 스크롤 2개[n]큰 스페셜 충전제 1개[n]상급 카드 보호스크롤 2개[n]하급 카드 보호스크롤 2개[n]
zts8828e	특수기동대 토리 랜덤박스(대만)
zts8829e	특수기동대 토리 구슬과 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]특수기동대 토리 구슬 1개[n]스페셜리스트 메달 1개[n]페어리 부스터 5개[n]고정 말풍선 30개[n]상급 카드 보호스크롤 3개[n]산양뿔 모자 1개[n]매우큰 전체회복제 99개[n]파워셀러 메달(30일) 1개[n]등급고정 해제 스크롤 3개[n]펫의 배달바구니 60일 1개[n]중간 스페셜 충전제 1개[n]
zts8830e	펫용 해적 트레이너(이벤트)
zts8831e	펫의 공격과 방어등급을 올려주는 트레이너를 소환한다.[n]바다에서 살아 남을 수 있게 하기 위해 혹독한 트레이닝을 한다.[n]펫으로 트레이너를 공격하면 공격등급이,[n]트레이너에게 펫이 맞으면 방어등급이 확률적으로 올라간다[n]트레이닝을 받아도 펫의 공격등급과 방어등급이 떨어지지 않는다.[n][주의사항][n]이 아이템은 이벤트 종료 시 사라진다.[n]
zts8832e	캡틴 코스튬 카드
zts8833e	캡틴으로 변신할 수 있다.[n]
zts8834e	캡틴 코스튬 카드(이벤트)
zts8835e	캡틴으로 변신할 수 있다.[n][주의사항][n]이 아이템은 이벤트 종료 시 사라진다.[n]
zts8836e	캡틴 토리(물) 구슬
zts8837e	미니 잭펜 구슬
zts8838e	미니 잭펜을 펫으로 데리고 있으면 1시간마다 다양한 아이템을 생산해 낸다.[n][사용방법][n]미니랜드에서 더블클릭 하여 사용한다.[n]
zts8839e	캡틴 토리(불) 구슬
zts8840e	캡틴 토리(빛) 구슬
zts8841e	캡틴 토리(어둠) 구슬
zts8842e	애꾸눈 캡틴 쿵펜 인장(이벤트)
zts8843e	브룩힐드 광장에 있는 연합 함선을 통해 애꾸눈 캡틴 쿵펜 레이드를 수행할 수 있다.[n]권장레벨 : 20-99[n]권장참여인원 : 10명 이상[n][사용방법][n]사용시 원정대 리더가 될 수 있다.[n]리더가 된 후 다른 사람을 클릭한 후 원정대 영입버튼을 누르며 원정대로 가입시킬 수 있다.[n]원정대원들과 함께 레이드맵 입구로 가서 리더가 입장하면 모두 자동으로 입장하게 된다.[n][주의사항][n]이 아이템은 이벤트 종료 시 사라진다.[n]
zts8844e	캡틴 코스튬 카드 조각(이벤트)
zts8845e	캡틴 코스튬 카드 조각.[n]캡틴 코스튬 카드 조각을 모아서[n]캡틴 코스튬 카드와 교환하거나[n]겜블에 도전할 수 있다.[n][주의 사항][n]이 아이템은 이벤트 종료 시 사라진다.[n]
zts8846e	해적 두건(이벤트)
zts8847e	용맹한 해적들이 쓰고 있는 두건으로[n]해적 깡펜과 해적 잭펜을 사냥하면 얻을 수 있다.[n][주의사항][n]이 아이템은 이벤트 종료 시 사라진다.[n]
zts8848e	항해사의 징표(이벤트)
zts8849e	유능한 항해사임을 나타내는 징표[n]항해사의 징표 10개와 해적섬 지도조각 10개를 모아[n]캡틴 잭스패논에게 가져다 주면[n]애꾸눈 캡틴 쿵펜 인장과 교환할 수 있다.[n][주의사항][n]이 아이템은 이벤트 종료 시 사라진다.[n]
zts8850e	해적섬 지도조각(이벤트)
zts8851e	해적섬의 위치가 나와있는 해적섬 지도조각[n]항해사의 징표 10개와 해적섬 지도조각 10개를 모아[n]캡틴 잭스패논에게 가져다 주면[n]애꾸눈 캡틴 쿵펜 인장과 교환할 수 있다.[n][주의사항][n]이 아이템은 이벤트 종료 시 사라진다.[n]
zts8852e	라임 주스(이벤트)
zts8853e	HP:800 MP:800[n]사용시 플레이어와 노스메이트를 회복시켜준다.[n]질병 계열의 나쁜 효과가 모두 사라진다.[n][주의사항][n]이 아이템은 이벤트 종료 시 사라진다.[n]
zts8854e	해적 푯말
zts8855e	캡틴 토리 구슬
