zts1e	일반효과
zts1408e	광대의 저주(F)
zts1409e	서커스 유령의 장난
zts1410e	광대의 저주(E)
zts1411e	광대의 저주(D)
zts1412e	광대의 저주(C)
zts1413e	광대의 저주(B)
zts1414e	광대의 저주(A)
zts1415e	광대의 저주(S)
zts1416e	놀래키기(F)
zts1417e	깜짝 놀라 정신줄을 놓친 상태
zts1418e	놀래키기(E)
zts1419e	놀래키기(D)
zts1420e	놀래키기(C)
zts1421e	놀래키기(B)
zts1422e	놀래키기(A)
zts1423e	놀래키기(S)
zts1424e	거대만드라(F)
zts1425e	만드라고라를 소환하여 적을 공격한다
zts1426e	거대만드라(E)
zts1427e	거대만드라(D)
zts1428e	거대만드라(C)
zts1429e	거대만드라(B)
zts1430e	거대만드라(A)
zts1431e	거대만드라(S)
zts1432e	구속(F)
zts1433e	나무 뿌리로 인해 이동이 불가능하다
zts1434e	구속(E)
zts1435e	구속(D)
zts1436e	구속(C)
zts1437e	구속(B)
zts1438e	구속(A)
zts1439e	구속(S)
zts1440e	바꿔치기(F)
zts1441e	잠시동안 대상과의 위치가 바뀐다.
zts1442e	바꿔치기(E)
zts1443e	바꿔치기(D)
zts1444e	바꿔치기(C)
zts1445e	바꿔치기(B)
zts1446e	바꿔치기(A)
zts1447e	바꿔치기(S)
zts1448e	검흔(F)
zts1449e	무언가에 베여 상당한 출혈이 발생된다.
zts1450e	검흔(E)
zts1451e	검흔(D)
zts1452e	검흔(C)
zts1453e	검흔(B)
zts1454e	검흔(A)
zts1455e	검흔(S)
zts1456e	엉덩방아(F)
zts1457e	상당한 충격을 받아 위험에 노출되어 있다.
zts1458e	엉덩방아(E)
zts1459e	엉덩방아(D)
zts1460e	엉덩방아(C)
zts1461e	엉덩방아(B)
zts1462e	엉덩방아(A)
zts1463e	엉덩방아(S)
zts1464e	매화만개(F)
zts1465e	피해 발생 시, 일정 수치만큼 반사한다. 단, 나쁜효과만 발생되는 공격에는 사용 할 수 없다.
zts1466e	매화만개(E)
zts1467e	매화만개(D)
zts1468e	매화만개(C)
zts1469e	매화만개(B)
zts1470e	매화만개(A)
zts1471e	매화만개(S)
zts1472e	동행 소공녀 샛별(F)
zts1473e	파트너 동행 효과
zts1474e	동행 소공녀 샛별(E)
zts1475e	동행 소공녀 샛별(D)
zts1476e	동행 소공녀 샛별(C)
zts1477e	동행 소공녀 샛별(B)
zts1478e	동행 소공녀 샛별(A)
zts1479e	동행 소공녀 샛별(S)
zts1480e	크램의 자아(주무기)
zts1481e	자아를 지닌 무기. 나눠진 크램을 합치면..
zts1482e	크램의 자아(보조무기)
zts1483e	죽음의 천사 아즈라엘
zts1484e	페르논의 날개로 흡수되어 있다
zts1485e	셀리루샤의 정기
zts1486e	빛나는 나무의 정기
zts1487e	루미니엘의 새벽 빛
zts1488e	아침을 열어주는 빛나는 보석
zts1489e	로르튼의 저녁 그림자
zts1490e	저녁을 알리는 그림자
zts1491e	샤레스의 전투 함성
zts1492e	용맹한 샤레스의 기운
zts1493e	라디쿤의 메아리
zts1494e	은빛영혼 라디쿤의 메아리
zts1495e	무크라쥬의 지식
zts1496e	마법사 무크라쥬의 방대한 지식
zts1497e	창조의 안셀로안
zts1498e	창조신 안셀로안, 모든 것의 처음을 시작하였다.
zts1499e	파괴의 페르논
zts1500e	파괴신 페르논, 모든 것의 끝을 만들었다.
zts1501e	신의 의지
zts1502e	치명타 확률이 대폭 증가된다.
zts1503e	신의 권능
zts1504e	모든 공격을 반사한다.
zts1505e	크램의 밝은 기운
zts1506e	크램의 기운이 전해진다.
zts1507e	단죄
zts1508e	죽음의 천사가 영혼을 치유할때 사용하던 마법, 지금은 기운을 흡수한 페르논이 사용할 수 있다
zts1509e	크램의 어두운 기운
zts1510e	크램의 강력한 기절
zts1511e	여신의 미소
zts1512e	HP가 빠르게 회복된다.
zts1513e	여신의 분노
zts1514e	HP가 빠르게 감소된다.
zts1515e	여신의 저주
zts1516e	다양한 저주 마법에 걸려있다.
zts1517e	여신의 질투
zts1518e	피해받은 데미지를 일정량 반사한다.
zts1519e	창조신 안셀로안
zts1520e	PvP 방어력이 대폭 상승된다.
zts1521e	파괴신 페르논
zts1522e	PvP 공격력이 대폭 상승된다.
zts1523e	프로즌 크라운의 한기
zts1524e	이동속도가 대폭 하락된다.
zts1525e	프로즌 크라운의 저주
zts1526e	일정시간 공격이 불가능해진다.
zts1527e	블레싱 오브 바우
zts1528e	쿨 비치 오라
zts1529e	요정의 날개
zts1530e	9주년 기념버프
zts1531e	파프니르의 저주
zts1532e	욕심많은 못된 용의 기운이 엄습해 온다.
zts1533e	오딘의 축복
zts1534e	오딘의 기운이 충만해진다.
zts1535e	바이킹의 함성
zts1536e	맹렬한 기세로 적들의 의지를 꺽어버린다.
zts1537e	용사의 의지
zts1538e	용사여 일어나세요.
zts1539e	발키리의 축복
zts1540e	발키리의 축복을 받는다.
zts1541e	영혼의 인도자
zts1542e	발할라로 인도되는 영혼들.
zts1543e	대자연의 축복
zts1544e	자연의 축복을 받아 매우 개운하다.
zts1545e	풍압
zts1546e	강력한 바람때문에 이동하기가 어렵다.
zts1547e	끈적이는 침
zts1548e	끈적거리는 침때문에 이동하기가 어렵다.
zts1549e	함정
zts1550e	이동속도가 감소되며, 물리공격 시 명중이 어렵다.
zts1551e	원천봉쇄
zts1552e	지속 시간동안 나쁜효과를 막아준다.
zts1553e	블레싱 오브 해적
zts1554e	동행 시, 알 수 없는 아이템을 얻을 수 있다
zts1555e	블레싱 오브 제독
zts1556e	각성 경험치와 명성 획득양이 증가한다
zts1557e	리치의 마력
zts1558e	리치의 마력으로 어둠의 기운이 증폭된다.
zts1559e	강력한 리치의 마력
zts1560e	리치의 마력으로 어둠의 기운이 대폭 증폭된다.
zts1561e	드래곤의 활력
zts1562e	드래곤의 활력으로 신체가 재생된다.
zts1563e	강력한 드래곤의 활력
zts1564e	드래곤의 활력으로 신체가 더욱 빠르게 재생된다.
zts1565e	절대적 보호
zts1566e	모든 피해를 막아준다.
zts1567e	금지된 주술
zts1568e	정신력을 고갈시켜 불사의 육체로 만든다.
zts1569e	망령의 참격(F)
zts1570e	망령의 힘이 스며든다.
zts1571e	망령의 참격(E)
zts1572e	망령의 참격(D)
zts1573e	망령의 참격(C)
zts1574e	망령의 참격(B)
zts1575e	망령의 참격(A)
zts1576e	망령의 참격(S)
zts1577e	데스트랏슈(F)
zts1578e	강력한 어둠의 힘이 폭발한다.
zts1579e	데스트랏슈(E)
zts1580e	데스트랏슈(D)
zts1581e	데스트랏슈(C)
zts1582e	데스트랏슈(B)
zts1583e	데스트랏슈(A)
zts1584e	데스트랏슈(S)
zts1585e	바이킹의 긍지(F)
zts1586e	바이킹의 긍지를 불태운다.
zts1587e	바이킹의 긍지(E)
zts1588e	바이킹의 긍지(D)
zts1589e	바이킹의 긍지(C)
zts1590e	바이킹의 긍지(B)
zts1591e	바이킹의 긍지(A)
zts1592e	바이킹의 긍지(S)
zts1593e	동행 본 워리어 롤로(F)
zts1594e	동행 본 워리어 롤로(E)
zts1595e	동행 본 워리어 롤로(D)
zts1596e	동행 본 워리어 롤로(C)
zts1597e	동행 본 워리어 롤로(B)
zts1598e	동행 본 워리어 롤로(A)
zts1599e	동행 본 워리어 롤로(S)
zts1600e	출세욕
zts1601e	출세욕에 눈이멀어 매우 흥분한 상태
zts1602e	활력
zts1603e	마왕님의 은총으로 죽었다 살아난 자들의 믿음
zts1604e	리더쉽
zts1605e	뜻밖의 리더쉽을 발휘하여 안보이는 부분을 찾아낼 수 있다
zts1606e	10주년 기념버프
zts1607e	꿈나라 하이패스
zts1608e	아무런 저항없이 빠른 속도로 잠에 빠져든다
zts1609e	마법 큐브[은신]
zts1610e	덜떨어진 마법 지식 수준으로 인해 미약하지만, 은밀하게 이동할 수 있다
zts1611e	마법 큐브[저항]
zts1612e	덜떨어진 마법 지식 수준으로 인해 미약하지만, 나쁜효과를 저항할 수 있다
zts1613e	마법 큐브[속도]
zts1614e	덜떨어진 마법 지식 수준으로 인해 미약하지만, 이동속도가 빨라진다
zts1615e	마법 큐브[기절]
zts1616e	덜떨어진 마법 지식 수준으로 인해 미약하지만, 잠시 기절된다
zts1617e	어깨빵(F)
zts1618e	단단한 어깨에 심한 충격을 받은 상태
zts1619e	어깨빵(E)
zts1620e	어깨빵(D)
zts1621e	어깨빵(C)
zts1622e	어깨빵(B)
zts1623e	어깨빵(A)
zts1624e	어깨빵(S)
zts1625e	강철의 생명력(F)
zts1626e	죽음의 공포로부터 해방된 시간
zts1627e	강철의 생명력(E)
zts1628e	강철의 생명력(D)
zts1629e	강철의 생명력(C)
zts1630e	강철의 생명력(B)
zts1631e	강철의 생명력(A)
zts1632e	강철의 생명력(S)
zts1633e	초강력 정전기(F)
zts1634e	강력한 자기장으로 몸이 말을 듣지 않는다.
zts1635e	초강력 정전기(E)
zts1636e	초강력 정전기(D)
zts1637e	초강력 정전기(C)
zts1638e	초강력 정전기(B)
zts1639e	초강력 정전기(A)
zts1640e	초강력 정전기(S)
zts1641e	하이퍼 머시너리 윙
zts1642e	머시너리 트랜스폼
zts1643e	하이퍼 머시너리 윙의 특수기능
zts1644e	날개 강화 효과. 스페셜리스트 카드 강화 수치가 15일 경우, 머시너리 트랜스폼이 발동된다.
zts1645e	큰 신년 축복
zts1646e	버프가 지속되는 30분동안 경험치가 30% 상승한다.
zts1647e	신년 축복
zts1648e	버프가 지속되는 30분동안 경험치가 10% 상승한다.
zts1649e	은밀한 움직임
zts1650e	은밀하고 민첩게 움직일 수 있으나, 라이더 탑승 해제 시 효과도 사라진다.
zts1651e	손날막기
zts1652e	적의 공격을 일부를 팅겨낸다.
zts1653e	금강불괴
zts1654e	적의 공격을 모두를 팅겨낸다.
zts1655e	강인한 신체
zts1656e	활성화된 기를 이용하여 공격력을 상승 시킨다.
zts1657e	민첩한 신체
zts1658e	활성화된 기를 이용하여 더욱 빠르게 이동한다.
zts1659e	준비자세
zts1660e	3회 동안 재사용 대기 시간없이, 스킬을 사용 할 수 있다.
zts1661e	천사들의 합창
zts1662e	천사들의 아름다운 목소리가 들려와 경청하게 된다.
zts1663e	천국의 문
zts1664e	정신이 혼미해지고 천국의 문이 보이기 시작한다.
zts1665e	내가 바로 챔피언
zts1666e	챔피언의 긍지를 나타낸다.
zts1667e	고스트
zts1668e	지치지 않는 상태의 효과를 받을 수 있다.
zts1669e	신부의 저주
zts1670e	더이상 좋은 효과를 기대하기 어렵다.
zts1671e	변화무쌍
zts1672e	자세의 변화로 전혀 다른 전투 스타일을 가진다.
zts1673e	해태의 기운
zts1674e	신체 능력이 강화된다.
zts1675e	용의 기운
zts1676e	불꽃을 다루는 능력이 강화된다.
zts1677e	야수의 움직임
zts1678e	굉장히 민첩한 움직임이 가능하다.
zts1679e	아지랑이
zts1680e	뜨거운 열기로 적의 공격을 차단한다.
zts1681e	불꽃피날레
zts1682e	터지는 폭죽처럼 아름다운 장관이 연출된다
