zts1e	최고의 서비스
zts9022e	파이어 스톰 구슬
zts9023e	스위트 래빗 코스튬 세트(영구)
zts9024e	러블리 래빗 코스튬 세트(영구)
zts9025e	UFO 팩
zts9026e	부활절 랜덤박스(일본)
zts9027e	파이어 스톰을 내 펫으로!
zts9028e	부활절 보물상자
zts9029e	파이어 스톰 구슬과 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]파이어 스톰 구슬 1개[n]이블 도그 구슬 1개[n]세라핌 구슬 1개[n]바이킹 가족 카드 상자 1개[n]러블리 래빗 코스튬 세트(영구) 1개[n]스위트 래빗 코스튬 세트(영구) 1개[n]프리미엄 메달(10일) 1개[n]빛나는 맑은 영혼 2개[n]파트너 스킬랭크 선택 초기화권 1개[n]파트너 스킬랭크 전체 초기화권 1개[n]털토끼 모자(30일) 1개[n]털토끼옷(30일) 1개[n]가죽 토끼귀(30일) 1개[n]가죽 토끼옷(30일) 1개[n]토리토리 허수아비 25개[n]
zts9030e	부활절 기념팩(말련)
zts9031e	토리 인형 쿠폰
zts9032e	이블 도그 구슬
zts9033e	아이스 아울 구슬
zts9034e	산타토리EX 구슬
zts9035e	어글리 루돌프 구슬
zts9036e	캡틴 토리(물) 구슬
zts9037e	캡틴 토리(불) 구슬
zts9038e	캡틴 토리(빛) 구슬
zts9039e	캡틴 토리(어둠) 구슬
zts9040e	마법 유니콘 상자(화이트)
zts9041e	마법 유니콘 상자(핑크)
zts9042e	마법 유니콘 상자(블랙)
zts9043e	엘카임
zts9044e	라디네
zts9045e	루미니엘
zts9046e	테라미크
zts9047e	캐서린 구슬
zts9048e	산타토리 코스튬 상자
zts9049e	아쿠아토리 코스튬 셋트(태국)
zts9050e	큰귀여우 코스튬 박스
zts9051e	킹꼬닭 주니어 알
zts9052e	무에타이 토리 펫 구슬
zts9053e	아쿠아토리 구슬
zts9054e	마법 빗자루 상자
zts9055e	마법 UFO를 타고 벚꽃놀이!
zts9056e	벚꽃놀이 보물상자
zts9057e	벚꽃놀이 기념상자![n]마법 UFO 상자와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]마법 UFO 상자 1개[n]마법 드래곤 상자 1개[n]마법 유니콘 상자(화이트) 1개[n]마법 유니콘 상자(핑크) 1개[n]F4 코스튬 세트(영구) 1개[n]퓨어라이트 스쿨룩 세트(영구) 1개[n]봉인항아리 25개[n]빛나는 맑은 영혼 2개[n]드래곤 하트 1개[n]파트너 스킬랭크 선택 초기화권 1개[n]파트너 스킬랭크 전체 초기화권 1개[n]프리미엄 메달(10일) 1개[n]라이더 부스터 50개[n]토리토리 허수아비 25개[n]
zts9058e	제너레이션 박스(일본)
zts9059e	마법 UFO 상자
zts9060e	신비한 박스!
zts9061e	미스터리 박스 A(홍콩)
zts9062e	다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]블랙토리 구슬 1개[n]검투사 토리 구슬 1개[n]토리토리 구슬(파랑) 1개[n]토리토리 구슬(녹색) 1개[n]토리토리 구슬(검정) 1개[n]사나운 가면 A 1개[n]사나운 가면 B 1개[n]사나운 가면 C 1개[n]똑똑한 펫먹이 1개[n]큰 스페셜 충전제 1개[n]등급고정 해제 스크롤 5개[n]장비 보호 스크롤 5개[n]실로안의 샘물 99개[n]
zts9063e	미스터리 박스 B(홍콩)
zts9064e	다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]블랙토리 구슬 1개[n]아쿠아토리 구슬 1개[n]토리토리 구슬(분홍) 1개[n]토리토리 구슬(빨강) 1개[n]토리토리 구슬 1개[n]침묵의 마스크 A 1개[n]침묵의 마스크 B 1개[n]침묵의 마스크 C 1개[n]노스메이트 소환 마법서 1개[n]큰 스페셜 충전제 1개[n]등급고정 해제 스크롤 5개[n]장비 보호 스크롤 5개[n]실로안의 샘물 99개[n]
zts9065e	미스터리 박스 C(홍콩)
zts9066e	다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]블랙토리 구슬 1개[n]감기걸린토리 구슬 1개[n]토리토리 구슬(노랑) 1개[n]토리토리 구슬(청록) 1개[n]토리토리 구슬 1개[n]심연의 눈가리개 A 1개[n]심연의 눈가리개 B 1개[n]심연의 눈가리개 C 1개[n]펫 슬롯 확장 구슬 1개[n]큰 스페셜 충전제 1개[n]등급고정 해제 스크롤 5개[n]장비 보호 스크롤 5개[n]실로안의 샘물 99개[n]
zts9067e	귀여운 매지션 코스튬!
zts9068e	매지션 랜덤박스(홍콩)
zts9069e	엔젤과 데빌 2종류의 매지션 코스튬과 다양한 아이템이 들어있는 상자[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]마법 유니콘 상자(화이트) 1개[n]엔젤 매지션 모자(영구) 1개[n]엔젤 매지션 의상(영구) 1개[n]엔젤 매지션 모자(30일) 1개[n]엔젤 매지션 의상(30일) 1개[n]데빌 매지션 모자(영구) 1개[n]데빌 매지션 의상(영구) 1개[n]데빌 매지션 모자(30일) 1개[n]데빌 매지션 의상(30일) 1개[n]포인트 초기화 물약 1개[n]영혼 부활석 1개[n]지름신의 축복 부적 1개[n]안셀로안의 축복 5개[n]타로카드 팩 2개[n]장비 보호 스크롤 3개[n]상급 카드 보호 스크롤 2개[n]하급 카드 보호 스크롤 3개[n]천사의 날개 99개[n]
zts9070e	매지션 코스튬을 입자!
zts9071e	매지션 코스튬 보물상자
zts9072e	엔젤과 데빌 코스튬과 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]엔젤 매지션 의상(30일) 1개[n]데빌 매지션 의상(30일) 1개[n]엔젤 매지션 모자(30일) 1개[n]데빌 매지션 모자(30일) 1개[n]토리 코스튬 의상(30일) 랜덤상자 1개[n]토리 코스튬 모자(30일) 랜덤상자 1개[n]태양신의 무기도면 1개[n]태양신의 보조무기도면 1개[n]태양신의 의상도면 1개[n]빛나는 맑은 영혼 2개[n]드래곤 하트 1개[n]파트너 스킬랭크 선택 초기화권 1개[n]파트너 스킬랭크 전체 초기화권 1개[n]프리미엄 메달(10일) 1개[n]
zts9073e	여성 코스튬 의상 랜덤상자 A 2013
zts9074e	여성 코스튬 의상 랜덤상자 B 2013
zts9075e	남성 코스튬 의상 랜덤상자 A 2013
zts9076e	남성 코스튬 의상 랜덤상자 B 2013
zts9077e	여성 코스튬 모자 랜덤상자 2013
zts9078e	남성 코스튬 모자 랜덤상자 2013
zts9079e	공용 코스튬 모자 랜덤상자 2013
zts9080e	머리 염색약 랜덤상자 2013
zts9081e	토리 컬렉터스 랜덤상자 2013
zts9082e	토리 컬렉터스 코스튬 랜덤상자 2013
zts9083e	엔젤 매지션 랜덤팩(말련)
zts9084e	데빌 매지션 랜덤팩(말련)
zts9085e	원하는 아이템으로 교환!
zts9086e	6월의 놀라운 선물상자
zts9087e	자신이 원하는 펫이나 라이더 또는 코스튬 아이템으로[n]교환할 수 있는 교환권이 들어 있는 판매 기간 한정 선물상자입니다.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]펫 교환권 1개[n]코스튬 교환권 1개[n]라이더 교환권 1개[n]바이킹가족 카드 상자 1개[n]페어리 보관 구슬 1개[n]고대 문명의 서판 1개[n]태양신의 무기도면 1개[n]태양신의 보조무기도면 1개[n]태양신의 의상도면 1개[n]빛나는 맑은 영혼 3개[n]드래곤 하트 2개[n]파트너 스킬랭크 선택 초기화권 2개[n]파트너 스킬랭크 전체 초기화권 2개[n]속성 레이드 초기화권 10개[n]프리미엄 메달(30일) 1개[n]
zts9088e	어쿠아틱 박스(태국)
zts9089e	마법 UFO 박스(태국)
zts9090e	마법 유니콘 박스(태국)
zts9091e	엔젤 매지션 코스튬 세트(영구)
zts9092e	데빌 매지션 코스튬 세트(영구)
zts9093e	고대영웅의 보물상자(일본)
zts9094e	윈드서핑 보드를 타자!!
zts9095e	여름맞이 보물상자
zts9096e	시원한 여름에 잘 어울리는 마법 윈드서핑 라이더와[n]다양한 아이템이 들어 있는 판매 기간 한정 선물상자입니다.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]마법 윈드서핑 보드 상자 1개[n]마법 드래곤 상자 1개[n]특수기동대 토리 구슬 1개[n]파이어스톰 구슬 1개[n]토리 코스튬 랜덤세트(영구) 1개[n]블루마린 코스튬(영구) 1개[n]블루마린 모자(영구) 1개[n]블루세일러 코스튬(영구) 1개[n]블루세일러 모자(영구) 1개[n]바이킹가족 카드 상자 1개[n]페어리 보관 구슬 1개[n]대지의 결정 3개[n]빛나는 맑은 영혼 3개[n]드래곤 하트 2개[n]파트너 스킬랭크 선택 초기화권 2개[n]파트너 스킬랭크 전체 초기화권 2개[n]프리미엄 메달(30일) 1개[n]
zts9097e	해군 토리를 내 펫으로!
zts9098e	해군의 큰 보물상자
zts9099e	신규 해군 토리 구슬과[n]다양한 아이템이 들어 있는 판매 기간 한정 선물상자입니다.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]해군 토리 구슬 1개[n]해군 의상(영구) 1개[n]해군 모자(영구) 1개[n]아쿠아토리 의상(영구) 1개[n]아쿠아토리 모자(영구) 1개[n]마법 윈드서핑 보드 상자 1개[n]캡틴 토리 구슬 1개[n]밀짚 모자(영구) 1개[n]캐서린 구슬 1개[n]페어리 보관 구슬 1개[n]8Lv 셀론 1개[n]아이스 윙 1개[n]빛나는 맑은 영혼 3개[n]드래곤 하트 2개[n]파트너 스킬랭크 선택 초기화권 2개[n]파트너 스킬랭크 전체 초기화권 2개[n]프리미엄 메달(30일) 1개[n]
zts9100e	해군의 작은 보물상자
zts9101e	신규 해군 토리 구슬과[n]다양한 아이템이 들어 있는 판매 기간 한정 선물상자입니다.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]해군 토리 구슬 1개[n]해군 모자(영구) 1개[n]아쿠아토리 모자(영구) 1개[n]밀짚 모자(영구) 1개[n]캐서린 구슬 1개[n]페어리 보관 구슬 1개[n]8Lv 셀론 1개[n]아이스 윙 1개[n]빛나는 맑은 영혼 1개[n]드래곤 하트 1개[n]똑똑한 펫먹이 2개[n]최고급 펫먹이 5개[n]수상한 펫먹이 10개[n]파트너 스킬랭크 선택 초기화권 1개[n]파트너 스킬랭크 전체 초기화권 1개[n]프리미엄 메달(10일) 1개[n]
zts9102e	해군 토리를 펫으로!
zts9103e	잭스패논의 가보 랜덤박스2013(홍콩)
zts9104e	해군 토리 구슬과 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]해군 토리 구슬 1개[n]캐서린 구슬 1개[n]캡틴 토리(물) 구슬 1개[n]캡틴 토리(불) 구슬 1개[n]캡틴 토리(빛) 구슬 1개[n]캡틴 토리(어둠) 구슬 1개[n]해군 모자(영구) 1개[n]해군 의상(영구) 1개[n]해군 모자(30일) 1개[n]해군 의상(30일) 1개[n]파트너 스킬랭크 선택 초기화권 1개[n]지름신의 축복 부적 1개[n]장비 보호 스크롤 2개[n]상급 카드 보호 스크롤 1개[n]하급 카드 보호 스크롤 2개[n]안셀로안의 축복 3개[n]수호신의 축복 5개[n]천사의 날개 99개[n]
zts9105e	마법 윈드서핑 보드 랜덤상자(태국)
zts9106e	해군 토리 랜덤상자(태국)
zts9107e	해군 토리 팩(말련)
zts9108e	아이스 아울 박스(태국)
zts9109e	마법 유니콘(핑크) 박스(태국)
zts9110e	마법 윈드서핑 보드를 타자!
zts9111e	마법 윈드서핑 보드 랜덤박스(홍콩)
zts9112e	마법 윈드서핑 보드 상자와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]마법 윈드서핑 보드 상자 1개[n]마법 융단 상자 1개[n]마법 스쿠터 상자 1개[n]클래식 토리토리 의상(영구) 1개[n]클래식 토리토리 모자(영구) 1개[n]파트너 스페셜카드 캐리어 1개[n]포인트 초기화 물약 1개[n]지름신의 축복 부적 1개[n]안셀로안의 축복 5개[n]수호신의 축복 10개[n]타로카드 팩 2개[n]향긋한 향수 5개[n]큰 스페셜 충전제 1개[n]장비 보호 스크롤 2개[n]상급 카드 보호 스크롤 2개[n]하급 카드 보호 스크롤 2개[n]천사의 날개 99개[n]
zts9113e	한가위 기념 상자!
zts9114e	한가위 보물상자
zts9115e	무기와 방어구 그리고 스페셜카드를 강화할 수 있는 강화요청권과[n]다양한 아이템이 들어있는 기간 한정 판매 보물상자입니다.[n]다음 아이템들 중 무작위로 한가지를 획득할 수 있습니다.[n][아이템 목록][n]무기 강화 +1 요청권(기간한정) 1개[n]방어구 강화 +1 요청권(기간한정) 1개[n]스페셜카드 강화 +1 요청권(기간한정) 1개[n]마법 빗자루 상자 1개[n]마법 드래곤 상자 1개[n]해군 토리 구슬 1개[n]파이어스톰 구슬 1개[n]토리 코스튬 랜덤세트(영구) 1개[n]바이킹가족 카드 상자 1개[n]페어리 보관 구슬 1개[n]태양신의 무기도면 1개[n]태양신의 보조무기도면 1개[n]태양신의 의상도면 1개[n]엔젤 윙 1개[n]데빌 윙 1개[n]파트너 스킬랭크 선택 초기화권 2개[n]파트너 스킬랭크 전체 초기화권 2개[n]프리미엄 메달(30일) 1개[n]
zts9116e	파이어스톰 랜덤박스(태국)
zts9117e	골든 장비 보호 스크롤
zts9118e	페어리 경험치 상승 물약
zts9119e	페어리 보관 구슬
zts9120e	할로윈 마법 랜덤박스(말련)
zts9121e	신규 머시너리 윙!!
zts9122e	윙스 랜덤박스(홍콩)
zts9123e	신규 머시너리 윙이 들어있는[n]특별한 선물 상자[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]마법 빗자루 상자 1개[n]펌프킨 토리EX 구슬 1개[n]머시너리 윙 1개[n]파이어 윙 1개[n]아이스 윙 1개[n]펌프킨 헤드 모자(영구) 1개[n]귀여운 펌프킨 헤드 모자(영구) 1개[n]할로윈 변신 스크롤 10개[n]성별변경 마법램프 1개[n]파트너 스킬랭크 선택 초기화권 1개[n]지름신의 축복 부적 1개[n]장비 보호 스크롤 6개[n]상급 카드 보호스크롤 3개[n]하급 카드 보호스크롤 3개[n]안셀로안의 축복 3개[n]수호신의 축복 8개[n]천사의 날개 99개[n]
zts9124e	천사의 날개 박스 2013(유럽)
zts9125e	보름달의 수정 상자 2013(유럽)
zts9126e	다크니스 윙 박스(태국)
zts9127e	2013 할로윈 보물상자
zts9128e	신규 머시너리 윙과 다양한 아이템이 들어있는[n]기간 한정 판매 보물상자입니다.[n]다음 아이템들 중 무작위로 한가지를 획득할 수 있습니다.[n][아이템 목록][n]머시너리 윙 1개[n]펌프킨토리EX 구슬 1개[n]마법 빗자루 상자 1개[n]마법 스노우보드 상자 1개[n]화이트 데빌 세트(영구) 1개[n]팅커벨 코스튬 세트(영구) 1개[n]귀여운 펌프킨헤드 모자(영구) 1개[n]펌프킨 헤드 모자(영구) 1개[n]큰 스페셜 충전제 99개[n]봉인항아리 45개[n]드래곤 하트 2개[n]빛나는 맑은 영혼 3개[n]엔젤 윙 1개[n]데빌 윙 1개[n]프리미엄 메달 (30일) 1개[n]
zts9129e	파트너 박스(유럽)
zts9130e	초대형 창고 상자(유럽)
zts9131e	롤러스케이트!!
zts9132e	롤러스케이트 랜덤 박스(홍콩)
zts9133e	스케이트 라이더를 획득 할 수 있는 찬스!![n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]마법 스케이트 상자 1개[n]마법 인라인 스케이트 상자 1개[n]마법 바이크 상자 1개[n]레인보우 토리 박스(홍콩) 1개[n]스페셜 카드 캐리어 1개[n]영혼 부활석 1개[n]포인트 초기화 물약 1개[n]지금신의 축복 부적 1개[n]장비 보호 스크롤 3개[n]등급고정해제 스크롤 3개[n]상급 카드 보호 스크롤 2개[n]하급 카드 보호 스크롤 3개[n]실로안의 샘물 80개[n]안셀로안의 축복 4개[n]천사의 날개 99개[n]
zts9134e	닌자 박스(태국)
zts9135e	닌자 스페셜리스트 상자(말련)
zts9136e	파트너 스킬 강화를 위해!
zts9137e	파트너 스킬랭크 전체 초기화권 1개[n]
zts9138e	파트너 스킬랭크 선택 초기화권 1개[n]
zts9139e	어둠의 일족 닌자 집단
zts9140e	닌자 적풍 카드
zts9141e	닌자 적풍 카드 1개[n]
zts9142e	닌자 연화 카드
zts9143e	닌자 연화 카드 1개[n]
zts9144e	닌자 천랑 카드
zts9145e	닌자 천랑 카드 1개[n]
zts9146e	화목한 바이킹 가족
zts9147e	바이킹 올가 카드
zts9148e	바이킹 올가 카드 1개[n]
zts9149e	바이킹 로이 카드
zts9150e	바이킹 로이 카드 1개[n]
zts9151e	바이킹 토르핀 카드
zts9152e	바이킹 토르핀 카드 1개[n]
zts9153e	적풍 세트!!
zts9154e	특급 닌자 적풍 카드
zts9155e	닌자 적풍 카드 1개와[n]파트너 스킬랭크 선택 초기화권 1개가[n]포함되어 있습니다.[n]
zts9156e	연화 세트!!
zts9157e	특급 닌자 연화 카드
zts9158e	닌자 연화 카드 1개와[n]파트너 스킬랭크 선택 초기화권 1개가[n]포함되어 있습니다.[n]
zts9159e	천랑 세트!!
zts9160e	특급 닌자 천랑 카드
zts9161e	닌자 천랑 카드 1개와[n]파트너 스킬랭크 선택 초기화권 1개가[n]포함되어 있습니다.[n]
zts9162e	올가 세트!!
zts9163e	특급 바이킹 올가 카드
zts9164e	바이킹 올가 카드 1개와[n]파트너 스킬랭크 선택 초기화권 1개가[n]포함되어 있습니다.[n]
zts9165e	로이 세트!!
zts9166e	특급 바이킹 로이 카드
zts9167e	바이킹 로이 카드 1개와[n]파트너 스킬랭크 선택 초기화권 1개가[n]포함되어 있습니다.[n]
zts9168e	토르핀 세트!!
zts9169e	특급 바이킹 토르핀 카드
zts9170e	바이킹 토르핀 카드 1개와[n]파트너 스킬랭크 선택 초기화권 1개가[n]포함되어 있습니다.[n]
zts9171e	한정 판매 패키지!
zts9172e	특급 파트너 패키지
zts9173e	파트너 카드 시리즈와 머시너리 윙 등.[n]다양한 아이템을 획득해 보세요![n]다음 아이템들 중 무작위로 한 가지를 획득할 수 있습니다.[n][얻을 수 있는 아이템][n]어둠의 일족 닌자 파트너 카드 시리즈 1개[n]화목한 바이킹 가족 파트너 카드 시리즈 1개[n]머시너리 윙 1개[n]빛나는 맑은 영혼 2개[n]드래곤 하트 2개[n]프리미엄 메달 30일 1개[n]파트너 보관 구슬 1개[n]파트너 스킬랭크 선택 초기화권 1개[n]파트너 스킬랭크 전체 초기화권 2개[n]잊혀진 영웅의 검 1개[n]잊혀진 영웅의 석궁 1개[n]잊혀진 영웅의 지휘봉 1개[n][주의사항][n]1) 파트너 카드 시리즈는[n]해당 속성의 카드를 모두 얻을 수 있습니다[n]2) 잊혀진 무기 시리즈는[n]무기 옵션이 적용되지 않은 +10강화의 상태로만 제공됩니다[n]
zts9174e	윈터 2013 박스(태국)
zts9175e	마법 스키 상자와 다양한 아이템이 들어있는 기간 한정 판매 상자입니다.[n]다음 아이템들 중 무작위로 한 가지를 획득할 수 있습니다.[n][아이템 목록][n]마법 스키 상자 1개[n]머시너리 윙 1개[n]브리키노이드 구슬 1개[n]파트너용 탕약 5개[n]빛나는 맑은 영혼 1개[n]드래곤 하트 1개[n]프리미엄 메달 10일 1개[n]똑똑한 펫먹이 2개[n]최고급 펫먹이 5개[n]수상한 펫먹이 10개[n]확성기 60개[n]
zts9176e	따뜻한 겨울을 보낼 수 있는 래빗 코스튬 세트(영구)와[n]겨울 스포츠 라이더 2종 등 다양한 아이템이 들어있는[n]기간 한정 판매 상자입니다.[n]다음 아이템 중 무작위로 한 가지를 획득할 수 있습니다.[n][아이템 목록][n]스위트 래빗 코스튬 세트(영구) 1개[n]러블리 래빗 코스튬 세트(영구) 1개[n]마법 스키 상자 1개[n]마법 스노우보드 상자 1개[n]특수기동대 토리 구슬 1개[n]사무라이 토리 구슬 1개[n]페어리 보관 구슬 1개[n]태양신의 무기도면 1개[n]태양신의 의상도면 1개[n]드래곤 하트 2개[n]빛나는 맑은 영혼 3개[n]노스메이트 소환 마법서 1개[n]머시너리 윙 1개[n]파이어 윙 1개[n]아이스 윙 1개[n]토리토리 허수아비 50개[n]프리미엄 메달 30일 1개[n]
zts9177e	신나는 겨울 스포츠!
zts9178e	크리스마스 랜덤 박스 2013(홍콩)
zts9179e	겨울을 맞이하여 신나는 스키와[n]스노우보드를 타보자![n]다음 아이템 중 임의로 한가지를[n]획득 할 수 있습니다.[n][아이템 목록][n]마법 스키 상자 1개[n]마법 스노우보드 상자 1개[n]마법 백호 상자 1개[n]아이스 아울 구슬 1개[n]루돌프 토리 구슬 1개[n]산타토리EX 구슬 1개[n]산타토리 구슬 1개[n]산타토리 모자(영구) 1개[n]산타토리 의상 (영구) 1개[n]파트너 스킬랭크 선택 초기화권 1개[n]지름신의 축복 부적 1개[n]장비 보호 스크롤 2개[n]상급 카드 보호스크롤 2개[n]하급 카드 보호스크롤 3개[n]안셀로안의 축복 3개[n]수호신의 축복 8개[n]천사의 날개 99개[n]
zts9180e	마법 지프 상자(옐로우)
zts9181e	마법 지프 상자(블루)
zts9182e	마법 지프 상자(레드)
zts9183e	마법 지프 상자(에메랄드)
zts9184e	마법 지프 상자(블랙)
zts9185e	마법 지프 상자(퍼플)
zts9186e	마법 지프 박스(태국)
zts9187e	새해 2014 상자(태국)
zts9188e	컬러풀 마법 지프!!
zts9189e	1월 랜덤 상자 2014 A(홍콩)
zts9190e	2014 새해 기념 맞이[n]1월의 특별한 선물 상자 A.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]마법 지프 상자(레드) 1개[n]마법 지프 상자(옐로우) 1개[n]레인보우 토리 박스(홍콩) 1개[n]머시너리 윙 1개[n]성별변경 마법램프 1개[n]영혼 부활석 1개[n]파트너 스킬랭크 선택 초기화권 1개[n]지름신의 축복 부적 1개[n]타로카드 팩 2개[n]장비 보호스크롤 2개[n]상급 카드 보호스크롤 2개[n]하급 카드 보호스크롤 3개[n]향긋한 향수 7개[n]안셀로안의 축복 3개[n]수호신의 축복 8개[n]천사의 날개 99개[n]
zts9191e	1월 랜덤 상자 2014 B(홍콩)
zts9192e	2014 새해 기념 맞이[n]1월의 특별한 선물 상자 B.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]마법 지프 상자(블랙) 1개[n]마법 지프 상자(퍼플) 1개[n]레인보우 토리 박스(홍콩) 1개[n]머시너리 윙 1개[n]성별변경 마법램프 1개[n]영혼 부활석 1개[n]파트너 스페셜 카드 캐리어 1개[n]지름신의 축복 부적 1개[n]타로카드 팩 2개[n]장비 보호스크롤 2개[n]상급 카드 보호스크롤 2개[n]하급 카드 보호스크롤 3개[n]등급고정 해제 스크롤 4개[n]안셀로안의 축복 3개[n]수호신의 축복 8개[n]천사의 날개 99개[n]
zts9193e	1월 랜덤 상자 2014 C(홍콩)
zts9194e	2014 새해 기념 맞이[n]1월의 특별한 선물 상자 C.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]마법 지프 상자(블루) 1개[n]마법 지프 상자(에메랄드) 1개[n]레인보우 토리 박스(홍콩) 1개[n]머시너리 윙 1개[n]성별변경 마법램프 1개[n]포인트 초기화 물약 1개[n]스페셜 카드 캐리어 1개[n]지름신의 축복 부적 1개[n]타로카드 팩 2개[n]장비 보호스크롤 2개[n]상급 카드 보호스크롤 2개[n]하급 카드 보호스크롤 3개[n]실로안의 샘물 80개[n]안셀로안의 축복 3개[n]수호신의 축복 8개[n]천사의 날개 99개[n]
zts9195e	화려한 지프 팩(옐로우)(말련)
zts9196e	화려한 지프 팩(블루)(말련)
zts9197e	화려한 지프 팩(레드)(말련)
zts9198e	화려한 지프 팩(에메랄드)(말련)
zts9199e	화려한 지프 팩(퍼플)(말련)
zts9200e	화려한 지프 팩(블랙)(말련)
zts9201e	잭팟 박스(유럽)
zts9202e	구정 맞이 특별한 선물 상자!!
zts9203e	구정 랜덤 박스 2014(홍콩)
zts9204e	다양한 아이템이 들어있는 구정 맞이[n]특별한 선물 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]마법 드래곤 상자 1개[n]마법 유니콘 상자(화이트) 1개[n]캐서린 구슬 1개[n]아이스 아울 구슬 1개[n]레인보우 토리 박스(홍콩) 1개[n]복 쥐 구슬 1개[n]세뱃돈 봉투 1개[n]큰귀여우 코스튬 박스 1개[n]프로 엘리먼트 박스(홍콩) 1개[n]엘카임 1개[n]라디네 1개[n]테라미크 1개[n]루미니엘 1개[n]파트너 스킬랭크 선택 초기화권 1개[n]장비 보호 스크롤 3개[n]상급 카드 보호스크롤 3개[n]하급 카드 보호스크롤 3개[n]안셀로안의 축복 5개[n]수호신의 축복 10개[n]천사의 날개 99개[n]
zts9205e	레이싱의 본능을 일깨우다!
zts9206e	노스 포뮬러 보물상자
zts9207e	컬러풀한 신규 마법 지프 라이더를 만날 수 있는 찬스![n]노스 포뮬러의 주인공이 되어보세요![n]다음 아이템들 중 무작위로 한 가지를 획득할 수 있습니다.[n][아이템 목록][n]마법 지프 상자(옐로우) 1개[n]마법 지프 상자(에메랄드) 1개[n]마법 지프 상자(블루) 1개[n]마법 지프 상자(레드) 1개[n]마법 지프 상자(퍼플) 1개[n]마법 지프 상자(블랙) 1개[n]라이더 부스터 50개[n]드래곤 하트 2개[n]빛나는 맑은 영혼 3개[n]머시너리 윙 1개[n]파이어 윙 1개[n]아이스 윙 1개[n]파트너 스킬랭크 선택 초기화권 1개[n]파트너 스킬랭크 전체 초기화권 2개[n]
zts9208e	어둠 속성 파트너 스페셜리스트 카드[n]사쿠라 공주 착용가능[n]넓은 범위 공격과 침묵 효과를!![n][n]닌자 적풍 카드 1개가 포함되어 있습니다.[n]
zts9209e	어둠 속성 파트너 스페셜리스트 카드[n]레인과 캐서린 착용가능[n]대상을 매혹시켜 곤경에 빠뜨린다![n][n]닌자 연화 카드 1개가 포함되어 있습니다.[n]
zts9210e	어둠 속성 파트너 스페셜리스트 카드[n]케빈과 킁 착용가능[n]빠른 이동 속도와 범위 공격!![n][n]닌자 천랑 카드 1개가 포함되어 있습니다.[n]
zts9211e	물속성 파트너 스페셜리스트 카드[n]사쿠라 공주 착용가능[n]광범위한 공격과 상태이상 효과를!![n][n]바이킹 올가 카드 1개가 포함되어 있습니다.[n]
zts9212e	물속성 파트너 스페셜리스트 카드[n]레인과 캐서린 착용가능[n]강력한 딜러를 원한다면!![n][n]바이킹 로이 카드 1개가 포함되어 있습니다.[n]
zts9213e	물속성 파트너 스페셜리스트 카드[n]케빈과 킁 착용가능[n]강력한 탱킹의 소유자![n][n]바이킹 토르핀 카드 1개가 포함되어 있습니다.[n]
zts9214e	남성용 발렌타인 데이 잭팟 박스 2014
zts9215e	남성용 발렌타인 데이 잭팟 박스 2014(EU)
zts9216e	여성용 발렌타인 데이 잭팟 박스 2014
zts9217e	여성용 발렌타인 데이 잭팟 박스 2014(EU)
zts9218e	발렌타인 2014 박스(TH)
zts9219e	남자의 선택!
zts9220e	발렌타인 랜덤상자 2014 &
