zts1e	밀라노 장비상점 (사용)
zts12905e	밤이 되고, 부인 독수리는 그녀의 남편에게 내일은 무엇을 먹을 것인지 물었고, 그녀의 남편은 TUMMABARN GUMARN의 시체라고 대답했어. 왜냐하면 그는 그 질문에 대한 답을 하지 못 할 것이고 그래서 그의 머리가 잘릴 것이라고 말했단다. 부인 독수리는 그녀의 남편에게 그 질문이 무엇이고 그 답이 무엇인지 물어 보았고 그 남편은 대답을 해주었지.
zts12906e	CHAORASRI가 있는 곳은 얼굴이고 그 이유는 인간이 그들의 얼굴을 아침마다 씻기 때문이며, TEANGRASRI가 있는 곳은 가슴인데 그 이유는 인간은 좋은 향기가 나는 무언가를 그들의 가슴 위에 사용하기 때문이며, KUMRASRI가 있는 곳은 발인데 그 이유는 인간은 자기 전에 발을 씻기 때문이지.
zts12907e	TUMMABARN은 이 것에 관하여 들었고 그의 성으로 갔어. 아침 TAOKABIN은 그 곳에 와서 TUMMABARN에게 모든 질문에 대한 답변을 요구했고 TUMMABARN은 독수리 남편에게 들은 대답을 그에게 해주었지. 그래서 TAOKABIN은 TUMMABARN에게 졌고 그는 그의 약속을 지기키 위해 그의 머리를 잘랐단다.
zts12908e	그러나 그의 머리는 너무나 강력해서 그의 머리가 땅에 묻으면 땅은 불타버렸고, 그의 머리를 공기 중에 두면 비가 내리지 않았으며, 그의 머리를 물 속에 던져 버리면 바다가 말라 버렸어.
zts12909e	PRASUMAIN은 그의 머리를 365일 내내 KANTATUREE KRAILAD의 동굴에 보관을 했어. 7명의 천사가 KRAOLAD Hill로 옮기는 일을 담당하였고, 매 4월 13일을 천사들이 쟁반의 소유자가 되는 날 즉 송크란으로 정하였어.
zts12910e	이 전설과 매년 3일 동안 벌어지는 송크란 축제는 의미를 가지고 있지.
zts12911e	3월 13일은 SANGKARNRONG의 날로 집을 청소 하는 날이고, 3월 14일인 NAO의 날은 음식을 스님들에게 주거나 친인척들에게 음식을 대접하는 날이고 이 것은 태국의 신년이기도 하지. 그 날에는 사람들은 나쁜 일은 하지 않으며 다른 사람에게 무례하게 굴거나 비난하지 않아.
zts12912e	3월 15일은 PAYA의 날로 가장 중요한 날이야. 이 날에는 사람들이 다른 이들 그리고 스님에게 돈을 기부하거나 아니면 그룹을 이룬 사람들이 스님들이나 어른들에게 절을 하러 가고 행복을 기원하며 서로에게 물을 뿌린단다. 이게 내가 너에게 해주고 싶은 이야기 전부야.
zts12913e	알겠어 고마워.
zts12914e	60병의 NAM OP THAI를 가져왔어.
zts12915e	120개의 PAUNG MALAI를 가져왔어.
zts12916e	200개의 KARN KLUAY를 가져왔어.
zts12917e	나중에 다시 올께.
zts14243e	하지만 로우쫑에게 가려면 원정대 인장이 필요합니다. 저에게 고기, 대나무 잎, 쌀을 3개씩과 2만 골드 가져다 주시면 로우쫑 원정대 인장으로 교환해 드릴게요!
zts14244e	ACT5 불타는 검-아스터사원 지하성소에 유령이?
zts14245e	어떤가요? 납골당 쪽은 서고 쪽보다 훨씬 강력한 유령들이 있을 거라고 생각하는데요.
zts14246e	ACT5 불타는 검-항구 습격 저지
zts14247e	이곳에 오면서 이상한 것을 보지 못했나?
zts14248e	[항구관리인 톰이 손을 들어 사막 쪽을 가리킵니다.]
zts14249e	저길세. 우리 모르타즈 항구는 지금 괴물들의 습격으로 그 일부가 파괴되었다네. 이상하단 말이야. 이전에는 없었던 괴물들의 습격이 얼마전부터 시작됐어.
zts14250e	이대로만 있을 순 없지 않겠나? 괴물들이 항구를 습격하지 못하도록 처치해주게.
zts14251e	오, 무언가 발견한 것이라도 있나?
zts14252e	아, 그렇군. 선인장 과실때문인가. 잘 해주었어. 일단 첫걸음은 성공이라고 볼 수 있지.
zts14253e	선인장 과실에 대해서 알고있나? 그건 우리 모르타즈 사막의 특산품이야. 아마 교역품들 중에서 본 것이 있을걸세. 요새 창고에서 선인장 과실이 사라졌다네.
zts14254e	그런데 말이야. 이상한게 있어. 그 분실된 선인장 과실 포대가 항구입구쪽에 널려있단 말이지.
zts14255e	일단 자네가 괴물들을 처치하면서 더 자세한 걸 알아내도록 해. 무언가 중요한 단서가 있을지도 모르겠군.
zts14256e	무슨 증거라도 찾아가지고 왔나?
zts14257e	뭐라고? 괴물들이 있는 곳에서 조금 떨어진 곳에서 정체를 알 수 없는 녀석들이 서성거렸다고? 이해할 수가 없군
zts14258e	분명히 녀석들이야! 사막도적단 놈들. 녀석들이 꾸민짓이 분명해. 일단 사막도적단 녀석들을 처치해서 증거를 찾아야 하네. 선인장 과실 포대가 나온다면
zts14259e	녀석들의 만행을 단호하게 처벌해야 하네.
zts14260e	녀석들에게서 선인장 과실 포대가 나왔나?
zts14261e	역시 녀석들의 짓이군. 일단 수고했네. 잠시 쉬도록 하게.
zts14262e	사막도적단에게 대항하기에는 모르타즈 사막 항구에는 인력이 부족해.
zts14263e	그래서 말인데 자네가 날 도와줘야겠어. 여기서 북쪽에 닐의 야영지라고 하는 사막도적단의 초소가 있어. 지금 당장 이 편지를 가지고 가서 그 근처에 숨어있는 조수 빈에게 전해줘.
zts14264e	그가 자네가 할일을 알려줄거야.
zts14265e	당신은 누구죠? 본적이 없는 사람인데?
zts14266e	아, 항구관리인 톰 씨가 보낸 사람인가 보네요? 일단 가져온 편지 좀 보여 주세요.
zts14267e	[편지를 읽어보던 조수 빈이 고개를 끄덕입니다.]
zts14268e	당신도 알다시피 현재 사막도적단 녀석들이 모르타즈 항구에 수작을 부리고 있잖아요. 녀석들이 다시는 그런 짓을 못하도록 해야 합니다.
zts14269e	일단 닐의 야영지에 있는 사막도적단 녀석들을 처치해 주세요.
zts14270e	어떻게 됐죠? 사막도적단 녀석들은?
zts14271e	잘하셨어요. 하지만 이걸로 모르타즈 항구를 위협하는 모든 요인들을 제거했다고 볼 수 없어요. 예전에 항구관리인 톰 씨가 한 말이 기억납니다.
zts14272e	사냥감을 사냥할 때의 사냥꾼은 절대 우연이나 직감으로 사냥감을 사냥하지 않는다고 해요. 분명히 무언가의 계획을 세웠단 말이죠.  바로 그거에요.
zts14273e	좋은 소식이 있어요. 당신이 닐의 야영지를 급습하고 있을 때 얻은 정보입니다. 부대장 닐에 관한 이야기인데 며칠전에 녀석에게 항구습격지령서가 도착했다고
zts14274e	합니다. 당신이 닐의 야영지로 가서 부대장 닐을 처치한 뒤에 항구습격지령서를 탈취하는 겁니다. 제게 가져올 필요는 없습니다. 바로 항구관리인 톰 씨에게
zts14275e	전해주세요.
zts14276e	무언가 가져온건가?
zts14277e	[항구관리인 톰이 항구습격지령서를 읽고는 쓴웃음을 짓습니다.]
zts14278e	수고했네. 보상은 섭섭하지 않게 해주겠네.
zts14279e	ACT5 불타는 검-항구 주변이 이상한데...
zts14280e	사막도적단이 괴물들을 선동해서 항구를 습격하고 있습니다. 우리는 그들이 괴물들을 선동해서 항구를 공격하는 것을 막아야 합니다.
zts14281e	닐의 야영지 인근에 있는 사막도적단 정찰병들을 전부 처치해주십시오. 그 후에는 그곳에 파견된 조수 빈의 지시를 따라주시기 바랍니다.
zts14282e	등대지기 칠튼 씨의 부탁으로 온 모양이군요. 잠시만 기다려 보세요. 부탁할 것들과 전해줄 정보를 찾아볼테니까요
zts14283e	[조수 빈은 가방을 뒤적이다가 작은 쪽지하나를 꺼냈다.]
zts14284e	이 쪽지는 어떤 모험가가 발견한 겁니다. 여기엔 사막도적단의 정보가 담겨있죠. 이 정보가 확실한지 확인해야 합니다. 이것과 비슷한 정찰보고서를 사막도적단 녀석들을 처치해서 가져오세요.
zts14285e	정찰보고서는 가져오셨나요?
zts14286e	이것이군요. 정찰보고서... 좋아요. 정보를 확인해보도록 하죠.
zts14287e	[정찰보고서를 읽던 조수 빈의 얼굴이 굳어집니다.]
zts14288e	이제 우리가 해야할 일들이 정해졌군요.
zts14289e	닐의 야영지는 모르타즈 사막 항구를 봉쇄하기 위해서 만들어진 곳입니다. 우리가 당하기 전에 닐의 야영지를 선제공격해야 합니다. 믿을만한 친구들과 함께 그곳에 있는 사막도적단 녀석들을 처치해주세요.
zts14290e	닐의 야영지는 어떻게 됐죠? 사막도적단 녀석들을 처치했나요?
zts14291e	좋아요. 우리는 이걸로 사막도적단의 행보를 조금이나마 지연시켰어요. 하지만 우리의 일은 여기까지가 아니에요. 아직 할일이 남아있어요.
zts14292e	전에 보고서를 보고 많은 생각을 했습니다. 정보가 더 필요해요. 이보다 높은 보안이 필요한 정보는 사막도적단의 간부인 부대장 닐이 가지고 있을 겁니다. 어서 닐의 야영지로 가서 부대장 닐이 가진 정찰보고서를 가져오십시오.
zts14293e	부대장 닐은 처치했나요? 그의 고급정찰보고서가 필요해요. 서둘러 주세요. 정보는 시간이 생명입니다.
zts14294e	어서 주세요.
zts14295e	[조수 빈이 황급히 고급정찰보고서를 읽습니다. 다 읽은 뒤에 조수 빈은 불안한 표정으로 주변을 서성입니다.]
zts14296e	지금 당장 무엇을 해야할지 정해야겠군요.
zts14297e	지금 당장 해야 할 것을 알려드리도록 하죠.
zts14298e	일단 당신이 가져온 정보들을 등대지기 칠튼 씨에게 가져다 주세요.
zts14299e	시간이 촉박합니다. 서둘러 주세요.
zts14300e	무언가 가져왔습니까?
zts14301e	이건 조수 빈 씨가 보내신 것인가 보군요. 기다리고 있었습니다. 전에 그가 이곳을 떠나기 전에 제가 부탁한 정보들이죠. 수고 많으셨습니다.
zts14302e	아카무르 상단 야영지는 항구와 데저트이글시티를 잇는 중요한 거점입니다. 절대 이 길이 끊겨서는 안됩니다.
zts14303e	일단 그들의 정찰보고서를 아카무르 상단 야영지에 있는 총행수 하마드 아카무르님께 전해주십시오. 그분께서 이 정보를 받으신다면 당신께 상당한 사례를 하실겁니다.
zts14304e	자네는 누구지? 본적이 없는 얼굴인데.
zts14305e	[총행수 하마드 아카무르는 보고서를 보곤 심각한 표정을 지었습니다.]
zts14306e	심각하군. 이 내용에 대해서는 다음 기회에 하도록 하지. 여기까지 오느라 수고 많았네. 내 섭섭지 않게 보상해주겠네. 자네가 시간이 된다면 이곳에 더 묵었으면 좋겠군.
zts14307e	ACT5 불타는 검-항구 사수
zts14308e	근래에 들어서 괴물들의 습격이 잦다고 생각했는데 그게 사막도적단 놈들의 소행이라는군.
zts14309e	며칠전에 조수 빈이 내게 좋은 계획이 있다는 편지를 주었네. 일단 자네는 닐의 야영지 근처에 있는 조수 빈에게 가보게. 그가 자네가 할일을 알려줄걸세.
zts14310e	아, 항구관리인 톰 씨의 부탁으로 오신 모양이군요. 편지가 제대로 전달되었군요. 좋아요.
zts14311e	일단 당신이 해야할 일에 대해서 설명해줄게요. 우리가 해야할 일은 사막도적단이 모르타즈 항구를 습격하는 것을 지연시키고 우리쪽에서 공격하기 쉽게 만드는 것입니다.
zts14312e	자, 일단 사막도적단들에게서 선인장 과실포대를 가져오세요. 그걸로 무언가를 준비해야겠으니까요. 어서 가보세요. 시간이 그리 넉넉치 않아요.
zts14313e	선인장 과실 포대를 가져왔나요?
zts14314e	분명히 선인장 과실 포대가 맞나요? 좋아요.
zts14315e	[조수 빈은 선인장 과실 포대를 보며 미소를 짓습니다. 그리고는 약병 하나를 꺼내서 선인장 과실 포대에 뿌립니다.]
zts14316e	저는 선인장 과실 포대에 특수한 향료를 첨가하려고 합니다. 우리가 당한걸 되갚아줘야죠.
zts14317e	자, 어서 이 선인장 과실포대를 자겨가서 닐의 야영지 곳곳에 뿌려주세요. 서둘러 주세요.
zts14318e	어떤가요? 사막도적단 녀석들의 기겁한 표정은 봤나요?
zts14319e	잘하셨습니다. 녀석들은 정신이 없을 거니다. 기다리세요. 아직 해야할 일이 남아있습니다.
zts14320e	이번에 닐의 야영지가 어수선한 틈을 타서 지령묵음들을 가져와야 됩니다. 그 지령묶음을 조작해서 그들의 지휘체계를 교란시킬 생각입니다.
zts14321e	지령묶음들은 아마도 닐의 야영지 부대장의 처소에 있을 겁니다.
zts14322e	지령묶음은 어떻게 됐습니까?
zts14323e	이것이로군요. 꽤 체계적인 것으로 보이는군요.
zts14324e	[조수 빈은 미리 준비해둔 것으로 보이는 종이 묶음을 가방에서 꺼냅니다.]
zts14325e	이제 이걸 닐의 야영지에 있는 부대장 처소에 두고 오십시오. 이제 그들의 지휘연락계통은 마비되겠죠. 적어도 닐의 야영지는 말입니다.
zts14326e	어떻습니까? 위조된 지령묶음은 효과가 있습니까?
zts14327e	[조수 빈은 입을 가리면서 웃음을 참고 있습니다.]
zts14328e	굳이 말씀하지 않으셔도 결과는 짐작이 됩니다. 당분간은 항구를 습격하는 본격적인
zts14329e	행동은 하지 않을 겁니다. 수고하셨습니다.
zts14330e	굳이 말씀하지 않으셔도 결과는 짐작이 됩니다. 내용을 생각하면 말이지요. 녀석들은 말도 안되는 행동을 하겠죠. 당분간은 항구를 습격하는 본격적인
zts14331e	당신이 했던 많은 일들은 여기 보고서에 적어두었습니다. 이걸 모르타즈 항구에 있는 항구관리인 톰 씨에게 전해주면 당신이 할 일은 끝나게 됩니다.
zts14332e	보상은 항구관리인 톰 씨가 해줄겁니다.
zts14333e	무슨 일인가? 내게 줄 것이라도 있나?
zts14334e	[항구관리인 톰은 천천히 보고서를 읽습니다.]
zts14335e	나름 좋은 소식이군. 꽤 만족스러운 결과군. 내 보상은 충분히 챙겨주겠네. 수고많았네.
zts14336e	ACT5 불타는 검-멍청하지만 소중한 조수
zts14337e	큰일이네. 조수 쉐인이 사막도적단 놈들에게 납치됐어.
zts14338e	조수 쉐인은 멍청하고 이기적이고 할 줄 아는 게 전혀 없는 정말 쓸모없는 녀석이지. 하지만 분명히 부인하고 싶어도 부인할 수 없는 내 소중한 조수일세.
zts14339e	안타깝지만 자네에게 줄 정보는 그리 많지 않아. 일단 닐의 야영지로 가보게. 포로들을 수용하는 곳에 잡혀있을 걸세.
zts14340e	어처구니가 없군요. 항구관리인 톰씨는 무슨 생각으로 당신같은 사람을 보낸 거죠? 그분은 저를 죽게 내버려 둘 셈인가요?
zts14341e	죄송합니다. 제가 실언을 했군요. 당신만이 제 마지막 희망입니다. 부디 저를 내버려두지 마세요. 지금 제게는 쇠사슬로된 자물쇠가 채워져 있습니다.
zts14342e	이걸 풀기위해서는 열쇠가 필요합니다. 열쇠는 약탈창고에 있는 열쇠지기가 가지고 있습니다. 그걸 가져오셔서 절 풀어주십시오. 부탁합니다.
zts14343e	열쇠는 어떻게 됐죠?
zts14344e	감사합니다. 이걸로 자물쇠를 풀 수 있겠군요.
zts14345e	[조수 쉐인이 자물쇠에 열쇠를 사용합니다. 하지만 자물쇠는 꿈쩍도 하지 않습니다.]
zts14346e	이럴수가. 자물쇠가 풀어지 않습니다. 이래가지곤 탈출할 수 없습니다.
zts14347e	분명히 사막도적단 포로관리인이 이 자물쇠를 풀 수 있는 열쇠를 가지고 있을겁니다. 분명히 사막도적단 포로관리인 술을 얻어먹으려고 경비초소에 기웃거립니다.
zts14348e	그를 처치해서 가지고 있는 열쇠를 가져와 주십시오. 서둘러주세요.
zts14349e	열쇠는요? 열쇠는 어디있죠?
zts14350e	[열쇠를 이용하자 쉽게 자물쇠가 열렸습니다.]
zts14351e	다행입니다. 이제 탈출해야 합니다.
zts14352e	아무런 힘도 없는 제가 이곳을 탈출하기 위해서는 당신의 도움이 필요합니다.
zts14353e	그러니까 제가 안전하게 이곳을 탈출할 수 있게 사막도적단들을 처치해주십시오. 녀석들을 처치한다면 추격대 파견도 힘들겠지요.
zts14354e	조수 쉐인은 어떻게 됐나? 무사한가?
zts14355e	[항구관리인 톰이 안도한 듯 한숨을 내쉽니다.]
zts14356e	다행이군. 조수 빈에게 조수 쉐인이 무사하다는 보고를 받았네. 한시름 덜었네. 내 섭섭하지 않게 보상을 해주도록 하지.
zts14357e	ACT5 불타는 검-하급 교역물 회수
zts14358e	며칠 전에 항구가 습격받았다는 소식을 들은 적이 있을 걸세. 그 중에 중요도에 따라 취급이 다르겠지만 모두 항구를 거쳐가는 소중한 물품들이지.
zts14359e	단 한개도 분실되어서는 안되네. 지금 추적할 하급 교역품들은 항구 주변에 뿌려져 있을 걸세. 그걸 되찾아오게.
zts14360e	하급 교역물들은 가져왔는가?
zts14361e	수고했네. 적절한 보상을 준비해뒀으니 그에 대한 걱정은 하지 않아도 되네. 대부분의 교역품은 아카무르상단 소유지. 아카무르 상단에서는 그에 관한
zts14362e	보상금을 준비해두었으니 받도록 하게.
zts14363e	ACT5 불타는 검-중급 교역물 회수
zts14364e	이번에 의뢰할 품목은 중급 교역물일세. 이걸 회수하려면 닐의 야영지 근처에 가야 하네. 사막도적단 녀석들이 미쳐 챙기지 못한 교역물이니 확실하게
zts14365e	회수해주길 바라네. 중급 교역물을 회수하고 난 뒤에는 닐의 야영지 근처에 있는 조수 빈에게 전해주게.
zts14366e	무슨 일인가요?
zts14367e	중급 교역물이군요. 다행이네요. 크게 손상되지 않은 모양이네요. 일단 이건 제가 다른 모험가들을 시켜서 항구관리인 톰씨에게 전해드리도록 하지요.
zts14368e	ACT5 불타는 검-상급 교역물 회수
zts14369e	사막도적단에서는 상급 교역물 외에는 눈독을 들이지 않는 것 같아요.
zts14370e	일단 상급 교역물들을 회수하도록 하죠. 상급 교역물들은 닐의 야영지 곳곳에 있으니 회수해오도록 하세요. 회수활동이 끝나면 당신이 직접 항구관리인 톰 씨에게 전해주도록 하세요.
zts14371e	상급 교역물을 가져왔는가?
zts14372e	다행이군. 아카무르 상단에서 자네에게 주는 보상금일세. 아직 많은 교역물들이 주인을 기다리고 있네. 아직 되찾지 못한 것들이 많지만 자네같은 모험가가
zts14373e	수고해준다면 교역물들은 본래 자리로 돌아가겠지. 정말 수고가 많았네.
zts14374e	ACT5 불타는 검-하급 교역품 탈취
zts14375e	괴물들이 항구 습격한 것은 알고 계시지요? 그때 항구의 교역품들이 탈취되었습니다. 저는 이곳에서 교역품들이 어떻게 이동하는지를 보아왔습니다. 교역품들은 사막의 곳곳에 버려지기도 했는데 그외에는 괴물들이 자신들의 먹이인 줄 알고 가져간 경우도 있습니다.
zts14376e	당신이 해주셔야 할 일은 괴물들에게서 교역품들을 탈취하는 것입니다. 서둘러 주십시오.
zts14377e	하급 교역품들은 어떻게 됐습니까?
zts14378e	좋습니다. 당신의 능력은 항구에서도 꽤 알려져 있습니다. 어깨를 펴시고 당당히 걸으셔도 됩니다. 이 하급 교역품들은 중요도에 따라 나눴다고는 하나
zts14379e	교역품을 기다리는 이들에게는 천금과도 같죠. 보상금은 아카무르 상단에서 지급한 것이니 받아주십시오.
zts14380e	ACT5 불타는 검-중급 교역품 탈취
zts14381e	이번 항구 습격사건의 배후에 사막도적단이 있는 것으로 밝혀졌습니다. 모든 교역품들에 그들이 관여하고 있다는 것이겠지요.
zts14382e	그들은 닐의 야영지 근처에서 중급 교역품들을 수집하고 운반하고 있을 겁니다. 그들에게서 중급 교역품들을 탈취해주십시오.
zts14383e	이번 중급 교역품들을 되찾게 되면 닐의 야영지 근처에 있는 조수 빈에게 전해주십시오.
zts14384e	무슨 일이죠? 제게 볼일이라도 있나요?
zts14385e	잘오셨어요. 중급 교역품을 회수하셨군요. 이건 제가 다른 모험가에게 부탁해서 항구로 운반하도록 하지요.
zts14386e	ACT5 불타는 검-상급 교역품 탈취
zts14387e	이번에는 닐의 야영지를 직접 공격해서 상급 교역품들을 가지고 오셨으면 합니다.
zts14388e	상급 교역품을 회수한 뒤에는 저에게 오지 마시고 모르타즈 항구에 있는 등대지기 칠튼 씨께 전해주십시오. 아카무르 상단의 보상금을 지급해주실 겁니다.
zts14389e	무슨 일이시지요?
zts14390e	상급 교역품이로군요. 다행입니다. 아카무르 상단의 상인들이 노심초사하면서 기다렸던 것이지요. 수고많으셨습니다. 보상금은 넉넉히 드리겠습니다.
zts14391e	ACT5 불타는 검-탈취된 아카무르 상단의 교역품을 찾아라.
zts14392e	현재 아카무르상단 야영지는 데저트이글 시티는 물론이고 모르타즈 항구로 가는 길조차 막혀있네. 상행을 할 수 있는 여건이 아니지.
zts14393e	하지만 포기할 수는 없네.
zts14394e	자네가 아카무르상단을 위해서 무언가 해주었으면 하네. 부행수인 슈밀 헤이즐에게 가면 자네가 할 수 있는 것들을 알려 줄테니, 그의 지시를 따라주게나.
zts14395e	잘 오셨습니다. 일손이 모자라던 참이었습니다.
zts14396e	총행수이신 하마드 아카무리님이 말씀하셨듯이 저희는 아카무르상단은 전례없는 위급한 상황에 당면해 있습니다.
zts14397e	그 중에 가장 큰 것은 소중한 교역품들을 탈취당했다는 사실입니다. 고객에게 교역품들을 제때에 전달 할 수 없는 상황이라 신용을 잃을 처지가 되었습니다. 우리는 목숨을 바쳐서라도 신용을 회복해야 합니다.
zts14398e	믿을만한 정보원에 따르면 상단야영지의 서부와 상단야영지 동부에 흩어져있다고 합니다. 반드시 회수해주시길 바랍니다.
zts14399e	아직입니까? 할일이 많이 남아있습니다. 서둘러 주십시오
zts14400e	일부지만 회수해서 다행이군요. 수고하셨습니다.
zts14401e	상당야영지 서부에서 수상한 움직임이 보이고 있습니다. 예전에 모르타즈 항구에서 전해 받은 사막도적단의 잔당이 아닐까 생각됩니다.
zts14402e	그들이 아카무르상단의 물건을 훔쳐간 것일지도 모릅니다.
zts14403e	그렇다면 물러설 수 없습니다. 사막도적단을 처치한 뒤에 교역품들을 회수해주십시오.
zts14404e	교역품은 회수했습니까? 시간이 없습니다. 서둘러주십시오.
zts14405e	역시 사막도적단의 짓이군요. 서둘러야겠습니다.
zts14406e	회수하신 교역품들은 안전하게 보관하도록 하겠습니다.
zts14407e	쓸만한 정보가 들어왔습니다.
zts14408e	탈취된 상단의 교역품들이 엉뚱한 곳으로 은밀하게 운반되고 있다는군요. 그 중요한 단서가 케루스의 야영지 인근에 있다고 합니다. 우리 아카무르상단의 교역품들을 되찾는데 중요한 단서라고 생각합니다.
zts14409e	케루스의 야영지 인근으로 가려면 상단 야영지 동부를 거쳐서 남쪽으로 가시면 됩니다. 서둘러 주십시오.
zts14410e	어떻게 되었습니까? 무언가 찾으셨습니까?
zts14411e	이것은 우리 아카무르상단의 깃발입니다.
zts14412e	저희는 상행을 하게되면 모든 교역품 상자에 상징인 이 문양을 새겨넣습니다. 탈취된 교역품들 사이에 이 깃발을 넣어두곤 하죠.
zts14413e	이걸로 우리는 몇가지 의문을 해결됐습니다.
zts14414e	자, 이제 우리 아카무르상단에서 해야할 일이 명확해졌습니다.
zts14415e	우리의 교역품들이 케루스의 야영지로 흘러들었고 그것을 되찾기 위해서는 그들을 공격해야 합니다. 저희 아카무르상단에서는 당신에게 상당한 기대를 걸고있습니다.
zts14416e	혼자서는 힘들 수 있으니 믿을만한 동료들과 함께 케루스야영지로 가셔서 사막도적단을 토벌해주십시오. 그리고 그들이 가진 아카무르상단의 교역품들을 회수해주시기 바랍니다.
zts14417e	상단교역품들은 어떻게 됐습니까? 아직입니까?
zts14418e	수고하셨습니다. 일단 쉬시고 계십시오. 이 물건들이 상단의 것인지 장부를 통해서 확인해봐야 합니다.
zts14419e	장부를 통해서 확인해보니 몇개의 중요한 물품들이 빠졌군요.
zts14420e	빠진 물품들 중에 고가의 물건들이 다수 포함되어있습니다. 케루스의 야영지로 흘러들어갔고 그 외의 반출은 없었던 것으로 추측해보면 그 교역품들은 아직 케루스의 야영지에 남아있을 가능성이 높습니다.
zts14421e	각 초소들을 샅샅히 조사해주십시오. 분명히 아카무르상단의 문양이 새겨진 상자가 있을겁니다. 그것들을 회수하십시오.
zts14422e	어떻게 됐습니까? 교역품은 손상이 없었습니까?
zts14423e	잠시 기다려주십시오. 장부와 일치하는지 확인을 해야합니다.
zts14424e	장부에 일치하지 않은 물품들을 확인했습니다. 이 부분은 어쩔 수 없지만 분실에 관련된 회계항목에 추가해야겠지요. 이건 상단에서 책임져야할 사항이니 걱정하지 않으셔도 됩니다.
zts14425e	모험가님께선 이번 일들에 관한 보고서를 총행수이신 하마드 아카무르님께 전달해주십시오. 그 분께서 아카무르 상단의 이름으로 적절한 보상을 지급하실 겁니다.
zts14426e	슈밀 헤이즐이 보내서 왔는가? 무언가 전해줄 것이 있지 않나?
zts14427e	[하마드 아카무르가 보고서를 읽고는 흡족한 표정을 짓습니다.]
zts14428e	좋군. 자네도 수고했네. 보상은 섭섭하지 않게 해주도록 하지. 우리 아카무르상단에 당면한 문제들이 상당히 많다네.
zts14429e	이곳에 머물동안 좀더 많은 도움을 주길 바라네.
zts14430e	ACT5 불타는 검-상단 야영지의 도로개통
zts14431e	저희는 금년의 상행 일정을 마치고 데저트이글 시티로 귀환하던 중이었습니다.
zts14432e	데저트이글 시티를 눈앞에 두고 이곳에서 잠시 쉬던 중에 괴물들의 습격을 받았습니다. 그로인해 하룻밤만 묵고 이동할 예정이었던 일정이 이렇게 며칠로 늘어나 버렸습니다.
zts14433e	이곳에 교역품을 두고 데저트이글 시티로 갈 수도 없는 상황입니다. 조금씩이라도 교역품들을 데저트이글 시티로 운송하려면 아카무르상단 야영지를 포위하고 있는 괴물들을 처치해야 합니다.
zts14434e	어떻습니까? 괴물들을 처치하셨습니까?
zts14435e	좋습니다. 다음 임무 수행을 위해서 잠시 쉬도록 하십시오.
zts14436e	모르타즈 항구와 아카무르상단 야영지 사이의 통행을 막는 괴물들을 처치했으니 이번에는 아카무르상단 야영지와 데저트이글 시티 사이의 통행을 막는 괴물들을 처치해야겠습니다.
zts14437e	지금 상단야영지 서부로 가서 괴물들을 처치해주십시오. 충분히 처치했다고 생각하면 제게 다시 오시면 됩니다. 어디까지나 저는 결과를 보고 판단할 것입니다.
zts14438e	아직 괴물들을 처치하지 않으셨군요. 이정도로는 아직 부족합니다. 이대로는 저희가 교역품들을 운송하기엔 위험이 큽니다.
zts14439e	이 정도면 충분합니다.
zts14440e	저희 쪽에 새로 들어온 정보에 의하면 모르타즈 항구와 아카무르상단 야영지의 통행을 저지하는 괴물들이 멜키의 야영지에서 올라고오고 있다고 합니다.
zts14441e	멜키의 야영지 인근으로 가려면 상단야영지동부에서 남쪽으로 내려가셔야 합니다.
zts14442e	서둘러 주십시오. 괴물들을 처치하는 것이 늦어지면 그동안 해왔던 교역로 확보에 힘들 수 있습니다.
zts14443e	멜키의 야영지 인근의 상황은 어떻습니까? 상단야영지 동부로 올라오는 것은 막을 수 있었습니까?
zts14444e	다행이군요. 차근차근히 다음 작전을 준비하도록 합시다.
zts14445e	총행수이신 하마드 아카무르님과 회의를 해본 결과 데저트이글시티와의 연결되는 교역로가 다시 괴물들에 의해서 가로막히는 것을 반드시 막아야 한다는 결정을 내렸습니다.
zts14446e	이제까지 비슷한 작전들을 수행해온 당신이라면 이번에도 충분히 그 역할을 하실 수 있을 것이라고 생각합니다.
zts14447e	어서 케루스의 야영지 인근으로 출발하시기 바랍니다. 저희가 정상적인 상행을 할 수 있도록 해주셨으면 합니다.
zts14448e	아직까지 케루스의 야영지에서 괴물들이 올라오고 있습니다. 긴장을 늦춰서는 안됩니다.
zts14449e	수고하셨습니다. 이번 작전으로 모르타즈항구와 아카무르상단 야영지, 그리고 데저트이글 시티로 이어지는 교역로가 어느정도 복구가 되었습니다.
zts14450e	교역로 확보에 관련된 작전들이 일단락되었군요.
zts14451e	이제 당신이 그동안 해왔던 작전 성과에 대해서 보고서를 작성했습니다. 이걸 총행수이신 하마드 아카무르님께 전해드려야합니다. 이 보고서를 그분께 전해드리면 적절한 보상을 해주실겁니다.
zts14452e	아카무르상단을 위해서 당신이 해준 노력은 잊지 않겠습니다.
zts14453e	무슨일인가? 내게 볼일이 있는가?
zts14454e	이걸로 중요 교역품들을 먼저 데저트이글 시티로 보낼 수 있겠군. 그래도 한시름 덜었어. 자네의 노력덕에 아카무르상단은 신용을 지킬 수 있게 되었으니, 아카무르상단을 대표해서 넉넉하게 보답하겠네.
zts14455e	ACT5 불타는 검-사막도적단과의 협상
