zts1e	Milano Tool Shop (Use)
zts4435e	Hmmm. It's a big problem, but the bigger problem is that we don't have any evidence.
zts4436e	No. we don't.
zts4437e	Without evidence, what you are saying doesn't hold much ground as truth.
zts4438e	Suddenly outside the camps, a big fuss erupts.
zts4439e	Attack of the Kovolts!! The Milano guards have to support Lopello's knights from behind!!
zts4440e	Hmmm. Let's talk about it later. But, the combat situation is urgent now. Can you help me?
zts4441e	Ah.. Yes.
zts4442e	Commander. he is?
zts4443e	Yes, he is a NosCamp Adventurer.
zts4444e	You NosCamp losers! (Looking at the Commander) They are cowardly and sometimes side with the Kovolts. You'd better not trust him!
zts4445e	What are you talking about!!
zts4446e	It's a matter that we have to judge, it's enough for now. The battle is about to begin.
zts4447e	Kovolt soldier: Gray storm approaches. Now, the human beings are finished!
zts4448e	Hmmm.. It's so lucky to finish the battle without much disaster.
zts4449e	Yes.
zts4450e	I can see the concern on his face. War devastates people.
zts4451e	Commander.
zts4452e	Yes. I didn't give you the answer.
zts4453e	I heard that, Adventurer. But you think it's reasonable? Our glorious knights brought Demons?
zts4454e	Hmmm. Be quiet.
zts4455e	But Commander!!
zts4456e	Okay.. Okay.. My fellow Adventurer. I will trust you and will keep my eyes on the knights. But, don't expect us to take any action now.
zts4457e	Until we have the critical evidence.
zts4458e	Commander!!
zts4459e	You know what I mean?
zts4460e	Yes.. Yes!!
zts4461e	Don't know why, but Baymen's eyes are blazing.
zts4462e	I've been waiting.
zts4463e	It's useless.
zts4464e	It's the same to us. We might be arrested for spreading false rumors.
zts4465e	(Sigh!!) I don't know what is happening.
zts4466e	Cheer up! It's not finished yet.
zts4467e	(At this moment, some noise comes from the village.)
zts4468e	I think it's a large scale battle against the Kovolts.
zts4469e	The Milano guard has to take responsibility for this!!
zts4470e	Raymond: ..
zts4471e	The knights have had such a huge disaster because the Milano guards retreated suddenly. Now, we don't know where they are!!
zts4472e	Why do you keep silent!! Commander!!
zts4473e	.. Did you forget that the Milano guards don't belong to Lopello?
zts4474e	We have the right to be independent. Don't talk about it any more. You may demoralize the soldiers.
zts4475e	..
zts4476e	And you adventurer.
zts4477e	Yes.. Yes?
zts4478e	Can you find out where the lost knights are? We are short of hands right now.
zts4479e	Yes.. I can.
zts4480e	Here's a trace. Over there?
zts4481e	Here.. below this log.
zts4482e	Note: All knights should go through the mines and get together!!
zts4483e	Ah. you are here.
zts4484e	Haha.. We are still safe. Lopello's knights are not that weak to be defeated by the Kovolts.
zts4485e	Now, let's go back to base camp!
zts4486e	We can't. Now, Koaren's partisans are ambushing. We may suffer a lot of damage if we move now.
zts4487e	Hmmm.
zts4488e	Well. We have plenty of supplies.. So, we can stay here for the time being. No need to worry. By the way, give this document to Baymen.
zts4489e	It's information on the supportive troops. Don't lose it!!
zts4490e	Hmmm. A document on the supportive troops?
zts4491e	Baymen reads through the document.
zts4492e	(Mumble) Baymen's face looks rigid.
zts4493e	One favor for me.
zts4494e	You.. get this.
zts4495e	This is. it looks like powder?
zts4496e	It's magic powder. You have to spread it on a red plate.. You may find the plate nearby.
zts4497e	But.. what does it mean?
zts4498e	You will see. Do NOT make a mistake!!
zts4499e	What is that disgusting noise?
zts4500e	Voice of guard: Attack!! Koaren's attack!!
zts4501e	What the heck.. What exactly does Lopello have in mind? How did he compromise with the Demons?
zts4502e	.. Now, I, Baymen, will take over command. So watch your mouth!
zts4503e	Ex.. excuse me..
zts4504e	You.. You!!
zts4505e	Why? Why are you surprised?
zts4506e	You successfully avoided the curse of the plate.
zts4507e	Now, Lopello's knights has commanding rights over all the soldiers in the war against Koaren. That includes NosCamp adventurers, too!!
zts4508e	Oh.. Yes. I know an appropriate role for you.
zts4509e	What is that?
zts4510e	The supplies from NosCamp were not enough, so all the swords of the knights have become rusty!! We cannot proceed the war with this!! Now I order you to produce 99 swords for the knights.
zts4511e	If you can't make it.
zts4512e	Yes. yes. and then?
zts4513e	I will punish you by military law!!
zts4514e	(Mumble) He must hate me deeply.
zts4515e	Swords of knights?
zts4516e	Yes.. Hurry.. I need 99 swords.
zts4517e	Bleh! That's impossible!
zts4518e	But. please. please.
zts4519e	I don't have the seal of the knights. Without it, I cannot make it.
zts4520e	But. please..
zts4521e	No.. period!
zts4522e	(Voice of Baymen echoing)
zts4523e	I will punish you by military law!!
zts4524e	Hey. the Commander ordered this?
zts4525e	Please. Is it really impossible?
zts4526e	No.. It's not possible.
zts4527e	(Sigh)
zts4531e	Please.. Tell me how to make it.
zts4533e	Ple.. ea.. se.
zts4534e	What?
zts4535e	How to make the seal!!
zts4536e	Ah.. Good idea.
zts4537e	Please.
zts4538e	Hmmm.. If you go to the Western mines, someone will come to you.
zts4539e	That's all?
zts4541e	??: Are you the guy Morgan introduced?
zts4542e	Who are you?
zts4543e	??: Bring me the heart of the Red Clay Golem in the closed mine.
zts4544e	What? What did you say?
zts4545e	(Silent)
zts4546e	He disappeared.
zts4547e	(Sigh!!) So scared.. I will hurry and bring it.
zts4548e	??: Hah! Well done. With this, I can break into Lopello's house with ease.
zts4549e	What? What do you mean? Do you intend to steal the seal from him?
zts4550e	??: Nobody can duplicate the seal. Anyway, wait some more. It will take a little more time. And I will give it to Morgan.
zts4551e	(Silent again.)
zts4552e	Dis.. disappeared.
zts4553e	Put him in jail now!!
zts4554e	What? Why??
zts4555e	Did you make 99 swords?
zts4556e	No. Not yet. but.
zts4557e	Right now, imprison him!
zts4558e	Just.. just a moment!! I need more time!!
zts4559e	(Suddenly, a fussy noise comes from the outside.)
zts4560e	Guard: Enemy!! The Koarens are invading us again!
zts4561e	Hmmm. He is so lucky.
zts4562e	The enemy has. allies.
zts4563e	If it's about the sword.. I will bring them!!
zts4564e	Baymen!! Don't hurry to make a decision!
zts4565e	Sir, I don't want to say this.. but, mind your own business, please. I will hang him up tonight.
zts4566e	Please, Baymen. He's still young. Give him a break.
zts4567e	You always want to be.. promoted..
zts4568e	What do you mean? It's your own right to decide promotion.
zts4569e	You will be.. So, save him.
zts4570e	Commander!!
zts4571e	Hmmm.. You think that the adventurer is worth that?
zts4572e	Everyone is worth. And so are you.
zts4573e	Bleh. You are too proud of yourself. Okay.. anyway, it's fine.
zts4574e	Thanks.
zts4575e	Hey!! I will give you one more day.
zts4576e	..
zts4577e	Now, you can leave!
zts4578e	You will feel sorry about this!!
zts4579e	Hahaha!!
zts4580e	Here are 99 swords!
zts4581e	Ah.. Already?
zts4582e	Hahaha.. And I already returned the seal.
zts4583e	Haha. Hahaha.
zts4584e	By the way.
zts4585e	Rumor has it that the Demons are in Sir Lopello's mansion.
zts4586e	Said to be working with GrrKenko.
zts4587e	What? That's ridiculous!!
zts4588e	I don't mind if it's ridiculous or not. Hahaha!!
zts4589e	Put him in jail now!!
zts4590e	No. Here, I brought them.
zts4591e	Wow. You made it. Hahaha.
zts4592e	Hahaha! You. Hmmm. made it.
zts4593e	Thanks to the Commander's help. And Commander, I have one thing to tell you in private.
zts4594e	Telling the story of the Demon to Raymond.
zts4595e	Hmm I have to tell this story to our soldiers in the line of fire against the Kovolts now.
zts4596e	What will happen?
zts4597e	Hmmm.. I don't know why Lopello did this. Anyway, instead of fighting and making sacrifices, let's hold it and see what's coming.
zts4598e	Sooner or later, this balance of power will be broken and the war will be over.
zts4599e	Hey. Baymen!!
zts4600e	Haha.
zts4601e	(Mumble) Insane.
zts4602e	(Telling the story of the Demon to Romanson.)
zts4603e	What. does it mean?
zts4604e	Trust me. I am not telling you a lie.
zts4605e	So.. So what are we to do?
zts4606e	Avoid the useless combat.
zts4607e	Hahaha.. useless combat? We are soldiers. And all combat is useful.
zts4608e	Everyone, listen! We will attack the enemy from a passage to their side. Be ready to attack.
zts4609e	Sir!!
zts4610e	And you!! You are assigned to be a scout. Figure out the way for the attack. Hurry up!
zts4611e	Did you forget? Sir Lopello said the Milano guards and Noscamp have to obey the knights!!
zts4612e	Ah.. Yes.. I understand.
zts4613e	Now, let's go back to base camp!
zts4614e	What the!
zts4615e	Calm down.
zts4616e	will kill all Demons.. (Grumble) .
zts4617e	Please calm down.
zts4618e	You! Get out of my face. Go to NosCamp or hell!!
zts4619e	Hey.. It's a big problem!!
zts4620e	What? What is it?
zts4621e	NosCamp.. It was ordered to shut down!!
zts4622e	What??
zts4623e	The other day, the seal of Sir Lopello was stolen and the thief was. an adventurer of NosCamp.
zts4624e	What! No! No! I need. I need to meet Morgan!
zts4625e	Haha!! Long time no see!
zts4626e	What happened? Didn't you return the seal?
zts4627e	Haha! I thought it was returned, but because you asked, I guess not.
zts4628e	What?? What are you going to do? How did it happen?
zts4629e	Hahaha.. It was you that asked me to steal the seal. You made this!!
zts4630e	I am not asking you who made this. I am asking you how to handle this!!
zts4631e	Hahaha. If you only have to.
zts4632e	Tell me!! Do you have a good idea?
zts4634e	Haha.. Try.
zts4635e	Okay. With this, we can meet Sir Crescendo.
zts4636e	Sir Crescendo?
zts4637e	He is the right arm of Lopello and he likes bribes. That's why he likes me so much.. Haha!!
zts4638e	(Mumble) Can.. can be.
zts4641e	Commission.
zts4642e	This is the commission for the broker.
zts4643e	That much? Who's the broker?
zts4644e	Me of course.
zts4645e	Okay. anyway, but it's not enough. Hmm. Have you heard about.
zts4646e	the Bloody-shining Ruby?
zts4647e	What is that?
zts4648e	It's a beautiful gem that can touch Sir Crescendo.. If we have it, everything will be easy.
zts4649e	Hmmm. If it's a gem, I will ask Mr. Celloin.
zts4650e	The Bloody-shining Ruby. Everyone who knows about gems knows about this. It's the gem of gems, you know?
zts4651e	How can we find it?
zts4652e	Well.. The Bloody-shining Ruby is made from bloody rubies. However..
zts4653e	This bloody ruby is rare and can be extracted from vampie leech.
zts4654e	Vampie leech?
zts4655e	Yes. It's also so rare leech that people are not allowed to catch it. But if you need it desperately, I can tell you the place to get it.
zts4656e	Yes. Please. I will catch it!
zts4657e	But. I can't guarantee it because it's so rare.
zts4658e	Oh my God.. You made this!!
zts4659e	(Celloin is making a Bloody-shining Ruby.)
zts4660e	Yes.. Here it is. Isn't it fabulous!!
zts4661e	Hahaha.. Now everything's ready, so believe me!!
zts4662e	Are you sure everything is perfectly ready?
zts4663e	Don't you know me? Don't worry!
zts4664e	(Mumble) Yes.. I know you too well. That's the problem.
zts4665e	Good news!! With the generosity of Sir Crescendo, the punishment to NosCamp was withdrawn.
zts4666e	Hahaha.. Yes.. I am so happy.
zts4667e	But, it's only under one condition.
zts4668e	Condition?
zts4669e	Yes. We must collect information on the Kovolt Kenko in Kreano.
zts4670e	Hmmmm. Do you have any idea?
zts4671e	Hmmm. Rumor has it that the Demons are compromising with Kenko for something.
zts4672e	What? What do you mean? The Demons must be. with Lopello.
zts4673e	I don't know.
zts4674e	(Telling Eril what happened so far.)
zts4675e	It was true!! I will report it to Sir Lopello and NosCamp.
zts4676e	And then, I will inform the knights and Milano guards of this!
zts4677e	If the Demon has planned to give the Milano area to Kenko, the alliance between the Demons and Lopello must be broken.
zts4678e	Yes. It must be.
zts4679e	(Telling Raymond and Baymen what happened so far.)
zts4680e	(Sigh!!) So, it was like this.
zts4681e	Those dirty Demons.. They cheated us!! Dirty species!!
zts4682e	Calm down. As we lost to the Demons, Koaren also lost to Kenko. It may be the best time to finish the war.
zts4683e	Maybe.
zts4684e	We will handle the alliance with the Demons later. Right now, treating Koaren is more urgent. Baymen, give the order.
zts4685e	Yes Sir.
zts4686e	If finishing the war is most urgent, then I will be at the front. Let me help put an end to this!!
zts4687e	That's enough. Now, let's launch a full-scale attack! Baymen!!
zts4688e	Yes Sir!
zts4689e	The enemy is running away.
zts4690e	This way?
zts4691e	Uhh?? Where did they run off to?
zts4692e	Now I know how KrrKoaren and Kenel disappeared. (Sigh!) will meet them soon.
zts4693e	Kenko. what are they thinking? We may get some clues if we search around here.
zts4694e	What. What is this? Some mysterious power is coming from this.
zts4695e	Maybe Raul knows about this.
zts4696e	Raul: Hmmm. This is.
zts4697e	Do you know what it is?
zts4698e	Ahhh.. Sorry, but I don't know.. But it doesn't seem to be precious.
zts4699e	Really?
zts4700e	Hmmm. This is.
zts4701e	Anything special?
zts4702e	Well.. I don't know.
zts4703e	Hmmm.
zts4704e	But.
zts4705e	There is a message is on it.
zts4706e	What? What is it?
zts4707e	2nd floor of the deserted mines. The sculpture with the open mouth. Touch the necklace of the Hell dog. The door will be opened.
zts4708e	Well, what do you mean?
zts4709e	Don't know. Hahaha.
zts4710e	A strange feeling.
zts4711e	Ahhh. Here. It's for.
zts4712e	Who?
zts4713e	Kenko?? Hmm. Strange name. (Mumble)
zts4714e	Do you know. him?
zts4715e	Excuse me, do you know where I can get the necklace of Hell dog?
zts4716e	The necklace of Hell dog?? Why, of course, Hell dog has it. (Grumbling)
zts4717e	So, where do I have to go?
zts4718e	Hell dog lives.
zts4719e	Hmmm. It's such an unpleasant place.
zts4720e	Ahh. it is.
zts4721e	Are you an intruder?
zts4722e	Haha. Human beings are not allowed to come here.
zts4723e	Bring it on!!
zts4724e	No. please wait.
zts4725e	Even though I may look strict, I know about flexibility.
zts4726e	What do you mean?
zts4727e	It means with a bribe, I can keep silent.
zts4728e	Hahaha.
zts4729e	Let's like peace. Hahaha.
zts4730e	Hmm.. This doesn't seem like a conversation Devils would have.
zts4731e	Well. the Devil world is not that different from others. Corruption and decay are everywhere.
zts4732e	Okay.. okay.. then, what do you want?
zts4733e	Whiskers of blue mole.
zts4734e	What? What is it?
zts4735e	The most popular fashion accessory in the Devil world these days.
zts4736e	Hmmm.Okay.
zts4737e	Yes, and I will consider the deal was made, and hope you hurry up. I can't zip my mouth for ever, you know.
zts4738e	Haha.. Good job!
zts4739e	Just a moment!!
zts4740e	I came here for Kenko. I chased him. Where is he now?
zts4741e	Not here.
zts4742e	He went back a long time ago. He said he just came here to get some antidote.
zts4743e	Hmmm. That means that I am late.
zts4744e	But if you want, I can tell you where he is.
zts4745e	Do you know where he is?
zts4746e	Of course.. Haha.
zts4747e	Can you tell me right now?
zts4748e	Of course, but not to empty hands! Haha!!
zts4749e	(Mumble) Reminds me of someone in Milano.
zts4750e	Kenel.
zts4751e	Yes.. Master.
zts4752e	Collect all the scattered soldiers and put them in order. It's war. War to punish our brother.
zts4753e	Yes. Master!
zts4754e	And human beings.
zts4755e	We have to finish the story with you.
zts4756e	The story ends with.
zts4757e	cease-fire.
zts4758e	Ahhh. It breaks my heart. Brothers.
zts4759e	Get quest.
zts4760e	Finish.
zts4761e	Bet.
zts4762e	Life is a gamble. Will you bet?
zts4763e	Apply for job-change.
zts4764e	Family-related.
zts4765e	Get quest.
zts4766e	Learning Skill.
zts4771e	Individual arena.
zts4772e	Family arena.
zts4773e	Time Circle.
zts4774e	Teleport.
zts4775e	Decide place of respawn.
zts4776e	(이해가 안됨)
zts4777e	For use of laboratory.
zts4778e	Hmm. This is.
zts4779e	Hmm. It's great. This is.
zts4780e	Well. anyway, I think we can make something funny with this.
zts4781e	God Zenas. It's the shadow of Zenas. Anyway, that shadow ruined. the lab.
zts4782e	Anyway, just a moment. Ummm. Here it is. This is.
zts4783e	This is the seal I mentioned. With this, you may meet. Shadow Zenas.
zts4784e	According to this document. Hehe. well. even though I can't guarantee it.
zts4785e	Ah, your weapon is just a wooden stick..
zts4786e	Congratulations! Now you get your second pet [Happy Woolly].
zts4787e	It looks like something is going to happen soon in this place.
zts4788e	Hey, what are you doing there?
zts4789e	Ah.. nothing special.. Just hanging around.
zts4790e	Haha. I see. Then, will you do me a favor?
zts4791e	Guard: Can you go to the tool shop and bring me the weapon I left for repair?
zts4792e	Yes. Of course.
zts4793e	Oh! You are the man! Okay, deal!
zts4794e	Good news!! Koaren's troop retreated to Mt. Krem. The war is over!!
zts4795e	(Sigh!!) Now, it ends with this.
zts4796e	Ah?? You don't look so happy.
zts4797e	Well. it just doesn't feel like it's over. Hahaha.
zts4798e	Haha.. It's because you are too tired. By the way, even in the age of peace, NosCamp will be busy!!
zts4799e	I guess you are going to give me a new mission!! Tell me.
zts4800e	Raul asked you to collect some magic supplies. He looks busy, so hurry up. Also, Vellochika requested some cooking material. Help him too.
zts4801e	Here, it is!
zts4802e	Magic supplies. You requested it, right?
zts4803e	Ah.. Really?
zts4804e	Yes.. You did.
zts4805e	Aha!! I've been waiting for it.
zts4806e	Haha.
zts4807e	And then, thanks for NosCamp people!!
zts4808e	Haha.. Yes.
zts4809e	By the way, how's the treasure hunt going?
zts4810e	Yes? Treasure hunt?
zts4811e	Yes.. I heard that NosCamp is busy in a treasure hunt, isn't it?
zts4812e	Hmmm.. I will ask Eril about it.
zts4813e	Ahhh!! You are left out!!
zts4814e	Hahah. Not really I guess.
zts4815e	Wow. In NosCamp, someone must be left out!!
zts4816e	No.. No.. Calm down. That's not possible.
zts4817e	Yes. Yes. You are surely left out!! Go and ask Eril!
zts4818e	(Mumble) Vellochika looks happy!! Hopeless!!
zts4819e	Hey. Eril. Eril.
zts4820e	Yes?
zts4821e	I heard from Vellochika about the treasure hunt. What is it?
zts4822e	Ahhh. That is.
zts4823e	Tell me!!
zts4824e	Hmm.. To be honest with you, we received the report from someone about a hidden treasure.
zts4825e	And then, why didn't you tell me about that?
zts4826e	Hmmm. Because the source was Sam.
zts4827e	Haha.. as you know, he is hardly a credible source.
zts4828e	Yeah, he is.
zts4829e	If you are personally interested, why don't you go meet him? But.
zts4830e	Yes.. I know. NosCamp can't give any support on this.. You wanted to say this, right?
zts4831e	Bingo!!
zts4832e	Can you tell me about the hidden treasure?
zts4833e	The hidden treasure.
zts4834e	I heard about it from Eril. What is that?
zts4835e	Hehe.. You idiot. There's nothing I can tell you about that!!
zts4836e	What do you mean? Why not?
zts4837e	Sam Treasure in the darkness.. Forbidden treasure.. Do you want it? And then, do you know the 4 virtues?
zts4838e	4 Virtues?
zts4839e	The first one is sympathy! You have to understand the feelings of others. You need to feel the pain and sorrow of others.
zts4840e	The second one is sacrifice! For the good of others, you have to sacrifice yourself.
zts4841e	Hmmm.
zts4842e	The third one is service!! Not only by emotion, but also by action, you have to serve others.
zts4843e	(Mumble) Hmmm. I feel it's getting worse.
zts4844e	Last, but not the least, is sharing!! You have to share all of your belongings with others.
zts4845e	Hmm. Well. Is it because you have something to ask of me?
zts4846e	(Coughing)
zts4847e	Your message is. If I do something for you, you will tell me about the treasure.. Did I get it right?
zts4850e	It's in the Western mine area. inside the cave, there's a 'super tool set'.
zts4851e	Super Tool set?
zts4852e	It consists of 4 pieces. I need them.
zts4853e	Okay.. I will bring them to you. And then, you will tell me about the treasure. Right?
zts4854e	Hmm.. Hmmm.
zts4855e	(Mumble) Yes.. It's Sam.. What else do I expect from him..
zts4856e	Sam: Ohhh!!
zts4857e	Now, here they are.
zts4858e	Ohhhhh!!
zts4859e	As promised, now tell me about the treasure!!
zts4860e	Sure. I will keep my promise. I will put a mark on the location of the treasure!!
zts4861e	What.. what the heck is this!!
zts4862e	Well.
zts4863e	Get it out of here!!
zts4864e	Sorry.
zts4865e	(Sam got only the shame)
zts4866e	Hahaha. The treasure of Sam was. that carved sculpture?
zts4867e	Yes.. it was.
zts4868e	This stone seems interesting. Can I have a look at it?
zts4869e	Here it is.
zts4870e	Hmm. This is.
zts4871e	Anything. special?
zts4872e	This is.. a magic stone. The Kovolts in Kreano use this.
zts4873e	The Kovolts in Kreano? You mean Kenko??
zts4874e	Hmm.. Yes. Also, this stone seems to have been used recently. It means that the Kenkos are still somewhere in Milano.
zts4875e	That means Kenko didn't go back to Kreano.
zts4876e	Now there are many rumors about the war between Koaren and Kenko. We have to inspect it clearly, since it will have an impact on Milano too. It may even cause a big problem later.
zts4877e	. As I've been concerned.
zts4878e	You seem to have expected this.
zts4879e	Yes.. Hmmm.. I will meet Koaren again!!
zts4880e	Hmmm.. I heard from the other adventurers that you can meet Koaren spies in Fernon temple. You'd better go there.
zts4881e	Who is it!!
zts4882e	Ahhh. Calm down. I am just.
zts4883e	If you don't intend to fight, give way for me.
zts4884e	Just a moment. It's just because I am concerned about KrrKoaren.
zts4885e	Ha! How dare you name my master! Get out of here. I don't want to listen to this.
zts4886e	Hold on! I know that you are against Kenko. I am just trying to.
zts4887e	Hey. I lost my companion to Kenko and don't know if he is alive or not. Do you still think I want to listen to you? Get out of my face now!!
zts4888e	(Mumble) It's useless to say more.. By the way, did he lose a companion?
zts4889e	Why do you help us?
zts4890e	It's funny!!
zts4891e	I.. I don't want to be your enemy!
zts4892e	I just want to help you.
zts4893e	(Sigh) Master and Sir Kenel has ordered me not to hurt you.
zts4894e	Well.. do whatever you want.
zts4895e	Tha.. Thanks.
zts4896e	You want to help us? If so, there's one place we suspect. Can you inspect that place?
zts4897e	Definitely!!
zts4898e	Some companions went there and there has been no news from them since. So, help us find out what happened to them.
zts4899e	In there? Nothing, other than the Koaren companions that were there.
zts4900e	Hmmm.. I see. That's good.
zts4901e	But, I got attacked all of a sudden.
zts4902e	Hey!! Please understand. We Kovolts hate humans and as you know, the war has just ended.
zts4903e	Yes.. I will.
zts4904e	Kenko's supply troop has arrived near the Fernon temple. I came to know this when you were not here.
zts4905e	I am wondering what supplies the troops gave to Kenko. We have to investigate this.
zts4906e	I will check it out!!
zts4907e	Hmm. You don't need to, because it's very dangerous and it's our business to do that.
zts4908e	Now, Koaren has become the enemy of Kenko. So, it's safer for human beings to approach there than Koaren.
zts4909e	Haha.. You are stubborn!!
zts4910e	Because I can make it!!
zts4911e	Are you serious?
zts4912e	Yes. definitely!!
zts4913e	Sorry. I know someone has to do it, but we cannot make it.
zts4914e	Don't be sorry, just leave it to me!!
zts4915e	Okay, sure, I will. First of all, they drink a suspicious beverage. It will be great if we can have some of it.
zts4916e	Hmmm.. It's great.. Good job!!
zts4917e	Haha. Thanks for the compliment.
zts4918e	I will analyze this and tell you the result. By the way.
zts4919e	Kenkos brought some emergency rations. Can we have some of them too?
zts4920e	Just leave to me!!
zts4921e	You are so quick!!
zts4922e	Haha.. I told you I could make it, by the way, did any result come out of the analysis?
zts4923e	Hmm. It looks like some sort of hallucinating material. But not exactly.
zts4924e	It has some effect, but it's so weak that it doesn't have any impact on our body.
zts4925e	It sounds complicated.
zts4926e	Well.. If we inspect this gum, it might throw some light on this.
zts4927e	And the powder they use on the wounded soldiers.. It looks suspicious too.
zts4928e	Why?
zts4929e	Rumor has it that the powder heals immediately and perfectly, no matter how serious the wound is.
zts4930e	I will bring you some.
zts4931e	Sorry again. I am giving you such difficult tasks.
zts4932e	This is the medicine.
zts4933e	The gum.. If you chew it with the beverage, it turns out to be a 'mad'cine.
zts4934e	What? 'mad'cine? I only know medicines.
zts4935e	It drives people to the brink of sanity and changes them into belligerent monsters.
zts4936e	Oh. Gosh.
zts4937e	This powder may have similar effects.
zts4938e	Will you wait? This powder will be analyzed immediately!!
zts4939e	(Spy left with the powder. after several minutes.)
zts4940e	It.. It's a big problem!!
zts4941e	Whoever takes this will become a monster with super powers.
zts4942e	Then, he will die soon!!
zts4943e	So scary, isn't it?
zts4944e	However, what's worse is that Kung's troops are chasing Kenko's retreated troops. Most of the retreated are wounded, so he chased them.
zts4945e	Kung's in danger.. What do we do?
zts4946e	Wait. Wait for a moment!
zts4947e	I want to go together.
zts4948e	Not possible.
zts4949e	Impossible? Why not? Do you have a reason?
zts4950e	The place we are heading to. This place is is full of hatred for human beings. You can't even step on it.
zts4951e	It.. It is.
zts4952e	We are not human beings, and can be accepted there, but that's not possible in your case. Sorry. Bye.
zts4953e	(Kung disappeared)
zts4954e	Hmm. Is there any solution that can help? Ah. Raul may have it.
zts4955e	Hey. Raul!
zts4956e	Raul!
zts4957e	Umm.
zts4958e	Raul!! Listen to me!!
zts4959e	Ah. Sorry.
zts4960e	It's an emergency. Do you know the place that humans cannot enter?
zts4961e	Ah. Yes. But I don't know the reason. It says that the ghosts there hate human beings and don't allow them in.. except for.
zts4962e	Except?
zts4963e	Ah. If you are not human beings, you can enter.
zts4964e	Hey. that sounds ridiculous!
zts4965e	Ah. Yes. You are right.
zts4966e	Then, it's not possible at all?
zts4967e	Ah.
zts4968e	Please!!
zts4969e	I can make you look like a Kovolt for the time being.
zts4970e	Sam Main Quest
zts4971e	Lv.19 New friend
zts4972e	Eril Main Quest
zts4973e	Lv.25 Formidable enemy
zts4974e	Lv.31 Gray storm
zts4975e	Morgan Main Quest
zts4976e	Lv.28 Rival competition
zts4977e	Raymond Main Quest
zts4978e	Lv.33 Tornado of War
zts4979e	Lv.39 Trust and Betrayal
zts4980e	Baymen Main Quest
zts4981e	Lv.35 my side and the other.
zts4982e	But if you have 10,000 Gold, it will be changed.
zts4983e	10,000 Gold?
zts4984e	Hahahaha. 10,000 Gold. It's 10,000 Gold!
zts4985e	Hahaha. 10,000 Gold. 10,000 Gold!
zts4986e	Haha. 10,000 Gold!
zts4987e	First, the down payment is 50,000 Gold.
zts4988e	Now 30,000 Gold for Sir Crescendo is ready. And.
zts4989e	And.. where is the remaining 20,000??
zts4990e	Hmmm. Really?
zts4991e	Hmm. If we use this sucking-funnel. we can get the energy of the Kovolts. Hmmm.
zts4992e	How?
zts4993e	Once the Kovolts are tired we can use this.
zts4994e	And then?
zts4995e	That funnel. if it's filled up with energy. that is.. (Mumble)
zts4996e	Tell me more details.
zts4997e	Hmm.. Let's talk about it after filling the Kovolts up with energy.
zts4998e	(Sigh!) Now, is it done?
zts4999e	(Voice) Ex. Excuse me. Anyone here?
zts5000e	This.. This is Raul?
zts5001e	(Voice) Haha.. yes.. It's me.. Raul.
zts5002e	How did you come here.. It's dangerous!!
zts5003e	(Voice) Ahh. I.. I invented. something. It's.
zts5004e	(Voice) The gadget that sends voice to a person long distance.
zts5005e	You mean a gadget that passes voice to a person over long distances?
zts5006e	(Voice) Ahh. Yes. That's. it.
zts5007e	Ah.. it's so great.. Anyway, I filled up that funnel and got the mirage marble. I will go back now.
zts5008e	(Voice) Ahh. but. do you know the deserted tower of the wizard?
zts5009e	What are you talking about?
zts5010e	(Voice) Sorry. But that name I can't remember. Is it a scroll?
zts5011e	(Voice) We need. that scroll. Uhhh!
zts5012e	(Noisy)
zts5013e	His message was disconnected.
zts5014e	His new invention must be out of order. Anyway, did he say.. the deserted tower of the wizard?
zts5015e	Raul! Yes, it is.
zts5016e	(Mumble) ..
zts5017e	Raul!!
zts5018e	Ahhh. So sorry. This gadget is broken now. So.
zts5019e	(Mumble) He's still fixing it.
zts5020e	By the way.. what brought you here?
zts5021e	I brought what you asked.
zts5022e	Ah. What is this?
zts5023e	Ah. Yes. I did. Sorry. This is. Yes. It's enough. Wait.
zts5024e	(After some time)
zts5025e	Here it is.
zts5026e	Will I look like a Kovolt with this?
zts5027e	Yes. I guess so.
zts5028e	(Mumble) I will ignore him.
zts5029e	Is it you, human?
zts5030e	It's war now. I will show Kenko what happens to those who betray us.
zts5031e	But.. why did Kenko betray you?
zts5032e	Haha.. I don't know, but I will get to know it a little later. Don't worry about it now. Just think about the WAR!!
zts5033e	Yes.
zts5034e	Our troops will attack the main troops of Kenko. You!! Stay here and block their retreat!
zts5035e	Yes.. I will.
zts5036e	Once the retreat is blocked, dispatch our spies. They will bring troops in the rear for support.
zts5037e	Yes.. I will. Don't worry about it.
zts5038e	Thanks human. and take care!!
zts5039e	(Explaining what happened so far.)
zts5040e	I see, we should also move now. Did the main troops leave for Kenko already?
zts5041e	Probably.. I think so.
zts5042e	Here's the critical information. I know where the Kenkos are now. What if we hit them before the war begins.
zts5043e	Can we finish the war quickly?
zts5044e	Yes. Of course.
zts5045e	Let me go. Give me the location.
zts5046e	Need to inform the Kovolts immediately. I don't have much time, must hurry!!
zts5047e	Was Kenel captured? Oh my!
zts5048e	What do we have to do?
zts5049e	I don't know what to do. Shoot!
zts5050e	Sorry.. It's of no use to be angry with you.
zts5051e	Look at this. It is the document that I found in Kenko's camp.
zts5052e	Hmmm. This is an ancient language of Kreano. Maybe Kung knows how to read it.
zts5053e	Where is Kung?
