zts1e	Effetto Generale
zts1326e	Razzia (E)
zts1327e	Razzia (D)
zts1328e	Razzia (C)
zts1329e	Razzia (B)
zts1330e	Razzia (A)
zts1331e	Razzia (S)
zts1332e	Rigor phantasmatis (F)
zts1333e	Il terrore destato dalla Nave fantasma produce uno shock.
zts1334e	Rigor phantasmatis (E)
zts1335e	Rigor phantasmatis (D)
zts1336e	Rigor phantasmatis (C)
zts1337e	Rigor phantasmatis (B)
zts1338e	Rigor phantasmatis (A)
zts1339e	Rigor phantasmatis (S)
zts1340e	Modalità rabbia
zts1341e	La barra della rabbia è piena.
zts1342e	Frignona
zts1343e	Erenia smemorata
zts1344e	Zenas stolta
zts1345e	Dove è il mio corno?
zts1346e	Erenia smemorata ha dimenticato di aver già utilizzato il suo corno.
zts1347e	Rendimi le scarpe!
zts1348e	Si è pentita di aver buttato la propria scarpa.
zts1349e	Corno artigianale
zts1350e	Misericordia di Erenia
zts1351e	Scarpe di lusso
zts1352e	Misericordia di Zenas
zts1353e	Conflitto di dolore
zts1354e	Benedizione di Ancelloan
zts1355e	Misericordia di Ancelloan
zts1356e	Ricevi la Misericordia di Ancelloan perché hai salvato il crociato.
zts1357e	Lamento del crociato
zts1358e	Vive del rancore del crociato.
zts1359e	Maledizione di Erenia
zts1360e	Maledizione di Erenia
zts1361e	Maledizione di Zenas
zts1362e	Maledizione di Zenas
zts1363e	Protezione di Ancelloan
zts1364e	Maledizione di Ancelloan
zts1365e	La Maledizione di Ancelloan è estremamente violenta.
zts1366e	Disgusto di Zenas
zts1367e	Zenas è infuriata.
zts1368e	Modalità rabbia
zts1369e	La barra della rabbia è piena.
zts1370e	Trucco
zts1371e	Scomparire in un baleno.
zts1376e	Commozione cerebrale (F)
zts1377e	Vertigini provocate dallo scontro con l'orsacchiotto.
zts1378e	Commozione cerebrale (E)
zts1379e	Commozione cerebrale (D)
zts1380e	Commozione cerebrale (C)
zts1381e	Commozione cerebrale (B)
zts1382e	Commozione cerebrale (A)
zts1383e	Commozione cerebrale (S)
zts1384e	Maestria con le marionette (F)
zts1385e	Trasforma tramite il potere del marionettista.
zts1386e	Maestria con le marionette (E)
zts1387e	Maestria con le marionette (D)
zts1388e	Maestria con le marionette (C)
zts1389e	Maestria con le marionette (B)
zts1390e	Maestria con le marionette (A)
zts1391e	Maestria con le marionette (S)
zts1392e	Gigantomania (F)
zts1393e	L'enorme orsacchiotto vive dell'anima del suo padrone.
zts1394e	Gigantomania (E)
zts1395e	Gigantomania (D)
zts1396e	Gigantomania (C)
zts1397e	Gigantomania (B)
zts1398e	Gigantomania (A)
zts1399e	Gigantomania (S)
zts1400e	Roulette russa (F)
zts1401e	Il gioco della morte.
zts1402e	Roulette russa (E)
zts1403e	Roulette russa (D)
zts1404e	Roulette russa (C)
zts1405e	Roulette russa (B)
zts1406e	Roulette russa (A)
zts1407e	Roulette russa (S)
zts1408e	Incantesimo di Arlecchino (F)
zts1409e	Uno scherzo del fantasma circense.
zts1410e	Incantesimo di Arlecchino (E)
zts1411e	Incantesimo di Arlecchino (D)
zts1412e	Incantesimo di Arlecchino (C)
zts1413e	Incantesimo di Arlecchino (B)
zts1414e	Incantesimo di Arlecchino (A)
zts1415e	Incantesimo di Arlecchino (S)
zts1416e	Sbalordimento (F)
zts1417e	Perdita della coscienza a causo dello sbalordimento.
zts1418e	Sbalordimento (E)
zts1419e	Sbalordimento (D)
zts1420e	Sbalordimento (C)
zts1421e	Sbalordimento (B)
zts1422e	Sbalordimento (A)
zts1423e	Sbalordimento (S)
zts1424e	Megamandra (F)
zts1425e	Evoca un Megamandra per attaccare l'avversario.
zts1426e	Megamandra (E)
zts1427e	Megamandra (D)
zts1428e	Megamandra (C)
zts1429e	Megamandra (B)
zts1430e	Megamandra (A)
zts1431e	Megamandra (S)
zts1432e	Radicamento (F)
zts1433e	La stretta delle radici impedisce ogni movimento.
zts1434e	Radicamento (E)
zts1435e	Radicamento (D)
zts1436e	Radicamento (C)
zts1437e	Radicamento (B)
zts1438e	Radicamento (A)
zts1439e	Radicamento (S)
zts1440e	Cambiaposto (F)
zts1441e	Scambia la posizione tra il personaggio e l'obiettivo per un breve lasso di tempo.
zts1442e	Cambiaposto (E)
zts1443e	Cambiaposto (D)
zts1444e	Cambiaposto (C)
zts1445e	Cambiaposto (B)
zts1446e	Cambiaposto (A)
zts1447e	Cambiaposto (S)
zts1448e	Scia di spada (F)
zts1449e	Un fendente casuale provoca sanguinamenti critici.
zts1450e	Scia di spada (E)
zts1451e	Scia di spada (D)
zts1452e	Scia di spada (C)
zts1453e	Scia di spada (B)
zts1454e	Scia di spada (A)
zts1455e	Scia di spada (S)
zts1456e	Sproposito (F)
zts1457e	Un danno ingente ti mette in pericolo.
zts1458e	Sproposito (E)
zts1459e	Sproposito (D)
zts1460e	Sproposito (C)
zts1461e	Sproposito (B)
zts1462e	Sproposito (A)
zts1463e	Sproposito (S)
zts1464e	Riflettore floreale (F)
zts1465e	Se subisci danno, parte di esso verrà riflessa. Non si possono riflettere le skill che assegnano solo un debuff.
zts1466e	Riflettore floreale (E)
zts1467e	Riflettore floreale (D)
zts1468e	Riflettore floreale (C)
zts1469e	Riflettore floreale (B)
zts1470e	Riflettore floreale (A)
zts1471e	Riflettore floreale (S)
zts1472e	Principessina Venus (F)
zts1473e	Effetto susseguente del compagno.
zts1474e	Principessina Venus (E)
zts1475e	Principessina Venus (D)
zts1476e	Principessina Venus (C)
zts1477e	Principessina Venus (B)
zts1478e	Principessina Venus (A)
zts1479e	Principessina Venus (S)
zts1480e	Ego di Krem (arma principale)
zts1481e	Un'arma dotata di personalità propria. Se la combini con un'altra arma Krem...
zts1482e	Ego di Krem (arma secondaria)
zts1483e	Azrael, Angelo della morte
zts1484e	Assorbito dalle Ali di Fernon.
zts1485e	Essenza di Seli-Lusha
zts1486e	Essenza d'albero luccicante.
zts1487e	Crepuscolo di Rumial
zts1488e	Un gioiello la cui luce richiama i colori del mattino.
zts1489e	Vespro di Lorten
zts1490e	Un'ombra che annuncia la notte.
zts1491e	Grido di battaglia di Shares
zts1492e	Energia dell'audace Shares
zts1493e	Eco di Glacernon
zts1494e	Eco dell'anima argentea di Glacernon
zts1495e	Ingegno di Mukraju
zts1496e	La sapienza del Mago Mukraju.
zts1497e	Ancelloan, la Creatrice
zts1498e	Ancelloan, l'origine del tutto.
zts1499e	Fernon, la Distruttrice
zts1500e	Fernon, l'eclissi del tutto.
zts1501e	Volontà degli dei
zts1502e	La probabilità di provocare un danno critico incrementa in modo ingente.
zts1503e	Autorità degli dei
zts1504e	Riflette qualsiasi attacco.
zts1505e	Energia luminosa di Krem
zts1506e	Riesci a percepire l'energia di Krem.
zts1507e	Penalità
zts1508e	La magia utilizzata dall'Angelo della morte per curare l'anima. Ora Fernon può servirsene per assorbire energia.
zts1509e	Elemento ombra di Krem
zts1510e	Fendente dello stordimento impetuoso di Krem
zts1511e	Sorriso della dea
zts1512e	Ripristina HP in modo rapido.
zts1513e	Collera della dea
zts1514e	Riduce HP in modo rapido.
zts1515e	Maledizione della dea
zts1516e	Lancia diverse maledizioni.
zts1517e	Invidia della dea
zts1518e	Riflette dei danni.
zts1519e	Ancelloan la Creatrice
zts1520e	Incrementa in modo decisivo la difesa nel PvP.
zts1521e	Fernon, la Distruttrice
zts1522e	Incrementa in modo decisivo i danni nel PvP.
zts1523e	Gelo di Glacernon
zts1524e	Riduce in modo decisivo la velocità di movimento.
zts1525e	Maledizione di Glacernon
zts1526e	Per un breve periodo di tempo non si può eseguire alcun attacco.
zts1527e	Benedizione di Leo
zts1528e	Aura stilosa da spiaggia
zts1529e	Ali di fata
zts1531e	Maledizione di Fafnir
zts1532e	Trema di fronte alla potenza dell'avido drago malvagio!
zts1533e	Benedizione di Odino
zts1534e	Percepisci la potenza di Odino!
zts1535e	Urlo del vichingo
zts1536e	Spezza con violenza volontà degli avversari.
zts1537e	Volontà del guerriero
zts1538e	Levati, guerriero!
zts1539e	Benedizione dell'Angelo vendicatore
zts1540e	Ricevi la benedizione dell'Angelo vendicatore.
zts1541e	Guardiana delle anime
zts1542e	L'Angelo vendicatore porta le anime dei caduti nel Walhalla.
zts1543e	Benedizione di Madre Natura
zts1544e	Che la benedizione della natura possa rivitalizzarti.
zts1545e	Pressione eolica
zts1546e	Non tutti riescono a tenere testa a un vento impetuoso.
zts1547e	Sputo appiccicoso
zts1548e	Uno sputo più appiccicoso della colla istantanea.
zts1549e	Trappola
zts1550e	Riduce la velocità di movimento. Rende difficile colpire il bersaglio con un attacco fisico.
zts1551e	Blocco progressivo
zts1552e	Blocca gli effetti negativi per il periodo di utilizzo.
zts1553e	Benedizione del pirata
zts1554e	Mentre vieni accompagnato, hai la possibilità di ricevere un item sconosciuto.
zts1555e	Benedizione dell'ammiraglio
zts1556e	Ricevi più esperienza eroe e reputazione.
zts1557e	Magia del Lich
zts1558e	Aumenta la forza oscura utilizzando la Magia del Lich
zts1559e	Magia del forte Lich
zts1560e	Aumenta notevolmente la forza oscura utilizzando la Magia del Lich.
zts1561e	Forza vitale del drago
zts1562e	Rigenera il corpo grazie alla forza vitale del drago.
zts1563e	Forza vitale del forte drago
zts1564e	Rigenera velocemente il corpo grazie alla forza vitale del drago.
zts1565e	Protezione totale
zts1566e	Impedisce tutti i danni.
zts1567e	Incantesimo proibito
zts1568e	Crea un Non morto quando tutta la forza di volontà è stata assorbita.
zts1569e	Colpo del fantasma (F)
zts1570e	Impari il Colpo del fantasma.
zts1571e	Colpo del fantasma (E)
zts1572e	Colpo del fantasma (D)
zts1573e	Colpo del fantasma (C)
zts1574e	Colpo del fantasma (B)
zts1575e	Colpo del fantasma (A)
zts1576e	Colpo del fantasma (S)
zts1577e	Diminuzione del buio (F)
zts1578e	Causa un'esplosione utilizzando una forte magia dell'ombra.
zts1579e	Diminuzione del buio (E)
zts1580e	Diminuzione del buio (D)
zts1581e	Diminuzione del buio (C)
zts1582e	Diminuzione del buio (B)
zts1583e	Diminuzione del buio (A)
zts1584e	Diminuzione del buio (S)
zts1585e	Orgoglio del vichingo (F)
zts1586e	Aumenta l'orgoglio del vichingo.
zts1587e	Orgoglio del vichingo (E)
zts1588e	Orgoglio del vichingo (D)
zts1589e	Orgoglio del vichingo (C)
zts1590e	Orgoglio del vichingo (B)
zts1591e	Orgoglio del vichingo (A)
zts1592e	Orgoglio del vichingo (S)
zts1593e	Accompagnatore del Guerriero d'ossa Ragnar (F)
zts1594e	Accompagnatore del Guerriero d'ossa Ragnar (E)
zts1595e	Accompagnatore del Guerriero d'ossa Ragnar (D)
zts1596e	Accompagnatore del Guerriero d'ossa Ragnar (C)
zts1597e	Accompagnatore del Guerriero d'ossa Ragnar (B)
zts1598e	Accompagnatore del Guerriero d'ossa Ragnar (A)
zts1599e	Accompagnatore del Guerriero d'ossa Ragnar (S)
zts1600e	Voglia di successo
zts1601e	La volontà di successo ti mette le ali.
zts1602e	Energia vitale
zts1603e	Ora, questo diavoletto è difficile da acchiappare.
zts1604e	Ispirazione
zts1605e	Grazie a un talento nascosto può rendere manifesto l'invisibile.
zts1606e	Buff del 10º anniversario
zts1607e	Biglietto per la Terra dei Sogni
zts1608e	Un sonno magico cui nessuno riesce ad opporsi.
zts1609e	Bauletto magico [segretezza]
zts1610e	Puoi muoverti senza che ti notino anche se ti mancano le abilità magiche necessarie.
zts1611e	Bauletto magico [resistenza]
zts1612e	Puoi resistere agli effetti negativi anche se ti mancano le abilità magiche necessarie.
zts1613e	Bauletto magico [velocità di movimento]
zts1614e	La velocità di movimento viene incrementata anche se ti mancano le abilità magiche necessarie.
zts1615e	Bauletto magico [Blackout]
zts1616e	Puoi generare un Blackout anche se ti mancano le abilità magiche necessarie.
zts1617e	Spallata (F)
zts1618e	Mandi a terra l'avversario con una spallata.
zts1619e	Spallata (E)
zts1620e	Spallata (D)
zts1621e	Spallata (C)
zts1622e	Spallata (B)
zts1623e	Spallata (A)
zts1624e	Spallata (S)
zts1625e	Tenacia (F)
zts1626e	Ormai non devi aver più paura di morire.
zts1627e	Tenacia (E)
zts1628e	Tenacia (D)
zts1629e	Tenacia (C)
zts1630e	Tenacia (B)
zts1631e	Tenacia (A)
zts1632e	Tenacia (S)
zts1633e	Scarica elettrostatica (F)
zts1634e	Immobilizza gli avversari con una forte scarica.
zts1635e	Scarica elettrostatica (E)
zts1636e	Scarica elettrostatica (D)
zts1637e	Scarica elettrostatica (C)
zts1638e	Scarica elettrostatica (B)
zts1639e	Scarica elettrostatica (A)
zts1640e	Scarica elettrostatica (S)
zts1641e	Mega-ali da titano
zts1642e	Trasformazione in titano
zts1643e	Abilità speciali delle Mega-ali da titano
zts1644e	Mega-amplificatore Titano  Se il valore di upgrade della carta SP è +15, c'è la probabilità che si possa effettuare la trasformazione in Titano.
zts1645e	Benedizione dell'anno nuovo
zts1646e	Per 30 minuti i punti esperienza incrementano del 30%.
zts1647e	Benedizione dell'anno nuovo
zts1648e	Per 30 minuti i punti esperienza incrementano del 10%.
zts1649e	Trasduttore d'ombra
zts1650e	Ti puoi muovere in modo rapido senza che nessuno ti veda. L'effetto svanisce una volta che scendi dal mezzo di trasporto.
zts1651e	Blocco con il taglio della mano
zts1652e	Blocca gli attacchi avversari.
zts1653e	Pelle di ferro
zts1654e	Rilancia all'avversario il suo attacco.
zts1655e	Corpo possente
zts1656e	Utilizza l'energia per aumentare la forza di attacco.
zts1657e	Corpo agile
zts1658e	Utilizza l'energia per muoversi più velocemente.
zts1659e	Agguato
zts1660e	Può utilizzare 3 volte l'abilità senza tempo di ricarica.
zts1661e	Coro degli angeli
zts1662e	Fa librare in aria le voci celestiali degli angeli.
zts1663e	Porta del Paradiso
zts1664e	Lo spirito si separa dal corpo e appare la porta del Paradiso.
zts1665e	Sono un campione.
zts1666e	Mostra l'orgoglio di un campione.
zts1667e	Spirito
zts1668e	Possiedi un'energia inesauribile.
zts1669e	Maledizione della sposa
zts1670e	Ricevi effetti positivi solo raramente.
zts1671e	Trasformazione
zts1672e	Cambia lo stile di combattimento.
zts1673e	Energia di Haetae
zts1674e	Migliora le capacità del corpo.
zts1675e	Energia del drago
zts1676e	Migliora gli attacchi del drago.
zts1677e	Sprint della bestia
zts1678e	Permette di spostarsi in modo molto rapido.
zts1679e	Tremito di calore
zts1680e	Blocca gli attacchi avversari tramite un'onda di calore.
zts1681e	Ultima vampa
zts1682e	Crea uno splendido fuoco d'artificio.
zts1683e	La tecnica di combattimento di Tart Hapendam
zts1684e	Mitragliatrice
zts1685e	Una potente mitragliatrice
zts1686e	Ali del vento
zts1687e	Benedizione del Diavolo infuocato
zts1688e	10% di danno extra contro i mostri contenuti nel Vaso sigillato, 5% di danno extra contro i mostri nella Terra dei Morti
zts1689e	Buff del 11º anniversario
zts1690e	Danno alla retina (F)
zts1691e	Il danno alla retina limita la vista e rende vulnerabili.
zts1692e	Danno alla retina (E)
zts1693e	Danno alla retina (D)
zts1694e	Danno alla retina (C)
zts1695e	Danno alla retina (B)
zts1696e	Danno alla retina (A)
zts1697e	Danno alla retina (S)
zts1698e	Graffio da artigli (F)
zts1699e	Gli artigli di un gatto causano ferite profonde.
zts1700e	Graffio da artigli (E)
zts1701e	Graffio da artigli (D)
zts1702e	Graffio da artigli (C)
zts1703e	Graffio da artigli (B)
zts1704e	Graffio da artigli (A)
zts1705e	Graffio da artigli (S)
zts1706e	Batticuore (F)
zts1707e	Che emozione! E mi sento molto meglio!
zts1708e	Batticuore (E)
zts1709e	Batticuore (D)
zts1710e	Batticuore (C)
zts1711e	Batticuore (B)
zts1712e	Batticuore (A)
zts1713e	Batticuore (S)
zts1714e	Compagno di Yuna, apprendista di magia (F)
zts1715e	Compagno di Yuna, apprendista di magia (E)
zts1716e	Compagno di Yuna, apprendista di magia (D)
zts1717e	Compagno di Yuna, apprendista di magia (C)
zts1718e	Compagno di Yuna, apprendista di magia (B)
zts1719e	Compagno di Yuna, apprendista di magia (A)
zts1720e	Compagno di Yuna, apprendista di magia (S)
zts19951e	Passo elusivo
zts19952e	Puoi schivare le abilità con "Passo elusivo" e, a breve, otterrai "Illuminazione".
zts19953e	Illuminazione
zts19954e	Se utilizzi un'abilità buff mentre "Illuminazione" è attiva, otterrai degli effetti extra.
zts19955e	Irradiazione lunare
zts19956e	Ti permette di utilizzare le abilità "Luna piena".
zts19957e	Marchio lunare
zts19958e	Fai attenzione al potere di Mystic Art, quando usi il Marchio lunare.
zts19959e	Marchio della luna piena
zts19960e	Se utilizzi Eclissi lunare quando è attiva Possibilità di attacco, il tuo avversario otterrà Marchio della luna piena al posto di Marchio lunare.
zts19961e	Trappola Fiore di loto
zts19962e	Gli avversari catturati non possono muoversi.
zts19963e	Opposizione
zts19964e	Se utilizzi "Opposizione", otterrai "Possibilità di attacco".
zts19965e	Lesioni interne
zts19966e	"Lesioni interne" ostacola fortemente l'utilizzo di abilità e magie.
zts19967e	Piuma al vento
zts19968e	Il tuo corpo diventa leggero come una piuma. Ti muoverai più rapidamente e sarà più difficile colpirti.
zts19969e	Postura del fiore
zts19970e	Puoi utilizzare le abilità "Fiore di loto".
zts19971e	Ombra della mezzaluna
zts19972e	Ti nascondi all'ombra della luna.
zts19973e	Blocco del Potere della luce lunare
zts19974e	Il tuo avversario non si può muovere se è stato bloccato dal Potere della luce lunare.
zts19975e	Blocco del Potere della luna piena
zts19976e	Il tuo avversario non si può muovere se è stato bloccato dal Potere della luna piena.
zts19977e	Inferno di Petali
zts19978e	Non è possibile muoversi. Vengono ridotti HP e MP.
zts19979e	Maledizione del fiore di loto
zts19980e	Non è possibile muoversi. La quantità di HP e MP subisce una forte riduzione.
zts19981e	Possibilità di attacco
zts19982e	Puoi attaccare nuovamente dopo aver utilizzato un'abilità di attacco.
zts19983e	Immersione lunare
zts19984e	Otterrai questo effetto, se utilizzi "Irradiazione lunare" quando "Illuminazione" è attiva.
zts19985e	Cerchio di fiori di loto
zts19986e	Otterrai questo effetto, se utilizzi "Postura di fiore" quando "Illuminazione" è attiva.
zts19987e	Abbaglio
zts19988e	Il naso rosso si illuminerà all'improvviso.
zts19989e	Magia Naso rosso
zts19990e	Magia Naso rosso rigenera gli HP.
zts19991e	Estasi del Berserker
zts19992e	Trasformati nell'orso polare Marco.
